Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138)
1e-12,0.002895540339134344,1.8672969298334967e-21,1.3360013220056715e-27,1.2833217060710523e-27,8.3359411084755614e-40,6.7165162502106431e-34,0.0,0.0,1.4052244500749185e-19,2.3197836284172722e-28,1.1791901551515086e-40,7.3789707249709579e-41,5.1162793906261355e-43,8.0782027988179418e-68,2.139044921086468e-45,1.5700213951033665e-36,2.8517243086547993e-23,9.913642065792217e-32,1.5172164664667993e-74,7.821827562395659e-72,2.3145967457966092e-44,7.8943131039615503e-40,3.5686525770646977e-38,7.472129140280849e-53,1.1717205997248849e-33,6.8285162662138067e-53,1.174589820762263e-39,8.8986973379937394e-23,9.4680592975382405e-31,2.1312166473685669e-26,9.5336034925266204e-18,1.6025460162866847e-40,1.4190869274946351e-59,2.1663786803661509e-44,1.4382402183173998e-46,0.88168480800000004,0.0,0.0094599999999999788,0.10885,1.1539256959879714e-17,1.1539126122660481e-17,9.533488873444404e-18,6.365392240797832e-20,5.2460301522581487e-20,2.6230205802160253e-20,1.0579010003888765e-23,2.4044942977194987e-22,1.2776070450506243e-23,1.7223342309997929e-22,1.5278699015462111e-22,2.8786454523556039e-22,3.3385058298647039e-28,5.2344641296793533e-24
1.023e-12,0.002895540339134344,1.9102358970026512e-21,1.3819731473403448e-27,1.3280839914019115e-27,8.6770671983805262e-40,6.9913759482606798e-34,0.0,0.0,1.4375373367729758e-19,2.4006962104593764e-28,1.2274395621686569e-40,7.6809831528127025e-41,5.3412382881081839e-43,8.445763842045474e-68,2.2265783948528963e-45,1.6247810125198388e-36,2.9511884716521027e-23,1.0319330985985232e-31,1.5879639083841275e-74,8.1780062630313502e-72,2.4163676917565727e-44,8.2173554735362482e-40,3.6930434543140277e-38,7.8121265423853818e-53,1.2196700445815398e-33,7.1392141781137152e-53,1.2226563765292849e-39,9.2090718631035882e-23,9.8555139467531944e-31,2.2055506595231901e-26,9.7528119815369106e-18,1.6730092315755008e-40,1.4835630281837686e-59,2.2616337240813282e-44,1.5012987559753905e-46,0.88168480800000004,0.0,0.0094599999999999788,0.10885,1.1804581940532737e-17,1.1804446539909508e-17,9.7526933647183403e-18,6.5117392722807868e-20,5.3666418201598813e-20,2.6833266061246975e-20,1.0947975424176809e-23,2.4883596359506074e-22,1.3221661526773899e-23,1.7824069466495164e-22,1.5811599673473751e-22,2.9790485494819674e-22,3.4751250945955819e-28,5.4170272616711432e-24
2.047e-12,0.002895540339134344,3.8223985556490899e-21,5.4234503734755944e-27,5.3162427483468674e-27,6.9457978843357828e-39,5.5976300922551966e-33,0.0,0.0,2.8764189858116769e-19,9.6088027022926638e-28,9.8096249788151521e-40,6.1615818281179443e-40,8.5479458406492578e-42,2.7026366626774659e-66,1.7820012885956625e-44,6.5020010620344719e-36,1.1810653801500993e-22,8.2603356828363534e-31,1.9779244879770093e-72,2.7429656520621994e-70,3.866962036170533e-43,6.5747517624126643e-39,1.4725582136835629e-37,2.5035017995202262e-51,9.762998092943552e-33,2.2858377414941689e-51,9.7860688231224921e-39,3.6854962765614011e-22,7.8890619134211799e-30,8.8267157116538728e-26,1.9512125063043639e-17,2.6779665019893413e-39,4.6489374851207594e-58,3.620569029791609e-43,2.3544149713567142e-45,0.88168480800000004,0.0,0.0094599999999999563,0.10885,2.3617034122584811e-17,2.3616492260134885e-17,1.9511650370512505e-17,1.3025381086371348e-19,1.0734841570269467e-19,5.3674435689437519e-20,4.3802982290206419e-23,9.9583674836560633e-22,5.2899002327103739e-23,7.1332614176082918e-22,6.3278673817172032e-22,1.1922123765233398e-21,2.7817311156712056e-27,2.1673653041958622e-23
4.095e-12,0.002895540339134344,7.6485042886911252e-21,2.1489071060469021e-26,2.1279485804435469e-26,5.5581414512727485e-38,4.4812318546309198e-32,0.0,0.0,5.7552051921100834e-19,3.8453092837787939e-27,7.8249166792324889e-39,4.9515889266501084e-39,1.3669508757830859e-40,8.6355111442487542e-65,1.4254707272014157e-43,2.6010522981979248e-35,4.7252610429070523e-22,6.6099809977635281e-30,2.4952827357195456e-70,9.5753459794363918e-69,6.1835124264011876e-42,5.2563515088936821e-38,5.8487809131177187e-37,8.0192298648623098e-50,7.8122315091113808e-32,7.3154697707980231e-50,7.8293585495260402e-38,1.4745316033534446e-21,6.3128830789529773e-29,3.5315163463462603e-25,3.9029830942760996e-17,4.2842035190649066e-38,1.4715499112118436e-56,5.7934500536951836e-42,3.7295288526750988e-44,0.88168480800000004,0.0,0.0094599999999999129,0.10885,4.7240828975588072e-17,4.7238661153078835e-17,3.9027931865945774e-17,2.6044742623956248e-19,2.1464681463708182e-19,1.0732431792397251e-19,1.7516259660398833e-22,3.9841531934322072e-21,2.1152823620786469e-22,2.8539645013931225e-21,2.5317356927169127e-21,4.7698376262484441e-21,2.2259467279600383e-26,8.6670692799453984e-23
8.191e-12,0.002895540339134345,1.5307835502188144e-20,8.5580887660570068e-26,8.5200620264920786e-26,4.4468714240053369e-37,3.5883454731898234e-31,0.0,0.0,1.1516868922057476e-18,1.5389499187073568e-26,6.2214878276578782e-38,3.9950829687885785e-38,2.1837476428479474e-39,2.7530856900365193e-63,1.1396452693677795e-42,1.0402113247150122e-34,1.8901610714047003e-21,5.2882977767142621e-29,3.1669997877628897e-68,3.5728942991263419e-67,9.8771862559274182e-41,4.1976496562558565e-37,2.306188195986455e-36,2.5688671041503785e-48,6.2498496208616566e-31,2.3402652714034232e-48,6.2614184643250827e-37,5.8984727674237896e-21,5.0506022791209057e-28,1.4127153345353803e-24,7.8061561906978074e-17,6.8496207562584609e-37,4.6810318556689617e-55,9.2666877110166502e-41,5.9392620492459298e-43,0.88168480800000004,0.0,0.0094599999999998262,0.10885,9.4483981072173724e-17,9.4475310209051606e-17,7.805396613223307e-17,5.2051841891667356e-19,4.2898172731683444e-19,2.1449449868783112e-19,6.9998119329986023e-22,1.593679800874851e-20,8.4523941201321452e-22,1.1416650224658855e-20,1.0127672077289056e-20,1.9079755769458085e-20,1.7808390254502587e-25,3.4635556678802299e-22
1e-11,0.002895540339134345,1.8696867620262786e-20,1.4217067576026911e-25,1.4177520768799146e-25,1.1320198387387228e-36,9.1455424691299581e-31,0.0,0.0,1.4065123265522045e-18,2.5596594068540995e-26,1.5706192058019673e-37,1.0287742410822782e-37,9.3915352744690861e-39,2.1448694531985924e-62,2.8982425734350704e-42,1.7287687881079451e-34,3.142118901515374e-21,1.3461788322224413e-28,9.1400896821696527e-67,3.520190582492651e-66,4.2470102312630963e-40,1.0658467302281497e-36,3.7772873894244851e-36,2.0184048184792007e-47,1.5908416971021801e-30,1.8346876601299617e-47,1.5930339010947724e-36,9.8056558495848721e-21,1.2856704337213032e-27,2.3485519234889814e-24,9.529669048177505e-17,2.9496227821999818e-36,3.6596641786255113e-54,3.9933434010978172e-40,2.557746234224043e-42,0.88168480800000004,0.0,0.009459999999999788,0.10885,1.1534501867444231e-16,1.1533060583375269e-16,9.5284064949306294e-17,6.3510067687737695e-19,5.2341238016740232e-19,2.6171221960182926e-19,1.1624018597318663e-21,2.64921011988178e-20,1.4035054167093869e-21,1.8979321646760984e-20,1.6836539361946999e-20,3.1717035282614296e-20,4.5331853908136367e-25,5.7517141069988031e-22
1.6383e-11,0.002895540339134345,3.0654961600180094e-20,3.4184597561675263e-25,3.4139687243175042e-25,3.5572517904947541e-36,2.8753938502897704e-30,0.0,0.0,2.3056559127508964e-18,6.1612009562408617e-26,4.9172674701689807e-37,3.2491194715136929e-37,3.4823988813793424e-38,8.7415566415989786e-62,9.1033982350500583e-42,4.1583222921638226e-34,7.5596130030059379e-21,4.2301694431672334e-28,4.0273144672086628e-66,1.4680388513348504e-65,1.5747318865311668e-39,3.3455260577340438e-36,8.9680149470336242e-36,8.2338664457724814e-47,4.9988370202681355e-30,7.4825704748744235e-47,5.0046823172966666e-36,2.3592029323014499e-20,4.0400291643350138e-27,5.6506220988846885e-24,1.5611030335791052e-16,1.0940407353821153e-35,1.492098746148518e-53,1.4814009052433046e-39,9.487023872155707e-42,0.88168480800000004,0.0,0.0094599999999996527,0.10885,1.8895253830699088e-16,1.8891786507779185e-16,1.5607993048240647e-16,1.0394005953755362e-18,8.5660798942399373e-19,4.2831847310876682e-19,2.7940387385795682e-21,6.3736158834092649e-20,3.373329578111081e-21,4.566397155680956e-20,4.0508568039653801e-20,7.6307281348106825e-20,1.4244753577720458e-24,1.3825409694004794e-21
3.2767e-11,0.002895540339134346,6.1462946027108656e-20,1.3686131478364965e-24,1.3702055573388142e-24,2.8450798364161922e-35,2.3075951151828803e-29,0.0,0.0,4.6201370336621926e-18,2.4685589617079925e-25,3.8454972146001721e-36,2.6828765084023617e-36,5.5344158779126352e-37,2.7540001676658039e-60,7.2599545831779062e-41,1.6611113839445808e-33,3.02272388037953e-20,3.3829984057276287e-27,5.1148017978256081e-64,6.7664877286586578e-64,2.5014743596717994e-38,2.6561813792564549e-35,3.3984412070295149e-35,2.6428494414027223e-45,3.9969444594706556e-29,2.3901109078063414e-45,3.9961817218304956e-35,9.4343973870833111e-20,3.2309293784854329e-26,2.2598357340381225e-23,3.1214892597087848e-16,1.7442035056386011e-34,4.7567254971130529e-52,2.3658997037419352e-38,1.5187688203997471e-40,0.88168480800000004,0.0,0.0094599999999993058,0.10885,3.7781869276932119e-16,3.7768009518308169e-16,3.1202752810992533e-16,2.0721665267972805e-18,1.7077178400310704e-18,8.5391633862226795e-19,1.1128258898976047e-20,2.5483141891063904e-19,1.3431370162302993e-20,1.8261693642401692e-19,1.6200141635971109e-19,3.0510530620120907e-19,1.139136583258935e-23,5.5067108198157858e-21
6.5535e-11,0.0028955403391343485,1.2353286571720561e-19,5.4943520908064799e-24,5.5174437577312655e-24,2.2747752846536447e-34,1.8576021144198528e-28,0.0,0.0,9.2752554583484782e-18,9.9063658748247948e-25,2.9565497483203225e-35,2.2768099893969566e-35,8.7371230387418018e-36,8.5464674062745651e-59,5.7715075314250815e-40,6.6260717214252929e-33,1.2081340446730598e-19,2.70442608160283e-26,6.4631412751418199e-62,3.4774191176700295e-62,3.9454006305034226e-37,2.0931231272788181e-34,1.2308778434074621e-34,8.5073658502551441e-44,3.1939763452713668e-28,7.6204101358769393e-44,3.1847200513622432e-34,3.7716444888067637e-19,2.5828468788331955e-25,9.0355967483524204e-23,6.2399090291663762e-16,2.7707018977350887e-33,1.5138012924245525e-50,3.7713819858737378e-37,2.4374354284218999e-39,0.88168480800000004,0.0,0.0094599999999986101,0.10885,7.5526738413733625e-16,7.5471378245550036e-16,6.2350608320096224e-16,4.1180259717434419e-18,3.3936156897822429e-18,1.6970336190264375e-18,4.4132301009900087e-20,1.0183711713374684e-18,5.3233648841970157e-20,7.3012052339031467e-19,6.4771119615111674e-19,1.2193720499118691e-18,9.1054787062771311e-23,2.1840376197315632e-20
9.999999999999999e-11,0.002895540339134352,1.8976810121185838e-19,1.425670913694993e-23,1.4375540271511501e-23,1.0637719406475097e-33,8.7923937523243618e-28,0.0,0.0,1.4226408430709348e-17,2.5670001484607704e-24,1.3100422380566803e-34,1.1707969936407798e-34,7.5747821056862677e-35,1.4024130574584166e-57,2.671543545277297e-39,1.7002651743465593e-32,3.1101112344981117e-19,1.2643225463888455e-25,6.166899909480775e-60,1.0739868905577542e-60,3.4147280450987084e-36,9.5414132606798295e-34,2.7679718443702931e-34,1.7230085962275155e-42,1.492140048355079e-27,1.3091825520995153e-42,1.4806260817785158e-33,9.7130301106015621e-19,1.2074734966733623e-24,2.3274691459188817e-22,9.5148847676030434e-16,2.4295577057122871e-32,2.5936413196333117e-49,3.3286349698527584e-36,2.1803152527990053e-38,0.88168480800000004,0.0,0.0094599999999978798,0.10884999999999999,1.1516678364781297e-15,1.1502441635741794e-15,9.5024202676811996e-16,6.2297635115084228e-18,5.1335050632276364e-18,2.5673186609398763e-18,1.1219290549360913e-19,2.6209798916917434e-18,1.3519986002052714e-19,1.8805222872992754e-18,1.6683230095120264e-18,3.1386878465040881e-18,4.2560064838432085e-22,5.5530322663545978e-20
