Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41),S(138),S(216),C4H8(85),C5H10(91),C6H12(123),S(259),S(211),C3H6(59),S(141),S(297),S(199),S(849),S(890),S(847),C7H15(76)
0.0,0.005825049626155906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.3905279646179027e-18,0.005825049626155908,1.0646104788241127e-18,4.8420391402147665e-25,2.4952846080980817e-29,1.1571282187896655e-28,8.5445978124107431e-40,0.0,0.0,3.7877951552498678e-20,6.8439647128173214e-33,8.3746996478736623e-43,8.9267314771299807e-43,4.9326856651152928e-49,3.0963064965756324e-69,6.5077540315278972e-44,7.6753553417675799e-33,4.4104012124504327e-25,7.4264355808305375e-38,1.2939202572313317e-74,2.2847294029447822e-63,6.0119509631323161e-42,4.8949105857078768e-40,2.2452524654244256e-35,2.8176269701206459e-61,8.9294325331386464e-39,2.4394895470945444e-62,1.0609575414053294e-41,1.1214287960273007e-24,8.3537181993186764e-37,2.6249044272828234e-29,1.6235609329451011e-16,1.7670381635766942e-49,1.9438414043541369e-63,6.7269980450677917e-52,1.9002309257393022e-48,0.88168480800000004,0.0,0.0094599999999995989,0.10885,2.369382465200002e-16,2.3693824624655364e-16,1.6235609257621112e-16,2.6826186283509142e-19,2.088656341234026e-19,1.0443281740341402e-19,3.451430615902822e-29,5.1348314832090369e-27,4.0371360986444283e-29,3.5072275858566713e-27,1.7322752833863133e-27,7.4490442239645874e-27,3.4434156626876676e-36,1.7496238833379451e-29,1.1964424707816127e-28,7.2324258536152519e-26,7.289450910871856e-26,5.8124487361073565e-28,1.4944893414366684e-38,2.1575601624116578e-28,2.3758222671762758e-26,2.7932889520322435e-31,4.7697036585975297e-45,1.0745650496036985e-29,1.7597274206345015e-40,1.5106541902995302e-39,4.4345969178769564e-41,5.2092792717018383e-19
6.693478300930128e-18,0.005825049626155912,2.9809099291640777e-18,1.3558518064224668e-24,1.5071521558867003e-28,6.9890555927890758e-28,1.0144149391440941e-38,0.0,0.0,1.060582773268546e-19,4.1337551092568162e-32,9.9424434249027828e-42,1.0597817880948143e-41,1.1034220513468143e-47,1.8836344219175316e-67,7.7260055765760585e-43,4.6359146148181717e-32,2.663882331022506e-24,8.8166643193391231e-37,7.8716573520150182e-73,5.1108487418039623e-62,7.1373882667380477e-41,5.8112378341893804e-39,1.3561325288339242e-34,1.5490327851386913e-59,1.0601022283623796e-37,1.006662460606074e-60,1.2595687913082417e-40,6.7734299185482619e-24,9.9175342418099582e-36,1.5854422768347141e-28,4.5459706216713636e-16,3.9527936802929235e-48,5.5038851582296111e-62,1.5048029659071866e-50,2.8717888897197112e-47,0.88168480800000004,0.0,0.009459999999998879,0.10885,6.6342708988044679e-16,6.6342708822882992e-16,4.5459705782861063e-16,7.5113321479507051e-19,5.8482377233767315e-19,2.924118882328074e-19,2.0846639986644346e-28,3.101438192205625e-26,2.4384300859046599e-28,2.1183654564287589e-26,1.0462942720851368e-26,4.4992226838853207e-26,4.0307911458984893e-35,1.0567727796027678e-28,7.226512765843011e-28,4.3683852086976031e-25,4.4028283390873668e-25,3.5107190205694418e-27,1.7742577358414735e-37,1.3031663372216869e-27,1.4349966487199831e-25,1.6871466595892125e-30,5.662591270267977e-44,6.4903733021768979e-29,2.0891485244344669e-39,1.7934486838098016e-38,5.2647535980290755e-40,1.4585981905044847e-18
1.5299378973554578e-17,0.00582504962615592,6.8135111836702396e-18,3.0994709800727731e-24,7.2562914292810837e-28,3.3649305871895911e-27,9.9595898987479643e-38,0.0,0.0,2.4241898079499972e-19,1.9902255725434744e-31,9.7615499186977782e-41,1.0405005250770905e-40,2.1801760208217473e-46,8.5036287193629633e-66,7.5854380692219068e-42,2.2319933159718426e-31,1.2825446706342514e-23,8.6562533060474934e-36,3.5539710018026231e-71,1.0098177711338676e-60,7.0075303008798488e-40,5.7055077378957632e-38,6.5291947652177906e-34,7.4110810628389626e-58,1.040814649949933e-36,3.9822570761661568e-59,1.2366521045145066e-39,3.2611149246624371e-23,9.7370939194199148e-35,7.6332221158730498e-28,1.0390790036824209e-15,7.8100541658710801e-47,1.2095246783102408e-60,2.9732374359580075e-49,3.0896951301882214e-46,0.88168480800000004,0.0,0.0094599999999974375,0.10885,1.5164047750991254e-15,1.5164047671473008e-15,1.0390789827942874e-15,1.7168759141422868e-18,1.3367400359347983e-18,6.6837002790458707e-19,1.0036758830932478e-27,1.4932089598382379e-25,1.1739990009709539e-27,1.019901773824113e-25,5.0374565378844483e-26,2.1661820192449663e-25,3.9277973918596048e-34,5.0879055637465375e-28,3.4792550685160279e-27,2.1031894279023001e-24,2.1197723082626849e-24,1.690260068400918e-26,1.7419767444109478e-36,6.2741849391687825e-27,6.9088911431312987e-25,8.122886260935636e-30,5.5595637534836774e-43,3.1248357681033848e-28,2.051138686528845e-38,1.760818614380339e-37,5.1689665925664465e-39,3.3339386948849694e-18
3.251118031880348e-17,0.0058250496261559375,1.4478723107987375e-17,6.5880028843586704e-24,3.1690153675141262e-27,1.4695546223770849e-26,8.8091505707695199e-37,0.0,0.0,5.151405954090241e-19,8.6918417371148977e-31,8.6339803681579638e-40,9.2031178698210031e-40,3.8795067030046384e-45,3.2108103151364149e-64,6.7092340334972426e-41,9.7477011040984147e-31,5.6012095196999198e-23,7.6563580117073128e-35,1.3421589267416404e-69,1.796917426429067e-59,6.1980815072818119e-39,5.0464569317501772e-37,2.851471246711337e-33,2.8658362472472121e-56,9.2058876359977356e-36,1.4212393380971298e-57,1.0938047748026335e-38,1.4242145562968854e-22,8.6123492859868678e-34,3.3336286653598645e-27,2.2080429017931181e-15,1.3897573942398699e-45,2.2891425725507361e-59,5.2907174236954098e-48,2.8406172610060931e-45,0.88168480800000004,0.0,0.0094599999999945544,0.10885,3.2223601395276215e-15,3.2223601047999154e-15,2.2080428105691519e-15,3.6483612945457533e-18,2.8405725118033918e-18,1.4202862993001202e-18,4.383315435413463e-27,6.5212356170596629e-25,5.1271610212920248e-27,4.4541789498935633e-25,2.1999896241575691e-25,9.4602857399010289e-25,3.4613142868575029e-33,2.2220216198724306e-27,1.5194823134918357e-26,9.185180727358206e-24,9.2576024850791322e-24,7.381809646245644e-26,1.5407586643155159e-35,2.740101392701006e-26,3.0172942691693166e-24,3.5474790237872929e-29,4.9173677388203402e-42,1.3646982369810325e-27,1.8142094321555871e-37,1.5574242333822826e-36,4.5718929311408366e-38,7.0846196144934681e-18
6.693478300930128e-17,0.0058250496261559705,2.9809184617839955e-17,1.3570240933607459e-23,1.3230034229201622e-26,6.1351098766504966e-26,7.4046318042702306e-36,0.0,0.0,1.0605846553480192e-18,3.6286759873559314e-30,7.257380754462195e-39,7.7357894966938971e-39,6.5433549586336387e-44,1.1139805788855581e-62,5.6395154056355713e-40,4.0694732402534137e-30,2.3383947047403012e-22,6.4356302246368908e-34,4.6582834638084211e-68,3.0307660984079366e-58,5.2098614973782711e-38,4.2418510395367267e-36,1.1904334112280678e-32,1.0049151801617573e-54,7.7381031294032078e-35,4.8020465834373073e-56,9.1940880812458805e-38,5.945815344616668e-22,7.2391984798181161e-33,1.3917243657842176e-26,4.5459707583350237e-15,2.3440289238907763e-44,4.0964090373888463e-58,8.9235683750232424e-47,2.4313293797650746e-44,0.88168480800000004,0.0,0.0094599999999887881,0.10885,6.6342708443491711e-15,6.6342706993678387e-15,4.545970377492929e-15,7.5113319821888543e-18,5.8482372582379906e-18,2.9241188102990941e-18,1.8299472104472973e-26,2.7224873224432127e-24,2.1404879179141369e-26,1.8595319902912386e-24,9.1845236808267898e-25,3.9494828654654391e-24,2.904170304316299e-32,9.2764994217591338e-27,6.3435413604765716e-26,3.8346320915269568e-23,3.8648667183889464e-23,3.0817600961345166e-25,1.2951004296628625e-34,1.1439383859050384e-25,1.2596609569267617e-23,1.481003651602499e-28,4.1333380892878821e-41,5.6973495088574558e-27,1.5249531702749924e-36,1.3091090943832911e-35,3.8429523550674082e-37,1.4585981097100591e-17
1.3578198839029688e-16,0.005825049626156038,6.0470258282410971e-17,2.7555414096699825e-23,5.4049161065728552e-26,2.5063996050249271e-25,6.0707807406363845e-35,0.0,0.0,2.1514760980698722e-18,1.4824351251132484e-29,5.9500392456221554e-38,6.3422912170065486e-38,1.0747479717151346e-42,3.7100292431763221e-61,4.6236153543541321e-39,1.6625125313290991e-29,9.5531052889616774e-22,5.2763184589713975e-33,1.5525416767995341e-66,4.9780496958882663e-57,4.271360088131639e-37,3.4777256272235306e-35,4.8633113412487866e-32,3.3636677106113588e-53,6.3441642570045014e-34,1.5788078373896695e-54,7.5378686992448749e-37,2.4290595176546437e-21,5.9351322417434765e-32,5.6856483111176492e-26,9.2218267127008688e-15,3.8500743730179164e-43,7.3269287194015189e-57,1.4656987684952789e-45,2.0121249848312619e-43,0.88168480800000004,0.0,0.0094599999999772574,0.10885,1.3458092157850486e-14,1.3458091565554482e-14,9.2218251568367091e-15,1.5237273064819977e-17,1.1863565929897184e-17,5.9317837051287814e-18,7.4759257467937086e-26,1.1122247592277977e-23,8.744584376347211e-26,7.5967945988885952e-24,3.752177663464048e-24,1.6134924515927556e-23,2.3788740330678411e-31,3.7897498910841807e-26,2.5915451114770378e-25,1.5665722882658075e-22,1.5789240942416621e-22,1.2589994565945087e-24,1.0618014717117033e-33,4.6733615108491677e-25,5.1461259862929842e-23,6.0503912585043474e-28,3.3887507982556998e-40,2.3275556348032862e-26,1.2502501010052342e-35,1.073287030975131e-34,3.1506859475399635e-36,2.9588702635875525e-17
2.734763991522881e-16,0.005825049626156173,1.2179300819095716e-16,5.5608549496357998e-23,2.1847659889603045e-25,1.0131324831540397e-24,4.9163018643444505e-34,0.0,0.0,4.33327227488964e-18,5.9922606833180339e-29,4.8184960959139772e-37,5.1361901048918715e-37,1.7422126298401008e-41,1.2110210872523831e-59,3.7443234267346266e-38,6.7201408908590001e-29,3.8615178346943779e-21,4.272899447664233e-32,5.0751880442814587e-65,8.0696566729775127e-56,3.459059544521585e-36,2.8163521574229005e-34,1.9658301643555493e-31,1.1006523988646988e-51,5.1376683668848553e-33,5.1208251614921129e-53,6.1043611922228621e-36,9.8186464762816378e-21,4.8064238936155441e-31,2.2982300892029032e-25,1.8573539586560581e-14,6.2411359082520552e-42,1.3680568942748934e-55,2.3759607629838033e-44,1.6392434038688226e-42,0.88168480800000004,0.0,0.0094599999999541943,0.10885,2.7105734400285838e-14,2.710573200613107e-14,1.8573533297509372e-14,3.0689154059463844e-17,2.3894219988378316e-17,1.1947112986115996e-17,3.0218841043835556e-25,4.4957891374898735e-23,3.5346950040618546e-25,3.0707455709190781e-23,1.5166902491817881e-23,6.5219931111979846e-23,1.925611573622138e-30,1.5318752291658812e-25,1.0475451666867379e-24,6.3323353222708076e-22,6.382263089709204e-22,5.0890763076946445e-24,8.5987418722650389e-33,1.8890474000728452e-24,2.0801463707949142e-22,2.4456714343714798e-27,2.7442828799936325e-39,9.4083719122267642e-26,1.0124871466189647e-34,8.6917615425654982e-34,2.5515094761425396e-35,5.959414000766936e-17
5.488652206762706e-16,0.0058250496261564415,2.4444091832519152e-16,1.1204598311032193e-22,8.7849483282145656e-25,4.0738069057894269e-24,3.9571096481075066e-33,0.0,0.0,8.6969177940383192e-18,2.4094784628373052e-28,3.8783449375654722e-36,4.1341141967296156e-36,2.8057792594343334e-40,3.9138480607224585e-58,3.0137569809505992e-37,2.7021386346270841e-28,1.5526992861959364e-20,3.4392011478286766e-31,1.6450176911666951e-63,1.2996009304258431e-54,2.7841543107937291e-35,2.2668448766204546e-33,7.9045324134202119e-31,3.561437319784173e-50,4.135241934261999e-32,1.6497418826568038e-51,4.913320451270992e-35,3.948034188349991e-20,3.8686279791728904e-30,9.2410832038001468e-25,3.7276969194791262e-14,1.0051155168571976e-40,2.7731661501635011e-54,3.8264111952172694e-43,1.3269756078417001e-41,0.88168480800000004,0.0,0.009459999999908068,0.10885,5.4401017346886362e-14,5.440100772009849e-14,3.7276943906796906e-14,6.1592911366293652e-17,4.7955514966013574e-17,2.3977769513408809e-17,1.2150825985021858e-24,1.8077360990807054e-22,1.4212806388015729e-24,1.2347330727129215e-22,6.0985451510096671e-23,2.6224636568529881e-22,1.5495534438506461e-29,6.1595846693534354e-25,4.2121426718925777e-24,2.54620390882702e-21,2.5662794778939331e-21,2.0462945633828067e-23,6.9210127374031179e-32,7.5957761646796284e-24,8.3641768087255038e-22,9.833989949849213e-27,2.2088128580056111e-38,3.7830809636677521e-25,8.1494128135201726e-34,6.99589373911612e-33,2.0536805192710147e-34,1.1960499192824256e-16
1.0996428637242353e-15,0.005825049626156978,4.8974637985843327e-16,2.2624555376284814e-22,3.5232377067975758e-24,1.633815470520639e-23,3.1753989999157629e-32,0.0,0.0,1.7424421494411446e-17,9.6632210288042371e-28,3.1121276909846182e-35,3.3174650845937062e-35,4.5038955839336002e-39,1.2586587870302801e-56,2.4183497574934911e-36,1.0836780785587906e-27,6.2270181857982774e-20,2.759742229106082e-30,5.321032783284146e-62,2.0861717135221335e-53,2.2341121182801518e-34,1.8189996800067817e-32,3.1700836959331009e-30,1.1460029973232871e-48,3.3182703660737882e-31,5.2969741781275117e-50,3.9426294237349757e-34,1.5833379882580025e-19,3.1043301232821261e-29,3.7060885605189353e-24,7.4683843853290974e-14,1.6134324235625321e-39,6.272680793741356e-53,6.1422361824679286e-42,1.0737171912885465e-40,0.88168480800000004,0.0,0.0094599999998158171,0.10884999999999999,1.0899157708699827e-13,1.0899153847929849e-13,7.4683742437154804e-14,1.2340040725024614e-16,9.6078052364152525e-17,4.8039074429324303e-17,4.8729949285085567e-24,7.2498227481584256e-22,5.6999335380232353e-24,4.9518301391405542e-22,2.4457896628257232e-22,1.0517243459631102e-21,1.2432800686335714e-28,2.4702543062764217e-24,1.6892653277235027e-23,1.0211414297122709e-20,1.0291924971577046e-20,8.206551314498889e-23,5.5536723659251047e-31,3.0462456925482127e-23,3.3544087886421707e-21,3.9439120570352072e-26,1.7723934918363647e-37,1.5171975001231851e-24,6.5394473851551394e-33,5.6137767915035552e-32,1.647955244857038e-33,2.396266044774099e-16
