Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HCO(14),C(T)(15),CH(16),CH2(T)(17),CH3(18),CH2O(19),HCCO(20),C2H(21),C2H2(22),H2CC(23),CH2(S)(24),CH3OH(25),CH3O(26),CH2CO(27),C2H3(28),C2H4(29),CH4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),N2,Ne,C7H16(1),O2(2),C3H7(70),C4H9(69),C5H11(71),C7H15(75),C7H15(72),C7H15(73),S(137),S(108),S(136),S(106),C2H5O2(54),S(107),CH3OO(41)
0.0,0.0018711691619915554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0018711691619915554,6.9147720914867289e-27,9.8815267883080972e-35,4.5329719024437747e-36,5.1665516176836744e-53,4.0615169421718711e-45,0.0,0.0,6.3967988615902782e-24,8.5361155127953894e-36,4.5511700001467231e-53,1.1006036908860704e-53,2.2729262356834007e-58,-8.1461163105752537e-90,2.024226182497824e-59,9.3425133392284965e-47,5.8530610744111386e-32,2.3144927659515634e-43,-5.0212070083380218e-100,1.2829538371378498e-93,3.4390938495017173e-60,4.8345818241323107e-53,8.8534983602036715e-48,-4.7479426461112693e-74,1.2607786597646636e-45,1.3941379293688502e-71,5.2177605724786391e-52,4.6550997251186535e-31,2.2817359110787499e-42,1.6849073101393308e-34,7.8119033369190296e-23,1.116088236326251e-55,-1.8369557450352786e-77,2.4593456340630633e-59,-7.066680354111095e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.8857889551977559e-23,8.8857887765269051e-23,7.8119032527239529e-23,2.8443941509871434e-24,2.3728774589873664e-24,1.1864392818305709e-24,1.104673813012076e-30,4.5227932529607667e-30,1.3274631812114859e-30,3.3624759108350325e-30,3.4677937602473774e-30,5.1106654611034356e-30,2.520850696291104e-39
3.0000000000000002e-15,0.0018711691619915554,2.2719964723637493e-26,3.3957278670830912e-34,2.9788101312725503e-35,5.785387129265442e-52,3.8294302844857376e-44,0.0,0.0,2.101805442138563e-23,5.6094474552243866e-35,4.2910922645321066e-52,1.0377129493443725e-52,2.792451717068691e-57,4.5851003709932601e-88,1.9085558361205818e-58,6.1393666952057487e-46,3.8462971419104459e-31,2.18223598289545e-42,2.7820833218326941e-98,1.9433530627358035e-92,4.2251712675300128e-59,4.5583181486316705e-52,5.8179862055221535e-47,1.0896367782699261e-70,1.1887341327240162e-44,2.1111230093363496e-70,4.9196023002851018e-51,3.0590654695167043e-30,2.1513509490281405e-41,1.1072247808218249e-33,2.5667681167258249e-22,1.3711939450540887e-54,5.5525928177394816e-76,3.0214815305222708e-58,2.3379608152858626e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9196162601946614e-22,2.9196161427823934e-22,2.5667680613976333e-22,9.3458621346716923e-24,7.7965937358350857e-24,3.8983004975592259e-24,7.2592834892128332e-30,2.9721212025634463e-29,8.7233275643779025e-30,2.2096269900959397e-29,2.2788358518789301e-29,3.3584372164441666e-29,2.3768020256215589e-38
7e-15,0.0018711691619915554,5.0379047581404921e-26,8.4880570127117601e-34,1.618918634312607e-34,8.4222685423802974e-51,6.1851104405925718e-43,0.0,0.0,4.6605257665445013e-23,3.0486131655789389e-34,6.9306031245488914e-51,1.6760769360991744e-51,1.4124579136628016e-55,3.8957018085599527e-86,3.082602722787418e-57,3.3366151158557381e-45,2.0903784020632361e-30,3.5246409610492923e-41,1.09181284869768e-95,3.2103660977365147e-90,2.1371434412609826e-57,7.3623469721343793e-51,3.1618535330148131e-46,1.016613934951351e-68,1.9199852589103729e-43,3.4865360910632012e-68,7.9458953338100637e-50,1.6625353544524402e-29,3.474756962566968e-40,6.0175251698925298e-33,5.6915285137382744e-22,6.9356797463218081e-53,9.3271624274047529e-75,1.5283060094810887e-56,8.436282484655677e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.4739309944215298e-22,6.4739303563115544e-22,5.6915282130416783e-22,2.0723405364269114e-23,1.728807579896514e-23,8.64405762576854e-24,3.9452572215973065e-29,1.6152829865780987e-28,4.7409321313188266e-29,1.2008841028108407e-28,1.2384975768511596e-28,1.8252373114878772e-28,3.8388945137934681e-37
1.5e-14,0.0018711691619915554,1.0569719927611879e-25,2.1573815873085739e-33,7.1620966607211343e-34,7.782511699464274e-50,5.7522692165458561e-42,0.0,0.0,9.7779684002241209e-23,1.3487067717705245e-33,6.4453559533346146e-50,1.5588023942060303e-50,2.7165209549291699e-54,1.4497629800841967e-84,2.86687234409498e-56,1.4761205710817077e-44,9.2478305275217658e-30,3.2779810647787596e-40,9.8449129070919947e-94,1.2601089945220775e-88,4.1102712404520701e-56,6.8470806984658969e-50,1.3987338308766147e-45,4.4968374984120476e-67,1.7856216174705422e-42,1.3678490191036999e-66,7.3898203933358129e-49,7.3550547412845333e-29,3.2315880259869558e-39,2.6621525378041962e-32,1.194104692075115e-21,1.3339115287119525e-51,1.6177767984575355e-73,2.9393321412059357e-55,7.330892887028024e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3582558304706752e-21,1.3582555481709531e-21,1.1941045590470128e-21,4.3478406870988263e-23,3.627096923111868e-23,1.8135571884445068e-23,1.7453777203293192e-28,7.1460099066017355e-28,2.0973834052160901e-28,5.3127103085730146e-28,5.4791120399461746e-28,8.0748476161492592e-28,3.5702426395982287e-36
3.1e-14,0.0018711691619915554,2.1633344658226002e-25,5.934973003705153e-33,2.9852867283476111e-33,6.5644790662252286e-49,4.8549067039529931e-41,0.0,0.0,2.0012861607048366e-22,5.6216464621527617e-33,5.4394804844948857e-49,1.3156588638682494e-49,4.6186787267395012e-53,5.0190028275119355e-83,2.4196256457297948e-55,6.1527434398852172e-44,3.8546534343487528e-29,2.7666088095796692e-39,8.7079897323851496e-92,4.3062058093020086e-87,6.9883351883073906e-55,5.7788585496812685e-49,5.8295937793003499e-45,1.5952698268509668e-65,1.5070606101700256e-41,4.6695279036593588e-65,6.2369776748866099e-48,3.0657131408220927e-28,2.7274531857531257e-38,1.1096309056452601e-31,2.4440074186736123e-21,2.2679454941566767e-50,3.5050726820818232e-72,4.9975245799064957e-54,8.0384813255479287e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7799804292608423e-21,2.7799792525876636e-21,2.4440068641899742e-21,8.8988070077265019e-23,7.4236473321246944e-23,3.7118600410829685e-23,7.2750041366464302e-28,2.9785793320757084e-27,8.7422176455712849e-28,2.2144291004949387e-27,2.2837880045198293e-27,3.3657348315194639e-27,3.0132768995914241e-35
6.300000000000001e-14,0.0018711691619915554,4.3760571686137409e-25,1.8131909747185873e-32,1.2165209427882864e-32,5.3726658437229835e-48,3.973477291015436e-40,0.0,0.0,4.0482679778509115e-22,2.2908534523937956e-32,4.4512819683806706e-48,1.0768474366826622e-48,7.5773793041631281e-52,1.6639707140094329e-81,1.9803151651469682e-54,2.5072898263493023e-43,1.5707898476545798e-28,2.2643151079234105e-38,8.2148259183050428e-90,1.4175771461389085e-85,1.146494844950938e-53,4.7295715901026217e-48,2.3751270822130457e-44,5.3409610065062236e-64,1.233444934016255e-40,1.5339848127687152e-63,5.1045949479247803e-47,1.2492936276290012e-27,2.2322684104197427e-37,4.5218021641986401e-31,4.9438090526601554e-21,3.7207943604043789e-49,8.5299511845386978e-71,8.1989713506765784e-53,9.8332201088092788e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.6234261737778909e-21,5.6234213787795632e-21,4.9438067931140192e-21,1.800060372831018e-22,1.501663504227675e-22,7.5084657499725128e-23,2.9645766855573505e-27,1.2137858904237297e-26,3.5624682256605079e-27,9.0239123074868515e-27,9.3065517651940169e-27,1.3715537079096224e-26,2.4661991316687078e-34
1.2700000000000001e-13,0.0018711691619915554,8.8014936008675414e-25,6.109276154409199e-32,4.9092151102639724e-32,4.3438609917454638e-47,3.2124701030911156e-39,0.0,0.0,8.1422443152297789e-22,9.2446453860807732e-32,3.5977355508888203e-47,8.7069204919460837e-48,1.226289194409483e-50,5.4141236610917975e-80,1.6010144488628881e-53,1.0118156391906295e-42,6.3388281301322131e-28,1.8306433749963543e-37,8.5094645338162932e-88,4.6095283735219037e-84,1.8554112827882903e-52,3.8235780390308768e-47,9.5809711972525542e-44,1.7458841437710837e-62,9.9720977174584529e-40,4.9673942313274364e-62,4.1269019280953856e-46,5.0414554913910607e-27,1.8047344010473587e-36,1.8247483412795208e-30,9.9433970438382919e-21,6.0216166625688867e-48,2.2848014083111132e-69,1.3269041548991466e-51,1.3221223650782355e-54,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1310303850592646e-20,1.1310284500677439e-20,9.9433879255868719e-21,3.62036535043338e-22,3.020215804546948e-22,1.5101677182201995e-22,1.196318935353736e-26,4.8981638083656959e-26,1.4375904170118399e-26,3.6415513022627022e-26,3.7556076149163137e-26,5.5348270580650912e-26,1.9938615737609734e-33
2.55e-13,0.0018711691619915554,1.7652330572047175e-24,2.2128207971509399e-31,1.9721459535571862e-31,3.4928526973534497e-46,2.5830473486259407e-38,0.0,0.0,1.6330247802028887e-21,3.7137973329625837e-31,2.8911740797182402e-46,7.0023188499791844e-47,1.9727137005934299e-49,1.7463347993104599e-78,1.2872819604164061e-52,4.0647806012727508e-42,2.5464362291520006e-27,1.4719534320337231e-36,9.5685440706738153e-86,1.495679633940381e-82,2.9846937771055988e-51,3.0741342446771919e-46,3.845892835640633e-43,5.6448562909912716e-61,8.0181947374256597e-39,1.5985600272247552e-60,3.3182295595322229e-45,2.0252601092579846e-26,1.4511209682595954e-35,7.3304032134542737e-30,1.9942511919389683e-20,9.6870465792379628e-47,6.5841334163680328e-68,2.1346335645528162e-50,1.9102409275101186e-53,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2684003955615212e-20,2.2683926223170741e-20,1.9942475289609788e-20,7.2607578536140697e-22,6.0571394498466073e-22,3.0288100104461934e-22,4.8057104616851646e-26,1.9676950440949414e-25,5.7749144799578872e-26,1.4628897990118129e-25,1.5087076216273869e-25,2.2234561821682887e-25,1.6031910661486643e-32
5.11e-13,0.0018711691619915554,3.535386094098237e-24,8.3872878506283381e-31,7.9053513379990452e-31,2.80128016730531e-45,2.0715910485403499e-37,0.0,0.0,3.2706458021348589e-21,1.4886829983986226e-30,2.31606112323353e-45,5.6179960968354063e-46,3.1644599044886695e-48,5.6084669446212579e-77,1.0323231397019039e-51,1.6294333765877828e-41,1.0207246501484314e-26,1.1804832490508485e-35,1.1386958966815254e-83,4.8780278528059797e-81,4.7875373625884968e-50,2.4649816720181912e-45,1.5392222710764436e-42,1.8155745273517986e-59,6.4304573475488741e-38,5.129327994701068e-59,2.661068789294092e-44,8.11818032103587e-26,1.1637759367366505e-34,2.9383652488157673e-29,3.9940497246272155e-20,1.5539647707685796e-45,1.9891658264990521e-66,3.4243969958542269e-49,2.8904919836420193e-52,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5431183173395898e-20,4.5430871588077568e-20,3.9940350418589775e-20,1.4540673164132499e-21,1.2130263011124028e-21,6.066094618018083e-22,1.9262249146785606e-25,7.8874189161272163e-25,2.3146987568186875e-25,5.8639480142185883e-25,6.0475988156805245e-25,8.9126275295830173e-25,1.2857334975634042e-31
