Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267)
0.0,0.012016941338955034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.501910627075989e-18,0.012016941338955039,6.3842110225754002e-19,3.0158102365984875e-25,3.5732356359678949e-29,3.5268951120823807e-29,1.0145997829140258e-40,0.0,0.0,1.9175179353387601e-20,1.4657460025148199e-33,9.4312439684851379e-44,4.5547561370267983e-43,1.3102230628986137e-57,3.3737815804800483e-37,2.0018075467708438e-43,3.9661522186068414e-25,3.5046972857382091e-37,6.2176279525883875e-33,2.0739556891672668e-43,1.1358380986108337e-24,2.6701777565593974e-62,1.6433758743214988e-35,9.7802738028704499e-48,3.9623962018835717e-39,7.118337563529552e-54,2.03361828633235e-36,5.973357870583556e-46,1.8755378994639113e-16,8.891775664214861e-42,1.6451167105992253e-50,5.6805513627711322e-42,2.9616445815175068e-63,5.3788783269448235e-49,4.4938645320183786e-30,1.127593014043845e-29,2.7934678495969299e-29,3.8552212342961662e-30,2.6009467219311887e-27,6.3375079089278856e-43,1.2591581154641859e-41,6.6842727631178071e-41,2.678798910689586e-39,7.6089023748460093e-41,1.2002552230397153e-31,2.0289443707950947e-47,1.8816207435290671e-53,4.0813248607986092e-53,4.444874710676272e-65,4.9941622817287619e-64,1.0729615797478624e-59,3.5742143421472872e-92,2.2772814772183116e-83,5.4967880641285553e-54,1.5294590308000468e-40,1.1826422910632981e-51,1.5149752156035211e-44,1.8782281586133523e-58,1.1430995995385949e-41,9.6128095780335924e-56,6.4236709170856072e-68,3.685252514789797e-39,2.7487665886522128e-30,2.6518751026334514e-33,4.4721912190975721e-45,2.978278690694437e-60,9.0116150111562887e-86,1.7031124910364446e-66,0.88168480800000004,0.0,0.0094599999999995382,0.10885,2.735384633088698e-16,1.8755378916250636e-16,2.7353846369754473e-16,3.0349178767526782e-19,2.3606953557617323e-19,1.1803476790894599e-19,6.6702336784311943e-27,4.5844218630117571e-27,1.6264040258137498e-29,1.4198340256390301e-29,1.5584461145994058e-27,7.194352596525471e-30,2.0715439395319793e-31,7.615446995087622e-26,5.7119866452041415e-28,7.7258010932898795e-26,1.8970685440685475e-26,1.727086770179873e-28
7.005349755812769e-18,0.01201694133895505,1.7875796878894402e-18,8.4446462165110783e-25,2.1582344864523424e-28,2.1302452458933719e-28,1.204533148785646e-39,0.0,0.0,5.3690511734780982e-20,8.8531071685393131e-33,1.1196772970111125e-42,5.4074065013346558e-42,2.9309165326438027e-56,4.0053534364087453e-36,2.3765459435784664e-42,2.3955559398370401e-24,4.1607766173078875e-36,3.7554472723483196e-32,2.4622001923615254e-42,6.8604621068937615e-24,1.2756111678270808e-60,9.9259904330618307e-35,1.1653148817502348e-46,4.7041567663080467e-38,1.5923436161428362e-52,2.3744732195394618e-35,7.0915705711451388e-45,5.2515061284555771e-16,1.0556316054702456e-40,1.9530825527946099e-49,6.7439505788260224e-41,6.6250805024479116e-62,1.1842666603739945e-47,2.7142941233815393e-29,6.810661815610135e-29,1.6872545942446073e-28,2.3285536009382872e-29,1.5709718213711612e-26,7.5238894048097503e-42,1.4948725125312514e-40,7.9355685749233597e-40,3.1802700351283468e-38,9.0332885400213195e-40,7.2495412322128612e-31,2.4087660900842589e-46,4.2091103301452633e-52,9.129760452052512e-52,9.9988678769755997e-64,1.1171751647394283e-62,2.4001721209747939e-58,4.0654111511454156e-90,9.448781283829837e-82,1.7282782439332209e-52,1.8157737430342079e-39,2.6455234632092761e-50,1.7985785827827059e-43,4.201518106989405e-57,1.3570878206501057e-40,2.150347055362865e-54,2.6506730079282806e-66,4.3751318159484417e-38,1.660254928526872e-29,1.6017325648709174e-32,5.3093852614366601e-44,6.6622899411273504e-59,1.0250062040666147e-83,7.0279354581196548e-65,0.88168480800000004,0.0,0.0094599999999987073,0.10885,7.6590769593885164e-16,5.2515060811089364e-16,7.6590769828644825e-16,8.4977700401863662e-19,6.6099469636954149e-19,3.3049734891478004e-19,4.0288211077163548e-26,2.768990776227693e-26,9.8234799461938572e-29,8.5757972085361088e-29,9.4130145156289956e-27,4.3453888110884099e-29,1.251212578606339e-30,4.5997299784027328e-25,3.4500399195926752e-27,4.6663838489454597e-25,1.1458294005226103e-25,1.043160432600046e-27
1.601222801328633e-17,0.012016941338955069,4.0858992654265401e-18,1.9303828393540633e-24,1.0390971664310619e-27,1.025621995886978e-27,1.1826180531327995e-38,0.0,0.0,1.2272121467875062e-19,4.2623913453374919e-32,1.0993058374915533e-41,5.309023801233408e-41,5.7909969500204561e-55,3.9324796367996557e-35,2.3333069510776632e-41,1.1533570648686314e-23,4.0850751552628687e-35,1.8080861920901042e-31,2.4174027456580178e-41,3.3030171776867945e-23,6.641968464770227e-59,4.7789372707668806e-34,1.1530103327555761e-45,4.6185689987542919e-37,3.1462025523074514e-51,2.3106278562420541e-34,6.9625462662360358e-44,1.2003442626265403e-15,1.0364253671216499e-39,1.9175480191852085e-48,6.6212506713728521e-40,1.3090042809085652e-60,2.3185893498405412e-46,1.3068157249746161e-28,3.2790405010171654e-28,8.1234047029487778e-28,1.1210982980684294e-28,7.5635530872467403e-26,7.3869992661710688e-41,1.4676746927267833e-39,7.7911881793947987e-39,3.1224079122085578e-37,8.8689354939934295e-39,3.4903417161790084e-30,2.3649478911260975e-45,8.3164926806888552e-51,1.8038868119947605e-50,1.9997630086037877e-62,2.2073543580719002e-61,4.742335584555228e-57,3.6804031001053853e-88,3.7828895764233968e-80,3.8556943033888584e-51,1.7827373894725305e-38,5.2271083979014924e-49,1.7658551324428878e-42,8.3014781214858834e-56,1.3323968190636452e-39,4.2487234341995026e-53,1.0485162459972713e-64,4.2955303785722914e-37,7.9934118745148137e-29,7.7116528416627652e-32,5.2127856079646567e-43,1.3163560680163267e-57,9.279344610180367e-82,2.7801761976314859e-63,0.88168480800000004,0.0,0.0094599999999970454,0.10885,1.7506461558948805e-15,1.2003442398311707e-15,1.750646167197547e-15,1.9423474308169229e-18,1.5108450049813035e-18,7.5542250600537364e-19,1.9397039026036648e-25,1.3331498342167071e-25,4.7295823524846443e-28,4.128876887072882e-28,4.5319612764279481e-26,2.0921174992501618e-28,6.0240503630942989e-30,2.2145719762261964e-24,1.6610456952594258e-26,2.2466629408262547e-24,5.5166753247294509e-25,5.0223686788541058e-27
3.402598452823345e-17,0.012016941338955109,8.6825480455938256e-18,4.1028233624922116e-24,4.5380117737590115e-27,4.4791660643766089e-27,1.0460126231912846e-37,0.0,0.0,2.6078277329142212e-19,1.8614994588855585e-31,9.723236132772833e-41,4.6957714876505897e-40,1.0304768885669292e-53,3.4782334940527614e-34,2.0637836649981394e-40,5.0370133145075655e-23,3.6132027116181324e-34,7.8963873290537294e-31,2.1381653454696524e-40,1.4425143717264655e-22,2.6506201070921325e-57,2.0870875962362587e-33,1.0356518692512948e-44,4.0850719585553692e-36,5.5984989820900883e-50,2.0348295627080539e-33,6.1582937280528426e-43,2.5507315781191028e-15,9.167064948457205e-39,1.6960494847119555e-47,5.8564212391088447e-39,2.3293032340559442e-59,4.1069581354608198e-45,5.7072071193215426e-28,1.4320431445524618e-27,3.5477043718530038e-27,4.8961305866188894e-28,3.3032023573858148e-25,6.5337172535901912e-40,1.2981416367365861e-38,6.8912175259437758e-38,2.7617343189729721e-36,7.844471652704793e-38,1.524323645092696e-29,2.0917821868146924e-44,1.4798754248333166e-49,3.2099201873775466e-49,3.6448295692627737e-61,3.9278852035754931e-60,8.4387325657126365e-56,2.7894208055486921e-86,1.3823477956692827e-78,7.2212910196731917e-50,1.5768109630547924e-37,9.3013595509834988e-48,1.5618788926621636e-41,1.4771988000644262e-54,1.1784898074074228e-38,7.5603764044879068e-52,3.7416243314696229e-63,3.7993479887434217e-36,3.4909321567932804e-28,3.3678814249893254e-31,4.6106492575085764e-42,2.342384735669219e-56,7.032921072301263e-80,9.9222142775856359e-62,0.88168480800000004,0.0,0.00945999999999372,0.10885,3.7201230545911985e-15,2.5507314785657358e-15,3.7201231039529114e-15,4.127488260859687e-18,3.2105455703049333e-18,1.6052728005022639e-18,8.4711962437383258e-25,5.8222153160381237e-25,2.0655325397157475e-27,1.803188737760032e-27,1.9792265398865516e-25,9.1368253607867472e-28,2.6308614097053207e-29,9.6716175809933444e-24,7.2542228206945755e-26,9.8117672117529084e-24,2.4092770494977716e-24,2.1934005610051565e-26
7.00534975581277e-17,0.012016941338955188,1.7875884106299877e-17,8.4501207665013819e-24,1.8945317986618731e-26,1.8699681332547715e-26,8.7923717652237029e-37,0.0,0.0,5.3690650141569931e-19,7.7714036265586764e-31,8.1729666671851843e-40,3.9470789748052789e-39,1.7380496286545306e-52,2.923664476448587e-33,1.7347346751903223e-39,2.1028539034945363e-22,3.0371145888785976e-33,3.2965861868021983e-30,1.7972567954706461e-39,6.0222134772509994e-22,9.4207005947747287e-56,8.7131810082840673e-33,8.9715358427421867e-44,3.4337490962589011e-35,9.4426856162350891e-49,1.7067264655172346e-32,5.1764176229229503e-42,5.2515062728266155e-15,7.7054703582985826e-38,1.4256317483318854e-46,4.9226749333068327e-38,3.9287105512095837e-58,6.9112248821430046e-44,2.3826462221689911e-27,5.9784983109108671e-27,1.4810968364346463e-26,2.044037955580342e-27,1.3790219704477997e-24,5.4919831348194958e-39,1.0911662509634005e-37,5.7924832440985898e-37,2.3214039014935041e-35,6.5937488107816642e-37,6.3637487990485222e-29,1.7582900955299511e-43,2.4960261637695448e-48,5.4139995230428375e-48,6.4389763064759782e-60,6.6250067126711684e-59,1.4233155143834314e-54,1.9395941349793272e-84,4.8887039928379304e-77,1.2472992403660496e-48,1.3254045082321069e-36,1.568810050899439e-46,1.3128533627623171e-40,2.4914952295590239e-53,9.9059154082277646e-38,1.2751680062412567e-50,1.2639024062926982e-61,3.1935809301237239e-35,1.4573947755884498e-27,1.4060242195966119e-30,3.8755275379827811e-41,3.9507723547698746e-55,4.8902623039059034e-78,3.3524668785497505e-60,0.88168480800000004,0.0,0.0094599999999870708,0.10885,7.6590767671208813e-15,5.251505857210912e-15,7.659076973196303e-15,8.4977698267300059e-18,6.6099464933526453e-18,3.3049733107588686e-18,3.5365574212218882e-24,2.4306600667807332e-24,8.6231889872565712e-27,7.5279557307254236e-27,8.2628810687138042e-25,3.8144435535578579e-27,1.098333142589399e-28,4.0377099043043202e-23,3.0284951224440328e-25,4.0962195806095783e-23,1.0058257407427883e-23,9.1570173213838172e-26
1.4210852361791616e-16,0.012016941338955346,3.626271022919091e-17,1.7154381059882588e-23,7.7397904894570405e-26,7.6394665414561812e-26,7.2085262626890543e-36,0.0,0.0,1.089156401260035e-18,3.1748799832576826e-30,6.7006932225405096e-39,3.2360539766873189e-38,2.8547508747466853e-51,2.3969961966600398e-32,1.4222405450048744e-38,8.5908443277929475e-22,2.4900100313654715e-32,1.346762954943522e-29,1.4734996877115658e-38,2.4602706521741979e-21,3.1731512634490027e-54,3.5596196759764753e-32,7.7920465587730203e-43,2.8151949200080442e-34,1.5509635501247502e-47,1.3977877049440189e-31,4.2439410275092194e-41,1.0653055917131179e-14,6.3174100003653541e-37,1.1688189776535283e-45,4.0359063356317925e-37,6.4529194978931264e-57,1.1338827054365388e-42,9.7338839580203714e-27,2.4424116995206181e-26,6.0507646467700146e-26,8.3505604995939085e-27,5.6337547940348377e-24,4.5026597449361103e-38,8.9460399570048867e-37,4.7490272165591237e-36,1.9032268428283339e-34,5.4059499165716338e-36,2.5997971034788982e-28,1.4415871000967086e-42,4.0997303266695575e-47,8.8925103267485837e-47,1.1533479354745104e-58,1.0881771495119089e-57,2.3377997568667894e-53,1.2933328940906024e-82,1.7506929121190104e-75,2.0724089933411373e-47,1.0866465028530607e-35,2.5767745988543771e-45,1.0763565769232407e-39,4.0922343266426487e-52,8.121465455091835e-37,2.0944673478040048e-49,4.1534114278240195e-60,2.6182906211758523e-34,5.9539276314406966e-27,5.7440678875017908e-30,3.1773900255625684e-40,6.4891493059158731e-54,3.2608497259790534e-76,1.1022012751592137e-58,0.88168480800000004,0.0,0.0094599999999737724,0.10885,1.5536983852728447e-14,1.0653054219205484e-14,1.5536984694613723e-14,1.7238332581609946e-17,1.3408747509050087e-17,6.7043740163234572e-18,1.4447988934465853e-23,9.9300377032592054e-24,3.522851809301449e-26,3.0754136749102781e-26,3.3756564265781301e-24,1.5583236929772506e-26,4.4870516563067206e-28,1.6495362026147991e-22,1.237238988637243e-24,1.6734392853463339e-22,4.1091263379982891e-23,3.740941792800158e-25
2.8621857573749315e-16,0.012016941338955667,7.3036978480832685e-17,3.460156402354737e-23,3.1285550855454395e-25,3.088024079283353e-25,5.8376654467315113e-35,0.0,0.0,2.1936659753321829e-18,1.2833437408566737e-29,5.4263972998696413e-38,2.6206406709300078e-37,4.627671401401867e-50,1.9411487245312064e-31,1.1517676723907251e-37,3.4725566231208094e-21,2.0164746758728642e-31,5.4438306484643163e-29,1.1932782195604498e-37,9.9448069088540188e-21,1.0414617451365778e-52,1.4388559383201045e-31,7.0174221054575917e-42,2.2798177581651386e-33,2.5141774605820669e-46,1.131364539070677e-30,3.4368552804290333e-40,2.1456156225298377e-14,5.1160021745248068e-36,9.4653981027420208e-45,3.26838160442913e-36,1.0460462592495246e-55,1.837031320100585e-41,3.9345888610578705e-26,9.8726191304117182e-26,2.4458164603463579e-25,3.3754288535079235e-26,2.277253829196834e-23,3.6463708589101824e-37,7.2447347372966889e-36,3.8458845342136204e-35,1.5412819090422314e-33,4.3778723499548825e-35,1.050878000163039e-27,1.1674907289664358e-41,6.6458390671624004e-46,1.4415141967115951e-45,2.1800415562230364e-57,1.7640397865871354e-56,3.7896733397395034e-52,8.4479987309613519e-81,6.6085268586678167e-74,3.3785583504330091e-46,8.79994202570358e-35,4.1770606534679314e-44,8.7166157721062232e-39,6.6335128966313904e-51,6.5769692609549044e-36,3.3952220494794395e-48,1.3458385183519989e-58,2.1203596709900023e-33,2.4066682462349949e-26,2.3218442221971287e-29,2.5731302312707593e-39,1.0519170721568312e-52,2.1299658522605156e-74,3.574856470429934e-57,0.88168480800000004,0.0,0.0094599999999471756,0.10885,3.1292796666136508e-14,2.145614936201174e-14,3.1292800069170914e-14,3.4719456583928069e-17,2.7006346218854784e-17,1.3503174167658849e-17,5.8401064479657055e-23,4.0138785727712192e-23,1.4239911999750994e-25,1.2431298653989486e-25,1.3644942179400031e-23,6.2989857531881787e-26,1.8137399547392378e-27,6.6676887414990272e-22,5.0011171123181061e-24,6.7643085879026979e-22,1.6609745604125484e-22,1.5121496419905013e-24
5.744386799766471e-16,0.012016941338956307,1.4658797900710754e-16,6.9650582942092977e-23,1.2579846905687834e-24,1.2417046716884762e-24,4.6986835036281108e-34,0.0,0.0,4.4027242210132065e-18,5.160320928232486e-29,4.367640176044134e-37,2.1093200214856306e-36,7.4527131548854325e-49,1.5624038534656412e-30,9.2704347617389277e-37,1.3962997372910851e-20,1.6230342397872096e-30,2.1889399231951216e-28,9.6045407468948696e-37,3.9987627728579397e-20,3.3749327465702872e-51,5.7855824913128706e-31,6.7867034718957651e-41,1.8349955476178704e-32,4.0490011383771521e-45,9.1037964704064156e-30,2.7662830345925524e-39,4.3062360919864221e-14,4.117803256004183e-35,7.6185742300526843e-44,2.6306778836078457e-35,1.6846259005325122e-54,2.957644653907318e-40,1.5820787319518016e-25,3.9697371595526615e-25,9.8345256170187503e-25,1.3572441196998777e-25,9.1567380163551683e-23,2.9349169098688602e-36,5.8311922121006402e-35,3.0955011172221995e-34,1.2405569112525693e-32,3.5236827924528408e-34,4.2255217041382687e-27,9.3978844848230837e-41,1.0702917450615643e-44,2.3215140208138394e-44,4.5107195694099506e-56,2.8411176536531839e-55,6.1031494795249581e-51,5.4620848257149676e-79,2.7283760445586247e-72,5.456408675216985e-45,7.0829539513000387e-34,6.727020930167228e-43,7.0158925496708549e-38,1.0682503453586356e-49,5.2937105607919357e-35,5.4679011567467329e-47,4.3273784037896754e-57,1.7066499978871417e-32,9.6770710003156172e-26,9.3360346436097549e-29,2.0710748967486494e-38,1.6940735934625023e-51,1.3771267674521045e-72,1.1516187292124984e-55,0.88168480800000004,0.0,0.009459999999893982,0.10885,6.2804416861725294e-14,4.3062333322894625e-14,6.2804430545173244e-14,6.9681698558805811e-17,5.4201530352117273e-17,2.7100769431160021e-17,2.3482797636902655e-22,1.6139617667866082e-22,5.7257912938485369e-25,4.9985583413476265e-25,5.4865705799823095e-23,2.5327882201372785e-25,7.2929841357485449e-27,2.6810480539265811e-21,2.0109266344252335e-23,2.719898279609107e-21,6.6787056174350016e-22,6.0802965068642518e-24
1.1508788884549549e-15,0.012016941338957584,2.9369983614804111e-16,1.40367260612891e-22,5.0451329958686545e-24,4.9799817647624561e-24,3.7704336764756744e-33,0.0,0.0,8.820997102544708e-18,2.0695613541654655e-28,3.5047618633122074e-36,1.6925971492468545e-35,1.1963226330743474e-47,1.2537282624325587e-29,7.43895052700415e-36,5.5997863926352544e-20,1.3023827483610303e-29,8.7786246084471073e-28,7.7070382857855196e-36,1.6036824431541254e-19,1.086791598737827e-49,2.3202821953652855e-30,7.2730076336678662e-40,1.4724681642712264e-31,6.4995302091848923e-44,7.3042571280095186e-29,2.2197725833931915e-38,8.6274786621915324e-14,3.3042771790257821e-34,6.1134233961120604e-43,2.1109533683577196e-34,2.7041997386135413e-53,4.7470023193353121e-39,6.3448261195169702e-25,1.5920424955671491e-24,3.9440888038832944e-24,5.4431481288988197e-25,3.6722619119098692e-22,2.3550866524204983e-35,4.679163580268931e-34,2.483942547700427e-33,9.9546741733159162e-32,2.8275178940647708e-33,1.6946131561754069e-26,7.5426602922030067e-40,1.7180548072184342e-43,3.7265436481365436e-43,1.0450601472864626e-54,4.5612200593388745e-54,9.7968981951811618e-50,3.5136458553609443e-77,1.2609024268714426e-70,8.7711073289695884e-44,5.683616503025396e-33,1.0798337597642308e-41,5.629814891151069e-37,1.7145971630632892e-48,4.2478589332170885e-34,8.7771946091756164e-46,1.3840548302250108e-55,1.3694792505072869e-31,3.8809092784396503e-25,3.7441683744937507e-28,1.6619004796001659e-37,2.7193426795449646e-50,8.858635306979209e-71,3.6971638433974398e-54,0.88168480800000004,0.0,0.0094599999997875949,0.10885,1.2582763552800158e-13,8.6274675945757128e-14,1.2582769040471773e-13,1.3960615838959523e-16,1.0859184547336531e-16,5.4295939801528167e-17,9.4176412913837452e-22,6.4726992935844919e-22,2.2962866169922227e-24,2.0046356974047176e-24,2.2003596678894934e-22,1.0157563471458896e-24,2.9248252966720154e-26,1.0752199711028894e-20,8.0647107154406529e-23,1.0908004971385047e-20,2.6784596347870671e-21,2.438478309139404e-23
