Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513)
0.0,0.006098105860583042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.006098105860583042,2.3495293469659469e-28,4.1656282205276835e-37,3.1248308826446372e-35,2.8396761212911177e-37,1.0158862521665031e-43,0.0,0.0,2.1186138067934588e-25,5.0478433506933074e-38,1.63806401305904e-55,8.0066990822331417e-57,2.237163608955088e-69,1.4107512835898839e-35,9.7339278252851906e-53,2.135986497307769e-24,1.7673626415669281e-35,2.2440719714915726e-49,5.8008447368451567e-50,9.9812048848386218e-33,-4.8046367902087651e-64,1.6740938950160361e-50,7.2674705729244825e-50,4.6042632679027932e-39,8.9918275239113313e-61,2.8886677742125292e-32,5.691386713002332e-59,3.555796741392317e-24,3.7589003744489286e-55,8.2000221035452129e-73,7.2079898626682229e-56,2.5203383172885974e-85,1.8442938322300851e-44,1.1619462633323674e-37,1.7206528105903272e-36,1.7113892533179973e-35,1.0281943931707435e-38,1.0875397258447031e-31,1.3706365221806945e-52,4.7084548016558078e-58,1.8716684480016194e-50,5.4772145959286832e-49,1.05373715951229e-43,2.5399016178686487e-36,6.7004489057195397e-57,2.7906529421299399e-64,1.2918632682532447e-63,5.6488531685604134e-80,6.241791773279357e-82,1.4811022496214254e-74,3.6361527682540039e-118,4.6411076265010445e-107,-1.0129627939982071e-64,1.845485337437153e-48,3.5848348072648102e-57,2.9548202103968627e-53,8.6934390425015264e-67,2.500740439345482e-49,9.1465387490701392e-61,8.9144389255232269e-81,5.1203913804890065e-43,1.5837240525207909e-36,3.5544474558081635e-41,1.0921897764416124e-52,5.9746052017441398e-73,-1.3132108000745354e-92,7.0957606945898381e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.884196361126318e-24,3.5557967045187593e-24,3.8841964862406646e-24,9.161770817714997e-26,7.6962135579218403e-26,3.8481067808484139e-26,1.6481692516602999e-31,1.5129419157359927e-31,1.2610525222133813e-32,1.0635074430105176e-32,4.1060383362204209e-32,5.2698188738051263e-33,2.7353119931619387e-35,2.5013493704835835e-34,9.2697108714428269e-35,1.8241208406866295e-34,3.9092252477461378e-34,1.1902429554957716e-33,2.135986405344559e-24,5.0353850862390653e-27,2.5243583321938643e-32,9.4346367744995165e-32,3.3089560802016414e-39,3.88141659460258e-42,2.2423294526958485e-34
3.0000000000000002e-15,0.006098105860583042,7.7198837624294088e-28,1.5060153252627376e-36,2.0534621746634205e-34,1.8660730502147121e-36,9.5783622049092998e-43,0.0,0.0,6.9611599173496698e-25,3.3171542570898069e-37,1.5444945396395799e-54,7.5493037620547329e-56,2.7484989316658431e-68,9.2706523810699179e-35,9.1777038827200909e-52,7.0182412558108365e-24,1.161409729232485e-34,1.4747123830184525e-48,3.8119826861006602e-49,6.5590774013400672e-32,2.8415992696866366e-62,1.1001178293390404e-49,6.8521862104744e-49,3.0256586986624683e-38,8.4783082086277699e-60,1.8982673834670471e-31,5.3679669935666818e-58,1.1683331771310957e-23,3.5441059463527335e-54,7.7315820264957416e-72,6.7961047256768911e-55,3.0964155763802567e-84,1.7389056062134335e-43,7.6355333388967441e-37,1.1307146881554512e-35,1.1246289948479295e-34,6.7567054615629266e-38,7.1466895259342528e-31,1.2923144294700895e-51,4.4393999369806954e-57,1.7647158787821296e-49,5.1642305993080346e-48,9.9352332587691438e-43,1.6690775271139491e-35,6.317568970338849e-56,3.4285162849041899e-63,1.5871462664138708e-62,8.5539772327746915e-79,7.7415701273680727e-81,1.8196398025036719e-73,5.5070992213053603e-117,8.353993289583831e-106,5.9909551329449421e-63,1.7400288828007731e-47,4.4042254157940882e-56,2.7859763114133805e-52,1.0680496268589069e-65,2.3578227395626988e-48,1.1237185370596096e-59,1.3496941345459797e-79,4.8277975397322069e-42,1.0407150639433872e-35,2.3357797423344185e-40,1.0297705558692992e-51,7.3401698764661228e-72,7.0162965901630366e-91,1.0744977193833795e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2762358925120042e-23,1.1683331528999018e-23,1.2762359747300026e-23,3.0102957107720837e-25,2.5287555332494493e-25,1.2643777678650925e-25,1.0830826302161606e-30,9.942189540767133e-31,8.2869160344900021e-32,6.9887627454930061e-32,2.6982537510894438e-31,3.4630236024233408e-32,1.7974911304355566e-34,1.6437438431161288e-33,6.0915242085693166e-34,1.198707960912544e-33,2.568919444877604e-33,7.8215966536485028e-33,7.0182406514811841e-24,1.6544836023170107e-26,1.6588639107380454e-31,6.1999040105359654e-31,3.1198726862596099e-38,3.6596219031747904e-41,1.4735307555825539e-33
7e-15,0.006098105860583042,1.7118013565165893e-27,4.2229787539379784e-36,1.1160187004408522e-33,1.0141707389953579e-35,1.547059671880075e-41,0.0,0.0,1.5435617183497679e-24,1.8028014219150244e-36,2.4950875928796261e-53,1.2193256670097136e-54,1.3901297849046806e-66,5.038401883654726e-34,1.4823389800891552e-50,1.5562186537322072e-23,6.3120091626699776e-34,8.0146715779690928e-48,2.0717261908698087e-48,3.5647156451025636e-31,5.4826184331536688e-61,5.9788424580453348e-49,1.1067314058619359e-47,1.6443796559367737e-37,1.3693843584272931e-58,1.0316670172756387e-30,8.696764134031428e-57,2.5906515836874427e-23,5.7242662978255373e-53,1.2487650167519711e-70,1.0976738815466131e-53,1.5662089785093358e-82,2.8085959204250351e-42,4.1493449110204405e-36,6.1451879586232656e-35,6.1121767339703314e-34,3.6721205858896226e-37,3.8840700371809243e-30,2.0872835239949058e-50,7.1702990253128424e-56,2.8502822451552999e-48,8.3410103552995923e-47,1.6046865351594139e-41,9.0710495070576879e-35,1.0203873424992194e-54,1.734190242009955e-61,8.0280051776812659e-61,1.4126963984930019e-76,4.3595679663068717e-79,9.2039856985785149e-72,9.0964581697142854e-115,4.6510483454961355e-103,1.1559056196424586e-61,2.8104080710673609e-46,2.227717427492069e-54,4.4998178276159304e-51,5.4022556540990091e-64,3.8079708703890389e-47,5.6839809735313738e-58,2.2239484562527071e-77,7.7976238066163328e-41,5.655427715457276e-35,1.2694454614259842e-39,1.6631114792984398e-50,3.7123997900516407e-70,2.5613620926294769e-88,1.7744645276685329e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8299140182722673e-23,2.5906514519961979e-23,2.829914465109145e-23,6.6750008618360695e-25,5.6072382776404908e-25,2.8036191455614217e-25,5.8863179042340968e-30,5.4033632046255503e-30,4.5037568044812169e-31,3.7982390260478527e-31,1.4664422110686721e-30,1.8820772351645347e-31,9.7689874006629926e-34,8.9333894290998289e-33,3.3106107057297195e-33,6.5147164676747271e-33,1.3961518593385852e-32,4.2508680611639861e-32,1.5562183252922453e-23,3.6686371097629006e-26,9.0155599179294741e-31,3.3695124990499752e-30,5.0390642928611051e-37,5.9108518941434883e-40,8.0083183471167827e-33
1.5e-14,0.006098105860583042,3.5914304772117278e-27,1.2331448882333243e-35,4.937315581174779e-33,4.4866957808587736e-35,1.4388077211435273e-40,0.0,0.0,3.2384536905908197e-24,7.9755949253496211e-36,2.3212009467011478e-52,1.1340029201507153e-53,2.6733007978620945e-65,2.228991822354913e-33,1.378604152208938e-49,3.2650075298876092e-23,2.792432680618035e-33,3.5457156815585372e-47,9.1652907275595343e-48,1.5770299560184434e-30,9.8315281197008295e-60,2.6449979795615532e-48,1.0292802593650253e-46,7.274735071693019e-37,1.2735975518082845e-57,4.5640945981344816e-30,8.1270915171026905e-56,5.4352876586170714e-23,5.3236724402806536e-52,1.1613803152593122e-69,1.0208572998138038e-52,3.0122304476024601e-81,2.6120467481233451e-41,1.8353752171543453e-35,2.7186307384374014e-34,2.70407300267852e-33,1.6245447159210953e-36,1.7183123218316043e-29,1.9412127145911959e-49,6.668506040859952e-55,2.6508140960509761e-47,7.7572895240722765e-46,1.4923824996463359e-40,4.0130146570587791e-34,9.4898554956875965e-54,3.3353030283276053e-60,1.5439970248394645e-59,5.542338108708758e-75,9.663974139301104e-78,1.7701679499320514e-70,3.5697175242151276e-113,3.6893844413318471e-101,2.0728003799877551e-60,2.6137290015195082e-45,4.284485968887558e-53,4.1849791424058814e-50,1.0389710995137991e-62,3.5410903184684999e-46,1.0931958940678844e-56,8.6962583432329143e-76,7.2519354089985997e-40,2.5014965832042111e-34,5.6160263486573464e-39,1.5465439894431627e-49,7.1388870267893185e-69,1.9449517751167336e-86,6.9611982715227406e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9372692040362104e-23,5.4352870760152287e-23,5.937271180842051e-23,1.4004403079556214e-24,1.1764196947725603e-24,5.8820985036858051e-25,2.6041064982932589e-29,2.3904473847644209e-29,1.9924606066972114e-30,1.6803397718467388e-30,6.4875400113677122e-30,8.3263037383560531e-31,4.3218102159828038e-33,3.9521307319066895e-32,1.4646139725077279e-32,2.8821100426366374e-32,6.1765757310761949e-32,1.8805842614715162e-31,3.2650060768697039e-23,7.6969427830739211e-26,3.9884801696108001e-30,1.4906719252686081e-29,4.6864202431699127e-36,5.4972148800218446e-39,3.5428793189817027e-32
3.1e-14,0.006098105860583042,7.3507013591830583e-27,3.9246583706124492e-35,2.0579986256614719e-32,1.8701363004399073e-34,1.2143732700725851e-39,0.0,0.0,6.6282397111177048e-24,3.3243675890576856e-35,1.9602882754481196e-51,9.5711288957949335e-53,4.5442629593535827e-64,9.2908479040582199e-33,1.163541484678797e-48,6.6825845616111886e-23,1.1639342766006478e-32,1.4779428714972483e-46,3.8202311482771666e-47,6.5733326276174668e-30,1.6822799666130895e-58,1.1024470308852086e-47,8.6870969684547224e-46,3.0322354375332321e-36,1.0749940534387231e-56,1.9023936272678708e-29,6.9238107305192213e-55,1.1124556855745604e-22,4.4931666142473915e-51,9.802165669657278e-69,8.6160190640397977e-52,5.1214714264144876e-80,2.2045629879129406e-40,7.6477603199833814e-35,1.1331721491387693e-33,1.1271420415572443e-32,6.7713727333010824e-36,7.1622219142598339e-29,1.638380193023401e-48,5.6281974272097758e-54,2.2372797216517721e-46,6.5471288996291044e-45,1.2595583330496533e-39,1.6726797984689957e-33,8.0095251316952159e-53,5.670769587544389e-59,2.625147246484145e-58,1.8920307331284675e-73,2.073142532046237e-76,3.0096856293255909e-69,1.2193314441710348e-111,2.5240844491752268e-99,3.5468147197584593e-59,2.2059776994082861e-44,7.2845973776680932e-52,3.5322219260927639e-49,1.7664036615468178e-61,2.9880215013631076e-45,1.8587379490584359e-55,2.949359285461454e-74,6.1206200770061212e-39,1.0422888322157581e-33,2.3408569718698418e-38,1.3049808531427423e-48,1.2134254584948037e-67,1.355313152674399e-84,2.3760990931262235e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2151975312540765e-22,1.1124554427361795e-22,1.2151983552206519e-22,2.8663175177442826e-24,2.4078087013172829e-24,1.2039043630893668e-24,1.0854363533677141e-28,9.963795628921371e-29,8.3049102611703985e-30,7.0039383143806356e-30,2.7041190303013857e-29,3.4705430938249335e-30,1.8014138261916652e-32,1.6473160851718873e-31,6.104763632580773e-32,1.2013130729464182e-31,2.5745039120674357e-31,7.8386035523160687e-31,6.6825785051842763e-23,1.5753548763375521e-25,1.6624648914941444e-29,6.2133760688954955e-29,3.9553243396684289e-35,4.6396599191626764e-38,1.4767330192122423e-31
6.300000000000001e-14,0.006098105860583042,1.4869293685367454e-26,1.358698034839903e-34,8.3867786572708109e-32,7.620936156362167e-34,9.9393388970627015e-39,0.0,0.0,1.3407820056342402e-23,1.3546987696854492e-34,1.606345549986585e-50,7.8337233229982461e-52,7.4522421793946993e-63,3.7860895933036943e-32,9.5229811339775833e-48,1.3517735742710677e-22,4.7430941531789824e-32,6.0229235272131726e-46,1.5567477504732745e-46,2.6786670697354475e-29,2.7797008940600466e-57,4.4922551699458576e-47,7.1098952320515727e-45,1.2356520365245741e-35,8.7995517226432698e-56,7.7523553039659805e-29,5.772164108487943e-54,2.2503083439092049e-22,3.6774044504327802e-50,8.0227688735519435e-68,7.0517410122335198e-51,8.4023303662073431e-79,1.804314014566572e-39,3.1145551491058214e-34,4.6177352179500562e-33,4.5934688700664513e-32,2.7593616420644224e-35,2.9186425335270382e-28,1.3409243895519641e-47,4.6063544576361819e-53,1.8310862293602276e-45,5.3584496403694066e-44,1.0308632482432489e-38,6.8161441709965324e-33,6.555526153587403e-52,9.3035198253151049e-58,4.3068521533338778e-57,6.2155131362699183e-72,4.8101406116491989e-75,4.9377185972428165e-68,4.0102980865146927e-110,1.6593737741378794e-97,5.8606498993942116e-58,1.8054635399844415e-43,1.1951188258249355e-50,2.891104111981959e-48,2.8977097150016996e-60,2.4444672419060833e-44,3.0496522824773681e-54,9.5643518920465142e-73,5.009390535285063e-38,4.2443146044958661e-33,9.5391166393821442e-38,1.067566569517122e-47,1.9896223438688061e-66,9.0026830341828528e-83,7.8037652283762192e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.4581370477480397e-22,2.2503073543311008e-22,2.4581404054531492e-22,5.7980590023622542e-24,4.8705758045694224e-24,2.4352879529403319e-24,4.4232084142088597e-28,4.0602974649757761e-28,3.3842866840749605e-29,2.8541350842142772e-29,1.1019429507074104e-28,1.4142611955432187e-29,7.3409264375913829e-32,6.7128974095639727e-31,2.4877229388457188e-31,4.8954124619706069e-31,1.0491242430814123e-30,3.1942749857313807e-30,1.3517711062474719e-22,3.1866739258717564e-25,6.7746111838583574e-29,2.5319817686519451e-28,3.2372059197948321e-34,3.7973400208570408e-37,6.0177623882821069e-31
1.2700000000000001e-13,0.006098105860583042,2.9906680586043276e-26,5.0028941845442577e-34,3.384703899803512e-31,3.075415795486357e-33,8.036310084462083e-38,0.0,0.0,2.6967013963409939e-23,5.4668294222618806e-34,1.3018570529613873e-49,6.3338416735746638e-51,1.2050519675627021e-61,1.527873300562707e-31,7.6991660278438333e-47,2.7188026575528855e-22,1.9140519238952257e-31,2.4307050238133836e-45,6.2820423335275276e-46,1.0809619112081773e-28,4.5174798228901626e-56,1.8126052294581591e-46,5.7481611110213843e-44,4.9864115913698291e-35,7.1163655597226492e-55,3.1284241917797112e-28,4.8370319014408754e-53,4.5260089362240486e-22,2.9730883295650187e-49,6.4866074347884457e-67,5.7011756884743607e-50,1.3598189110774096e-77,1.4587471130948565e-38,1.2552949684092193e-33,1.8634626397297286e-32,1.8539168937154307e-31,1.1135194914469689e-34,1.1778027641289442e-27,1.0841070238449128e-46,3.724106413947097e-52,1.4803843462043728e-44,4.3321585731787749e-43,8.3340340790163213e-38,2.7505280908412518e-32,5.3002673998743985e-51,1.5056678726069392e-56,6.9701781395627017e-56,2.012732186475985e-70,1.2343774062851759e-73,7.9911275441578824e-67,1.3016579897739969e-108,1.0749342263003305e-95,9.5248660589163848e-57,1.4596630022451137e-42,1.9341648246467676e-49,2.3376729960462993e-47,4.6887391591007073e-59,1.9745788220530384e-43,4.9361215595125754e-53,3.0194979361787662e-71,4.0499764114029616e-37,1.7103027345594265e-32,3.8494626789296553e-37,8.6231487443755121e-47,3.2163078554968148e-65,5.8633268387277291e-81,2.5257766386737546e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.9440092599272839e-22,4.5260049428410149e-22,4.944022809757672e-22,1.1661490232257709e-23,9.7960663721396385e-24,4.8980333904858661e-24,1.7849615998256502e-27,1.6385108738449385e-27,1.3657051358906018e-28,1.1517662348433975e-28,4.4468360470595278e-28,5.7071513320990348e-29,2.9624499374290908e-31,2.7089534729796309e-30,1.0039075473068991e-30,1.9755173795719895e-30,4.233689949055228e-30,1.2890355498185293e-29,2.7187926979882246e-22,6.4093034388522309e-25,2.7338429042400384e-28,1.0217669151394665e-27,2.617191140640153e-33,3.070116277897334e-36,2.4284352565049831e-30
2.55e-13,0.006098105860583042,5.9982263375343942e-26,1.9138323491279082e-33,1.3599202497361575e-30,1.2354834142472746e-32,6.4626607357226516e-37,0.0,0.0,5.4085534643493065e-23,2.196155777225524e-33,1.0518668118625412e-48,5.0935638473403782e-50,1.9353894985359699e-60,6.1379347102924685e-31,6.1907281324889472e-46,5.4528562123720922e-22,7.6891741897960932e-31,9.7661670339997711e-45,2.5235280238728331e-45,4.3424591612903155e-28,7.284356203772791e-55,7.2798584369556487e-46,4.6218617276451917e-43,2.0031526118370474e-34,5.7254568577154854e-54,1.2567578733356024e-27,4.1632966583164073e-52,9.0773912235143991e-22,2.3905465018433459e-48,5.2162799198058158e-66,4.5841320583324479e-49,2.1875960619996732e-76,1.1729306578483416e-37,5.0302470867199176e-33,7.4859351874094196e-32,7.4495625218758544e-31,4.4731995398687844e-34,4.7314901384152536e-27,8.7169478610046619e-46,2.9943881385406314e-51,1.1903163907430734e-43,3.4833032323153892e-42,6.700701331801704e-37,1.1048740424516008e-31,4.2622093558981967e-50,2.4222356159891233e-55,1.1213343218760416e-54,6.4772279383947531e-69,3.4526049061651669e-72,1.2855676201266486e-65,4.2084119974229007e-107,6.9192113774996882e-94,1.5359734517382548e-55,1.1736454253877401e-41,3.1115850530526577e-48,1.8800955459012705e-46,7.5401835531930987e-58,1.5849413411238073e-42,7.9429142571525444e-52,9.2528129481065544e-70,3.256448794106062e-36,6.8509126644272502e-32,1.5464150505476617e-36,6.9209535819536497e-46,5.162459160071423e-64,3.7850891220671492e-79,8.120106462148264e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.9157264012038724e-22,9.0773751812822725e-22,9.915780833733786e-22,2.3388145738661959e-23,1.9646872954865022e-23,9.8234372985995673e-24,7.1705731795144734e-27,6.5822492813794895e-27,5.4862877757138988e-28,4.6268564570562887e-28,1.7863936912727805e-27,2.2926669030064714e-28,1.1901271355916239e-30,1.0882449581568915e-29,4.0329160544120733e-30,7.9360799079868093e-30,1.7007690696911749e-29,5.1783586824578965e-29,5.4528162027455393e-22,1.2854528120593597e-24,1.0982316667987493e-27,4.1046525971152922e-27,2.1043706082879725e-32,2.4686643843537545e-35,9.7555455960777817e-30
5.11e-13,0.006098105860583042,1.2013666486350876e-25,7.4798210047993463e-33,5.4528807303799661e-30,4.9525767993509872e-32,5.1844754514383573e-36,0.0,0.0,1.0832310746325535e-22,8.803320681522225e-33,8.5174746732859067e-48,4.0861655054786815e-49,3.094516997946184e-59,2.4604816309445065e-30,4.9650408684179032e-45,1.0920944875095946e-21,3.082192864231303e-30,3.9159400920880128e-44,1.0114649182579214e-44,1.7406625590358633e-27,1.1702532222406473e-53,2.9166919862652434e-45,3.7066202611348311e-42,8.029601796285341e-34,4.5972562467401689e-53,5.0376932009059355e-27,3.7785723341696934e-51,1.818008020936531e-21,1.91717200253274e-47,4.18439364578127e-65,3.6764412067225256e-48,3.5093966644408487e-75,9.4068042870082796e-37,2.0063730369745597e-32,3.0007163891750234e-31,2.9877068569331537e-30,1.7930289865698289e-33,1.8966046964893372e-26,6.9909169308844109e-45,2.4014040083257598e-50,9.5460430250604754e-43,2.7935102703541601e-41,5.3732290951787433e-36,4.4282720274597281e-31,3.418958814127274e-49,3.8858318408870128e-54,1.7989156639845269e-53,2.0783871029568555e-67,1.0244918354121714e-70,2.0623475927793642e-64,1.3629333323213986e-105,4.440586949721437e-92,2.4679260097255824e-54,9.4121891191053175e-41,4.9917322397935581e-47,1.5085357479076741e-45,1.2087234914181189e-56,1.2667242103023749e-41,1.2748511517166904e-50,2.7097800347593627e-68,2.6116374455025975e-35,2.7304666019182824e-31,6.1987785076340196e-36,5.5304130673205462e-45,8.2443113197184387e-63,2.4336185210354726e-77,2.6003185287958165e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.9859051552652109e-21,1.8180015904979553e-21,1.9859269743225826e-21,4.6840628969724923e-23,3.9347787937224254e-23,1.9673897260102818e-23,2.8742994015264274e-26,2.638471843001713e-26,2.1991254777297673e-27,1.8546310916260545e-27,7.1607322687907476e-27,9.1899309920793728e-28,4.7709643186980656e-30,4.3621946587505317e-29,1.6165839046581239e-29,3.1811527928659212e-29,6.8175148150135763e-29,2.0757485302659423e-28,1.0920784498524601e-21,2.5744840108255357e-24,4.4021305656011677e-27,1.645332543804453e-26,1.687644285720489e-31,1.9799836973039498e-34,3.910477332351159e-29
