Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566)
0.0,0.0034820617813153872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0034820617813153872,1.9192487816702283e-25,2.1759049878423278e-33,3.0484827219483278e-32,8.5012099886253308e-34,2.2406454220936143e-40,0.0,0.0,2.4161176134330906e-23,3.4717006652883335e-35,1.8933014902598457e-50,3.0604062205662578e-51,1.2023395417904065e-63,1.7441189576672793e-32,3.3535737421374682e-48,7.7143061572327947e-22,2.8663154874671833e-32,4.5180629778433708e-44,9.041462321188955e-45,1.0606061296722878e-29,2.3252719530426501e-46,1.364354639188787e-45,2.3792369908904651e-45,2.0002146869177727e-35,4.705926884809955e-55,1.245545413406154e-29,9.2938556307095448e-54,1.0767568342846144e-21,4.1668270838531749e-50,3.2477726892935384e-65,8.367605882321239e-51,1.547709660598528e-77,4.8982583694175248e-41,1.2798876272020275e-34,2.5440752017047033e-33,1.29346475601289e-32,3.4956418849763314e-35,5.2474814256140913e-29,5.092487153192933e-48,2.2044953363653394e-52,5.9195380216218488e-46,9.7433479531457939e-45,1.3710444857917183e-40,1.2452250731070373e-33,2.7319602669405503e-52,5.5315604159975344e-59,2.2048652400724601e-58,2.1105689154813205e-73,1.4559129194319825e-74,6.8637131044063418e-68,5.8561891246910802e-107,7.3021821964338401e-98,-1.34096581584797e-58,3.7921310656690735e-44,9.795695150163545e-53,6.7028809838183863e-49,1.3065288009782735e-61,2.5156353483109402e-45,2.8410923018114871e-56,4.2368514539597556e-74,1.3328719307305438e-39,2.3878217706194935e-33,7.1990311344423734e-38,1.9173117469583017e-48,7.6809913212915547e-67,-7.1337537768813856e-86,9.0819134529355423e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.267343705687491e-21,1.0767568094395023e-21,1.2673437728433844e-21,1.0466284066969352e-23,8.6755639964635926e-24,4.3377820014627035e-24,9.0644642132374309e-29,7.7683823308437662e-29,2.5978164170262819e-30,2.1616611971110586e-30,2.3526847591624909e-29,1.0744105136241343e-30,3.8498915561734603e-33,3.0958531732391378e-31,1.6063650545163538e-31,2.3499045007781596e-31,3.8608907532064132e-31,4.5538671116665651e-31,7.7143054386665645e-22,8.7345999011966149e-25,2.3516022424520043e-29,5.7441366159904928e-29,5.6018903585054174e-36,9.8002402787555983e-40,6.5300826730610003e-32,9.7089180448130218e-38,5.0653133592004292e-31,5.9123600091384828e-32,1.4098098689612018e-38,2.7918137877637908e-41,1.8445588757376679e-42,2.0612718067530565e-42,1.303629249120049e-47,1.6564662440304089e-46,1.3699242520578816e-56,1.7652636848843827e-52,1.1905931306911841e-57,9.6988737894764177e-57,1.8197063471292144e-61,4.1968865467448234e-61
3.0000000000000002e-15,0.0034820617813153872,6.3061101286555208e-25,7.688091247803481e-33,2.0032931669701299e-31,5.5865121129991528e-33,2.1126118638708651e-39,0.0,0.0,7.9386737431481442e-23,2.2814034923412183e-34,1.7851405581998159e-49,2.8856052106657788e-50,1.477147210098933e-62,1.146135504142786e-31,3.1619411507394114e-47,2.5347005602180688e-21,1.8835787378244611e-31,2.9691299152662084e-43,5.9415296826666256e-44,6.9696972487913324e-29,2.1923992527118864e-45,8.9657737789057969e-45,2.2432803658224958e-44,1.3144267793627717e-34,4.4371832759543811e-54,8.1850126650553686e-29,8.7642774321333898e-53,3.537915132464702e-21,3.9287224517686648e-49,3.062269316616363e-64,7.8894571412638163e-50,1.9014723839997716e-76,4.6183578711143805e-40,8.410500757899451e-34,1.6718208098149539e-32,8.4999545692402436e-32,2.2971354896332336e-34,3.4483448594423812e-28,4.801487896538016e-47,2.0785239179490012e-51,5.5812777465812897e-45,9.1865834866079202e-44,1.2926977948502104e-39,8.1828958911702019e-33,2.5758546646794681e-51,6.7959163200167648e-58,2.7088343534490746e-57,3.1960037906623482e-72,1.7999213570558151e-73,8.4325604026350014e-67,8.8700329960362488e-106,1.3143925694978835e-96,7.930856185541503e-57,3.5754370445814644e-43,1.2034709351027142e-51,6.3198811284459968e-48,1.6051577387577999e-60,2.3718580600362167e-44,3.4904941146658314e-55,6.4142190691427408e-73,1.2567078007121845e-38,1.5690964897063563e-32,4.730791899029654e-37,1.8077291882636314e-47,9.436541164495017e-66,3.8114609863090376e-84,1.3752542655556394e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.164129016873477e-21,3.537914969196831e-21,4.1641294581836058e-21,3.4389210521938469e-23,2.8505417414498425e-23,1.4252708728481044e-23,5.9566476969017018e-28,5.1049367695054897e-28,1.7071362486293001e-29,1.4205200124205392e-29,1.5460499811320072e-28,7.0604108912281788e-30,2.5299332832777832e-32,2.0344177579957931e-30,1.0556113067727816e-30,1.5442229284809185e-30,2.537156852242714e-30,2.9925416124200502e-30,2.5347000880174313e-21,2.8699397731211572e-24,1.5453383810520163e-28,3.7747181542865879e-28,5.2817816323585603e-35,9.2402378139391107e-39,4.2911970381399605e-31,9.1541232818976196e-37,3.3286333653150405e-30,3.8852670794903034e-31,1.329249725715647e-37,2.632282095131626e-40,1.7391680971832815e-41,1.9435094295667209e-41,1.6016031474096321e-46,2.0350871942774038e-45,2.0744210953139099e-55,2.1687458699155049e-51,1.8028475624666456e-56,1.4686649666754185e-55,3.275311658484616e-60,7.5543009705838859e-60
7e-15,0.0034820617813153872,1.3983158735456747e-24,2.0513865109456108e-32,1.0887622718808282e-30,3.0361574074679479e-32,3.4122374394913191e-38,0.0,0.0,1.7603156323470976e-22,1.2398939026142411e-33,2.8836233332594975e-48,4.6606782124856808e-49,7.4708396887866185e-61,6.2290039915909428e-31,5.1070169096187925e-46,5.6204227606318568e-21,1.0236840574500627e-30,1.6136339299280933e-42,3.2290826708710833e-43,3.7878783214847776e-28,3.5410567184417512e-44,4.8726164256025829e-44,3.6232343419591191e-43,7.1436232740311458e-34,7.1667758215677741e-53,4.4483762658669012e-28,1.4177832661677688e-51,7.8449410907983902e-21,6.345478652563503e-48,4.9460078484305811e-63,1.2742671120494543e-48,9.6179031844940912e-75,7.4593474106923758e-39,4.570254760750882e-33,9.0859813528293236e-32,4.6196936785186883e-31,1.2484410570218388e-33,1.8741001933978174e-27,7.7551305879630426e-46,3.3571272603085327e-50,9.0145950033521728e-44,1.4837698679027675e-42,2.0878836779797349e-38,4.4471845374389454e-32,4.160490507757797e-50,3.4374646698155667e-56,1.370165700816831e-55,5.2782214766002483e-70,9.7860575813642344e-72,4.2652981442736694e-65,1.4652174998975652e-103,7.3178129150408697e-94,1.5302065099941242e-55,5.7748604593824288e-42,6.0873127828355989e-50,1.0207889959023334e-46,8.1187341736210634e-59,3.8305149655132407e-43,1.7655970063949716e-53,1.0554214550406865e-70,2.0297732166030678e-37,8.5261591732434042e-32,2.5710825915882416e-36,2.9194325543052368e-46,4.772493770151223e-64,1.3914423852079281e-81,2.2710748158603078e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.2335015300909368e-21,7.8449402034734063e-21,9.2335039285148702e-21,7.6254281323663476e-23,6.3207618723259614e-23,3.16038094770206e-23,3.2373077717953709e-27,2.7744214827016969e-27,9.2779054123954113e-29,7.7202102859052205e-29,8.4024454272484993e-28,3.8371760995905535e-29,1.3749798191775098e-31,1.1056616780151454e-29,5.7370174493699226e-30,8.3925148839375942e-30,1.3788898466981827e-29,1.6263826111588305e-29,5.6204201943249886e-21,6.3637782459036633e-24,8.3985698323475623e-28,2.051476573927649e-27,8.5308671590169599e-34,1.4924550887499128e-37,2.3321717834173813e-30,1.4785304289487771e-35,1.8090358837149652e-29,2.111565023074109e-30,2.1469459368212072e-36,4.2515421692454185e-39,2.8092063181254378e-40,3.1394261511998366e-40,8.1012231899544709e-45,1.0293760730607742e-43,3.4250472749454429e-53,1.096941506132743e-49,2.976171871489183e-54,2.4250964746397859e-53,1.8225747896104421e-57,4.2050826217408037e-57
1.5e-14,0.0034820617813153872,2.9337392080141639e-24,5.6658242311475716e-32,4.8168017173616766e-30,1.343203033332696e-31,3.17351657984087e-37,0.0,0.0,3.6932152351788687e-22,5.4852957713773492e-33,2.6823385504934517e-47,4.3345566756357079e-48,1.4366160496469281e-59,2.7557162779862249e-30,4.749625726182617e-45,1.1791866493330315e-20,4.5287779821228391e-30,7.1387877574262473e-42,1.4285391567915116e-42,1.6757569151980047e-27,3.293248810380546e-43,2.1555895464412407e-43,3.3696710427463628e-42,3.1603385492441681e-33,6.6654854153146776e-52,1.9679615258752683e-27,1.3218040405151893e-50,1.6458989497782639e-20,5.9014092848632565e-47,4.5999079102124132e-62,1.1850926813544028e-47,1.8497746327704762e-73,6.9373326014836362e-38,2.0213888212213732e-32,4.019637188348198e-31,2.0438649856273471e-30,5.5230874809472452e-33,8.2910172442275863e-27,7.2124171467627747e-45,3.1221857999087457e-49,8.3837217539962901e-43,1.3799300857860548e-41,1.9417430878766998e-37,1.9674039485625473e-31,3.8694727703124689e-49,6.6111399628459096e-55,2.6351893920121484e-54,2.0707672897199268e-68,2.0786768988548048e-70,8.2032712294263587e-64,5.7505652928264832e-102,5.8047529727596645e-92,2.7440371407664189e-54,5.3707109167126477e-41,1.1707479675036679e-48,9.4940022981521951e-46,1.561338353675713e-57,3.5618743600747519e-42,3.39587227399037e-52,4.1186760747140728e-69,1.8877267476960539e-36,3.7708421937028948e-31,1.1374469662617775e-35,2.7146544658822353e-45,9.1769216413643973e-63,1.0566169673062192e-79,8.9089942227186944e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.9372240677720397e-20,1.6458985572259836e-20,1.9372251288342813e-20,1.5998425628655743e-22,1.3261188216317431e-22,6.6305941592075306e-23,1.4321844003544409e-26,1.2274035681524101e-26,4.104538753299598e-28,3.4154157590938653e-28,3.7172417670740293e-27,1.697563963359416e-28,6.0830288793335149e-31,4.8914461833575707e-29,2.5380561358188755e-29,3.7128478264387404e-29,6.1002105417440785e-29,7.1951262259543272e-29,1.1791855139995683e-20,1.3351451404607701e-23,3.7155211753599831e-27,9.075727337508146e-27,7.9338512672831371e-33,1.3880355700670995e-36,1.0317524148924453e-29,1.3750622353595252e-34,8.0031454362738711e-29,9.3416138390666751e-30,1.9967090899248758e-35,3.954025299782752e-38,2.6128864747540947e-39,2.9202562982432808e-39,1.5581056216618183e-43,1.9797639761347155e-42,1.3432269118727651e-51,2.1095920390703982e-48,1.1669124324629762e-52,9.5119903161069304e-52,1.4448372711427176e-55,3.3348424059297708e-55
3.1e-14,0.0034820617813153872,6.0046403292969875e-24,1.7091880019053715e-31,2.007822168996197e-29,5.5987604229149752e-31,2.6785617217055221e-36,0.0,0.0,7.5590267879028561e-22,2.2863706943146646e-32,2.2647441932304988e-46,3.65844930053241e-47,2.441824765824423e-58,1.148634382858594e-29,4.0086833752679976e-44,2.4134751286211325e-20,1.8876730472025273e-29,2.9756501825340287e-41,5.9543420293557276e-42,6.9848420307202221e-27,2.7794960608064318e-42,8.9844223432197561e-43,2.8439888419679159e-41,1.3172836548851325e-32,5.6261066880498824e-51,8.2028041821847734e-27,1.1209708605597141e-49,3.3687072273030038e-20,4.9807717662071037e-46,3.8823892457211442e-61,1.0002169068266526e-46,3.1450335196695903e-72,5.8550967890143089e-37,8.4214946647220969e-32,1.6754537765197471e-30,8.5200999213834422e-30,2.3021059055412674e-32,3.4558382795001563e-26,6.0872687681414469e-44,2.6351105950954565e-48,7.0758132633433291e-42,1.1646525821425594e-40,1.6387817691076327e-36,8.2002327834258426e-31,3.2660584662020199e-48,1.1240410280688008e-53,4.4804217606719439e-53,7.0691227733780597e-67,4.1949336566939146e-69,1.3947360640957244e-62,1.964714760430089e-100,3.9712983479252934e-90,4.6954878534012364e-53,4.5328420719231001e-40,1.9905294368026642e-47,8.0137063817570704e-45,2.6542676601296872e-56,3.0052611611085589e-41,5.774307862830924e-51,1.3913438130163801e-67,1.5932376225462422e-35,1.570832074085577e-30,4.7410766403710617e-35,2.2903809833019573e-44,1.5596673196556726e-61,7.3633782152732625e-78,3.0406790710657251e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.9649695457787325e-20,3.368705591079338e-20,3.9649739684662258e-20,3.2744353965378758e-22,2.7141985233550838e-22,1.3570992829554553e-22,5.9695886604426815e-26,5.1160271080695371e-26,1.7108376283297644e-27,1.4236002846776366e-27,1.5494108260143714e-26,7.075718944684252e-28,2.5356083063607948e-30,2.0388388039475382e-28,1.0579055450118742e-28,1.5475788108076885e-28,2.5426751679544968e-28,2.9990613015409194e-28,2.4134703963598311e-20,2.7326782574584581e-23,1.5486887418109741e-26,3.782916613038604e-26,6.6961323908659624e-32,1.1715401293796829e-35,4.3005200629188654e-29,1.160552291443933e-33,3.3358260686047808e-28,3.8937876985941367e-29,1.6852343173194726e-34,3.3372097336745817e-37,2.2057227588630675e-38,2.4655721121212595e-38,2.6492253087509485e-42,3.3660586639040027e-41,4.582095721477208e-50,3.5863993688668678e-47,3.9787771784482383e-51,3.2456834184426339e-50,9.8729161047685525e-54,2.2804643847017707e-53
6.300000000000001e-14,0.0034820617813153872,1.2146660380548999e-23,5.6733101431734033e-31,8.1827590973276246e-29,2.2815715146743849e-30,2.1924502351276014e-35,0.0,0.0,1.5290699281525597e-21,9.3171186113202285e-32,1.8549653870011646e-45,2.9943957363544915e-46,4.0036357972624328e-57,4.6807798272540632e-29,3.2808997309253873e-43,4.8820510181914276e-20,7.6923681303716686e-29,1.2126603275556174e-40,2.4263802528698933e-41,2.8463580015568351e-26,2.2748647393977591e-41,3.6608369537111676e-42,2.3276363807253148e-40,5.3679997686144476e-32,4.6053977029467374e-50,3.3426863006272719e-26,9.2622192656499594e-49,6.8143181668731874e-20,4.0764764263164817e-45,3.1776525517616793e-60,8.186238952209217e-46,5.1597668729955116e-71,4.7920758127576187e-36,3.4285576101793844e-31,6.8275586344793441e-30,3.472729289802255e-29,9.3811021886514884e-32,1.4082715093654374e-25,4.9820976698043605e-43,2.1566791434176639e-47,5.7911106766463328e-41,9.5319444833757268e-40,1.341177869534339e-35,3.3414376571303484e-30,2.6734655056050577e-47,1.8441051012276743e-52,7.3506357851316703e-52,2.3222686600804237e-65,9.0468486919472106e-68,2.2881992221172666e-61,6.4648207065562615e-99,2.610781226313468e-88,7.7590276011677995e-52,3.7098359290001949e-39,3.2656592837268263e-46,6.5600585681251571e-44,4.3534360151757838e-55,2.4580850093251044e-40,9.4752072414372725e-50,4.4772657226554906e-66,1.3039768431486167e-34,6.3937651566224164e-30,1.9320146248349802e-34,1.8732751139832746e-43,2.5567867524750496e-60,4.89177665765434e-76,9.9846535260100307e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.0204510957392069e-20,6.8143114991923687e-20,8.0204691183970522e-20,6.6235944018334722e-22,5.4903356587367727e-22,2.7451679160759525e-22,2.4326360617421102e-25,2.0848055110370683e-25,6.9717124479210552e-27,5.8012134918897017e-27,6.3139325454389843e-26,2.8833756961135364e-27,1.0333522954418939e-29,8.3083715467952582e-28,4.3110199273701514e-28,6.3064625635571196e-28,1.036155150193935e-27,1.2221400642832876e-27,4.8820317340159841e-20,5.5277384324915193e-23,6.3109501348823986e-26,1.5415557101492488e-25,5.4803774585510538e-31,9.5890749512377857e-35,1.7524827197941084e-28,9.4985191784030197e-33,1.3593478229322456e-27,1.5867727948932885e-28,1.3792968663197721e-33,2.7313545712495862e-36,1.8059996058664782e-37,2.0193736800724241e-37,4.3466505489988577e-41,5.522428227772471e-40,1.5030498962539168e-48,5.8826245239963231e-46,1.3039280125485867e-49,1.0652599296060455e-48,6.4751176063757445e-52,1.4978246065320746e-51
1.2700000000000001e-13,0.0034820617813153872,2.4431571712222349e-23,2.0317509115907723e-30,3.3027359937803493e-28,9.2075454173430734e-30,1.7728593996759624e-34,0.0,0.0,3.0754241820934028e-21,3.7599058847080963e-31,1.5019546212244036e-44,2.4211542632225335e-45,6.4715314299404335e-56,1.8889322800275734e-28,2.6525526517380756e-42,9.8191985213120246e-20,3.1042166469200466e-28,4.8941732164717915e-40,9.7911665760537897e-41,1.1486316664991905e-25,1.8391759439157694e-40,1.4770198726149495e-41,1.8818209609158883e-39,2.1662284382830501e-31,3.7245536631681831e-49,1.3489242734468114e-25,7.6300386130514226e-48,1.3705517584169479e-19,3.2957191636949035e-44,2.5692717271524062e-59,6.6184079795356595e-45,8.3504717023604289e-70,3.8742848577638037e-35,1.3809663262000564e-30,2.7552233355286043e-29,1.4019999601846048e-28,3.7856146468572301e-31,5.6830012533020736e-25,4.0279163509307077e-42,1.7436029285040915e-46,4.6818935935485597e-40,7.7062021164797448e-39,1.0841904598215745e-34,1.3482584876318289e-29,2.1620434867627299e-46,2.9844479787003207e-51,1.1896199782485652e-50,7.5199984219520986e-64,2.164552263997814e-66,3.7031283589161604e-60,2.100291667881378e-97,1.6912328914251132e-86,1.2611268481234031e-50,2.9992426557171864e-38,5.2850211755593322e-45,5.3057194569583124e-43,7.0417162279867076e-54,1.9847971121892043e-39,1.5340410879424849e-48,1.392878006354504e-64,1.0542344327194768e-33,2.5741758305562003e-29,7.7965536223462079e-34,1.512443392505887e-42,4.1313502800606563e-59,3.1867844243281328e-74,3.2304960668644045e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6131376571639583e-19,1.3705490677220133e-19,1.613144930093856e-19,1.3321805766575032e-21,1.1042520859118691e-21,5.5212607794546119e-22,9.8167561334401687e-25,8.4131059780643107e-25,2.8133658316514962e-26,2.3410236980979337e-26,2.5479566491514606e-25,1.1635577687616435e-26,4.1706738348453235e-29,3.3527976386927165e-27,1.7396893222188297e-27,2.5449386088613771e-27,4.1813642252537462e-27,4.9319384525740205e-27,9.8191207013198559e-20,1.1117834546789684e-22,2.5467209512787311e-25,6.2208471587959177e-25,4.4306966817781576e-30,7.7536185036099621e-34,7.0720393938502293e-28,7.6793939867276882e-32,5.4854264271248062e-27,6.403613021308296e-28,1.1151706159602741e-32,2.2082889733609526e-35,1.4613000316924975e-36,1.6349421179687451e-36,7.035544065707186e-40,8.9375441940353132e-39,4.8529549915978905e-47,9.5162956359784845e-45,4.2022426730829924e-48,3.4432417335511821e-47,4.1746509520038986e-50,9.6848941714912688e-50
2.55e-13,0.0034820617813153872,4.9004879247637792e-23,7.6472211833197027e-30,1.3272812553022942e-27,3.6991800869297897e-29,1.4259980642989768e-33,0.0,0.0,6.1682117104113901e-21,1.5104617028685517e-30,1.2113022294964216e-43,1.9471778484415434e-44,1.0385779337850528e-54,7.5884786489884874e-28,2.1328613144352213e-41,1.9693476423502315e-19,1.2470331449084534e-27,1.9665353137801354e-39,3.933033495036028e-40,4.6142949978158079e-25,1.478819706228716e-39,5.9311701593950552e-41,1.5130775482473385e-38,8.7022153810867224e-31,2.9967117181983241e-48,5.4189296393793043e-25,6.363067976258574e-47,2.7487826571970705e-19,2.6499478999875356e-43,2.0662074636778836e-58,5.3216747008640293e-44,1.3433719512509101e-68,3.1151849872513322e-34,5.526790061010855e-30,1.1068317109444671e-28,5.6369150283928168e-28,1.5206999293403183e-30,2.2829821462016369e-24,3.238721228936644e-41,1.4019361932301453e-45,3.7644145518473126e-39,6.1960474373141343e-38,8.7156657442604772e-34,5.41495488673305e-29,1.7394042471616735e-45,4.8011377570617037e-50,1.9138081658605288e-49,2.41998997961238e-62,5.7355862935073057e-65,5.957198084299578e-59,6.8030138945978719e-96,1.0886009611451266e-84,2.0340404149686572e-49,2.4114705531854709e-37,8.5020149197332395e-44,4.2694463123122282e-42,1.1316051662057535e-52,1.5918968636659413e-38,2.4697595308985923e-47,4.1556179414171847e-63,8.4767307063417645e-33,1.029318385460494e-28,3.1320539631703253e-33,1.2128153612865265e-41,6.6254324247154278e-58,2.0583096151001631e-72,1.0378309402736108e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.2353077028886573e-19,2.7487718481893767e-19,3.2353369196837845e-19,2.6717801931429881e-21,2.2146534993384192e-21,1.1073268902228592e-21,3.9435901444346947e-24,3.3797146360552086e-24,1.130164708536291e-25,9.4041983648265616e-26,1.0235717099622573e-24,4.6741584591058203e-26,1.6759607664388972e-28,1.3468903843376727e-26,6.988710955289727e-27,1.0223564309192859e-26,1.6797570131090912e-26,1.9813127108382728e-26,1.969316380588628e-19,2.229792983296468e-22,1.0230494682028594e-24,2.4990341534050763e-24,3.5624737480190916e-29,6.2361473109922919e-33,2.8409825822655782e-27,6.1748383562341298e-31,2.2034948632424254e-26,2.5726919138509763e-27,8.9673681783857837e-32,1.7756938978199753e-34,1.1768972315348024e-35,1.3183406406400239e-35,1.1321578395648542e-38,1.4378641464645343e-37,1.5526314606572016e-45,1.5296313828541067e-43,1.3395298058767334e-46,1.1040309757177945e-45,2.6619315230408505e-48,6.2110746368654519e-48
5.11e-13,0.0034820617813153872,9.8165433449883056e-23,2.9626672392200172e-29,5.3243297194345641e-27,1.4830534847506587e-28,1.1444304354749229e-32,0.0,0.0,1.2354102845361496e-20,6.054849438032382e-30,9.7727804058918114e-43,1.5622732889628907e-43,1.6580991044566589e-53,3.0420003219123546e-27,1.7105851662331758e-40,3.9441963811911859e-19,4.9987116514449908e-27,7.8863246758100943e-39,1.5763120947333096e-39,1.8496205432727222e-24,1.1859987893954537e-38,2.3756194325883194e-40,1.2134225807317506e-37,3.4882621869184349e-30,2.4064196027437886e-47,2.1721686380445434e-24,5.4691028711870506e-46,5.5052085165087141e-19,2.1251872254014629e-42,1.6576268638527348e-57,4.2679862811985302e-43,2.1550632731701686e-67,2.4983514921400291e-33,2.1988621603811067e-29,4.4366922601523878e-28,2.2633211765089375e-27,6.0951713107980122e-30,9.1512450340066754e-24,2.5974440431833746e-40,1.1242805025330975e-44,3.0188001885002467e-38,4.968765809701538e-37,6.9867582155630793e-33,2.1695337812341254e-28,1.3965529319878752e-44,7.7019045816483884e-49,3.0702403118756299e-48,7.7649116793498477e-61,1.6430330926068253e-63,9.5561246629641907e-58,2.2112465482807609e-94,6.9860888279604582e-83,3.2693162466034908e-48,1.9337832658663194e-36,1.363846017559929e-42,3.4292712923421406e-41,1.811431779885474e-51,1.2703177863021972e-37,3.9680243340403579e-46,1.1635090523748095e-61,6.7982304066165247e-32,4.0881346065525501e-28,1.2554820435513558e-32,9.6744407958446368e-41,1.056249660486851e-56,1.3247439775337675e-70,3.3187261775881399e-56,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.4795875977393669e-19,5.5051651897003354e-19,6.4797047112676401e-19,5.3508088152775621e-21,4.4353138316131604e-21,2.2176574791566081e-21,1.5807655233298626e-23,1.3547386480095344e-23,4.5300286749648714e-25,3.7694836786656449e-25,4.1029752299370842e-24,1.873538135650932e-25,6.7221322885366443e-28,5.3989613166938024e-26,2.801405542047203e-26,4.0980808397521301e-26,6.7333553100927877e-26,7.9424030101270333e-26,3.9440710710792721e-19,4.4657732640833862e-22,4.1006747432275932e-24,1.0017184082313059e-23,2.8569069343766653e-28,5.0040910338020897e-32,1.1387922775533692e-26,4.9523119391331182e-30,8.8316832888411032e-26,1.0314336866696699e-26,7.192791446644283e-31,1.4242217714112135e-33,9.4693169504321626e-35,1.0632933089592081e-34,1.8172665488947801e-37,2.3068022704527519e-36,4.9245602658046132e-44,2.4497682147460797e-42,4.2183904730115605e-45,3.5168792024210298e-44,1.6768934354097844e-46,3.9569679035816945e-46
