Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971),C3H5O(975),S(3034),S(276),S(1952),S(3263),S(199),C3H7O(185)
0.0,0.0019957475303062334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019957475303062334,6.205557185920835e-30,1.4742759202608053e-38,4.9120726572312551e-37,2.3380516846737117e-38,4.3821304651341946e-45,0.0,0.0,4.4923696412774836e-25,1.6673281515184208e-37,3.021062897554937e-44,5.0002872393960178e-51,3.0458129577713737e-54,3.859789736409008e-68,4.4382645173018876e-56,4.8801644544933627e-44,3.8616759354655684e-25,4.8999700438923845e-37,-4.0482012285518387e-93,3.9483122496616762e-91,9.1202820102049377e-61,8.4714340057757999e-59,7.912957489286861e-39,8.0187737139696064e-51,9.3150825342734073e-40,5.0696278002977026e-68,6.5254117391482819e-57,5.6254389368991207e-34,1.2087584140572804e-37,1.4101312160881128e-25,5.1013808242922233e-50,1.3993876187065088e-68,2.5416825232101807e-64,1.2959109229743973e-50,1.5772875313983817e-83,1.3413814903893434e-62,1.6660517586367155e-32,2.7301953046133791e-44,5.2348044689471564e-47,2.6055790891318329e-50,1.5424606762820933e-32,1.2936978346116891e-66,1.3547674370462952e-68,5.8334160854136746e-61,5.8625930823799624e-54,1.3802993432121767e-46,1.0272094662671922e-63,8.2400825848712096e-66,4.3053384690065333e-65,7.8371802411958842e-98,2.0876567460204483e-89,-9.5207846667921944e-130,-2.3629366154141943e-122,1.1955425913678732e-61,2.9703160896507323e-59,1.0180476767677318e-67,1.4068603078518657e-77,1.5859217877481543e-63,1.4720003153430995e-75,1.9459744445588305e-82,3.1752539986757639e-43,1.2191952687886125e-46,1.2937868205208972e-56,3.5581856124680383e-58,2.6555930703144793e-87,2.8932417317895878e-87,-7.0054751538732963e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4812360813197191e-25,1.4101313003833844e-25,1.4812361016099909e-25,7.8890716556336099e-33,5.8693290768987068e-33,7.5103671957773411e-33,2.9173458818005967e-42,2.7276074710323744e-26,1.1099215981218825e-42,1.1216982656858908e-32,1.1997260790193269e-48,4.5644292431175604e-49,2.3062925888317778e-26,7.3043515878155028e-43,1.1531462944442991e-26,9.4843720207870049e-33,4.7421860015192825e-33,1.0193827481956283e-41,4.1920982829274612e-48,4.9058571942274358e-58,4.4162345000622842e-64,1.2050698979119412e-27,2.2015504277012516e-57,2.4237094162319046e-57,6.4182090193902187e-35,4.1766854041663756e-45,1.2021497379239e-42,6.1760983277718736e-43,1.8989464161081048e-51,2.4307486811337961e-57,9.9961838630186808e-64,6.1725350417630581e-43,1.0743928510189324e-72,5.289192838831529e-43,2.1751217861986747e-49,7.8368852127531535e-74,4.8906048840527712e-80,2.8429309134303232e-59,2.3424310024383915e-36,5.2975511539619222e-43,2.1785590516721541e-49,6.1452139621963337e-51,5.3036212372130031e-50,2.0217322693544278e-69,1.0839526104131435e-71,2.7306188005547161e-79,5.9409506501925396e-87,2.7377462147178081e-97,3.7507246840440318e-76,4.8381439521316454e-79,6.3968206068924296e-83,2.1344367165526574e-71,4.0949016488824344e-92,6.0764670872672606e-96,1.1049411317589541e-43,2.6062933971298328e-50
3.0000000000000002e-15,0.0019957475303062334,2.0389685971897287e-29,5.547765207044313e-38,3.2279333872352506e-36,1.2764341473264867e-37,4.1317229446513451e-44,0.0,0.0,1.4760643124688431e-24,1.0956727858526415e-36,1.985261393547825e-43,4.7145419041773408e-50,2.871766305201092e-53,3.6392164289954295e-67,2.9165733782545759e-55,3.2069509287271527e-43,1.2688363240647425e-24,3.2199802541720606e-36,2.3942381925171802e-91,4.8507930477605839e-90,8.5991476944438204e-60,7.9873488995571819e-58,2.5999457414700579e-38,7.5605579722788941e-50,6.1213398338848804e-39,6.2574334837765164e-67,6.1525299211192056e-56,3.6967168393397582e-33,7.9432691874734754e-37,4.6332877573865713e-25,4.8098728138887606e-49,2.119030085767718e-67,3.1226608488726009e-63,1.5920797519334168e-49,2.0601035729411478e-82,1.2647446884621102e-61,1.094833992218379e-31,2.574184111919629e-43,4.9355860345395012e-46,2.4579684488666799e-49,1.0136169659498267e-31,8.5014477507862645e-66,2.0521697014212233e-67,7.1696328164949012e-60,7.2026140855003625e-53,1.3014250307878233e-45,1.2620000147016299e-62,1.0123237497187102e-64,5.2894151278321175e-64,1.4107475665433422e-96,3.1614556171339066e-88,5.0868579796231454e-128,1.6848139144132169e-112,1.4699123360206312e-60,3.6507039487593714e-58,1.5421149628250492e-66,2.1303872682682453e-76,2.4015104057087116e-62,2.6495557634092387e-74,2.9465301615477552e-81,2.9938108104299022e-42,1.1494899337149491e-45,1.5894907250605623e-55,4.3714216836876714e-57,3.8596049043641565e-86,6.0343875487401446e-86,4.1618059979985734e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.8669182933850174e-25,4.6332883113268846e-25,4.8669184267210808e-25,5.1842469666956619e-32,3.8569876123493943e-32,4.9353840420915485e-32,2.7506399906266631e-41,8.9621351454840422e-26,1.0464973556270166e-41,7.3711587005437759e-32,1.4739490119915514e-47,5.6077267278692017e-48,7.5778153902245184e-26,6.8869592017168709e-42,3.7889076952990813e-26,6.2325862044698509e-32,3.1162930938678484e-32,9.6113203948174311e-41,5.1502910766417978e-47,7.4288672016886812e-57,7.9492200621964918e-63,3.959515197240741e-27,3.0041622429592939e-56,3.9998013894009749e-56,4.2176801281806757e-34,3.9380176118390021e-44,1.1334552840940669e-41,5.8231776917436769e-42,1.7904407485991594e-50,2.9863552055354518e-56,1.5137106479397392e-62,5.8198179431937221e-42,1.9339101185465323e-71,4.9869519902201275e-42,2.6722919605598453e-48,1.4106414231231778e-72,1.0200417482809585e-78,4.3050089881554561e-58,1.5393115617641313e-35,4.9948326785664911e-42,2.6765148834560339e-48,7.5498328310808375e-50,5.0002985920939637e-49,3.9109834768431197e-68,2.4065761003016727e-70,6.8426574719605182e-78,1.6584842307083151e-85,8.4249444641318337e-96,7.8215575962541595e-75,1.147134668032446e-77,1.6994663068968864e-81,3.232132104483198e-70,9.7106040733300552e-91,1.6145799694250232e-94,1.0418016260584057e-42,2.4573706691555125e-49
7e-15,0.0019957475303062334,4.5211899987447777e-29,1.6829822796849807e-37,1.754311364515202e-35,6.1006196139689108e-37,6.6733576070051031e-43,0.0,0.0,3.2730121824735588e-24,5.9547434214996665e-36,1.0789163128079508e-42,7.614482825844187e-49,4.6383347700101436e-52,5.8776802393029987e-66,1.5850926450708137e-54,1.7428575987289628e-42,2.813506279439233e-24,1.7499890550162434e-35,4.6192707214566186e-90,2.4536437347668227e-88,1.3889245846770361e-58,1.2900731849150872e-56,5.764929749600516e-38,1.2211445170617973e-48,3.3268147125984689e-38,3.3413234862314827e-65,9.9372510392993642e-55,2.0090846151528992e-32,4.3169927422011221e-36,1.0273808611651074e-24,7.7686654464550497e-48,3.4985475023507391e-65,1.579620939788117e-61,8.0505710126564857e-48,2.9864285188695108e-80,2.0427577371814283e-60,5.9501840117926944e-31,4.1576968675182861e-42,7.9704351827455737e-45,3.9692851212769061e-48,5.5087860939577967e-31,4.6203529717178608e-65,3.3892403208129021e-65,3.6262964092817382e-58,3.6431810492295232e-51,2.1019976592581526e-44,6.3833608296525747e-61,5.1186991632981295e-63,2.675455693181582e-62,7.8597717953292287e-94,5.2247918019147753e-86,1.8570514055449452e-125,1.5862197139704005e-110,7.4332714440912733e-59,1.846472570302544e-56,2.5468658998641419e-64,3.5183251108392051e-74,3.9654190104460793e-60,1.4746828810467113e-71,4.8605275853743849e-79,4.8354565458175794e-41,1.8560523194073678e-44,8.0387248634833853e-54,2.2107405896339346e-55,1.1435605594031798e-83,1.1600091829554692e-82,4.6214684724720253e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0791860632751962e-24,1.0273811622194835e-24,1.0791861357404292e-24,2.8175250964258765e-31,2.0961886836729716e-31,2.6822735287470542e-31,4.4426942457418354e-40,1.9872536809142665e-25,1.6902495514437871e-40,4.0060598036853368e-31,7.4554293984587786e-46,2.8364626132156301e-46,1.6802961901895578e-25,1.1123469756616577e-40,8.4014809519635312e-26,3.3872711379337236e-31,1.6936355554528973e-31,1.5523699323433536e-39,2.6050824145792154e-45,1.2268788417036296e-54,4.4256764009426921e-60,8.7797933991555831e-27,2.1332067781571531e-54,9.4338747835025486e-54,2.2922171619142088e-33,6.3604942975787797e-43,1.8306993088256767e-40,9.4053034407771074e-41,2.8919153472392043e-49,1.5105815806621516e-54,2.4999766360525755e-60,9.399875770007634e-41,1.0767265707178375e-68,8.0546644411810671e-41,1.3516794061799938e-46,7.8538980647975789e-70,1.961508740597617e-75,7.1097461627206056e-56,8.3658152233205935e-35,8.0673928169686529e-41,1.3538153997286934e-46,3.8188018947161602e-48,8.0724140107439884e-48,3.1019616435286602e-65,6.6548769465421262e-67,6.7064827960720507e-74,5.8366279534388075e-81,1.0758770545366232e-90,1.4984865503052271e-71,7.7298066476751329e-74,4.0881752873410844e-77,5.3375285217086078e-68,6.5675298157165008e-87,3.8984117400997238e-90,1.6826672886650614e-41,3.9691491844656783e-48
1.5e-14,0.0019957475303062334,9.4856290528785643e-29,5.3101083639166124e-37,7.7610715733535739e-35,2.5648164533217858e-36,6.2063463668514662e-42,0.0,0.0,6.8669079568306071e-24,2.6343785044625934e-35,4.7729046007278519e-42,7.0812957418695639e-48,4.313734085318843e-51,5.4660527785846565e-65,7.0124382338447969e-54,7.7100308072368063e-42,5.9028451241224277e-24,7.7419500099633295e-35,8.2827710125032385e-89,4.7191310238605273e-87,1.2917714272711797e-57,1.1997854329283656e-55,1.2094391301490364e-37,1.1356870936873413e-47,1.4717825242260401e-37,6.9338707267618704e-64,9.2418051225758316e-54,8.8881857544340252e-32,1.9098365739336748e-35,2.1554840112694761e-24,7.2249930669999698e-47,1.3719649203291068e-63,3.0384191993759316e-60,1.547648959575898e-46,1.8591279222598959e-78,1.8998221784804865e-59,2.632360871420789e-30,3.866735363003186e-41,7.4107812816072422e-44,3.6922394861516247e-47,2.4370856712534178e-30,2.0440434117032565e-64,1.3299190558122432e-63,6.9756212986407553e-57,7.0067955210056289e-50,1.9548958724162736e-43,1.2276857744851319e-59,9.8394969996944507e-62,5.145596250363301e-61,6.2408739362056802e-92,2.0518727889833613e-84,1.4102174589336055e-123,7.1313829968037114e-109,1.4298702962121799e-57,3.5519123879161419e-55,9.9937690590186325e-63,1.3803057390352645e-72,1.5553304097248062e-58,1.1692705739991476e-69,1.9036636840089219e-77,4.4970630902426497e-40,1.7253642906843999e-43,1.5457305982061278e-52,4.2507276836383637e-54,8.4650144309451124e-82,1.8501771004012655e-80,3.1086471025733254e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.2641740256439917e-24,2.155485343132995e-24,2.2641743462300439e-24,1.2464727874197464e-30,9.2735370015899769e-31,1.1866375098848167e-30,4.131780096098194e-39,4.1693268302825509e-25,1.5719605290386019e-39,1.7722773976092517e-30,1.4338731808475454e-44,5.4552564817500155e-45,3.5253194232540596e-25,1.0345016843673989e-39,1.7626597120764589e-25,1.4985258315116054e-30,7.492629031876185e-31,1.4437274167036927e-38,5.0102429352677081e-44,4.813305548735385e-53,3.5105926448907718e-58,1.8420346265481096e-26,4.5310058874008566e-53,4.0849233816636967e-52,1.0140766526547598e-32,5.9153778416654611e-42,1.7025807489657675e-39,8.7470928551518524e-40,2.6896555612191267e-48,2.9053672184651891e-53,9.8083972554366184e-59,8.7420433154491576e-40,8.5413429182321753e-67,7.4909618770555832e-40,2.5996277422032614e-45,6.2302468174912439e-68,3.1300013888118419e-73,2.7893128790013185e-54,3.7010304214088477e-34,7.5027993157448958e-40,2.6037357654706178e-45,7.3445399602608963e-47,7.5019207436946309e-47,2.6575897819445449e-63,1.1465487200090412e-64,2.3173480359103276e-71,4.0392813424169831e-78,1.4902014876197702e-87,2.3787591956643283e-69,2.460183908386664e-71,2.6062660430643918e-74,2.0938295327522223e-66,2.1009837072763039e-84,2.4980356473210168e-87,1.5649118767267892e-40,3.691563017735066e-47
3.1e-14,0.0019957475303062334,1.9414492165260289e-28,1.8047212411610042e-36,3.2349478121932729e-34,1.0433989051158307e-35,5.2381439773625282e-41,0.0,0.0,1.4054699642934919e-23,1.0980547051407764e-34,1.989249322413291e-41,5.9760780851951756e-47,3.6407775201439358e-50,4.612842203767816e-64,2.9228965169716946e-53,3.213372282517172e-41,1.2081518549228625e-23,3.226977884599369e-34,1.417097035800788e-87,8.0240255570007436e-86,1.0903281579425032e-56,1.0126056403612303e-54,2.4751288872087524e-37,9.5851771284354261e-47,6.1346425783462274e-37,1.3492889855004492e-62,7.8000275178336226e-53,3.7047463860807465e-31,7.9605221135820408e-35,4.4116862284914831e-24,6.0978633360077619e-46,4.6795387481311635e-62,5.1673218320800201e-59,2.6290465125546057e-45,1.1874903509115266e-76,1.6034814114977506e-58,1.097213272399328e-29,3.2635171968011792e-40,6.2515843772899202e-43,3.1175623565337445e-46,1.0158185587400374e-29,8.5199197908792766e-64,4.5418598929237177e-62,1.1864975744164701e-55,1.1913144353783717e-48,1.6499266604469499e-42,2.0873365774562357e-58,1.6712236529904174e-60,8.748652989426612e-60,4.2781515440057312e-90,7.018646713720506e-83,9.8278739028391612e-122,2.5896379892993073e-107,2.4321004336259025e-56,6.0415140233091119e-54,3.4130182615461232e-61,4.7119516246511803e-71,5.3068667555052496e-57,7.9926948914142022e-68,6.476854703609762e-76,3.7955103116553409e-39,1.4548814130782743e-42,2.6269932645173822e-51,7.2234810260165409e-53,5.6885013965705979e-80,2.5320662770386097e-78,2.9271939732167333e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.6341479283649419e-24,4.4116917799213502e-24,4.6341492646221152e-24,5.1955123954362917e-30,3.8653697959535113e-30,4.9461087017630228e-30,3.4872009687958721e-38,8.5334443957564376e-25,1.3267267350210059e-38,7.3871316716402477e-30,2.4379034233775e-43,9.2751510212143435e-44,7.2153416124652269e-25,8.7311464745808171e-39,3.6076708081060291e-25,6.2460920178766347e-30,3.1230459028636158e-30,1.2184940839594492e-37,8.5184981158871134e-43,1.6431370424187793e-51,2.4017393469258202e-56,3.770143784810108e-26,8.1029168054469467e-52,1.4681426912229865e-50,4.2268457398823889e-32,4.9925673804629235e-41,1.4369688466499714e-38,7.3825060499497664e-39,2.2702639557813925e-47,4.9401926803894501e-52,3.348642711846078e-57,7.3782414213577672e-39,5.8440151693012998e-65,6.3223146839857519e-39,4.4199331866612109e-44,4.2627411490777998e-66,4.2875588957088143e-71,9.5220472479708022e-53,1.5426486503832148e-33,6.3323051487910755e-39,4.4269175773395571e-44,1.2487317242456196e-45,6.3223856279193486e-46,1.8387805611143894e-61,1.5888452577323412e-62,6.4271666466199376e-69,2.2413916481311009e-75,1.6541176981114892e-84,3.2251169634740083e-67,6.6676179173053638e-69,1.4130744170172382e-71,7.146459650354687e-65,5.7521594335446275e-82,1.3682082958949438e-84,1.3207826482950707e-39,3.1159713419080806e-46
6.300000000000001e-14,0.0019957475303062334,3.9272158406635528e-28,6.5452776937217551e-36,1.3182575176019211e-33,4.2010940859710745e-35,4.2871309976631309e-40,0.0,0.0,2.8430283564702416e-23,4.4746325687271637e-34,8.1048364051779842e-41,4.8902381717490975e-46,2.9797660278599554e-49,3.7745474235473085e-63,1.1910884896945851e-52,1.3092211702018968e-40,2.443884834242387e-23,1.3150099496813361e-33,2.3410740089322046e-86,1.316571909866781e-84,8.9249665251961988e-56,8.2874392886841632e-54,5.0056984474134898e-37,7.8449381835296522e-46,2.4998981036884786e-36,2.7701531817722085e-61,6.3838295213754683e-52,1.5097012114902705e-30,3.2439492154966136e-34,8.9240743310477473e-24,4.9907369004067276e-45,1.5346281658319086e-60,8.4818839679723558e-58,4.3057013449728682e-44,7.6622323010343259e-75,1.3124188508847024e-57,4.4712000451791423e-29,2.6710086479503212e-39,5.1115216796010857e-42,2.5537153618219319e-45,4.1395071368888324e-29,3.471906664089484e-63,1.4932461278261329e-60,1.9481759459239064e-54,1.9544843751983278e-47,1.3503711212638707e-41,3.4244819881389032e-57,2.736229226036538e-59,1.4353044822809213e-58,2.8236687911078975e-88,2.3149022891751209e-81,6.5294484934324303e-120,9.0613004081294181e-106,3.9934143636231587e-55,9.9198767892141254e-53,1.1221161982542703e-59,1.5478553037774435e-69,1.7415996727389747e-55,5.2455536338606224e-66,2.113524509606225e-74,3.1064119311396452e-38,1.188586313317478e-41,4.306281487455312e-50,1.1838751237739397e-51,3.7189823868045439e-78,3.3245927124358075e-76,3.3993579936284453e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.3740876457541062e-24,8.9240969533565732e-24,9.3740930910652541e-24,2.1171973910611319e-29,1.5751580060354861e-29,2.0155641392556855e-29,2.8540594715749464e-37,1.7261564595182097e-24,1.0858445473528516e-37,3.0102733319862525e-29,3.9996306637162082e-42,1.5216840978341693e-42,1.459528888450421e-24,7.1459159423301362e-38,7.297644449886557e-25,2.5452970548390223e-29,1.2726484406039585e-29,9.9725532071739716e-37,1.3975373138608103e-41,5.3977524740627492e-50,1.5789091731101738e-54,7.6263564413102049e-26,1.3641834142338787e-50,4.9527134497788805e-49,1.7224611073318018e-31,4.0861405647165327e-40,1.1760698296403979e-37,6.0421353032681624e-38,1.858411960996463e-46,8.1062754233511007e-51,1.1002433026843923e-55,6.0386403252315176e-38,3.8425722988474966e-63,5.1743957917860242e-38,7.2513133461528701e-43,2.8028298995857019e-64,5.6400109706182414e-69,3.1280594373380609e-51,6.2863356747073484e-33,5.1825719285165475e-38,7.2627714220443164e-43,2.0486611150560545e-44,5.1595369024921039e-45,1.1501597415018246e-59,1.9891940172611062e-60,1.6099486809508435e-66,1.1231154794729103e-72,1.6578497449178918e-81,4.1572776552358259e-65,1.7156570321957104e-66,7.2725058305287991e-69,2.3467609154688771e-63,1.5099676086369457e-79,7.1837832582884283e-82,1.0809877417868296e-38,2.5507390890649418e-45
1.2700000000000001e-13,0.0019957475303062334,7.8987250957074503e-28,2.4798892301756839e-35,5.3197546937980533e-33,1.6851888818577281e-34,3.4660439517724777e-39,0.0,0.0,5.7181453606456833e-23,1.8057165434840622e-33,3.2694889308285734e-40,3.9522670547022566e-45,2.4090559084726538e-48,3.0503259908496434e-62,4.8065183152128031e-52,5.281320519659672e-40,4.9153439700934725e-23,5.3066510698359989e-33,3.8039296773558573e-85,2.1311812816873457e-83,7.2176178531327298e-55,6.6999115802337977e-53,1.0063599825702814e-36,6.3424486243172867e-45,1.008820238158324e-35,6.273128875187927e-60,5.1610758654349912e-51,6.0923022215275462e-30,1.3090746969829991e-33,1.7948785209082649e-23,4.0348493264136013e-44,4.9524353201215477e-59,1.3740917341672572e-56,6.9440168655335458e-43,4.931533931646471e-73,1.0611534970685379e-56,1.8043284299288646e-28,2.1594479354820677e-38,4.1243992692267663e-41,2.0681145172043599e-44,1.6704712896769585e-28,1.4010656463993126e-62,4.8432560383641075e-59,3.158066331728732e-53,3.1631160398295814e-46,1.0917389670780739e-40,5.5420573842503135e-56,4.4102713191943598e-58,2.3228494559888113e-57,1.8436201260028631e-86,7.5559252496805004e-80,4.2541974144680978e-118,3.2164172358681394e-104,6.4735139350194175e-54,1.6080431018275253e-51,3.6395439205948549e-58,5.0118820248135653e-68,5.6283526776868407e-54,3.3864790459109653e-64,6.7540220605260956e-73,2.5114552963545152e-37,9.5748149547887567e-41,6.957667577317229e-49,1.9120416060774992e-50,2.4007142877216676e-76,4.2932026228250057e-74,4.2368900099389006e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.885393472843215e-23,1.7948876499766545e-23,1.885395670264855e-23,8.5438314852255322e-29,6.3564651632309665e-29,8.1336962367499973e-29,2.3074046936223128e-36,3.4717345280173426e-24,8.778668963973497e-37,1.214762877851293e-28,6.4728866077957892e-41,2.4626509053208459e-41,2.9354795013352481e-24,5.7772323000453248e-37,1.4677397537484655e-24,1.0271268150045126e-28,5.1356333731504881e-29,8.0623362885681987e-36,2.2617026180282436e-40,1.7478442275067169e-48,1.0227669531380507e-52,1.5338759114122999e-25,2.2368585285989529e-49,1.6255786327602594e-47,6.950897279001158e-31,3.3035486265439664e-39,9.5080901552929386e-37,4.8848629637282489e-37,1.5030097926371081e-45,1.3123435140386312e-49,3.5640181660514094e-54,4.8820298974235533e-37,2.4900060718682406e-61,4.1832651279451284e-37,1.1735184862039275e-41,1.8162232696520086e-62,7.3102456069257072e-67,1.0129213512447389e-49,2.5367872913612197e-32,4.1898745234099278e-37,1.175372655435299e-41,3.315457075629211e-43,4.1473594893331964e-44,6.5814414457169249e-58,2.2782190121774449e-58,3.689090789601858e-64,5.1480480329985717e-70,1.5199655922347723e-78,5.1803216484642943e-63,4.2583093514859315e-64,3.610144662367943e-66,7.5934001789321105e-62,3.8960344265347018e-77,3.7072579916100279e-79,8.7395337554727254e-38,2.0630024234025058e-44
2.55e-13,0.0019957475303062334,1.5841647633863758e-27,9.639580137904898e-35,2.137058212035846e-32,6.7494789576491979e-34,2.786924753083335e-38,0.0,0.0,1.1468380248271497e-22,7.2539743899979475e-33,1.3124820028910221e-39,3.1756713495447589e-44,1.9370144609146232e-47,2.4505622148892163e-61,1.9308378196809484e-51,2.120038695723e-39,9.8582349507949591e-23,2.131795617971142e-32,6.1364981419337058e-84,3.4300092180589856e-82,5.8066394062842056e-54,5.3867032853674795e-52,2.0166468180889629e-36,5.0997440104262448e-44,4.0526471251146211e-35,1.5782130485773028e-58,4.1496811102716545e-50,2.4473966270577198e-29,5.2588070756650801e-33,3.5997945660628759e-23,3.2442115690595416e-43,1.5828889684072976e-57,2.2150330866275627e-55,1.1093878081043712e-41,3.1581485194232142e-71,8.5338747126397258e-56,7.2483744438453668e-28,1.7363376353030021e-37,3.303263065349937e-40,1.6685196797332799e-43,6.7106072627415146e-28,5.6283540133542011e-62,1.5636199385825429e-57,5.0971466681948628e-52,5.0886710425984691e-45,8.7782249602083085e-40,8.9155203184371943e-55,7.0377728206209929e-57,3.736788401014601e-56,1.2053968110768089e-84,2.4701629016786756e-78,2.7484489813992826e-116,1.2039660051866475e-102,1.0448428524885006e-52,2.5953757454046754e-50,1.1750244503954043e-56,1.6126012610435242e-66,1.8040020230417074e-52,2.1650946358191247e-62,2.1177678952031978e-71,2.0193649766835925e-36,7.643677713995461e-40,1.1156318120303211e-47,3.0634327186401978e-49,1.5374729725674967e-74,5.4900109923632008e-72,5.3482889131239564e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.7813499486272303e-23,3.5998312391588371e-23,3.7813587761091389e-23,3.4322377810464249e-28,2.553529089666073e-28,3.2674778161824568e-28,1.8552474098931831e-35,6.9627067892538869e-24,7.0584162069535895e-36,4.8798303205613071e-28,1.0413042208800461e-39,3.9617125692370129e-40,5.8872253692555529e-24,4.645155330252179e-36,2.9436126970038758e-24,4.1260767348541107e-28,2.0630378030939307e-28,6.482261701740783e-35,3.6383383888965447e-39,5.6242864193312021e-47,6.5828678384319953e-51,3.0763473898264507e-25,3.622211425909233e-48,5.2668518286946415e-46,2.7923239972890696e-30,2.6562690412183113e-38,7.6448718739965579e-36,3.9276503377820515e-36,1.2093660440722228e-44,2.1126282515962768e-48,1.1476970174406264e-52,3.9253603745038437e-36,1.6038225258875106e-59,3.3634380871953813e-36,1.8878169104436784e-40,1.1698048288313287e-60,9.4173098908867597e-65,3.2595854263774229e-48,1.0190583991716949e-31,3.3687511564568591e-36,1.8907991884673539e-40,5.3335134047542164e-42,3.2968287065088702e-43,3.3917603623859255e-56,2.3504460656118493e-56,7.6156531299740855e-62,2.126007002089982e-67,1.2555614474005142e-75,6.1944312323619983e-61,1.0100666264490526e-61,1.7125905814959627e-63,2.4398163811193842e-60,9.9445123369422136e-75,1.8925731962365653e-76,7.0271594524274867e-37,1.6600587462104222e-43
