Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301)
0.0,0.003461400810141315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003461400810141315,7.5896783420829767e-32,5.0452354808965174e-41,1.7232132863005735e-38,7.0549187999208352e-41,7.6079898291742562e-47,0.0,0.0,2.6380165699853951e-27,2.6685839513084108e-40,1.6858515118837203e-60,5.3436529525228948e-62,3.2754226014629811e-75,9.2051164984285241e-39,4.2376143100010066e-57,1.7645108361657161e-27,8.8830105293721469e-39,9.219254260157567e-55,1.1581491292663984e-55,9.7606715963870611e-36,2.1050942651137574e-54,6.9496711169966001e-56,2.2258361010695137e-54,6.675188138868266e-43,4.5585093488579693e-67,4.275849334645385e-35,3.8285891049553965e-65,3.5868572221880082e-27,4.8642286537296464e-60,2.1007623391221528e-80,1.384638170865073e-61,9.1802859039400567e-94,1.1436840230249204e-47,3.2820119197250799e-41,9.5897345872751288e-40,8.0226118943588702e-39,1.428644455027091e-42,2.3308312197420296e-34,1.071751741857406e-57,3.2844821717629271e-64,2.4849221927926048e-55,1.2559488958955603e-53,5.7202111322302824e-47,2.7981715096363562e-39,1.3087431679613906e-61,3.9053625142838485e-69,2.2295713792149202e-68,5.0409542705750912e-86,8.4409354671361675e-90,1.7315757272652518e-81,1.60430079241237e-130,1.3552418421194443e-115,-7.7683300142820267e-71,8.1553368341831374e-53,3.3007511885894095e-61,8.4490726236549904e-58,5.5291423031357213e-72,1.2285778382186871e-53,5.6440275800025142e-65,1.0263870100194609e-86,5.5107351050152906e-46,1.1349031475096309e-39,7.3414481172318367e-45,9.961586948451351e-57,3.0443391645240212e-79,-2.0838299348506129e-98,9.1106178926043117e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5733231008414229e-27,3.5868571818345398e-27,3.5733233098575887e-27,1.1412908313345595e-27,9.7143037013153647e-28,4.8571518478169746e-28,2.8403621051284988e-34,2.8258346386602255e-34,2.6889255369615845e-34,2.2877199356367869e-34,7.5117776882317977e-35,1.1437980481716828e-34,2.8523784905509856e-37,1.2917250532593915e-37,4.1789515498971887e-38,1.0101027231576271e-37,2.2568018274072793e-37,9.4005547342156938e-37,1.7645107322206558e-27,3.9655455019447447e-29,6.5649105166822049e-36,1.4002426026183278e-34,1.5145369276030339e-42,6.7734449234925837e-44,3.1479120948587799e-36,2.0499012533886007e-43,7.8928597130607346e-37,1.6934667883545803e-37,3.9080367984471444e-44,6.509772981456023e-47,1.5858859751576166e-48,2.5925705368566698e-48,2.8997871125645415e-53,9.8703708350201954e-54,1.1858599204502174e-66,3.2198396204421122e-61,3.5121567394579999e-66,6.4118661417371903e-66,4.8913156996708251e-70,1.1286358511415907e-70,4.6130092137582251e-70,5.2185163117724332e-45,7.1730949129874767e-47,6.1337061224977319e-45
3.0000000000000002e-15,0.003461400810141315,2.4937514391735597e-31,1.871313008312462e-40,1.1323992936207378e-37,4.6360894840915845e-40,7.1732563443494722e-46,0.0,0.0,8.6677687627264672e-27,1.7536408851713594e-39,1.5897063702612425e-59,5.0383183456243635e-61,4.0240515122340054e-74,6.0490769490454831e-38,3.9954649220263491e-56,5.7976783213624068e-27,5.8374068578727782e-38,6.0583962997014164e-54,7.6106907640557997e-55,6.4141554323275525e-35,1.9848031491802435e-53,4.56691513530772e-55,2.0986453203328655e-53,4.3865521577559043e-42,4.2981807470501051e-66,2.8098438188959779e-34,3.6454525453568786e-64,1.1785387218805226e-26,4.5862724384308125e-59,1.980725056602693e-79,1.3055159777510792e-60,1.1278635568045826e-92,1.0783306423673459e-46,2.1567050995180115e-40,6.3018254006436062e-39,5.2720216257037752e-38,9.3882344673004651e-42,1.5316890422201663e-33,1.0105087685260994e-56,3.0967971017783932e-63,2.3429266102812146e-54,1.1841803317551841e-52,5.3933413685232492e-46,1.8387981485642449e-38,1.2339588535973372e-60,4.7980163955383966e-68,2.7391875717764113e-67,7.633444470489647e-85,1.1108359066581221e-88,2.127364372978729e-80,2.4300030951400999e-129,2.4394351252764903e-114,4.5944244309510289e-69,7.6893168583169172e-52,4.055208455748349e-60,7.966288789681801e-57,6.792943346544841e-71,1.1583587507119146e-52,6.9341045979849765e-64,1.554147633186825e-85,5.1958358496721203e-45,7.4577379638082273e-39,4.8243800755918267e-44,9.3922315708942825e-56,3.7401422597170058e-78,1.1133600673742843e-96,1.3796052348488855e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1740917823130897e-26,1.1785386953625318e-26,1.1740919196665645e-26,3.749954704967965e-27,3.1918418929638381e-27,1.595920944615189e-27,1.8665236041968692e-33,1.8569769844325774e-33,1.7670080281724422e-33,1.5033586603309797e-33,4.9363110136693489e-34,7.5163863967470308e-34,1.8744200226398536e-36,8.4884785597331389e-37,2.7461680332983783e-37,6.6378176122261912e-37,1.4830411763852673e-36,6.177506669508674e-36,5.7976776382949082e-27,1.3029648488488074e-28,4.3140834645646472e-35,9.2015939127696736e-34,1.4279918239428096e-41,6.38639062043217e-43,2.0686278776543786e-35,1.9327638797492699e-42,5.1867356187063008e-36,1.112849502816279e-36,3.6847201756779364e-43,6.1377844522410915e-46,1.4952665065091991e-47,2.444434007470036e-47,3.5625954638211633e-52,1.2126454830947395e-52,1.795713611184081e-65,3.9557975073303335e-60,5.3182688852920485e-65,9.7093536771674094e-65,8.8041711865172846e-69,2.0315367816582303e-69,5.6673534935611444e-69,4.9203150272047501e-44,6.7632036146938413e-46,5.7832082150093372e-44
7e-15,0.003461400810141315,5.5296226529422508e-31,5.5238561597580755e-40,6.1544143910752355e-37,2.5196138040775952e-39,1.1586025977929623e-44,0.0,0.0,1.9219835293463795e-26,9.5306570865839885e-39,2.5704164464900405e-58,8.1376479256043629e-60,2.0351839441273018e-72,3.2875432094838178e-37,6.4532812393371381e-55,1.2855720592234506e-26,3.1725035098600812e-37,3.2926016877586903e-53,4.136232553241588e-54,3.4859533738930554e-34,3.2057575905687924e-52,2.4819772252822449e-54,3.3896280016236898e-52,2.3839955689142565e-41,6.9422587052373171e-65,1.5270889273797186e-33,6.4156148879470098e-63,2.6132810009117715e-26,7.4075205514318794e-58,3.1991653184142508e-78,2.1086059330202003e-59,5.704882530599585e-91,1.741667253697235e-45,1.1719611319796594e-39,3.4249044537986781e-38,2.8652981756306168e-37,5.1022994917569063e-41,8.3243953757784298e-33,1.6321245220048973e-55,5.0017909873076881e-62,3.784181040509769e-53,1.912629830885131e-51,8.711055249376021e-45,9.993458577481922e-38,1.9930454577970573e-59,2.4269011661515946e-66,1.3855185500446689e-65,1.260669154875875e-82,1.0100439968504103e-86,1.0760500256863646e-78,4.0141522944597985e-127,1.358143925477631e-111,8.8646926452027381e-68,1.241940099332854e-50,2.0511801263286782e-58,1.2867064121108348e-55,3.4359478499847522e-69,1.870708189289176e-51,3.5074492503719096e-62,2.5643345834468076e-83,8.3920605685795814e-44,4.0524218917230307e-38,2.6219452839678301e-43,1.5168073557017963e-54,1.8915377348588786e-76,4.0644820193607836e-94,2.278366479560457e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6034203058120982e-26,2.6132808567923105e-26,2.6034210522981582e-26,8.3151112680650812e-27,7.0775576209420941e-27,3.5387788003258513e-27,1.0144147728046599e-32,1.0092263962386142e-32,9.603298070453747e-33,8.1704220373095398e-33,2.682777588320221e-33,4.0849898592202575e-33,1.0187060803302505e-35,4.6133022859635188e-36,1.492482173896547e-36,3.6075085717000597e-36,8.0600055275740897e-36,3.3573380092803456e-35,1.2855716879912246e-26,2.8891822707107598e-28,2.3446084946561625e-34,5.0008650792506483e-33,2.306421139150124e-40,1.0314983935453653e-41,1.124254032378127e-34,3.1217041524696911e-41,2.8188753511716004e-35,6.0480915535466096e-36,5.9513779060818941e-42,9.9134296252873282e-45,2.4151202646897703e-46,3.9482846454792427e-46,1.8020096970429265e-50,6.133725406343938e-51,2.9652155431223173e-63,2.0008644549878004e-58,8.7797215797603475e-63,1.6034022787399439e-62,4.8997405687930989e-66,1.1309734362682212e-66,2.8662753981116908e-67,7.9470490530041025e-43,1.0923596190713028e-44,9.3407513702431336e-43
1.5e-14,0.003461400810141315,1.1601364767223689e-30,1.6989357100762349e-39,2.7227646450406846e-36,1.1146771131386719e-38,1.0775411331284396e-43,0.0,0.0,4.0323968993327206e-26,4.2163627700334648e-38,2.3946210434586284e-57,7.5681775306288793e-59,3.9135124032086273e-71,1.4544101365183559e-36,6.0016726502815615e-54,2.6971802400693757e-26,1.4035153931078865e-36,1.4566493745727309e-52,1.829860148789112e-53,1.542185283593321e-33,2.9814143792189839e-51,1.0979960029093698e-53,3.152414474316062e-51,1.0546795154912458e-40,6.456661225575241e-64,6.7558406458043636e-33,6.7366308087672052e-62,5.4827640066452253e-26,6.8891267777165119e-57,2.975279956898939e-77,1.9610428212502947e-58,1.097197218246938e-89,1.6197830516686225e-44,5.1835717442022232e-39,1.5151772488165494e-37,1.2676586228645135e-36,2.2572559361916514e-40,3.682711343681085e-32,1.5179060671934834e-54,4.6517513710660456e-61,3.5193587467809038e-52,1.778780421433599e-50,8.1014328018054887e-44,4.4210990039956139e-37,1.853591477430849e-58,4.6675653995843651e-65,2.6647163105271115e-64,4.9458968306016763e-81,3.2346219727143813e-85,2.0695270627852423e-77,1.5755046297574132e-125,1.077329501893014e-109,1.5896779151476061e-66,1.1550260201889139e-49,3.9449590690171092e-57,1.1967049652491728e-54,6.6081850998109237e-68,1.7394776088187249e-50,6.7459895901075637e-61,1.0047101139320004e-81,7.8047714779126987e-43,1.7922797487041468e-37,1.1599482928390082e-42,1.4103962213690263e-53,3.6371247609707902e-75,3.0863968878682146e-92,8.9382051818349254e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.4620755281341094e-26,5.4827633690611715e-26,5.4620788305868682e-26,1.74454071813217e-26,1.4848974434083223e-26,7.4244871721594693e-27,4.4877692684560134e-32,4.4648159180179147e-32,4.2484943405811337e-32,3.6145906934310537e-32,1.186860704758231e-32,1.8071974944180028e-32,4.5067523650217967e-35,2.0409239912874402e-35,6.6027378089653113e-36,1.5959610570965815e-35,3.5657458091007512e-35,1.4852844451516782e-34,2.6971785977388385e-26,6.0616151317409553e-28,1.0372532665612395e-33,2.2123818455710002e-32,2.1450119858749452e-39,9.5931219453934007e-41,4.9736980096529812e-34,2.9032399920159421e-40,1.2470684693013447e-34,2.6756730793475035e-35,5.5348880494768391e-41,9.2196431034224852e-44,2.2461630463353913e-45,3.6722025692830216e-45,3.4657387367574615e-49,1.1796762100248644e-49,1.1630838558545293e-61,3.8480958356741886e-57,3.4425290845860098e-61,6.289921756173184e-61,3.8844692290676175e-64,8.9704500397527388e-65,5.5115935226487146e-66,7.3908971053042591e-42,1.0159145937544965e-43,8.687065062558828e-42
3.1e-14,0.003461400810141315,2.3744847742757107e-30,5.6562011674009997e-39,1.1349376749637787e-35,4.6461674386305929e-38,9.0947442097440034e-43,0.0,0.0,8.2532238946606345e-26,1.7574532590456313e-37,2.0278299869094731e-56,6.3875556258569597e-58,6.6515701961436938e-70,6.062242242085426e-36,5.0654020644269715e-53,5.5203955084476732e-26,5.8500945059365458e-36,6.0715922307284042e-52,7.6271003532168859e-53,6.4280919988991293e-33,2.5163083846602705e-50,4.5763877084895418e-53,2.6606274854861355e-50,4.3960862995182112e-40,5.4498260510251181e-63,2.8159510351089031e-32,6.9624267539728343e-61,1.1221723808802681e-25,5.8144014158092648e-56,2.5111273800526509e-76,1.655116549249941e-57,1.8654786327016858e-88,1.3670939980399746e-43,2.1596383885210051e-38,6.3155178822796878e-37,5.2842340345757072e-36,9.4086235263145286e-40,1.5350170656692765e-31,1.2811096747420242e-53,3.9260572380542936e-60,2.9703320767441922e-51,1.5012858062441242e-49,6.8375762904549094e-43,1.8427850537021529e-36,1.56446437331092e-57,7.9359083702023267e-64,4.5306220475192061e-63,1.6884170190193464e-79,9.842636032035639e-84,3.518665542085036e-76,5.3832701763375366e-124,7.3705164851361643e-108,2.7202541018573041e-65,9.7483748879079635e-49,6.7073270930999796e-56,1.0100897228236807e-53,1.123525988859818e-66,1.4675925250265201e-49,1.1470527942744984e-59,3.4208160585028562e-80,6.5872107174238476e-42,7.4663673718655486e-37,4.83486339923068e-42,1.1899362288649925e-52,6.1812513750321636e-74,2.1507993995349968e-90,3.0510605332100901e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.117937867408344e-25,1.122172115124525e-25,1.1179392439267037e-25,3.5705930156345241e-26,3.0391749489325495e-26,1.5195874557587201e-26,1.8705787641023673e-31,1.8610114315703799e-31,1.7708423440875781e-31,1.5066208778780945e-31,4.947040637421875e-32,7.5326964314423144e-32,1.8784899056510129e-34,8.5069178383349162e-35,2.7521330295863434e-35,6.6522367539306611e-35,1.4862642356429537e-34,6.1909080106827716e-34,5.5203886629356502e-26,1.2406472923035872e-27,4.3234392030770714e-33,9.2215845470778291e-32,1.8103817700005382e-38,8.0965684284898517e-40,2.073122182449827e-33,2.4503241671807212e-39,5.1979816880400432e-34,1.1152648509250814e-34,4.6714281897193057e-40,7.7813101144475806e-43,1.8958506456089058e-44,3.0997040432062744e-44,5.8925434770497907e-48,2.0057157771487663e-48,3.9688858448153949e-60,6.5423251799595213e-56,1.1738751097312838e-59,2.1468323713825517e-59,2.6545753681936015e-62,6.1359536676470246e-63,9.3675746988897708e-65,6.2378926046357583e-41,8.574297030275528e-43,7.331854037031662e-41
6.300000000000001e-14,0.003461400810141315,4.8031808681660821e-30,2.0227388469574614e-38,4.6252738852179405e-35,1.8933382038850923e-37,7.4440640888946847e-42,0.0,0.0,1.6694878906735206e-25,7.1617178328406213e-37,1.670726916846539e-55,5.2279094352713785e-57,1.0905149971733352e-68,2.4704033260192398e-35,4.1457550346001678e-52,1.1166821671953434e-25,2.3839441800783993e-35,2.4742274051179834e-51,3.1080243446308168e-52,2.6194791142028119e-32,2.0594601291846758e-49,1.8646996700318099e-52,2.1775697538913707e-49,1.7914281854397536e-39,4.4610668808614497e-62,1.1475148090468818e-31,7.7831005151667714e-60,2.2699618575933534e-25,4.7587529792923365e-55,2.0552145311872751e-75,1.3546218211787143e-56,3.0605066184301541e-87,1.1188913248020495e-42,8.7928240609808211e-38,2.5736046006255087e-36,2.153688681345085e-35,3.8340561203500126e-39,6.2552700431959397e-31,1.0485173419470478e-52,3.2132415720829991e-59,2.4310529359009248e-50,1.2287171919622775e-48,5.5961503091120909e-42,7.509402255746128e-36,1.2804876932034704e-56,1.3019700394410215e-62,7.4329877970134835e-62,5.5466085867023698e-78,3.0376620336537349e-82,5.7727615907470215e-75,1.7716520238008119e-122,4.8454828702286179e-106,4.4952624713480622e-64,7.978469957207565e-48,1.1004120362994711e-54,8.268217300812912e-53,1.843218691245814e-65,1.2002902719597069e-48,1.8821341472607852e-58,1.1178843141017907e-78,5.3912660523809422e-41,3.0392082290829599e-36,1.9702310648951363e-41,9.7318702717868783e-52,1.0132240380800128e-72,1.4287844813584877e-88,1.0021443564777118e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2613955771277929e-25,2.2699607746272089e-25,2.2614011865043663e-25,7.2226700702519496e-26,6.1477065317422364e-26,3.0738531896375178e-26,7.6226987493323149e-31,7.583711532275327e-31,7.2162473239178087e-31,6.1395352164477134e-31,2.0159452239340833e-31,3.0696012879775423e-31,7.6549261791272065e-34,3.4666089338407291e-34,1.121506932655376e-34,2.710817690091209e-34,6.0566031511526866e-34,2.5228160843164049e-33,1.1166793776175605e-25,2.5096156782638677e-27,1.7618147905970724e-32,3.7578399863134378e-31,1.4816906492407723e-37,6.6265811704904911e-39,8.4480732160343054e-33,2.0054472247178369e-38,2.1181925888497584e-33,4.5447473909819891e-34,3.8232951913182412e-39,6.3684896240042481e-42,1.5518015033575351e-43,2.5375441833386241e-43,9.6673762879674395e-47,3.2905948092596415e-47,1.3027549638528546e-58,1.0732393240483486e-54,3.8476127465576562e-58,7.0498937148233777e-58,1.7412627819183357e-60,4.0323505149391662e-61,1.5357470045696874e-63,5.1053538680391166e-40,7.0175845418572511e-42,6.0006979215470621e-40
1.2700000000000001e-13,0.003461400810141315,9.6605710510453503e-30,7.5996351112227998e-38,1.8667814463244117e-34,7.640473510895084e-37,6.0191862615606121e-41,0.0,0.0,3.3578193016541887e-25,2.8900772064391663e-36,1.3686187931983303e-54,4.2267199682607007e-56,1.7624583258333465e-67,9.9692480502917492e-35,3.3517508186329252e-51,2.2459656505988699e-25,9.6202836306130653e-35,9.9847928486162846e-51,1.2541795669760381e-51,1.0570755964651118e-31,1.6650263165373321e-48,7.5232681147731996e-52,1.7605029128805906e-48,7.2292157067654766e-39,3.6077768466550336e-61,4.6307367513873229e-31,9.6629244600811856e-59,4.5655308761888845e-25,3.8473184141855336e-54,1.6615855366735734e-74,1.0951805078349474e-55,4.9530274735159839e-86,9.0459801967655389e-42,3.5420112960541845e-37,1.0385631968865801e-35,8.6937976523247559e-35,1.5472076680923376e-38,2.5242779134943345e-30,8.4770140417631808e-52,2.5977990065338602e-58,1.9654495594091035e-49,9.9338526647612259e-48,4.5243105868120788e-41,3.0303454639974953e-35,1.035341242914186e-55,2.1070799197327829e-61,1.2029454030653364e-60,1.7961165590512061e-76,9.5203647827363578e-81,9.3425668503927044e-74,5.7577460488518538e-121,3.1388627989521814e-104,7.3070911924842123e-63,6.4503468133381628e-47,1.780895139415978e-53,6.6865783655074237e-52,2.9828793208344511e-64,9.6903100158675063e-48,3.0468832318121784e-57,3.5824348524628857e-77,4.3587087133002489e-40,1.223742848555731e-35,7.9507567111195416e-41,7.8565406904494582e-51,1.6369522398572287e-71,9.306954616130252e-87,3.2441457933526689e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.5482993187447045e-25,4.5655265059546306e-25,4.5483219550304402e-25,1.4526714019606456e-25,1.2364675985824319e-25,6.1823376852805378e-26,3.0760944428645072e-30,3.0603614854787179e-30,2.912056709704711e-30,2.4775585014688436e-30,8.1352446976233023e-31,1.2387120723763393e-30,3.0890908758142573e-33,1.3989283571973298e-33,4.5257695622999255e-34,1.0939335273343523e-33,2.4441096944025995e-33,1.0180602206905496e-32,2.2459543934360865e-25,5.0475397610495019e-27,7.1096372004496076e-32,1.5164536461451115e-30,1.1979010705296007e-36,5.3574145397505922e-38,3.4091695777947343e-32,1.6213444668917246e-37,8.5477584247786168e-33,1.8339969659230793e-33,3.0910270445409023e-38,5.1486404079064051e-41,1.2548414969625459e-42,2.0525269192202505e-42,1.564557765954217e-45,5.3254433371167829e-46,4.2117574105611005e-57,1.7365883652469087e-53,1.240362025770266e-56,2.2811983946135597e-56,1.1229655901361879e-58,2.6101644470683115e-59,2.4818580518901014e-62,4.1275318212033754e-39,5.673545969280564e-41,4.8513917002050903e-39
2.55e-13,0.003461400810141315,1.937534339690817e-29,2.9404032845615478e-37,7.5014759558941062e-34,3.06935041306046e-36,4.8411544847891814e-40,0.0,0.0,6.7344837578645721e-25,1.1610100202411222e-35,1.129203029405926e-53,3.3986846880017464e-55,2.8276128512588887e-66,4.0049167904384342e-34,2.6950351150802351e-50,4.5045256202370705e-25,3.8646797409195657e-34,4.0112524698600008e-50,5.0379330551300883e-51,4.2464919648555338e-31,1.3387919226667588e-47,3.0209529505450396e-51,1.415541634267696e-47,2.9041349315883244e-38,2.9026727938532376e-60,1.8602689045587357e-30,1.3193002959988767e-57,9.1566291744013298e-25,3.0934609291898827e-53,1.3360119655161278e-73,8.805976787364827e-55,7.9679935720446016e-85,7.2735702690963702e-41,1.4178781766451682e-36,4.1721237685308803e-35,3.4946439694024755e-34,6.2154266118289713e-38,1.0140547928404985e-29,6.8160703212735772e-51,2.0887498912198406e-57,1.5803505464125748e-48,7.9874072466387034e-47,3.6377684008247208e-40,1.2173283458927685e-34,8.3263806145393662e-55,3.389724978390241e-60,1.9352377643690105e-59,5.7800780609109205e-75,3.0129232216252899e-79,1.5029855587219493e-72,1.8662839211715822e-119,2.0204227572211663e-102,1.1787494436156365e-61,5.1864061590926915e-46,2.8650208769340502e-52,5.3795130118893427e-51,4.7981821826536216e-63,7.7696315375788866e-47,4.904425470972397e-56,1.1294414932348092e-75,3.5046815775463825e-39,4.8943775582149899e-35,3.1939867840392414e-40,6.2988529155453623e-50,2.6243628550832458e-70,6.010020370898093e-85,1.0433371514140778e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.1220600911680349e-25,9.1566116183663659e-25,9.1221510255994473e-25,2.9134361292143931e-25,2.4798240059181262e-25,1.2399118793807464e-25,1.2357298235543851e-29,1.2294096548040265e-29,1.1698191133268387e-29,9.9527435010714779e-30,3.2681083927435131e-30,4.9761013928357294e-30,1.2409437238573513e-32,5.6197728730914167e-33,1.8180902307666595e-33,4.3945481079023158e-33,9.8185168681504721e-33,4.0896982897585922e-32,4.5044803980112903e-25,1.0123337170560147e-26,2.8560372209931242e-31,6.0919018635710007e-30,9.6317307567983258e-36,4.3076783378917673e-37,1.3695330618388641e-31,1.3036468546228726e-36,3.4337437228286601e-32,7.3674701944610826e-33,2.4853600216262488e-37,4.1396283153431254e-40,1.0093708381667871e-41,1.651944838486013e-41,2.5169869901550634e-44,8.567259018426751e-45,1.3509933057571421e-55,2.7926799892365403e-52,3.9561588562985323e-55,7.3301001328893967e-55,7.1646619149624211e-57,1.6775949211222794e-57,3.9812358110358004e-61,3.3187622821698923e-38,4.5618918136801665e-40,3.9007853065593589e-38
5.11e-13,0.003461400810141315,3.8804856006732387e-29,1.1561500906171188e-36,3.0086946040387488e-33,1.2303452904987095e-35,3.8846638547150133e-39,0.0,0.0,1.3487819207169836e-24,4.6539011721332821e-35,9.5171440051348745e-53,2.7259053272078727e-54,4.5115733117452074e-65,1.6054017126485965e-33,2.1613985366103403e-49,9.0216175710112734e-25,1.5491480376866649e-33,1.6080146232207364e-49,2.0191374596314037e-50,1.7021858213322209e-30,1.0736980389309392e-46,1.2098935910153291e-50,1.1352187633929638e-46,1.1641157020226738e-37,2.3307725209452346e-59,7.4568453548701695e-30,1.9291348952825916e-56,1.8338666817663125e-24,2.4808633383666921e-52,1.0714471037686117e-72,7.0623024322030927e-54,1.2781995669356813e-83,5.8333329442241669e-40,5.6436394343056699e-36,1.6723756510632827e-34,1.4025256076380383e-33,2.4914016805996971e-37,4.0647896284116879e-29,5.4664047663484247e-50,1.675071474860567e-56,1.2674230493881247e-47,6.4057084620355182e-46,2.9173291487308264e-39,4.8794072246453922e-34,6.6801591602059604e-54,5.4378179855020301e-59,3.1045913950632138e-58,1.8546545756212775e-73,9.5862497283574616e-78,2.4111554343456325e-71,6.0747219101073937e-118,1.2966313895222013e-100,1.8952737901802747e-60,4.159283811770733e-45,4.5962102685135634e-51,4.3191643673710766e-50,7.6957696769885792e-62,6.1961826231342753e-46,7.8766206906546648e-55,3.4824845812952828e-74,2.8107040379893832e-38,1.9447430547291974e-34,1.2802964985452421e-39,5.0225006670798891e-49,4.1812497984167481e-69,3.8665235478251187e-83,3.3434905538278749e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8269394796592296e-24,1.833859644596666e-24,1.8269759301075811e-24,5.8347893439325087e-25,4.9663868957396358e-25,2.483192952541559e-25,4.953354344214922e-29,4.9280209469925873e-29,4.6890474269239589e-29,3.9894106447107773e-29,1.3100149686827189e-29,1.9945965593480838e-29,4.9741976041796389e-32,2.2526487889130376e-32,7.2876845811226415e-33,1.7615255469316922e-32,3.9357221124421408e-32,1.6392870810085465e-31,9.0214363009623596e-25,2.0274728969171596e-26,1.144787433142256e-30,2.4419038453205552e-29,7.7242480192420784e-35,3.4546528191944924e-36,5.4896985462735193e-31,1.045476824884243e-35,1.3763449691849703e-31,2.9531538982885816e-32,1.9931841690397521e-36,3.3195869156804976e-39,8.1013868124048633e-41,1.3273720849637307e-40,4.0378754614970855e-43,1.3743817168164107e-43,4.307023995379717e-54,4.4767614094096088e-51,1.2472574155620183e-53,2.3449693427924857e-53,4.5184422375229897e-55,1.0734024727512417e-55,6.3504548188206079e-60,2.6615381221693429e-37,3.6585660735908082e-39,3.1283013114877732e-37
