Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921)
0.0,0.0025287821829441774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0025287821829441774,3.7383503643527239e-23,1.6202089886218036e-30,6.2544312621824856e-30,4.2288895689952882e-31,7.9720435137950214e-38,0.0,0.0,9.1773087570728693e-22,4.9897418996154425e-33,1.5637662145072965e-46,8.146878921077002e-47,2.8211668905048326e-59,4.0585455767083151e-30,9.7898707350956168e-45,7.6943352505728739e-20,8.6178658664874789e-30,8.1095656481476285e-40,9.4552585786064527e-41,3.4794788472214954e-27,3.2489580206355705e-43,8.6626060302059095e-42,6.5202943216128403e-42,1.2510241707335498e-32,1.271052765758975e-50,1.7714569329191938e-27,9.5455639710104475e-50,9.2780455441856465e-20,4.70088209326922e-46,3.3108912343239267e-59,9.2783874839600675e-47,2.1226848123211792e-71,2.7014670696185534e-38,2.375821936140828e-32,7.0737580600959587e-31,2.129584377835801e-30,1.8248916464927247e-32,5.6533270840538292e-27,1.6818284342908752e-44,8.6148156404660186e-48,1.8190798823150399e-42,2.1077690667320028e-41,3.3510171541253683e-38,1.5062579765949823e-31,9.2998881419271859e-49,9.6428955000291438e-55,3.3947796598487467e-54,3.5125060855414649e-68,7.1253341883556547e-69,9.4537926173404571e-63,3.6841939069602938e-98,1.6702561035220359e-90,-5.1029084697842046e-54,7.3688101704940727e-41,2.3828326357107377e-49,1.456989504105816e-45,1.189004788563964e-57,2.89249084830168e-42,6.5909291918685574e-53,8.1169685718791549e-69,5.096309867152134e-37,6.0800264171588254e-31,2.6104319196754866e-35,3.0822923167752933e-45,3.5546391624647355e-62,-7.7970549807006481e-81,3.6056013576429598e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.155866150328966e-19,9.2780451414775253e-20,1.1558662277640181e-19,4.0493206647695442e-22,3.3158930586659564e-22,1.6579465345321719e-22,1.0760064255925506e-26,8.722667323863709e-27,1.3574709717358751e-28,1.1192111923516196e-28,2.876033860933999e-27,5.567836189742758e-29,1.7256804782164869e-31,1.0057302571361037e-28,6.4568650629924574e-29,7.7708719779969209e-29,1.0066073331067376e-28,4.5437708085589641e-29,7.6943340268582206e-20,5.2797186579159927e-23,4.9682585724951844e-27,7.4416716387012859e-27,1.6024678839690709e-33,5.9299034812657516e-38,5.1237602937695707e-30,1.3119549597053223e-35,5.9092078275389113e-29,5.2650252693150303e-30,1.6988783974681718e-36,2.79611637665861e-39,2.1848526638124044e-40,2.0671026627907206e-40,2.6886887329868788e-45,8.0323797528732714e-44,6.6318880175212755e-53,1.75126080449937e-49,2.5001257422667638e-54,1.8033820161008152e-53,5.4164550768995717e-58,1.230211280702317e-57,7.6367663007479307e-56,4.8365962053524262e-38,2.2180728298994824e-39,5.8662198838243927e-38,1.087532225806978e-65,6.1689705818251066e-68
3.0000000000000002e-15,0.0025287821829441774,1.2283199341931106e-22,5.6424578115765691e-30,4.1100696051912826e-29,2.7789893097578273e-30,7.51651700390742e-37,0.0,0.0,3.0154037868494236e-21,3.2789743538368404e-32,1.4744297801973584e-45,7.6815533733953295e-46,3.4659773096486296e-58,2.6670446859459059e-29,9.2304499007140694e-44,2.5281386985908918e-19,5.6631689720735635e-29,5.329352454994213e-39,6.2134517715608638e-40,2.2865145871917357e-26,3.0633032245183701e-42,5.6926641367230655e-41,6.1477050425391881e-41,8.2210157767649211e-32,1.198467528487702e-49,1.1641002621862827e-26,9.0009980764793865e-49,3.0485004982253612e-19,4.432259901571197e-45,3.1217822070676684e-58,8.7481947887718891e-46,2.607874630336565e-70,2.5470975123633318e-37,1.5612124192152957e-31,4.6484694626418895e-30,1.3994554349811246e-29,1.1992137286592378e-31,3.7150434109669444e-26,1.5857239898110431e-43,8.122539030524564e-47,1.7151317133050947e-41,1.9873242048231507e-40,3.1595224684562325e-37,9.8982307837075845e-31,8.7685704781682341e-48,1.184698370553589e-53,4.1707291590577471e-53,5.3189302311165663e-67,8.7903903880371716e-68,1.1614655025465911e-61,5.5805656487473557e-97,3.0064572999180797e-89,3.0180056006748731e-52,6.9477317581992304e-40,2.9274789543132843e-48,1.3737424835899112e-44,1.4607645173851211e-56,2.7271773707324773e-41,8.097470345384895e-52,1.2286762810252589e-67,4.8050920688358925e-36,3.9953028222486434e-30,1.7154267441163012e-34,2.9061265409880919e-44,4.3670818803427922e-61,4.1658524841722625e-79,5.459873729250922e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.7978455604758591e-19,3.0485002335886268e-19,3.7978460693347335e-19,1.3304906317219875e-21,1.0895073468479825e-21,5.4475367684062183e-22,7.0708989340577746e-26,5.7320381366225973e-26,8.9205205323964101e-28,7.3548141564452839e-28,1.8899650934950909e-26,3.6588625974075152e-28,1.1340256049224938e-30,6.6090844501721429e-28,4.2430826921043799e-28,5.1065729348822478e-28,6.6148491034415723e-28,2.9859088594165995e-28,2.5281378944356251e-19,1.7347645616679478e-22,3.264854910126253e-26,4.8902408910600691e-26,1.5108978623194902e-32,5.5910750777861111e-37,3.3670422842994936e-29,1.2369866313028192e-34,3.8831920871596386e-28,3.4598807232638965e-29,1.6018016642190799e-35,2.6363458935042705e-38,2.0600355086142236e-39,1.9490293359541583e-39,3.3032566870024432e-44,9.8683554890102059e-43,1.0042312824803279e-51,2.1515371405268067e-48,3.7857598620069375e-53,2.7307381780957476e-52,9.7483248517581761e-57,2.2143130716424623e-56,9.3822618451897962e-55,4.5602183076234824e-37,2.0913257309344031e-38,5.5310060252470919e-37,2.2680205450522685e-64,1.2865291246096806e-66
7e-15,0.0025287821829441774,2.7236969211305889e-22,1.4563702830389192e-29,2.2337857209833142e-28,1.510337025457923e-29,1.2140592578858053e-35,0.0,0.0,6.6863451812012555e-21,1.7820551885762571e-31,2.381598672933459e-44,1.2406830315031894e-44,1.7529713368699759e-56,1.4494823980430659e-28,1.4908580326907207e-42,5.6058725952925878e-19,3.0778091323424794e-28,2.8963418007659618e-38,3.3768622913546832e-39,1.2426706747996357e-25,4.9476980665935573e-41,3.0937626682766931e-40,9.9294598335162309e-40,4.4679426413478476e-31,1.9357212310032121e-48,6.3266315761582606e-26,1.4551224664721642e-47,6.7597173340818597e-19,7.1587659579780581e-44,5.0421213849033822e-57,1.412967302693789e-44,1.3190995087811998e-68,4.1139482159067424e-36,8.4833652542598783e-31,2.5263416758720594e-29,7.6062406609667368e-29,6.5174382649014813e-31,2.0190449734040901e-25,2.561185059638168e-42,1.311911004393303e-45,2.7701865238216518e-40,3.2098161505958458e-39,5.1029891976437759e-36,5.3793462251590577e-30,1.4164117230914765e-46,5.9923563064223169e-52,2.1096121593033239e-51,8.7842094088915151e-65,4.6673794111045313e-66,5.874827376536564e-60,9.2189023570783281e-95,1.67382142998061e-86,5.8230944849831912e-51,1.1221586987058077e-38,1.4807527753647796e-46,2.2189431936465703e-43,7.3879728474918493e-55,4.4043859822167394e-40,4.0960748383581179e-50,2.0177798049935822e-65,7.7609503577568248e-35,2.1708542666576391e-29,9.3229733464599694e-34,4.6933197914144168e-43,2.2086473836501633e-59,1.5208742882075825e-76,9.0161226902455036e-61,0.88168480800000004,0.0,0.0094599999999999979,0.10885,8.4213073914489236e-19,6.7597158958398421e-19,8.4213101569849824e-19,2.95021550125934e-21,2.4158617204381926e-21,1.2079308787877541e-21,3.8428783201856026e-25,3.1152367367616764e-25,4.8480983890644703e-27,3.9971736480648323e-27,1.0271548886491453e-25,1.988508092471507e-27,6.1634303658054915e-30,3.5918933808595177e-27,2.3060229773921837e-27,2.7753110974549314e-27,3.5950299206350578e-27,1.622784787312663e-27,5.6058682248862006e-19,3.8466509518566735e-22,1.7743751108423319e-25,2.6577379471845046e-25,2.4403226309701042e-31,9.0307772089942094e-36,1.8299135972217531e-28,1.9979286255741786e-33,2.110424724434056e-27,1.8803946249846016e-28,2.5871824730312883e-34,4.2582105135630845e-37,3.3277368518556107e-38,3.1486709466210268e-38,1.6708972598841421e-42,4.9915714639469149e-41,1.6578551575785269e-49,1.0882055955034579e-46,6.248647487964023e-51,4.5084125249088001e-50,5.4221803189117789e-54,1.232406006446721e-53,4.7453691030340219e-53,7.3654291103235651e-36,3.377806672572042e-37,8.9333935922107865e-36,4.3569494547342512e-61,2.4717156015325962e-63
1.5e-14,0.0025287821829441774,5.7145446724564656e-22,3.8618304678867697e-29,9.8826517270573747e-28,6.6818540854631581e-29,1.1291385402883578e-34,0.0,0.0,1.402827351195249e-20,7.8838408842369525e-31,2.215188230889432e-43,1.1538670109237799e-43,3.3709421909120557e-55,6.4125218123127738e-28,1.3865266968135863e-41,1.1761339870626103e-18,1.3616226928232953e-27,1.2813522029351175e-37,1.4939138305748757e-38,5.4975728863198311e-25,4.6014508947360982e-40,1.3686473325245965e-39,9.2345616416976091e-39,1.9766172986423743e-30,1.8003264509337574e-47,2.7989016009102151e-25,1.3552244936075829e-46,1.4182147488442554e-18,6.6577788662051779e-43,4.6892836702526628e-56,1.3140879921702145e-43,2.5369796322196233e-67,3.8260487509354368e-35,3.7519500675605953e-30,1.1176532462570145e-28,3.3653714912725194e-28,2.8832943672057379e-30,8.9322523266537312e-25,2.3819509676861369e-41,1.2200987575241099e-44,2.5763092997973759e-39,2.9851694700287813e-38,4.7457030757882053e-35,2.3797294226998517e-29,1.3175152623516808e-45,1.1524846854082251e-50,4.0573394590731384e-50,3.4462393300113984e-63,9.6139506084887923e-65,1.1298767745905465e-58,3.6185023073207772e-93,1.327732215721758e-84,1.0442368434343506e-49,1.0436209843548289e-37,2.8478590767959497e-45,2.0638643403513452e-42,1.4206782819327796e-53,4.0955509403694644e-39,7.8785878048144111e-49,7.8521772944427893e-64,7.2178274331635027e-34,9.6001430410849893e-29,4.1244848125812834e-33,4.3641244609703183e-42,4.2469958657105451e-58,1.1549606895870126e-74,3.5367204454025163e-59,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.7668224001622106e-18,1.4182141125668019e-18,1.7668236236343993e-18,6.1896565950941278e-21,5.068563213439089e-21,2.5342816888670322e-21,1.7000882405656126e-24,1.3781797174639551e-24,2.144790940358028e-26,1.7683437730438172e-26,4.5441328344434688e-25,8.7971290180749882e-27,2.7268836502821689e-29,1.5890533803109493e-26,1.0201843999645735e-26,1.2277974235951543e-26,1.5904436135504337e-26,7.1792604056500031e-27,1.1761320535967871e-18,8.0704210010215486e-22,7.8498166937520408e-25,1.1757820423656485e-24,2.2695365793847003e-30,8.3992939376541373e-35,8.0955326999972337e-28,1.8581224789309541e-32,9.3364766674681785e-27,8.31904709705776e-28,2.4061721438841013e-33,3.9603797502322134e-36,3.0955397389533844e-37,2.929334714240577e-37,3.2137614824943751e-41,9.6001679248722457e-40,6.5005024276221432e-48,2.0926999146647104e-45,2.449460714590326e-49,1.7680616679633266e-48,4.2972116532606518e-52,9.7720273419785228e-52,9.1257063951739169e-52,6.8499662516224194e-35,3.1414217601388207e-36,8.3081956758201488e-35,6.9458569482468619e-59,3.9409662323133347e-61
3.1e-14,0.0025287821829441774,1.16966152839949e-21,1.1157701408122461e-28,4.1195730874846549e-27,2.785213061757229e-28,9.530584372296835e-34,0.0,0.0,2.8712312341578561e-20,3.286145150586153e-30,1.8700443616487745e-42,9.7388310138926291e-43,5.7297459991590943e-54,2.6728599231386498e-27,1.1702275432615746e-40,2.4072272349013598e-18,5.6754792108880291e-27,5.3410232297031661e-37,6.22681032991867e-38,2.2914820407599363e-24,3.8836152480305586e-39,5.7045087593662396e-39,7.7939181544267533e-38,8.2388797539720747e-30,1.5195971861966916e-46,1.1666306060073151e-24,1.147012674728365e-45,2.9026993727767797e-18,5.6191417115992481e-42,3.957803518230001e-55,1.109091279720634e-42,4.3134579267438733e-66,3.2291785158869697e-34,1.5629900276478483e-29,4.6585702183117547e-28,1.4030469014432646e-27,1.2017905894944273e-29,3.7231156849394521e-24,2.0103641180679239e-40,1.0297562587444551e-43,2.1743741308234424e-38,2.5194454349409738e-37,4.005079572082118e-34,9.918364888395423e-29,1.1123550965663563e-44,1.9594755106175161e-49,6.8984000295375571e-49,1.1764631497408111e-61,1.8488245024293254e-63,1.9210234602033739e-57,1.2365351612448695e-91,9.0835925638117066e-83,1.7868994962656087e-48,8.808017283334201e-37,4.8419468618278376e-44,1.7422385844156056e-41,2.4147257539567386e-52,3.4556267860773447e-38,1.3397935909427575e-47,2.6381492914131543e-62,6.0918313752063852e-33,3.9984817090906633e-28,1.7191580138333614e-32,3.6820698804569074e-41,7.2181238042849721e-57,8.0495053908089559e-73,1.207008170667141e-57,0.88168480800000004,0.0,0.009459999999999991,0.10885,3.6162029014933804e-18,2.9026967206685357e-18,3.6162080011300024e-18,1.2668504202241437e-20,1.037393718305537e-20,5.1869689339299785e-21,7.0862537268788691e-24,5.7444840437024606e-24,8.9397975285307996e-26,7.3707161749404883e-26,1.8940731307325997e-24,3.6667710114651021e-26,1.1367607710068756e-28,6.6234482983868358e-26,4.2523043353684324e-26,5.1176711276869639e-26,6.6292644436580056e-26,2.9924896652494047e-26,2.4072191758961565e-18,1.6517950174522741e-21,3.2719245552698e-24,4.9008536821871364e-24,1.9154698708382351e-29,7.0898223044456088e-34,3.374354448815141e-27,1.5682712283867143e-31,3.8915710806229066e-26,3.4676709408755271e-27,2.0308781961268991e-32,3.3428261464489392e-35,2.6137614406407374e-36,2.4740312387107453e-36,5.4647516181271814e-40,1.6322678203736232e-38,2.2166548935221689e-46,3.5573749909288267e-44,8.3481836041480334e-48,6.0311785880967622e-47,2.9350274407679709e-50,6.680356508721726e-50,1.551279603999756e-50,5.7813256294695592e-34,2.6513518804867754e-35,7.0120573680810302e-34,9.4978203766625901e-57,5.390417155495974e-59
6.300000000000001e-14,0.0025287821829441774,2.3662256935282528e-21,3.5690092336101284e-28,1.679001392115511e-26,1.1350708472710849e-27,7.8013599229247673e-33,0.0,0.0,5.808111867279163e-20,1.3391409745501039e-29,1.5312306094853379e-41,7.9710664179006042e-42,9.3949841047518583e-53,1.0892126235860796e-26,9.577693717254343e-40,4.8694129016670432e-18,2.3127881111672421e-26,2.1766011761111532e-36,2.5373925191147219e-37,9.3378991689859488e-24,3.1785239457811488e-38,2.3244166283850744e-38,6.3788360717135756e-37,3.357384700371219e-29,1.2439122574778381e-45,4.7540816073290619e-24,9.4400054511508263e-45,5.871662992893839e-18,4.5989395932598316e-41,3.2393445930851304e-54,9.0773576906415726e-42,7.0767626696745887e-65,2.6429055436721426e-33,6.3620725552581717e-29,1.8983905691084854e-27,5.7199360947395816e-27,4.8972274077177205e-29,1.5171880885367605e-23,1.6453754711838461e-39,8.4279090365486357e-43,1.7795628075485004e-37,2.0619750001221651e-36,3.2774718385600912e-33,4.0411701837022712e-28,9.1101305038454881e-44,3.214704655222303e-48,1.1317599291271422e-47,3.8647628365353171e-60,3.7350526746042867e-62,3.1515756554089957e-56,4.070433521698839e-90,5.9716263660108691e-81,2.9528901778099909e-47,7.2086738843093326e-36,7.9435559968185349e-43,1.4264817291563827e-40,3.9591716379173411e-51,2.8265930327518796e-37,2.1989136118189015e-46,8.4008917447715007e-61,4.98582590151675e-32,1.626952477050581e-27,7.005671412225153e-32,3.0115452372807038e-40,1.183319420814042e-55,5.3486382464164194e-71,3.9628510558188385e-56,0.88168480800000004,0.0,0.0094599999999999823,0.10885,7.3149526213875765e-18,5.8716521854628132e-18,7.3149734026196031e-18,2.5626061097946046e-20,2.0984569059406389e-20,1.0492285924988073e-20,2.8876793588243541e-23,2.3409016866980074e-23,3.6429644639519592e-25,3.0035681233555784e-25,7.7184481237743106e-24,1.4942087096042732e-25,4.6335660268447906e-28,2.6990894376329704e-25,1.7328359839012713e-25,2.0854773754856088e-25,2.7014769326011993e-25,1.2194957912150074e-25,4.8693800609136591e-18,3.3412964822384852e-21,1.3333145662203728e-23,1.9971163463505686e-23,1.5676824529331023e-28,5.803990303843407e-33,1.3750643937046986e-26,1.2835751470046328e-30,1.5858083301381687e-25,1.4132146257580267e-26,1.6622817414377179e-31,2.7363647444302744e-34,2.1410676870541881e-35,2.0275986814971124e-35,8.9675891475178769e-39,2.6779869516209471e-37,7.2657640481876921e-45,5.834016571680574e-43,2.7334968984997546e-46,1.9783152187708835e-45,1.9232399700580946e-48,4.3850548787833748e-48,2.5440731943354986e-49,4.7316424743749772e-33,2.1699818151554826e-34,5.7389103556404048e-33,1.2450557690186335e-54,7.0701750298763043e-57
1.2700000000000001e-13,0.0025287821829441774,4.7599541892013608e-21,1.245242444369968e-27,6.7775614672681408e-26,4.5811804787795518e-27,6.3089919519888194e-32,0.0,0.0,1.1682164601879333e-19,5.4041923043955229e-29,1.2390998481917648e-40,6.4450246451625868e-41,1.5187631234816133e-51,4.3955271684812759e-26,7.7433849025303416e-39,9.7937809195511093e-18,9.3331416604727648e-26,8.7844226938773916e-36,1.0238989609960656e-36,3.7682526999238837e-23,2.5697610011244827e-37,9.3784486577531465e-38,5.1570496499181873e-36,1.3548536521093842e-28,1.0060070973767613e-44,1.9184856691607609e-23,7.716620097194883e-44,1.180956772221972e-17,3.7181064340325343e-40,2.6190992395572822e-53,7.3389246568409461e-41,1.1453127317879974e-63,2.1367291897847078e-32,2.5615996849566644e-28,7.6608472910118968e-27,2.3102153708822551e-26,1.9761441835307181e-28,6.1225255425157727e-23,1.3302532111477037e-38,6.8136419552318426e-42,1.4386663759194498e-36,1.6669744755187505e-35,2.6490085437253521e-32,1.6302971783715601e-27,7.3752150122481401e-43,5.2025335303458213e-47,1.831629029464273e-46,1.251478590707588e-58,8.3157149048496404e-61,5.1002234614972277e-55,1.3234781179901521e-88,3.8682961443663391e-79,4.7999825428303312e-46,5.8277176038219233e-35,1.2855121246273027e-41,1.154171304450284e-39,6.3995457845478661e-50,2.2825816910190788e-36,3.5613807852021574e-45,2.5631641763531848e-59,4.0309206405110352e-31,6.5458085948155621e-27,2.827112491707604e-31,2.4315003936845672e-39,1.9121856161710501e-54,3.4857587198832985e-69,1.2817814208786487e-54,0.88168480800000004,0.0,0.0094599999999999632,0.10885,1.4712406930469144e-17,1.1809524109785938e-17,1.4712490791617874e-17,5.1540621642986407e-20,4.2205368581865554e-20,2.1102689921349807e-20,1.165303105643881e-22,9.446542092942208e-23,1.4700592588585589e-24,1.2120442776894459e-24,3.1147405430287258e-23,6.0296432115545016e-25,1.8708244191918718e-27,1.0892032275911295e-24,6.9927675053790058e-25,8.4158327193706783e-25,1.090180709401744e-24,4.9215394267534285e-25,9.7936483933166932e-18,6.7202819322939847e-21,5.3804265708503808e-23,8.0592016427117402e-23,1.2673959483347149e-27,4.6945915136897826e-32,5.5489793017850821e-26,1.0377917232021482e-29,6.399227576057525e-25,5.703926735802311e-26,1.344109887528629e-30,2.2130076690971813e-33,1.7339913833889942e-34,1.6436973674599942e-34,1.4519693112889421e-37,4.3342489101784607e-36,2.3424258277310765e-43,9.4344602219853752e-42,8.7942568252639596e-45,6.3870336924480125e-44,1.2378312866073802e-46,2.831968526235675e-46,4.1141571415244946e-48,3.8253358737945906e-32,1.7543741117315796e-33,4.6396591162512676e-32,1.6027256103217786e-52,9.1114184593734492e-55
2.55e-13,0.0025287821829441774,9.5498117952609711e-21,4.6132422097187841e-27,2.7243193460799061e-25,1.8408917931127551e-26,5.0756745986923672e-31,0.0,0.0,2.3431435941095112e-19,2.1711099986171381e-28,9.9814415652772705e-40,5.1831947072788166e-40,2.4378454812141029e-50,1.7658326402261411e-25,6.2262581854303479e-38,1.964250369272977e-17,3.749332242197137e-25,3.5295882376550382e-35,4.112804377045447e-36,1.5137834158671237e-22,2.0662543498568274e-36,3.76623386910754e-37,4.146461249170819e-35,5.4427325128123317e-28,8.0943177898407981e-44,7.706984033617153e-23,6.3407180928668247e-43,2.3685287137908334e-17,2.9895555647100233e-39,2.1061931731641806e-52,5.9011267332884653e-40,1.8425802578543443e-62,1.7180734201949512e-31,1.0244378913114866e-27,3.0775231371934318e-26,9.2962945321695983e-26,7.9377496853893737e-28,2.4595463670933141e-22,1.0696207346488883e-37,5.4784134170834335e-41,1.1566719415949947e-35,1.3402216237166554e-34,2.1287703749725794e-31,6.5452802360472472e-27,5.9460550959051332e-42,8.3692385477359005e-46,2.9466419472220414e-45,4.0272617384346264e-57,2.0683239713446228e-59,8.2041870683157029e-54,4.2937668121273019e-87,2.4898509889042804e-77,7.7432125239644767e-45,4.685342043047203e-34,2.0678642421637533e-40,9.2945525904354713e-39,1.026983658840854e-48,1.8311080074175736e-35,5.7379425972861778e-44,7.3929027118821108e-58,3.2411197651271896e-30,2.6139228808231132e-26,1.135721320564067e-30,1.9498714853546907e-38,3.0670050569255244e-53,2.2531370837729929e-67,4.1153839691454501e-53,0.88168480800000004,0.0,0.0094599999999999268,0.10885,2.9507135028731019e-17,2.3685111940341054e-17,2.9507471913894667e-17,1.033675299714988e-19,8.464511087606308e-20,4.2322578055181482e-20,4.6812390717516062e-22,3.7948471663522182e-22,5.9052284895830591e-24,4.8688067120396201e-24,1.2512603832138286e-22,2.4221128150829873e-24,7.5233268407497132e-27,4.3755661453305931e-24,2.8091465578564851e-24,3.3808224529795619e-24,4.3796055280662694e-24,1.9773535217625675e-24,1.9641971313138476e-17,1.3478182915451028e-20,2.1613590952481994e-22,3.2375119520417107e-22,1.0190073260645371e-26,3.7782980809955384e-31,2.2291294427564434e-25,8.3453499174761664e-29,2.5705338607801271e-24,2.2921738047693701e-25,1.0810643864801518e-29,1.7805619303717228e-32,1.3990516921636245e-33,1.3287718583848304e-33,2.337996995645008e-36,6.9734554760615061e-35,7.4721548700975829e-42,1.5154690488832469e-40,2.7938743702805034e-43,2.0431827612255748e-42,7.8665439776908397e-45,1.8118816360984002e-44,6.6086100802817066e-47,3.075682016811596e-31,1.4106231144344055e-32,3.7304042347630207e-31,2.0368446717558699e-50,1.1605237688731969e-52
5.11e-13,0.002528782182944178,1.9139129090655899e-20,1.7718843768265343e-26,1.0933175830073425e-24,7.3834272441985652e-26,4.0751015730414884e-30,0.0,0.0,4.69346420722665e-19,8.7038626429118779e-28,8.0343092237327224e-39,4.1584213085205881e-39,3.8935896471935723e-49,7.0787164792173442e-25,4.9934933762903752e-37,3.9339896188726994e-17,1.5029142648685638e-24,1.415382337595345e-34,1.6482690829054389e-35,6.0679128365814109e-22,1.6571086659461241e-35,1.5086498333962029e-36,3.3251812560259043e-34,2.1816965408596282e-27,6.5001574515863226e-43,3.0893307072568693e-22,5.3034649070543777e-42,4.7436365802791204e-17,2.397516600774938e-38,1.6895684202465448e-51,4.7328754662778659e-39,2.956135082802753e-61,1.3778797100855664e-30,4.0699518313661542e-27,1.2336117911446312e-25,3.738737591038287e-25,3.1811423273403043e-27,9.858979733756834e-22,8.5784473205769336e-37,4.3933004606777143e-40,9.2746075465227902e-35,1.0746253722492899e-33,1.7053175249958374e-30,2.6204734608191474e-26,4.7941660168368667e-41,1.3425223368011031e-44,4.7271623506739368e-44,1.2921527878806013e-55,5.6613076802946111e-58,1.315895733373085e-52,1.4000725850095271e-85,1.5977737163066979e-75,1.2450186809104656e-43,3.7567477408472552e-33,3.3167057358737478e-39,7.4766147180109219e-38,1.6394214303353156e-47,1.4618193345639529e-34,9.2321147774622883e-43,1.9639186221311318e-56,2.5993326124741394e-29,1.0354283571357358e-25,4.5525766634907212e-30,1.5555159740646005e-37,4.8909792884408759e-52,1.4523079314160437e-65,1.3144052613597682e-51,0.88168480800000004,0.0,0.0094599999999998539,0.10885,5.909586916905713e-17,4.7435663552850512e-17,5.909721953720083e-17,2.0701249737315154e-19,1.6951716982333564e-19,8.4758675560161083e-20,1.8764318611031355e-21,1.5211263306036974e-21,2.3668382724109671e-23,1.9514560610697742e-23,5.0156528892757696e-22,9.707960947327974e-24,3.0219701058472859e-26,1.7539332592875386e-23,1.1260382872484968e-23,1.355192674639549e-23,1.7556427138656292e-23,7.9282827528137704e-24,3.9337762217191391e-17,2.6993705222862367e-20,8.6631435854941282e-22,1.2977117595930232e-21,8.171323578800701e-26,3.0358245418140653e-30,8.9352724098003332e-25,6.694194549490267e-28,1.0302509631378701e-23,9.1943854924819551e-25,8.6750119550676231e-29,1.4298471450431556e-31,1.1297488774583978e-32,1.0771172650173345e-32,3.757584887103006e-35,1.118947172396496e-33,2.3563358501047016e-40,2.4239897908212609e-39,8.7415962116178996e-42,6.4790484616360175e-41,4.923818759016441e-43,1.1489566036144464e-42,1.0569994246723407e-45,2.4664383876650206e-30,1.1312893053206783e-31,2.991442489137416e-30,2.5489666365836388e-48,1.4587892743415331e-50
