Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817),S(230),S(4557),S(3474),O2(4921),S(4626),C3H5(74),S(5703),S(2098),S(1922),S(252),S(1733),C3H6O(70),S(9646),S(3263),S(16791),S(16795),S(16798),S(17459),C4H7(362),S(17491),S(5767),S(18324),S(5722),C4H6(2459),C4H6(2460),C4H6(2458),S(18175),S(24127),S(26146),S(26431),S(26391),S(3596),S(27510),S(16766)
0.0,0.007698359312995027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0801011030855175e-20,0.007698359312995027,5.4607327038576436e-26,1.9010214453379182e-33,3.6867472004945822e-38,4.03578537616628e-39,2.1254895929458183e-51,0.0,0.0,7.359405578086624e-26,3.774728268613206e-42,1.1047552676138131e-58,1.5678031823602141e-58,3.4384078084155689e-75,1.8046671978537493e-38,1.3440751212843131e-57,5.9045146474061725e-23,5.070706189880847e-38,4.0616863105644983e-46,1.4493293629017609e-47,8.9275167612191799e-35,2.0539472958973629e-56,1.1798540077773984e-48,9.1852829523618888e-55,1.3956045132839636e-40,4.7092837152244201e-62,3.6143928124833718e-36,3.7280699526785798e-61,6.1699480654754855e-23,8.8755681990781273e-58,1.8824822430806284e-69,4.9799709580426587e-58,2.7273977543607696e-86,5.3602575023573696e-52,7.5783886249731387e-40,3.8502929672311955e-39,1.8083745005205686e-38,2.4964377586747625e-40,1.0002584858380408e-35,9.1817531139785516e-57,1.786272226869621e-58,7.5772438561411911e-55,1.3137676459810692e-53,7.968274296070315e-52,4.1491054309148974e-40,2.4505788279776146e-61,9.3134536878023111e-72,2.7994068509039088e-71,1.0162532057052621e-85,1.2960442697124554e-84,3.56823440653196e-79,9.0854259574018741e-116,3.6225598440170987e-111,1.1027353188656565e-69,9.4121772543065629e-54,1.6374662794574679e-67,3.6848204402121684e-58,2.3126842816893266e-75,1.0715264679780189e-54,4.3953783726796627e-71,1.8915293766276816e-90,8.2058914820685071e-51,1.9276418806175122e-39,3.2573528337824003e-43,4.1482500869547556e-58,1.0794163597438045e-78,3.7598571352362405e-75,2.3820351671088376e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999938,8.085702133396144e-23,6.169948065470566e-23,8.0857021333975969e-23,4.7617662674145247e-26,3.8519928581365761e-26,1.9259964290687951e-26,2.2695295791052156e-35,1.7794750421213912e-35,4.4268175902047574e-38,3.7204677825216976e-38,5.2267426979071774e-36,1.8426022238398181e-38,1.9160260559109555e-40,1.9297697038022949e-36,1.8582727758595026e-36,1.7936185379687054e-36,1.5274152822539286e-36,3.0055725413397207e-37,5.9045146473913778e-23,2.2803827264581391e-26,8.5517070294120853e-35,1.8034212373644149e-35,7.3392656198977216e-47,1.888447025564701e-52,7.1344556718901644e-39,2.1471313511062467e-49,3.1494725634856386e-37,3.2777921806200093e-38,2.8317300318874507e-50,1.0313370548559005e-52,3.0771721169416684e-53,2.68900161057252e-53,2.5485899264384056e-64,3.8036449657004141e-62,2.2966920217134906e-75,1.6570744452130466e-66,2.0442858417634353e-77,5.1646177170623159e-74,1.0100090642117985e-83,2.0454260214648295e-83,2.346974061496361e-73,1.255979214664309e-52,2.4144335361534514e-53,1.4944859639884931e-52,5.5159623988013536e-97,9.4995873196032911e-99,3.0227564721267894e-44,5.1584514844196894e-101,7.3985843921596532e-41,2.2445838084603964e-40,2.2963909460770556e-52,7.8038082143524102e-67,2.289552422350527e-44,9.4842879827310877e-115,4.6142270869747829e-115,6.2449979972005341e-16,4.0534302350184125e-118,3.2176750115311286e-54,5.9798833806613046e-67,9.396243365586813e-43,1.8139105197820864e-66,2.1285831998178447e-44,4.2191632513061937e-54,1.0669089466578949e-53,1.7962017807830394e-69,1.3742062633260455e-54,1.3751594383808412e-66,5.8620840491094893e-69,5.8542655515961039e-69,7.7249800338436225e-72,1.4919956352994338e-58,6.3217898181674876e-85,3.1994876520478633e-94,1.229360795558763e-70,2.913554793615964e-71,1.7866531879417133e-73,1.116133917443696e-87,2.7105165379715234e-82,5.2374824834219975e-74,1.2144426175557196e-96,7.2449380361497599e-109,8.7681142620216661e-111,5.9068879214794824e-111,2.3601640645300378e-53,8.0455774061353797e-68,3.8049540598895431e-66
3.0242830886394494e-20,0.007698359312995027,1.5290051572748399e-25,5.3228636932225625e-33,2.2267953091602171e-37,2.4376143674634418e-38,2.5233812448381176e-50,0.0,0.0,2.0606335619465618e-25,2.2799358743183676e-41,1.3115654614394962e-57,1.8612959381244915e-57,7.6915807298238914e-74,1.0900189875186664e-37,1.5956859840103781e-56,1.6532641012744271e-22,3.0627065386891119e-37,2.4532585316148918e-45,8.7539493518871247e-47,5.3922201237724699e-34,2.438446229688707e-55,7.1263182074337941e-48,1.0904767921021058e-53,8.4294512602326543e-40,5.5908616271494567e-61,2.1830932587402849e-35,4.4259646486996144e-60,1.7275854583333845e-22,1.0537074565945123e-56,2.2348829190078427e-68,5.9122215214812454e-57,6.101079680841965e-85,6.3636977071811866e-51,4.5773467282550568e-39,2.3255769522079223e-38,1.0922581983564754e-37,1.5078484062173133e-39,6.0415612544616254e-35,1.090057729839441e-55,2.1206623877347681e-57,8.9957039058948635e-54,1.5597049492874275e-52,9.4599352434889633e-51,2.5060596800395209e-39,2.9093271931981202e-60,2.0833823357098815e-70,6.2621611492026793e-70,4.1758937290067745e-84,2.8991992448618329e-83,7.9819976379315789e-78,3.749126463015843e-114,2.7156134450086772e-109,2.5005340093465537e-68,1.1174136836155427e-52,3.6629465684396026e-66,4.3746188267523551e-57,5.1733822275351208e-74,1.2721162225611537e-53,9.8323390013659069e-70,7.8054486486441817e-89,9.7420343677613538e-50,1.1642956954754555e-38,1.9674411116584964e-42,4.9248025022424396e-57,2.4146112195009151e-77,1.1821592409606231e-73,7.4894996882686406e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999825,2.2639965973501441e-22,1.7275854583304133e-22,2.263996597351021e-22,1.3332945548749531e-25,1.0785580002768141e-25,5.3927900013873274e-26,1.3707958657768118e-34,1.0748029254383664e-34,2.6737978244411363e-37,2.2471625406119947e-37,3.1569525895368663e-35,1.1129317431832559e-37,1.1572797378872586e-39,1.1655809010966392e-35,1.1223967566179753e-35,1.0833455969327231e-35,9.22558830497056e-36,1.8153658149997867e-36,1.6532641012654912e-22,6.3850716340769603e-26,5.1652310457469513e-34,1.0892664273635394e-34,8.7131730560352132e-46,2.2419643089223071e-51,4.3092112258091596e-38,2.5490743400449741e-48,1.9022814283184264e-36,1.9797864771765464e-37,3.3618298939393589e-49,1.2244033515639561e-51,3.653218738079945e-52,3.1923827131426977e-52,5.7010937222628385e-63,8.508601642509876e-61,9.4773639299650637e-74,3.7068092505347033e-65,8.4358027609797815e-76,1.1714749971977138e-72,4.1734936280953685e-82,8.555785681861941e-82,5.2500871098686035e-72,1.4910985236796297e-51,2.8664154948346406e-52,1.7742537364819724e-51,4.1578456819271553e-95,7.1606394802191223e-97,1.8257449090165582e-43,3.8883595795608854e-99,4.468744973172598e-40,1.3557286203623256e-39,2.726275331245209e-51,1.7456806824362122e-65,1.3828896622589515e-43,1.2963235623142078e-112,6.30677949515261e-113,1.7485994388281212e-15,5.5402758228555805e-116,3.8200237736883174e-53,1.3379622266803205e-65,5.6753309944469139e-42,4.0576452749018623e-65,1.2856642518282474e-43,5.0089906088761773e-53,1.2666343006947876e-52,4.018031535558604e-68,1.6314576756973444e-53,3.0761766570204979e-65,1.3113247535027811e-67,1.3095757868131554e-67,1.7280471355469293e-70,1.7712972182262474e-57,2.6087042711833392e-83,2.4084944468031034e-92,2.750030924778026e-69,6.9362186179212282e-70,3.9966717153040997e-72,4.6057578620679024e-86,6.0633170982187521e-81,1.171603881610782e-72,5.0114314657370614e-95,6.7386831642459567e-107,6.6004175654279225e-109,4.4465577913702094e-109,2.8019867775809176e-52,1.799763484362074e-66,8.5115300343063179e-65
6.912647059747313e-20,0.007698359312995027,3.4948689318317886e-25,1.2166562774097413e-32,1.0721060859960592e-36,1.1736063877776673e-37,2.4774706697766841e-49,0.0,0.0,4.7100195705515873e-25,1.0976909806267061e-40,1.2877027510295383e-56,1.8274313894393058e-56,1.5197267374349201e-72,5.2479722115837371e-37,1.5666539614360854e-55,3.7788893743448399e-22,1.4745613600189702e-36,1.1811383791618044e-44,4.2146497872590533e-46,2.5961218741566645e-33,2.3940809680959727e-54,3.4310154552937209e-47,1.0706365809201788e-52,4.0584179246260365e-39,5.4891410997734846e-60,1.0510654298706575e-34,4.3454383395689239e-59,3.9487667619060488e-22,1.0345362292842971e-55,2.1942213026024758e-67,5.8046541489828203e-56,1.2054705330502894e-83,6.2479161452921897e-50,2.2037954102991108e-38,1.1196651948712506e-37,5.2587530481445933e-37,7.2596410018925535e-39,2.9087516768168085e-34,1.0702251434104415e-54,2.0820789076242076e-56,8.8320354383586991e-53,1.5313275680895097e-51,9.2878205170018383e-50,1.206559858960436e-38,2.8563947077696024e-59,4.1164124135235836e-69,1.2372975166436626e-68,1.647792135853333e-82,5.7283293899869756e-82,1.5771082250460321e-76,1.4831171470936701e-112,2.1417090943608176e-107,4.9704826573105536e-67,1.0970833807132001e-51,7.2373651597076444e-65,4.2950267055219621e-56,1.0221731478155308e-72,1.2489712503858931e-52,1.9427092188615819e-68,3.0877576122842452e-87,9.5647871118526216e-49,5.6055825825728947e-38,9.4723820414481111e-42,4.8352002982847022e-56,4.7708648703833199e-76,2.6373322352911909e-72,1.6708661791229772e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999601,5.1748493653680956e-22,3.9487667618917445e-22,5.1748493653723208e-22,3.0475304111375018e-25,2.465275429197418e-25,1.2326377146003184e-25,6.5997920159968915e-34,5.1747134224447004e-34,1.2873185551677391e-36,1.081912031110643e-36,1.5199367765528049e-34,5.358287266686281e-37,5.5718037723446824e-39,5.6117702986578684e-35,5.4038572321819638e-35,5.2158427084073664e-35,4.4417236410296667e-35,8.7402049506748421e-36,3.7788893743018182e-22,1.4594449449291291e-25,2.4868364041261115e-33,5.2443489581872067e-34,8.5546433744689727e-45,2.2011738535310888e-50,2.0746997093669101e-37,2.5026963028855206e-47,9.1586662142127527e-36,9.5318196624738978e-37,3.3006645254240038e-48,1.2021264712610346e-50,3.5867518221322777e-51,3.1343002806034366e-51,1.126440048053661e-61,1.6811563023751844e-59,3.7491509174202983e-72,7.3240304264183885e-64,3.3371196768693801e-74,2.3845618962213818e-71,1.6559443102835632e-80,3.4853839019067003e-80,1.0373287468170446e-70,1.4639693726236276e-50,2.8142637307393209e-51,1.7419728396308368e-50,3.2972775133492313e-93,5.6785694696998612e-95,8.790175818724362e-43,3.083568172452204e-97,2.1515083417022792e-39,6.5272497157865342e-39,2.6766732869412592e-50,3.4491708563757831e-64,6.6580184315838339e-43,2.0539558685331714e-110,9.9927573223055206e-111,3.9967987154921435e-15,8.7782730037719964e-114,3.7505219934362232e-52,2.6438409727792014e-64,2.7324275731613658e-41,8.0172232853137676e-64,6.189919932144327e-43,4.917856676191432e-52,1.2435890658143003e-51,7.9389532181190955e-67,1.601774820150494e-52,6.0780066930467756e-64,2.5909567360311533e-66,2.5875010722764104e-66,3.4143299471927512e-69,1.739070112501148e-56,1.0319774685685711e-81,1.9043241403674416e-90,5.4335976855479419e-68,1.407501206036129e-68,7.8967498126810319e-71,1.8219920076581557e-84,1.1980092931111717e-79,2.3148918379197819e-71,1.9824724510067729e-93,5.7635858929953854e-105,5.2187517016641501e-107,3.5157595412956767e-107,2.7510072341458709e-51,3.5560293601867886e-65,1.6817349034450753e-63
1.468937500196304e-19,0.007698359312995027,7.4265964840608792e-25,2.5854019276269391e-32,4.6821689455812147e-36,5.125447431745812e-37,2.1912947512003444e-48,0.0,0.0,1.0008791589078545e-24,4.7939049023166235e-40,1.1389585021273675e-55,1.6163423690528507e-55,2.7042725285840629e-71,2.2919273415067964e-36,1.3856876871801651e-54,8.0301399204968394e-22,6.4397968611654102e-36,5.1583416149240978e-44,1.8406482908239921e-45,1.1337946286687667e-32,2.1175375041741571e-53,1.4984145905720486e-46,9.4696593124174259e-52,1.7724177318667804e-38,4.8550831417614279e-59,4.5902788718589771e-34,3.8434910041397246e-58,8.3911293690553483e-22,9.1503557905154082e-55,1.9407638934664518e-66,5.1341508595090791e-55,2.1450704058813353e-82,5.5262110751811816e-49,9.6245535346707512e-38,4.8898720683879417e-37,2.2966356163129269e-36,3.1704759531721711e-38,1.2703282770140911e-33,9.4660201996258996e-54,1.8415752149819564e-55,7.8118353251724223e-52,1.3544418921619903e-50,8.2149720630314358e-49,5.2693638936492188e-38,2.5264488021471998e-58,7.3249359440401578e-68,2.2017048223213113e-67,5.8734428128498651e-81,1.0193256940425739e-80,2.8063798217391557e-75,5.2931397655114322e-111,1.528853085388224e-105,8.8690992478844265e-66,9.7035782610756672e-51,1.2878504609903789e-63,3.7989024819035193e-55,1.8189024970346474e-71,1.1047009259791183e-51,3.4569511147256685e-67,1.101998579658513e-85,8.4599458827076079e-48,2.4481051819126492e-37,4.1368380997395025e-41,4.2766799032003793e-55,8.4894991213636576e-75,4.9394313945261858e-71,3.1293474289884472e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999151,1.099655490139157e-21,8.3911293689928806e-22,1.0996554901410023e-21,6.4760021236447863e-25,5.238710287015789e-25,2.6193551435150076e-25,2.8823025654211803e-33,2.2599333034483864e-33,5.6220583389007355e-36,4.7249940833203341e-36,6.637963226356558e-34,2.3401048240286613e-36,2.4333530928210573e-38,2.4508075238297351e-34,2.3600064253235156e-34,2.2778955432144413e-34,1.9398174087055722e-34,3.8170771279756833e-35,8.0301399203089531e-22,3.1013205079626686e-25,1.0860667927075131e-32,2.2903449713820106e-33,7.5664844965427462e-44,1.9469133465952198e-49,9.0607587031067691e-37,2.2136065378122673e-46,3.9998301552098294e-35,4.162796070659354e-36,2.9194003942122721e-47,1.0632672503283336e-49,3.1724413711948287e-50,2.7722531074080723e-50,2.0044398806955918e-60,2.9915278162967525e-58,1.3380453288320992e-70,1.3032720815734025e-62,1.1909943057331873e-72,4.4931907793508006e-70,5.9454115842133024e-79,1.3161011037868534e-78,1.8458710999866287e-69,1.2948643310969257e-49,2.4891843994104699e-50,1.5407552493515083e-49,2.3707894227776701e-91,4.0829722072090071e-93,3.83890071730667e-42,2.2171293693280375e-95,9.3962021828193648e-39,2.8506214375545296e-38,2.3674872101746757e-49,6.1376152510781954e-63,2.9077315633532902e-42,2.9555450151841465e-108,1.4379103566574564e-108,8.493197262611736e-15,1.2631518443936834e-111,3.3172942298787658e-51,4.7047805531942035e-63,1.1933229099598715e-40,1.4266220455514153e-62,2.703300650411833e-42,4.3497885255513913e-51,1.0999404425851253e-50,1.4126943075280941e-65,1.4167516884356954e-51,1.0815488159607104e-62,4.6104690783024039e-65,4.6043199082060595e-65,6.0756177433953765e-68,1.5381878201601518e-55,3.683054293986089e-80,1.3611312724115205e-88,9.6687967583861427e-67,2.5348250909393373e-67,1.4051844370034647e-69,6.5025600580034421e-83,2.1317935639342242e-78,4.1192263413696386e-70,7.0753033613699691e-92,4.2679981241955701e-103,3.7301455030816806e-105,2.5129179128402936e-105,2.4332347450801728e-50,6.3277642507418134e-64,2.9925574066958759e-62
3.0242830886394496e-19,0.007698359312995027,1.5290051600979827e-24,5.3229165642302717e-32,1.9547133665600147e-35,2.1397734100565346e-36,1.8419152742039275e-47,0.0,0.0,2.0606335631400094e-24,2.0013609290787876e-39,9.573632494340306e-55,1.3586331532834597e-54,4.5611508775122649e-70,9.5683454851133931e-36,1.1647539951586602e-53,1.6532641012845532e-21,2.688488421889885e-35,2.1535060823152559e-43,7.684344281553935e-45,4.7333693867437833e-32,1.7799178634603207e-52,6.2555859554677013e-46,7.9598192417181807e-51,7.3994951293968929e-38,4.0809899239713265e-58,1.9163510691832693e-33,3.2306857822610089e-57,1.7275854583369836e-21,7.6914253922179732e-54,1.6313289923899994e-65,4.3155631538028436e-54,3.6179747708209575e-81,4.6451133879169801e-48,4.0180616318201397e-37,2.0414253312298717e-36,9.5880016076263061e-36,1.3236112993390592e-37,5.3033704919113069e-33,7.9567603571994724e-53,1.5479549313923469e-54,6.5663182884606541e-51,1.1384900214733036e-49,6.9051790030694778e-48,2.1998556962196485e-37,2.1236324998639558e-57,1.2354575081976699e-66,3.7134969908091458e-66,1.9832566960820422e-79,1.7192420591192038e-79,4.7333697579174129e-74,1.7884323054809589e-109,1.0333056036811186e-103,1.4978882923854091e-64,8.1564422118877572e-50,2.1721480383509386e-62,3.1932064379254332e-54,3.0678449007482425e-70,9.2856769010008537e-51,5.8306564748044967e-66,3.7234029223915269e-84,7.1110942644085335e-47,1.0220357192789734e-36,1.7270484732236979e-40,3.5948071416578154e-54,1.4318781088573144e-73,8.5316393740272086e-70,5.4051694485559418e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999998252,2.2639965973388803e-21,1.7275854583109046e-21,2.263996597346584e-21,1.3332945548588099e-24,1.0785580002561186e-24,5.3927900013104597e-25,1.2033045828033862e-32,9.4347766729156027e-33,2.3470986857331866e-35,1.972592017859005e-35,2.7712189784433844e-33,9.7694769885675498e-36,1.0158770164767179e-37,1.0231638969567152e-33,9.8525622574446035e-34,9.50976548825775e-34,8.0983558286980748e-34,1.593554561845135e-34,1.6532641012061148e-21,6.3850716339924409e-25,4.5341150667438915e-32,9.5617393998689586e-33,6.3600858488724187e-43,1.6364979792322128e-48,3.7826883970617976e-36,1.8606696749045283e-45,1.6698503527848482e-34,1.7378854153094775e-35,2.4539319389284902e-46,8.9374019080624597e-49,2.6666281317892966e-49,2.3302457843459909e-49,3.3807808360617476e-59,5.0456489132736629e-57,4.5209527315543459e-69,2.1981588535870327e-61,4.0241005594901215e-71,8.4220816717560994e-69,2.0327912376695567e-77,4.9347754482618366e-77,3.1133314733187029e-68,1.0884114915987282e-48,2.0923094723128816e-49,1.2950976243876512e-48,1.6223501840055872e-89,2.794010576824783e-91,1.602665479456706e-41,1.5171993816269961e-93,3.9227294490219947e-38,1.1900783359745469e-37,1.9900156523537914e-48,1.0351985215690492e-61,1.2139206826015588e-41,4.0464509177736361e-106,1.9686500044072301e-106,1.7485994332017108e-14,1.7293873307809833e-109,2.788385682175697e-50,7.9354683720343575e-62,4.9818882552072458e-40,2.4062065918243213e-61,1.128574800522275e-41,3.6562593306565589e-50,9.2456621344794496e-50,2.3827154334817719e-64,1.1908651590414032e-50,1.8241901592600065e-61,7.7762299836590615e-64,7.7658585058646154e-64,1.0247417454125767e-66,1.2929395456055172e-54,1.2444208119695586e-78,9.2053374392937087e-87,1.6307838930317327e-65,4.2999737013210149e-66,2.370048939112598e-68,2.1970680783438107e-81,3.5955815573535064e-77,6.9476773034578397e-69,2.3905850959619593e-90,2.9360781186504576e-101,2.5226992134971762e-103,1.699487601293217e-103,2.045280417714703e-49,1.067269930029107e-62,5.0473854703652579e-61
6.13497426552574e-19,0.007698359312995027,3.1016961884660791e-24,1.079803918211287e-31,7.9856419134218856e-35,8.7416725867827377e-36,1.5101134262900781e-46,0.0,0.0,4.1801423737113712e-24,8.1762124279221751e-39,7.8490423431805211e-54,1.1138895444830969e-53,7.4917039904925315e-69,3.9089813390110535e-35,9.5493569692837177e-53,3.3537643197721698e-21,1.0983352435657015e-34,8.7977750199682799e-43,3.1393053727530449e-44,1.933735840500867e-31,1.4592842025658625e-51,2.5556109802739157e-45,6.5259407261441613e-50,3.0229351999242325e-37,3.3458421069872508e-57,7.8289194075903055e-33,2.6487114032548654e-56,3.5045305012062362e-21,6.3058952328782627e-53,1.3374620689280564e-64,3.5381594097978376e-53,5.9425344291801071e-80,3.8083446013626834e-47,1.6415092752112927e-36,8.3398885787744104e-36,3.9170115080743322e-35,5.407384040172682e-37,2.1665998906629501e-32,6.523432882653233e-52,1.2691069762027924e-53,5.3834644519156511e-50,9.3340290405228325e-49,5.6612829316837574e-47,8.9871283000501387e-37,1.7410823126242299e-56,2.0292426595735177e-65,6.0994299584100656e-65,6.518469262830364e-78,2.8238611919275997e-78,7.774574039012668e-73,5.8799741980353192e-108,6.795266113926744e-102,2.4618913949847876e-63,6.687144115152029e-49,3.5677596745910685e-61,2.6179835645952686e-53,5.0389444061900116e-69,7.612958917294667e-50,9.5768733122329933e-65,1.2241726192445606e-82,5.8301047121826393e-46,4.1753493697792388e-36,7.0555565384552455e-40,2.9472400735366003e-53,2.3518640833127044e-72,1.4175446387613328e-68,8.9807698092387977e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999996453,4.5926788117184415e-21,3.5045305010996931e-21,4.5926788117499132e-21,2.7046832398189712e-24,2.1879319433286599e-24,1.0939659716765658e-24,4.915891849201641e-32,3.8544141198877811e-32,9.5886639680632015e-35,8.0586820319787795e-35,1.1321333753484922e-32,3.9911501190369494e-35,4.1501890919691429e-37,4.1799583692301725e-33,4.0250931632851499e-33,3.8850494979374312e-33,3.3084425998255866e-33,6.5101903510571959e-34,3.3537643194517225e-21,1.2952573885902764e-24,1.8523339491867718e-31,3.9062825364413457e-32,5.2143825221938702e-42,1.3416999182048254e-47,1.5453516362064654e-35,1.5254894165344614e-44,6.8218835482354245e-34,7.0998289846023721e-35,2.0118816647150008e-45,7.327422063366474e-48,2.1862628621292953e-48,1.9104762926605608e-48,5.5529426822311084e-58,8.2874934918157608e-56,1.4863903315898444e-67,3.6104825103202649e-60,1.3230362077629386e-69,1.6604904289983752e-67,6.8410015743161795e-76,1.9433237050517086e-75,5.1136565071550118e-67,8.9234549966901005e-48,1.7154017173492538e-48,1.0617992787075006e-47,1.0922134222988667e-87,1.881009349449938e-89,6.5474114114025409e-41,1.0214228411971694e-91,1.6025629773191252e-37,4.8618583186484438e-37,1.6315350641311997e-47,1.7003166808431032e-60,4.959262029605225e-41,5.4490466895371274e-104,2.651030767153871e-104,3.5471588371492609e-14,2.3288341088944582e-107,2.2860870493997199e-49,1.3034166730994365e-60,2.0352639172408069e-39,3.9522015279498106e-60,4.6105962523544125e-41,2.9976222691957391e-49,7.5801523364040457e-49,3.9136172546517631e-63,9.7634320514241242e-50,2.9962378098299121e-60,1.2772481107832504e-62,1.2755445912435692e-62,1.6831414264481325e-65,1.0600299555914334e-53,4.0913834140507621e-77,6.0555785053990968e-85,2.6785674334413425e-64,7.0826310791844593e-65,3.8928124994062336e-67,7.2234791511710019e-80,5.9057539065282947e-76,1.1411580833362132e-67,7.8597207664490129e-89,1.9477097704779959e-99,1.6595158081212092e-101,1.1179797088508652e-101,1.6768444588566572e-48,1.7529940667193953e-61,8.2903457999226167e-60
