Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817),S(230),S(4557),S(3474),O2(4921),S(4626),C3H5(74)
0.0,0.008477254138627993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7763953480042724e-20,0.008477254138627993,9.5710170619637607e-27,1.9365462519534074e-34,1.0947605511750869e-38,7.948855832817296e-40,8.402957775156604e-52,0.0,0.0,2.6228299802273519e-26,1.2772429963317411e-42,9.8164956028556026e-60,9.4274803009641982e-60,4.3546001815613384e-76,5.0903570785423059e-39,2.0771025699325615e-58,1.39611391876432e-23,1.2510750260243274e-38,1.6984992926607365e-47,8.0745669933594403e-49,1.8903683814821835e-35,4.5674566924890729e-57,7.0202554545219785e-50,1.5774767110287796e-55,2.5828198537652378e-41,2.8970120610645629e-63,1.4871575003550628e-36,3.521040663105681e-62,1.5592846468393499e-23,6.9632021741546183e-59,2.4018003481535781e-71,3.6683317576571338e-59,4.3276336001835052e-88,2.0628526026389707e-52,2.1620514610525592e-40,9.8518092438225257e-40,5.7213297949495959e-39,4.9031864361494332e-41,3.973297720033858e-36,1.433327185701483e-57,8.2568108891582298e-60,1.1761794960557619e-55,2.1608172113040907e-54,3.9955770576450008e-52,1.5956012334674883e-40,3.6551313704210244e-62,1.0496047583637024e-72,3.3357461226565016e-72,1.3947928952369699e-89,4.038862652673706e-86,1.8745406662135302e-80,1.7654410886374056e-118,8.8892084486453657e-116,3.6238210766779773e-72,1.8295310753186418e-54,4.5738815307430782e-68,6.5477894932371014e-59,4.1305658875945599e-76,2.6044240169732817e-55,1.3470503146680968e-71,1.2979487873751394e-91,3.1362920318250434e-51,5.2281224898050777e-40,7.3639636807742297e-44,8.8067086423064057e-59,9.2968623053693336e-80,6.5865816807228259e-87,2.4449729342034672e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999943,1.9971327864321958e-23,1.5592846468381808e-23,1.99713278643285e-23,1.4150420936411983e-26,1.1513660091686548e-26,5.7568300458441753e-27,8.7114744490856253e-36,7.0047943740889187e-36,2.0722096150672256e-38,1.7423472733598033e-38,1.9840181874703892e-36,8.6040856505372564e-39,8.9766915219600523e-41,3.906099187969815e-37,3.2473362235605687e-37,3.3796188946340329e-37,3.383124853521595e-37,1.1956975426374119e-37,1.3961139187603888e-23,4.3784057883471916e-27,2.4355420741475302e-35,6.6812146823638433e-36,3.2882207812505759e-47,1.3953635960893221e-52,2.1468192454447712e-39,1.3431013056829064e-49,1.1935366770512188e-37,1.3632368054700586e-38,1.8529966020581938e-50,6.9963769229171401e-53,1.842906013794404e-53,1.7353248154816327e-53,1.8922624505454611e-64,2.3485065157279948e-62,9.0992123878913762e-76,6.9240202775647995e-67,9.5751485810888054e-78,8.9781288217724108e-75,2.2642523248788553e-84,5.1510870305849836e-84,3.8532896576749465e-74,6.0622237285829851e-53,7.4855583495398944e-54,7.210105474553863e-53,1.8190599238397333e-97,3.2325869376710214e-99,4.4132191374690904e-45,1.7470612795769665e-101,3.1856557446728276e-41,8.679601107409571e-41,1.3883855052975632e-52,4.862253641539304e-67,4.8183222345186996e-45,2.4968183328778275e-115,1.2486123137458554e-115,5.65685424784842e-16,1.1951916706410221e-118,1.9620437173572851e-55
4.9739069744119627e-20,0.008477254138627993,2.6798847776928024e-26,5.4223363349982468e-34,6.6123537293403431e-38,4.8011089235343297e-39,9.9759914710266305e-51,0.0,0.0,7.3439239449084284e-26,7.7145476980820029e-42,1.1654143608505841e-58,1.1192304613597635e-58,9.7410664194842305e-75,3.0745756755032837e-38,2.4659361710725841e-57,3.9091189725413035e-23,7.5564931571888847e-38,1.0258935727944101e-46,4.8770384639549119e-48,1.1417825024142576e-34,5.4224845853212037e-56,4.2402342947180819e-49,1.8727803513279675e-54,1.5600231916736256e-40,3.4393327193316647e-62,8.9824313021451775e-36,4.1801794768630243e-61,4.3659970111500554e-23,8.2667136211542584e-58,2.8514173733863237e-70,4.3550434627653312e-58,9.6807432586231896e-87,2.449018609899001e-51,1.3058790819171298e-39,5.950492783268663e-39,3.4556831963206309e-38,2.9615246073843175e-40,2.3998718229001046e-35,1.7016460350283842e-56,9.8024858875776499e-59,1.3963602976967128e-54,2.5653221932201485e-53,4.7435490823569995e-51,9.6374314490806156e-40,4.3393719713485141e-61,2.3479238602622299e-71,7.4619306465422977e-71,3.2794279797690452e-88,9.0347745364491402e-85,4.1932724886290127e-79,7.2851420919034448e-117,3.8509369169185313e-114,1.1393873276802772e-70,2.1720192925828979e-53,1.0231590028838389e-66,7.773535686677494e-58,9.2399106610347556e-75,3.0919721920693367e-54,3.0132976720121485e-70,5.3560217451630122e-90,3.7234059002108712e-50,3.1577859821344226e-39,4.4478340631903281e-43,1.0455324496816318e-57,2.0796709094360085e-78,2.7179713734964472e-85,1.0089249268375831e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999842,5.5919718020071322e-23,4.3659970111429965e-23,5.5919718020110901e-23,3.9621178621892674e-26,3.2238248256660164e-26,1.6119124128336089e-26,5.2617305672374147e-35,4.2308958019387114e-35,1.2516146074818319e-37,1.0523777530955109e-37,1.1983469852329717e-35,5.1968677328525131e-38,5.4219216798645232e-40,2.3592839095338849e-36,1.9613910790287257e-36,2.0412898123584542e-36,2.0434074115650126e-36,7.2220131576434703e-37,3.909118972517562e-23,1.2259536207361294e-26,1.4710674127787511e-34,4.0354536681302816e-35,3.9037754702081408e-46,1.6565756614212607e-51,1.2966788242452388e-38,1.5945298701140746e-48,7.2089615292380046e-37,8.2339503053854816e-38,2.1998775660214761e-49,8.3060986829801599e-52,2.187898020208639e-52,2.0601776218370223e-52,4.2329154117235391e-63,5.253515135445789e-61,3.7548154667736618e-74,1.5488756397541479e-65,3.9512118688161338e-76,2.0984098315757225e-73,9.3825628269268147e-83,2.2185955032784638e-82,8.6196548445423556e-73,7.1970720105676979e-52,8.8868548733141875e-53,8.5598372193713623e-52,1.3749916456170999e-95,2.4434489352299467e-97,2.6655843589072025e-44,1.3205692857157196e-99,1.9241360699241126e-40,5.242479069087872e-40,1.6482912719321064e-51,1.0876666906417744e-65,2.9102666270475541e-44,3.4221008152661679e-113,1.7113288394823063e-113,1.583919188864927e-15,1.6381113342079126e-116,2.3293383012477656e-54
1.1368930227227343e-19,0.008477254138627993,6.1254509220574577e-26,1.2393943819202751e-33,3.1835636831813819e-37,2.3115272769522957e-38,9.7944875837983539e-50,0.0,0.0,1.6786111875357969e-25,3.7142226336901336e-41,1.1442107317689377e-57,1.0988671039693414e-57,1.9246705723309279e-73,1.4802758385357001e-37,2.4210707556642041e-56,8.9351290801001012e-23,3.6381261756816651e-37,4.939235943458001e-46,2.3480840816176421e-47,5.4971912533354733e-34,5.3238275207596111e-55,2.0414902864489527e-48,1.8387068543584071e-53,7.5108401347406448e-40,3.3767572596866069e-61,4.3246540110334216e-35,4.1041250019502604e-60,9.9794217397709721e-23,8.1163084541869554e-57,2.7995384859840643e-69,4.275807496956978e-57,1.9127517335749737e-85,2.4044609937015208e-50,6.287245640361604e-39,2.864906128103379e-38,1.6637627046279567e-37,1.4258466155573463e-39,1.1554349769853286e-34,1.6706861681426652e-55,9.6241387723067319e-58,1.3709548205384643e-53,2.5186485413718386e-52,4.6572446169056643e-50,4.6400083853289364e-39,4.2604211505452738e-60,4.639101888837403e-70,1.4743517514726961e-69,7.1685757545224468e-87,1.7851193451034516e-83,8.2851998104046348e-78,2.8819297693446126e-115,1.6832171387882028e-112,2.5419104506234071e-69,2.1325014212816889e-52,2.0215897725856337e-65,7.6321034342670387e-57,1.8256506378334699e-73,3.0357166314518928e-53,5.9537684162945599e-69,2.1187887039393024e-88,3.6556619923343111e-49,1.5203380174735508e-38,2.1414406383731874e-42,1.026509958314982e-56,4.1090792589519376e-77,1.0752024462907337e-83,3.9912066733309654e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999638,1.2781649833144947e-22,9.9794217397369862e-23,1.2781649833164002e-22,9.0562693992610444e-26,7.3687424586358676e-26,3.6843712293209477e-26,2.5332967697786478e-34,2.0369942039685632e-34,6.0259855603339035e-37,5.0667458707231505e-37,5.769524889176741e-35,2.5020681070682509e-37,2.6104218954869609e-39,1.1358936438617969e-35,9.4432537380862679e-36,9.8279317455882471e-36,9.8381270746103347e-36,3.4770884541598494e-36,8.9351290799857938e-23,2.8021797045346112e-26,7.0825563515256562e-34,1.9428972296051854e-34,3.8327497805901166e-45,1.6264358080481701e-50,6.2429503657023428e-38,1.5655188819267151e-47,3.4708046566379097e-36,3.9642926308264208e-37,2.1598528395387979e-48,8.154976941640312e-51,2.1480912516377181e-51,2.0226946077068005e-51,8.3635275478316646e-62,1.0380060614723711e-59,1.4853676558776492e-72,3.0603172551789284e-64,1.5630601188221727e-74,4.5354451113043744e-72,3.7458049323307669e-81,9.5896134142916932e-81,1.7030985485170415e-71,7.0661279778825091e-51,8.7251668132367438e-52,8.4040989409149356e-51,1.0971025451115577e-93,1.9496220617586363e-95,1.2833641249898195e-43,1.0536790748100863e-97,9.263886907634448e-40,2.5240280023534393e-39,1.6183021451076432e-50,2.1490460933266678e-64,1.401168101895426e-43,5.4553490100548277e-111,2.7281183722674413e-111,3.6203867148945737e-15,2.6113985606260925e-114,2.2869581569553618e-53
2.4158976732858104e-19,0.008477254138627993,1.3016583216273967e-25,2.633726806007113e-33,1.390345900368732e-36,1.0095046915624568e-37,8.6631133500955237e-49,0.0,0.0,3.5670487740606574e-25,1.6220986057106566e-40,1.0120414354280531e-56,9.7193550929315285e-57,3.4248484445946622e-72,6.4647534907365739e-37,2.1414096658143776e-55,1.8987149295237015e-22,1.5888652830539151e-36,2.1570941020887291e-45,1.0254700081036565e-46,2.4007678444671653e-33,4.7088651516766649e-54,8.9157244300446805e-48,1.6263153899670805e-52,3.2801812142728974e-39,2.9867035571921853e-60,1.8886900254518583e-34,3.6300520926074203e-59,2.1206271197010829e-22,7.178782913449423e-56,2.4761600872977806e-68,3.7819033093610253e-56,3.4036395124877507e-84,2.1267185192830631e-49,2.7458053468782053e-38,1.2511797739652425e-37,7.2660888422376691e-37,6.2270467731357258e-39,5.0460881044376584e-34,1.4777029963830896e-54,8.5124417540847535e-57,1.2125940131189728e-52,2.2277161119052263e-51,4.119280120230463e-49,2.0264135648560412e-38,3.7682942898768841e-59,8.2550339448118845e-69,2.623530167440061e-68,1.5219289459278242e-85,3.1765250168424272e-82,1.4743070385098186e-76,1.0285402683095459e-113,7.1519358945622369e-111,4.7607169560065048e-68,1.8861733571800967e-51,3.597310986922127e-64,6.7505090579424696e-56,3.2486477552473238e-72,2.6850569788012312e-52,1.0594412789904876e-67,7.5618047039432386e-87,3.2333916331676978e-48,6.6397155355808727e-38,9.3522338746250355e-42,9.0793643201949048e-56,7.3118869812707928e-76,3.8373211592412409e-82,1.4244333095021806e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999231,2.7161005895372342e-22,2.1206271196862407e-22,2.7161005895455567e-22,1.9244572473307158e-25,1.5658577724476085e-25,7.8292888622514572e-26,1.1063572550179084e-33,8.8960888549224942e-34,2.6317062108444027e-36,2.212781036952888e-36,2.5197030981006736e-34,1.0927188775066491e-36,1.1400398242199378e-38,4.9607459687234683e-35,4.1241170038931306e-35,4.2921159961774557e-35,4.2965685645609462e-35,1.5185358793254447e-35,1.8987149294737808e-22,5.9546318721142195e-26,3.0931384340688217e-33,8.4851426463311423e-34,3.3900237223347576e-44,1.4385640539618083e-49,2.7264604416621051e-37,1.3846837221545626e-46,1.5157915796204475e-35,1.7313107434837824e-36,1.9103653772354299e-47,7.2129847530556648e-50,1.8999623880953009e-50,1.7890504776099057e-50,1.4882450415236078e-60,1.8470763259744112e-58,5.3011716391590259e-71,5.4456710395099137e-63,5.5784505164682997e-73,9.4625285438398744e-71,1.3613137265513887e-79,4.0047798774647262e-79,3.0305728880192301e-70,6.2499101747720457e-50,7.7173112369844619e-51,7.4333303394199218e-50,7.9840274190787832e-92,1.4188132260610396e-93,5.604788302661762e-43,7.6680185179431212e-96,4.0457827979312199e-39,1.1023093409703761e-38,1.4313699208204648e-49,3.824112700412368e-63,6.1192691975117624e-43,7.9448705427692617e-109,3.9730817084825273e-109,7.6933217584317775e-15,3.8030974584093117e-112,2.0227885908544601e-52
4.973906974411962e-19,0.008477254138627993,2.679884782665579e-25,5.4224353631645822e-33,5.8044204457176605e-36,4.2144833697116744e-37,7.2818687646207714e-48,0.0,0.0,7.3439239488501895e-25,6.7719423698749993e-40,8.5068180753465175e-56,8.1697035924697982e-56,5.7765074742970867e-71,2.698907323932194e-36,1.7999838540370342e-54,3.9091189725588126e-22,6.6331997880081546e-36,9.0054432533549736e-45,4.2811354194022438e-46,1.0022733158481665e-32,3.9580848903824152e-53,3.7221394444966448e-47,1.3670160780863913e-51,1.3694110864582699e-38,2.5105043048286526e-59,7.884909066890907e-34,3.0512775211773824e-58,4.3659970111482621e-22,6.034199592855984e-55,2.0813617535629864e-67,3.1789176087607933e-55,5.7407355259880074e-83,1.7876350598649954e-48,1.1463196768573778e-37,5.2234292610727404e-37,3.0334490596687925e-36,2.599669447749781e-38,2.1066424511571466e-33,1.2420984077189213e-53,7.1552202072041409e-56,1.0192583321656462e-51,1.8725296217675075e-50,3.4625031432630661e-48,8.4598777250155999e-38,3.1674784577417311e-58,1.3923321328676114e-67,4.4249670906393216e-67,3.3982252042527609e-84,5.3576754891053609e-81,2.4866343093597933e-75,3.4752051330084198e-112,3.1901792437908355e-109,8.2229546371167552e-67,1.585442356955901e-50,6.067390772570928e-63,5.6742096138264301e-55,5.4793192356616641e-71,2.2569521719152332e-51,1.7869025687955863e-66,2.5549617675590072e-85,2.7178604941367782e-47,2.7719505202702358e-37,3.904373543584086e-41,7.6317527627556312e-55,1.2332566078680132e-74,1.2965440923547184e-80,4.8128381984657593e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999998417,5.59197180196342e-22,4.3659970110863014e-22,5.5919718019981657e-22,3.9621178621009641e-25,3.2238248255758579e-25,1.6119124127935794e-25,4.6188237527615097e-33,3.7139419769885573e-33,1.0986855376467672e-35,9.2379252414271162e-36,1.0519264430087525e-33,4.5618862109106152e-36,4.7594418533223223e-38,2.0710137894632199e-34,1.7217376657059022e-34,1.791873937927975e-34,1.7937327978668194e-34,6.339588372646948e-35,3.9091189723504031e-22,1.2259536207204028e-25,1.2913244076243318e-32,3.5423800243454672e-33,2.8495191802663751e-43,1.2091997682544737e-48,1.1382435638873392e-36,1.1639101019704843e-45,6.328131459614168e-35,7.2278815474335323e-36,1.605777208082919e-46,6.0629483004668978e-49,1.5970328725216618e-49,1.5038047304965112e-49,2.5101427908309849e-59,3.1153641982266957e-57,1.79114607219752e-69,9.184920150790392e-62,1.8848323350539778e-71,2.0657430188959088e-69,4.7649203114609361e-78,1.7467267832761912e-77,5.1115041912343037e-69,5.2534260866913298e-49,6.4868650974780961e-50,6.2481620412938897e-49,5.5922351093282074e-90,9.9377629055645044e-92,2.3398887849545293e-42,5.3708936860751516e-94,1.6890346778025892e-38,4.6019245101128039e-38,1.2031526652287704e-48,6.4499250147271886e-62,2.5546744124475282e-42,1.1132644220025197e-106,5.5672279585019372e-107,1.5839191811417823e-14,5.329039984746653e-110,1.7002756927764864e-51
1.0089925576664266e-18,0.008477254138627993,5.4363377135214661e-25,1.1000027313415051e-32,2.3712951471352436e-35,1.7217539748668704e-36,5.970115968704153e-47,0.0,0.0,1.4897674305388497e-24,2.7665594225888168e-39,6.9744034322850597e-55,6.6980166007325721e-55,9.4879308266863346e-70,1.1025917053933184e-35,1.4757355144891548e-53,7.9299270586599475e-22,2.7098785493927387e-35,3.679017410972537e-44,1.7489835086258262e-45,4.0946135289097815e-32,3.2450771305331066e-52,1.5206154145904785e-46,1.1207623723917547e-50,5.5944911159814244e-38,2.0582631116743356e-58,3.2212426320761633e-33,2.5016216791657837e-57,8.8567367940394561e-22,4.9472013971785062e-54,1.7064261167276223e-66,2.6062687185516989e-54,9.4291753455918202e-82,1.4656112264409371e-47,4.6830898807201875e-37,2.1339412894472745e-36,1.239262920925847e-35,1.0620497942258842e-37,8.6063217934614595e-33,1.0183473206699347e-52,5.866281825740027e-55,8.3564956148896837e-51,1.5352129169830301e-49,2.8387692674947523e-47,3.4561360831846783e-37,2.5968902931747302e-57,2.2869097090231155e-66,7.2680217337881562e-66,8.3125040010792393e-83,8.8000038528727271e-80,4.0843043189217631e-74,1.1425714332231025e-110,1.5576319160402061e-107,1.3662562121935247e-65,1.2998414322571046e-49,9.9657075602225658e-62,4.6520598659053417e-54,8.9997981799963593e-70,1.8503857406810034e-50,2.9349928369023979e-65,8.4001478252674247e-84,2.2282662393027453e-46,1.1324322236104012e-36,1.5950639891422476e-40,6.2569719713728837e-54,2.0256276675010289e-73,4.2627533113798772e-79,1.5823558902472282e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999996788,1.1343714226738614e-21,8.8567367937863242e-22,1.1343714226880565e-21,8.0374390914855576e-25,6.5397589316731789e-25,3.2698794658597747e-25,1.8869402114480872e-32,1.5172664804752884e-32,4.4884889124029974e-35,3.7739938863571114e-35,4.2974627548895595e-33,1.8636793673987185e-35,1.9443872975169437e-37,8.4607670851238858e-34,7.0338601534617535e-34,7.3203897104739262e-34,7.3279837622064506e-34,2.5899287065949464e-34,7.9299270578085275e-22,2.4869344877105987e-25,5.2754815535356184e-32,1.4471778248522847e-32,2.3362079750304689e-42,9.9137502828497092e-48,4.6500963580012096e-36,9.542438221580439e-45,2.5852481821723761e-34,2.9528254542108526e-35,1.3165131727617411e-45,4.9707713255962179e-48,1.3093440441243499e-48,1.2329099834429748e-48,4.1229170774491201e-58,5.1169950508327831e-56,5.8888963255230996e-68,1.5086258884386258e-60,6.1969162409192559e-70,4.9362218567210384e-68,1.6753316726798796e-76,8.3311045535977399e-76,8.3956611726314308e-68,4.3070761036081531e-48,5.318323926577579e-49,5.1226207382799726e-48,3.9322052880875353e-88,6.9877827454288876e-90,9.5592091658628244e-42,3.7765680840663324e-92,6.9002577859302046e-38,1.8800363207790735e-37,9.8641724682214078e-48,1.059402120923836e-60,1.0436678385565262e-41,1.5655534784387598e-104,7.829041366617099e-105,3.213093178103646e-14,7.4940846504224482e-108,1.3939887392811119e-50
2.0321962781168875e-18,0.008477254138627993,1.0949243610351331e-24,2.2155910557660988e-32,9.5851541341937256e-35,6.9596048765213516e-36,4.8347547028146473e-46,0.0,0.0,3.000517504630208e-24,1.1182875532673448e-38,5.6480527445388741e-54,5.4242275058177611e-54,1.5380344584871521e-68,4.4568519655954607e-35,1.1950888814794078e-52,1.5971543230985864e-21,1.0953762369044709e-34,1.487117661235487e-43,7.0696709785802744e-45,1.6551082555746366e-31,2.6279475945811889e-51,6.146570640106944e-46,9.0762242679869726e-50,2.2613827572683217e-37,1.6668348388640633e-57,1.3020777751267016e-32,2.0258781220533891e-56,1.7838216359809184e-21,4.0063719562470386e-53,1.381908112343857e-65,2.1106239816219332e-53,1.5285099584780379e-80,1.1868899697114008e-46,1.8929797783493423e-36,8.6257318797966733e-36,5.00929887592947e-35,4.292975072945961e-37,3.4788128721467466e-32,8.2468406530235848e-52,4.7506671155894767e-54,6.7673068022340716e-50,1.2432552225810017e-48,2.2989089448132532e-46,1.3970254584322952e-36,2.1030292220080575e-56,3.7071791875552107e-65,1.1781776431011651e-64,2.2328886680891152e-81,1.4265204183223943e-78,6.6208333020365747e-73,3.7059031758290626e-109,8.3525364061114433e-106,2.2273424536416238e-64,1.0526452919108121e-48,1.6154841397019313e-60,3.7673586973662826e-53,1.4589060295017196e-68,1.4984903324541488e-49,4.757749872281196e-64,2.7245629634662009e-82,1.804507772281477e-45,4.5774720237783411e-36,6.4475036730363149e-40,5.0670580693056439e-53,3.2836296933327355e-72,1.3826138204145116e-77,5.1323333309125372e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999993529,2.2847199075980303e-21,1.7838216358785982e-21,2.2847199076554102e-21,1.6188081549631143e-24,1.3171627143231114e-24,6.585813571709481e-25,7.6273140299473158e-32,6.133033703576539e-32,1.8143189822290405e-34,1.5255086691538712e-34,1.7371031560865693e-32,7.5332899761625852e-35,7.8595243670254972e-37,3.4199773318399051e-33,2.8431987356855525e-33,2.9590185639103633e-33,2.9620882029400199e-33,1.0468905931638588e-33,1.5971543227544295e-21,5.008896221579931e-25,2.1324339913180472e-31,5.8497241510160588e-32,1.8919217838096429e-41,8.0284120346338099e-47,1.8796432963800167e-35,7.7277138774880043e-44,1.0449986490483592e-33,1.1935792619204546e-34,1.0661465011878441e-44,4.0254594969821977e-47,1.0603407646085194e-47,9.9844248504890336e-48,6.683426270628075e-57,8.2948694849580316e-55,1.9100493552778211e-66,2.4455475620368394e-59,2.0099548638336874e-68,1.3005188118411813e-66,6.1392301049414343e-75,4.3811701741117461e-74,1.3609729169241423e-66,3.4879818957358135e-47,4.3069166022257022e-48,4.1484310847864021e-47,2.8802392562253731e-86,5.1183712099851096e-88,3.8639851773131625e-41,2.7662390270276459e-90,2.7891945297060447e-37,7.5994074110347966e-37,7.9882626179205323e-47,1.7173364922553709e-59,4.2186721430162452e-41,2.2928021090036998e-102,1.146587662597336e-102,6.4714411174859947e-14,1.0975323642555506e-105,1.1288882226887027e-49
4.078603719017809e-18,0.008477254138627993,2.1975055544483412e-24,4.4470474421155823e-32,3.8541483299690865e-34,2.798426531767971e-35,3.8914312080714328e-45,0.0,0.0,6.0220176639477148e-24,4.4965850770836302e-38,4.546044252460384e-53,4.365890201435478e-53,2.4769570328009559e-67,1.7920805759514542e-34,9.6191150351613586e-52,3.2054775576132293e-21,4.4044596722731717e-34,5.979634720413723e-43,2.8426836055859805e-44,6.6551175009700876e-31,2.1152008503431786e-50,2.4715090279001828e-45,7.305334903078082e-49,9.0929206075194419e-37,1.3416137008679448e-56,5.2355974663472801e-32,1.6306030040581892e-55,3.5801175491297984e-21,3.2246766967963708e-52,1.1122798736050282e-64,1.6988138025727193e-52,2.4616181728562049e-79,9.5531230472077609e-46,7.611588210485308e-36,3.4683688515136235e-35,2.0142170531126146e-34,1.726186393656802e-36,1.3988153555016631e-31,6.6377748581135182e-51,3.8237501924844374e-53,5.4469172512167113e-49,1.0006799628070711e-47,1.8503619063569449e-45,5.6173778827025314e-36,1.6927010924530675e-55,5.9702977943003401e-64,1.8974187730931629e-63,6.44781256365066e-80,2.2973731860863498e-77,1.0662647912555122e-71,1.1939061500218415e-107,4.8174163191590302e-104,3.597164020249547e-63,8.4726050804120393e-48,2.6016874012986984e-59,3.0322980407447976e-52,2.3495230617802562e-67,1.206115361383544e-48,7.6622095161354176e-63,8.7775112749126351e-81,1.4524248437447044e-44,1.8405813004418136e-35,2.5925128698836396e-39,4.0784090680133254e-52,5.2881842445806637e-71,4.4542746058058259e-76,1.6534495032002566e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999987012,4.5854168773228873e-21,3.5801175487183746e-21,4.5854168775536107e-21,3.2489366463427898e-24,2.6435363563800157e-24,1.3217681782278147e-24,3.0669094248867097e-31,2.4660658777090197e-31,7.2952968234354106e-34,6.1340032588709746e-34,6.9848153903922182e-32,3.0291027639413271e-34,3.1602802044056659e-36,1.3751578435306986e-32,1.1432377067030228e-32,1.1898083502920098e-32,1.1910426401737937e-32,4.2095010357013112e-33,3.20547755622939e-21,1.0052819688874358e-24,8.5744232887093197e-31,2.3521483524074601e-31,1.5227832419877709e-40,6.4619645005700786e-46,7.5579630236761055e-35,6.2199364265020981e-43,4.2018936010986631e-33,4.7993297304214688e-34,8.581274583771065e-44,3.2400400127516389e-46,8.5345451204644868e-47,8.0363339881916378e-47,1.0763452033183726e-55,1.3358631593044141e-53,6.1534780916317634e-65,3.9384789108116001e-58,6.4753369137648116e-67,3.7060014449401353e-65,2.4322995997663367e-73,2.493276019078532e-72,2.1918051242715843e-65,2.8074312749117384e-46,3.4665811741318448e-47,3.3390182391884102e-46,2.2798865281970814e-84,4.0515056966959531e-86,1.5536914404408493e-40,2.1896483673437763e-88,1.1215228587034316e-36,3.0556883050130038e-36,6.4296487296552609e-46,2.7657174830770211e-58,1.6963094109249725e-40,3.6279311609739852e-100,1.8142609495949428e-100,1.2988136778085184e-13,1.7366406133489599e-103,9.0862745270807377e-49
