Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817),S(230),S(4557),S(3474),O2(4921),S(4626),C3H5(74),S(5703),S(2098),S(1922),S(252),S(1733),C3H6O(70),S(9646),S(3263),S(16791),S(16795)
0.0,0.00526101795475212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3670067712463735e-18,0.00526101795475212,2.0609039372256898e-34,7.523503714081168e-44,1.2379117338677325e-43,4.1532950258269825e-46,1.2030037556476098e-54,0.0,0.0,5.1192149362519555e-30,1.1049868819490049e-45,1.9999304615350795e-68,6.3470425562978377e-70,1.6938142476766264e-85,5.5507751920355232e-44,5.1868137893524792e-65,4.9077068766563266e-30,5.3234961108190373e-44,4.9529686250001307e-60,5.9781676095591733e-61,6.9323643977836434e-41,2.6499166369269494e-62,3.6961669517859732e-61,3.0911579491590678e-62,3.8658440066833808e-48,7.3873721541691951e-75,3.1331013263926395e-40,8.8006602221988417e-73,1.0027822751922412e-29,6.7111290122331878e-68,2.1489316421911022e-88,3.0393680545712153e-69,3.7155513879112368e-104,1.7878048482663407e-55,3.8789939560153094e-46,5.7620882041832742e-45,6.7675812166588754e-44,9.406610288133549e-48,1.4193906060519964e-39,2.2695971165168145e-65,6.3805876322299757e-72,4.8777857947693241e-63,2.6603586862836355e-61,1.2827262308912746e-54,2.2070278188986856e-44,1.9976287144794923e-69,1.4609101662503855e-79,8.2833086471687787e-79,3.3381211023218125e-95,2.4996899795016733e-100,6.5310049013199497e-92,1.4942217640081565e-143,1.7014483115915693e-127,1.8361406026171851e-76,1.2518806009174188e-60,1.2401941600358958e-71,1.4432372228921652e-65,2.4007525976729291e-82,3.1995240684284896e-61,2.1448606911066133e-75,7.7425584635663601e-100,7.1961028695794665e-54,6.2876003936956356e-45,5.4718930848319808e-50,1.7134829219357866e-64,1.5300929922151079e-89,1.0994118629693312e-81,1.7792530600420402e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999941,9.9656616373155254e-30,1.00278227516677e-29,9.9656616386112304e-30,2.2147729890309717e-30,1.8857398058110711e-30,9.4286990290602668e-31,1.7417638815565287e-39,1.738125895839866e-39,1.1478127850848062e-39,9.7835715970308953e-40,4.4754850686284525e-40,4.870045716025399e-40,1.8122427469441536e-42,9.4836531928518574e-43,2.7365672667554224e-43,7.1028431867244099e-43,1.7149028475526277e-42,8.5939784946696687e-42,4.9077068760464192e-30,7.6038326197537898e-32,5.9841779425777479e-41,8.6241895471589727e-40,3.0048128221786894e-50,9.5371324979112745e-52,1.3404148827389871e-41,4.0092628717185792e-51,6.735093436314193e-42,1.557568220340723e-42,7.836559083789491e-52,1.8572306519989314e-54,6.4032257812633575e-56,1.075502423579091e-55,1.3151003127130974e-63,6.1283920910995269e-64,2.233980338571893e-79,4.079075747329253e-71,4.868976225181021e-79,1.8534309716418316e-78,1.5382648318644226e-85,8.4928067950267354e-86,1.8277328332001334e-80,4.8242243685132502e-53,6.6023665131819998e-55,5.6597924709334834e-53,3.4643968926219481e-96,2.8559817206649547e-98,1.2468862917791664e-50,5.5352812543189856e-101,3.4587157179653244e-43,3.89268224240182e-43,2.0409400198005482e-52,1.0082475876379488e-65,1.0260496777358129e-49,5.9778904971131523e-116,7.8203436498507483e-116,5.8736697288621345e-16,1.9594743610269847e-119,1.8844853455608163e-63,3.6365447813359139e-73,5.8198661368560478e-46,2.4087422647245282e-71,9.491251526863171e-50,3.2835439597755314e-57,7.8939310866061409e-57,6.0467801719965027e-76,4.0656639176024283e-59,2.1184515815313799e-68,2.6041474660186816e-71
9.427618959489845e-18,0.00526101795475212,5.7705310245124563e-34,2.1078480460424274e-43,7.4769869280764529e-43,2.5085901957012579e-45,1.4282060684158184e-53,0.0,0.0,1.4333801821734227e-29,6.6741207670608685e-45,2.374319382053206e-67,7.5352089331204961e-69,3.7889943818763981e-84,3.3526682185133638e-43,6.1577853331897757e-64,1.3741579253624092e-29,3.2153916507367886e-43,2.9915930536147417e-59,3.6108132279365167e-60,4.1871480956637662e-40,3.1459810311767098e-61,2.2324848104780923e-60,3.6698227155611402e-61,2.3349697798884732e-47,8.770288471075294e-74,1.8923932010245706e-39,1.0448650090365665e-71,2.807790370056755e-29,7.9674523604050014e-67,2.5512116456792601e-87,3.6083377554687081e-68,8.3115398270520045e-103,2.1224819157420565e-54,2.3429120767889901e-45,3.4803012748286605e-44,4.0876191076176681e-43,5.6815926123157954e-47,8.5731192593269639e-39,2.6944657442969313e-64,7.5750336310762098e-71,5.790907294824397e-62,3.1583778313472015e-60,1.5228525800379026e-53,1.3330448013949e-43,2.3715848537359427e-68,3.2679975424872348e-78,1.8529430105499716e-77,1.3774849936246301e-93,5.595710317044833e-99,1.4609596718331262e-90,6.1659495248801211e-142,1.280807796749122e-125,4.1073938685308197e-75,1.4862326484404932e-59,2.7742647273828546e-70,1.7134112509050772e-64,5.3703875043558904e-81,3.7984746204058412e-60,4.7979676301255432e-74,3.1949852142571808e-98,8.5432133256449221e-53,3.7977101038504504e-44,3.3050234729040165e-49,2.0342467310584779e-63,3.4227564212406792e-88,3.456726771329068e-80,5.5942560039997471e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999836,2.7903852578808898e-29,2.8077903699029092e-29,2.790385258663497e-29,6.201364365565274e-30,5.2800714530995166e-30,2.6400357265527641e-30,1.0520253842811756e-38,1.0498280409107062e-38,6.9327892184191173e-39,5.9092772416290508e-39,2.7031929813735793e-39,2.9415076109924524e-39,1.0945946187051831e-41,5.7281265273342134e-42,1.6528866287664309e-42,4.2901172839199462e-42,1.0358013198479688e-41,5.1907630077464009e-41,1.3741579249940258e-29,2.1290731331069927e-31,3.6144434749045917e-40,5.2090104855363206e-39,3.5673137803003064e-49,1.1322483697220528e-50,8.0961058903943655e-41,4.7597968787438988e-50,4.0679964311848993e-41,9.4077120466063261e-42,9.3035629403980409e-51,2.2049042247920915e-53,7.6019097335624895e-55,1.2768365126248422e-54,2.9418267944594665e-62,1.3708967965061304e-62,9.2185814622519592e-78,9.1247291748996274e-70,2.0091961488725051e-77,7.6479354191053157e-77,1.1576399387394762e-83,6.3929260427881338e-84,4.0885648804285015e-79,5.7273191676560989e-52,7.8383295232535277e-54,6.7193056183918483e-52,4.7275573221530784e-94,3.8973067370796394e-96,7.5311931751178434e-50,7.5535108350153457e-99,2.0890642929382942e-42,2.3511800722800345e-42,2.4230039894905034e-51,2.2554095218492889e-64,6.1973394324607389e-49,1.4743279098214935e-113,1.9287326105403817e-113,1.6446274160684897e-15,4.8326637281948993e-117,2.2372610017210833e-62,8.134813277550167e-72,3.5151991692065999e-45,5.3882589237686893e-70,5.7327152675024594e-49,3.898222981337368e-56,9.3716740058522529e-56,1.3526405379942592e-74,4.8267561847607321e-58,4.7388914327208253e-67,5.8253736996983279e-70
2.154884333597679e-17,0.00526101795475212,1.3189785200208089e-33,4.8239114197095216e-43,3.599847405360367e-42,1.2077781936631272e-44,1.402221207686872e-52,0.0,0.0,3.2762975593613752e-29,3.2133018528410205e-44,2.3311249541297927e-66,7.3981128349998849e-68,7.4864129385597602e-83,1.6141654296297942e-42,6.0457501605278487e-63,3.1409324003505161e-29,1.5480726687293122e-42,1.4403232822135693e-58,1.7384511285039736e-59,2.0159315659791531e-39,3.0887428314348604e-60,1.0748453069775742e-59,3.6030537003302422e-60,1.1241874369210941e-46,8.6107217296986049e-73,9.1110586554010459e-39,1.0259619006207457e-70,6.4178065578597e-29,7.8224919675685439e-66,2.5047947221854813e-86,3.5426874077616637e-67,1.6422202059565056e-101,2.0838653307680401e-53,1.1280110334429626e-44,1.6756152490294419e-43,1.9680126969379392e-42,2.7354422692139303e-46,4.1275878805585695e-38,2.6454425453048925e-63,7.4372129258148883e-70,5.6855471201333119e-61,3.1009140816051373e-59,1.4951456907705915e-52,6.4180368790587849e-43,2.3284361655225899e-67,6.4570121667765339e-77,3.6611031386858663e-76,5.4491934217099552e-92,1.1073493818532782e-97,2.8866101163058277e-89,2.439189575373185e-140,1.0126961697028326e-123,8.1155365032630232e-74,1.4591920254264769e-58,5.4814795940380409e-69,1.6822373686543364e-63,1.0610980606172503e-79,3.7293641578998641e-59,9.4799757452055426e-73,1.2639015666742092e-96,8.3877775013103867e-52,1.8284333935743444e-43,1.5912265835673863e-48,1.9972350928310549e-62,6.762788180863928e-87,7.711766784906908e-79,1.248047529627251e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999626,6.3780234439097407e-29,6.4178065571189971e-29,6.3780234476776541e-29,1.4174547103748079e-29,1.2068734734990472e-29,6.0343673675097936e-30,5.0650493648818704e-38,5.0544701024537336e-38,3.3378395737869469e-38,2.8450626159501692e-38,1.301471057840145e-38,1.4162092919898524e-38,5.2700019013773117e-41,2.7578463467588592e-41,7.9579376064171034e-42,2.0655067974070618e-41,4.9869374795757598e-41,2.4991289416988227e-40,3.1409323985769072e-29,4.8664528736739416e-31,1.740198942083056e-39,2.5079143188922821e-38,3.5024098187421074e-48,1.1116481626236202e-49,3.8979264769812928e-40,4.6731967953379457e-49,1.9585651647568577e-40,4.5294083783733566e-41,9.134293256046816e-50,2.1647880316607307e-52,7.4636002373851199e-54,1.2536057345141987e-53,5.8125540010233487e-61,2.7086610509817228e-61,3.6467783148614497e-76,1.8028926730557826e-68,7.9481755795399761e-76,3.0253767759458435e-75,9.1515376155986262e-82,5.0545756270641164e-82,8.0783136724152051e-78,5.6231159157462596e-51,7.6957184040568606e-53,6.5970540945088696e-51,7.4670909443802789e-92,6.1557252765556595e-94,3.6259452956513322e-49,1.1930633244460567e-96,1.0057945297151729e-41,1.1319919928944518e-41,2.3789196808277274e-50,4.4563091384093437e-63,2.9837515312605701e-48,4.6532069421843024e-111,6.0873801675862973e-111,3.7591478703814994e-15,1.5252701927767162e-114,2.196556117146704e-61,1.6073027313357574e-70,1.6924171064160597e-44,1.0646286563004141e-68,2.7600549619276889e-48,3.8272975756193934e-55,9.2011630360324508e-55,2.6725897664158045e-73,4.7389378058850899e-57,9.3632508256008182e-66,1.1509956702480484e-68
4.579129208895068e-17,0.00526101795475212,2.8028293556087735e-33,1.0276310264635016e-42,1.5721479880607404e-41,5.2746846843775525e-44,1.2402488151408636e-51,0.0,0.0,6.9621323141032758e-29,1.4033333402129937e-43,2.0618609257660715e-65,6.5435470592366098e-67,1.3321666607443464e-81,7.0494845330056929e-42,5.3473975603538818e-62,6.6744813487049394e-29,6.7608400576725885e-42,6.2902702159004895e-58,7.5922727364632015e-59,8.8041027759231518e-39,2.7319580548151055e-59,4.6941315885458465e-59,3.1868601883249427e-59,4.9096218861894206e-46,7.6160867424000824e-72,3.9790386827116088e-38,9.076424510399831e-70,1.3637838925761255e-28,6.9189055473263984e-65,2.2154625657637384e-85,3.1334668965829913e-66,2.9222431042729466e-100,1.8431552855891281e-52,4.9263180981564128e-44,7.3178520115931987e-43,8.5948289628695376e-42,1.1946395039318118e-45,1.8026260677840454e-37,2.3398641495133402e-62,6.5781305868678298e-69,5.0288020382507757e-60,2.7427233846441312e-58,1.3224394266914855e-51,2.8029253110927862e-42,2.0594755847747565e-66,1.1489907179725323e-75,6.5147374141443514e-75,1.9447782634749908e-90,1.9766587585561039e-96,5.1365684621282745e-88,8.7053033216903063e-139,7.2383281674518181e-122,1.4441178595558574e-72,1.2906388180158014e-57,9.7540000501030024e-68,1.4879199767804154e-62,1.8881672635954482e-78,3.2985790314412622e-58,1.6869111151737945e-71,4.5107547827095522e-95,7.4188942071316226e-51,7.9852442239038348e-43,6.9493049875517223e-48,1.7665310911471588e-61,1.2034014070931827e-85,1.4443283950889163e-77,2.3374541138032783e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999202,1.3553299806888142e-28,1.363783892252642e-28,1.3553299823343605e-28,3.0120912520570505e-29,2.5646061248028636e-29,1.2823030624078063e-29,2.2120401268027937e-37,2.2074198849797478e-37,1.4577222316433782e-37,1.2425135882076279e-37,5.6838660359490386e-38,6.1849580363054703e-38,2.301548281658243e-40,1.2044239537123096e-40,3.4754404232947995e-41,9.0206108337852409e-41,2.1779266152476434e-40,1.0914352641202276e-39,6.6744813409591265e-29,1.0341212348022733e-30,7.59990594968202e-39,1.0952720710202578e-37,3.097841812896008e-47,9.8324020920553294e-49,1.7023268989873759e-39,4.1333896335588053e-48,8.5535685967114888e-40,1.9781116332426693e-40,8.0791789277853601e-49,1.9147304787354503e-51,6.6014702116148174e-53,1.1088002087529586e-52,1.0343129264753619e-59,4.8199176061265721e-60,1.3015086783893257e-74,3.2081510152465396e-67,2.8366441290412393e-74,1.0797227296001796e-73,6.540567049426048e-80,3.6127561553050331e-80,1.4374922018472617e-76,4.973582337757567e-50,6.8067757726431198e-52,5.8350196256500573e-50,1.0680495181207942e-89,8.8047937036431686e-92,1.5835455483556419e-48,1.7064888150282266e-94,4.3925689507681486e-41,4.9437064148250023e-41,2.10412750968481e-49,7.9297639843922583e-62,1.3030821280765169e-47,1.3315708442061562e-108,1.741977646867351e-108,7.9881870508020529e-15,4.3647819198467006e-112,1.9428290084176785e-60,2.860109906878669e-69,7.3912303432631622e-44,1.8944479980201294e-67,1.2053879290918223e-47,3.3851998265919116e-54,8.1383208121673538e-54,4.7557307032978087e-72,4.191536753899573e-56,1.6661404303202454e-64,2.0481352731834859e-67
9.427618959489845e-17,0.00526101795475212,5.77053102858006e-33,2.1262196344830536e-42,6.5634087874043331e-41,2.2020770241130223e-43,1.0425039212802514e-50,0.0,0.0,1.4333801825051057e-28,5.8586404493334385e-43,1.7331306301761581e-64,5.5002456448102708e-66,2.246892025557357e-80,2.9430210420257205e-41,4.4948098700114363e-61,1.3741579238926631e-28,2.8225176351954246e-41,2.6260640206934294e-57,3.1696243516790241e-58,3.6755395953690233e-38,2.2963753567337053e-58,1.9597073216351867e-58,2.6787480003656139e-58,2.0496704902749046e-45,6.401781298979544e-71,1.6611703216270398e-37,7.6324909480687772e-69,2.8077903630747053e-28,5.8157569892097605e-64,1.8622297779402037e-84,2.6338677389791963e-65,4.9287900898999103e-99,1.5492830752157307e-51,2.0566387920981159e-43,3.0550591589103699e-42,3.5881722970131956e-41,4.9873847508180675e-45,7.5256089761697793e-37,1.9667971025304714e-61,5.529315082918243e-68,4.2270111166025929e-59,2.3054242598802846e-57,1.1115900129972669e-50,1.1701661325623941e-41,1.731113599397752e-65,1.9379404570980833e-74,1.0988056832084155e-73,6.5709651102439243e-89,3.3548126951194543e-95,8.663573458138399e-87,2.9413313124421914e-137,4.8952840238145585e-120,2.4357170626296304e-71,1.0848596872244969e-56,1.6451546714716793e-66,1.2506865204535753e-61,3.1846699319462213e-77,2.7726521885685919e-57,2.8452224377214004e-70,1.5240684846606193e-93,6.2360275959054659e-50,3.3336782802650884e-42,2.90119840641133e-47,1.484874594702375e-60,2.0297102862035423e-84,2.4947175213069309e-76,4.0373679919281036e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999998357,2.7903852496527729e-28,2.8077903617242231e-28,2.7903852565226061e-28,6.2013643116042594e-29,5.2800714071129993e-29,2.6400357035831462e-29,9.2348320750467418e-37,9.2155434751110282e-37,6.0857033377907124e-37,5.1872496192081183e-37,2.3729021822986201e-37,2.5820982178945573e-37,9.6085109816504082e-40,5.0282329068311671e-40,1.4509279598975975e-40,3.7659274455819977e-40,9.0924148874262902e-40,4.5565273555484786e-39,1.3741579206589386e-28,2.1290731269579876e-30,3.1728111115021716e-38,4.5725452846833022e-37,2.6039226888283305e-46,8.2647263777857723e-48,7.1068796894618643e-39,3.4743630261845344e-47,3.5709464792670047e-39,8.2582266449360718e-40,6.7910366712772355e-48,1.6094463051937046e-50,5.5489340267270251e-52,9.320136097743132e-52,1.7445199232882688e-58,8.1294954999464692e-59,4.397499620586014e-73,5.4110150325508815e-66,9.5843572355308828e-73,3.6481164143271151e-72,4.4231888793948577e-78,2.4432933675765577e-78,2.4245388374112125e-75,4.1805956189491648e-49,5.7215051683314519e-51,4.9046855620127343e-49,1.4451605190947649e-87,1.1913624302621842e-89,6.6109907391780549e-48,2.3090224326318645e-92,1.833811063722183e-40,2.0639000951986674e-40,1.7686459422995133e-48,1.3374705904787459e-60,5.4401067275304612e-47,3.6041750344613077e-106,4.7150321679908733e-106,1.6446258498826942e-14,1.1814405133277372e-109,1.6330648424538486e-59,4.8239938456222933e-68,3.085693340271456e-43,3.1952573286515529e-66,5.0322524261729089e-47,2.845461843404613e-53,6.8407428000259872e-53,8.0212349766836574e-71,3.523239085212132e-55,2.8101892747172489e-63,3.4544794170839074e-66
1.91245984606794e-16,0.00526101795475212,1.1705934381704052e-32,4.3558322066434036e-42,2.6813669877159095e-40,8.9962031697611798e-43,8.5470780104768832e-50,0.0,0.0,2.9077140852802546e-28,2.3934457868265308e-42,1.4209453493194708e-63,4.5094337941235718e-65,3.6905211125192985e-79,1.2023201395054554e-40,3.6851167220909592e-60,2.7875774993421378e-28,1.1530905492503447e-40,1.072832863134738e-56,1.2948949196111272e-57,1.5015778509598303e-37,1.8827072567035585e-57,8.0060421097322263e-58,2.196199436367641e-57,8.3735727347221248e-45,5.2485695284201564e-70,6.7864227832498619e-37,6.2628401085870712e-68,5.695803291744936e-28,4.7681089224043236e-63,1.5267684827703056e-83,2.1594039152465151e-64,8.095552426016349e-98,1.2701958675578606e-50,8.4020238665862549e-43,1.2480913474966114e-41,1.4658857849481952e-40,2.0375093945729254e-44,3.0744568138397057e-36,1.6124995813354387e-60,4.5332665107152474e-67,3.4655590911012209e-58,1.8901260856307037e-56,9.1134863882826363e-50,4.7805103927642109e-41,1.4192719736341291e-64,3.1830719399490823e-73,1.8047916240220633e-72,2.1603888405736388e-87,5.5789143131118064e-94,1.4229945321942585e-85,9.6704937405426714e-136,3.2202802586170756e-118,4.0006735564356413e-70,8.8943350597858832e-56,2.7021714733957587e-65,1.0253885795004563e-60,5.2308294713912022e-76,2.2731841046707967e-56,4.6732873097055281e-69,5.0107142482544629e-92,5.1126721764003348e-49,1.3619130893168947e-41,1.1852345163455938e-46,1.2173878898147124e-59,3.3337984076394063e-83,4.1450084766448496e-75,6.708138315505948e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999996665,5.6604957730538073e-28,5.6958032862277733e-28,5.6604958011193187e-28,1.2579910335429586e-28,1.0711001890543283e-28,5.3555009453805685e-29,3.7727302168688473e-36,3.7648501945699396e-36,2.4862083637479344e-36,2.1191607070347267e-36,9.6940796688386698e-37,1.054871364712313e-36,3.9253902265493669e-39,2.0541972026218253e-39,5.9275141206903686e-40,1.5385042354409272e-39,3.7145481551941379e-39,1.8614900820239415e-38,2.7875774861313196e-28,4.3189769004132414e-30,1.2961968505816177e-37,1.8680339414795638e-36,2.1348531199179421e-45,6.7759219735473125e-47,2.9033922366734808e-38,2.8484926944224214e-46,1.4588481273148596e-38,3.3737550177706469e-39,5.5677021199658923e-47,1.3195212649576163e-49,4.5493522620666848e-51,7.6412143467646797e-51,2.8653791941743911e-57,1.335272064926456e-57,1.4457990017502498e-71,8.8876065736370966e-65,3.151112391935817e-71,1.1994163550164478e-70,2.9096457325301328e-76,1.6072738766775822e-76,3.9823061798733866e-74,3.4275048418899205e-48,4.6908356033458236e-50,4.0211575201287121e-48,1.9017002749023555e-85,1.5677251029647768e-87,2.7008052618516582e-47,3.0384643509219695e-90,7.4917165095572765e-40,8.4317051926791956e-40,1.4500427796198019e-47,2.1967994302974395e-59,2.2224573086028388e-46,9.4865208710995554e-104,1.241042697783747e-103,3.3362373743657059e-14,3.1097707729317703e-107,1.3388852179724077e-58,7.9234246646099542e-67,1.2606065509930187e-42,5.248199657020922e-65,2.0558353128187723e-46,2.3328772965472527e-52,5.608444058629558e-52,1.3174902645070821e-69,2.8885640778261789e-54,4.6157440290761883e-62,5.6739925434167002e-65
3.851855746305851e-16,0.00526101795475212,2.357674111667772e-32,8.9447987753165773e-42,1.0838516821191277e-39,3.6364091631592781e-42,6.921647005883734e-49,0.0,0.0,5.856381893172922e-28,9.6746905538015696e-42,1.1507510168686666e-62,3.651856569335785e-64,5.9824749984157002e-78,4.859970363044925e-40,2.9843031062481407e-59,5.6144166398616363e-28,4.6609763536075487e-40,4.3365621606309187e-56,5.2341718939270811e-57,6.0696177256954189e-37,1.5246651458798486e-56,3.2361688229421089e-57,1.7785392155910378e-56,3.3847319739566607e-44,4.2504316346142619e-69,2.7431805887937748e-36,5.0803345609781198e-67,1.1471829099777685e-27,3.8613381773928184e-62,1.2364167008904967e-82,1.7487412951076824e-63,1.3123239029529935e-96,1.0286375435839402e-49,3.3962189116388765e-42,5.0449847546095759e-41,5.9253473245190702e-40,8.2359386577522343e-44,1.2427445944258208e-35,1.3058447579239154e-59,3.6711566537873733e-66,2.8064995904412577e-57,1.5306730919875587e-55,7.3803373454423536e-49,1.9323586742611431e-40,1.1493639789153026e-63,5.1598932807007376e-72,2.9256449633675346e-71,7.0071647262677653e-86,9.2661496393327398e-93,2.3067354258683609e-84,3.1366273539597499e-134,2.0894263045820105e-116,6.4852649617506168e-69,7.20286296952694e-55,4.3803363555562742e-64,8.303865915194912e-60,8.4793985103634759e-75,1.8408774701153961e-55,7.5756030710959194e-68,1.6251551112030603e-90,4.1403744645719281e-48,5.5050440748414143e-41,4.7909098718803162e-46,9.8586901199320074e-59,5.404208730869209e-82,6.7574034560584763e-74,1.0935929202341056e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999993282,1.1400716761748349e-27,1.1471829077476435e-27,1.1400716875193625e-27,2.5337002002003879e-28,2.1572862532643899e-28,1.078643126676239e-28,1.5249978655814648e-35,1.5218126346958483e-35,1.0049651544180924e-35,8.5659862553474932e-36,3.9185019932888216e-36,4.2639586421158554e-36,1.58670546897051e-38,8.3033934741312592e-39,2.3959959628954361e-39,6.2188800627416932e-39,1.5014797511971274e-38,7.5244403882752664e-38,5.6144165864613983e-28,8.6987844038990516e-30,5.2394347948943337e-37,7.5508918175623691e-36,1.7288593694406881e-44,5.4873172194236698e-46,1.1735975566449644e-37,2.3067831929936582e-45,5.8968971654632726e-38,1.363725698876028e-38,4.5088694638986711e-46,1.0685824426804756e-48,3.6841848605296473e-50,6.1880594421195223e-50,4.6449030920235538e-56,2.1645335188783929e-56,4.6893971383963507e-70,1.4407187200363588e-63,1.0220462971586435e-69,3.8902657767681627e-69,1.8878399024156313e-74,1.0428507748298427e-74,6.4554700169495064e-73,2.7756822405284658e-47,3.7987602695752548e-49,3.2564375631473749e-47,2.4679909639376469e-83,2.0345645389061064e-85,1.0917085344579529e-46,3.9432622921279388e-88,3.0282715601846987e-39,3.4082299449656797e-39,1.1742822038782227e-46,3.5611064433738713e-58,8.9834970933618469e-46,2.4624113314021565e-101,3.2213825374221392e-101,6.7194493628800202e-14,8.0725893713528318e-105,1.0842639535653038e-57,1.2844212822236857e-65,5.0955743468045587e-42,8.5074926381329956e-64,8.3099826826848996e-46,1.88921765407116e-51,4.5418469042993898e-51,2.1357085288213261e-68,2.3392337745834066e-53,7.4823190267224881e-61,9.1977855389973762e-64
