Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869)
0.0,0.001928828090989904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001928828090989904,4.9572713625590802e-27,4.187847655047133e-35,6.8733036551627416e-35,5.3458155771789842e-35,8.0440116177493745e-43,0.0,0.0,2.3188703796559384e-23,2.9736545763532257e-35,1.0836603144460829e-40,2.0263824106025572e-47,6.5497760302835311e-51,1.6026951866903297e-62,3.0093503334262085e-51,1.7860954651716567e-40,1.9103595899517566e-23,6.591306893448825e-35,-2.0548231382606506e-85,2.0988111821519151e-83,1.59205053523952e-55,1.2758659029069431e-53,2.7432169035380489e-35,5.3292815591777085e-48,3.2472792206757825e-37,2.5107343009168811e-63,1.6269522994572731e-52,2.3182848185802992e-31,1.0198622971747013e-34,4.2436724414842908e-23,1.1703268672854191e-46,1.2684738181542309e-63,7.3443114208423746e-60,6.8199038734995222e-47,4.0881316923743263e-77,5.6078841965752091e-58,7.9376922769621355e-31,4.8492375703596235e-42,5.1102353727509058e-44,4.6964331669455667e-46,4.3099721804695275e-30,3.7711308158565704e-60,1.7759362675193637e-63,5.0362960363079822e-56,2.714079591711907e-50,2.8109929317745522e-43,2.3929622067677029e-59,2.7267000381653748e-61,1.2023752703557511e-60,9.5268395216672586e-91,1.3296886479199615e-82,-1.198412739141602e-118,-1.0327452607582652e-111,4.9936307977183021e-57,2.7724661931764973e-54,7.1986667332562702e-63,4.3592530091449721e-72,2.1153525072013965e-59,1.126380099476107e-70,8.6853140588651563e-77,2.4898474761295374e-40,5.7746095270283117e-43,7.9052879291987318e-54,1.7282691475992825e-54,1.3679903430577334e-80,-1.1908810272249267e-91,-5.2833829766723593e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.8257023925223309e-23,4.2436726495226157e-23,4.8257024661031192e-23,2.6735093217360009e-30,1.9536851005280933e-30,2.3510563788358524e-30,3.8744073843330799e-39,1.7643064645742738e-24,1.2189387488797441e-39,7.5072394747659137e-31,1.6485856992219237e-45,5.1866641339254323e-46,1.4739338203653285e-24,1.1721779326433813e-40,7.3696691021654989e-25,6.2716848948096868e-31,3.1358424272464109e-31,2.4161475112160596e-39,1.0280865741310057e-45,1.9981432493390959e-54,3.7685176648752896e-60,1.1485534355898598e-25,2.1370817675658648e-54,3.0282903686617525e-54,6.3631531109503109e-33,9.9374927060790027e-43,3.7693473861241321e-40,9.7925884194694564e-41,9.8080283615292996e-48,1.9049811055941288e-53,8.1058192847652076e-60,1.0073798871627274e-39,3.1227434527674974e-68,2.6576130540315822e-40,1.1308317479379007e-46,4.2570045267680574e-69,2.7488750115590411e-75,3.5476384143670012e-56,4.4059862979242493e-34,2.6590657890998598e-40,1.1314499015191202e-46,7.4505644583917817e-48
3.0000000000000002e-15,0.001928828090989904,1.6288176278251998e-26,1.479329252945058e-34,4.5167422981268011e-34,2.61161233248262e-34,7.5843536894905522e-42,0.0,0.0,7.6191455870865685e-23,1.954115870474615e-34,7.1211644072652966e-40,1.9105829045300055e-46,6.1755026873499029e-50,1.5111065161659378e-61,1.9775726988028025e-50,1.173714389857219e-39,6.2768955430763023e-23,4.3314301685391225e-34,1.2152802300327241e-83,2.5785562752511518e-82,1.5010894457972172e-54,1.2029587900790858e-52,9.0133325237868042e-35,5.0247511208715941e-47,2.1339263063031476e-36,3.09926923340347e-62,1.5339833239217415e-51,1.5234442508662911e-30,6.7019519328528168e-34,1.3943493701934101e-22,1.1034508884548552e-45,1.9207888523787402e-62,9.0230333017011552e-59,8.3785087409210207e-46,5.0725886868314039e-76,5.2874449452134221e-57,5.2161976883185632e-30,4.572138258469775e-41,4.8181247695118269e-43,4.430104592033842e-45,2.8322673027858989e-29,2.4781971055988384e-59,2.6900431944385949e-62,6.1896357993579511e-55,3.3344404706885518e-49,2.6503645875967943e-42,2.9399245954864267e-58,3.3497984416944622e-60,1.4772037275121562e-59,1.7149314572628271e-89,2.0136685529240477e-81,6.4029449992999884e-117,2.8078488081382031e-103,6.1395040010813037e-56,3.4073762443551049e-53,1.0903963315973129e-61,6.6011448272912473e-71,3.20320046723877e-58,2.0274460582242542e-69,1.315010827933201e-75,2.3475704039635606e-39,5.4444368340740421e-42,9.7122103876390452e-53,2.1232631935009459e-53,1.7411686465663806e-79,6.0224955212328597e-90,3.504795210834009e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5855878404353033e-22,1.394349506904297e-22,1.5855878887883903e-22,1.756877509781148e-29,1.2838501856866499e-29,1.5449798672383034e-29,3.6530120776098697e-38,5.797004484475286e-24,1.1492849305861211e-38,4.9333278215303392e-30,2.025405019226598e-44,6.372186569740518e-45,4.8429233494420208e-24,1.1051961840907564e-39,2.4214616749437342e-24,4.1213921238656769e-30,2.0606960429263362e-30,2.2780812252444674e-38,1.26307747744292e-44,3.0257581903390223e-53,6.7833288032412201e-59,3.773818267071086e-25,2.878179738284803e-53,4.9436677926885896e-53,4.181500533815941e-32,9.3696358562834576e-42,3.5539553817813751e-39,9.2330106784774681e-40,9.2475903176989187e-47,2.3404091493251655e-52,1.2274542411203414e-58,9.4981512786964069e-39,5.6209442410847991e-67,2.5057487666122376e-39,1.3893072755750457e-45,7.6626160453758116e-68,5.733372980705382e-74,5.3721372250058555e-55,2.8953620838262805e-33,2.507118480210117e-39,1.3900667194929568e-45,9.1535486910596831e-47
7e-15,0.001928828090989904,3.6117253648782848e-26,3.945107316711738e-34,2.4547508817870005e-33,1.1293541038446163e-33,1.2249878552640756e-40,0.0,0.0,1.6894627518402163e-22,1.0620195160914364e-33,3.8700850780476898e-39,3.0857887092076045e-45,9.9743662018511464e-49,2.4405758442042302e-60,1.0747664362347063e-49,6.3786885026905688e-39,1.3918331970866825e-22,2.354037867265812e-33,2.3446396936927538e-82,1.304299107929665e-80,2.4245497588504791e-53,1.9429534610086321e-51,1.9985477456205475e-34,8.1157334460774668e-46,1.1597424208650749e-35,1.6565735241969041e-60,2.4776114520544839e-50,8.279586251539232e-30,3.642364099699809e-33,3.0918172273182369e-22,1.782238037545569e-44,3.1711416540882648e-60,4.5641105069070216e-57,4.236568714320444e-44,3.3609640056434437e-74,8.5400268294326546e-56,2.8348897166797983e-29,7.3846951526817574e-40,7.780563503268545e-42,7.1538935790526116e-44,1.5392752479554479e-28,1.3468574406632902e-58,4.4425366262252746e-60,3.1305323583995544e-53,1.686605481493796e-47,4.2807377641186397e-41,1.4870524450078541e-56,1.6934807896542078e-58,7.4718918819954025e-58,9.5578064322715118e-87,3.3290430068970406e-79,2.3375014471126445e-114,2.6350544722303285e-101,3.1045817559601073e-54,1.7233481909545403e-51,1.8007637236263522e-59,1.0901612883177313e-68,5.2889413623856946e-56,1.1283923070700882e-66,2.1669817864400694e-73,3.7916807799090283e-38,8.7907045081741857e-41,4.9125685165910865e-51,1.0737399823117137e-51,1.81828961068775e-77,9.3510219988807907e-87,5.6137743300918882e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.5158681199490596e-22,3.09181797031185e-22,3.5158683827375038e-22,9.5482457619265127e-29,6.9774458397425985e-29,8.396628339177859e-29,5.9001591232329316e-37,1.2854211437691447e-23,1.8562666987228771e-37,2.681152972493302e-29,1.0244764904855425e-42,3.2231360550616913e-43,1.0738642864927494e-23,1.7850570347396539e-38,5.3693214336743514e-24,2.2398841698387285e-29,1.1199420542210829e-29,3.6794357734071662e-37,6.3888030799869492e-43,4.9970290387440277e-51,3.7765615387749859e-56,8.3680307533042477e-25,1.9298461396714255e-51,1.0987968963329341e-50,2.2725543481202974e-31,1.5133379646440721e-40,5.7401656841601803e-38,1.4912692532322793e-38,1.4936566262891443e-45,1.1838346242114473e-50,2.0271918935131952e-56,1.5340924661335484e-37,3.1294984990019923e-64,4.0471537855771291e-38,7.0272918120599949e-44,4.2662098343929856e-65,1.102500998787661e-70,8.8721119854520596e-53,1.5735651456371854e-32,4.0493659615702529e-38,7.0311330693604882e-44,4.6299809371333379e-45
1.5e-14,0.001928828090989904,7.5775387823326342e-26,1.0889197835064702e-33,1.0859815202897103e-32,4.5313830572787317e-33,1.1392614256220848e-39,0.0,0.0,3.5445592431520592e-22,4.6983744954901075e-33,1.7120426227587334e-38,2.8697069192484254e-44,9.2763384813423814e-48,2.2696498103513313e-59,4.754756904020684e-49,2.8217891949307766e-38,2.9201199908589663e-22,1.0414261556654157e-32,4.2040561956886486e-81,2.5085578495224659e-79,2.2549363118685997e-52,1.8069725907399787e-50,4.192792795586773e-34,7.5477829982978744e-45,5.1306994637614375e-35,3.4420512605235954e-59,2.3042192428145526e-49,3.6628874376142714e-29,1.6113810831294688e-32,6.4867500920136527e-22,1.6575114028985727e-43,1.2435109912952212e-58,8.7783784528294235e-56,8.1440147656742266e-43,1.171794892902318e-72,7.9424000660278839e-55,1.2541549671708664e-28,6.8679038029247058e-39,7.2339726506837068e-41,6.6540470976137569e-43,6.8097503158031091e-28,5.9585099828729824e-58,1.7430961337337185e-58,6.0215070434233764e-52,3.2437852393840417e-46,3.9811626185277279e-40,2.8599879531562709e-55,3.2544371929852312e-57,1.4370392583418581e-56,7.5929061536317939e-85,1.3080297981020544e-77,1.774978832810646e-112,1.1776835801873263e-99,5.9715473537048753e-53,3.3148188061267992e-50,7.0655845544971145e-58,4.2768250830489444e-67,2.07430833518396e-54,8.946547914906722e-65,8.4745340565374893e-72,3.5263326391914484e-37,8.1713124289643734e-40,9.4481592854746481e-50,2.0644053086970489e-50,9.6903840861619453e-76,1.4369786280549822e-84,5.4603209027845959e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.3764269544443534e-22,6.4867533790149122e-22,7.3764281170198905e-22,4.224142768453211e-28,3.086821435705816e-28,3.7146673674387969e-28,5.4872457405748472e-36,2.6968577222313759e-23,1.7263590652445962e-36,1.1861395379616913e-28,1.9703344314867131e-41,6.1989288138696757e-42,2.2530041764499727e-23,1.6601332403791646e-37,1.1265020887605823e-23,9.909226593229384e-29,4.9546130111158211e-29,3.4219288794652677e-36,1.2287302413430073e-41,1.9604309755491805e-49,2.9956791742156889e-54,1.7556452528351888e-24,4.0191273872107958e-50,4.6660309579033827e-49,1.0053778306156135e-30,1.4074324228696792e-39,5.3384461165958737e-37,1.386905662282258e-37,1.3891734460459049e-44,2.2768933132129154e-49,7.9533816683868397e-55,1.4267305780061309e-36,2.4825056426727309e-62,3.7639141685975214e-37,1.3515287346406014e-42,3.384209575158394e-63,1.7592531974912551e-68,3.4807271702729411e-51,6.961443354096218e-32,3.7659713601332377e-37,1.3522674765265907e-42,8.9046435872864355e-44
3.1e-14,0.001928828090989904,1.5509157390637253e-25,3.2827508240884866e-33,4.5265573037137743e-32,1.7998006902800019e-32,9.6153436923454009e-39,0.0,0.0,7.2547526459699344e-22,1.9583641801680535e-32,7.1354145824096376e-38,2.4218050838837073e-43,7.829199416586842e-47,1.9153627621964783e-58,1.9818572269489087e-48,1.1760545561378159e-37,5.9766916112615531e-22,4.3408434033856157e-32,7.1923562568512674e-80,4.2652590769955797e-78,1.9032529904104774e-51,1.5250644075166441e-49,8.5805472728827086e-34,6.370314395097194e-44,2.1385637849416957e-34,6.710876576169745e-58,1.9447475538136883e-48,1.5267538327240449e-28,6.7165096141119723e-32,1.3276604423206831e-21,1.3989312956172263e-42,4.240992624064842e-57,1.4926559924054795e-54,1.3833177775652102e-41,5.5553296177531269e-71,6.7033998575499695e-54,5.2275336388415512e-28,5.7964976750484959e-38,6.1019867922774045e-40,5.6174916402236747e-42,2.8384193931244889e-27,2.4836112818586906e-57,5.9520064943118945e-57,1.0240541030004924e-50,5.5151693028402679e-45,3.3600884979505316e-39,4.8626122512901715e-54,5.5246576270060528e-56,2.4432861646675143e-55,5.2100798134319437e-83,4.4786769959026947e-76,1.2368818686118403e-110,4.2313721219102104e-98,1.0155595662092929e-51,5.6373762673395536e-49,2.4126385965771647e-56,1.4599229878390645e-65,7.0767069225819174e-53,6.1149358275994416e-63,2.8748491861459895e-70,2.9762163630332318e-36,6.8896086161369557e-39,1.6064009855701696e-48,3.5076771751556963e-49,5.8466062708983938e-74,2.0074568428536074e-82,6.3814295714025242e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5097537725312339e-21,1.3276618123978433e-21,1.5097542571124587e-21,1.7606950940431424e-27,1.2866402692342783e-27,1.5483370220937852e-27,4.6312050934713553e-35,5.5197116305722385e-23,1.4570379790971916e-35,4.944014835734735e-28,3.3500049223772655e-40,1.0539554837743584e-40,4.6112679039204007e-23,1.4011443165352792e-36,2.3056339541927107e-23,4.1303205782632886e-28,2.0651600481724354e-28,2.8880768823109313e-35,2.0891049426345515e-40,6.692336879183299e-48,2.0494468163409791e-52,3.5933283288730865e-24,7.1113003216698915e-49,1.6589585453963826e-47,4.1905875947840161e-30,1.1878702341244741e-38,4.5056139349202522e-36,1.1705416277197394e-36,1.1725343548495028e-43,3.8714642327471727e-48,2.7152660565770903e-53,1.2041513456799709e-35,1.698497834153465e-60,3.1767129734607331e-36,2.2978913377453947e-41,2.3154269706417439e-61,2.4098171305309861e-66,1.1882361181403506e-49,2.9016432289950049e-31,3.17844895190943e-36,2.2991472560746099e-41,1.5139824146080242e-42
6.300000000000001e-14,0.001928828090989904,3.1372361700855728e-25,1.0890458097572254e-32,1.8445948654330812e-31,7.1581463065997048e-32,7.8696266646594296e-38,0.0,0.0,1.4675141132376823e-21,7.9804412700812261e-32,2.9071712087174739e-37,1.9817513681188328e-42,6.4077472474006795e-46,1.5672640003534886e-57,8.0761107842291502e-48,4.7915431824664874e-37,1.2089826983509206e-21,1.7689159253900374e-31,1.1880444557609432e-78,6.9980802069174904e-77,1.557853064495062e-50,1.2481533023041059e-48,1.7353114724065385e-33,5.2137507698647452e-43,8.714756742148722e-34,1.3810020824440749e-56,1.5916537326691346e-47,6.2215946088741908e-28,2.7370088352107314e-31,2.6856267492956898e-21,1.1449396475090691e-41,1.3905404389811808e-55,2.4493019597386552e-53,2.2650778880711346e-40,3.2470917387562842e-69,5.4864112361517391e-53,2.1302466960310521e-27,4.7441134829384046e-37,4.9884800683818367e-39,4.6000512347931417e-41,1.1566690587978473e-26,1.0120840037983375e-56,1.956266762920989e-55,1.6809383912449387e-49,9.0482426371096375e-44,2.7500386293536182e-38,7.9776025283344798e-53,9.0356897590730671e-55,4.0084606148091824e-54,3.4454568055785671e-81,1.4800642035719569e-74,8.2161431253404846e-109,1.4512135979486098e-96,1.6670002304061882e-50,9.253477418499529e-48,7.929780718878564e-55,4.7954059094439276e-64,2.3218080832410894e-51,4.0124224553735146e-61,9.3271036960035316e-69,2.4358661803577977e-35,5.6274291747621445e-38,2.6354777323014136e-47,5.7472760468688196e-48,3.7109291563804387e-72,2.6639329975720241e-80,8.0042714936698362e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0539731674608046e-21,2.6856323324179601e-21,3.0539751421519947e-21,7.174920339536062e-27,5.2431248774292862e-27,6.309550651324317e-27,3.7903534548633414e-34,1.1165342454042752e-22,1.1924957625575394e-34,2.0146960744475866e-27,5.4960202497106101e-39,1.7291210066433475e-39,9.3277311500089558e-23,1.14675120152942e-35,4.663865584102217e-23,1.6831141601466958e-27,8.415568828635897e-28,2.3636914817536042e-34,3.4273587292157087e-39,2.1984102872058489e-46,1.3472859089222734e-50,7.2686893650291046e-24,1.1905334860955139e-47,5.5643320124504452e-46,1.7076857614410203e-29,9.7220617330786833e-38,3.6875565766784905e-35,9.5801703739022939e-36,9.5977648965139752e-43,6.3523172884343533e-47,8.9209670564506502e-52,9.85520762016826e-35,1.1167472126136093e-58,2.5999260903113164e-35,3.769899587657573e-40,1.5223662165171109e-59,3.1698176928789932e-64,3.9034331510628862e-48,1.1824294970815116e-30,2.6013464238876855e-35,3.7719596991982793e-40,2.4838267232911068e-41
1.2700000000000001e-13,0.001928828090989904,6.3098638695934242e-25,3.8986000971297317e-32,7.4437595477626506e-31,2.8534876702203254e-31,6.3624067786617101e-37,0.0,0.0,2.9515924828230113e-21,3.2204695482313777e-31,1.1727325040881303e-36,1.6016141952255759e-41,5.1804808861023797e-45,1.2665233383981153e-56,3.2590233542281393e-47,1.932844188164489e-36,2.4316066253857679e-21,7.1383646906765349e-31,1.9297177347566836e-77,1.1327048396590827e-75,1.2597217287894628e-49,1.0090579200271082e-47,3.4886491504591964e-33,4.2151956154555269e-42,3.5167928258016286e-33,3.1328251816969976e-55,1.286790893217201e-46,2.5106864893148174e-27,1.1045025203312813e-30,5.4015411263146452e-21,9.256433411653125e-41,4.4857199790300552e-54,3.965324666147509e-52,3.6515903366260959e-39,2.0335271706769609e-67,4.4357135384969018e-52,8.59649515597299e-27,3.8355048975651996e-36,4.0239533953506561e-38,3.7229845251988509e-40,4.6676643504493294e-26,4.0842043014399092e-56,6.3411595566907421e-54,2.7232065381711572e-48,1.4643548876728308e-42,2.2233284154093599e-37,1.2910683344889652e-51,1.453306854922579e-53,6.4871734056513452e-53,2.2582423260438882e-79,4.849695478028855e-73,5.3512429631644886e-107,4.9679014679367759e-95,2.700639935202684e-49,1.4991043339917635e-46,2.5704561298815541e-53,1.5524858907993683e-62,7.4994543685889426e-50,2.589392628319508e-59,2.9472611532855388e-67,1.9693365605359001e-34,4.5314316852512082e-37,4.2652201672112728e-46,9.2772692720626345e-47,2.3762990115439582e-70,3.457500403607407e-78,1.0183313283034492e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1424009203839632e-21,5.401563656603482e-21,6.1424088891264743e-21,2.8953984443978835e-26,2.1158346206140912e-26,2.5461834495622733e-26,3.0643599134051674e-33,2.2456296137124224e-22,9.6408973460741368e-34,8.1300738223280538e-27,8.894579232168497e-38,2.7983559189770612e-38,1.8760400814166751e-22,9.2710845504583194e-35,9.3802004437974286e-23,6.7920143996679299e-27,3.3960056054722058e-27,1.9109245652285735e-33,5.5466339216307756e-38,7.1183946110692187e-45,8.7269600745928033e-49,1.461939097339604e-23,1.9464900543529954e-46,1.8209027459463077e-44,6.8912724426240082e-29,7.860058707489804e-37,2.9812390068288249e-34,7.7452357451503411e-35,7.7615373324325901e-42,1.0282940218705363e-45,2.889497884550577e-50,7.9675326946510667e-34,7.2358838740409687e-57,2.1019177893854447e-34,6.1010094797842869e-39,9.8639801579370397e-58,4.1081568642776558e-62,1.2639972823130758e-46,4.7715901858711471e-30,2.1030653379678926e-34,6.1043423679486271e-39,4.0196991665448336e-40
2.55e-13,0.001928828090989904,1.2655066618629403e-24,1.4669718048698655e-31,2.990315875814854e-30,1.1392814033918265e-30,5.1157886509270706e-36,0.0,0.0,5.9197519111734581e-21,1.2937364817745948e-30,4.7075824585451617e-36,1.2868624752159636e-40,4.16539351380169e-44,1.0174475527677742e-55,1.3091817142905684e-46,7.7585755298125127e-36,4.8768418898633243e-21,2.8676349036583475e-30,3.1093501792570676e-76,1.8227015312567124e-74,1.013274556336082e-48,8.1127666912940716e-47,6.9906275628036939e-33,3.3892938349120139e-41,1.4127712954641809e-32,7.8765678857104376e-54,1.0346258096049411e-45,1.0085933110749993e-26,4.4370036025294266e-30,1.0833296933615977e-20,7.4425611289348641e-40,1.4326268483320555e-52,6.3837333115627782e-51,5.8293795616749963e-38,1.2920126357271042e-65,3.566730662294273e-51,3.4533970493989988e-26,3.0839976662948491e-35,3.2209609998078371e-37,2.9998751445713503e-39,1.8750923657563348e-25,1.6407073249845473e-55,2.0447194852487163e-52,4.3899541701775977e-47,2.3557758024568234e-41,1.7876801657707133e-36,2.076951283036584e-50,2.3095142842761279e-52,1.0436013983181055e-51,1.4875443473142012e-77,1.5974139604698705e-71,3.4547438184739835e-105,1.7506130633472727e-93,4.3536175742896674e-48,2.4166150521347656e-45,8.2888049402193165e-52,4.993643156476463e-61,2.4011974185356379e-48,1.6542390342509505e-57,9.0466440402093066e-66,1.5834688843796646e-33,3.614619735795564e-36,6.8616580174341166e-45,1.4847941440806922e-45,1.5173372430706878e-68,4.4300494230994249e-76,1.2894714010617851e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2319212278807344e-20,1.0833387441840766e-20,1.231924429082523e-20,1.1631424046167193e-25,8.4997626792725048e-26,1.0228554334338424e-25,2.463862415561802e-32,4.5036971719727118e-22,7.7516694089170958e-33,3.265926715125426e-26,1.4308792517446248e-36,4.5017512019673455e-37,3.7624712889520885e-22,7.4543498838457434e-34,1.8812356592252545e-22,2.728416673835373e-26,1.3642070549992604e-26,1.5364046322449923e-32,8.9226281846845007e-37,2.2904133985791635e-43,5.6165393839521513e-47,2.9320712332221712e-23,3.1473696202977611e-45,5.8907491771674218e-43,2.7683716358460219e-28,6.320001404125008e-36,2.3970084044075525e-33,6.2275039789736228e-34,6.2439503749711209e-41,1.6550489672375571e-44,9.3031137882866608e-49,6.4061420339674987e-33,4.6597676586367249e-55,1.6899806436187584e-33,9.8145173001507961e-38,6.3521032218849937e-56,5.2913123978185942e-60,4.0675238870727146e-45,1.9168183008172457e-29,1.6909021293983987e-33,9.8198753166824862e-38,6.4663837707545944e-39
5.11e-13,0.001928828090989904,2.5345261518091974e-24,5.6819655830308178e-31,1.1986563336809376e-29,4.5527104856510968e-30,4.1027971464611064e-35,0.0,0.0,1.1856081524305372e-20,5.1859368376946015e-30,1.884190083615734e-35,1.0305435353449889e-39,3.340512280940988e-43,8.1450823743030606e-55,5.247506573425231e-46,3.1051394906226091e-35,9.767262060982642e-21,1.1494822061400984e-29,4.9948698652535617e-75,2.9255400005467275e-73,8.132366036476066e-48,6.5051886171899687e-46,1.3975846917190262e-32,2.7181743569732057e-40,5.663046919831752e-32,2.141722594099345e-52,8.2969616506427522e-45,4.0428853194775717e-26,1.7785417489109856e-29,2.1696516769173366e-20,5.9684970562153642e-39,4.528338503928682e-51,1.0255549033052955e-49,9.2102280629105805e-37,8.1925521233951161e-64,2.8606786615874734e-50,1.3842828473270069e-25,2.4733304982088982e-34,2.5601236284574609e-36,2.416049582556186e-38,7.5161753292426755e-25,6.5766765912631205e-55,6.5870292426842788e-51,7.0714108653721769e-46,3.7792219699509648e-40,1.4336638748608467e-35,3.33175981099481e-49,3.6168119199661512e-51,1.6741178017037941e-50,9.9848463858451132e-76,5.3627027248590702e-70,2.2215284447610171e-103,6.5549833363047565e-92,7.0130119652859223e-47,3.8926556304256569e-44,2.6704257063487737e-50,1.6007679676608851e-59,7.6274604553399766e-47,1.0459376973091363e-55,2.6571654007150292e-64,1.2699125876649466e-32,2.8535060677279117e-35,1.1007723514334765e-43,2.3576362041126758e-44,9.6196747127339375e-67,5.6101108837919795e-74,1.6097163746145822e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.467265840853022e-20,2.1696879562060998e-20,2.4672786726567231e-20,4.6624065061112159e-25,3.4071017553857432e-25,4.1000724423567804e-25,1.9758543583479253e-31,9.0193396325650944e-22,6.216356700472962e-32,1.3090567435962095e-25,2.2953628974087828e-35,7.2215725750774531e-36,7.5349228501255315e-22,5.9779647790057084e-33,3.7674614841873537e-22,1.0936114116097956e-25,5.4680467780620435e-26,1.2320117650710841e-31,1.4312404358722675e-35,7.3469725526779182e-42,3.6034196457372655e-45,5.8723027601220844e-23,5.061587798015747e-44,1.8950361789109227e-41,1.1096920513558367e-27,5.0685654432287787e-35,1.9222071857344658e-32,4.9941073607243994e-33,5.0126505113121434e-40,2.6576063654837203e-43,2.9879316253818846e-47,5.1372073898286026e-32,2.9932536638320628e-53,1.3551858454441459e-32,1.574333188687782e-36,4.0802067807854868e-54,6.7977743712219531e-58,1.3050553728532656e-43,7.6832455327674614e-29,1.3559229122365451e-32,1.5751915366174477e-36,1.0372669484257828e-37
