Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817),S(230),S(4557),S(3474),O2(4921),S(4626),C3H5(74),S(5703),S(2098),S(1922),S(252),S(1733),C3H6O(70),S(9646),S(3263),S(16791),S(16795),S(16798),S(17459),C4H7(362),S(17491),S(5767),S(18324),S(5722),C4H6(2459),C4H6(2460),C4H6(2458)
0.0,0.010384714169992931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.566459649889089e-21,0.010384714169992931,8.2710640858931093e-24,7.9651696932990397e-31,7.7551145730549978e-37,2.5927336166324221e-37,1.1448645654307619e-50,0.0,0.0,8.6920517076425663e-25,3.0947087635549117e-41,6.0493056386121089e-56,1.8809137466937187e-55,5.0224702763493729e-73,3.7752806526519439e-37,1.5271765194697847e-55,3.6548346493913463e-21,1.6651634679708651e-36,2.4389486573529373e-42,3.3425127383368944e-44,6.9205329077762706e-33,5.0594171572215475e-55,4.7310650543669568e-45,4.4634601925510033e-53,9.9075418300660842e-39,8.1212852859904737e-59,2.9703761857752574e-35,2.0610018422795702e-58,3.119353779941597e-21,1.06248875048864e-54,2.005607516011118e-64,1.0458983805822955e-54,3.4972260136342945e-81,3.2302226106938056e-51,3.3215746063030996e-38,1.1298798889661286e-37,3.4391911859521131e-37,1.633101398451372e-38,6.6009362893685e-35,8.1654618944040473e-55,9.9364004621563894e-55,6.9862438218889965e-53,1.7232199656979147e-51,1.9156422985857577e-51,3.3240778198151246e-39,2.1320666312813365e-59,2.3757593923583788e-69,5.9574140118388587e-69,1.5208757362044201e-82,7.3512361115961617e-81,4.3055733107823837e-76,3.8588524010236389e-108,6.247974023009857e-106,9.158427081809728e-68,3.3302361388143314e-52,1.6622418231515367e-66,2.1842579373285768e-56,8.8931283407337679e-74,4.1604532806317043e-53,2.7644977121979853e-70,1.166456767085608e-87,3.7510421452092507e-50,3.2856158224375258e-38,1.5097956476359957e-41,1.44465016263663e-56,4.7851559144151153e-76,9.6269795737329798e-74,1.1275099622287714e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999939,4.351302943381368e-21,3.11935377993828e-21,4.3513029433810715e-21,2.5693206703471358e-24,2.0383043425151136e-24,1.0191521712582682e-24,1.662716257235311e-34,1.2211662068657131e-34,2.7438102627589153e-37,2.3450194524904611e-37,3.7565918419165643e-35,1.1710562256944977e-37,2.145299281059915e-39,2.0037262339161794e-34,2.7652447221613589e-34,2.128551088226837e-34,1.3109423148288366e-34,3.3151900982626083e-36,3.6548346493841843e-21,3.513492071703147e-24,2.9817101234096753e-33,1.4959999703086459e-34,2.902986474711175e-46,2.451622259253654e-52,1.4922566662839982e-37,2.6508746592073179e-49,3.2402847285160206e-36,3.314931138925745e-37,3.2639326455525512e-50,1.4848581651741025e-52,1.030514523025844e-52,7.4347173304140085e-53,2.6853579870207855e-64,3.9335287511831117e-62,6.9906874933102135e-75,1.30244276385558e-65,7.1851027242833361e-77,4.2741306782093987e-72,2.5327836364422199e-82,3.1607507340928437e-82,1.0316717940715301e-71,4.5497905419853775e-52,2.903601360752771e-52,5.3242102495481477e-52,1.8953536660863729e-96,5.1034882658402557e-98,8.5548911020110494e-42,4.8434923861439622e-100,1.0192529831992948e-39,3.9438506113957922e-39,4.9426905091960772e-52,9.6473241113275381e-67,2.3386678984539119e-42,1.9696967520537073e-113,7.7089485753112359e-114,6.0827625293517717e-16,1.0592655078341271e-116,9.9181445543339552e-51,2.0049025570949682e-64,3.1058974975473907e-41,1.7068362071182276e-65,2.1817742006077905e-42,8.5034239991586255e-53,2.1503872242787225e-52,8.2615101129671047e-67,9.7638886356527235e-53,1.1903890973040486e-65,1.0434264614774492e-67,1.3103004302811415e-67,7.8931096749419642e-70,7.129980896900443e-55,2.1633081508333091e-82,2.1300609970453872e-92,5.6439700131233381e-68,1.534061551718421e-68,1.8222549787390905e-69,1.4183416659749729e-83,5.8661629305411435e-77
7.18608701968945e-21,0.010384714169992931,2.3158979443053449e-23,2.2302477742465763e-30,4.6840892021824279e-36,1.5660111045900206e-36,1.3591832132446282e-49,0.0,0.0,2.4337744782701731e-24,1.8692040932706602e-40,7.1817360038869805e-55,2.2330208000798618e-54,1.1235065109113712e-71,2.2802695142153683e-36,1.8130639639235127e-54,1.0233537018301475e-20,1.0057587346548705e-35,1.4731249890428237e-41,2.0188776939546936e-43,4.1800018762945714e-32,6.0065400490537922e-54,2.8575632929456213e-44,5.2990199405945152e-52,5.9841552653600489e-38,9.6415898916799188e-58,1.7941072162086058e-34,2.44682138719326e-57,8.734190583840685e-21,1.2613866445811044e-53,2.3810572430098678e-63,1.2416905574391085e-53,7.8231547037901898e-80,3.8349202864808812e-50,2.0062310621302671e-37,6.824474529358175e-37,2.0772714763294095e-36,9.8639324465826669e-38,3.9869655187793746e-34,9.6940363625591867e-54,1.1796494628662544e-53,8.2940686653037059e-52,2.0458067432642751e-50,2.2742505368119236e-50,2.0077430031017336e-38,2.531189532667867e-58,5.3144787300556766e-68,1.3326496847939753e-67,4.5887385825292513e-81,1.6444421159881432e-79,9.6313952732411852e-75,1.5923662483481168e-106,3.4556941760601361e-104,2.1193844058431813e-66,3.9536563439763445e-51,3.7183684686894319e-65,2.5931510232075796e-55,1.9893572366925248e-72,4.9392901346430793e-52,6.1845180702246858e-69,4.8134164282006528e-86,4.4532372371792257e-49,1.9845119566213006e-37,9.1191657117685654e-41,1.7150886730254601e-55,1.0704202373910797e-74,3.0268764096093973e-72,3.545071722526808e-70,0.88168480800000004,0.0,0.0094599999999999997,0.1088499999999983,1.218364824146826e-20,8.7341905838206524e-21,1.2183648241466479e-20,7.1940978769710111e-24,5.7072521590364632e-24,2.8536260795226841e-24,1.0042806193680326e-33,7.3758438894451828e-34,1.6572613986810025e-36,1.4163917492847593e-36,2.2689814725170574e-34,7.0731796030990112e-37,1.2957607658038571e-38,1.2102506452854512e-33,1.670207812183693e-33,1.2856448572882487e-33,7.918091581647618e-34,2.002374819369522e-35,1.0233537018258219e-20,9.8377778007578962e-24,1.8009529145354564e-32,9.0358398206274823e-34,3.4459450411149913e-45,2.9105659462296639e-51,9.0132302643229444e-37,3.1471183954049412e-48,1.9571319760155311e-35,2.002218407951376e-36,3.8749408368206151e-49,1.7628236137221288e-51,1.2234268418136698e-51,8.8264964154044785e-52,6.0070384027308679e-63,8.7991464752292654e-61,2.8847267677327725e-73,2.9135123649671261e-64,2.9649527571352277e-75,9.5640557722778722e-71,1.0451971378849688e-80,1.3046914966205115e-80,2.3078085607246925e-70,5.4015113352850063e-51,3.4471555503844407e-51,6.3209024130973731e-51,1.4268246067846533e-94,3.8419123400895604e-96,5.1671542254772667e-41,3.6461871172082947e-98,6.156288018667063e-39,2.3820857693162989e-38,5.8679621725169177e-51,2.1580678165162513e-65,1.4125554105058603e-41,2.688719282181669e-111,1.0523040493489681e-111,1.7031735081356872e-15,1.4459421707494244e-114,1.1774821214895939e-49,4.4859759438011419e-63,1.8759620886517236e-40,3.8181243217012662e-64,1.3177916169965704e-41,1.0095264970604736e-51,2.552939712361152e-51,1.8480667662232358e-65,1.1591688587957003e-51,2.6628527950082839e-64,2.3341032572929557e-66,2.9310896505158741e-66,1.7656570619185793e-68,8.4647133208002484e-54,8.9269516566763507e-81,1.6034567521884983e-90,1.2625335159769186e-66,3.6575736179527789e-67,4.0763114972405352e-68,5.8528265981956641e-82,1.3122371835185114e-75
1.642534175929017e-20,0.010384714169992931,5.2934810167585103e-23,5.0977104245712986e-30,2.2551873179302065e-35,7.5396693593276498e-36,1.3344541391462585e-48,0.0,0.0,5.5629130938030274e-24,8.9994130856700852e-40,7.0510711490979617e-54,2.1923930631616075e-53,2.2198595384050996e-70,1.097851613811577e-35,1.780076951121835e-53,2.3390941756144556e-20,4.8422953648662944e-35,7.0924626956058629e-41,9.7200270430718202e-43,2.0124909695778945e-31,5.8972566384585622e-53,1.3757937179700182e-43,5.2026092004311145e-51,2.8811131641834196e-37,9.4661701298103306e-57,8.6378539482396994e-34,2.4023037474818235e-56,1.9963864191655718e-20,1.2384368875725889e-52,2.3377361206667319e-62,1.2190991524433254e-52,1.5457235381720641e-78,3.7651474793782283e-49,9.6591389539773467e-37,3.2856907171176363e-36,1.0001167968963745e-35,4.7490588666011576e-37,1.9195522729495605e-33,9.5176623886737124e-53,1.1581868378659957e-52,8.143165798660786e-51,2.0085851919793918e-49,2.2328726630173894e-49,9.6664182990233653e-38,2.4851369492391379e-57,1.0500514403142908e-66,2.6330912064813568e-66,1.4197634239748699e-79,3.2491405209140702e-78,1.9030014030806782e-73,6.2992425257591379e-105,2.1342894321259695e-102,4.2500402666390657e-65,3.8817232433274899e-50,7.3468694953332029e-64,2.5459710517845782e-54,3.9306346616477426e-71,4.8494243435233874e-51,1.2219960986645221e-67,1.9041395996705444e-84,4.3722147278461558e-48,9.5545708096838463e-37,4.390485743396205e-40,1.6838842293933412e-54,2.1149700076734295e-73,6.7527947611242458e-71,7.9088599969796214e-69,0.88168480800000004,0.0,0.0094599999999999997,0.1088499999999961,2.7848338837643771e-20,1.9963864191559268e-20,2.7848338837635195e-20,1.6443652290214889e-23,1.3045147792055743e-23,6.5225738960496467e-24,4.8351788760088575e-33,3.5511513295299085e-33,7.9790002437222021e-36,6.8193165675500737e-36,1.0924169076285156e-33,3.4054315041759688e-36,6.2385303099772595e-38,5.8268358882294293e-33,8.0413316520187079e-33,6.1898265645522259e-33,3.8122202516444251e-33,9.6405728060312721e-35,2.3390941755936284e-20,2.2486349258823756e-23,8.6708130388155176e-32,4.3503679136024359e-33,3.3830002823494478e-44,2.8576109055216104e-50,4.3394823855052659e-36,3.0898595027534972e-47,9.4227479904024086e-35,9.6398197525994576e-36,3.804439891719996e-48,1.7307506774119801e-50,1.2011677282788263e-50,8.66590652261518e-51,1.1868895611616317e-61,1.7385630651980156e-59,1.1411692215024827e-71,5.7566094640599862e-63,1.1729058250736173e-73,1.8909919508072509e-69,4.1350184058334743e-79,5.1647174512289213e-79,4.5598409166331569e-69,5.3032358610746751e-50,3.3844377672270182e-50,6.2058994735861544e-50,1.128234707823543e-92,3.0379198862058456e-94,2.4877623322587059e-40,2.8831538494445489e-96,2.9639876753585359e-38,1.146871757843757e-37,5.7612000575168942e-50,4.2639783417697323e-64,6.8008462462994455e-41,4.2478455325541727e-109,1.6625108785019955e-109,3.892968018205471e-15,2.2844106628664405e-112,1.1560589292502718e-48,8.864495478255806e-62,9.03194992486431e-40,7.5439702499530251e-63,6.3445993728094354e-41,9.9115910097105164e-51,2.506491347681385e-50,3.6514685041413932e-64,1.1380788592818109e-50,5.261348393442925e-63,4.6117947064859596e-65,5.79133921854398e-65,3.4886408160034339e-67,8.3107057334272499e-53,3.5314132998176346e-79,1.2678050392121476e-88,2.4945534721363837e-65,7.4265175201925321e-66,8.0541046013119527e-67,2.315319998028306e-80,2.5927595463845069e-74
3.490385123849161e-20,0.010384714169992931,1.1248647165749231e-22,1.0832639887186255e-29,9.8489955086665864e-35,3.2927716953557604e-35,1.1803095741200001e-47,0.0,0.0,1.1821190326952816e-23,3.9302801310088852e-39,6.2365926416548082e-53,1.9391468363233779e-52,3.9501214415362439e-69,4.7946064290786872e-35,1.5744579045710647e-52,4.9705751231922008e-20,2.1147576043302513e-34,3.0974647948619664e-40,4.244991177675592e-42,8.7890767928402661e-31,5.2160567124114695e-52,6.0084526206917797e-43,4.6016489200990542e-50,1.2582578124186017e-36,8.372720279401122e-56,3.7723777559400046e-33,2.1248104595701331e-55,4.2423211407353222e-20,1.0953834022100986e-51,2.0677011247152095e-61,1.0782793945219877e-51,2.750532448965211e-77,3.3302303071069927e-48,4.2183997488144684e-36,1.4349474589912548e-35,4.3677728063813506e-35,2.0740387759346305e-36,8.3831890875104112e-33,8.4182646040903562e-52,1.0244031420402734e-51,7.2025379303353234e-50,1.7765708557559177e-48,1.9749505837002179e-48,4.2215788301328938e-37,2.1980755877617159e-56,1.8685104335818352e-65,4.6854451164353186e-65,4.3608164469172967e-78,5.7816719986346193e-77,3.3862893197347587e-72,2.2481549151261125e-103,1.3112124350610481e-100,7.6137863214520481e-64,3.4333402495155862e-49,1.3073361724787319e-62,2.2518825631404861e-53,6.9943543577631259e-70,4.2892609134001158e-50,2.1745090815835089e-66,6.7957384656633732e-83,3.8671744134410597e-47,4.172732092465698e-36,1.9174404725708035e-39,1.4893765313024401e-53,3.7634761256184072e-72,1.264723723955447e-69,1.4812419476913206e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999172,5.9177720030001688e-20,4.2423211406932009e-20,5.9177720029964253e-20,3.4942761116687138e-23,2.7720939058000628e-23,1.3860469529096096e-23,2.1116496466563721e-32,1.5508810826826848e-32,3.4846390333104101e-35,2.9781747043609597e-35,4.7708716392255499e-33,1.4872414064835945e-35,2.7245300876229535e-37,2.5447323170747654e-32,3.5118607971175169e-32,2.7032598820362869e-32,1.6648967399588647e-32,4.2102914250865759e-34,4.9705751231012422e-20,4.7783492174780894e-23,3.7867718566684778e-31,1.8999199622350374e-32,2.9921181581417105e-43,2.5275244846848068e-49,1.8951659661304585e-35,2.7329457386174186e-46,4.1151616050890949e-34,4.2099625470592027e-35,3.3649840003931407e-47,1.5308293741464912e-49,1.0624192531625198e-49,7.6648961837613197e-50,2.112006558952366e-60,3.0936800834249539e-58,4.0727518916496838e-70,1.0243578965791544e-61,4.1860175753909378e-72,3.3695514377134353e-68,1.4759896479462499e-77,1.8457487934503455e-77,8.1139936330616739e-68,4.6906520623049332e-49,2.9934968801184339e-49,5.4890478053293624e-49,8.0654021736131766e-91,2.1717152902734134e-92,1.0864711697424263e-39,2.0610778210089255e-94,1.2944512888852573e-37,5.0086902769878838e-37,5.0957162073564833e-49,7.5875216372106991e-63,2.9701082285517884e-40,6.0773444879131841e-107,2.3785354835591734e-107,8.2725570370200963e-15,3.2682804675572396e-110,1.0225210309675356e-47,1.5774682959360639e-60,3.9444898239482382e-39,1.3424091984318728e-61,2.7708532321286089e-40,8.7666899983841468e-50,2.2169632107728162e-49,6.4975931057969398e-63,1.0066178625925254e-49,9.3622883518664056e-62,8.2064422733535948e-64,1.030537870924175e-63,6.2078499358393732e-66,7.3507251054686476e-52,1.2603363226237966e-77,9.0617403011255362e-87,4.4389246189690665e-64,1.3378331606954608e-64,1.4331848808882006e-65,8.2632126142131883e-79,4.6136770915822879e-73
7.186087019689448e-20,0.010384714169992931,2.3158979480068221e-22,2.2302515460278239e-29,4.1117617474318281e-34,1.3746673655478356e-34,9.9212131621048626e-47,0.0,0.0,2.4337744801588727e-23,1.6408145876015476e-38,5.2422319227848208e-52,1.6299697583226278e-51,6.6624571716360139e-68,2.0016538022257074e-34,1.323426737054333e-51,1.0233537018384204e-19,8.8286967072467969e-34,1.2931305781496451e-39,1.7722002538551832e-41,3.6692665476709407e-30,4.3844099577779117e-51,2.5084106933028024e-42,3.8679631874774181e-49,5.2529786783029207e-36,7.0377758900025836e-55,1.5748934537029262e-32,1.7860312209500802e-54,8.7341905839017975e-20,9.2073575136490594e-51,1.7380273836698627e-60,9.0635880237798178e-51,4.6391750030723539e-76,2.7992592347673141e-47,1.7610988551904821e-35,5.990623171336858e-35,1.8234591669917626e-34,8.658703613701675e-36,3.4998164206343548e-32,7.0760586473139364e-51,8.6107256579848154e-51,6.0541671156410272e-49,1.4933148506092118e-47,1.6600649648616582e-47,1.7624260591368986e-36,1.8476151425862511e-55,3.1515159520304191e-64,7.9026880280082507e-64,1.3545903327997209e-76,9.7516350363228373e-76,5.7114718879402786e-71,7.5960073606319172e-102,8.1445051212157033e-99,1.2883324468872638e-62,2.8859293538344568e-48,2.2050135390133219e-61,1.8928429804929719e-52,1.1797000908168737e-68,3.6053822442916126e-49,3.6676536988748281e-65,2.2961260892186953e-81,3.2505931094038689e-46,1.7420335072294133e-35,8.0049365244238588e-39,1.2519107158680678e-52,6.3476525649890937e-71,2.1844957179511914e-68,2.5584771033857734e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999998296,1.2183648241474503e-19,8.7341905837259481e-20,1.2183648241458883e-19,7.1940978769569651e-23,5.707252158951569e-23,2.8536260795159094e-23,8.8157215955693663e-32,6.4746232284710739e-32,1.4547682009607081e-34,1.2433293134387103e-34,1.991744994576525e-32,6.2089401072964755e-35,1.1374376794271434e-36,1.0623756492234531e-31,1.4661327516652837e-31,1.1285577869672529e-31,6.9506161543586683e-32,1.7577137903625919e-33,1.0233537018004471e-19,9.8377778005996856e-23,1.5809027073761799e-30,7.9317918420639589e-32,2.5150113308569468e-42,2.1245366244295263e-48,7.9119448441857882e-35,2.2972055656038361e-45,1.7179989629455684e-33,1.7575764904195864e-34,2.8284718079571416e-46,1.2867543285332643e-48,8.9302739833585839e-49,6.4428070917638882e-49,3.5622077594841762e-59,5.2179436423929742e-57,1.3760908140988989e-68,1.7277293155276341e-60,1.4143607286127718e-70,5.6988739197383597e-67,4.9885964839397025e-76,6.2532514457976462e-76,1.3685437418969455e-66,3.9427756911872379e-48,2.5162145004008571e-48,4.6138754200897174e-48,5.4563294135430892e-89,1.4691882397660286e-90,4.5358032603694687e-39,1.3943408281136581e-92,5.4040793189220435e-37,2.0910295946257549e-36,4.2832565122133722e-48,1.2797464257860826e-61,1.2399617175240534e-39,8.2260741565914836e-105,3.2194997876795415e-105,1.7031735069349584e-14,4.4238265039146047e-108,8.5949053803626636e-47,2.6606948892536099e-59,1.6467468550563739e-38,2.2641693229012807e-60,1.1567766787832945e-39,7.3689311687564471e-49,1.8634911587909801e-48,1.0959140480732278e-61,8.4612296660144235e-49,1.5790867721196613e-60,1.3841364374205232e-62,1.7381527458650191e-62,1.0470446279011047e-64,6.1787273655598487e-51,4.2583915823588447e-76,6.1284593514078902e-85,7.4868951726462064e-63,2.2697365926973204e-63,2.4172757803256717e-64,2.7919527843365222e-77,7.7816407959037401e-72
1.4577490811370026e-19,0.010384714169992931,4.6979644174056409e-22,4.5242333197910592e-29,1.6797888376577032e-33,5.6159647399827799e-34,8.134009966641432e-46,0.0,0.0,4.9370853784205873e-23,6.7032629800718883e-38,4.297898462952725e-51,1.3363476865483664e-50,1.0943105905911077e-66,8.1774089064759043e-34,1.0850251972061529e-50,2.0759460808914268e-19,3.6068106782188776e-33,5.2828603499505448e-39,7.240016291653788e-41,1.4990151099288458e-29,3.5946041782822647e-50,1.0247676162854617e-41,3.1711899135652826e-48,2.1460131905612303e-35,5.7699938806485931e-54,6.4339536334779982e-32,1.464296302801096e-53,1.7717929470342643e-19,7.5487479749002535e-50,1.4249398563369705e-59,7.4308770620454904e-50,7.6198588784319758e-75,2.2950018448716997e-46,7.1946634511653983e-35,2.4473650347287417e-34,7.4494256781126502e-34,3.5373629523501955e-35,1.4297892040318386e-31,5.8013804114154466e-50,7.0595931324486339e-50,4.9635719783269404e-48,1.2243097366847716e-46,1.3610215543760604e-46,7.2000855129661465e-36,1.5147867960356068e-54,5.1763744099161754e-63,1.2980188816568185e-62,4.258719970401738e-75,1.6017090301499951e-74,9.381109725614776e-70,2.4974010364794484e-100,5.1201282787832346e-97,2.1194510549818914e-61,2.366059244531142e-47,3.6217413585969649e-60,1.5518670362794383e-51,1.937660930899067e-67,2.955910190613125e-48,6.0241534833177522e-64,7.5491579371050766e-80,2.6650326237245261e-45,7.1167752805642924e-35,3.2702777651624214e-38,1.0263920415383377e-51,1.0426038391899305e-69,3.6295723052677102e-67,4.250947964585043e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999996545,2.4715400718434211e-19,1.771792946962424e-19,2.471540071837039e-19,1.4593741407508671e-22,1.1577568665104701e-22,5.7887843327165483e-23,3.6015099215745354e-31,2.6450948504392181e-31,5.9432027785485423e-34,5.0794059325717717e-34,8.1369281932002967e-32,2.536554625972377e-34,4.6468040599047156e-36,4.3401511717210697e-31,5.989630677781525e-31,4.6105267990529736e-31,2.8395534925738146e-31,7.180834362673888e-33,2.0759460807362931e-19,1.9956634966563551e-22,6.4585033952392923e-30,3.2403957752534383e-31,2.0619402708743766e-41,1.7418234842582179e-47,3.2322876290551268e-34,1.8833879139341738e-44,7.0185863323928137e-33,7.1802734489098482e-34,2.3189520774464466e-45,1.0549589412387649e-47,7.3215781640304633e-48,5.2822025194979771e-48,5.850936943047334e-58,8.5704881008376286e-56,4.524285517364026e-67,2.8378005876477984e-59,4.6501086227322218e-69,9.411775196170498e-66,1.6411678976423428e-74,2.0670344696692784e-74,2.2478375965710591e-65,3.2325257234971236e-47,2.0629446709748471e-47,3.7827338272007796e-47,3.5915845405346544e-87,9.6708123259363664e-89,1.8530236306371209e-38,9.1781353169354191e-91,2.2077427334218127e-36,8.5425381822337915e-36,3.5116724721641118e-47,2.1019873472878755e-60,5.0656481958338656e-39,1.0831746561405866e-102,4.2393011721214571e-103,3.455009111280948e-14,5.8251077084302056e-106,7.0466227130350511e-46,4.3702511347825837e-58,6.7274982313080135e-38,3.7189049087591679e-59,4.7258101693426746e-39,6.0414949717785736e-48,1.5278026362253886e-47,1.8000421146632194e-60,6.9370272831492942e-48,2.5936547632450926e-59,2.2734482552165721e-61,2.8549211043293628e-61,1.719773946652872e-63,5.0656939972700041e-50,1.4000659831667094e-74,4.0315052555625279e-83,1.2297247789317261e-61,3.7387934280212279e-62,3.9703827278152893e-63,9.1793299113047498e-76,1.2781368478316018e-70
2.936029839473118e-19,0.010384714169992931,9.4620973823433632e-22,9.1122235038969848e-29,6.7899750597673258e-33,2.270062746569262e-33,6.5871321621214457e-45,0.0,0.0,9.9437071882821468e-23,2.7095660766247788e-37,3.4805496108712315e-50,1.0822090038023341e-49,1.7739246228989959e-65,3.3054394261889153e-33,8.7868153602676694e-50,4.1811308390558629e-19,1.4579305441004148e-32,2.1354166191938859e-38,2.9265303429485127e-40,6.0592587461145675e-29,2.9110036599858497e-49,4.1422745564916236e-41,2.5681118106213593e-47,8.6745284342438375e-35,4.6726906441964488e-53,2.6007069287371798e-31,1.1858251111095788e-52,3.5685407243655922e-19,6.1131718247450224e-49,1.1539532397430354e-58,6.0177169053304416e-49,1.2352119621180513e-73,1.8585519959611907e-45,2.9081979959375373e-34,9.8926407705128926e-34,3.0111769658705779e-33,1.4298586625932034e-34,5.7794365663618662e-31,4.6981082922264686e-49,5.7170415508085861e-49,4.019629276620545e-47,9.9147776693388834e-46,1.1021905404372206e-45,2.9103896805129072e-35,1.2267140646030018e-53,8.3911259683401507e-62,2.1041445426866727e-61,1.3497415098028256e-73,2.5964395132328133e-73,1.5207183122077786e-68,8.1002604446649e-99,3.2450811125221748e-95,3.4384266393653128e-60,1.916096120045193e-46,5.8709988121804555e-59,1.2567421610358388e-50,3.1410318338219779e-66,2.3937727074365372e-47,9.7654295141906989e-63,2.4485498013316313e-78,2.1582125143649901e-44,2.8767143493796203e-34,1.3218985601545376e-37,8.3119888529300404e-51,1.6901057499383824e-68,5.9171189078000393e-66,6.9301180402159828e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999993041,4.9778905672397721e-19,3.5685407240752024e-19,4.9778905672139762e-19,2.9393028468512889e-22,2.3318201676811451e-22,1.1659100839069986e-22,1.4557878933863253e-30,1.069189629858382e-30,2.40233758547213e-33,2.0531770896966366e-33,3.2890764739531789e-31,1.0253159353640833e-33,1.8783124991760695e-35,1.7543584966604674e-30,2.4211044858271246e-30,1.8636486481208928e-30,1.1477929226550494e-30,2.902608061990577e-32,4.1811308384287878e-19,4.0194349297373965e-22,2.610630334743658e-29,1.309819781646876e-30,1.6698054513526413e-40,1.4105738181120084e-46,1.30654233933685e-33,1.5252163627322988e-43,2.8370248126914005e-32,2.9023813327323448e-33,1.8779475155561357e-44,8.5433310273467817e-47,5.9292038349945975e-47,4.2776645630466023e-47,9.4846209233839142e-57,1.3893130537900115e-54,1.4674411572008096e-65,4.600197037968895e-58,1.5082515794423242e-67,1.542340137581829e-64,5.3297477546218463e-73,6.7763967428877685e-73,3.6438428776248746e-64,2.617783138654872e-46,1.670626079944324e-46,3.063355925803329e-46,2.3332348526805485e-85,6.2825408022284808e-87,7.4902177812340736e-38,5.9624784044969068e-89,8.924049123266516e-36,3.4530305183358564e-35,2.8438434142045567e-46,3.4074120708053176e-59,2.047615985581406e-38,1.4074896685622676e-100,5.508596963720503e-101,6.9586803114933006e-14,7.5692124331064958e-104,5.7065377688898354e-45,7.0844070930216564e-57,2.7193623551139737e-37,6.0285051059254603e-58,1.9102480212254764e-38,4.8925592443373588e-47,1.2372541806795489e-46,2.9179458365575494e-59,5.6177845435909769e-47,4.2044261340024627e-58,3.6853575927070046e-60,4.6279501366961993e-60,2.7878276816579874e-62,4.1023303359756415e-49,4.5410804498902022e-73,2.6157781588586054e-81,1.9934368547118946e-60,6.0693925497116596e-61,6.4361614972134404e-62,2.9772936533599408e-74,2.0719149427866849e-69
