Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229)
0.0,0.0013861422279937289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0013861422279937289,1.9227410707809264e-34,9.857949474813667e-44,8.6604755048472656e-41,2.4823794176589455e-43,8.0736072430859431e-49,0.0,0.0,1.6821737025317931e-28,1.5195819425055627e-41,9.1019318351366437e-64,3.0115461001877725e-65,1.1708886182548442e-79,6.2972467751923766e-41,6.4337248489772892e-60,8.7939927834881879e-30,5.1889865839671324e-41,2.1919045936541661e-58,1.0551605907453639e-59,8.2170692701124891e-38,-3.3104003188478943e-74,1.1874806803460498e-59,1.8525424914957161e-57,1.4868555384273337e-45,1.6545657250510913e-71,6.7812000690317303e-37,1.8338957391234126e-69,2.0610914328842176e-29,2.6612877931385774e-63,1.8597427397872466e-85,9.6919196825833606e-66,9.8026046889728527e-100,1.6148793196407307e-49,1.7453296078663285e-44,6.0250020915845933e-42,2.3621287715482609e-41,2.3504490672728485e-45,3.7142049406096511e-36,1.5437990045172699e-61,1.2404013145691478e-68,6.4739942920118933e-59,5.97410831065111e-57,2.0079518550964312e-49,1.6249680250071379e-41,6.5112915476591979e-65,2.4709197545896284e-72,1.6855138084778543e-71,4.8561640046698543e-90,5.6467139628243845e-95,2.1635566188153836e-86,-2.7676899990411649e-143,8.0558441882456639e-124,-6.8648196488616161e-75,7.1193009984193872e-56,8.162904003681017e-64,5.16499017338984e-61,1.1520966753524316e-75,3.6618212503526891e-57,9.5090291222259484e-68,1.7220125365957609e-90,9.0613810517353892e-48,7.5776937374833106e-42,1.2973990195849382e-47,7.4983180561938849e-60,4.9166598079077882e-84,-6.2941596386172948e-102,8.6255257025487573e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.915162613787289e-29,2.0610913924054022e-29,1.9151629031909628e-29,7.2757926759995965e-29,6.2434174680572416e-29,3.1217087260821761e-29,3.9421899116589894e-36,4.2003061957922074e-36,4.1391659822165268e-35,3.5560071228338602e-35,1.0521016000018833e-36,1.7843771412569458e-35,1.5637024062854462e-38,6.5960386565670575e-40,2.3419158978950258e-40,5.8414324999859273e-40,1.114197636372553e-39,4.350112636356988e-39,8.7939916607024092e-30,1.8082789302833247e-30,1.4487757466915246e-38,1.7862246624830175e-36,8.2089685970348854e-45
3.0000000000000002e-15,0.0013861422279937289,6.3175763384555043e-34,3.72655805722794e-43,5.691194638314672e-40,1.6312777385023473e-42,7.612281583098491e-48,0.0,0.0,5.5271421682204653e-28,9.9858241957751178e-41,8.588202730923031e-63,2.8394595971858214e-64,1.4385023684688999e-78,4.1381906397591347e-40,6.0660826938921219e-59,2.889454548913626e-29,3.409905355144325e-40,1.4403957603361148e-57,6.9339044086135962e-59,5.3997879452947809e-37,1.9578648350400724e-72,7.8033943730167805e-59,1.7466826416014021e-56,9.7707646347921395e-45,1.560068035452158e-70,4.4562170388174061e-36,2.0410429173604901e-68,6.7721563179330146e-29,2.5092137823238e-62,1.7534720056744402e-84,9.1380954707781897e-65,1.2043196150760977e-98,1.522600465796525e-48,1.1468902936202281e-43,3.9592867717124309e-41,1.5522811863481578e-40,1.544580670957143e-44,2.4407630512366852e-35,1.4555818524572229e-60,1.1695208849110195e-67,6.1040522244596343e-58,5.6327300894177258e-56,1.8932115825073513e-48,1.0678359959084862e-40,6.139238564010219e-64,3.0357007986019957e-71,2.070773853119557e-70,7.3536184772670997e-89,8.331061475393844e-94,2.6580837793391536e-85,1.4788220265568555e-141,1.4500516900120183e-122,4.0600982709628689e-73,6.7124824521373426e-55,1.0028709807979658e-62,4.8699025332577343e-60,1.4154327568222243e-74,3.4525184483504282e-56,1.1682622116754375e-66,2.6075492711456643e-89,8.5435873719491022e-47,4.979374306840614e-41,8.5257643428984275e-47,7.0697220329396966e-59,6.0403590199558348e-83,3.3628729192136148e-100,1.3061446886254278e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.2926758627612571e-29,6.7721560519294104e-29,6.2926777645566129e-29,2.3906162334851087e-28,2.0514074282377569e-28,1.0257037088969343e-28,2.5905817097743178e-35,2.7602009697594338e-35,2.7200226867550733e-34,2.3368041019093473e-34,6.9138103490426443e-36,1.1725904009541683e-34,1.027575742746574e-37,4.3345391177022368e-39,1.5389730785413675e-39,3.8386551427761938e-39,7.3218697143599769e-39,2.8586452282225765e-38,2.8894538110830612e-29,5.9414879181124995e-30,9.5205231417322532e-38,1.1738046736806394e-35,7.7398828672718371e-44
7e-15,0.0013861422279937289,1.4008529407029704e-33,1.1400303808819772e-42,3.0931290146013398e-39,8.8656340645066301e-42,1.2295333324755947e-46,0.0,0.0,1.2255836999458895e-27,5.4270783749331855e-40,1.3965720444278728e-61,4.5861577420263275e-63,7.2750570047148376e-77,2.2490163046296333e-39,9.797631770231369e-58,6.4070499573750229e-29,1.8532090278493303e-39,7.8282350415901399e-57,3.7683978584786856e-58,2.9346658330622644e-36,3.7776307040284211e-71,4.2407978197472512e-58,2.8211529852400082e-55,5.3101969969009948e-44,2.5197591388197182e-69,2.4218565579454165e-35,7.9153829125710991e-67,1.5016512505241267e-28,4.0527541853136267e-61,2.8321104002036287e-83,1.4759405340954896e-63,6.0915929692937814e-97,2.4592299225594585e-47,6.2316642997019301e-43,2.1517851677448435e-40,8.4371993880829846e-40,8.3944550516337976e-44,1.326500967069294e-34,2.3509842559327072e-59,1.888948180370884e-66,9.858976059736672e-57,9.0977036039121475e-55,3.0578210897464772e-47,5.8034517319040669e-40,9.9161086912024086e-63,1.5354960931429059e-69,1.0474247644278618e-68,1.2144538186970836e-86,1.2676587917551275e-91,1.3444954605138808e-83,5.3991347146965221e-139,8.0730789263375368e-120,7.8341778269897871e-72,1.0841656270192484e-53,5.0726563461192221e-61,7.8664393024311809e-59,7.1594380804722465e-73,5.5755134294379313e-55,5.9098440510631099e-65,4.304673147675785e-87,1.3799181029241569e-45,2.7052872901425051e-40,4.633565303872905e-46,1.1416885705792151e-57,3.0546377340681168e-81,1.2277736133159399e-97,2.1569536544917346e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3953316394383237e-28,1.5016511059571106e-28,1.3953326730219925e-28,5.3009228965091872e-28,4.5487654746056311e-28,2.2743827089227837e-28,1.4079240211843176e-34,1.500108357598018e-34,1.4782708192942222e-33,1.270000182328318e-33,3.7575050400503258e-35,6.3727635961392693e-34,5.5846463819946704e-37,2.3557257623660316e-38,8.3639761374193952e-39,2.0862238525619819e-38,3.9792753652929549e-38,1.5536107642550297e-37,6.4070459474294951e-29,1.3174603672337002e-29,5.1741860651810277e-37,6.3793695300673874e-35,1.2501056744448667e-42
1.5e-14,0.0013861422279937289,2.9390406998117385e-33,3.6243761990853028e-42,1.3684652256777128e-38,3.9221522339827605e-41,1.1435393970736406e-45,0.0,0.0,2.5713226715673405e-27,2.4009394787028184e-39,1.3126234268586532e-60,4.2652143973255241e-62,1.3988720988389538e-75,9.9496455779335415e-39,9.1119654847450865e-57,1.3442236434469394e-28,8.1985937680272512e-39,3.463211887923617e-56,1.6671183045096009e-57,1.2982950412375955e-35,6.7743681024854495e-70,1.875998621338669e-57,2.6237191797815721e-54,2.3492302885173017e-43,2.3434930370157687e-68,1.0714289529346135e-34,1.4102771987142986e-65,3.1505200585501327e-28,3.7691282988117981e-60,2.633898246916409e-82,1.3726518911537981e-62,1.1715675412024878e-95,2.2871291987617664e-46,2.7558341986781936e-42,9.5194893421418768e-40,3.7332695116516153e-39,3.713703154623592e-43,5.8684351985720801e-34,2.1864580385183304e-58,1.7567495885813486e-65,9.1690427181588226e-56,8.4610220032199553e-54,2.8438273847538767e-46,2.5674435424670608e-39,9.2226168799518977e-62,2.9531541712409775e-68,2.014470273260764e-67,4.7645727656489675e-85,4.8777666340269284e-90,2.5858190453926919e-82,4.1010297276479762e-137,6.403844905462577e-118,1.405012085245256e-70,1.0082914653807895e-52,9.756044756447774e-60,7.3171154534245271e-58,1.3769439379495499e-71,5.1841260491464265e-54,1.1367951888049627e-63,1.6878466950290644e-85,1.2833486952666414e-44,1.1961623282022226e-39,2.0498876194157972e-45,1.0615312429529051e-56,5.8729737910582578e-80,9.3242964047447871e-96,8.4613486126875033e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9274572197790676e-28,3.1505194189868198e-28,2.9274617923476075e-28,1.112150973120259e-27,9.5434588089279033e-28,4.7717292789113733e-28,6.2286498355370481e-34,6.6364730163778687e-34,6.5398526136695499e-33,5.618465763390153e-33,1.6623198002182787e-34,2.8193030292050623e-33,2.4706443303787868e-36,1.0421715935057485e-37,3.7002171749295573e-38,9.2294413268832519e-38,1.7604302065309007e-37,6.8731683415603041e-37,1.3442218694493879e-28,2.7640835265017402e-29,2.2890516149178791e-36,2.8222303635597998e-34,1.1626178213847765e-41
3.1e-14,0.0013861422279937289,6.0154047996477954e-33,1.2391441786127244e-41,5.7045289911659848e-38,1.6348176551416319e-40,9.6522872699947251e-45,0.0,0.0,5.2628006363052405e-27,1.0007532592743093e-38,1.1307073122264825e-59,3.5998374130921649e-61,2.3773502090510153e-74,4.1471829197295771e-38,7.6904578303576324e-56,2.7512592029365833e-28,3.4173137881567063e-38,1.4435276506580302e-55,6.9486681600910296e-57,5.411509961903247e-35,1.1592524958108362e-68,7.8184262430718042e-57,2.2144047622594286e-53,9.7919926349716307e-43,1.9780301000615054e-67,4.4658987106811404e-34,2.3084484268579344e-64,6.4482479568882015e-28,3.1811230638895428e-59,2.2229771289386155e-81,1.1585151572570371e-61,1.9919107347779253e-94,1.9303320782718925e-45,1.1478216223960942e-41,3.9678817012873071e-39,1.5566223586785254e-38,1.547932880573412e-42,2.4460615272512207e-33,1.8453646875676516e-57,1.4826811192686338e-64,7.7386738543142404e-55,7.141067300859937e-53,2.4001797566437909e-45,1.0701521843024929e-38,7.7846194298632271e-61,5.0210036847610492e-67,3.4250468031615489e-66,1.6265099020086411e-83,1.6494164639553507e-88,4.3964818882085562e-81,2.8591985533706538e-135,4.381147568750475e-116,2.4046761244908011e-69,8.509915472737008e-52,1.658746649576079e-58,6.1775859974222013e-57,2.3411029567732604e-70,4.373396474056399e-53,1.9334032567117409e-62,5.7553166598852809e-84,1.0831425197800607e-43,4.980469302066318e-39,8.544273840697831e-45,8.9549911656974811e-56,9.9790157743290228e-79,6.4992894027837597e-94,2.8879151262041644e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9916982765592615e-28,6.4482452910867966e-28,5.9917173357730131e-28,2.2762577436135223e-27,1.9532754444748321e-27,9.7663766990547279e-28,2.5962044635875439e-33,2.7661919815809987e-33,2.725909849713267e-32,2.3418618095838331e-32,6.9288340042826145e-34,1.1751282648560286e-32,1.0298048161145599e-35,4.3439400323297559e-37,1.5423099726156985e-37,3.8469807777073483e-37,7.3377688092149113e-37,2.8648512546186894e-36,2.7512518086259797e-28,5.6573298787298608e-29,9.5410968809016119e-36,1.1763523957514938e-33,9.8124108237920114e-41
6.300000000000001e-14,0.0013861422279937289,1.2168087326136459e-32,4.511896699623713e-41,2.3250541906112166e-37,6.6619423141530943e-40,7.901226398122117e-44,0.0,0.0,1.0645756651760526e-26,4.0781238395849768e-38,9.627353931428311e-59,2.9462759677289739e-60,3.8968746893671929e-73,1.6899978384515173e-37,6.2941768025570527e-55,5.5653233782160731e-28,1.3925719353091753e-37,5.8824603000602682e-55,2.8314816642488952e-56,2.205212225396765e-34,1.9157608374494569e-67,3.1851894296259073e-56,1.8123530695812992e-52,3.9902843925002279e-42,1.6191166256006038e-66,1.8198753745338278e-33,3.7164669415522707e-63,1.3043664882937631e-27,2.6035508103173443e-58,1.8193385686489705e-80,9.4818005118827955e-61,3.2678856089915884e-93,1.5798693202502944e-44,4.6704843596574961e-41,1.6169278603572906e-38,6.3476173472802658e-38,6.3078855588846865e-42,9.9677997709358966e-33,1.5103263624947211e-56,1.2134728038843005e-63,6.3337090781835324e-54,5.8445383613954966e-52,1.964406328719435e-44,4.360905008281773e-38,6.3725032820111281e-60,8.2374210508787968e-66,5.6191378560420785e-65,5.3431906666293339e-82,5.3928199134577774e-87,7.2129260941692282e-80,1.9011348517870476e-133,2.8801986264450958e-114,3.9751467359520209e-68,6.9648224056270322e-51,2.7213505419424329e-57,5.059194909556994e-56,3.8407930711340851e-69,3.5761315772228554e-52,3.1739016888018584e-61,1.8863515913502477e-82,8.8649021946236439e-43,2.0252432061011798e-38,3.4818268718761206e-44,7.3221401343781291e-55,1.6350847891961604e-77,4.3195143431934065e-92,9.4831405150375273e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2120139974780987e-27,1.3043654019729553e-27,1.2120217641739459e-27,4.6044288995902315e-27,3.9510981591730725e-27,1.9755488663354917e-27,1.0579634065185664e-32,1.1272340279783064e-32,1.1108114763425074e-31,9.5431143639543829e-32,2.8235345906209622e-33,4.7886612277744138e-32,4.1964891123473243e-35,1.7701693053423753e-36,6.2849579597222611e-37,1.5676569317508053e-36,2.990172544809168e-36,1.1674386653519925e-35,5.5652932461548771e-28,1.1443822717950201e-28,3.8879938148017283e-35,4.793681836357622e-33,8.0308166226951175e-40
1.2700000000000001e-13,0.0013861422279937289,2.4473269689119668e-32,1.7134677943997894e-40,9.3860729544840785e-37,2.6883719861154824e-39,6.3901452471282734e-43,0.0,0.0,2.1411669026585022e-26,1.6457073029047264e-37,8.3865403455670391e-58,2.3820077183413047e-59,6.2955914438720549e-72,6.8198913781171576e-37,5.0886325469354401e-54,1.1193423954112818e-27,5.619641256401541e-37,2.3738440911281414e-54,1.1425192990267216e-55,8.8989680097874451e-34,3.1143352465234614e-66,1.2846734918614443e-55,1.4652208140878616e-51,1.6102554827043285e-41,1.3093549181746286e-65,7.3439988814373277e-33,5.9627542659692394e-62,2.6234343254362193e-27,2.104873023904862e-57,1.4708191291706571e-79,7.665803240412719e-60,5.288495302436524e-92,1.2772858687419013e-43,1.8791688746601066e-40,6.5249906999045993e-38,2.5649950784705071e-37,2.5454968367179605e-41,4.0224305852188007e-32,1.2210590363298901e-55,9.810322881580144e-63,5.1207068072154318e-53,4.7251223333278562e-51,1.5881631130681229e-43,1.7598035626004007e-37,5.1539946673948863e-59,1.3331040342499315e-64,9.0938411862193109e-64,1.7302146801160848e-80,1.7421804289659059e-85,1.1673341584968812e-78,1.2406658234907955e-131,1.8657289143693225e-112,6.466112658101287e-67,5.6307768815556719e-50,4.4041760465129032e-56,4.0953530832719533e-55,6.2157427037672302e-68,2.8859839235418318e-51,5.1428421963607233e-60,6.0806198101710612e-81,7.1670313302749908e-42,8.1380979000130987e-38,1.4050655832375836e-43,5.9084694620550197e-54,2.6394852175406309e-76,2.8162880858288268e-90,3.0682948067286614e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.4376861712001932e-27,2.6234299417030878e-27,2.4377175130286357e-27,9.2606016776789648e-27,7.9465979440164446e-27,3.9732981114798449e-27,4.2693282820331322e-32,4.5488648196910976e-32,4.4825330114486193e-31,3.8509976801589392e-31,1.139421520637652e-32,1.9324007535432917e-31,1.6934557841173487e-34,7.1433539892889991e-36,2.5362332689651378e-36,6.3261348600725824e-36,1.206663275334598e-35,4.7111123189603098e-35,1.1193302358882378e-27,2.3016808935414655e-28,1.5689369364662482e-34,1.9344527707491226e-32,6.4925657084585053e-39
2.55e-13,0.0013861422279937289,4.9082903677026412e-32,6.6688693964151979e-40,3.7733201765509628e-36,1.0799618028233073e-38,5.1415745188224648e-42,0.0,0.0,4.2943495151857455e-26,6.6111805113942394e-37,7.712996692263887e-57,1.9153104614133275e-58,1.0092719387848544e-70,2.7396943544491635e-36,4.0914942778623184e-53,2.2449514008353062e-27,2.257524882155141e-36,9.5363150317217605e-54,4.5888641087880833e-55,3.5748695655434632e-33,5.0246821466237346e-65,5.1552556504519344e-55,1.1780946360162489e-50,6.4687252706186871e-41,1.0533497833060206e-64,2.9502346234665651e-32,9.5672108503094328e-61,5.2615078089173946e-27,1.6923966119168658e-56,1.182516743762628e-78,6.1637913679098863e-59,8.5071891835650441e-91,1.0270191587867676e-42,7.504571726787138e-40,2.6212017515520817e-37,1.0331511228123754e-36,1.0225678189075471e-40,1.61588001850408e-31,9.8180428807667356e-55,7.8876270375824722e-62,4.1174663730845097e-52,3.7992274873631147e-50,1.2769656649899159e-42,7.0693807283097409e-37,4.1473250110566897e-58,2.1445343569240915e-63,1.4629387132605216e-62,5.5678024461640455e-79,5.5999341636601771e-84,1.8779586522187731e-77,8.0412054942209236e-130,1.2008813987822158e-110,1.0445217260070165e-65,4.5273223626910475e-49,7.0851401606775835e-55,3.301058092782585e-54,9.9990946337766032e-67,2.3121700053893849e-50,8.2933924619893312e-59,1.9391438089097345e-79,5.7627073691783315e-41,3.2417330172399737e-37,5.6443961788163563e-43,4.7327562197276808e-53,4.2248314575346845e-75,1.8219475237131032e-88,9.857436330647007e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.888965856661037e-27,5.2614901989652999e-27,4.8890917615047834e-27,1.857226914779075e-26,1.5937014977969792e-26,7.9685040323356383e-27,1.715060344699918e-31,1.8273551390059526e-31,1.8006604387541311e-30,1.5469688312115554e-30,4.5772968083026879e-32,7.7625679639997788e-31,6.8028584035231716e-34,2.8695840675798652e-35,1.0188374004990178e-35,2.5412964580081343e-35,4.8473885570400134e-35,1.8925365530784313e-34,2.244902554275076e-27,4.6162783526177786e-28,6.3024205855533353e-34,7.7710200250842565e-32,5.2201886643245743e-38
5.11e-13,0.0013861422279937289,9.8299248875925207e-32,2.6302533020144111e-39,1.5146624756722299e-35,4.3288706230289688e-38,4.1289361340213266e-41,0.0,0.0,8.600715290463833e-26,2.6500861683187267e-36,7.7409703652882669e-56,1.5360885121001782e-57,1.6079637763947969e-69,1.0981952188544522e-35,3.2811701798378474e-52,4.4961249735385907e-27,9.0491668381301945e-36,3.8226578809630961e-53,1.8387246180904205e-54,1.4329447755747416e-32,8.0812805279823024e-64,2.0620280766035952e-54,9.4475563876779708e-50,2.5929532697445771e-40,8.4564625041199392e-64,1.1825856503237558e-31,1.5378861854693563e-59,1.0537406024392125e-26,1.3571871925715121e-55,9.4817478409351248e-78,4.9432613143119997e-58,1.3645430760060993e-89,8.236534750211191e-42,2.9731266343425801e-39,1.0506781418188688e-36,4.1627853643790304e-36,4.0988250578051898e-40,6.4770665341221118e-31,7.8738389236220076e-54,6.3249575849632243e-61,3.3022919972179822e-51,3.0468066643537734e-49,1.0240768887012493e-41,2.8336347707663457e-36,3.3311987868948928e-57,3.4400452442738156e-62,2.3468043314330733e-61,1.7864149709723003e-77,1.7958474097509295e-82,3.0127347744589298e-76,5.2113289566884189e-128,7.7061531838596127e-109,1.6840202797476828e-64,3.6305526170846852e-48,1.1366040793594734e-53,2.6601467790233853e-53,1.6039439737748809e-65,1.8411511694098995e-49,1.3366876691900563e-57,6.1117972762556702e-78,4.6215345924642983e-40,1.2778912480806605e-36,2.2624939075712927e-42,3.7671348194734483e-52,6.7099206008141473e-74,1.1762904925621408e-86,3.152082852924165e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.7912665932938896e-27,1.0537335439061746e-26,9.7917712624934881e-27,3.7192892138838588e-26,3.1915519242725603e-26,1.5957745767729054e-26,6.8745972249853077e-31,7.3247188222740492e-31,7.2173309710198431e-30,6.2004944352265197e-30,1.8347907005978625e-31,3.1113580801187024e-30,2.7268089789843844e-33,1.1502193165543896e-34,4.0837993085368597e-35,1.0186318362113103e-34,1.9430297610900483e-34,7.5860212514314505e-34,4.4959291806014385e-27,9.2454741328954086e-28,2.5260347302657251e-33,3.1149133159483425e-31,4.1861135760545013e-37
