Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87)
0.0,0.006830102761067732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.006830102761067732,2.5092886049834985e-22,8.8460413777179313e-30,2.7597032050517052e-29,1.3491379540885448e-30,1.5712233680845455e-38,0.0,0.0,1.3508000169594725e-21,3.619805795813976e-33,1.2442155657155414e-45,1.1476444396460334e-45,2.4615862498568438e-57,1.3621413881819555e-29,3.2425332261353918e-44,5.5628535283511764e-19,2.8738146059161984e-29,2.9783735636411791e-38,1.6237638422102703e-39,3.9286856963883951e-26,6.1544187684181056e-53,1.3373230425137765e-40,2.4534164661779303e-41,6.4169917138995541e-32,3.0740015623451447e-49,3.9135807764234482e-27,3.5170093715675346e-48,6.2846358895722133e-19,7.8917538660785272e-45,2.2239674351435774e-57,2.6528423180657235e-45,1.5570355783450229e-69,3.163041517881443e-38,3.0704092069243656e-31,1.9652564810408618e-30,1.3741487138568739e-29,1.1758511750473987e-31,1.1796656604251056e-26,1.8343208645689488e-43,6.9276658068682567e-46,1.572937045238545e-41,2.5971750246702435e-40,6.8567875895651549e-38,4.4288981402323748e-31,5.2808825950875252e-48,7.9036165387711568e-54,2.5532787393953318e-53,3.6003571224588847e-67,2.4887064090343504e-67,1.3485336275586294e-61,6.0392973876162695e-100,8.6864645988953883e-89,2.6565781216229275e-53,2.8606703917093434e-40,4.6714940201267765e-49,9.2546875149464717e-45,3.8069740760343794e-57,2.5362137982979645e-41,1.3624640245675683e-52,5.8538632230286424e-68,5.6197326842604441e-37,1.5416416354374389e-30,1.7584785471142678e-34,1.0476991657182654e-44,4.90958928766178e-61,8.398557799569344e-81,1.3216015471673446e-63,0.88168480800000004,0.0,0.0094599999999999979,0.10885,8.0172339641452424e-19,6.2846356318045015e-19,8.0172341527198928e-19,7.2097124583942217e-22,5.8716871002192646e-22,2.9358435610602428e-22,2.5237898413707665e-26,2.0204661590263684e-26,7.7576421667613892e-29,6.4910763509884386e-29,5.9312466243470675e-27,3.2124528121446981e-29,2.7181832473402297e-31,8.4552533553367263e-28,6.4716906767776887e-28,7.1131746180166596e-28,5.7593415752199547e-28,2.8311679258338386e-28,5.5628533682157551e-19
3.0000000000000002e-15,0.006830102761067732,6.1964614582507686e-22,2.2905247509725463e-29,1.3854860735239772e-28,6.7732628716929788e-30,1.3275251257102382e-37,0.0,0.0,3.3356547375022038e-21,1.8172923153481533e-32,1.0512430065457965e-44,9.696503731371861e-45,3.1246830031778305e-56,6.8385093311947406e-29,2.7396108066606252e-43,1.3736842569112129e-18,1.4427722434157894e-28,1.4952746056416638e-37,8.1519543924872039e-39,1.9723605395390358e-25,2.2396358664574208e-51,6.7139671377452716e-40,2.072886331441074e-40,3.2215917008084041e-31,2.5972538776288444e-48,1.9647772930544151e-26,2.9715715569981341e-47,1.551920279100395e-18,6.6677264431014863e-44,1.8790405376751476e-56,2.2413810724265181e-44,1.9764852392053858e-68,2.6724473279644601e-37,1.5414391141492134e-30,9.8663896299285764e-30,6.8988074083342201e-29,5.903248441388095e-31,5.922403056684178e-26,1.5498139861205281e-42,5.8531700764003481e-45,1.3289705980916493e-40,2.1943466628455602e-39,5.7932655021359056e-37,2.2234770269755142e-30,4.4618495973353203e-47,1.0032752814065386e-52,3.2411007304426476e-52,6.3921896805150019e-66,3.1634680484723043e-66,1.7118112966286263e-60,3.3260782714871896e-98,2.0527632461265504e-87,9.6674741857411054e-52,2.416973169991385e-39,5.9299343730874221e-48,7.8192816209103263e-44,4.8324338125474967e-56,2.1428208193397587e-40,1.7294977703751261e-51,1.0382828192905564e-66,4.7481006404938843e-36,7.7394703525423045e-30,8.8282802926646868e-34,8.8518902908512872e-44,6.2320768214076091e-60,4.6253369792277032e-79,2.3463581580180271e-62,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.9797658694844971e-18,1.5519201496904937e-18,1.9797659641566589e-18,1.7803573838142227e-21,1.4499470489270052e-21,7.249735299611791e-22,1.267045413414372e-25,1.0143563816756811e-25,3.8946507784055382e-28,3.2587836373931263e-28,2.9777278481257077e-26,1.6127815620067037e-28,1.3646461260044513e-30,4.2448823027792138e-27,3.249052832432949e-27,3.5711039612715644e-27,2.8914245482396691e-27,1.4213629738218376e-27,1.3736841765166969e-18
7e-15,0.006830102761067732,1.623408672700369e-21,6.738818237417254e-29,8.5269911891627121e-28,4.1686779810106753e-29,2.0746726134767737e-36,0.0,0.0,8.7389038260240401e-21,1.118452190407939e-31,1.6429165578395665e-43,1.5153688161218953e-43,1.3312873025019356e-54,4.2087494805917768e-28,4.2814779468189382e-42,3.5988258249999882e-18,8.8795010138739997e-28,9.2026215136178064e-37,5.0170904663933717e-38,1.2138836009547539e-24,4.6788655592237492e-50,4.1320849645483181e-39,3.2395088774888215e-39,1.9827193106651016e-30,4.0590255265616442e-47,1.2092166065513662e-25,4.6444418075162375e-46,4.065774532033994e-18,1.0420333375037107e-42,2.936559867825751e-55,3.5028347668187217e-43,8.4213580622761843e-67,4.1765058809603852e-36,9.486004820575024e-30,6.0722413049271325e-29,4.2458980449048566e-28,3.633127191321663e-30,3.6449259808481496e-25,2.4220525436894888e-41,9.1473404575129607e-44,2.076912160267173e-39,3.4293194012917013e-38,9.0535624322094508e-36,1.3684078384893628e-29,6.9733314325132897e-46,4.2747234180842624e-51,1.3809589189959794e-50,7.8521234962861729e-64,1.3600829130936862e-64,7.2936152394626477e-59,7.1920771916723728e-96,7.5983508448389286e-85,2.01965120443128e-50,3.7772389981390482e-38,2.5266013993225723e-46,1.2220109642205141e-42,2.0587293216440144e-54,3.3486347626998826e-39,7.3690689238741508e-50,1.2649129810194369e-64,7.4203405656414528e-35,4.762768393714276e-29,5.4333405448085309e-33,1.3832956008216875e-42,2.6550762959381389e-58,1.0001487507997725e-76,2.8808816105022073e-60,0.88168480800000004,0.0,0.0094599999999999875,0.10885,5.1866588668261986e-18,4.0657737355847153e-18,5.1866594494830895e-18,4.6642408025515016e-21,3.7986203986794211e-21,1.8993102331750388e-21,7.7979926365570814e-25,6.2428251955796974e-25,2.3969465384119721e-27,2.005605305069442e-27,1.8326340165371256e-25,9.9257979156922208e-28,8.3988435949898747e-30,2.6125007483621978e-26,1.9996202318539022e-26,2.1978256997777286e-26,1.7795190159829388e-26,8.7477640581956374e-27,3.5988253302142473e-18
1.5e-14,0.006830102761067732,3.6310714672497778e-21,1.8297250469533796e-28,4.0472711119841146e-27,1.9786861782571331e-28,2.0509022906239367e-35,0.0,0.0,1.9545545406887744e-20,5.3086255784346459e-31,1.6241344645792902e-42,1.4980002777109873e-42,2.7031734533940628e-53,1.9976341610860468e-27,4.2323912262970574e-41,8.0491094197247429e-18,4.21453752234072e-27,4.3679337262870801e-36,2.3812897299122173e-37,5.7615366715534769e-24,1.091574508415411e-48,1.9612557371119061e-38,3.2023540629206507e-38,9.4107128405412424e-30,4.0126174027100223e-46,5.7393861911853846e-25,4.5919415707043549e-45,9.0934827368940118e-18,1.030082577643963e-41,2.9028970690987319e-54,3.4626633106987212e-42,1.7101011839748228e-65,4.1286084495865406e-35,4.5017804589761859e-29,2.8821086199753295e-28,2.0152986807834006e-27,1.7244068863794587e-29,1.7300156179149637e-24,2.394276095103742e-40,9.0424275644731043e-43,2.0530841641674688e-38,3.3899747504830445e-37,8.9494632804949047e-35,6.4947561507244876e-29,6.8939256464793227e-45,8.6805064377388983e-50,2.80426022720405e-49,3.2414966484709758e-62,2.8010520879508749e-63,1.4810795808783124e-57,7.7506806436404708e-94,6.3325024347120739e-83,4.7118307225159148e-49,3.7339017633164912e-37,5.1306465151179652e-45,1.2080165011092388e-41,4.1797471502369771e-53,3.3099522449371814e-38,1.4964323850142205e-48,5.1565320942704e-63,7.3352412831799798e-34,2.260189317909593e-28,2.5788634306102461e-32,1.3673006785011024e-41,5.3906972763204873e-57,1.0777790003949422e-74,1.1883114154627347e-58,0.88168480800000004,0.0,0.0094599999999999702,0.10885,1.1600443140466179e-17,9.0934789566556012e-18,1.1600445905967778e-17,1.0432003062968284e-20,8.4959627384288291e-21,4.2479815298090121e-21,3.7012117230520623e-24,2.9630721560440907e-24,1.1376744434329346e-26,9.5193070020084068e-27,8.6983530876822297e-25,4.7111309825966273e-27,3.9865418963023445e-29,1.239988808326435e-25,9.4909312080591503e-26,1.0431687292467294e-25,8.4462508045959576e-26,4.1520321842129789e-26,8.0491070712900975e-18
3.1e-14,0.006830102761067732,7.6469480191906033e-21,5.2062318575027509e-28,1.7501788232146774e-26,8.556989071047425e-28,1.7994192774244525e-34,0.0,0.0,4.115940218409567e-20,2.2956128178698834e-30,1.4250549349245745e-41,1.3143055469755122e-41,4.7792714700553466e-52,8.6383134121407685e-27,3.7133567385911304e-40,1.6949678443362555e-17,1.822468054778472e-26,1.88882905704151e-35,1.0297223686745182e-36,2.4914270589642021e-23,2.011948968756949e-47,8.4810971646618255e-38,2.8096124261886322e-37,4.0694186014042788e-29,3.5207494417385355e-45,2.4818493314071147e-24,4.0301122704794586e-44,1.9148897942584838e-17,9.0375271484581896e-41,2.5469156312663458e-53,3.0380030493454316e-41,3.024013239575544e-64,3.6222765934265872e-34,1.9461432487013505e-28,1.2462933080971893e-27,8.7149766274394189e-27,7.4566774889511302e-29,7.4810045416231976e-24,2.1006431342241652e-39,7.9334511132086304e-42,1.8012780478876313e-37,2.9742007199014756e-36,7.8514336058249213e-34,2.8083097555417119e-28,6.0494392076829842e-44,1.5349778418093061e-48,4.9587974748298654e-48,1.1510252084639307e-60,5.0905953086840897e-62,2.6189817363842393e-56,5.7969300173148083e-92,4.5065847653201765e-81,8.6846877031218758e-48,3.2759441765867996e-36,9.0724755336115021e-44,1.0599001355403181e-40,7.3881533942752621e-52,2.9035354555782865e-37,2.6462379463301706e-47,1.7865504303903374e-61,6.4356475097115977e-33,9.7702215255227317e-28,1.1151632538713637e-31,1.1993880400553801e-40,9.5293858559622839e-56,8.0602378212899881e-73,4.2126385141113658e-57,0.88168480800000004,0.0,0.0094599999999999389,0.10885,2.4428004803583593e-17,1.9148881595940801e-17,2.442801676226361e-17,2.1967509275860298e-20,1.7890629979129075e-20,8.9453156840107883e-21,1.6004916899563756e-23,1.281302319678832e-23,4.9195413988095117e-26,4.116350660447535e-26,3.7613771807431173e-24,2.0371921086817821e-26,1.7239988026496233e-28,5.3620112666994652e-25,4.1041072942737169e-25,4.5109130760063112e-25,3.6523629323334119e-25,1.7954579451439556e-25,1.6949668288165375e-17
6.300000000000001e-14,0.006830102761067732,1.5680904971613973e-20,1.6219185017742414e-27,7.2674626416661326e-26,3.5536051117093957e-27,1.5040039771527992e-33,0.0,0.0,8.438941020203655e-20,9.5321724222156379e-30,1.1912219806117691e-40,1.0985181510136335e-40,8.0124923774076417e-51,3.5868657382585171e-26,3.1036322459444648e-39,3.4750823827387172e-17,7.5672851461540439e-26,7.8430709569556962e-35,4.2755908997440972e-36,1.0344941649746845e-22,3.4410498040226347e-46,3.5216643691596825e-37,2.3482396110447933e-36,1.689710217674778e-28,2.9430091299299445e-44,1.0305178443869506e-23,3.3705447436514895e-43,3.9259723537845581e-17,7.5534719229782932e-40,2.1287389602648566e-52,2.5391358825636818e-40,5.071513791144075e-63,3.0274661204493441e-33,8.0763734644708104e-28,5.174879911227556e-27,3.6189279247348571e-26,3.0961127595743512e-28,3.1062748684198904e-23,1.75569969947959e-38,6.630682484494274e-41,1.5054648805360227e-36,2.4857632495373889e-35,6.5613745070047513e-33,1.1659222270560079e-27,5.0577088211660411e-43,2.5742242805259258e-47,8.3161567242821365e-47,3.8669999085844542e-59,8.9979316406359621e-61,4.3920856684813205e-55,3.9921152690264801e-90,3.0305886596505436e-79,1.4853544384605776e-46,2.7379503567060351e-35,1.5214700619572391e-42,8.8591265168166679e-40,1.2380502349386262e-50,2.4259399635388759e-36,4.4381564558279872e-46,5.7238764860418518e-60,5.378854502350578e-32,4.05400533975976e-27,4.6304035078297982e-31,1.0020588100253637e-39,1.5971118621039025e-54,5.5497466235952047e-71,1.4106228696661067e-55,0.88168480800000004,0.0,0.0094599999999998748,0.10885,5.0083100593257138e-17,3.9259655663194182e-17,5.0083150248154137e-17,4.503844847219452e-20,3.6679894707120339e-20,1.833995023702016e-20,6.6455753873048091e-23,5.3202318533362668e-23,2.0426691910429482e-25,1.7091753029271143e-25,1.5618048473016667e-23,8.4587420534066638e-26,7.1594275307253381e-28,2.2264236724210921e-24,1.7041139927190655e-24,1.8730286954949704e-24,1.5165404833765358e-24,7.4552884531206963e-25,3.4750781660814821e-17
1.2700000000000001e-13,0.006830102761067734,3.1757634248017162e-20,5.5290114142359208e-27,2.9609396791018249e-25,1.4481433401767461e-26,1.2293100675675025e-32,0.0,0.0,1.7085860410484204e-19,3.8835102007146802e-29,9.7385463794227934e-40,8.9785946348200824e-40,1.3108828341171875e-49,1.4612801945599674e-25,2.5366274948911432e-38,7.0353143942398799e-17,3.0828082977015765e-25,3.1953557305117921e-34,1.741783655674359e-35,4.2143815631337219e-22,5.6887809688870637e-45,1.4347819810922672e-36,1.9191711059363692e-35,6.8836381051290241e-28,2.405934841497789e-43,4.1981871471822974e-23,2.7583193502142598e-42,7.9481355463851176e-17,6.1733361409054313e-39,1.7398725812743888e-51,2.0752036126798058e-39,8.3028941510453754e-62,2.4743091051115859e-32,3.2865947995190675e-27,2.1081736106154222e-26,1.4745288217435063e-25,1.261263022853058e-27,1.265452602217032e-22,1.4349125796070758e-37,5.419131546051061e-40,1.2303528329929679e-35,2.0315056764351105e-34,5.3612478747978961e-32,4.7485918457569132e-27,4.1362839737583808e-42,4.214237149618982e-46,1.3614424826389733e-45,1.2671053174633306e-57,1.6238905324791571e-59,7.1900434483807168e-54,2.6491477670716713e-88,1.9868411554417127e-77,2.4556255238644925e-45,2.2376029368044667e-34,2.4907071596086246e-41,7.2413907005915701e-39,2.0236141262695135e-49,1.9813698611779412e-35,7.2666452721127819e-45,1.7162647339529829e-58,4.396065850658094e-31,1.6492666282720809e-26,1.8863648048982034e-30,8.1835151628835262e-39,2.6113237266073708e-53,3.6814338495873811e-69,4.591935146704007e-54,0.88168480800000004,0.0,0.0094599999999997481,0.10885,1.0139318202707057e-16,7.9481078953307293e-17,1.0139338431307532e-16,9.1180033965593895e-20,7.42581451637457e-20,3.7129084328425858e-20,2.7073037902499055e-22,2.1673773170511456e-22,8.3212956199137242e-25,6.9627559338837714e-25,6.3625703789588492e-23,3.4458744353848983e-25,2.9174739178308196e-27,9.0701414403883123e-24,6.942319332169198e-24,7.6304552034948729e-24,6.1781755196226486e-24,3.0373087831859094e-24,7.0352972161746262e-17
2.55e-13,0.006830102761067736,6.3946354106167488e-20,2.0165418057242128e-26,1.1953742386881433e-24,5.8489420394094521e-26,9.9407393095377458e-32,0.0,0.0,3.438337034807297e-19,1.5677279502969541e-28,7.8782447154135402e-39,7.2601106816039171e-39,2.1185806235893008e-48,5.8986321715015253e-25,2.0509832603728355e-37,1.415579015600027e-16,1.2443441085471166e-24,1.2899310353794933e-33,7.0302615456059529e-35,1.701087313671002e-21,9.2520350509158832e-44,5.7921919911412188e-36,1.5516325678464365e-34,2.7785023338821619e-27,1.9462601147057016e-42,1.6945542915146692e-22,2.2359567717956079e-41,1.5992454225754036e-16,4.9911331195757392e-38,1.4068251989890708e-50,1.6778103716923456e-38,1.3436948027571817e-60,2.0004877321220598e-31,1.3236968512414899e-26,8.5094149610101631e-26,5.9536117871402521e-25,5.0905486427736213e-27,5.1078604087946848e-22,1.1601348519007148e-36,4.3813226096810915e-39,9.9467312038844389e-35,1.6423556669639832e-33,4.3325212304316666e-31,1.9157400748791741e-26,3.3485396135201768e-41,6.8194838499052388e-45,2.2031289642335855e-44,4.1024124531230662e-56,3.11593952556846e-58,1.1634301048977767e-52,1.7274949636213958e-86,1.2867667438859938e-75,3.9938133617412727e-44,1.8089666072258718e-33,4.0302180471213225e-40,5.856204725858718e-38,3.2643471343462989e-48,1.5998177329882021e-34,1.176206427462573e-43,4.7486473952725007e-57,3.5542305086030448e-30,6.6387653443630386e-26,7.6141339438199848e-30,6.6064359934983426e-38,4.2150291772906684e-52,2.3988826567834439e-67,1.4674727708199142e-52,0.88168480800000004,0.0,0.0094599999999994931,0.10885,2.0401290431825404e-16,1.5992342616295338e-16,2.0401372081503487e-16,1.8346203350354245e-19,1.4941353019379584e-19,7.4706812508489219e-20,1.0927653920370057e-21,8.7482984396952001e-22,3.3585971422618869e-24,2.8102919342541212e-24,2.5681796566078841e-22,1.3908103688811966e-24,1.1782714147545916e-26,3.6610671363496869e-23,2.8021902050566119e-23,3.0799496412855379e-23,2.4937553631400505e-23,1.2260807290679901e-23,1.4155720818643435e-16
5.11e-13,0.00683010276106774,1.2846483759681515e-19,7.6760807840916511e-26,4.8048659707807592e-24,2.3530884914642412e-25,7.9972782107227257e-31,0.0,0.0,6.8993074933414544e-19,6.3007625583021734e-28,6.343217453961052e-38,5.840137830583116e-38,3.400138195569905e-47,2.3703724368573032e-24,1.6496156719841552e-36,2.8396788634338234e-16,4.9998661645939021e-24,5.1843099611634446e-33,2.8245935112252858e-34,6.8350554253377025e-21,1.4928259172488376e-42,2.3280210364579306e-35,1.2478126511023404e-33,1.1164162979873117e-26,1.56691209284252e-41,6.8088349029421096e-22,1.8075936213870489e-40,3.2081060760956388e-16,4.0139108887035571e-37,1.1316070193550409e-49,1.3493273145476051e-37,2.1623561193192119e-59,1.6088290074682484e-30,5.2955346094525745e-26,3.4191353434816126e-25,2.3936616430368028e-24,2.045089816432247e-26,2.0523679491066646e-21,9.3300644904369732e-36,3.5234363385707251e-38,7.998193792608355e-34,1.3206133530082827e-32,3.480973555815806e-30,7.6897159893926205e-26,2.6999363450238175e-40,1.0972381291656408e-43,3.5449121839257852e-43,1.3203816174343583e-54,6.5840805051634389e-57,1.8717256268813272e-51,1.1177468721486286e-84,8.2837311560094552e-74,6.4442859118325774e-43,1.4545736898855925e-32,6.4837254450878509e-39,4.712083187827311e-37,5.2194820523903677e-47,1.2832041747795945e-33,1.8934994190037961e-42,1.1833543720909773e-55,2.8583704273509809e-29,2.6528867594427195e-25,3.0594269674579709e-29,5.2970903890309934e-37,6.7479455299781867e-51,1.5498792238206197e-65,4.6040982013350049e-51,0.88168480800000004,0.0,0.0094599999999989848,0.10885,4.0925058664037747e-16,3.2080612315588024e-16,4.0925386730387788e-16,3.6802134796960549e-19,2.9971983763475982e-19,1.4986010930317525e-19,4.3907301336505061e-21,3.5150511812004009e-21,1.3493411830439495e-23,1.129072684119198e-23,1.0319078968369968e-21,5.5877220905409562e-24,4.7397064431693837e-26,1.4710413820963414e-22,1.1259356995335934e-22,1.2375418172408285e-22,1.0020075334141195e-22,4.9273024660221554e-23,2.8396510032947294e-16
