Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184)
0.0,0.001866382403872508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001866382403872508,7.732299334465222e-27,7.3482433612355906e-35,1.0215780074249337e-34,9.1218177212593618e-35,1.2568264696423716e-42,0.0,0.0,3.1121432504160612e-23,4.475781309670458e-35,1.9256098321281474e-40,3.7430998670772426e-47,1.1997800621459649e-50,4.0282572284409803e-62,6.5826622950984972e-51,3.1780760302547247e-40,2.5556043194606322e-23,9.7287835473934357e-35,-7.1134373059955889e-85,7.3754457114337714e-83,3.7097825289952231e-55,2.9415778366417565e-53,4.7167448086467812e-35,9.0128535369262663e-48,5.1001438988436374e-37,5.6738207824091587e-63,3.4319150852031838e-52,3.6104883714958304e-31,1.647278467815013e-34,6.194315799173284e-23,2.0850978861232627e-46,2.9704645116491149e-63,1.613794976002697e-59,1.2804984083015168e-46,1.203174087344138e-76,1.2125090194381048e-57,1.107459614226848e-30,7.6290678614604564e-42,8.7202608940637811e-44,9.2747096811668166e-46,6.4523511408615099e-30,1.0278255811936889e-59,4.1279291311158248e-63,1.1092470474460292e-55,5.0660368327223046e-50,4.9068888303713745e-43,5.2267043196338757e-59,5.9470213041960095e-61,2.5881905592846844e-60,3.2347948352880033e-90,4.1885376750740225e-82,-7.2850736741219014e-118,-5.6029496838209259e-111,1.0790932010320189e-56,6.1129930009654691e-54,1.6288781457815217e-62,1.1095249869677074e-71,4.2950224709200013e-59,2.6825171743489901e-70,2.3201714377811935e-76,4.1273611585765603e-40,1.0440350820354425e-42,1.605893659392219e-53,3.2811580058184855e-54,4.2709835195051413e-80,-3.8944563279900808e-91,-1.4658126322191966e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.0807514851744989e-23,6.194316107421844e-23,7.0807515972819594e-23,4.0537417540451661e-30,2.9587322491516677e-30,3.5462560587974981e-30,6.4363900024071989e-39,2.4033568537040242e-24,1.9996239981284881e-39,1.056859836855487e-30,2.8303587444445752e-45,8.7932105471820443e-46,2.0060469082136267e-24,1.8086626974516016e-40,1.0030234540072091e-24,8.8214549363566911e-31,4.4107274344389137e-31,3.6997781394768649e-39,1.626952274248917e-45,3.6879258188834718e-54,7.3060142415582278e-60,1.6069069418518319e-25,3.7081205800420933e-54,5.3445713661674485e-54,9.1995684138622747e-33,1.5748110617400686e-42,5.8830681749706042e-40,1.5096643778529753e-40,1.8439257703818741e-47,3.6820613490966484e-53,1.6191614539463547e-59,1.6967912744765605e-39
3.0000000000000002e-15,0.001866382403872508,2.5406124595348654e-26,2.5911872741969189e-34,6.7132267446720887e-34,4.4445328945143485e-34,1.185007794395305e-41,0.0,0.0,1.0225613618188231e-22,2.941227727926524e-34,1.2653948760424712e-39,3.5291965501569984e-46,1.131221120985683e-49,3.7980552650990861e-61,4.3257486429039138e-50,2.088439862496058e-39,8.3969852713459424e-23,6.393200501124431e-34,4.2070864618591358e-83,9.0613297658380801e-82,3.4978302165496706e-54,2.7734865079309329e-52,1.5497707835955148e-34,8.4978332236077486e-47,3.3515230705544875e-36,7.0035686713315158e-62,3.2358050605240497e-51,2.3726065519421355e-30,1.0824972282178477e-33,2.0352749722047108e-22,1.9659491403051768e-45,4.4980275695252878e-62,1.9826678957162778e-58,1.5731388529094497e-45,1.4913329669636934e-75,1.1432250939795194e-56,7.2775916148573981e-30,7.1931210980728493e-41,8.2217877715807633e-43,8.7488533215260041e-45,4.2401162641416834e-29,6.7543634886179488e-59,6.2526936837189847e-62,1.3632827741476545e-54,6.2239877745775046e-49,4.6264948592244582e-42,6.4213786915347937e-58,7.3060099228542387e-60,3.1797765858665646e-59,5.8229789198026792e-89,6.343093566278118e-81,3.8923077780264117e-116,1.2798897462564107e-102,1.3267403850521917e-55,7.5129682005891632e-53,2.4673116528962339e-61,1.6801351931858746e-70,6.5037901414120691e-58,4.8284366283016012e-69,3.5128665525351296e-75,3.8915118249655319e-39,9.8433932097052681e-42,1.9729549613102398e-52,4.0310597981702384e-53,5.4164551015495711e-79,1.9694959005194958e-89,9.8415642524438414e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3265324964938217e-22,2.0352751747680344e-22,2.3265325701644356e-22,2.663887368356049e-29,1.9443097273104123e-29,2.3303967778308987e-29,6.0685952577708574e-38,7.8967404709268007e-24,1.8853594719394059e-38,6.9450774999103014e-30,3.4772974065179216e-44,1.080308584187264e-44,6.5912940871883022e-24,1.7053102989609704e-39,3.2956470429396821e-24,5.7969549229372812e-30,2.8984774296572096e-30,3.4883611119783898e-38,1.9988265634411519e-44,5.5845703196206537e-53,1.3150819566292992e-58,5.2798368570662178e-25,4.989661925488957e-53,8.7186970573100918e-53,6.045430548953704e-32,1.4848218379800141e-41,5.5468916807439585e-39,1.4233976403923664e-39,1.7385625425631324e-46,4.523682811324102e-52,2.4518763177362031e-58,1.5998314364060005e-38
7e-15,0.001866382403872508,5.63353082410029e-26,6.8831166322460817e-34,3.6484922257538979e-33,1.9168739819634809e-33,1.913966840615322e-40,0.0,0.0,2.2674187240496251e-22,1.5984933662658825e-33,6.8769384517296863e-39,5.7000110439723242e-45,1.8270923162417379e-48,6.1342002753567862e-60,2.3509472892433231e-49,1.134985946024726e-38,1.8619399872925351e-22,3.4745650804475707e-33,8.1167144846094224e-82,4.5834613142047853e-80,5.6496854326448447e-53,4.4795836640240225e-51,3.4363401832619231e-34,1.37252865601717e-45,1.8214797069473839e-35,3.7419970779320044e-60,5.2263066921437907e-50,1.2894597565677145e-29,5.8831353192679163e-33,4.5129996164141812e-22,3.1753013625457629e-44,7.4259587933744142e-60,1.0028944627338858e-56,7.9544301309443987e-44,9.6328908541458553e-74,1.8464821564862829e-55,3.955212353986303e-29,1.1617978989342384e-39,1.3276879736964476e-41,1.4127880494839609e-43,2.3044103063361877e-28,3.6708855316781355e-58,1.0326143104209182e-59,6.8950530429037386e-53,3.1481778334244765e-47,7.4724853894329821e-41,3.2480174702663472e-56,3.693475947895106e-58,1.6083730158654898e-57,3.2453882715913324e-86,1.0486786556538056e-78,1.4209564839837659e-113,1.2011537132392141e-100,6.7088965935956159e-54,3.7998202341450089e-51,4.0747000901638858e-59,2.7746938753068299e-68,1.0738578918402825e-55,2.6872724576819665e-66,5.7883451887932217e-73,6.2853793229849223e-38,1.5893153096202083e-40,9.9794750572923604e-51,2.0384977491644404e-51,5.3532522757349667e-77,3.0579503808318819e-86,1.6260278766450632e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.1588320625001767e-22,4.5130007173012946e-22,5.1588324628838339e-22,1.4477646264917632e-28,1.056689940398027e-28,1.2665197729047261e-28,9.8016855733084976e-37,1.7510141279502863e-23,3.04513679994792e-37,3.7744935911208666e-29,1.7588626369526314e-42,5.4643430475258314e-43,1.4615459552175243e-23,2.7543308951207103e-38,7.3077297725309429e-24,3.1505148134979552e-29,1.5752573553688549e-29,5.6342149495076503e-37,1.0110312310246606e-42,9.22289499594309e-51,7.3216060866146512e-56,1.1707462806393613e-24,3.3335332145427899e-51,1.9305878253164871e-50,3.285559645914863e-31,2.3982119279573988e-40,8.9590531817431929e-38,2.2989998707345111e-38,2.8081005376911428e-45,2.2881870612316082e-50,4.0493772677034803e-56,2.5839651841325837e-37
1.5e-14,0.001866382403872508,1.1819364067943919e-25,1.8910036331680191e-33,1.6140925416527851e-32,7.6809264778425418e-33,1.7800246422320492e-39,0.0,0.0,4.7571336064931126e-22,7.0717349159782284e-33,3.0422050060766395e-38,5.300860252007965e-44,1.6992283951972781e-47,5.7045792771837289e-59,1.0400568318397896e-48,5.0209153487058029e-38,3.9064222263780895e-22,1.5371472908009831e-32,1.4553628933745748e-80,8.8153777047054339e-79,5.2544586987915079e-52,4.1660716500626025e-50,7.209151865766868e-34,1.2764771608554146e-44,8.0582245868901569e-35,7.7712220943835727e-59,4.8605505044460578e-49,5.7045675671963883e-29,2.6026977493153834e-32,9.4684446400307703e-22,2.9530834644719199e-43,2.9119130383728306e-58,1.928927403649778e-55,1.5290620551701775e-42,3.233240987468156e-72,1.7172660661454297e-54,1.7497855925203313e-28,1.0804936408576606e-38,1.2344023362114589e-40,1.3140774011236279e-42,1.0194706001041096e-27,1.6240039030370145e-57,4.0516208969490401e-58,1.3262490596691274e-51,6.0547724002304474e-46,6.9495446160502377e-40,6.246780489667796e-55,7.0977556347204628e-57,3.0933197346553601e-56,2.5782833310510357e-84,4.1205482178267616e-77,1.0790021113341195e-111,5.3685424447435818e-99,1.2904323021473058e-52,7.3088707652841065e-50,1.5987754577853257e-57,1.0885411867261816e-66,4.2115801648262211e-54,2.1305859004811585e-64,2.2634299907169236e-71,5.8455179311500559e-37,1.4773030724338922e-39,1.9193150241087277e-49,3.9192199587575825e-50,2.7559168166067579e-75,4.6990716402859039e-84,1.6152284438974007e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0823428577625625e-21,9.4684495103515659e-22,1.0823430348922069e-21,6.4049088878665393e-28,4.6747953498191314e-28,5.6030818949408165e-28,9.115729224048915e-36,3.6736875171993886e-23,2.8320279242345107e-36,1.6698322533540517e-28,3.3827494433190692e-41,1.0509351737226852e-41,3.0663734055107198e-23,2.5615741291012736e-37,1.5331867011819305e-23,1.3937846916225436e-28,6.9689229802694833e-29,5.2399011169530337e-36,1.9444713023448944e-41,3.6183179037904546e-49,5.8077093091238534e-54,2.4562710077198929e-24,6.9341716291525803e-50,8.188521570171393e-49,1.45353126764045e-30,2.2303816315462487e-39,8.3320622720839963e-37,2.1381086576353839e-37,2.6116717110259148e-44,4.4009188738268962e-49,1.5887128005866829e-54,2.4031288277844903e-36
3.1e-14,0.001866382403872508,2.4191016614493682e-25,5.6736104429911903e-33,6.7278145048276377e-32,3.0485863205670809e-32,1.5023372144771072e-38,0.0,0.0,9.7365640033065444e-22,2.9476220920567281e-32,1.2679195742470594e-37,4.47349152534098e-43,1.4341431411639642e-46,4.814088651778423e-58,4.3351191045292836e-48,2.0925908575971716e-37,7.9953839796297652e-22,6.4070943039813598e-32,2.4898398449869571e-79,1.4988657674087708e-77,4.4349727344612841e-51,3.5161159656247406e-49,1.4753466990522662e-33,1.0773442653624522e-43,3.3588065639766812e-34,1.5138954645695478e-57,4.1022756031779378e-48,2.3777608404563874e-28,1.0848485322223684e-31,1.9379317628084154e-21,2.4923871056425514e-42,9.9307072990740986e-57,3.2799426804236604e-54,2.5971211821506144e-41,1.4859519994384463e-70,1.4493752685228011e-53,7.2934072347652761e-28,9.1193455395260848e-38,1.0412167149286466e-39,1.1093763588988994e-41,4.2493262079056073e-27,6.7691338701358027e-57,1.3834769045841107e-56,2.2555066733445226e-50,1.0294482954390141e-44,5.8653928464042523e-39,1.0620907404519192e-53,1.2048447362839511e-55,5.2593306621061851e-55,1.7692741103874403e-82,1.410962520713162e-75,7.518955475566812e-110,1.9290474408919089e-97,2.1945985943554086e-51,1.2429934049690351e-48,5.459249493337746e-56,3.7157924951868803e-65,1.436780608938316e-52,1.4561948339347922e-62,7.6766544898318156e-70,4.9336031179824331e-36,1.2455336552871946e-38,3.2632697798900961e-48,6.6590390807851293e-49,1.6389512922973321e-73,6.5643068127677019e-82,1.9047632394878677e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.2152611140337312e-21,1.9379337928395832e-21,2.2152618523401441e-21,2.669675730131976e-27,1.9485350844157967e-27,2.3354605148842459e-27,7.693623854709133e-35,7.519007206038701e-23,2.3902163340191811e-35,6.9601204744185822e-28,5.7514221612827664e-40,1.7868227309050991e-40,6.276005735449028e-23,2.1619556779864922e-36,3.1380028611663387e-23,5.8095116073266144e-28,2.9047554003667555e-28,4.4224274770703307e-35,3.3060170768064844e-40,1.2351864282418523e-47,3.9732489610314855e-52,5.027318610734852e-24,1.226126846988568e-48,2.909462063326184e-47,6.0585680495946656e-30,1.8824377414220352e-38,7.0322052073716194e-36,1.8045530354491651e-36,2.2043885042535965e-43,7.4830098199342963e-48,5.4238333985220075e-53,2.0282247938901402e-35
6.300000000000001e-14,0.001866382403872508,4.8934265943134467e-25,1.874770335521896e-32,2.7416181263177207e-31,1.2120296194697613e-31,1.2295798154606783e-37,0.0,0.0,1.9695427324630604e-21,1.2011721618316966e-31,5.1658322260475864e-37,3.6606132861944624e-42,1.1737631448364076e-45,3.9391431854186021e-57,1.7665696679956507e-47,8.5256856654057327e-37,1.6173296586470356e-21,2.6109236848958994e-31,4.112708346017158e-78,2.4592185386677794e-76,3.6301304817220796e-50,2.8776807078187566e-48,2.9836866094846686e-33,8.817468027636792e-43,1.3687308069643903e-33,3.1117727326598993e-56,3.357454002335015e-47,9.6894885220740135e-28,4.4208078952100957e-31,3.9200995367708815e-21,2.0398654893910025e-41,3.2558485127125065e-55,5.382186238122343e-53,4.2522710034468622e-40,8.5747615759850995e-69,1.1862435386222426e-52,2.9721006659404275e-27,7.4636808931901663e-37,8.511736820336388e-39,9.0845193784322328e-41,1.7316200378359641e-26,2.7584560775965937e-56,4.5471445269707536e-55,3.7023349213642584e-49,1.6889229984042209e-43,4.800484838394119e-38,1.7424657875688132e-52,1.9703727666703512e-54,8.6284678166611992e-54,1.1701818465681394e-80,4.6633985338935149e-74,4.9945628078500318e-108,6.6169491043266938e-96,3.6023681094304644e-50,2.0403254243980826e-47,1.7943389998112696e-54,1.2205150579384001e-63,4.713685464635479e-51,9.5543773835628746e-61,2.4895381034052716e-68,4.0378772733552185e-35,1.0172727244738657e-37,5.3537524949567526e-47,1.0910097444892355e-47,1.0358096169946724e-71,8.7101948634555644e-80,2.3955568859849031e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.4810934395682756e-21,3.9201078092329023e-21,4.4810964482012909e-21,1.0879061339082707e-26,7.9403798768075041e-27,9.5171177957362268e-27,6.2967507766248079e-34,1.5209538226726046e-22,1.9562441432294158e-34,2.8362622877487607e-27,9.4357833190249913e-39,2.9314631048895038e-39,1.2695180114082774e-22,1.7694283795466928e-35,6.3475900303173247e-23,2.3673872309637793e-27,1.1836932854094793e-27,3.6194491074938392e-34,5.4238052819250322e-39,4.0575377431581019e-46,2.6119689167430538e-50,1.0169406412129879e-23,2.0520285689689388e-47,9.7553315373140276e-46,2.4688972208644805e-29,1.5406712669623221e-37,5.7554075599976614e-35,1.4769163335565172e-35,1.8044031027413667e-42,1.2278180395919574e-46,1.7819956705115828e-51,1.6599715568720115e-34
1.2700000000000001e-13,0.001866382403872508,9.8420541543310755e-25,6.6931308853003414e-32,1.1063645858554144e-30,4.8306524730578462e-31,9.9408607980442859e-37,0.0,0.0,3.9613164077998349e-21,4.8472739278356959e-31,2.0838336390156348e-36,2.9584014372907918e-41,9.4895381029882207e-45,3.1832147874518984e-56,7.1287870073372459e-47,3.4391005508164525e-36,3.2529078201620336e-21,1.0536240984739751e-30,6.6800445966698003e-77,3.980491056694337e-75,2.9354379661875244e-49,2.3264306554987319e-47,5.9982754239296785e-33,7.1287164127367004e-42,5.523438648468612e-33,7.0493604552604679e-55,2.714371060172688e-46,3.9101337364019446e-27,1.7839887560361534e-30,7.884407790292603e-21,1.6491580149393355e-40,1.050144121511732e-53,8.7139458137371535e-52,6.8541769150619496e-39,5.3494645710493529e-67,9.5906613870764622e-52,1.1993750549476461e-26,6.0342112715605811e-36,6.8653581320045487e-38,7.3525186439812321e-40,6.9878417175217592e-26,1.113158416931479e-55,1.4739531978159e-53,5.9980470138757939e-48,2.7333282858268564e-42,3.881054705376717e-37,2.8199464418769135e-51,3.1686032721253392e-53,1.3964050575310877e-52,7.6716170343213059e-79,1.5284354981139041e-72,3.2530029804488391e-106,2.2657874647244051e-94,5.8361246073593251e-49,3.3054581561571018e-46,5.816460776259447e-53,3.9512813661457523e-62,1.5223487512160109e-49,6.1649609164679441e-59,7.8602102453129438e-67,3.264521939740974e-34,8.1902302101638148e-37,8.6644347537876191e-46,1.7609058499841851e-46,6.6246843642649018e-70,1.1302929676697208e-77,3.0493120770268898e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.0127413426692704e-21,7.8844411732131951e-21,9.012753483817604e-21,4.3901832022102195e-26,3.2042970822398099e-26,3.8405787087058747e-26,5.0906856955139758e-33,3.059016685328958e-22,1.5815517750399166e-33,1.1445402141207994e-26,1.5270551110198469e-37,4.7441857667093661e-38,2.5533167757174258e-22,1.4305204232270202e-34,1.2766583770749591e-22,9.5533140352357765e-27,4.7766543491168724e-27,2.9261370146300577e-33,8.7775520236563259e-38,1.3138146147419334e-44,1.6918795782711345e-48,2.0453552395976511e-23,3.3544359205042e-46,3.1918254517195648e-44,9.9630990039577678e-29,1.2455964813902515e-36,4.6530085324630676e-34,1.1940349774387007e-34,1.4591938801459451e-41,1.9875619071924467e-45,5.7718974383570849e-50,1.3420182939015519e-33
2.55e-13,0.001866382403872508,1.9739220052108021e-24,2.5143941857095589e-31,4.4445001177743276e-30,1.9284956634395303e-30,7.9930970236512057e-36,0.0,0.0,7.9448678027059467e-21,1.9472612347669575e-30,8.3647086543740384e-36,2.3769517475010496e-40,7.6301107011159698e-44,2.5571197438518047e-55,2.8636993915269776e-46,1.3804423344488536e-35,6.5240467038754049e-21,4.2326345831617262e-30,1.076309392849629e-75,6.4052898725170437e-74,2.3611874746933681e-48,1.8704309748333231e-46,1.2019100624279687e-32,5.7319551316066074e-41,2.2188838271914858e-32,1.7698310149295992e-53,2.1824487914388319e-45,1.5707793234834934e-26,7.1666319016946033e-30,1.5812915121240244e-20,1.3259901684179304e-39,3.3529234628159005e-52,1.4029758704057221e-50,1.0938757690537077e-37,3.3947391733856355e-65,7.7117778304574535e-51,4.8181470651917947e-26,4.8519013633982085e-35,5.4943571148759794e-37,5.9246031723938721e-39,2.8071525770548145e-25,4.471781857258111e-55,4.7528859618616621e-52,9.6694100902455328e-47,4.3972291387213174e-41,3.1205823164255758e-36,4.53646402290755e-50,5.0336250008075587e-52,2.246416297243669e-51,5.0559076129640238e-77,5.0369140078571803e-71,2.1001301785439192e-104,7.9880903192899563e-93,9.408469323219044e-48,5.3286586314909371e-45,1.8756468036046566e-51,1.2709043436684916e-60,4.8731896360242836e-48,3.9373632436119826e-57,2.4090154490648093e-65,2.6248778589882536e-33,6.531176714331029e-36,1.3938869010557866e-44,2.8176144984035852e-45,4.2278752134450824e-68,1.4477288341862848e-75,3.8602960124148612e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.8075970157503555e-20,1.5813049226394777e-20,1.8076018930889669e-20,1.7636285733321463e-25,1.2872349085224446e-25,1.5428409826624165e-25,4.0931004172052821e-32,6.1349690552397431e-22,1.2716297752336561e-32,4.5977191310866187e-26,2.4565840315536509e-36,7.6320218280636831e-37,5.1207698673011483e-22,1.1501984186578448e-33,2.5603848903345571e-22,3.8376521674340952e-26,1.9188239381591039e-26,2.3526405743393643e-32,1.4120025100228743e-36,4.2272927219235212e-43,1.0888591710331997e-46,4.1021725884665516e-23,5.4234600607747125e-45,1.0324835803333142e-42,4.0023896078743413e-28,1.0015409384820248e-35,3.7411570292153509e-33,9.600545621263951e-34,1.1738923393842128e-40,3.1990221618932243e-44,1.8583503100935212e-48,1.0790226759180924e-32
5.11e-13,0.001866382403872508,3.9533194963298995e-24,9.7301299320960952e-31,1.7815597533281058e-29,7.7061278293424733e-30,6.4103596722825941e-35,0.0,0.0,1.5911986769006072e-20,7.8055888295556812e-30,3.3477671687982682e-35,1.9034114686429986e-39,6.1190990591798568e-43,2.0469495333829265e-54,1.1478341665514894e-45,5.5245122004668966e-35,1.3066254714802516e-20,1.6966375744535893e-29,1.7288570914986078e-74,1.0281012904546367e-72,1.8950920495658997e-47,1.4997882923010222e-45,2.4027433831003286e-32,4.5969606217619648e-40,8.8943203516716988e-32,4.8053970565060501e-52,1.7501644993329448e-44,6.2963729874000854e-26,2.8726929747448526e-29,3.1669493090888336e-20,1.0633628607289068e-38,1.0592114877092914e-50,2.2543060271754311e-49,1.7272952863822217e-36,2.151081585885057e-63,6.1851683674143794e-50,1.9313379493453475e-25,3.8911679861889011e-34,4.3655281557394969e-36,4.7718206309982679e-38,1.1252268317403045e-24,1.7924865931825083e-54,1.5311949242150235e-50,1.5576407725183085e-45,7.0541861102190027e-40,2.5026061921612887e-35,7.277193245528623e-49,7.8776367348933383e-51,3.6036363108596469e-50,3.3968075959463237e-75,1.6925203864212417e-69,1.3504650994211816e-102,2.9932252760775792e-91,1.5156354135107216e-46,8.5837580924181834e-44,6.0431105596703941e-50,4.0737457341873115e-59,1.5472818827273345e-46,2.4881021922913561e-55,7.0568703438459541e-64,2.1051024141686943e-32,5.1528775344982459e-35,2.2361212687561204e-43,4.4719091603443682e-44,2.6789785587861207e-66,1.8321264189109875e-73,4.8152039874907107e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.6202159825738667e-20,3.1670030637212905e-20,3.6202355330498531e-20,7.0694273247622221e-25,5.1598374505801154e-25,6.1844104048979782e-25,3.2823867158234515e-31,1.228618045762369e-21,1.0197655891558451e-31,1.842864242895215e-25,3.940748024347027e-35,1.2243022668109899e-35,1.0255098371408703e-21,9.2239149350073863e-33,5.127549012110433e-22,1.5382143690501412e-25,7.691054639599019e-26,1.8865249401166025e-31,2.2649196457857717e-35,1.355968813578412e-41,6.9857114149780766e-45,8.2157598920187134e-23,8.7215605024127135e-44,3.3213013824618105e-41,1.6043434185290207e-27,8.0322364786227059e-35,3.0000965432727025e-32,7.6990788018881202e-33,9.4241759704963031e-40,5.1369239223475626e-43,5.9686476717095336e-47,8.6528656333880121e-32
