Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639)
0.0,0.0017724034099480131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017724034099480131,4.5465942918608128e-28,3.1669501238649583e-36,1.3340486670681076e-34,2.0315789563862559e-36,1.5282606619884215e-42,0.0,0.0,1.105583350482913e-24,1.0236251183806756e-36,5.159592845297703e-54,2.3249161869674818e-55,5.563378236466383e-68,9.2850417171462308e-35,2.9036824808320215e-51,3.8207187302383711e-24,1.192410241143446e-34,1.8797689808360357e-48,6.1976944097272694e-49,4.0422675520153869e-32,4.5694098699337796e-49,1.5854351914898407e-49,1.5199525227663609e-48,3.4368616345845202e-38,1.2112155568100946e-59,1.8543418526302682e-31,2.3295733766310951e-58,6.2534521103327521e-24,7.8864176474013286e-54,3.7912073667957317e-71,4.4620418832292756e-55,9.5103387699028414e-84,4.6083307117142155e-43,1.5779718274185285e-37,1.1508327093253379e-35,4.0355645611615349e-35,5.1308678919760027e-38,6.99839096524248e-31,8.5650722619960574e-52,3.6608905340258743e-57,1.4757371865547735e-49,3.2043993454183206e-48,6.6990662959144122e-43,8.7106833946716624e-36,1.0420286908196175e-55,1.2520925408731601e-62,5.8298596647786584e-62,6.4507696216180991e-78,2.1828240316931688e-80,6.2599072320304108e-73,4.2945316210780195e-116,2.6707275220044453e-104,-7.8869548443184016e-63,2.8446195758551875e-47,1.4155188865395082e-55,3.1820343951118076e-52,2.8917174917142334e-65,1.2840331088197783e-48,3.3178062991648163e-59,1.823901103269774e-78,1.2645561986751907e-41,1.2942126592463592e-35,1.2579157742752846e-40,1.8893242911684429e-51,1.622070438105528e-71,-8.4396487337908945e-90,6.2492566263719867e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8812022414933681e-24,6.253451913521649e-24,6.8812029778681597e-24,4.7770838119317955e-25,4.0079675477644914e-25,2.0039837743175108e-25,1.0194279511049467e-30,9.2686864372387818e-31,2.3271809561315075e-31,1.9467511200916223e-31,2.8290666327412679e-31,9.7130785499410817e-32,1.5607452776706205e-34,1.084320495100611e-33,5.0701010828129199e-34,8.7212669296293096e-34,1.501247355280714e-33,2.2787777902404739e-33,3.8207182909369878e-24,2.7133929407896553e-26,4.8300510781686611e-32,5.7342362974368295e-31,2.3113906270296154e-38,7.6656188878046228e-41,4.067968743407472e-33,1.0292922770118091e-39,2.4860862973584509e-33,3.3646518352863933e-34,1.6074477616770908e-40
3.0000000000000002e-15,0.0017724034099480131,1.4938812161086668e-27,1.1340420232113148e-35,8.7666437743312733e-34,1.3350376910254508e-35,1.4409358629078786e-41,0.0,0.0,3.6326311337828295e-24,6.7266794500395965e-36,4.8650536192057883e-53,2.1921153428895912e-54,6.8349288850551627e-67,6.1015990765692608e-34,2.7377575630430166e-50,1.2553789509752296e-23,7.835838563629064e-34,1.2353183901189166e-47,4.0727669381932758e-48,2.6563471133378069e-31,4.3083006646470562e-48,1.041852836726107e-48,1.4330978513164761e-47,2.2585090216084628e-37,1.1420464532497422e-58,1.2185674775545461e-30,2.2022437468831824e-57,2.0547054526248631e-23,7.4357643132275972e-53,3.5746495923995679e-70,4.2070679961584558e-54,1.1684128296744656e-82,4.3449974645828488e-42,1.036917237351053e-36,7.5626145616966618e-35,2.6519804639916126e-34,3.3717125663104265e-37,4.5989423997529128e-30,8.0756394399048347e-51,3.4516959695872418e-56,1.3914092229514877e-48,3.0212903817244126e-47,6.3162594986520912e-42,5.7241594611875753e-35,9.8248804333194652e-55,1.5382848249307173e-61,7.1623984655721754e-61,9.7683066395613451e-77,2.7948287133061361e-79,7.6907421229301231e-72,6.5056993240593085e-115,4.807308675287538e-103,4.6645723263862263e-61,2.6820692900852013e-46,1.7390658663844815e-54,3.0002336206286252e-51,3.5526756954089891e-64,1.2106417054164369e-47,4.0761930565638477e-58,2.7615865475918109e-77,1.1922958020791422e-40,8.5044438901658957e-35,8.2663034441993074e-40,1.7813342180007508e-50,1.9928005499896097e-70,4.5091759778763483e-88,9.4631448365197371e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2609661145681641e-23,2.0547053232918706e-23,2.2609665984715585e-23,1.5696124874442072e-24,1.3169029828000399e-24,6.5845149168606164e-25,6.6990975253939005e-30,6.0908506880542756e-30,1.5292900084401307e-30,1.2792933158224245e-30,1.8591008998465694e-30,6.3828787926543683e-31,1.0256335779046218e-33,7.1255341735387012e-33,3.3317804674275757e-33,5.7311178657543189e-33,9.8653394956789928e-33,1.4974823973335353e-32,1.25537866229149e-23,8.9154326393703148e-26,3.1740326778704599e-31,3.7682121539014515e-30,2.1793107278629529e-37,7.2275882379136512e-40,2.6732364301016669e-32,9.7047550330442754e-39,1.6337134546656819e-32,2.2110572246618641e-33,1.5155937423959451e-39
7e-15,0.0017724034099480131,3.3125207272645686e-27,3.1160916175556383e-35,4.7646155275838345e-33,7.2556428474179835e-35,2.3273945887373186e-40,0.0,0.0,8.0549654926433595e-24,3.6558044049941285e-35,7.8621174336132752e-52,3.5405938796506233e-53,3.4567248711204793e-65,3.3160872814024204e-33,4.4218902465761796e-49,2.7836659809650087e-23,4.2586073354329896e-33,6.7136085842699363e-47,2.2134472997143225e-47,1.4436664315346869e-30,6.958557311923458e-47,5.6620541412359455e-48,2.3146665894013865e-46,1.2274503693880957e-36,1.8445902168940101e-57,6.6226484290982324e-30,3.6426668865803228e-56,4.556084454343436e-23,1.2009872713837343e-51,5.7735731406422154e-69,6.7950512834795974e-53,5.9099781269848885e-81,7.0178282960767214e-41,5.6341583670903028e-36,4.1101152470020777e-34,1.4414282042795301e-33,1.8324502895964476e-36,2.4994243877687023e-29,1.3043379479573539e-49,5.5749998405450001e-55,2.2473348733436688e-47,4.8798353765619301e-46,1.0201671552886912e-40,3.1109423924992284e-34,1.5869240375217228e-53,7.7808412716867061e-60,3.6228377374956466e-59,1.6132410056781769e-74,2.1002652260977422e-77,3.8900783156789444e-70,1.0748160253583113e-112,2.6764414183322621e-100,9.0001452784161346e-60,4.3319394580754202e-45,8.796426019065157e-53,4.8462723518293016e-50,1.7969577508700178e-62,1.9551021416370425e-46,2.061983692270633e-56,4.5528865840001506e-75,1.9257377436927419e-39,4.62062935766255e-34,4.4925554581662987e-39,2.8767000950465814e-49,1.007811186214812e-68,1.6462633062385113e-85,1.5628097603792942e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.0134444384430852e-23,4.5560837514472784e-23,5.0134470683514142e-23,3.4804401579498651e-24,2.9200851042413613e-24,1.460042553675287e-24,3.6408123199289642e-29,3.3102435271192482e-29,8.3113469238818405e-30,6.9526712546426714e-30,1.010380816883289e-29,3.4689509239753725e-30,5.5741297252919821e-33,3.8725711219012436e-32,1.8107493906480455e-32,3.1147365478203111e-32,5.3615966056472456e-32,8.1384859660261534e-32,2.7836644120325894e-23,1.9768994386308422e-25,1.7250146200533515e-30,2.0479404326752743e-29,3.5199105874760076e-36,1.1673719899789007e-38,1.4528452751361273e-31,1.5674639112059485e-37,8.878863399776624e-32,1.2016626114115994e-32,2.4479155802791635e-38
1.5e-14,0.0017724034099480131,6.9498043171543599e-27,8.9008783677068141e-35,2.1079652087042627e-32,3.2098987637620592e-34,2.1646151901440329e-39,0.0,0.0,1.6899636646180674e-23,1.6173281304392213e-34,7.3182206191323101e-51,3.2928477842064997e-52,6.6468198283833263e-64,1.4670376203597759e-32,4.1124364697033249e-48,5.8402388646764017e-23,1.8840074592573143e-32,2.970129637511637e-46,9.7921953706500121e-47,6.3867767810885749e-30,6.4715873453820946e-46,2.5047550247785626e-47,2.1526781364888859e-45,5.4302390684706004e-36,1.7155662044183753e-56,2.9298589996227196e-29,3.5128345163442363e-55,9.558837768003511e-23,1.1169387567481676e-50,5.3695493009899319e-68,6.3195237726120257e-52,1.1366401617600355e-79,6.5267106071591489e-40,2.4916251634689314e-35,1.8183139838812699e-33,6.3778659239063661e-33,8.1067439714022658e-36,1.1057447395541413e-28,1.2130585008635315e-48,5.1848367417526184e-54,2.0900609092830387e-46,4.5383291721687677e-45,9.48768094404887e-40,1.3762707460980352e-33,1.4759522811003975e-52,1.4964562827107945e-58,6.9676650821935309e-58,6.3291049242261674e-73,6.018791523645938e-76,7.4816306690751686e-69,4.2194017682185285e-111,2.123045861730503e-98,1.6139889931560391e-58,4.0287721013185238e-44,1.6917818726805213e-51,4.5077664893934745e-49,3.4559233717450522e-61,1.8178913426931588e-45,3.9662824281702776e-55,1.7817216728827262e-73,1.7909713160949153e-38,2.0431742652388224e-33,1.9875059750437454e-38,2.6747658715093835e-48,1.9377826931778573e-67,1.2502286563481495e-83,6.1310597592186813e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.051839453745451e-22,9.558834658394914e-23,1.051840617215845e-22,7.3020805972636329e-24,6.1264368804024152e-24,3.063218447078812e-24,1.6106942293477568e-28,1.4644506986826774e-28,3.6769311943106585e-29,3.0758545539462114e-29,4.4699239479371715e-29,1.5346602571737264e-29,2.4660201190086771e-32,1.7132241426042791e-31,8.010748959150238e-32,1.3779584032091478e-31,2.3719696428602897e-31,3.6004622788694221e-31,5.8402319237263437e-23,4.1476092384384117e-25,7.6314416056866788e-30,9.060081453506983e-29,3.2735734937346836e-35,1.0856880385914654e-37,6.4273830084889212e-31,1.4577692867932504e-36,3.927998827079599e-31,5.3161633023962433e-32,2.2766104094075659e-37
3.1e-14,0.0017724034099480131,1.4224389767146779e-26,2.7753211602231471e-34,8.7871728807714892e-32,1.3379434574812097e-33,1.8270882945173754e-38,0.0,0.0,3.4588988696502504e-23,6.7413065454406566e-34,6.1870191278571947e-50,2.779223602488628e-51,1.1296498564068258e-62,6.1148724155149977e-32,3.4708824081479497e-47,1.1953379927030153e-22,7.852866680833145e-32,1.2380329864740712e-45,4.0814792288181874e-46,2.6621165744713478e-29,5.4620067728661761e-45,1.0439133167662921e-46,1.8168482205497448e-44,2.2634167992008122e-35,1.4480479580576092e-55,1.2212155508297871e-28,3.1722730056603404e-54,1.9564325636250546e-22,9.4269129459691747e-50,4.5319488093076387e-67,5.3336655308766947e-51,1.9325327714726796e-78,5.5085309398223935e-39,1.0377985422441786e-34,7.5790401826825552e-33,2.6592087588748137e-32,3.3790184938388664e-35,4.6089310634959883e-28,1.023818981811091e-47,4.3759644858459812e-53,1.7640035797237421e-45,3.8303271076254821e-44,8.0074796377314838e-39,5.7364525435554946e-33,1.2458392062638244e-51,2.544301649946188e-57,1.1846597250185155e-56,2.160604169241048e-71,1.6886894625450778e-74,1.2720427474047791e-67,1.4423582489311695e-109,1.4524677762782399e-96,2.7619317640061684e-57,3.4002558148594777e-43,2.8764060102299796e-50,3.8056111175221229e-48,5.8755218907831844e-60,1.5336508558496525e-44,6.7454121373249508e-54,6.052228119769897e-72,1.5115753821777421e-37,8.5082322041939479e-33,8.2842653722101725e-38,2.2564725090975083e-47,3.292980551937871e-66,8.7141316705372586e-82,2.0928653825125156e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.1528268540586491e-22,1.9564312674894736e-22,2.1528317035966689e-22,1.4945301869580476e-23,1.2539090566236164e-23,6.2695453117849782e-24,6.7136438659450068e-28,6.1040762838882957e-28,1.5326016768937616e-28,1.2820637009073726e-28,1.8631412583783042e-28,6.3967007785642658e-29,1.027900468443822e-31,7.1410048709159269e-31,3.3390140619957677e-31,5.7435613176192869e-31,9.8867755755634307e-31,1.5007319936499277e-30,1.1953350996002136e-22,8.4890186397553087e-25,3.1808985430739379e-29,3.7763935114786162e-28,2.7628751737704774e-34,9.1633584007728633e-37,2.6790411592139747e-30,1.2303523407170878e-35,1.6372496753854323e-30,2.2158755964506839e-31,1.9214604729551615e-36
6.300000000000001e-14,0.0017724034099480131,2.8773633747190094e-26,9.4588992914117021e-34,3.5814748423029854e-31,5.4522078104156585e-33,1.495626955696005e-37,0.0,0.0,6.9967731769992526e-23,2.747120706272636e-33,5.0808031872771853e-49,2.2747540721271396e-50,1.8518108883920449e-61,2.4918476671060457e-31,2.8407157358906239e-46,2.4179643231490567e-22,3.2000829408987467e-31,5.0453141434253931e-45,1.6631617621188601e-45,1.0848246175388299e-28,4.470350206739125e-44,4.2530939671464093e-46,1.4869769341037303e-43,9.2235371675555254e-35,1.1853339042961455e-54,4.9765151943752694e-28,2.9351991180779342e-53,3.9575226336733481e-22,7.7153610288671199e-49,3.7092545411882764e-66,4.3653101825251556e-50,3.1704907844617441e-77,4.5084280609845189e-38,4.2229754299566644e-34,3.0884933513254172e-32,1.0842926481512827e-31,1.3769577041278513e-34,1.8781603701133369e-27,8.3793922009951416e-47,3.5814400566485717e-52,1.4437333344419439e-44,3.1348884590527556e-43,6.5535089032455427e-38,2.3375682602373935e-32,1.0198764337546159e-50,4.1741650332523165e-56,1.9435611847476756e-55,7.0977304690778983e-70,4.9503082604866129e-73,2.0869136025624945e-66,4.7511260471944863e-108,9.548632331366032e-95,4.5643866126884405e-56,2.7828888805004991e-42,4.7190405502300096e-49,3.116416620767422e-47,9.6383588806695609e-59,1.2541560929620499e-43,1.1072584992746827e-52,1.9687002058930565e-70,1.2371394324874941e-36,3.4606136585879347e-32,3.3758793621057717e-37,1.8451284856322584e-46,5.3969748898994014e-65,5.7911275095565802e-80,6.8743361767673654e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.3547911767789385e-22,3.957517351877073e-22,4.3548109388398572e-22,3.023150599280746e-23,2.5364198475134033e-23,1.2682099354384302e-23,2.7358387357968925e-27,2.4874373235833701e-27,6.2453774971049341e-28,5.2244314199397264e-28,7.5923964668091608e-28,2.6066662339272257e-28,4.1889163695860985e-31,2.9099894673645065e-30,1.3606621404733977e-30,2.3405254679770492e-30,4.0289100623978554e-30,6.1155383777949884e-30,2.4179525336443392e-22,1.7171796649371814e-24,1.2962181434842506e-28,1.5388961911400117e-27,2.2612370414610449e-33,7.4999841864515982e-36,1.0917208315241042e-29,1.0069719880751351e-34,6.6718128107783718e-30,9.02986554218215e-31,1.5726185762793771e-35
1.2700000000000001e-13,0.0017724034099480131,5.7872414021167717e-26,3.4478562214032069e-33,1.4458117996444275e-30,2.2002248873533461e-32,1.2095910930721217e-36,0.0,0.0,1.4072537380721896e-22,1.1085887522011852e-32,4.1352995494444023e-48,1.8392691208247635e-49,2.9920965140298655e-60,1.0055763516168551e-30,2.2966361178962763e-45,4.8632094559655375e-22,1.2913758164106252e-30,2.0362248965903106e-44,6.7111000467531182e-45,4.3777388630000305e-28,3.6141721814136822e-43,1.7155826655080286e-45,1.2021649723847453e-42,3.7221068026996479e-34,9.5861675986204705e-54,2.0082452358466215e-27,2.9213225852972895e-52,7.9596727595905549e-22,6.2376131218672808e-48,2.9990163574652143e-65,3.5292500998196855e-49,5.1309416876954166e-76,3.6449578685871701e-37,1.6992540159559465e-33,1.2463413039862381e-31,4.3808305973505828e-31,5.5565606866549479e-34,7.5791933738672239e-27,6.7745408407747018e-46,2.8954372297327634e-51,1.1672145587737161e-43,2.5344470382963755e-42,5.2980819714817218e-37,9.4326019543634789e-32,8.2491117628471253e-50,6.7552740905184238e-55,3.1454206111294117e-54,2.2983675979371252e-68,1.5065063594047092e-71,3.3773908544473765e-65,1.5468526089731391e-106,6.1853957260892029e-93,7.4202586885471076e-55,2.2498475113147564e-41,7.637163320469327e-48,2.5223378950682667e-46,1.5595084910503949e-57,1.012261590846101e-42,1.793901282417786e-51,6.2523546112547057e-69,1.0001957286012402e-35,1.391269655213647e-31,1.3623169029047424e-36,1.4890552484963376e-45,8.7165848567702895e-64,3.7752522487769255e-78,2.2254561038110938e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.7586779109969766e-22,7.9596514453693313e-22,8.7587576592834095e-22,6.0802960584321948e-23,5.1013616467321208e-23,2.5506808705054768e-23,1.1040284843143012e-26,1.003787839372098e-26,2.5202457384319225e-27,2.1082557288087133e-27,3.0638709062803529e-27,1.051888255780039e-27,1.6905511084614711e-30,1.1743052108019574e-29,5.4908528144580879e-30,9.4450222448024188e-30,1.62584357940771e-29,2.4678752442711766e-29,4.8631618803576598e-22,3.4537189497941288e-24,5.2307029235152659e-28,6.2101041543074939e-27,1.8281188042455683e-32,6.0640160666636738e-35,4.405562992599992e-29,8.1410765169777186e-34,2.6923228246723813e-29,3.6440010281545437e-30,1.2714402562877867e-34
2.55e-13,0.0017724034099480131,1.1607114377394491e-25,1.3112840045873535e-32,5.8123264387286819e-30,8.8389049154551989e-32,9.7324584290868729e-36,0.0,0.0,2.8224128143354375e-22,4.4534641900490136e-32,3.3694197948480516e-47,1.4791885259343014e-48,4.7980470478478224e-59,4.0396541631346125e-30,1.8466200261423725e-44,9.7536696094819797e-22,5.1877319030174984e-30,8.1816868535533121e-44,2.6955923761152114e-44,1.7586221472528485e-27,2.9060292174382352e-42,6.8860046683700008e-45,9.6658555722376444e-42,1.4952490454445815e-33,7.7127693949546213e-53,8.0675490273873487e-27,3.2325060966483948e-51,1.5963852956507951e-21,5.0153281479084667e-47,2.411680816554741e-64,2.8377468106598678e-48,8.253946673942594e-75,2.9307839462763448e-36,6.7871876335095393e-33,5.0067933704748275e-31,1.7640283345721296e-30,2.2321276815534805e-33,3.0447081131461942e-26,5.4471722473987002e-45,2.3280035945554054e-50,9.3850085919524097e-43,2.0378022174759133e-41,4.2595605328126601e-36,3.7888549385798125e-31,6.6386946792529339e-49,1.0867086001452175e-53,5.0601473112482981e-53,7.3961319103794538e-67,4.6928549025198429e-70,5.4332343724723218e-64,5.0316958938836896e-105,3.9812504292388568e-91,1.1972582558629388e-53,1.8089396447606403e-40,1.2286048509988728e-46,2.0325621538991109e-45,2.5077284592378489e-56,8.1122176445566055e-42,2.8920786916262837e-50,1.9374355890494111e-67,8.042188372949181e-35,5.5473574945551449e-31,5.4727126245276638e-36,1.1930095875702815e-44,1.3965918077576625e-62,2.4416818249559701e-76,7.1576838601432961e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7566283737757998e-21,1.5963767334154169e-21,1.7566604100247286e-21,1.2194205539307595e-22,1.0230926135300724e-22,5.1154632570067129e-23,4.4350844471055078e-26,4.0323994195712152e-26,1.0124027770893633e-26,8.4690335019131731e-27,1.2308232100327989e-26,4.2255185754577399e-27,6.7924046697503693e-30,4.7173942854763741e-29,2.2057731799617617e-29,3.7942352953765851e-29,6.531353374126594e-29,9.9138480897940545e-29,9.7534784904382091e-22,6.9267322523670587e-24,2.101193374254363e-27,2.4947098946493324e-26,1.4698655861683558e-31,4.8765969955119505e-34,1.7697955469634067e-28,6.5458686396989311e-33,1.0815229570618409e-28,1.4639119246344137e-29,1.0223453432784668e-33
5.11e-13,0.0017724034099480131,2.3247327969287266e-25,5.1087401219184193e-32,2.3331410904743494e-29,3.5431487167769399e-31,7.8156185829597759e-35,0.0,0.0,5.6527559082077429e-22,1.785176248111377e-31,2.7734158382590545e-46,1.1867657706773627e-47,7.648303487530376e-58,1.6193117370285225e-29,1.4809255794721831e-43,1.9534469469535864e-21,2.0794832012758578e-29,3.2809911292534378e-43,1.0801980872175936e-43,7.0493009729754401e-27,2.3305979788495284e-41,2.7555459462153006e-44,7.7513595316909606e-41,5.9936459127512521e-33,6.1933637131741405e-52,3.2338471710595419e-26,4.015739293240926e-50,3.1971733145078429e-21,4.0220392676284326e-46,1.9345805321665613e-63,2.275837112371356e-47,1.3239879644873859e-73,2.3504526147318984e-35,2.6897951378674851e-32,2.0069343783859836e-30,7.1036660341761833e-30,8.9469110626582412e-33,1.2204476644975808e-25,4.3685638626258457e-44,1.8668427970086302e-49,7.5264078018076301e-42,1.6341983432272415e-40,3.415404642719913e-35,1.5184100755723728e-30,5.3335667319212937e-48,1.743197431408571e-52,8.1175549539927038e-52,2.3730443023677823e-65,1.4808729213486257e-68,8.7157725099044808e-63,1.6492235577035838e-103,2.5548057062011701e-89,1.9258049944063495e-52,1.4506117098680316e-39,1.9709051982547709e-45,1.6370641796356487e-44,4.0193833529065139e-55,6.4632245464490778e-41,4.6589094346573375e-49,5.7869934126929156e-66,6.4496752387875275e-34,2.1909211629230538e-30,2.1937128562642893e-35,9.5000742870153142e-44,2.2224877138304061e-61,1.5756059777230427e-74,2.293920935392401e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.5180824850299728e-21,3.1971389942380888e-21,3.5182108984466584e-21,2.442049894770956e-22,2.0488778835938634e-22,1.0244390176894706e-22,1.7777605569823758e-25,1.6163481607861663e-25,4.0579094358804921e-26,3.3945571073493381e-26,4.9337171612215818e-26,1.6936707141084281e-26,2.723592404769361e-29,1.8909180035653914e-28,8.8416046934882091e-29,1.520880010424701e-28,2.6180634442578391e-28,3.973823010159771e-28,1.9533703394443168e-21,1.3872497797944567e-23,8.4218228745860614e-27,9.9997817926135281e-26,1.1787159224378168e-30,3.9121451845224281e-33,7.0940558961420967e-28,5.2495647731372757e-32,4.3349201970028971e-28,5.8683499020125488e-29,8.1994753212796078e-33
1e-12,0.0017724034099480131,4.5483740939112318e-25,1.9485588851534575e-31,9.0515674057782849e-29,1.3709987067887684e-30,6.0291703790069668e-34,0.0,0.0,1.1059248736777245e-21,6.9073804910063801e-31,2.2430649793712352e-45,9.1392609395662346e-47,1.1591554801296373e-56,6.2656832955700187e-29,1.1394887405303375e-42,3.8216865318479375e-21,8.0459500496138491e-29,1.2705466956042827e-42,4.177062693474851e-43,2.7274658207680676e-26,1.7933617010306523e-40,1.0626126390408125e-43,5.9637460477896407e-40,2.319061783180437e-32,4.777712597362752e-51,1.2512421902495478e-25,5.2855564885817252e-49,6.254745111240055e-21,3.0946119589356076e-45,1.4893089398330174e-62,1.7512251387391775e-46,2.0312962410566687e-72,1.8086421018446061e-34,1.0179040447664234e-31,7.7650885681604346e-30,2.7725025173707654e-29,3.4613696468492034e-32,4.7220696282425015e-25,3.3615495645416727e-43,1.4362241181301527e-48,5.7910831789623695e-41,1.2573502556371845e-39,2.6270222549424893e-34,5.8724551167806872e-30,4.1185121276467394e-47,2.6745942931472448e-51,1.2456430478797851e-50,7.2715179294511805e-64,4.5000018096490541e-67,1.3373500036178177e-61,5.2689974276246215e-102,1.5644882603086276e-87,2.9657698188227315e-51,1.1160190437946099e-38,3.0242453552508698e-44,1.269949556545134e-43,6.1569329485109477e-54,4.9100652209376058e-40,7.2062071686945153e-48,1.5581571438380316e-64,4.9628465838171309e-33,8.2369404224930374e-30,8.4878987913586728e-35,7.209710624155599e-43,3.3570828983500058e-60,9.7337091557849443e-73,7.0111468108730454e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8824789167715273e-21,6.2546123277073934e-21,6.8829757541130625e-21,4.7768803125510182e-22,4.0078005753498612e-22,2.0039005812403169e-22,6.8783187085320081e-25,6.2537992530906444e-25,1.5698826989387137e-25,1.3132531720587031e-25,1.9089629827603519e-25,6.5522990880411332e-26,1.0544884620423281e-28,7.3161068728964958e-28,3.420880378415199e-28,5.8844060839345086e-28,1.0129786447144792e-27,1.5374728129369395e-27,3.8213901357542001e-21,2.7138998005461332e-23,3.258016507856072e-26,3.8689914934069381e-25,9.0685610034607418e-30,3.012139877913834e-32,2.7447570048569635e-27,4.039254404204046e-31,1.6770218840030498e-27,2.2708250789872608e-28,6.3099864821377805e-32
