Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255)
0.0,0.0035125718386255257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.209479160204915e-16,0.0035125718386255275,2.2955556975558775e-19,7.5967029156117121e-26,7.5377113661777779e-27,3.9502490857608459e-27,9.7496884067029466e-36,0.0,0.0,1.894140471506319e-19,2.757692477999039e-30,8.2297855841615033e-41,2.7656205080507388e-40,2.7675131969529457e-59,2.3967452202866674e-33,8.9830538165785341e-41,2.3113276806005667e-23,4.9350621209932545e-33,5.1944837810039628e-33,3.7302309947390599e-41,5.5690208094856556e-23,6.5044460220625675e-55,1.6945334152177837e-35,5.8983226950239551e-44,2.7464479237809788e-35,2.7714853448319271e-50,1.4306015248414115e-31,2.8344348879808555e-43,1.894849627395665e-16,1.2551298541712862e-39,9.1374909022623104e-50,2.8483760056739803e-47,2.5248578618121802e-69,6.6779476835057181e-42,2.9767324255102547e-39,2.6050021138339543e-27,6.7143508706353633e-27,3.337948462172688e-28,3.8191840284164653e-24,2.8526662087052936e-39,5.1247383842210643e-40,3.9703781747977944e-37,4.7435767914304794e-36,4.0528458572676816e-35,1.5841545455826848e-28,1.6103351757398941e-43,1.7166659516202328e-48,4.6224219900027169e-48,9.3492775170725817e-63,1.0191396841109754e-62,5.666127862193794e-55,3.2636930290861548e-96,5.6749651003705009e-93,3.8507861362191221e-48,3.9494229050149153e-36,8.5588840209343144e-45,1.4303361778427456e-40,2.9463739144798186e-52,7.14351705902825e-45,1.499543230466913e-48,3.0844923467132769e-61,9.7426643145838289e-34,1.7905178066527273e-27,2.9574237277597136e-31,6.3433178768762656e-48,1.9747975653837228e-62,1.3500775254197501e-74,5.602000850100965e-58,0.88168480800000004,0.0,0.0094599999999995504,0.10885,2.6047142506724897e-16,1.8948492997101811e-16,2.6047143984876605e-16,1.9074655835774032e-19,1.5214785074283801e-19,7.6073925308650852e-20,8.8544324176842435e-24,6.5124143898845021e-24,2.1714556807354516e-26,1.8032240682715322e-26,2.2915641130739554e-24,9.0204402529390343e-27,5.8431246929232023e-29
1.7386541648573763e-15,0.0035125718386255305,6.4275776315564369e-19,2.1645687786459641e-25,4.552822351127409e-26,2.385957162650647e-26,1.1574934161303001e-34,0.0,0.0,5.3036118252507572e-19,1.6656511061233856e-29,9.7704462446080998e-40,3.2833440729946731e-39,1.1419454045590893e-57,2.84541292664508e-32,1.0664821010799568e-39,1.3960418632358586e-22,5.8589055354084144e-32,3.1374665003214252e-32,4.4285275881666879e-40,3.363688330954562e-22,3.1072946924422371e-53,1.0235020894697248e-34,1.319432900536707e-42,3.2605823509405681e-34,6.1996994510562333e-49,1.6984080165372932e-30,3.3650901233419376e-42,5.3055792797084757e-16,1.4900899690326457e-38,1.0848020114095593e-48,6.3717013227135323e-46,1.0418901114546697e-67,1.4938283982293574e-40,1.8055350850952893e-38,1.5734213566951329e-26,4.0555103782487642e-26,2.0161151382413252e-27,2.306787186340913e-23,3.3866860507434998e-38,6.0840877160923197e-39,4.7136213036448434e-36,5.631559511109441e-35,4.8114715865189183e-34,9.5681479300764593e-28,1.9120158666248503e-42,3.8401111905077574e-47,1.0340173115489842e-46,2.0914281843487914e-61,4.2054982089704768e-61,1.2674869774312394e-53,6.8203878763829083e-94,6.0505622106522193e-91,1.2107604555824101e-46,4.688742293701472e-35,1.9145820912125838e-43,1.6981095990424519e-39,6.5904020277944479e-51,1.5978664231400522e-43,3.3544452581336038e-47,1.2692536966439007e-59,1.1566491078034674e-32,1.0814309244923983e-26,1.7862843261783099e-30,1.4188608687033167e-46,8.1484274078372132e-61,1.5356286915693494e-72,2.3113089168786275e-56,0.88168480800000004,0.0,0.0094599999999987385,0.10885,7.2931991275426161e-16,5.305577300488581e-16,7.2932000203458891e-16,5.3409030154689756e-19,4.2601393215454e-19,2.130069656981596e-19,5.3480748993067155e-23,3.9334960766532038e-23,1.311554734258062e-25,1.0891442197733754e-25,1.3841045643623516e-23,5.4483294976779161e-26,3.5293276716011056e-28
3.974066662531146e-15,0.0035125718386255357,1.4691708213164125e-18,5.1243347454095426e-25,2.1920334893773581e-25,1.1487425064163161e-25,1.1364559368948305e-33,0.0,0.0,1.2122628552890838e-18,8.0194424672079179e-29,9.5927769518899829e-39,3.2236054222821451e-38,4.5172428866856651e-56,2.79363693229283e-31,1.0471080014521729e-38,6.7213400574830814e-22,5.752307742861725e-31,1.510553328411569e-31,4.3479490362361514e-39,1.6194708944363815e-21,1.6179834417122352e-51,4.9277617710777677e-34,2.6069684970698524e-41,3.2012577650258181e-33,1.2249558277322345e-47,1.6675057677758654e-29,3.3039692739815831e-41,1.2127039876335853e-15,1.4629787569554375e-37,1.0650631231999043e-47,1.2589400017124142e-44,4.1216168222916596e-66,2.9515507969484975e-39,8.848803917172464e-38,7.5753473461174378e-26,1.9525969069180884e-25,9.7066681348330334e-27,1.1106187652295042e-22,3.3250699888647383e-37,5.9733898103205241e-38,4.6278366377723806e-35,5.529067055752088e-34,4.7237893902128556e-33,4.6065031374134802e-27,1.8777071130854091e-41,7.5874044827051238e-46,2.043043969548115e-45,4.1324479217967373e-60,1.6636443201379623e-59,2.5043270080856669e-52,1.234335926212382e-91,1.376861128502514e-88,2.7011958819332832e-45,4.6034083429946724e-34,3.782865508516591e-42,1.6672447600603179e-38,1.3019281941741289e-49,3.1569920311633726e-42,6.6279354398050281e-46,4.9900970896664923e-58,1.1356049526402709e-31,5.2061983692622496e-26,8.6001941192663382e-30,2.8032851812470241e-45,3.2232334872977812e-59,1.3902300977064332e-70,9.1400534896013353e-55,0.88168480800000004,0.0,0.0094599999999971165,0.10885,1.6670165783923926e-15,1.2127030347248359e-15,1.6670170082383702e-15,1.2207775405100394e-18,9.7374589527913849e-19,4.8687294581433809e-19,2.5748655256033303e-22,1.8938067823261438e-22,6.3145256664494585e-25,5.243728828863255e-25,6.6638660418045684e-23,2.623119403058603e-25,1.6993011954698864e-27
8.444891657878686e-15,0.003512571838625547,3.1220316230858951e-18,1.1643751797275935e-24,9.5735859173099907e-25,5.0169204191211197e-25,1.0052215973049194e-32,0.0,0.0,2.5760958088927339e-18,3.5023446129709614e-28,8.4848713741225565e-38,2.8512402510030566e-37,1.6121399369260333e-54,2.4709289299331011e-30,9.2620772768014524e-38,2.9353852887356706e-21,5.0878502469859141e-30,6.596967999193173e-31,3.845701702790029e-38,7.0726527394413015e-21,6.4571697387077684e-50,2.1521179891388722e-33,4.6389446535503136e-40,2.8314738881439692e-32,2.1797423094275561e-46,1.4748890549934682e-28,2.9225080972004287e-40,2.5769966237592019e-15,1.2939874120843623e-36,9.4203284770398355e-47,2.2402135819485687e-43,1.4709779952298886e-64,5.2521234615956382e-38,4.1418149618874966e-37,3.3083539236250397e-25,8.5278834676512531e-25,4.2391056883884866e-26,4.8503642303364007e-22,2.9409894917667034e-36,5.2833892589201688e-37,4.0932251421128462e-34,4.8903412200687797e-33,4.1778857348759142e-32,2.0116507296049394e-26,1.6616620592924725e-40,1.3501351868555864e-44,3.6354876155350234e-44,7.3539642283670683e-59,5.9373643156069894e-58,4.4562672351856621e-51,1.8742649680492991e-89,2.3267103469315599e-86,5.059251141383253e-44,4.0716151493851154e-33,6.7313138559408909e-41,1.4747136833054236e-37,2.3159105089458908e-48,5.6175924612126789e-41,1.1794474749018409e-44,1.7591705755523949e-56,1.004429719499453e-30,2.2733093882278515e-25,3.7559342500175749e-29,4.9881075546956287e-44,1.1502720939121418e-57,1.0537182279954519e-68,3.2596917159589892e-53,0.88168480800000004,0.0,0.0094599999999938744,0.10885,3.5424086707270526e-15,2.5769924621601319e-15,3.542410547974147e-15,2.5941510288070575e-18,2.0692090227556765e-18,1.0346045034066361e-18,1.1245093815433854e-21,8.2707319452810812e-22,2.7576790139240401e-24,2.2900462468682504e-24,2.910283944622818e-22,1.1455704691869504e-24,7.4220138684749175e-27
1.7386541648573763e-14,0.0035125718386255704,6.4278919684591751e-18,2.708219955809206e-24,3.9971176204142603e-24,2.0945157374700873e-24,8.4501522314877467e-32,0.0,0.0,5.3038801485237927e-18,1.4621962011924221e-27,7.1323295742856302e-37,2.3966354647944498e-36,5.4470033907804954e-53,2.076945641612957e-29,7.7862179011615124e-37,1.2254651571896488e-20,4.2766433380044191e-29,2.7540915383888155e-30,3.2325272117721333e-37,2.9526915134485701e-20,2.2951434214341441e-48,8.9849611134030951e-33,7.8242208965097323e-39,2.3800204555005512e-31,3.6764501301556783e-45,1.2397321479666926e-27,2.456854766057706e-39,5.3055839632065017e-15,1.0876731591414047e-35,7.9182961133427048e-46,3.7784379025105118e-42,4.9701172279621166e-63,8.8584663494126972e-37,2.1958530016159261e-36,1.3811732359032502e-24,3.5605407274269484e-24,1.7697003037901574e-25,2.0249318346871037e-21,2.4720834872217013e-35,4.4409962842663046e-36,3.4405284246641799e-33,4.1105322967352823e-32,3.5113400226236102e-31,8.3971577611597654e-26,1.3981593383398415e-39,2.2771905406986978e-43,6.1317813426496039e-43,1.2405202006290626e-57,2.0060578901187642e-56,7.5159811141693329e-50,2.6092495264615098e-87,3.4067908566976399e-84,8.7393244710610256e-43,3.4223581324395956e-32,1.1353030174583236e-39,1.239677470543058e-36,3.9034202732260409e-47,9.4748098404976159e-40,1.989451471581205e-43,5.8019846167469831e-55,8.4428369919603582e-30,9.4874931742969073e-25,1.5680315637874879e-28,8.4128101863622429e-43,3.8861044434710297e-56,7.3275639261567366e-67,1.099805758989872e-51,0.88168480800000004,0.0,0.0094599999999873882,0.10885,7.2931878996457621e-15,5.3055665893812749e-15,7.2931957367559423e-15,5.3408940471354056e-18,4.2601320827986033e-18,2.1300660081213638e-18,4.6945882484303238e-21,3.4528512127539349e-21,1.1512430730992856e-23,9.560259141455942e-24,1.2149850616697856e-21,4.782408441254656e-24,3.0991456383561956e-26
3.5269841629963917e-14,0.0035125718386256155,1.3040167626883281e-17,6.7558135178192851e-24,1.6332256473912979e-23,8.5571906212715046e-24,6.9290251531570019e-31,0.0,0.0,1.0759922558450703e-17,5.9738449802265329e-27,5.8479802385829757e-36,1.9649003764348585e-35,1.7908472826831158e-51,1.7027743503793876e-28,6.3850603076326534e-36,5.0064216131990721e-20,3.5062483611969541e-28,1.1251258463470456e-29,2.6501935749864697e-36,1.2062693727111442e-19,7.7317883588218553e-47,3.6708885117151487e-32,1.2851200419692809e-37,1.9512780757714751e-30,6.0385676600923704e-44,1.0164059493925784e-26,2.0147870811364475e-38,1.0762766910849398e-14,8.9173815435901849e-35,6.4918031177239153e-45,6.2060636047310085e-41,1.634075696529965e-61,1.4550036248881796e-35,1.6623618745209947e-35,5.6425482202152794e-24,1.4548560900254293e-23,7.2294528319365587e-25,8.2725092914250788e-21,2.0267709588428428e-34,3.6409794616416735e-35,2.8206318192022705e-32,3.3699083146290143e-31,2.8781125174432876e-30,3.4296241070471431e-25,1.148644260416566e-38,3.7402601329806717e-42,1.0071469612641154e-41,2.0381053721495471e-56,6.5951945915830211e-55,1.2344479786075172e-48,3.4818092766290327e-85,4.6586724701214843e-82,1.4522930012063253e-41,2.8057252194490407e-31,1.8646352978209371e-38,1.016512815926747e-35,6.4025208491007039e-46,1.5562363217476177e-38,3.2681424775476761e-42,1.8206138779449593e-53,6.9219478360161458e-29,3.873398273902268e-24,6.4059446716274103e-28,1.3817098890749814e-41,1.2774188046095144e-54,4.8869241411540477e-65,3.6056394053056529e-50,0.88168480800000004,0.0,0.0094599999999744177,0.10885,1.4794726534607145e-14,1.0762695933363304e-14,1.4794758551539556e-14,1.0834364252740197e-17,8.641965424687668e-18,4.3209825763942357e-18,1.9178785391166934e-20,1.4105888474542491e-20,4.7029287877971161e-23,3.9054872891073648e-23,4.9636006416713011e-21,1.9536695795280648e-23,1.2665931785605195e-25
7.103644159274422e-14,0.003512571838625707,2.6266938817163872e-17,1.8691085057853485e-23,6.6039598765505002e-23,3.4592850687253671e-23,5.6130502572370281e-30,0.0,0.0,2.1673902308721223e-17,2.4149632803068611e-26,4.7365997564718051e-35,1.5912172652761347e-34,5.808559715931575e-50,1.378900336795783e-27,5.1731301304213688e-35,2.0236729022674167e-19,2.8394472146489308e-27,4.5478543973439837e-29,2.1461508721464527e-35,4.8759219114915997e-19,2.5383811561140374e-45,1.4840247858963714e-31,2.0832020291186951e-36,1.5801850668985646e-29,9.7887373313518398e-43,8.2310976637517442e-26,1.6324505183174888e-37,2.167716588084064e-14,7.2214941208392555e-34,5.2570775188222518e-44,1.0060192817276232e-39,5.3001495660526183e-60,2.3586169366934841e-34,1.9103262107314612e-34,2.2808121571759212e-23,5.8828512408101983e-23,2.9219772195703727e-24,3.3438821609486263e-20,1.6413439023399838e-33,2.9485310510562308e-34,2.2840244135837166e-31,2.7287890610520843e-30,2.3296433474108143e-29,1.3855908423571271e-24,9.3400613403245173e-38,6.0630185633889388e-41,1.6326287367696766e-40,3.3056291992528407e-55,2.1389507978586092e-53,2.0009177458037552e-47,4.5504328661383008e-83,6.1621628612485321e-80,2.3683891906488342e-40,2.2719372838074822e-30,3.0223192483805627e-37,8.2344142082607911e-35,1.0350142734345533e-44,2.522731192815987e-37,5.299296100602884e-41,5.4112966779376813e-52,5.6055727809139633e-28,1.5636299175552355e-23,2.589404722262397e-27,2.2395157316283952e-40,4.141704417120886e-53,3.1932423287933109e-63,1.1628692189644738e-48,0.88168480800000004,0.0,0.0094599999999484766,0.10884999999999999,2.9797724514036965e-14,2.1676878980586533e-14,2.9797853929819442e-14,2.1821241355825858e-17,1.7405581007227304e-17,8.7027899540958464e-18,7.7522589915772089e-20,5.7017162183372477e-20,1.9007768743896002e-22,1.5785064034659263e-22,2.0063588377074158e-20,7.8962339145791718e-23,5.1237415331231535e-25
1.4256964151830484e-13,0.0035125718386258887,5.2729360713231097e-17,5.7925712823285903e-23,2.6571868977792171e-22,1.3912301467700445e-22,4.5206725319769784e-29,0.0,0.0,4.3509441592981659e-17,9.7123882154263335e-26,3.8136400027999522e-34,1.2807339868233465e-33,1.8713049708861448e-48,1.1097777135743787e-26,4.1675459484184446e-34,8.1370775429820766e-19,2.2854283270818294e-26,1.8286045689231755e-28,1.7273371473188305e-34,1.9605772991920708e-18,8.2304984776803535e-44,5.968749455149731e-31,3.3548276931027366e-35,1.2718534976372952e-28,1.5764328614081353e-41,6.6250696667740796e-25,1.3152613172743184e-36,4.3506096117342982e-14,5.812434162659357e-33,4.2311071312680282e-43,1.6201296383206574e-38,1.707555220181059e-58,3.7984587001702756e-33,2.7572798478933853e-33,9.1710771354864175e-23,2.3671435319654174e-22,1.1746864998887264e-23,1.3445616282506788e-19,1.3211160223224528e-32,2.3731884032796708e-33,1.8380655355794245e-30,2.1959643973461422e-29,1.8732883449095796e-28,5.5656337573566802e-24,7.5789326275391132e-37,9.7639685824113057e-40,2.6292986082862066e-39,5.3293130962430346e-54,6.8897247720219377e-52,3.2218508193192241e-46,5.8865363346032011e-81,8.0188665101222607e-78,3.8274823068268973e-39,1.8283120131155249e-29,4.8662735102436072e-36,6.6316685914426316e-34,1.6577052595026668e-43,4.0628115199368379e-36,8.5391529769309688e-40,1.4931573642016922e-50,4.5118525827080316e-27,6.2707849493448736e-23,1.0412038738051639e-26,3.6057337670929106e-39,1.3332978294959724e-51,2.0660503805668056e-61,3.7044746394037609e-47,0.88168480800000004,0.0,0.0094599999998965928,0.10884999999999996,5.9803403319014082e-14,4.3504942520870919e-14,5.9803923679890186e-14,4.3794742458122587e-17,3.4932607859713707e-17,1.7466301720365332e-17,3.1170586102047901e-19,2.2925470095766446e-19,7.6411543946704844e-22,6.3458666819621046e-22,8.067417089664095e-20,3.1743890013889847e-22,2.0634250423594343e-24
2.856360413694261e-13,0.0035125718386262526,1.0568972274158525e-16,1.9788128339877743e-22,1.0670557063255894e-21,5.5815954009244947e-22,3.6320209613548931e-28,0.0,0.0,8.7210839792678763e-17,3.8966477851384555e-25,3.0621488363986872e-33,1.0276825318342414e-32,6.0083785663154894e-47,8.9039641569024456e-26,3.3501951253331758e-33,3.2633142336457615e-18,1.8339029646003215e-25,7.3329793755211844e-28,1.3859640829664246e-33,7.8627160132650232e-18,3.0776145211359124e-42,2.394978466180032e-30,5.38490541968829e-34,1.0205551841829747e-27,2.5305895533962309e-40,5.3161470395455864e-24,1.0575287027926957e-35,8.7164485758012782e-14,4.664028009371487e-32,3.3948019219821186e-42,2.6005596912764638e-37,5.4828694788581794e-57,6.0972996765099698e-32,4.2836588792740315e-32,3.6780375956953682e-22,9.5066415659392756e-22,4.7091930030134716e-23,5.392304071707073e-19,1.0601438399304691e-31,1.9042605704736336e-32,1.4744249356745685e-29,1.7614776169393355e-28,1.5002973041949539e-27,2.2274567697002697e-23,6.1798929063152306e-36,1.5672253665825211e-38,4.2206077154514976e-38,8.5729607957482211e-53,2.2113822723230239e-50,5.1699694645626283e-45,7.581906810380346e-79,1.8152692289772278e-75,6.160709255572646e-38,1.466558653933957e-28,7.8079862680540925e-35,5.327697784205949e-33,2.632007746520459e-42,6.5218215180984749e-35,1.3722517125618006e-38,3.7229605144844428e-49,3.6204774457511388e-26,2.5017261125601494e-22,4.1758180754574819e-26,5.7850050955694092e-38,4.2744923764979142e-50,1.3312731136131164e-59,1.1634526159556182e-45,0.88168480800000004,0.0,0.0094599999997928268,0.10884999999999992,1.1981349237814685e-13,8.715985945519445e-14,1.1981557914336014e-13,8.7740733275410963e-17,6.9985845052753212e-17,3.499291366607484e-17,1.2500072246067664e-18,9.1934330636715606e-19,3.0630132254165526e-21,2.5439838114049187e-21,3.2353441015181963e-19,1.2725493680740685e-21,8.3008356747129005e-24
