Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417)
0.0,0.001353423821206183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001353423821206183,6.0345994760373237e-34,3.9593093983355666e-43,2.7183576143205346e-40,8.9108613569549883e-43,2.6759369411282003e-48,0.0,0.0,3.4705183920478541e-28,3.9015347477151721e-41,5.7082104109872802e-63,1.8626700496749059e-64,1.5939471698855395e-78,1.996704118563555e-40,3.3160869781339687e-59,2.4279606952476907e-29,1.692158333282101e-40,1.3111996130278488e-57,7.6454726271395545e-59,2.3384560710085047e-37,3.078413501350151e-56,7.5326127017187444e-59,9.882920822217897e-57,5.8437056151786702e-45,1.4709510404845693e-70,1.9287020161321627e-36,1.2060959681998704e-68,5.5396276810305604e-29,1.5592646678673766e-62,2.5473930097691763e-84,6.6017502234970561e-65,1.8140893262878217e-98,5.7168519270831926e-49,1.1155149533117537e-43,1.9380156550527716e-41,7.2123109539062129e-41,9.0034224697133122e-45,1.0068134869401797e-35,9.0201313815568531e-61,9.9771840399911659e-68,3.5471824537430592e-58,2.8843533177088032e-56,6.7406260714145831e-49,4.6215361928711964e-41,3.5606841448849928e-64,1.5245635635832719e-71,1.0092756551185874e-70,4.6699362130848723e-89,7.8244779650401582e-94,2.5867277379211386e-85,1.5093896012636225e-137,8.0640760146211755e-120,-6.8771128251251962e-74,3.5267841541588462e-55,3.8965881175009641e-63,2.5964202363959046e-60,8.1017891319689968e-75,2.7236841297309616e-56,4.8189701569345056e-67,1.6761725420594868e-89,2.9700748169830006e-47,2.4105178416711361e-41,4.5618386224155899e-47,5.7618891212366458e-59,7.795765173521397e-83,-6.5886977868614336e-101,8.0358401376554037e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.2167978684706831e-29,5.539627559033395e-29,5.2167986657762839e-29,1.5012279172768262e-28,1.28634588825167e-28,6.4317294262079293e-29,1.093355805511042e-35,1.1516586016318754e-35,8.8025592039292444e-35,7.5488567580596358e-35,2.9615038163281138e-36,3.7861085889717366e-35,3.3458438113951981e-38,2.0496573696980365e-39,7.4760816504299071e-40,1.8038733685632114e-39,3.361154179379878e-39,1.2282411403645649e-38,2.4279603803764448e-29,3.9775653766110644e-30,4.6773607291913204e-38,5.0299729305483103e-36,2.7301193187211039e-44,1.9575674528432504e-44,8.2371884005679706e-37,7.0490152539427137e-45,1.0161543924325055e-38,2.4751431990039397e-39,1.4433913787834244e-45,9.0547429642706722e-49,7.2379813099396758e-51,1.2911056228728163e-50,2.771274959396957e-54,1.0696170338325952e-55,1.4524818388535565e-69,1.7875508105260927e-64,3.730686885634914e-68,5.6494331578173532e-69,1.170307858611537e-71,1.1252154604202551e-73,8.8462136257053824e-73,2.5779211648241097e-45,2.8091360805073206e-47,3.0060583216390657e-45,3.0760817896174571e-79
3.0000000000000002e-15,0.001353423821206183,1.9827965017385806e-33,1.4884945592672752e-42,1.7863574229070983e-39,5.8557082895578245e-42,2.523034265349164e-47,0.0,0.0,1.1403131867449013e-27,2.5638656921243596e-40,5.3854417507650411e-62,1.7562333453754476e-63,1.9582485223482841e-77,1.3121198306059385e-39,3.1265959230414148e-58,7.9775845078387729e-29,1.1119897234669667e-39,8.6164655778306708e-57,5.0241617553500481e-58,1.5366995796189056e-36,2.9025040875325821e-55,4.9499700669461188e-58,9.3181809328541764e-56,3.8401492697036239e-44,1.3869407238494228e-69,1.267432709683578e-35,1.3127348607624118e-67,1.8201630424597737e-28,1.4701635779459847e-61,2.4018286570247585e-83,6.2245071866186861e-64,2.2287375771129467e-97,5.3901745443547984e-48,7.3302609799429974e-43,1.2735530417877356e-40,4.7396002062983071e-40,5.9165341896857031e-44,6.616202379274876e-35,8.5046949198975281e-60,9.4070563190300484e-67,3.3444865414696436e-57,2.7195328309493259e-55,6.3554468277214307e-48,3.0370090792280941e-40,3.3572289276447079e-63,1.8730348435053162e-70,1.2399670793134162e-69,7.0716164003041499e-88,1.1488390904982357e-92,3.1779796865793352e-84,2.2869644696517753e-136,1.4515334084834741e-118,4.0673579603352563e-72,3.3252529492907532e-54,4.7872364282558445e-62,2.4480825754212034e-59,9.9536242024193206e-74,2.5679949136550601e-55,5.9205032632600746e-66,2.538129051800848e-88,2.8003560982172891e-46,1.5839724910355622e-40,2.9977794404386962e-46,5.4325283268884698e-58,9.5774791502658245e-82,3.52023969286425e-99,1.2168594913804997e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7140903685267632e-28,1.8201629622902196e-28,1.7140908924703842e-28,4.9326031215258068e-28,4.2265625810380244e-28,2.1132812806287656e-28,7.1849089233673543e-35,7.5680415548113797e-35,5.7845374300524259e-34,4.9606760319517463e-34,1.9461310317458296e-35,2.4880135777013829e-34,2.1986965928135286e-37,1.3469175222115551e-38,4.9128529364528104e-39,1.1854023444230201e-38,2.2087583187098828e-38,8.0712963083068011e-38,7.9775824386851196e-29,1.306914068435757e-29,3.0736931337490052e-37,3.3054104823586946e-35,2.5741118817934963e-43,1.8457060054389131e-43,5.4130090347446874e-36,6.6462128815746245e-44,6.6775851591481026e-38,1.6265221969120049e-38,1.3609115932916798e-44,8.5373267552819722e-48,6.824398158246841e-50,1.2173362885309379e-49,3.4047085986376208e-53,1.314100699561781e-54,2.1994438363931074e-68,2.196128967717607e-63,5.6489907288316359e-67,8.5548082630411416e-68,2.1064489550070266e-70,2.0253782686597249e-72,1.0868072038312733e-71,2.4306109515713801e-44,2.6486138531497172e-46,2.8342830565605828e-44,6.4155512205831898e-78
7e-15,0.001353423821206183,4.3966327035977842e-33,4.50760137943362e-42,9.7087517770082333e-39,3.1824480278343072e-41,4.0752011049677377e-46,0.0,0.0,2.5285205495811039e-27,1.3934052701773282e-39,8.7488580743702314e-61,2.8365832220300107e-62,9.9033077566409283e-76,7.1310853730321621e-39,5.0499206551042444e-57,1.7689422439729753e-28,6.04342105197658e-39,4.6828597553516993e-56,2.7305015765515936e-57,8.3516237582165737e-36,4.6879828252958346e-54,2.6900857572721582e-57,1.5050251005994722e-54,2.0870371707156827e-43,2.2401311467735568e-68,6.8882197001789536e-35,4.7197100742899057e-66,4.0360115249934483e-28,2.3745332032124331e-60,3.8792997350595617e-82,1.0053519741660846e-62,1.1273220747650634e-95,8.7059466612825618e-47,3.9828975567175832e-42,6.9214802815155712e-40,2.5761580643088354e-39,3.2155056743053051e-43,3.5957602709529337e-34,1.3736365219391392e-58,1.5193778056368011e-65,5.4018558794699438e-56,4.3924531727684641e-54,1.0265000526898625e-46,1.6505469310192076e-39,5.4226176822957404e-62,9.4740478041533431e-69,6.2719171475088017e-68,1.167880927995029e-85,1.7199130230619444e-90,1.6074658273968707e-82,3.7789781039710475e-134,8.0813273103004381e-116,7.8481139842973203e-71,5.3707772457759503e-53,2.4214485441555047e-60,3.9544565518999034e-58,5.0346671601823249e-72,4.1469590192447221e-54,2.9950022264858382e-64,4.1898926574584319e-86,4.5229970588659657e-45,8.6056441989277281e-40,1.6292271584964747e-45,8.7727284633147137e-57,4.8433589955169417e-80,1.2852369473217858e-96,2.009746095729289e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.8008067635447181e-28,4.0360110892898355e-28,3.800809611062251e-28,1.093749265765694e-27,9.3719271539368672e-28,4.6859635232173554e-28,3.9048394872638789e-34,4.1130636417074076e-34,3.1437651246930194e-33,2.6960151046417071e-33,1.0576797403764771e-34,1.3521790362559717e-33,1.1949410810039256e-36,7.3201976344577207e-38,2.6700262251322152e-38,6.4423985670576809e-38,1.2004116274582194e-37,4.3865648358395953e-37,1.7689411194338672e-28,2.8979381561046618e-29,1.6704816510636693e-36,1.796417677429972e-34,4.1575715460863613e-42,2.9810881875780678e-42,2.9418510188395919e-35,1.0734618587894818e-42,3.629119369195432e-37,8.8397776891944801e-38,2.1980743041884173e-43,1.378904181827196e-46,1.1022670649576092e-48,1.9663029112927833e-48,1.7221452476082606e-51,6.6468908738234398e-53,3.6316952834016592e-66,1.1108030144470348e-61,9.321102036701656e-65,1.4127172167439538e-65,1.1717094877959575e-67,1.127526086216544e-69,5.4964133949875578e-70,3.9257985594869332e-43,4.2779102260722025e-45,4.5777891138827077e-43,1.2325478025561993e-74
1.5e-14,0.001353423821206183,9.2242959728320725e-33,1.4199509760397993e-41,4.2953629121294217e-38,1.4079134425109493e-40,3.7901862414185152e-45,0.0,0.0,5.3049352905696395e-27,6.1644249352424054e-39,8.2103695840999201e-60,2.6380770917200299e-61,1.9041531426453162e-74,3.1547916814863058e-38,4.6965129469947771e-56,3.7113085960358204e-28,2.6736084752688876e-38,2.0716979886675671e-55,1.207958379072668e-56,3.6947551230194325e-35,4.3599104508780638e-53,1.190009176100371e-56,1.3996982175637013e-53,9.2330489461110602e-43,2.0834269685297478e-67,3.0473472576521472e-34,8.1834684745583864e-65,8.4677018976546257e-28,2.2083549906120941e-59,3.6077975328311278e-81,9.3499583741957626e-62,2.168125432669647e-94,8.0966909305300032e-46,1.7613435153896228e-41,3.0620602005770948e-39,1.1399040896562062e-38,1.4225382129598481e-42,1.590762953653916e-33,1.2775069102827672e-57,1.4130435602056967e-64,5.0238322402097462e-55,4.0850574407716187e-53,9.5466298788034252e-46,7.3020087344575398e-39,5.0434050998903945e-61,1.8221029981570041e-67,1.2062527788274341e-66,4.5818563474448619e-84,6.5909807525541937e-89,3.0915798975118222e-81,1.4839492699658012e-132,6.410386681282152e-114,1.407486768245716e-69,4.9949088752888863e-52,4.6570786693818508e-59,3.6783490349118285e-57,9.6829531438937214e-71,3.8556677950044851e-53,5.7611289611249288e-63,1.6427403255060563e-84,4.2064687151181263e-44,3.8050060877444594e-39,7.2076950827136663e-45,8.1564279973239723e-56,9.3119952009844242e-79,9.7607942867838381e-95,7.8852302613006398e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.9742325475614462e-28,8.4676999701054242e-28,7.9742451449632137e-28,2.2947215391757066e-27,1.9662607987009691e-27,9.8313037557115253e-28,1.7274992849861713e-33,1.8196175761163313e-33,1.3907978566454982e-32,1.1927137914451486e-32,4.6791739354548933e-34,5.9820234772020669e-33,5.2863993571744833e-36,3.2384508104986566e-37,1.1812177319063558e-37,2.8501130997380337e-37,5.3106173486380006e-37,1.9406094893819694e-36,3.7113036210815571e-28,6.079981080242514e-29,7.3901832822920389e-36,7.9473439930494742e-34,3.8666061750088868e-41,2.772458221351747e-41,1.3014736285848288e-34,9.9833642668554763e-42,1.6055202042889288e-36,3.9107052598099212e-37,2.0442443340745788e-42,1.2824017363587035e-45,1.0251631408597536e-47,1.8288742264236715e-47,3.312129436462529e-50,1.2783688510810155e-51,1.4243976243772369e-64,2.1362823632577729e-60,3.6521921210786238e-63,5.5417564125492778e-64,9.2826418135479866e-66,8.9428926464208738e-68,1.0568724500507175e-68,3.6510569738368203e-42,3.9785331934521668e-44,4.2574188786566649e-42,1.9642330501537383e-72
3.1e-14,0.001353423821206183,1.8879585973504254e-32,4.8198055690245575e-41,1.7905535751792461e-37,5.8684148893332138e-40,3.1991970622692113e-44,0.0,0.0,1.0857764833811043e-26,2.5694393428110486e-38,7.051841723836434e-59,2.2265357737042565e-60,3.2357688269947734e-73,1.3149715417397722e-37,3.9638360700139319e-55,7.5960363629063741e-28,1.1144056127285497e-37,8.6352056384089313e-55,5.0348537923652321e-56,1.5400354460022087e-34,3.6797548453496116e-52,4.9594743708043107e-56,1.1813374612310035e-52,3.8484922358524798e-42,1.7585224893731622e-66,1.270186311553492e-33,1.3200148559998171e-63,1.733105627343077e-27,1.8638390309549208e-58,3.044936209062086e-80,7.8913437980007079e-61,3.6862672980851615e-93,6.8335894309535675e-45,7.3359668866156328e-41,1.2763176682906718e-38,4.753040784895462e-38,5.9293740225722439e-42,6.6305648182511784e-33,1.078212399495579e-56,1.1925960307155464e-63,4.2401144668127262e-54,3.4477712433252014e-52,8.0573183250665605e-45,3.0435951310869115e-38,4.2570716157720943e-60,3.0979702082491739e-66,2.0508974840622637e-65,1.5641345312228529e-82,2.2242038703566039e-87,5.256389106133669e-80,5.0759434702710143e-131,4.3856215442540348e-112,2.4088360703911289e-68,4.2156706107723301e-51,7.9180788693979424e-58,3.1055640013434064e-56,1.6463098636251015e-69,3.2523855259070206e-52,9.7984229255075548e-62,5.6008250523050752e-83,3.5502471550970502e-43,1.5842591136667666e-38,3.0042876553303017e-44,6.8800800646154879e-55,1.5822238091444159e-77,6.8036703913511157e-93,2.6921977285560494e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6321056091612254e-27,1.7331048239100186e-27,1.6321108599640985e-27,4.6966435509423922e-27,4.0243776404071074e-27,2.0121887210882668e-27,7.2005030264710299e-33,7.5844674461088719e-33,5.7970556655707982e-32,4.9714113242178976e-32,1.9503599190764001e-33,2.4933977245991583e-32,2.2034467404685572e-35,1.3498387503048849e-36,4.9235053278242279e-37,1.1879733370960154e-36,2.2135544950497463e-36,8.0887418852764017e-36,7.5960156264883493e-28,1.244404592378695e-28,3.0803342449597263e-35,3.3125845763324691e-33,3.2633872112758791e-40,2.3399341434857884e-40,5.424757734568672e-34,8.4258895789613851e-41,6.6920689652351602e-36,1.6300397470100559e-36,1.7253289570544203e-41,1.0823366674025823e-44,8.6529255553405357e-47,1.543858075413269e-46,5.6313426645896505e-49,2.173507026350996e-50,4.8598567053442133e-63,3.6318830087633149e-59,1.243605593555844e-61,1.8913824327201003e-62,6.3346822179754356e-64,6.1168116237458648e-66,1.796142616541764e-67,3.0814707062842964e-41,3.3578696626183312e-43,3.5932366167559339e-41,2.6836924059376269e-70
6.300000000000001e-14,0.001353423821206183,3.8190019824783593e-32,1.74653665867634e-40,7.297993056437219e-37,2.3914005393455905e-39,2.6188336225342941e-43,0.0,0.0,2.1963424165349726e-26,1.0470604794636718e-37,5.9712179778610715e-58,1.8223029249963131e-59,5.3030029385655625e-72,5.3585771036605737e-37,3.2441616967902731e-54,1.5365472147677099e-27,4.5412567034102564e-37,3.5189004427487519e-54,2.0516275803788327e-55,6.2757066078856411e-34,3.0116742638701631e-51,2.0204523285292737e-55,9.6685110300819772e-52,1.5682791431026867e-41,1.4394414343707815e-65,5.1760705757673572e-33,2.1087530932943263e-62,3.5057659547425776e-27,1.5254357512546942e-57,2.4920503899549472e-79,6.4586242305750655e-60,6.0476069081387623e-92,5.5929122154212321e-44,2.9848941833743303e-40,5.2010460114652054e-38,1.9382842539658125e-37,2.4162421642068407e-41,2.7019819247057836e-32,8.824557360834833e-56,9.760576635465488e-63,3.4703154886129863e-53,2.8217951208224852e-51,6.5944393509998201e-44,1.240274318699499e-37,3.4849085450439899e-59,5.0825042597976957e-65,3.364705708059295e-64,5.1382808642289298e-81,7.2646308099843101e-86,8.6236961789838504e-79,1.6741375194633404e-129,2.883137831401408e-110,3.9817763410429884e-67,3.4502563336769616e-50,1.2990450161258933e-56,2.5434328490487832e-55,2.7009153148931157e-68,2.6589805939239375e-51,1.6085843173933807e-60,1.8352685292621197e-81,2.9056742090529039e-42,6.4419103331042715e-38,1.2242596311161201e-43,5.6245637148529062e-54,2.5924571329851186e-76,4.5219817505729286e-91,8.8464611740875051e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.3014591084536013e-27,3.5057626807329215e-27,3.3014805056555358e-27,9.5003974359545108e-27,8.1405340256378048e-27,4.070266608927483e-27,2.934232758474979e-32,3.090699846942202e-32,2.3623062562636104e-31,2.025855306008741e-31,7.9478142621714717e-33,1.0160621275295481e-31,8.9790327615860716e-35,5.5006355284734505e-36,2.0063427507322219e-36,4.8410291385354883e-36,9.0203301910224784e-36,3.2961612421217466e-35,1.5365387646095537e-27,2.5172091592499151e-28,1.2552346908002027e-34,1.3498910114321509e-32,2.6708680578454637e-39,1.9150820064164362e-39,2.2106098461794092e-33,6.8960427754253862e-40,2.7270398107568288e-35,6.6424184085678116e-36,1.4120712769057017e-40,8.8581986479801442e-44,7.0828697836318686e-46,1.2640389009248693e-45,9.2387485682603443e-48,3.5658467080045693e-49,1.5947300161859153e-61,5.9575852198415602e-58,4.0647075576635111e-60,6.2104332146173525e-61,4.1436288038046958e-62,4.0193872367490354e-64,2.9442189497957335e-66,2.5219902260038355e-40,2.7482232789819968e-42,2.9408385017621687e-40,3.5120407949123575e-68
1.2700000000000001e-13,0.001353423821206183,7.6810302936046667e-32,6.6139577270742809e-40,2.9461842734064111e-36,9.6502984380159815e-39,2.1180166782931741e-42,0.0,0.0,4.4174743808639049e-26,4.225362341654302e-37,5.1502960673837112e-57,1.4732994643359216e-58,8.5641541130016954e-71,2.1624254043584821e-36,2.6227975683865427e-53,3.0904264721738289e-27,1.8325969890296002e-36,1.4200412610628802e-53,8.2784167921114705e-55,2.5325140170460485e-33,2.4348650058413078e-50,8.1489224467856801e-55,7.8166291688675697e-51,6.3286964417109428e-41,1.1640588208094837e-64,2.0887723311681184e-32,3.369982260937232e-61,7.0510444190206997e-27,1.2332571095129406e-56,2.0146645433967247e-78,5.2216383620307081e-59,9.7869720071491161e-91,4.5217329554813991e-43,1.2008841138291359e-39,2.0988428419510272e-37,7.833029704491974e-37,9.7505492297145396e-41,1.090364401384959e-31,7.1344224388756179e-55,7.8909334641961602e-62,2.8056944801661607e-52,2.281330553797028e-50,5.3313999016405412e-43,5.005009308972219e-37,2.8186474544415961e-58,8.2252689454169109e-64,5.4453359157636935e-63,1.6638597313015741e-79,2.3456635937130486e-84,1.3956504290715874e-77,5.464393508304774e-128,1.867630250413088e-108,6.4760941027465145e-66,2.7893911323251873e-49,2.1023464291993148e-55,2.0590373703001335e-54,4.3710026504779724e-67,2.1450279175646038e-50,2.606672586929893e-59,5.9130933245624701e-80,2.3491581040866135e-41,2.5883543065531562e-37,4.9404095974492277e-43,4.5370238732235803e-53,4.1847823914631926e-75,2.948516989561594e-89,2.8661746690572387e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.640121269569352e-27,7.051031207102677e-27,6.6402076161063062e-27,1.9107544665430079e-26,1.6372537614989462e-26,8.1862671776805797e-27,1.184086434062044e-31,1.2472275764910121e-31,9.5327687899829532e-31,8.1750661553415154e-31,3.2072956484422706e-32,4.1001814323953721e-31,3.6233388992781293e-34,2.219730364980102e-35,8.096399966840391e-36,1.9535525598818774e-35,3.640091198326553e-35,1.3301137822218087e-34,3.0903923723268024e-27,5.0627846860804355e-28,5.0652923333317159e-34,5.4473786156283051e-32,2.1592789937889383e-38,1.5482587039196191e-38,8.920742442252731e-33,5.5751554955651205e-39,1.1004720461129186e-34,2.6804499251674846e-35,1.1416019591990263e-39,7.1614369859613069e-43,5.7278339798805913e-45,1.0227155981349657e-44,1.4951572166500952e-46,5.7708161406895715e-48,5.1526149586825972e-60,9.6387033628994752e-57,1.3030683441987249e-58,2.009179514785502e-59,2.6575564655140387e-60,2.6012772866144739e-62,4.7566544467943146e-65,2.0389321815840354e-39,2.2218617877385372e-41,2.3775549524691463e-39,4.5056547651293434e-66
2.55e-13,0.001353423821206183,1.5404853086510396e-31,2.5701780387786195e-39,1.1844334050747879e-35,3.8766771469531348e-38,1.7042176878549896e-41,0.0,0.0,8.8597387015972728e-26,1.6974241717521596e-36,4.6600699644217506e-56,1.1846456955008214e-57,1.3719624072083941e-69,8.6869329608410189e-36,2.108850905901754e-52,6.1981533891149833e-27,7.3619158404290904e-36,5.7046755788995391e-53,3.3249634626671225e-54,1.0173546075954769e-32,1.9577860190885932e-49,3.2699853513122738e-54,6.2848640651832583e-50,2.542366211419883e-40,9.3646921462573753e-64,8.3910244312212196e-32,5.3967861308653166e-60,1.414143258950968e-26,9.9158420201999636e-56,1.6197617223325017e-77,4.1985264183939113e-58,1.5743501989148375e-89,3.6357606018871665e-42,4.7951068134025241e-39,8.4314140419261865e-37,3.1555760199396287e-36,3.91695306696408e-40,4.3801820403311587e-31,5.7365029182826547e-54,6.3444028443788934e-61,2.2560034972990459e-51,1.8342995091027113e-49,4.2867146692759846e-42,2.0105793318069922e-36,2.2682753720433134e-57,1.3231778757315265e-62,8.7599831147582987e-62,5.3542622451662403e-78,7.5377527695054329e-83,2.2452591448277038e-76,1.7864467665639686e-126,1.2021018331667047e-106,1.0458751805171065e-64,2.2427562755425822e-48,3.3821109638710558e-54,1.6599414416533236e-53,7.031446653083633e-66,1.7172543356170762e-49,4.2041685587356805e-58,1.883920691870245e-78,1.8888586440810018e-40,1.0308738578667923e-36,1.9846496797858922e-42,3.6316310931992791e-52,6.6977395872407682e-74,1.9077723233996303e-87,9.232941363533509e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3317266246741923e-26,1.4141379515763006e-26,1.3317613113634329e-26,3.8320397070469129e-26,3.2835308162179475e-26,1.6417647534319536e-26,4.7566712922723233e-31,5.0103204067234698e-31,3.8293655696914783e-30,3.2839688604705011e-30,1.2884382601898367e-31,1.6470650263961661e-30,1.4554919509688298e-33,8.9169632669028931e-35,3.2524277430398525e-35,7.8476920955080631e-35,1.4622915480788791e-34,5.3430782430895841e-34,6.1980164051714178e-27,1.0153801315603635e-27,2.0347250346439332e-33,2.1883023200517896e-31,1.7361129156724158e-37,1.244836736196851e-37,3.5836109002420063e-32,4.4825755455225104e-38,4.4207518459184869e-34,1.0767445642940981e-34,9.178832289095254e-39,5.7579282880185379e-42,4.6079649978027003e-44,8.2356798148823967e-44,2.4052360210063524e-45,9.283458182043323e-47,1.6508219505632311e-58,1.5496706147236911e-55,4.1110785302489253e-57,6.4535521691736578e-58,1.6773035776662013e-58,1.6712476325174662e-60,7.6259447376968092e-64,1.6393742147833864e-38,1.7865025743323271e-40,1.9116390605236436e-38,5.6881572063787904e-64
5.11e-13,0.001353423821206183,3.0851563412301547e-31,1.0128730843900291e-38,4.7547098937306708e-35,1.5539089102844759e-37,1.3686326915059974e-40,0.0,0.0,1.7744268911291853e-25,6.8041107588459217e-36,4.569575323429718e-55,9.5009798645680961e-57,2.1826622535872881e-68,3.4821320294324815e-35,1.69119293611305e-51,1.2413480834081047e-26,2.9509832898406656e-35,2.286751447349528e-52,1.3322761313760567e-53,4.0779462421021311e-32,1.5701133501818726e-48,1.3078760940614169e-53,5.0400374591641131e-49,1.0190932767214843e-39,7.5182426128018298e-63,3.3634957807038689e-31,8.6682876384253988e-59,2.8321533930347001e-26,7.9518222568358668e-55,1.2987720777710626e-76,3.367147986936202e-57,2.5252278000874731e-88,2.9158228234039513e-41,1.8991621011253735e-38,3.3796330781617434e-36,1.2718514121929733e-35,1.5700558009258677e-39,1.7557444135757747e-30,4.6005490369628343e-53,5.0874553400420704e-60,1.8093544809610704e-50,1.4710228877237294e-48,3.4377661148274676e-41,8.0590157699352196e-36,1.8221743316476899e-56,2.1225000021029262e-61,1.4052502655837374e-60,1.7178940778223577e-76,2.4169629816849574e-81,3.6019636480448872e-75,5.9137676911776133e-125,7.7139417168518686e-105,1.6853692577108014e-63,1.7985086289925165e-47,5.4256054307360358e-53,1.3380540495191122e-52,1.1278858174881932e-64,1.3654007636864182e-48,6.7780120668417477e-57,5.9267384858506365e-77,1.5148128984086867e-39,4.0623774943783236e-36,7.9552494938052557e-42,2.8865933801212054e-51,1.0635767390265954e-72,1.232051418456722e-85,2.9681918413201619e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.6670838859385787e-26,2.8321321196964938e-26,2.6672229218035397e-26,7.6740334531029578e-26,6.5755903473799788e-26,3.2877925498745051e-26,1.9066490185177814e-30,2.0083214765676973e-30,1.5348661594757755e-29,1.3162630355980859e-29,5.1646511305308234e-31,6.6016764122877175e-30,5.8336404569132627e-33,3.5741981899869879e-34,1.3036686023661096e-34,3.1456022637225263e-34,5.8614561942178829e-34,2.1415349237462458e-33,1.2412931758315194e-26,2.0335296906176053e-27,8.1552316609542792e-33,8.7715225091607379e-31,1.3921995892970257e-36,9.9824063922040172e-37,1.4364439626779802e-31,3.5946283904366086e-37,1.7719788083966101e-33,4.3156956845249885e-34,7.3606812295231936e-38,4.6172514173817392e-41,3.6994004022518146e-43,6.6247657178684751e-43,3.8582697820410052e-44,1.4891830904484847e-45,5.2505044274422778e-57,2.4830004102758221e-54,1.2692613163084618e-55,2.0629780217856519e-56,1.0360666476559918e-56,1.0685335655773987e-58,1.2150468501119282e-62,1.314661228213983e-37,1.4327221445158404e-39,1.5329983130781234e-37,7.028316796789259e-62
