Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277)
0.0,0.003509644638575252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003509644638575252,1.2198537761437932e-33,3.5959835040341595e-43,2.9726232877709353e-40,7.4408359866763402e-43,1.1504004558869909e-48,0.0,0.0,2.0655391430300632e-28,1.0107156467589104e-41,2.5614020132320013e-63,8.318142093289311e-65,1.8685117329935317e-78,1.5432548763832554e-40,1.316023446986936e-59,4.5331725072226001e-29,1.3314619317510586e-40,1.509345783266264e-57,9.8572819850809162e-59,2.4556179862244604e-37,-2.1604585716204975e-73,8.8559628783770407e-59,6.0782162235408258e-57,5.1588433326787369e-45,1.8772502414043916e-70,1.1952518444863218e-36,2.3907068141497755e-68,1.0172087437940858e-28,9.7291605220049285e-63,1.8610490822459389e-84,1.3919106530920483e-64,2.6984443763812587e-98,1.5423755851819135e-49,4.7531549931713711e-43,1.5120514667585735e-41,1.4290007937865147e-40,1.1775189178297448e-44,6.9511907048937483e-36,1.9628580650233715e-60,1.9551706667614049e-67,5.7592037096474843e-58,4.3595581469062906e-56,8.3815627771094279e-49,6.8998324014590838e-41,3.1523943750841573e-64,6.7861120883936376e-72,4.279416031301952e-71,1.8172448523545542e-89,5.4163151908784809e-94,2.5869650109094629e-85,4.0762450834911294e-137,2.0813675033122584e-120,-2.3712630809169002e-74,2.8581700667070117e-55,1.3868331334521427e-63,2.6624058084061005e-60,6.0505226288111027e-75,5.7790926309983384e-56,1.8856903872066922e-67,3.6491045432391846e-90,8.7700867713550168e-48,1.8678565547694318e-41,8.0864098422780204e-47,4.7713382056656927e-59,1.0042496289265058e-82,-5.8347805741862466e-102,3.5101517400650646e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.6582296515866891e-29,1.0172087353938342e-28,9.658230221090519e-29,8.9352957677706479e-29,7.6492585381604992e-29,3.8246292657199375e-29,7.7204723120343362e-36,8.0279098067034538e-36,2.0197636625430891e-35,1.7292982906120866e-35,2.0287881298292399e-36,8.6602148254323401e-36,1.9714307693228372e-38,2.2824438956307506e-39,6.6308306449080931e-40,1.8184896115506102e-39,4.2798832565798702e-39,2.2564322906828939e-38,4.5331722589890096e-29,2.4632518224308385e-30,9.4880085374296478e-38,3.5816631431965218e-36,2.109824606237206e-44,4.4753597544444298e-45,1.946134899238563e-37,4.8037959119376065e-45,1.7640542659464929e-38,4.4533104551093246e-39
3.0000000000000002e-15,0.003509644638575252,4.0080908639449105e-33,1.3579674920788634e-42,1.9534413379492177e-39,4.889692158917157e-42,1.0846645166333088e-47,0.0,0.0,6.7867714782207191e-28,6.6418456822180661e-41,2.4155758784844552e-62,7.842828232795837e-64,2.2955782734958582e-77,1.0141389696734063e-39,1.2408220982468956e-58,1.4894709273976734e-28,8.7496068798035346e-40,9.9185733143456303e-57,6.4776394906111506e-58,1.6136917699496274e-36,1.2777567746851618e-71,5.8196180533695108e-58,5.7308892155023469e-56,3.3900970075542862e-44,1.7700429248888245e-69,7.8545120308798857e-36,2.3310126770772215e-67,3.3422570646517873e-28,9.1732078989730015e-62,1.7547049783576915e-83,1.3123728896812478e-63,3.3152312450756111e-97,1.4542398258395664e-48,3.1234393291954536e-42,9.9363379045791983e-41,9.3906079189122989e-40,7.7379811160223766e-44,4.5679251798865384e-35,1.850694711960037e-59,1.8434464083618484e-66,5.4301063720310228e-57,4.1104403702376024e-55,7.9026158497313259e-48,4.5341751805117721e-40,2.9722596442106045e-63,8.3372227531102912e-71,5.2575680218112094e-70,2.7518277257468838e-88,7.4214605869773253e-93,3.178271201799346e-84,6.1742813932344572e-136,3.746461232848248e-119,1.402441170368738e-72,2.6948458231167953e-54,1.7038235103254808e-62,2.5102740912831455e-59,7.4334974637686749e-74,5.4487913055580517e-55,2.3167094107907164e-66,5.5255550066501417e-89,8.2689387786196842e-47,1.2274169926322909e-40,5.3139263215516321e-46,4.4986335050816878e-58,1.233777529225229e-81,3.1174386478909947e-100,5.3153653435214166e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.1734180596194233e-28,3.3422570094501387e-28,3.1734184338647835e-28,2.9358822314115269e-28,2.5133272371807246e-28,1.2566636163821648e-28,5.0734530566266727e-35,5.275483405955389e-35,1.3272731333421816e-34,1.1363959077278488e-34,1.3332036171139181e-35,5.6909977509161381e-35,1.2955114717786807e-37,1.4998916353607712e-38,4.3574027715393433e-39,1.1950074049254541e-38,2.8124946612073837e-38,1.4827981797854952e-37,1.4894707642727492e-28,8.0935410697138228e-30,6.2349762157140909e-37,2.3536642681966355e-35,1.9892630169593962e-43,4.2196245100098691e-44,1.2788886045940424e-36,4.5292928991700125e-44,1.1592355250416464e-37,2.9264611168334276e-38
7e-15,0.003509644638575252,8.8875050899490321e-33,4.1464341716419872e-42,1.0616641357116506e-38,2.6574411753461947e-41,1.7519157386900628e-46,0.0,0.0,1.5048928113584634e-27,3.6096987527726375e-40,3.9095101929236398e-61,1.2667356966710844e-62,1.1610028305855118e-75,5.5116266351729636e-39,2.004115559951873e-57,3.3027396298533575e-28,4.7552207757038525e-39,5.3905262152685295e-56,3.5204457884028044e-57,8.7700622140887861e-36,2.4653338434694202e-70,3.1627836264843264e-57,9.2562489707488773e-55,1.8424438856761101e-43,2.8589057937248437e-68,4.2687562201278521e-35,4.9037192398296348e-66,7.4110902309623978e-28,1.4816111854545805e-60,2.8341094037950048e-82,2.1196808864332523e-62,1.6768876720484848e-95,2.3488174861003633e-47,1.6973002945061434e-41,5.4001825632141445e-40,5.1037018385052836e-39,4.2054233030083722e-43,2.4825675357641277e-34,2.989151849012717e-58,2.9774419980779941e-65,8.7704447891653839e-56,6.6389815006582912e-54,1.2763914813032635e-46,2.4642242354978874e-39,4.800680618169461e-62,4.2170795348778404e-69,2.659349777843842e-68,4.544664675165929e-86,8.4120354154992964e-91,1.6076133309072588e-82,1.0199485409070582e-133,2.0858247007036847e-116,2.7059665516435187e-71,4.3525807644267373e-53,8.6181738015287544e-61,4.0545582258054101e-58,3.7599560173877568e-72,8.7996249391031548e-54,1.171848703270883e-64,9.1197898642092506e-87,1.3355586373129761e-45,6.6696271971414851e-40,2.8880029184766176e-45,7.26513388931787e-57,6.2397159773870101e-80,1.1380631120708106e-97,8.7781960987643554e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.0367079729803772e-28,7.4110899309535775e-28,7.0367100069219704e-28,6.5099954596757958e-28,5.5730263043695327e-28,2.7865131401837306e-28,2.7573108178692158e-34,2.8671099055193386e-34,7.2134363228632577e-34,6.176060761474471e-34,7.2456714410163187e-35,3.0929315694346644e-34,7.0408169695139863e-37,8.151582588261952e-38,2.3681528891145429e-38,6.4946035485232804e-38,1.5285295294345848e-37,8.0586792997832279e-37,3.3027387433051259e-28,1.7946543518987585e-29,3.3885711191294721e-36,1.2791650694536379e-34,3.2129584635255135e-42,6.8153269791859872e-43,6.9504800091331559e-36,7.3154885261980912e-43,6.3001882811068545e-37,1.5904678590063512e-37
1.5e-14,0.003509644638575252,1.8646331305594914e-32,1.3159916422782322e-41,4.6968846663956171e-38,1.1756518176969082e-40,1.6293410542148668e-45,0.0,0.0,3.1573241545296233e-27,1.5969307373664281e-39,3.6475755812292138e-60,1.1780887024765475e-61,2.232532952521891e-74,2.4383449457072484e-38,1.8638648783544131e-56,6.9292762700254706e-28,2.1037094105563157e-38,2.3847699530527041e-55,1.5574375323121421e-56,3.8798742352036689e-35,4.4209137485140917e-69,1.3991770798286202e-56,8.6084772843103466e-54,8.1509707201249808e-43,2.6589293905817242e-67,1.8884975177953466e-34,6.2223257114405074e-65,1.5548751959201298e-27,1.3779249185555917e-59,2.6357689264026183e-81,1.9713427382191621e-61,3.2250909560997886e-94,2.1844440789657466e-46,7.5072322904562372e-41,2.3890399718433418e-39,2.2579589243506385e-38,1.8604783751885902e-42,1.0982875127339204e-33,2.7799665437609775e-57,2.7690721610424195e-64,8.1566785746150696e-55,6.174373719128421e-53,1.1870669815525042e-45,1.0901717684465813e-38,4.4647682064087922e-61,8.110547080806196e-68,5.1146283765816615e-67,1.782977278668776e-84,2.9607757924015504e-89,3.0918637329331465e-81,4.0032465917812978e-132,1.6545527628647376e-114,4.8526363727037537e-70,4.0479765929018888e-52,1.6575017199790892e-59,3.7709395271414384e-57,7.231358519163377e-71,8.1823596066836244e-53,2.2538461994932738e-63,3.574657008346585e-85,1.2420942072164826e-44,2.9498222770182025e-39,1.2776521110785225e-44,6.7554842723084728e-56,1.1998021171453998e-78,8.64194287695696e-96,3.4437924464292362e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4763282843009421e-27,1.5548750631963221e-27,1.4763291841162737e-27,1.365820898826638e-27,1.1692413370943335e-27,5.8462066323792328e-28,1.2198338458119954e-33,1.2684089509841095e-33,3.191220834556038e-33,2.732286374744221e-33,3.20548475806617e-34,1.3683114632373462e-33,3.1148528366093244e-36,3.6062583831793227e-37,1.0476702567835741e-37,2.873211203973842e-37,6.7622133319748413e-37,3.5651549748032189e-36,6.9292723479380757e-28,3.7652536096399747e-29,1.4991017236874487e-35,5.6590241088719115e-34,2.9881076938950318e-41,6.3383732881398853e-42,3.0748912260703551e-35,6.8035331720419492e-42,2.7871997755399563e-36,7.0362287847224622e-37
3.1e-14,0.003509644638575252,3.8163974791439327e-32,4.4933068167547869e-41,1.9578102553368159e-37,4.9003195780633155e-40,1.3752052032334638e-44,0.0,0.0,6.4621869052653769e-27,6.6562846126754426e-39,3.0978760233538213e-59,9.9430646945741915e-61,3.7945336300727798e-73,1.0163455792438926e-37,1.5730986280815068e-55,1.4182346491413968e-27,8.7686239007539469e-38,9.9401473594297071e-55,6.4916073952923786e-56,1.6171978856420476e-34,7.5647709636746123e-68,5.8317001674165736e-56,7.2655278011150256e-53,3.3974652565440935e-42,2.2443001055762253e-66,7.8715835881864873e-34,8.0070199612163632e-64,3.182405699817067e-27,1.1629642827878609e-58,2.2245754158157825e-80,1.6638096667094635e-60,5.4833700541985583e-93,1.8436668611074169e-45,3.127822208562925e-40,9.9579268664346874e-39,9.4122260908016136e-38,7.7547895597941109e-42,4.577850039653151e-33,2.3462860205084388e-56,2.3370845445847939e-63,6.8842241698371089e-54,5.2111554271909418e-52,1.0018808867930814e-44,4.5440167640470231e-38,3.7683320378309557e-60,1.3789751954634105e-66,8.6960275917636299e-66,6.0866811641557794e-83,9.5480600732156389e-88,5.2568721863087244e-80,1.3679070802508816e-130,1.1319574577180208e-112,8.3041610381238757e-69,3.4164771233626826e-51,2.8181301563316372e-58,3.1828728141234635e-56,1.2294865130711022e-69,6.9034845748800064e-52,3.8322954220187739e-62,1.2181102535189146e-83,1.0483248715191264e-43,1.2288689046829871e-38,5.3254727010407702e-44,5.6995854238339686e-55,2.0390647435144346e-77,6.0222184332939752e-94,1.1755668045048934e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.0216412756321478e-27,3.1824051466019588e-27,3.021645026215163e-27,2.7954584333883019e-27,2.3931143233035977e-27,1.1965571395220498e-27,5.0844754827901026e-33,5.2869448624287011e-33,1.3301534771757355e-32,1.1388620253314787e-32,1.3361014597229436e-33,5.7033477952806382e-33,1.2983209954417346e-35,1.5031496692753345e-36,4.3668667677002333e-37,1.1976031629008939e-36,2.8186068435547248e-36,1.4860146161334595e-35,1.4182330143488986e-27,7.706447196674217e-29,6.2484987954324637e-35,2.3587777298749745e-33,2.5219515093085982e-40,5.3495624517145975e-41,1.2816671220530534e-34,5.7421570762066228e-41,1.1617503839089121e-35,2.9328214714747634e-36
6.300000000000001e-14,0.003509644638575252,7.7199225981355464e-32,1.6346405402252876e-40,7.978727643499924e-37,1.9969057554616782e-39,1.1256020663426676e-43,0.0,0.0,1.307191266431005e-26,2.7124721371132863e-38,2.5669975056219831e-58,8.1378808412865704e-60,6.2211685717480677e-72,4.1416720797894758e-37,1.2874948004520554e-54,2.8688474698378356e-27,3.5732600677748755e-37,4.0506741427915676e-54,2.6453143865490743e-55,6.5901605623566788e-34,1.249995567684491e-66,2.3761955203394396e-55,5.9464163306183247e-52,1.3844848350568967e-41,1.8371135049561075e-65,3.2077114518902861e-33,1.105250170724187e-62,6.437459340624237e-27,9.5181929334865639e-58,1.8206784817888703e-79,1.3617366699262159e-59,8.9960241947868416e-92,1.5089399734615222e-44,1.2735319994451006e-39,4.0579039467204759e-38,3.8360692816900826e-37,3.1601128855658787e-41,1.8654963017501448e-32,1.9203049388539476e-55,1.9127632020649247e-62,5.6343625783548538e-53,4.265036323457363e-51,8.1998197421795809e-44,1.851704638011919e-37,3.084296247572942e-59,2.2623559864455711e-65,1.4266795544591725e-64,1.9995326632185074e-81,3.0453666343584448e-86,8.624490349917253e-79,4.5021967450526708e-129,7.4416540300854384e-111,1.3723863161539618e-67,2.7961859486892322e-50,4.6234593496134551e-57,2.6053433090584448e-55,2.0170813174136998e-68,5.6461890159986146e-51,6.2881094869858629e-61,3.9872636260409254e-82,8.5799562745469356e-43,5.0022902270255084e-38,2.1701564916066216e-43,4.6614851428119753e-54,3.3424616573645018e-76,4.000527876545625e-92,3.8614146665999987e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.1122593276165059e-27,6.437457086248865e-27,6.1122746114173083e-27,5.6547128180356387e-27,4.8408425874283877e-27,2.4204212035350273e-27,2.0719482893253423e-32,2.1544555854016051e-32,5.4204250979491822e-32,4.6409052896790484e-32,5.4446840036473611e-33,2.3241354775694276e-32,5.2906980970340221e-35,6.1254048161911705e-36,1.7795180436369938e-36,4.8802885347992399e-36,1.1485967099563444e-35,6.0555587432187378e-35,2.868840807982864e-27,1.5588814656997531e-28,2.5462829925600543e-34,9.6121328878437836e-33,2.0640688869212975e-39,4.3783012881487115e-40,5.2228555523349497e-34,4.6996192579406476e-40,4.7341725312801654e-35,1.1951399772377167e-35
1.2700000000000001e-13,0.003509644638575252,1.5526958523423097e-31,6.204642223596851e-40,3.220215124428581e-36,8.0584087456285267e-39,9.1013979095617533e-43,0.0,0.0,2.6291365212687425e-26,1.0946051414592395e-37,2.1263593422977636e-57,6.5793368929126699e-59,1.0054750526413013e-70,1.6713588783685273e-36,1.0409100655323636e-53,5.7700682169139175e-27,1.441970534158633e-36,1.6346383252226514e-53,1.0674629132136214e-54,2.6594207446039784e-33,2.0315723137361846e-65,9.5869755754467949e-55,4.807510784033922e-51,5.5870165073681964e-41,1.4857127623389789e-64,1.2944552893725131e-32,1.6209611868909454e-61,1.294753715442514e-26,7.6951913747880114e-57,1.4719538445545718e-78,1.1009327158900894e-58,1.4558883081357357e-90,1.219943332790688e-43,5.130647899568359e-39,1.6375433957554255e-37,1.5484583611281188e-36,1.2752435953430879e-40,7.5281011786564559e-32,1.5525205477752835e-54,1.5464057169624312e-61,4.5552585418638461e-52,3.4481711698653819e-50,6.6293263691006614e-43,7.4724099328537786e-37,2.4937825285465642e-58,3.6613499937098723e-64,2.3089196441331587e-63,6.4749407965122119e-80,9.7141634434270368e-85,1.3957794827683591e-77,1.4634233346777778e-127,4.8206455892689809e-109,2.2311861460269679e-66,2.2606315314749769e-49,7.4825626245638479e-56,2.1069031016950867e-54,3.2643296544482891e-67,4.5584713203952741e-50,1.0179191372404718e-59,1.2819762129929973e-80,6.9366872001981896e-42,2.0142944937208127e-37,8.7575419319709858e-43,3.7633628384439568e-53,5.400196387598951e-75,2.6058306168917766e-90,1.250131950427785e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2293463709035835e-26,1.2947528057051635e-26,1.2293525385850442e-26,1.137313885062491e-26,9.7362282835289452e-27,4.868113777856845e-27,8.3612231867403258e-32,8.6941768163842293e-32,2.1873683836712197e-31,1.8727995183055133e-31,2.1971745248643493e-32,9.3788589517377956e-32,2.1350112956529302e-34,2.4718683135785818e-35,7.1811285132264504e-36,1.9694094795990376e-35,4.6350998440324344e-35,2.4436662967311775e-34,5.7700413334241583e-27,3.1353470723044222e-28,1.0275288489561466e-33,3.8789185088763957e-32,1.6687365053277211e-38,3.5397213530045462e-39,2.1076522248502173e-33,3.79950093275131e-39,1.9104337904143364e-34,4.8229244701614955e-35
2.55e-13,0.003509644638575252,3.1140973123322603e-31,2.414213082886952e-39,1.2939832671506716e-35,3.2372391605693622e-38,7.319988800759039e-42,0.0,0.0,5.2730274430557337e-26,4.39727802538929e-37,1.7917434625398872e-56,5.2902996941234778e-58,1.6132300595448473e-69,6.7142845353542712e-36,8.3696094287523653e-53,1.1572490133864889e-26,5.7927121961288695e-36,6.5667798882002516e-53,4.2879118744742915e-54,1.0683442350066356e-32,3.2762580646377653e-64,3.8496623984453856e-54,3.8655093760520823e-50,2.2444270974287578e-40,1.1953336115185601e-63,5.2001110718127329e-32,2.4737683814369608e-60,2.5967574911840178e-26,6.1873662227654646e-56,1.1835118591944775e-77,8.8522286223627666e-58,2.3421049700657989e-89,9.8091550748815318e-43,2.0541983717836316e-38,6.57834996723295e-37,6.2239507430023032e-36,5.1229050430793757e-40,3.0241936952610715e-31,1.2483266045768867e-53,1.2433817216680013e-60,3.6627397824556483e-51,2.7725381784640024e-49,5.3303551368799687e-42,3.0017926188299698e-36,2.0054881498276757e-57,5.8901351586971912e-63,3.7144711581323948e-62,2.0837018748031733e-78,3.1024482587029753e-83,2.2454684553255272e-76,4.7450269476141006e-126,3.1029589381099784e-107,3.6004150721553121e-65,1.8176648112347288e-48,1.2037613721509492e-54,1.6949577889641517e-53,5.2512008400093686e-66,3.6551609501759657e-49,1.6384066414009963e-58,4.0676178763386654e-79,5.577540573850124e-41,8.0570994123720851e-37,3.5180873469325893e-42,3.0174447494530888e-52,8.6580941250246137e-74,1.6826381977861226e-88,4.0212294715455565e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.4655745582979575e-26,2.5967538366024414e-26,2.4655993350923122e-26,2.2809659978570016e-26,1.9526716355341189e-26,9.7633567158195106e-27,3.3588736729947502e-31,3.4926282331843225e-31,8.7870104641944961e-31,7.5233367733481828e-31,8.8265371189395573e-32,3.7676381036869317e-31,8.5766288904144132e-34,9.9299816572536574e-35,2.8847976216052723e-35,7.9115052353513998e-35,1.8620193554353909e-34,9.8165594623166469e-34,1.1572382137626036e-26,6.2882467439783835e-28,4.1277252396709547e-33,1.5582404747694324e-31,1.3417496173388841e-37,2.8461153305297212e-38,8.4668695866683974e-33,3.0549975887172305e-38,7.6744958910050074e-34,1.9374739881516173e-34
5.11e-13,0.003509644638575252,6.2368773321276265e-31,9.5206707984429065e-39,5.1896900541557075e-35,1.2976390724854194e-37,5.8735073522933192e-41,0.0,0.0,1.0560810935046238e-25,1.7626453971902744e-36,1.5685037105783886e-55,4.2428890570464936e-57,2.5742514392986383e-68,2.6914595567522719e-35,6.7123438863547888e-52,2.3177255659489942e-26,2.3219947068041647e-35,2.6323410130760569e-52,1.7185418552721963e-53,4.2824043414155075e-32,5.2646167080554382e-63,1.5418177991689855e-53,3.1000219795219712e-49,8.9967311665057069e-40,9.5980423625588692e-63,2.0844519747715507e-31,3.8636889216467247e-59,5.2007178954458882e-26,4.9620796446551043e-55,9.4910565403341819e-77,7.0993963619113336e-57,3.7571295052644448e-88,7.8668451079109939e-42,8.179440833922314e-38,2.6368985974990131e-36,2.4975909885314185e-35,2.0534813284888271e-39,1.2122328775437909e-30,1.0011406075431237e-52,9.9712971328245832e-60,2.9374957548387097e-50,2.2235151184823294e-48,4.2747896428283331e-41,1.2032304688939614e-35,1.6088969055565379e-56,9.4490142385843742e-62,5.9589061737666353e-61,6.6859946484030524e-77,9.9171274191993925e-82,3.6023048911659286e-75,1.5455278824400906e-124,1.9913703864526293e-105,5.7927171128956728e-64,1.4576959646921673e-47,1.931139741469784e-53,1.3607146637564655e-52,8.423277010250818e-65,2.9152650233688051e-48,2.6310338935870391e-57,1.2695283662447967e-77,4.4731051409665379e-40,3.2021325023380294e-36,1.4102092051828938e-41,2.40637219686333e-51,1.3795995268892311e-72,1.0824021419247792e-86,1.2891153021650046e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.9379801785708241e-26,5.2007032464089773e-26,4.9380794946622446e-26,4.5681378562227508e-26,3.9106559283064188e-26,1.9553273782103664e-26,1.3463857952788801e-30,1.4000008098093741e-30,3.5221489071835151e-30,3.015623187089996e-30,3.5380998745016238e-31,1.510204205421367e-30,3.4377765533890419e-33,3.9803642832737575e-34,1.156348652902162e-34,3.1712717144451747e-34,7.4638435638947645e-34,3.9347962605377242e-33,2.3176822764313568e-26,1.2593919923621523e-27,1.6545215880018458e-32,6.2461192787123704e-31,1.0760291120790347e-36,2.2824666843244552e-37,3.3938985112321323e-32,2.4499917327278802e-37,3.0761941005449123e-33,7.7663125166671705e-34
