Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334)
0.0,0.0017931455845908077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017931455845908077,1.8995327784909133e-34,7.5475948121190534e-44,7.2020794934004269e-41,1.8938611572163929e-43,5.1886656322086255e-49,0.0,0.0,1.292034150119763e-28,9.0062704838248693e-42,5.3381254020150759e-64,1.7692762312295755e-65,8.3277842624604232e-80,4.8112439738366449e-41,3.7837451178923872e-60,8.7007525035211112e-30,3.9635035980114951e-41,1.6659922133609892e-58,8.00078261521679e-60,6.9859314719072175e-38,-2.0884949409218954e-74,8.904673269553907e-60,1.2348306441325238e-57,1.1337566230724417e-45,1.1980948253004675e-71,4.7197555999152816e-37,1.4065356120206912e-69,2.0398354633034701e-29,1.737838216870098e-63,1.084653383003031e-85,8.4287277209270658e-66,6.5312876787071409e-100,8.6730222252955323e-50,2.1764121572524983e-44,4.6028708927630293e-42,2.3899968480260666e-41,2.0315613835810426e-45,2.837308875215684e-36,1.4509718082388617e-61,1.0400954989785501e-68,5.6501479620729522e-59,5.152706589696679e-57,1.7636427052471472e-49,1.5333110674827218e-41,4.8372164929219712e-65,1.5160750266800923e-72,1.0254307152106744e-71,2.6960150131731971e-90,3.1361890360521396e-95,1.4495532922885069e-86,-1.406295626714534e-143,4.3484167224337645e-124,-3.4325176014349094e-75,5.2589654554937274e-56,4.8509560736083696e-64,4.0222142266949679e-61,7.7711878815636064e-76,3.3871273330062115e-57,5.7251160501101445e-68,8.0641433396142661e-91,5.3427951011867298e-48,5.9306156298205559e-42,1.2516302988475154e-47,5.4185789526692718e-60,3.4920176258769201e-84,-2.2504619376951756e-102,4.9109519384984136e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8950925040284623e-29,2.0398354338385988e-29,1.8950927256531527e-29,5.5883451245683265e-29,4.7954677666148909e-29,2.397733877694966e-29,3.0111741150902466e-36,3.2010688701899308e-36,2.4536412310057296e-35,2.1070478839720873e-35,7.9882289895628457e-37,1.0579393087392646e-35,1.1900935144064381e-38,5.5002022282735452e-40,1.8378066572539601e-40,4.7584827679409521e-40,9.7624711791591119e-40,4.2698553311786564e-39,8.7007516000523842e-30,1.3880810065020056e-30,1.4223920919254471e-38,1.3610513111896727e-36,6.2108136750494468e-45,5.2111718681386488e-45
3.0000000000000002e-15,0.0017931455845908077,6.2413211088827888e-34,2.8595020329965981e-43,4.7328114777229164e-40,1.2445372558009676e-42,4.8921822555152422e-48,0.0,0.0,4.2452550670248131e-28,5.9184063193638137e-41,5.0359993304621229e-63,1.6681758139525446e-64,1.0231156306756598e-78,3.1616745802849967e-40,3.5675307981708713e-59,2.8588185246595266e-29,2.6045880172677081e-40,1.0947958775515862e-57,5.2576524439399043e-59,4.590754682962121e-37,1.2351952909136443e-72,5.8516134274109697e-59,1.1642687512170931e-56,7.4504004875172093e-45,1.1296689348150976e-70,3.1015536067952786e-36,1.5153722563924832e-68,6.7023155671801845e-29,1.6385329616230442e-62,1.0226734609207118e-84,7.9470859908564292e-65,8.0241514348058717e-99,8.1774208208600045e-49,1.4301701558824432e-43,3.024743542122971e-41,1.5705857802486203e-40,1.3350259524510039e-44,1.8645171453320491e-35,1.3680590828364492e-60,9.8066124061480513e-68,5.3272826099974741e-58,4.8582658199280562e-56,1.6628629982007032e-48,1.0076043080648526e-40,4.5608139518314432e-64,1.8626061692595302e-71,1.2598147585217298e-70,4.0825364601180522e-89,4.5742120909445087e-94,1.7808797074284229e-85,7.5139996983844093e-142,7.8271489971465735e-123,2.0301113383917295e-73,4.9584523522617311e-55,5.9597456628203792e-63,3.7924008641594701e-60,9.5474574648081779e-75,3.1935279341848575e-56,7.0337530766332431e-67,1.2211066090794293e-89,5.0374923064385508e-47,3.8970962553703695e-41,8.2249986294499169e-47,5.1088636137154096e-59,4.2901192950047454e-83,1.2023881284926143e-100,7.436533182754743e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.2267315223490879e-29,6.702315373553915e-29,6.2267329787397919e-29,1.8361697346979017e-28,1.5756530024234001e-28,7.8782649752351814e-29,1.9787714243998999e-35,2.103559399706331e-35,1.6123925010266031e-34,1.3846312020159447e-34,5.2494075254208518e-36,6.9521712639466314e-35,7.8206122793100324e-38,3.6144182499650397e-39,1.2077013829046412e-39,3.1270026544349684e-39,6.4153379135979034e-39,2.8059047634632969e-38,2.8588179309515593e-29,4.5608375960908764e-30,9.3471456151597948e-38,8.9440508587261969e-36,5.8559089806209079e-44,4.9133896357371766e-44
7e-15,0.0017931455845908077,1.3839445507398855e-33,8.7831355965986443e-43,2.5722380665093728e-39,6.763786742971846e-42,7.9017902560523802e-47,0.0,0.0,9.413391685452722e-28,3.2165251785953626e-40,8.1769778538054264e-62,2.6943568928404133e-63,5.1743240085887409e-77,1.7183012923289187e-39,5.7620981402088719e-58,6.3391183394544806e-29,1.4155367486735713e-39,5.9499755378610224e-57,2.8574031736273304e-58,2.494974365773584e-36,2.3832481085913632e-71,3.1801219432294883e-58,1.8804683379189838e-55,4.0491300688667887e-44,1.8245963199326335e-69,1.685626701521667e-35,5.2489949165919594e-67,1.4861650111786328e-28,2.6464758231660146e-61,1.651766910451386e-83,1.2835745817403356e-63,4.058715600213145e-97,1.3207771638794889e-47,7.7711242010235789e-43,1.6438816970807701e-40,8.5363728870323269e-40,7.2555723055793355e-44,1.0133241269537124e-34,2.2096219506244328e-59,1.5839130857322625e-66,8.6043722175654969e-57,7.846829578587825e-55,2.68577385686965e-47,5.4761065607500188e-40,7.3665510950898802e-63,9.4213041664078197e-70,6.3723115400317534e-69,6.742333667120928e-87,6.6928367272625459e-92,9.0079349175762584e-84,2.7432901108319049e-139,4.3577231414467049e-120,3.9171686707046624e-72,8.0086401116958005e-54,3.0145202659355777e-61,6.1257082669216742e-59,4.8292254712358583e-73,5.1573022831187012e-55,3.5580076289026197e-65,2.0158036544908954e-87,8.1363101106999336e-46,2.1174021971958704e-40,4.4701062629401448e-46,8.2503713030277208e-58,2.169554249410105e-81,4.3897009461015633e-98,1.2280242022453871e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.380709395602554e-28,1.4861649059470536e-28,1.3807101871187891e-28,4.0715016151100157e-28,3.4938348113133834e-28,1.7469173856123389e-28,1.0754187680821288e-34,1.1432382964807058e-34,8.7629918333289509e-34,7.5251602187535516e-34,2.8529385319730773e-35,3.7783492218090384e-34,4.2503248247958677e-37,1.9643564813509307e-38,6.5635897079327779e-39,1.6994568774010143e-38,3.4865956671147655e-38,1.524947645271385e-37,6.339115112782684e-29,1.0113161647340083e-29,5.079961893518874e-37,4.8608950315560868e-35,9.4581646309015318e-43,7.9358541646100544e-43
1.5e-14,0.0017931455845908077,2.9035677210588044e-33,2.802390930949058e-42,1.1380006541084965e-38,2.9922972776620594e-41,7.3490679007579479e-46,0.0,0.0,1.9749664967996504e-27,1.4229907427057417e-39,7.6675987799791945e-61,2.505803487106066e-62,9.949467508193776e-76,7.6017641083232876e-39,5.3588526153571157e-57,1.3299714948575285e-28,6.2623329796775276e-39,2.6322697483743347e-56,1.2641029406063145e-57,1.1037759205442443e-35,4.2737989476731983e-70,1.4068104546564225e-57,1.7488677713107005e-54,1.7913346788366288e-43,1.6969613341729558e-68,7.4572106263832501e-35,8.9701269741469761e-66,3.1180300597295722e-28,2.4612675388373466e-60,1.5361663799825961e-82,1.1937481276506086e-62,7.8059480371168007e-96,1.2283472520814207e-46,3.436814366482491e-42,7.2725277571691019e-40,3.7769177642963861e-39,3.2098625989504737e-43,4.4829429351703926e-34,2.0549887761583705e-58,1.4730639212220331e-65,8.0022329042773871e-56,7.2976902335206543e-54,2.4978174002517476e-46,2.4226267431025156e-39,6.8512430836657292e-62,1.8119607469191345e-68,1.2255618689707191e-67,2.6451699222784132e-85,2.5496884935969238e-90,1.7324631209468444e-82,2.0836229429859114e-137,3.4567000511469717e-118,7.0250922012245924e-71,7.4481684612386054e-53,5.7977129281860261e-60,5.6976160365651432e-58,9.2878434423757225e-72,4.7953243487686724e-54,6.8436726024232283e-64,7.9035491711477134e-86,7.566916354696423e-45,9.363091765210725e-40,1.977573770317714e-45,7.6712243761519311e-57,4.1713355848926148e-80,3.3335669685532776e-96,4.8171111578795133e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8967799522658692e-28,3.1180295941857212e-28,2.8967834539303802e-28,8.5421496720355837e-28,7.3301849439541941e-28,3.6650923833013447e-28,4.7576490707866301e-34,5.0576824924660514e-34,3.8767395842353391e-33,3.3291240039813463e-33,1.2621397562816491e-34,1.6715382225860115e-33,1.8803378705279815e-36,8.6903037902281877e-38,2.9037285854336987e-38,7.5183892374706569e-38,1.542469169812752e-37,6.7463640045521179e-37,1.3299700673793505e-28,2.1217809814088335e-29,2.2473688586400135e-36,2.1504583640774855e-34,8.7962477486259808e-42,7.3804720321584913e-42
3.1e-14,0.0017931455845908077,5.9428072241749448e-33,9.6079420240445272e-42,4.7437303798258826e-38,1.2472398400744621e-40,6.2030232279065174e-45,0.0,0.0,4.0422211715835466e-27,5.9312724748380209e-39,6.5756533989666283e-60,2.1148961542492328e-61,1.6909239654497677e-74,3.1685465859594515e-38,4.5228517467733698e-56,2.7220896084950966e-28,2.6102477984172364e-38,1.0971763736689338e-55,5.2689009155274381e-57,4.6007236307821342e-35,7.3133202529286576e-69,5.863215216172362e-57,1.4760364969211625e-53,7.4665901370864612e-43,1.432327271658905e-67,3.1082932962184409e-34,1.4351191634955745e-64,6.3817527153672569e-28,2.0772981556700928e-59,1.2965091698643572e-81,1.0075209701826816e-61,1.3271785254664078e-94,1.0367226169054097e-45,1.4316032608727084e-41,3.031311850819306e-39,1.5746318570803725e-38,1.3379243445838023e-42,1.8685659923658882e-33,1.7344053960856784e-57,1.243255339723648e-64,6.7538804586755117e-55,6.1592246957944965e-53,2.1081494173058388e-45,1.0097906021968654e-38,5.7827901808139697e-61,3.0807319179800303e-67,2.0837293664782529e-66,9.02998583520825e-84,8.5787284321119891e-89,2.945581856568988e-81,1.4525607612710717e-135,2.364883101400621e-116,1.2023072405941219e-69,6.2862138123167893e-52,9.8574207235994468e-59,4.809759730362656e-57,1.5791351647721742e-70,4.0454842566395474e-53,1.1638108090903267e-62,2.6947652258142445e-84,6.3864573997569126e-44,3.8992038108788746e-39,8.2428606724558705e-45,6.4715594826800296e-56,7.0878927112620513e-79,2.3233374766553101e-94,1.6439696285389553e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9289133453242624e-28,6.3817507749050125e-28,5.9289279408428257e-28,1.7483382970733527e-27,1.5002831269058505e-27,7.5014152649165e-28,1.9830678249515789e-33,2.1081268235438628e-33,1.6158858380962062e-32,1.3876310751478747e-32,5.2608155708043039e-34,6.9672331911633337e-33,7.8375271528763272e-36,3.6222619186888823e-37,1.2103216300067887e-37,3.1337886440223612e-37,6.4292731325707797e-37,2.8119980659367053e-36,2.7220836585298493e-28,4.3427106404581176e-29,9.3673723520708786e-36,8.9634707592448433e-34,7.4239810866311577e-41,6.2290712837064486e-41
6.300000000000001e-14,0.0017931455845908077,1.2021258880444311e-32,3.5048579342461703e-41,1.9333761465551729e-37,5.0825569053756369e-40,5.0775227130760702e-44,0.0,0.0,8.1767305942515741e-27,2.417025723191915e-38,5.5519495269579405e-59,1.7309304651387892e-60,2.7718223378490739e-73,1.2911993796583171e-37,3.7016888773601031e-55,5.5063210030322377e-28,1.06368907715596e-37,4.4710586496729705e-55,2.1470248444473484e-56,1.8748149415970833e-34,1.20853860020383e-67,2.388792835359536e-56,1.2080469812244163e-52,3.0426729052158835e-42,1.1724374295989599e-66,1.266645116851943e-33,2.2821551457330399e-63,1.2909168260921575e-27,1.7001425800828944e-58,1.0611011588969397e-80,8.2460004481318414e-61,2.1773518443472169e-93,8.4850006592404924e-45,5.8263996142658286e-41,1.2352727960214416e-38,6.4195201861442772e-38,5.4520971332844397e-42,7.6144878897880261e-33,1.4195131466563205e-56,1.0175231678608683e-63,5.5276967312413279e-54,5.040966097542921e-52,1.7253979387070875e-44,4.1149329470474156e-38,4.733472785239997e-60,5.054242055803888e-66,3.4185767678407899e-65,2.9664191732010892e-82,2.7977519736572686e-87,4.8325590378208623e-80,9.6567565953653902e-134,1.5546980201732168e-114,1.9874037299499289e-68,5.1448764668841229e-51,1.6172171661305658e-57,3.9381233396839921e-56,2.5907173100516919e-69,3.3081367056951438e-52,1.9101165204199014e-61,8.8307944953773346e-83,5.2269539302788514e-43,1.5861158420919625e-38,3.3590022197248206e-44,5.2918240644546553e-55,1.1614332818940607e-77,1.5437910927887811e-92,5.3974243738031422e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1993149250525338e-27,1.2909160353476087e-27,1.1993208727835812e-27,3.5365598311048316e-27,3.0347908161592424e-27,1.5173952574628863e-27,8.0810853842168589e-33,8.5907064479347047e-33,6.5847694816298055e-32,5.6546263929895389e-32,2.143809218977161e-33,2.8391623341378725e-32,3.1937962399898915e-35,1.4760852345352888e-36,4.9321031166888271e-37,1.2770305828346205e-36,2.6199586842666418e-36,1.1459015651923242e-35,5.5062967566954437e-28,8.7845700613528206e-29,3.817213470903528e-35,3.6526523732693696e-33,6.0760613952570768e-40,5.0980972417735776e-40
1.2700000000000001e-13,0.0017931455845908077,2.4178052794122315e-32,1.3324759235302082e-40,7.8042956501833551e-37,2.0510308592497227e-39,4.1061690373148506e-43,0.0,0.0,1.6445749731985912e-26,9.7537913221792747e-38,4.7635956495790412e-58,1.3994243922418328e-59,4.4783815810429634e-72,5.210568678358983e-37,2.9927035836244181e-54,1.1074764461221592e-27,4.2924576249002377e-37,1.8042786102459383e-54,8.6635635695213509e-56,7.565686161155019e-34,1.964492252098516e-66,9.6358353662782209e-56,9.7666573172355361e-52,1.2278535520654642e-41,9.4814175061468091e-66,5.1114753419593685e-33,3.6371148838828241e-62,2.596388029023179e-27,1.3745072383195825e-57,8.5784309492186998e-80,6.6666942869043448e-60,3.523696353431488e-92,6.859921741483522e-44,2.3452196070601541e-40,4.9848580072145153e-38,2.5928213743292251e-37,2.2001537791101956e-41,3.0727739691715745e-32,1.1476400369008342e-55,8.2262314500302708e-63,4.4690431713632045e-53,4.0754718888718095e-51,1.3949341766412753e-43,1.6605464771457249e-37,3.827836478911365e-59,8.1795916234240419e-65,5.5325418934820492e-64,9.6058283100668445e-81,9.0267759381808424e-86,7.8209703041671765e-79,6.2998545863238655e-132,1.0071073575924328e-112,3.2323975013143239e-67,4.1594434762211927e-50,2.6172774673804919e-56,3.1864546432215207e-55,4.1926904424548629e-68,2.6699305644456773e-51,3.0937427887947543e-60,2.8456200199846783e-81,4.2258555198131265e-42,6.3779772453930507e-38,1.3555025824558562e-43,4.2706009237747025e-54,1.8750889414254702e-76,1.0061129797017395e-90,1.7457539618499644e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.412149753852267e-27,2.5963848380465541e-27,2.4121737554582404e-27,7.1129023991605625e-27,6.1037198940236968e-27,3.0518593392249265e-27,3.2610641751635941e-32,3.4667183884389505e-32,2.6572093803147769e-31,2.2818606149094134e-31,8.6512257039681059e-33,1.145711784646604e-31,1.2888100096053345e-34,5.9566214880298348e-36,1.9903078264584907e-36,5.1533529183214514e-36,1.0572677147320265e-35,4.6242073289726071e-35,1.1074666617055047e-27,1.7668289314307579e-28,1.5403846297682765e-34,1.4740017833631318e-32,4.9122608121275538e-39,4.1216054357027987e-39
2.55e-13,0.0017931455845908077,4.849120303396285e-32,5.189133546845039e-40,3.1369516696205041e-36,8.2393723753178931e-39,3.3033980048297324e-42,0.0,0.0,3.2983789177026541e-26,3.9183198153975646e-37,4.2723903628247908e-57,1.1252411814363216e-58,7.1806241968564737e-71,2.0932003320850796e-36,2.4062892542433309e-53,2.2211574054596933e-27,1.7243709446912323e-36,7.2482322560230471e-54,3.479826748331026e-55,3.0392764187237763e-33,3.1690296398270435e-65,3.8677058648340887e-55,7.852840132861419e-51,4.9325469146099756e-41,7.6277620618686911e-65,2.0533876703862974e-32,5.8123735316198296e-61,5.2072828110344641e-27,1.1051645871547404e-56,6.8971004462508968e-79,5.3604526827479668e-59,5.6684147056719976e-91,5.5158224381197914e-43,9.3734557610348537e-40,2.0025098834469088e-37,1.0433886350013903e-36,8.8384068267257425e-41,1.2343902740485567e-31,9.2277279919256964e-55,6.6140994024198086e-62,3.5934514936952373e-52,3.276896369360844e-50,1.1216029674167395e-42,6.6706726405129789e-37,3.0793340783091917e-58,1.3158494416771851e-63,8.9003455776284227e-63,3.0911822029211883e-79,2.8996404844667597e-84,1.2582037720007498e-77,4.0804963984114559e-130,6.48238146795392e-111,5.2203255301352639e-66,3.3443547120912026e-49,4.2105227976398871e-55,2.5662174296005734e-54,6.7446862604951077e-67,2.1394205467501217e-50,4.9848145840422353e-59,9.0687423775167405e-80,3.3978417143893836e-41,2.5441095528826442e-37,5.445308793262777e-43,3.4215227713499665e-53,3.0019779072391042e-75,6.5034549468135952e-89,5.6047860474301641e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.8377700034961915e-27,5.2072699924372042e-27,4.8378664219824192e-27,1.4265185557843635e-26,1.2241232866602622e-26,6.1206139918406895e-27,1.3100283434098794e-31,1.3926435780506473e-31,1.0674271069262744e-30,9.1664580228657034e-31,3.475383264095042e-32,4.6024358032216965e-31,5.1771928230600892e-34,2.3928704511312679e-35,7.9953688496197763e-36,2.0701847601173647e-35,4.2472524223450876e-35,1.8576304201946623e-34,2.2211180998448086e-27,3.5435729464724862e-28,6.1878059140309567e-34,5.9213316965588064e-32,3.9496307982947544e-38,3.313901295503375e-38
5.11e-13,0.0017931455845908077,9.7115753226999024e-32,2.0472900880231321e-39,1.2588500508245469e-35,3.3026773386505196e-38,2.6520699510672571e-41,0.0,0.0,6.6059872745226115e-26,1.5706552270084953e-36,4.1355758732093452e-56,9.0244976913419485e-58,1.1443587555910629e-69,8.3905465325332457e-36,1.9297505654835257e-52,4.4484883953624923e-27,6.9120711314516879e-36,2.9054753016623065e-53,1.3944659201589382e-54,1.2182659334325077e-32,5.0952835046577425e-64,1.5477846062937616e-54,6.2975769648503807e-50,1.9771912250876646e-40,6.1239317804568961e-64,8.2309213553182663e-32,9.3133697690193115e-60,1.0428881886602617e-26,8.8628200897615816e-56,5.5305587032036942e-78,4.2990097874324796e-58,9.092454021018581e-90,4.4236180639837637e-42,3.7195415674323746e-39,8.0268761729489149e-37,4.1965088973860807e-36,3.5427787679433351e-40,4.9479395616331206e-31,7.4004489667053877e-54,5.3039011435228598e-61,2.8819827191424473e-51,2.6279520217007212e-49,8.9948750207256481e-42,2.6738371748117457e-36,2.4719998037237988e-57,2.1108072287677793e-62,1.4277902102687326e-61,9.9182500841703074e-78,9.2958804056026559e-83,2.0184820254651351e-76,2.6410576830432736e-128,4.1599353655243261e-109,8.4126018928712093e-65,2.6819560870977943e-48,6.7546328869522682e-54,2.0645252177672128e-53,1.0819143389020548e-65,1.7041163979562036e-49,8.0212769145355575e-58,2.8545522244565809e-78,2.7249921532852664e-40,1.005601068936812e-36,2.1827046942257548e-42,2.7245288472135826e-52,4.7697897931332985e-74,4.1920354863624305e-87,1.7899208899612144e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.6888128790126467e-27,1.0428830505619933e-26,9.6891993602950845e-27,2.8568144146279988e-26,2.4514878234497695e-26,1.2257429331937375e-26,5.251114981369946e-31,5.5822715255278463e-31,4.2784974035919663e-30,3.6741305309032311e-30,1.393095769666966e-31,1.8447630979111703e-30,2.0750729377066735e-33,9.5914815529250098e-35,3.2048163926982953e-35,8.29804324893128e-35,1.7024815723509861e-34,7.4461450242089022e-34,4.4483308440409305e-27,7.0970616342361859e-28,2.4801608146198652e-33,2.3735057820889071e-31,3.1673188360510795e-37,2.6574860586962785e-37
