Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235)
0.0,0.0051854228168101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0051854228168101,6.133022279482219e-27,2.3957309782615054e-35,8.2799723675138162e-34,1.2408247216741147e-35,3.5668290018043341e-42,0.0,0.0,1.8876402414849323e-24,9.5891754892430035e-37,3.8320057278684498e-53,3.1564895277285245e-54,1.4015662824759397e-66,4.051191677820046e-34,1.2563662781883887e-50,3.7655940461158237e-23,5.7515983199951827e-34,7.245619121188221e-47,1.7487234518337436e-47,2.6239066279280233e-31,1.3943712653500169e-48,3.7154147021951337e-48,9.4653533348272443e-48,2.4355527095541632e-37,4.8463829749436601e-58,5.0487467764137291e-31,1.9412438165492892e-56,5.7610047659422432e-23,8.4724100176573661e-53,3.0877858241858119e-69,1.8970314015949909e-53,1.251918532107006e-81,6.9348186991446004e-43,4.669749308372209e-36,5.3578326607265755e-35,4.2150825810221232e-34,4.9868797510965688e-37,1.9615296188256574e-30,2.1081075660541466e-50,2.375849565267734e-55,2.5740285889037194e-48,5.8264184034520213e-47,3.0327281307980219e-42,4.7995340649904809e-35,9.9110575102447277e-55,7.6450761850701304e-62,3.2814458432080057e-61,6.0067282169459423e-77,1.9863038596147295e-78,2.060255378028191e-71,8.0128105268596128e-113,8.2458896013340516e-103,-7.5986027664016667e-62,1.9493292289395649e-46,3.9471993382441278e-55,3.3921431507120778e-51,2.2543363256046528e-64,2.5323977050137476e-47,1.1064220576130834e-58,1.0176812989080639e-77,1.8583088514870593e-41,4.8792411198720741e-35,1.3638600332551697e-39,1.3011598735403619e-50,5.7260820290553227e-70,-1.8419558084061418e-81,4.9606044706960586e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.5276528118546415e-23,5.7610046847310507e-23,6.5276530519633933e-23,8.1656142574838041e-25,6.8170354088575907e-25,3.4085177069850571e-25,3.1957226357328536e-30,2.8445920167436772e-30,1.3393429309071374e-31,1.1241594025758622e-31,8.0155645990956736e-31,5.5709663136268313e-32,2.6737695861872728e-34,7.1699645966724482e-33,3.1151468043758126e-33,5.2902792091771172e-33,1.0140189132507882e-32,2.1520799854028828e-32,3.7655938270276333e-23,5.4656053766673436e-26,7.0865845577606419e-31,1.9289830278332097e-30,1.1072603241294113e-37,4.521489806065129e-41,2.8207488683342781e-33,2.9852483588053866e-39,2.0637357265786829e-32,3.032756637098063e-33,4.7505518800334657e-40,1.2368391002460254e-42,8.7493642410201625e-44,1.0983196139367291e-43,2.6872732126164588e-49,2.1789634394869885e-48,3.9016671941911198e-59,2.0525610290704607e-54,5.298862304650219e-60,6.2187178215697214e-59,5.3831861365362517e-64,1.7323803724143e-63,1.4934278398974429e-62,6.8372434798561992e-42,1.7160580567192766e-43,8.1460099881327207e-42,4.2938693822370642e-72,4.0230737620782875e-74,9.4669749391331234e-41,1.0334557291317675e-76,6.7947626627586717e-35
3.0000000000000002e-15,0.0051854228168101,2.0151368465530682e-26,8.5656796417470317e-35,5.4411315539394758e-33,8.1539927077815405e-35,3.363013154807818e-41,0.0,0.0,6.2022470459609142e-24,6.3014584163999282e-36,3.6130940504328804e-52,2.9761873126006718e-53,1.7219120252719815e-65,2.6622121881122773e-33,1.1845740400848894e-49,1.2372665996987323e-22,3.7796217326145035e-33,4.7615643044290589e-46,1.1491607731427584e-46,1.72428146941126e-30,1.3146929004591169e-47,2.4415576104208612e-47,8.9244754540398122e-47,1.6005060542740161e-36,4.5696149722570563e-57,3.317747863047052e-30,1.8306689674359813e-55,1.8929014978364093e-22,7.9882719893301029e-52,2.911407666748967e-68,1.7886296193177622e-52,1.5380714202440569e-80,6.5385433193957993e-42,3.0686404470883214e-35,3.520861407677038e-34,2.7699177513012249e-33,3.2770919698594987e-36,1.2890051577907799e-29,1.9876442716632798e-49,2.240086550265472e-54,2.4269410348195166e-47,5.4934796830758848e-46,2.8594279474517315e-41,3.1539772605618631e-34,9.3447189194898232e-54,9.3925215256401674e-61,4.031490513265353e-60,9.0959020477094006e-76,2.456531121463011e-77,2.5311706688015751e-70,1.2135911379404616e-111,1.4842600140789368e-101,4.4940324600429461e-60,1.8379387568570753e-45,4.8494159605889804e-54,3.1983113522709045e-50,2.7696069856749381e-63,2.3876671558306621e-46,1.3593201431556107e-57,1.5407548063755749e-76,1.7521197550183906e-40,3.2062945634781375e-34,8.9625087594084506e-39,1.2267959347894441e-49,7.0348348547989676e-69,1.0367577799512394e-79,7.5117441592581039e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.1448001033286796e-22,1.8929014444690551e-22,2.1448002611144254e-22,2.6829871005894542e-24,2.2398826919402778e-24,1.1199413476499879e-24,2.1000462547530288e-29,1.8693032810051138e-29,8.8013956486796636e-31,7.3873325949296128e-31,5.2673710283486087e-30,3.6609204017236135e-31,1.757049627054411e-33,4.71169094022081e-32,2.0470964498805226e-32,3.4764691397590894e-32,6.663552915226173e-32,1.4142239838539729e-31,1.237266455726499e-22,1.795841681619912e-25,4.6568979587302075e-30,1.2676173771504837e-29,1.0439882230273811e-36,4.2631206703598197e-40,1.8536349292297894e-32,2.8146627048022248e-38,1.3561688107764106e-31,1.9929546393501472e-32,4.479092160365606e-39,1.1661621780503528e-41,8.2494307093759113e-43,1.0355655982830775e-42,3.3015081062925307e-48,2.6770122011923031e-47,5.9081725229781623e-58,2.521713346370731e-53,8.0238397159382127e-59,9.4168370183174859e-58,9.689467326214507e-63,3.1182625135455718e-62,1.8347667986838949e-61,6.4465434741475682e-41,1.6179975711450376e-42,7.6805232442682663e-41,8.955570370027652e-71,8.3907890747607731e-73,6.2211532074678903e-40,2.1554429070598026e-75,4.4651312195573118e-34
7e-15,0.0051854228168101,4.4683530640522441e-26,2.3459157874761409e-34,2.9571609541072877e-32,4.4315237160409854e-34,5.4318195060955499e-40,0.0,0.0,1.3752812130489237e-23,3.4247065019087785e-35,5.8365288179395956e-51,4.8069854419751177e-52,8.7089266540523121e-64,1.4468562679905696e-32,1.9132683415420159e-48,2.7435040998913622e-22,2.0541421733983752e-32,2.5877759763010298e-45,6.2454265236384856e-46,9.3710939189322645e-30,2.1234281283877447e-46,1.3269178457901458e-46,1.4414371947810091e-45,8.6984020443408858e-36,7.3806750609311158e-56,1.8031237728464694e-29,2.9620393691063741e-54,4.197302882977574e-22,1.2902264971464352e-50,4.7023508772957457e-67,2.8889080188188543e-51,7.7797735876312112e-79,1.0560737770513548e-40,1.6675556568333282e-34,1.9135114397937157e-33,1.5054125034040307e-32,1.7810266954795588e-35,7.0054620963556484e-29,3.2103465844006625e-48,3.6180764808696338e-53,3.9198744376012985e-46,8.8727942478114511e-45,4.6183881663384729e-40,1.7141100560999515e-33,1.5093248737885812e-52,4.7508645316341091e-59,2.0391835833681564e-58,1.5021953960053421e-73,1.3410077961633124e-75,1.280300081476753e-68,2.0046018611203891e-109,8.2635488312049353e-99,8.6708810784034561e-59,2.968546156433048e-44,2.4529000169590393e-52,5.1658307437137602e-49,1.4008681172260123e-61,3.8561169487327118e-45,6.8757290212712225e-56,2.5370608477632148e-74,2.8299385921356784e-39,1.7423254925038445e-33,4.8709285655330649e-38,1.9812844777091249e-48,3.5579171430505068e-67,8.808974959596975e-78,1.2405017583234092e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.7558604147922576e-22,4.1973025929376881e-22,4.7558612723233272e-22,5.9492294277889228e-24,4.9666940167578135e-24,2.4833470175085666e-24,1.1413293139492398e-28,1.0159255395885875e-28,4.783364532333014e-30,4.0148524714512772e-30,2.8627016673636768e-29,1.9896295261643729e-30,9.5492196007519569e-33,2.5607013134342141e-31,1.1125523421431673e-31,1.889385208089525e-31,3.6214963501742031e-31,7.685999680478802e-31,2.7435033174337617e-22,3.9820831818570686e-25,2.5309211593846795e-29,6.8892234208963168e-29,1.6861979376344117e-35,6.8856111315056317e-39,1.0074101412487e-31,4.5461062363392902e-37,7.370469194019791e-31,1.0831285039318477e-31,7.2344182300785571e-38,1.8835226546219647e-40,1.3324526715125474e-41,1.6727005352835085e-41,1.6699550401219092e-46,1.3540699764769194e-45,9.7557655638276456e-56,1.2754905395560358e-51,1.3247703866445667e-56,1.5550356967212024e-55,5.3927996058105987e-60,1.7358926735844146e-59,9.2795365129094492e-60,1.041213885900234e-39,2.6133108549562937e-41,1.24052019619455e-39,1.7215072093541744e-67,1.6129707528910825e-69,3.3810553279435977e-39,4.143399644597389e-72,2.4267069475334242e-33
1.5e-14,0.0051854228168101,9.3748040953827238e-26,6.6763928136706953e-34,1.3082658145890511e-31,1.960510457364673e-33,5.051757817701912e-39,0.0,0.0,2.8853952783222587e-23,1.5150907743687274e-34,5.429301546916807e-50,4.4706225747412643e-51,1.6747422147119895e-62,6.4009054859597769e-32,1.7793780588634961e-47,5.7559787992672428e-22,9.0875244416632188e-32,1.144842395731319e-44,2.7629675365712452e-45,4.145771197545527e-29,1.9748278501099939e-45,5.8701771454194051e-46,1.34056245251147e-44,3.8481727524200991e-35,6.8644202401253617e-55,7.9770190877546739e-29,2.7623862191946579e-53,8.8061043264784996e-22,1.1999341728737549e-49,4.3733012450139898e-66,2.6867389197906566e-50,1.4962544103333616e-77,9.8216837117514375e-40,7.3759164519757472e-34,8.4653731779543175e-33,6.6601096369635532e-32,7.8792507170747625e-35,3.099215903968313e-28,2.9856824493773995e-47,3.3648750616661773e-52,3.6455523171810216e-45,8.2518537585119913e-44,4.2951566865831516e-39,7.583163947305929e-33,1.4037167663114915e-51,9.1371571852622964e-58,3.9218874776341611e-57,5.8934619813700169e-72,2.8629665812237743e-74,2.462351601805945e-67,7.8668421760321147e-108,6.5549518305155812e-97,1.554888182501899e-57,2.7607986425732253e-43,4.7175687363790954e-51,4.8044264606076829e-48,2.6941309331165229e-60,3.5857836805631738e-44,1.3224127252553773e-54,9.9109887935350181e-73,2.6318955694868654e-38,7.7063883476940571e-33,2.1548987179743304e-37,1.8423737695103217e-47,6.8416610132001157e-66,3.2783243283770948e-76,4.866385067612857e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.9779789675575659e-22,8.8061030433426434e-22,9.9779827612738554e-22,1.2481705489274129e-23,1.0420309440559797e-23,5.2101547606695268e-24,5.0492396184529527e-28,4.4944534362065482e-28,2.1161585083531619e-29,1.7761691167968789e-29,1.2664592334579192e-28,8.8021127417764551e-30,4.2246018288581142e-32,1.1328540519741741e-30,4.9219310011284321e-31,8.3586387352149849e-31,1.6021501327348002e-30,3.4002860883136159e-30,5.755975337676236e-22,8.3545645266924592e-25,1.1196783125287676e-28,3.0477913721757672e-28,1.5681939339969151e-34,6.4037844869763695e-38,4.4567813891583884e-31,4.227963368891412e-36,3.2606856699233953e-30,4.7917677221623547e-31,6.7281530609906996e-37,1.7517027188757992e-39,1.2392710930524271e-40,1.5557963719133278e-40,3.2117828191333639e-45,2.6042341090412822e-44,3.8264860118186132e-54,2.4530269381439671e-50,5.1952570989972974e-55,6.0998771473899557e-54,4.2759998417199877e-58,1.3767729631900815e-57,1.7844206321477465e-58,9.6834763160325946e-39,2.4304275802512547e-40,1.1537060655093289e-38,2.7457851486622273e-65,2.5727380695946147e-67,1.4957743222763812e-38,6.6087776988222997e-70,1.0735789734461518e-32
3.1e-14,0.0051854228168101,1.9187780543299107e-25,2.0744498057373763e-33,5.453224036736167e-31,8.1717834949557029e-33,4.2637811073399975e-38,0.0,0.0,5.9056276023374199e-23,6.3151663996586601e-34,4.5843461120369373e-49,3.7732807958049693e-50,2.8467250495571914e-61,2.6680194017773163e-31,1.5017965261103211e-46,1.1780926993981731e-21,3.7878375107667103e-31,4.7720146080760656e-44,1.1516453729836692e-44,1.7280287922801614e-28,1.6667512722065561e-44,2.4467048956751187e-45,1.1314305859091212e-43,1.6039849527326948e-34,5.7940151612567057e-54,3.3249596418911575e-28,2.3441067602387065e-52,1.8023701906357799e-21,1.0127413843653423e-48,3.691125964469788e-65,2.267603745598899e-49,2.5439701584292545e-76,8.2894842856973926e-39,3.0733108603246292e-33,3.5285133317566789e-32,2.7761834418595194e-31,3.2841992066953122e-34,1.2918065609674699e-27,2.5199109942004892e-46,2.8399425777674598e-51,3.0768328886979166e-44,6.9645324188871242e-43,3.6250539871951031e-38,3.1607463549172439e-32,1.1847617368327715e-50,1.5535226218642111e-56,6.6681032287799326e-56,2.0118955352045254e-70,5.8218388475715208e-73,4.1865496267116301e-66,2.6872717304324176e-106,4.4845531776734391e-95,2.660614383813188e-56,2.330101345524353e-42,8.020927781574915e-50,4.0551053902294663e-47,4.5802751918393011e-59,3.0256044738463048e-43,2.2485000648731684e-53,3.3549333800236133e-71,2.221314923819668e-37,3.2108050660438249e-32,8.9819912966918447e-37,1.5545330004430797e-46,1.1628515869102059e-64,1.1350174487062379e-74,1.6610087801553077e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0422207792447691e-21,1.8023696558029693e-21,2.0422223605306208e-21,2.5546623240698271e-23,2.1327511384920829e-23,1.0663755860810947e-23,2.1046096951968074e-27,1.8733652775524513e-27,8.8205000497349933e-29,7.403368048235549e-29,5.2788220693992001e-28,3.6688666464721265e-29,1.7609094419009407e-31,4.7219306469054976e-30,2.0515458286043141e-30,3.4840245682784453e-30,6.6780410852608567e-30,1.4172981313068123e-29,1.178091256548105e-21,1.7099520593810994e-24,4.6670037359056713e-28,1.270371481989103e-27,1.3235501916512688e-33,5.4048450309861796e-37,1.8576629756363743e-30,3.5683930600499259e-35,1.3591023250886932e-29,1.9972978540782516e-30,5.6785642134434302e-36,1.4784198638941187e-38,1.0460507497058904e-39,1.3133441056448288e-39,5.460827694298321e-44,4.4277942042416152e-43,1.3056476012422426e-52,4.1704447419803813e-49,1.7721044508480143e-53,2.0817612969200772e-52,2.9230478877484023e-56,9.4164301377557391e-56,3.0329853419556514e-57,8.1728248330864825e-38,2.0512760515989038e-39,9.7372441389869462e-38,3.7579066465674418e-63,3.5212569144748278e-65,6.2346099297644316e-38,9.0451084939355325e-68,4.4748946550824136e-32
6.300000000000001e-14,0.0051854228168101,3.8814030979568805e-25,7.0509518693199024e-33,2.2223359638474791e-30,3.3300749667941445e-32,3.4898443217872926e-37,0.0,0.0,1.194610902422417e-22,2.5734686425449852e-33,3.7553423466393344e-48,3.0883651747171709e-49,4.6680228634828126e-60,1.0872411965143499e-30,1.229145488574396e-45,2.3830818567263607e-21,1.543563974176631e-30,1.944716309206107e-43,4.6929567732071643e-44,7.0418060636828292e-28,1.3641445018547683e-43,9.9697507835803404e-45,9.260109523577402e-43,6.5363236025241612e-34,4.7428343708762469e-53,1.3549387655893052e-27,1.9391886777653237e-51,3.6458875837650605e-21,8.2887169483249569e-48,3.0211000255908368e-64,1.8559105512857752e-48,4.17365965120649e-75,6.7844887469437169e-38,1.2514993265062041e-32,1.4378873707288504e-31,1.1314185778464824e-30,1.338321456640052e-33,5.2641783013772124e-27,2.0624092699533561e-45,2.324327242199208e-50,2.5182076554036622e-43,5.7000587371040111e-42,2.966824954634146e-37,1.2879822932566294e-31,9.6970695215280663e-50,2.5487217965878564e-55,1.0939779363071259e-54,6.609274260406885e-69,1.2677331674746818e-71,6.8684774704785641e-65,8.8391990274453376e-105,2.948213510564349e-93,4.3963543787282778e-55,1.9070472426012531e-41,1.3159192019415424e-48,3.3191713061381837e-46,7.5132753787982646e-58,2.4750016630129523e-42,3.6892360912311761e-52,1.0839080082224513e-69,1.8180238454530178e-36,1.3073245653273966e-31,3.660209637157695e-36,1.2716031432236058e-45,1.906523751972363e-63,3.7634918213336219e-73,5.4548326200209088e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.1310632319720996e-21,3.6458854042963221e-21,4.1310696757899564e-21,5.1676321258230807e-23,4.3141799661386483e-23,2.1570900516725977e-23,8.5763902631397568e-27,7.6340574850694835e-27,3.594388633469165e-28,3.0169019344855232e-28,2.1511487249066486e-27,1.4950775761750133e-28,7.1759805838414446e-31,1.9242109624883938e-29,8.3601567989680019e-30,1.4197579625318086e-29,2.7213389323742766e-29,5.7755656183053485e-29,2.3830759770434739e-21,3.4589406237866504e-24,1.901821338094664e-27,5.1768256083166306e-27,1.0832487308951005e-32,4.423670536920077e-36,7.5700702507193657e-30,2.9205329094397396e-34,5.5383501817095522e-29,8.1391448337809568e-30,4.6476174059259741e-35,1.2099824162759566e-37,8.5631164864976905e-39,1.0753158849210218e-38,8.9593177605025585e-43,7.2643057148889942e-42,4.2850586670418411e-51,6.841234380122866e-48,5.8121093458140017e-52,6.8348615416249569e-51,1.9185670169927173e-54,6.1869294079043196e-54,4.9728903987266452e-56,6.6889887295736203e-37,1.6788559633637102e-38,7.969375796993403e-37,4.9345505551824781e-61,4.624286398407527e-63,2.540607227559797e-37,1.1877958223624326e-65,1.823569107213468e-31
1.2700000000000001e-13,0.0051854228168101,7.8067722009178027e-25,2.565564436171971e-32,8.9690761365494421e-30,1.343859034672639e-31,2.8217394193332601e-36,0.0,0.0,2.4027138963283133e-22,1.0385141971721674e-32,3.0414532152616834e-47,2.4971038099771957e-48,7.5470952934701978e-59,4.3875805867477081e-30,9.9374815186967687e-45,4.7930582449254723e-21,6.2289753763049387e-30,7.8485744922020843e-43,1.8937712967312756e-43,2.841682975811811e-27,1.1028798606748655e-42,4.0226771579701178e-44,7.4865410056375227e-42,2.637700306724852e-33,3.8356886513494583e-52,5.4677876812867359e-27,1.6011932084079803e-50,7.3329138786568526e-21,6.7012140403328451e-47,2.4426795270886778e-63,1.5004635745177938e-47,6.7545806626583245e-74,5.4851059423573271e-37,5.0431900119366712e-32,5.8025177307248434e-31,4.5666604287465976e-30,5.4006711788356452e-33,2.1243310358930269e-26,1.667411638332839e-44,1.8791496488362738e-49,2.0358954380656637e-42,4.608321100771512e-41,2.3984766291447187e-36,5.1972762369045411e-31,7.8405789508951455e-49,4.1248054536107477e-54,1.7704855787667525e-53,2.1402370469599223e-67,3.0632010217719678e-70,1.1115788426146029e-63,2.8696289379439868e-103,1.909833196732319e-91,7.1451724219054638e-54,1.5417835334350928e-40,2.1296576044748912e-47,2.6839421565174439e-45,1.2155593300987172e-56,1.9989024311605671e-41,5.9716543466485759e-51,3.39758277276823e-68,1.4698300528413678e-35,5.2668278008603356e-31,1.4770595812718219e-35,1.0269382273303255e-44,3.0814143746511561e-62,1.2248802780955858e-71,1.7652731208081979e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.308734888468042e-21,7.3329050835475177e-21,8.3087608921227977e-21,1.0393516735898751e-22,8.6769913771014455e-23,4.3384959653918487e-23,3.4609543095629986e-26,3.0806810628622858e-26,1.4504877954312325e-27,1.2174476500176716e-27,8.6808581220464843e-27,6.0332695110813475e-28,2.895976919031875e-30,7.765049692118716e-29,3.3736981006168399e-29,5.7293574091372532e-29,1.0981840317366565e-28,2.3307008347207795e-28,4.7930345178235101e-21,6.9569071565470854e-24,7.6746441289736266e-27,2.0890773862426831e-26,8.7577471845436631e-32,3.5766009352615733e-35,3.0548597232235569e-29,2.3611827793312918e-33,2.2349217738999297e-28,3.2845512957950607e-29,3.7575320187325476e-34,9.7820589509831274e-37,6.9259373692331257e-38,8.7004039324503224e-38,1.4500373547312477e-41,1.1756520561804745e-40,1.3849403864864975e-49,1.1069044759645786e-46,1.8760213122165092e-50,2.2107484973169812e-49,1.2388567078394825e-52,4.00322954990102e-52,8.0381861764664527e-55,5.4078629668157327e-36,1.3573153474908612e-37,6.4430198412476145e-36,6.3733559775983805e-59,5.9738741737647043e-61,1.0252255371973375e-36,1.5343172307093917e-63,7.3591292531491303e-31
2.55e-13,0.0051854228168101,1.5657986465925222e-24,9.7473097243778923e-32,3.6038382720161901e-29,5.398774252794873e-31,2.2693148524027907e-35,0.0,0.0,4.8189467221420758e-22,4.1719740436890543e-32,2.4541261492453845e-46,2.008209956291489e-47,1.2117110099573888e-57,1.7626476442589786e-29,7.9905913321929343e-44,9.6130033155072807e-21,2.5023186938770699e-29,3.1535659490090302e-42,7.6073173138526975e-43,1.1415654132421831e-26,8.8678924845267974e-42,1.6155448844744026e-43,6.0196041238518943e-41,1.0596228254465916e-32,3.0861043622383675e-51,2.1965325114602989e-26,1.341189555909757e-49,1.4706932503129701e-20,5.3881848246429041e-46,1.9643817349292079e-62,1.2064764329238926e-46,1.0866370912050338e-72,4.4103937264094821e-36,2.0202232383079322e-31,2.3309971157228633e-30,1.8352309946080595e-29,2.1695235750654579e-32,8.5338979818933886e-26,1.3407117265083529e-43,1.5109361484532189e-48,1.6369668433803221e-41,3.7053231559752856e-40,1.9283203712728263e-35,2.0876114704065971e-30,6.3055055757717731e-48,6.635734904542058e-53,2.8482856282667781e-52,6.8875274146316428e-66,8.1822376630441021e-69,1.7882295597878087e-62,9.2817754477716466e-102,1.2293283317179628e-89,1.1522619959150331e-52,1.239663632860834e-39,3.4260548957041577e-46,2.1588174090809227e-44,1.9543096881603672e-55,1.6039195011348191e-40,9.6102299082252225e-50,1.0275470776244393e-66,1.1818402386458681e-34,2.1087541396951659e-30,5.9336806330173828e-35,8.2392668373775065e-44,4.944148513658753e-61,3.9530523761797534e-70,5.67359361569232e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.6664025205977509e-20,1.4706897171433585e-20,1.6664129668066941e-20,2.0845065987890248e-22,1.7402429226283499e-22,8.7012157252422294e-23,1.3903385788258359e-25,1.2375746679130004e-25,5.8268551129202713e-27,4.8906946331334414e-27,3.4872986823634017e-26,2.4236659942889513e-27,1.1634957773248271e-29,3.1193879838449827e-28,1.3552888019206881e-28,2.3016069789092827e-28,4.411661166588387e-28,9.3629476715912246e-28,9.6129079989541613e-21,1.3952797838040943e-23,3.083027190753122e-26,8.3922528413869918e-26,7.0416978966625367e-31,2.8760898757472515e-34,1.2272019712024613e-28,1.8985461865659739e-32,8.9777644322938338e-28,1.3195098500701617e-28,3.0213697982533607e-33,7.8648288503313841e-36,5.5735029473615206e-37,7.0065102666806129e-37,2.3329804149559459e-40,1.8913487048288866e-39,4.4398641649929589e-48,1.7798582108261394e-45,5.9985293823509006e-49,7.0981544904049937e-48,7.923610107616133e-51,2.5708823054783236e-50,1.2899773165132849e-53,4.3482315301762159e-35,1.0913698660199998e-36,5.180555704741565e-35,8.1529491494119845e-57,7.6451167272033201e-59,4.1183688296922984e-36,1.9632125377664831e-61,2.9564931652696216e-30
5.11e-13,0.0051854228168101,3.1362319202344062e-24,3.7955078991764214e-31,1.4451963303595208e-28,2.1642439514090345e-30,1.8206815566668165e-34,0.0,0.0,9.6515197248797818e-22,1.6723534066874944e-31,1.9819744368069762e-45,1.6111620974146318e-46,1.9361493499672511e-56,7.0660094676886439e-29,6.4086860681015152e-43,1.925286263350633e-20,1.0030504457289875e-28,1.2645973810816553e-41,3.0490720194890973e-42,4.5759292174568589e-26,7.1119706919490052e-41,6.4722455021103871e-43,4.8275467923284689e-40,4.2474781879350231e-32,2.4781628697289626e-50,8.8047649191944692e-26,1.1618280863307845e-48,2.945483389208319e-20,4.3212184017389064e-45,1.5759040202500191e-61,9.6758856785994014e-46,1.7432111869750062e-71,3.5370985357104702e-35,8.0523944123682406e-31,9.343732537488747e-30,7.3620644801689854e-29,8.6961253799389409e-32,3.4207874843320412e-25,1.0752420912508108e-42,1.2117156439966774e-47,1.3127856618046767e-40,2.9715149614072236e-39,1.5461503271987498e-34,8.3661488026392749e-30,5.0588120756721963e-47,1.0645203092058941e-51,4.5694048237367648e-51,2.2100277470757639e-64,2.3567207289994419e-67,2.8686824619962007e-61,3.0085027233439271e-100,7.8894682553180559e-88,1.8515116787768224e-51,9.94145362978298e-39,5.4961249172520002e-45,1.7325412385946875e-43,3.1312764844537041e-54,1.2810264762639312e-39,1.5427743282715783e-48,2.9423620921988139e-65,9.4782287412804016e-34,8.3969267247833942e-30,2.3785079982690235e-34,6.579164295368167e-43,7.8899845434361633e-60,1.270941234625341e-68,1.815860152797372e-59,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.3374393861886266e-20,2.9454692267346163e-20,3.3374812593243214e-20,4.1747284663739741e-22,3.4852565070293899e-22,1.7426286992724729e-22,5.5731166266720442e-25,4.9607677834686094e-25,2.3356224605815706e-26,1.9603751676869112e-26,1.3978811951978382e-25,9.7149596067089514e-27,4.6647927921617744e-29,1.2503967849685565e-27,5.4326441532684092e-28,9.2259226470929141e-28,1.768415616791583e-27,3.7531236018809553e-27,1.925248056280482e-20,2.7944409666325925e-23,1.235787263882808e-25,3.3639905403468976e-25,5.6471909559467928e-30,2.3070206377151657e-33,4.9191915021386992e-28,1.5226125318145652e-31,3.5983889986470858e-27,5.2894918439943028e-28,2.4232118424850072e-32,6.3065585385051241e-35,4.4772531597467027e-36,5.6364824649499031e-36,3.743415985570029e-39,3.0342434036665305e-38,1.4138282319063218e-46,2.8525358565498811e-44,1.900395673445607e-47,2.2672263647084656e-46,5.0212950514688485e-49,1.6423520207648508e-48,2.0593590549506668e-52,3.487158924506434e-34,8.7526481182879985e-36,4.1546574325236707e-34,1.033315366219313e-54,9.697617359670055e-57,1.6506881460245034e-35,2.4894116018757311e-59,1.1852389301468892e-29
