Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72)
0.0,0.006364385055535692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.006364385055535692,1.8324676061973641e-25,1.513338982527646e-33,1.3433199180980371e-32,4.4298095562468522e-34,4.5664025781617063e-42,0.0,0.0,1.4608841143017594e-23,1.0475599998439336e-35,2.0621115951856613e-51,6.2100067151860922e-52,1.2649095479893018e-71,4.2888405347646437e-41,1.5211535649391025e-51,2.4708376830197002e-30,4.5354902695246001e-41,1.670908541467162e-44,1.8920792730413862e-53,9.7283451778427207e-30,-2.3824937302348472e-74,1.0399566588161092e-45,2.9013815532637509e-54,3.7296843649365369e-44,1.3585366808773832e-63,2.524472354281996e-38,1.139895941643842e-53,1.3053820057745955e-21,2.3862562709794773e-50,7.6523125468329575e-66,8.0507776284522621e-51,9.7937868280057198e-78,5.2305091425842813e-50,4.5753627162476919e-42,1.363491325599278e-33,1.3374322767485747e-32,2.8879132459095358e-35,3.2440213115539202e-29,4.1569413406423008e-48,2.3774930721610031e-52,4.2648701827279885e-46,8.5129698512651391e-45,8.0789645946630264e-41,9.7458499599373027e-34,1.4724755177926946e-52,2.0720405828633653e-59,8.0762440385353244e-59,5.8739048348203451e-74,8.5310446515104357e-75,3.1204113587769313e-68,-1.0378198363333495e-111,1.0172971988512357e-98,-2.3531854978208118e-59,1.901894364488864e-44,3.157950209403772e-53,4.1578287458647974e-49,4.8303406765155289e-62,4.33206898209988e-53,9.5529132757188814e-57,9.2855622402933175e-75,4.433807456928866e-40,1.3607043885645606e-33,6.555556293751245e-38,1.8671054362719317e-56,8.309651114974619e-75,-7.9011060013217748e-87,2.4474805476196123e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.5402513232671843e-21,1.3053819862428048e-21,1.5402513690909021e-21,6.5953960317515222e-24,5.4644574767599893e-24,2.732228740464717e-24,5.8157758404755861e-29,5.0337872220119664e-29,8.5845718385998092e-31,7.1909735764815191e-31,1.4182012621403688e-29,3.555491819588706e-31,2.2676567843198336e-33,2.7698345469315413e-31,6.8360133102110738e-33,2.0844630522677096e-31,3.185748732641571e-31
3.0000000000000002e-15,0.006364385055535692,6.0209721682794665e-25,5.2607390499843991e-33,8.8275460803132011e-32,2.9110192169517945e-33,4.3054704516278604e-41,0.0,0.0,4.8000489452830074e-23,6.8839664248133963e-35,1.9442982989507331e-50,5.8551491675798893e-51,1.9154224593538389e-70,4.0437682654252381e-40,1.4342474133509401e-50,1.6236933203369499e-29,4.2763193708800925e-40,1.0980255710727279e-43,1.7839601414403645e-52,6.3929124687489848e-29,7.8310375570058211e-66,6.8339912360950294e-45,3.564782803630175e-53,3.5165595131288826e-43,1.6690707427488274e-62,2.3802167750168662e-37,1.0748198438967266e-52,4.2891121954625367e-21,2.2498987015808232e-49,7.2150366044347392e-65,7.5907331811146819e-50,1.2032365912625733e-76,6.426054055997584e-49,4.3138683885913875e-41,8.9600857547315463e-33,8.7888558150262694e-32,1.8977712021654755e-34,2.1317854090776619e-28,3.9194018409638845e-47,2.2416361764318465e-51,4.021162809685555e-45,8.0265133564192168e-44,7.6173033927986843e-40,6.404408350891179e-33,1.3883354245346944e-51,2.5456497042668402e-58,9.9222425196892307e-58,8.8947669698513585e-73,1.0509528187797569e-73,3.8336477961726955e-67,5.544958099529376e-110,1.8311343792878862e-97,1.391741372682074e-57,1.7932144055559621e-43,3.8797669785199339e-52,3.9202430064578443e-48,5.9343958669029335e-61,5.3222151607309351e-52,1.1736446582916406e-55,1.4056859662948102e-73,4.1804469975967764e-39,8.941619273826654e-33,4.3079370025304164e-37,2.2938541581051162e-55,1.2583062011460954e-73,4.2214479867607308e-85,3.7060859326773921e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.0608255775403314e-21,4.2891120671107757e-21,5.0608258786676062e-21,2.1670584120955335e-23,1.7954643583868481e-23,8.9773218056341158e-24,3.8217954740661751e-28,3.3079172429132179e-28,5.6412895096027914e-30,4.725496481396829e-30,9.3196082491661587e-29,2.3364658197541439e-30,1.490176077621767e-32,1.8201769741908516e-30,4.492237055843203e-32,1.3697899973974675e-30,2.0934920174810131e-30
7e-15,0.006364385055535692,1.3350897508795491e-24,1.3520525637231556e-32,4.7976331037104672e-31,1.5820809964448307e-32,6.9540635593773629e-40,0.0,0.0,1.0643594134757389e-22,3.7412886168654607e-34,3.1406569017830823e-49,9.4569527381583417e-50,3.163042343759778e-68,6.5313625773696789e-39,2.3167772169007819e-49,8.8244197163697941e-29,6.9069033247386308e-39,5.9675287960462372e-43,2.8813612471138985e-51,3.4744086791893975e-28,7.322708839743339e-64,3.7140914927777634e-44,1.8030566702451068e-51,5.6797759674790748e-42,8.4425190308103102e-61,3.8444105007708227e-36,1.7368972313773921e-51,9.5106393827490883e-21,3.6339262870283135e-48,1.1653363391055406e-63,1.2260184029427527e-48,6.0861338849093566e-75,3.2503876113538706e-47,6.9668846515539808e-40,4.8696114723773328e-32,4.7766056063015659e-31,1.0313961213428183e-33,1.1585789409855616e-27,6.3304279033548575e-46,3.6205798645843543e-50,6.4947797215132887e-44,1.2964019297160976e-42,1.2303009071438384e-38,3.4806307649787416e-32,2.2423922716227784e-50,1.2876242018414807e-56,5.0188077676158223e-56,1.4689766499221226e-70,5.4891080615779429e-72,1.9391098480817625e-65,2.0242391834907322e-107,1.019474775750801e-94,2.6852633709217211e-56,2.8963088045286921e-42,1.9624377139594016e-50,6.3318526688378596e-47,3.0015625312098467e-59,2.6918017162798568e-50,5.9365208155807136e-54,2.3113540558474923e-71,6.7520548096676973e-38,4.8590367206601692e-32,2.341270143643466e-36,1.1601527528173333e-53,2.0777988269882113e-71,1.5410791704791262e-82,6.1181971787037069e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1221829348523143e-20,9.5106386851853664e-21,1.1221830985084172e-20,4.8052146511872655e-23,3.9812455040000741e-23,1.9906227594456953e-23,2.07706248092478e-27,1.797780847130164e-27,3.0659162462749877e-29,2.568203052357179e-29,5.0650043244557603e-28,1.2698175558734402e-29,8.0988402992759687e-32,9.8922656762978891e-30,2.4414322549104234e-31,7.4445105591151996e-30,1.1377673766635344e-29
1.5e-14,0.006364385055535692,2.8010887975254291e-24,3.5656511171259009e-32,2.1225123477684919e-30,6.9991655358755278e-32,6.4675210854211175e-39,0.0,0.0,2.2330706741291422e-22,1.6551479334335123e-33,2.9213376068525872e-48,8.795143020892685e-49,1.2407680880188017e-66,6.0743833013157611e-38,2.1550115487638253e-48,3.9039229129729649e-28,6.4235491135893052e-38,2.6400336505568674e-42,2.6797131926174148e-50,1.5370782003541587e-27,3.2508860747340346e-62,1.6430889586489989e-43,3.4677470239136423e-50,5.2822975434511941e-41,1.6237671893054689e-59,3.5753735604928232e-35,1.6166607732386718e-50,1.9953691629801699e-20,3.3796181522295736e-47,1.0837826289865459e-62,1.1402200922743523e-47,1.1705230930450001e-73,6.2513541138024859e-46,6.4783612817506713e-39,2.1543158575410137e-31,2.1132096511333386e-30,4.5628870991861101e-33,5.1255526052014703e-27,5.8874168386752391e-45,3.3672039889692922e-49,6.0402560748707555e-43,1.2056757955396322e-41,1.1441897871944713e-37,1.5398119818479669e-31,2.0854963698053593e-49,2.4764390386821591e-55,9.6524914132221326e-55,5.763136857642791e-69,1.1056451258838952e-70,3.7294130922406622e-64,1.5371210869931759e-105,8.0868500034002495e-93,4.8153132654139587e-55,2.6936154583388636e-41,3.7742791488319622e-49,5.8888384038117624e-46,5.7724013103216786e-58,5.1763287455545835e-49,1.1417678710409904e-52,9.0107467204358119e-70,6.2795369345858263e-37,2.1492418593030585e-31,1.03577793621655e-35,2.2309614338056535e-52,8.1499566541099328e-70,1.170209520940429e-80,2.3989255244498759e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.3543833016089999e-20,1.9953688543781175e-20,2.3543840256233979e-20,1.0081521596560379e-22,8.3528030986416215e-23,4.1764015822604547e-23,9.1889223819832606e-27,7.9533805338107802e-27,1.3563599029235002e-28,1.1361718860454611e-28,2.2407577964460613e-27,5.6176668084322882e-29,3.5829690353342038e-31,4.3763379767202937e-29,1.0800889478657735e-30,3.2934512535960534e-29,5.0334826969434572e-29
3.1e-14,0.006364385055535692,5.7331428049491875e-24,1.0239441627271709e-31,8.8473212882472919e-30,2.9174056441494257e-31,5.4587621378881906e-38,0.0,0.0,4.5705020864672056e-22,6.8989589852295789e-33,2.4663797840488698e-47,7.4230857617007207e-48,4.2345713479485314e-65,5.1269247600286159e-37,1.8194318265284176e-47,1.6272225405749033e-27,5.4214641502038938e-37,1.100410968991635e-41,2.2616622918550582e-49,6.4068071496791344e-27,1.1538326148178907e-60,6.848475379939646e-43,5.8959568432608346e-49,4.45824949299743e-40,2.7609344559448299e-58,3.0176089633300326e-34,1.3666372585279891e-49,4.0839787613828379e-20,2.8523898232947271e-46,9.1470742392070942e-62,9.6234387677685614e-47,1.9901533470064879e-72,1.0628734764603139e-44,5.466115378650839e-38,8.9795603796123782e-31,8.8085449600566912e-30,1.9018829429645275e-32,2.1364187916379159e-26,4.9689705071447667e-44,2.8419094047258379e-48,5.0979482751130733e-42,1.017584576138269e-40,9.656725505909029e-37,6.4180482938993223e-31,1.760204456897743e-48,4.21050559369024e-54,1.6411441405864829e-53,1.9674058733757208e-67,2.047732272115624e-69,6.3408319735920895e-63,1.0711523708199333e-103,5.5325988421459932e-91,8.2396887010730522e-54,2.2733970365426281e-40,6.4171159221957218e-48,4.9703302260628741e-45,9.8130728823221781e-57,8.798535776989288e-48,1.9413278029912705e-51,3.0379689061246559e-68,5.2999178469581509e-36,8.9551885252409493e-31,4.3173024486285056e-35,3.7920745521167319e-51,2.7810383864790828e-68,8.1544741593644501e-79,8.1800123905405777e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.8187824853640224e-20,4.0839774750770371e-20,4.8187855031800677e-20,2.0634113356145399e-22,1.7095899501649227e-22,8.547949888122323e-23,3.8301007102807155e-26,3.3151055003935252e-26,5.6535317690851465e-28,4.7357523355572945e-28,9.3398665371439706e-27,2.3415361112974457e-28,1.4934779837729087e-30,1.8241333492256584e-28,4.5019926824084476e-30,1.3727674789197236e-28,2.0980428240683067e-28
6.300000000000001e-14,0.006364385055535692,1.159747447601503e-23,3.2573623936824544e-31,3.6055920546347818e-29,1.1888845569361977e-30,4.468000111715064e-37,0.0,0.0,9.2454004752455849e-22,2.8113754328550487e-32,2.0198634336223392e-46,6.0753891285482734e-47,1.3903555913286259e-63,4.1963608827863739e-36,1.4900940838810438e-46,6.6310176524418181e-27,4.4371708429062599e-36,4.4842271700261256e-41,1.851028610899158e-48,2.6108073390673555e-26,3.8639719688142434e-59,2.7906247233783435e-42,9.6729714374082096e-48,3.6488319582730819e-39,4.5301497700145978e-57,2.4697472604663596e-33,1.1220740999376689e-48,8.2611945541595064e-20,2.3345213280156554e-45,7.4863258393176635e-61,7.8762584775553569e-46,3.2650627354686872e-71,1.7437667144296866e-43,4.4710889529495182e-37,3.6592178451823701e-30,3.5897896188907542e-29,7.7502143374416549e-32,8.7060182681777303e-26,4.066831351738861e-43,2.3259389680011189e-47,4.1723627349160364e-41,8.3283112601061423e-40,7.903146914583722e-36,2.6152633584789535e-30,1.4407110440336506e-47,6.9077934192174792e-53,2.6924844769917358e-52,6.4631249375629184e-66,3.9095518671903101e-68,1.0402785264050546e-61,7.1155395385140442e-102,3.6372172060112912e-89,1.3615340356214783e-52,1.8606349072405901e-39,1.0527942379892595e-46,4.0682050226067693e-44,1.6095116084426811e-55,1.4427126987009458e-46,3.1851712934662398e-50,9.7389215315967701e-67,4.3376914118094831e-35,3.6466723906309148e-30,1.7593243235556589e-34,6.2178297854393094e-50,9.1282861870330481e-67,5.4166563847211367e-77,2.681077630390581e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.7475746538499261e-20,8.2611893124027432e-20,9.7475869516005367e-20,4.1739208351312284e-22,3.4582017163075498e-22,1.729100914102809e-22,1.560785464803634e-25,1.3509221899338933e-25,2.3038353001248314e-27,1.9298371890714609e-27,3.8060454919939239e-26,9.5418465564769669e-28,6.0862821757571817e-30,7.4334399494225029e-28,1.8345819228913368e-29,5.5941004812305322e-28,8.5496371111971056e-28
1.2700000000000001e-13,0.006364385055535692,2.3327032440542768e-23,1.1319021511510929e-30,1.4552291298681293e-28,4.7978956499396603e-30,3.6127649127623048e-36,0.0,0.0,1.8595339509029102e-21,1.1345269082543307e-31,1.635061446493794e-45,4.9118150845284348e-46,4.4974942743663038e-62,3.3930725468035799e-35,1.2063050332819474e-45,2.6759133283597674e-26,3.5873515389594702e-35,1.8095825086684678e-40,1.4964856289741845e-47,1.0535776887831859e-25,1.2633407563414405e-57,1.1260092328085751e-41,1.5654614084434189e-46,2.9499966137033516e-38,7.3332534432249939e-56,1.9967343125579886e-32,9.1291944204631343e-48,1.6615612523620117e-19,1.8874021607769971e-44,6.0524392356558654e-60,6.3677788408562833e-45,5.2841219621116783e-70,2.8221060836559205e-42,3.6105359600695815e-36,1.476658396863426e-29,1.4488514298705222e-28,3.127511907652454e-31,3.5132684648157659e-25,3.2879432763261951e-42,1.8804559018964651e-46,3.373214769404885e-40,6.7331529806292016e-39,6.3889439748918721e-35,1.0552752525231843e-29,1.164911846032199e-46,1.1179460640407425e-51,4.3575009978584909e-51,2.0929129136843424e-64,8.1069486541619099e-67,1.6835566602373591e-60,4.6347727848955866e-100,2.356168621513348e-87,2.212902965366434e-51,1.5042554166542055e-38,1.703813496751678e-45,3.2894745112123236e-43,2.6034170614129551e-54,2.3323333057642951e-45,5.1555122677782545e-49,3.0082801322226252e-65,3.5069239529460153e-34,1.4694919891653181e-29,7.0996700543000185e-34,1.0051586546067219e-48,2.9509768273859211e-65,3.5278446497586271e-75,8.6424900691112416e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.9605134194799207e-19,1.661559137083631e-19,1.9605183821672366e-19,8.394904425076657e-22,6.9553951911676314e-22,3.4776978213588843e-22,6.2984638706990187e-25,5.451571244685734e-25,9.2969395564817586e-27,7.7877041667602792e-27,1.5359107409603905e-25,3.8505339903173559e-27,2.4563144357524912e-29,2.9997270483424061e-27,7.4033307980861121e-29,2.25747119794472e-27,3.4501640135883965e-27
2.55e-13,0.006364385055535692,4.6789726839364479e-23,4.1823087484442461e-30,5.8476646528366426e-28,1.9275917544261599e-29,2.9056869441966421e-35,0.0,0.0,3.7295786600045062e-21,4.5577316985738287e-31,1.3179924023326042e-44,3.9494296196849486e-45,1.4442649952757262e-60,2.7289145218168381e-34,9.7251770770769266e-45,1.074973618092343e-25,2.8844702499325068e-34,7.2694575129870812e-40,1.2032280418348133e-46,4.2324524896754379e-25,4.0858589250291989e-56,4.5223592524685415e-41,2.5184344198717729e-45,2.3719928764457439e-37,1.1802879673528015e-54,1.6055076251427027e-31,7.4329150598332941e-47,3.3324393998346067e-19,1.5175891262853015e-43,4.8664292835606133e-59,5.1201248195879432e-44,8.5007813899407427e-69,4.5401128406795593e-41,2.8963212683033868e-35,5.9320613434068779e-29,5.8220383353083918e-28,1.2563525838833502e-30,1.4113570927375733e-24,2.6437304737877725e-41,1.5119916236831822e-45,2.7122169095595962e-39,5.4137488623706909e-38,5.1362209807400318e-34,4.2384637431369216e-29,9.3687562758582158e-46,1.7984869075852153e-50,7.0101849888659762e-50,6.7352476555467211e-63,1.8767994076236787e-65,2.7083660051205615e-59,2.9926621786102216e-98,1.5166313007721207e-85,3.5688516507374114e-50,1.2094808011779162e-37,2.7409592179963676e-44,2.6456353055475756e-42,4.1837595675201928e-53,3.7440118550272778e-44,8.2960781680491971e-48,8.8629039953411924e-64,2.819799921190599e-33,5.8864401022851514e-29,2.8520998736567935e-33,1.6134342609775929e-47,9.4646857729895876e-64,2.2774741938979412e-73,2.7561999797294625e-58,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.9320154093200047e-19,3.3324309023397577e-19,3.9320353454758603e-19,1.6836729972722158e-21,1.3949661914470272e-21,6.9748318641875552e-22,2.5302273723473752e-24,2.1900117838355078e-24,3.7347300200627924e-26,3.1284487231238091e-26,6.1700975252985593e-25,1.5468210542782514e-26,9.8693768531268132e-29,1.2050569964897049e-26,2.9740570296715816e-28,9.0687655453738503e-27,1.3860085388276569e-26
5.11e-13,0.006364385055535692,9.3729429357530902e-23,1.6036586715855869e-29,2.3453661718638232e-27,7.7280818279820875e-29,2.3315797844524256e-34,0.0,0.0,7.4698956864208208e-21,1.8270263342376683e-30,1.0623035381594849e-43,3.1674095988444845e-44,4.6146275127865368e-59,2.1896115777270793e-33,7.8406415881483498e-44,4.3090097298666432e-25,2.3133185047605603e-33,2.9139182632652501e-39,9.6490342864006096e-46,1.6965680623495814e-24,1.3148231363762273e-54,1.8119219749234161e-40,4.0401770146804623e-44,1.9023140702225357e-36,1.8952313848254201e-53,1.287602078936217e-30,6.1094036713492959e-46,6.6741739092421933e-19,1.2170791889534722e-42,3.9026129792994337e-58,4.1063013319462525e-43,1.3637164867567315e-67,7.2836066543130738e-40,2.3120044299159694e-34,2.3778527870275591e-28,2.3350893580063442e-27,5.0357575485822942e-30,5.6573910326099311e-24,2.120254581001204e-40,1.2125704019159589e-44,2.1750557179140044e-38,4.3415266155569162e-37,4.1177321979909807e-33,1.698330074767578e-28,7.5170032878817257e-45,2.8851829204512288e-49,1.1246222150216955e-48,2.1611717480695903e-61,4.8478703825832175e-64,4.3447000775561104e-58,1.9249970694718578e-96,9.7333352661965727e-84,5.7353317933831931e-49,9.6992663191317324e-37,4.3970036617641554e-43,2.1228538408202625e-41,6.6974111925841186e-52,5.9803981568680191e-43,1.3315769307230758e-46,2.4321282911905827e-62,2.261451609607857e-32,2.3461790437984306e-28,1.1432626007160723e-32,2.5768211373058681e-46,3.0166585008147394e-62,1.4643797838530348e-71,8.6874665025082523e-57,0.88168480800000004,0.0,0.0094599999999999997,0.10885,7.8749797160749699e-19,6.6741398475820747e-19,7.8750596292853506e-19,3.3719814571881254e-21,2.7937714481669316e-21,1.3968860876044876e-21,1.01423246139311e-23,8.7785768042604372e-24,1.4970136693777432e-25,1.2539966467778584e-25,2.473274233245218e-24,6.2002106467949991e-26,3.957576809893921e-28,4.8304482049298149e-26,1.1921247624836695e-27,3.635199323546247e-26,5.5557971134160401e-26
