Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100)
0.0,0.0020651547761390042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0
1e-15,0.0020651547761390042,6.0859494629532201e-41,6.9582499102917396e-46,4.0198142873334729e-42,1.6762335565858382e-47,2.8392029692727193e-52,0.0,0.0,3.1313267281552692e-29,1.4332674325484547e-46,6.1844820564816205e-53,7.981194015827832e-60,3.2309521987897927e-62,7.345425921389982e-82,7.2395993033578315e-68,9.5188798157920343e-53,3.1313265821287762e-29,4.0198142866526619e-42,-6.2915408329266536e-112,-2.0939256114320048e-117,2.4382102073848147e-73,3.2596039611799442e-71,1.6762138250815e-47,6.0132942583405271e-59,6.5971820431141014e-46,3.6045240338486348e-79,2.1808018840703424e-67,4.2036055417220087e-40,2.1227395105139986e-47,1.0522066211175089e-31,3.8587496889561665e-58,1.1158828817329674e-80,6.4468030620101204e-75,9.596160325729051e-60,-6.6267055643709637e-111,8.6196473581924862e-74,1.4599015597523899e-36,1.9646638914328005e-54,2.9452684981306709e-54,8.4981855340202557e-61,1.3883638430021117e-38,3.3013067153372725e-82,7.8587385168245045e-83,6.5405555442261654e-73,6.2408626687133951e-63,1.3026341631420535e-54,3.7977849375855505e-74,1.4241414856160195e-76,1.1189321229268347e-75,3.0853977373671954e-133,3.3364557580028816e-124,3.8445348321737785e-168,0.0,7.5695254754392355e-74,-5.780036066416765e-82,1.7013174342100734e-79,5.2278534286716874e-91,-5.464333313410638e-115,1.4674943113053759e-87,6.5406001687808125e-96,6.2510626882531847e-56,1.1143619059710574e-55,1.4851283772490944e-68,1.9170945273557705e-164,-5.8607542162616315e-112,-1.3702651511648017e-122,-3.3360826590258245e-103,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.0704248777339831e-32,1.0522067641550628e-31,9.0704248777411429e-32
3.0000000000000002e-15,0.0020651547761390042,1.9996704971005389e-40,4.4539305222226367e-45,2.641592192333979e-41,5.5076376818558467e-47,2.6769627617223846e-51,0.0,0.0,1.0288644964076817e-28,9.4186145568019472e-46,4.0640718198928056e-52,7.5251039413181361e-59,3.0463261562028859e-61,6.9256628968107211e-81,4.757450486218265e-67,6.2552378251717493e-52,1.0288644004454174e-28,2.641592191967781e-41,3.720974393217685e-110,1.1793716559401398e-115,2.2990792292416155e-72,3.073339693805571e-70,5.5075080180973554e-47,5.6696773628130178e-58,4.335290968296098e-45,4.4284145613537782e-78,2.0561842218307822e-66,2.762369192775202e-39,1.3949430244613624e-46,3.4572498565467537e-31,3.6382494701243037e-57,1.6897379665232206e-79,7.9203568311680993e-74,1.1789331945236468e-58,6.7824452844237187e-100,8.1332165217521005e-73,9.5936386267568577e-36,1.8523974297307432e-53,2.7769317008698363e-53,8.0188204340740263e-60,9.123533286195753e-38,2.1694300003191616e-81,1.1906147876607872e-81,8.040345977648144e-72,7.6673453121961258e-62,1.2281978726025289e-53,4.6658493491786216e-73,1.7496591998074946e-75,1.3746878293355575e-74,3.5261133644506517e-124,3.3316461121093681e-119,-3.4078737036044371e-165,5.6303690118060226e-135,9.3246528890903271e-73,3.4184782695497974e-80,2.5775308944619462e-78,7.9164631673062769e-90,7.0566530941681987e-97,2.6414535424431429e-86,9.9041691869527383e-95,5.8938589154353078e-55,1.0506566242502777e-54,1.8245862320277278e-67,1.8871174233232586e-90,3.2987727582080987e-110,6.5381561130201282e-121,1.8777416828259969e-101,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.980282459825155e-31,3.4572507965077661e-31,2.9802824598298598e-31
7e-15,0.0020651547761390042,4.4340609022982188e-40,2.3824450267741545e-44,1.4356477409596759e-40,1.2212672448782161e-46,4.323699899827939e-50,0.0,0.0,2.2813951877754444e-28,5.1188122593258433e-45,2.2086767277971778e-51,1.2153859630202151e-57,4.9202753065463371e-60,1.1185633687293382e-79,2.5855692027680997e-66,3.3994936378190839e-51,2.2813946662350395e-28,1.435647741047792e-40,7.1788486898692118e-109,1.0028791192006419e-113,3.7162529569499021e-71,4.9638917359525605e-69,1.2211967769043405e-46,9.1573867872513847e-57,2.3561360824509536e-44,2.2399497472358966e-76,3.32104296585384e-65,1.5012870275611487e-38,7.581209173679191e-46,7.6660727446330056e-31,5.876320641259568e-56,2.7899389367809247e-77,4.0062196153395736e-72,5.961773203676135e-57,6.3419858068447604e-98,1.3138034194414067e-71,5.2139333485225515e-35,2.9919020546498469e-52,4.484636390353641e-52,1.2945304433457637e-58,4.9584400963104846e-37,1.1790375909175379e-80,1.9659446261001905e-79,4.0656972246574161e-70,3.8782487135770249e-60,1.9837248754286897e-52,2.3600473519472469e-71,8.8499997461347708e-74,6.9533502637896024e-73,1.0916204965577849e-121,1.0312941224633408e-116,2.5742165605941969e-161,5.4402437379935671e-133,4.7101063530744542e-71,6.5956008736538259e-79,4.2560224330536442e-76,1.3074098889602881e-87,2.6464653912238878e-94,1.4702576651100979e-83,1.6352680174789514e-92,9.5194715102116102e-54,1.6965632359718219e-53,9.2290081104291225e-66,1.7646021954489212e-88,2.8026199028674839e-108,4.3136822134348914e-117,1.5952312800075606e-99,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.6084524109055392e-31,7.6660778531148111e-31,6.6084524109311085e-31
1.5e-14,0.0020651547761390042,9.3028687453881152e-40,1.0478748452768431e-43,6.3513042122098404e-40,2.5622997906101544e-46,4.0211212086401026e-49,0.0,0.0,4.7864565707799123e-28,2.2645625436685819e-44,9.7707599429304123e-51,1.130284560807837e-56,4.5759439699562222e-59,1.0402322116967249e-78,1.1438545559325483e-65,1.5038682780035315e-50,4.7864542634753562e-28,6.3513042147098428e-40,1.2871969999679562e-107,3.7364812496948524e-112,3.4604044284591132e-70,4.6164868704773358e-68,2.5619880510232746e-46,8.5165397757491539e-56,1.0423543725849266e-43,4.3080036334199739e-75,3.0886233723301452e-64,6.6416895680033761e-38,3.3539247956125228e-45,1.6083709366386207e-30,5.4650833348820399e-55,1.0941724292541727e-75,7.7049981411262101e-71,1.1461930222503191e-55,2.8153351127367068e-96,1.2227407530672879e-70,2.3066436079493957e-34,2.7825244746948959e-51,4.1700242148235892e-51,1.2039024019313983e-57,2.1936124971032515e-36,5.2160589715742489e-80,7.7125987809771898e-78,7.8191405106977812e-69,7.4588931449969865e-59,1.8449002149432332e-51,4.5389824268159485e-70,1.7020829706513404e-72,1.3373094491941166e-71,1.1186628942258476e-119,1.056391287229989e-114,1.0235044782124145e-158,2.5607665264881071e-131,9.0580741272048224e-70,1.1827207980247395e-77,1.6696807317798593e-74,5.129271439937765e-86,2.3699289207012255e-92,1.1658569436862818e-81,6.4131819253836093e-91,8.8532818582447548e-53,1.5772429678682203e-52,1.7749811941924088e-64,7.8337283089056459e-87,1.0428993676334103e-106,1.3355316651688151e-114,5.9356611456438717e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3864792313032688e-30,1.6083731966295277e-30,1.3864792313145806e-30
3.1e-14,0.0020651547761390042,1.9040592561857973e-39,4.3560140612828618e-43,2.6473327177798711e-39,5.2444672527605311e-46,3.393818453826756e-48,0.0,0.0,9.7965793378646085e-28,9.4390898079558823e-44,4.0722754035668127e-50,9.5388011944420739e-56,3.8620820671187282e-58,8.7786693193861628e-78,4.76777409994161e-65,6.2678324748404339e-50,9.7965697206030663e-28,2.6473327205411783e-39,2.2021215958101777e-106,1.296589171747468e-110,2.9275713703795603e-69,3.8962650663577421e-67,5.243167955452804e-46,7.1879429333002443e-55,4.344712099852087e-43,7.3245548653518802e-74,2.6067783951275275e-63,2.7683680546186797e-37,1.3979723326029391e-44,3.2918945992295046e-30,4.6125130401786832e-54,3.7326470091204107e-74,1.310019351822965e-69,1.9474024651260532e-54,9.9913629511456954e-95,1.0335744537270027e-69,9.6144868698917206e-34,2.3484452282959086e-50,3.5182148281837059e-50,1.01608767754839e-56,9.1433462771738223e-36,2.1741412152777321e-79,2.6328920975638527e-76,1.3294232296771481e-67,1.2681815282539023e-57,1.557090918360549e-50,7.7172696084857151e-69,2.8939116826329033e-71,2.2737207650716509e-70,8.1384452336393898e-118,7.6798681316502501e-113,3.0303659596567651e-156,1.0041434206273402e-129,1.5400781327064365e-68,2.0237152189339379e-76,5.6998825844264127e-73,1.7510168796622391e-84,1.6871655148260885e-90,7.9706547427912049e-80,2.1877208584966143e-89,7.4721469038752085e-52,1.330208951624805e-51,3.0178718473567348e-63,2.780316014887619e-85,3.6099132579080798e-105,3.7388868493463055e-112,2.0542764391996731e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.837747211715251e-30,3.2919040192521732e-30,2.8377472117623994e-30
6.300000000000001e-14,0.0020651547761390042,3.8516472712053228e-39,1.7727796536946343e-42,1.0788015169660888e-38,1.0609211670205208e-45,2.7776528708861626e-47,0.0,0.0,1.9816824876337039e-27,3.8464802858094366e-43,1.6591926785947083e-49,7.805711101392918e-55,3.1608914336681263e-57,7.1834353316575935e-77,1.942885470623347e-64,2.5537280005483101e-49,1.9816785685469105e-27,1.07880151948722e-38,3.637309451415175e-105,4.3188515918731821e-109,2.407478130414849e-68,3.1888109790121743e-66,1.0603917672715331e-45,5.8829340721869707e-54,1.7704922186553535e-42,1.2016651803490902e-72,2.1334816992020279e-62,1.128122189069564e-36,5.6967988925573191e-44,6.6589272774359634e-30,3.7750762228169683e-53,1.2245000854148254e-72,2.1492153810808416e-68,3.1903996282581082e-53,3.3452122266480734e-93,8.4852941672368234e-69,3.9179521953097677e-33,1.9220726526839565e-49,2.8773810284259306e-49,8.3161014274258459e-56,3.7259539213209354e-35,8.859721318893735e-79,8.649286096295399e-75,2.1810577719264392e-66,2.0805941625382017e-56,1.2743908136581143e-49,1.2660938496615901e-67,4.7477326003029039e-70,3.7302628966778283e-69,5.5226380918353807e-116,5.20407362945418e-111,8.3122677050320092e-154,3.9961827822382495e-128,2.5266811502667795e-67,3.3437140541151072e-75,1.8724637469023393e-71,5.7522545337654213e-83,1.1309212882292749e-88,5.232783276634195e-78,7.1764268552801032e-88,6.1155300287046476e-51,1.0871043029741002e-50,4.9511575504052192e-62,9.3101079797459829e-84,1.1964457614951895e-103,9.9324072052929888e-110,6.806534888706299e-95,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.7402831724854219e-30,6.6589656644436706e-30,5.740283172677554e-30
1.2700000000000001e-13,0.0020651547761390042,7.7469963050228663e-39,7.1493297026501897e-42,4.3534442304847496e-38,2.1340338560845893e-45,2.245667030158796e-46,0.0,0.0,3.98573159704939e-27,1.5522286309504772e-42,6.6933220817342027e-49,6.3086813493250812e-54,2.5554913182088996e-56,5.8053440237412028e-76,7.8403537417382165e-64,1.0301837527165258e-48,3.9857157817822069e-27,4.3534442519161411e-38,5.9068671480977186e-104,1.4184105273048688e-107,1.9648499434953518e-67,2.5779709317872287e-65,2.131898060762587e-45,4.7562138100964868e-53,7.1447239591404622e-42,1.9447299866567092e-71,1.7248336271818287e-61,4.5524602378079084e-36,2.2989043783007781e-43,1.3392934046457375e-29,3.052042860938693e-52,3.9541822927959355e-71,3.4782093953928554e-67,5.1487051748211858e-52,1.0932667790705321e-91,6.9023247807552682e-68,1.5810680792796008e-32,1.5539505462594311e-48,2.3229348363122602e-48,6.7233498653155476e-55,1.5035833183628012e-34,3.5752801792006766e-78,2.8008281407055656e-73,3.5297714814669607e-65,3.367213119314787e-55,1.0303116729093982e-48,2.0489986761196304e-66,7.6835077452489134e-69,6.0369195972483417e-68,3.6633842592058976e-114,3.4423516262375683e-109,2.2131765596105598e-151,1.719811201454374e-126,4.089165783054768e-66,5.4335949625364333e-74,6.063455967768254e-70,1.8627090251413857e-81,7.3969263572359896e-87,3.3804133099679753e-76,2.317155836486589e-86,4.9442471589813389e-50,8.763262382027482e-50,8.0129046594941037e-61,3.0435485619052291e-82,3.890555931323305e-102,2.5812613365397168e-107,2.212009011968675e-93,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.1545355093810592e-29,1.3393088954611495e-29,1.1545355094585936e-29
2.55e-13,0.0020651547761390042,1.5538386362782762e-38,2.8711139507135934e-41,1.7488715187427674e-37,4.2809145230414619e-45,1.8056630156919468e-45,0.0,0.0,7.9938298227654375e-27,6.235655205190196e-42,2.6870376619268683e-48,5.0692946648177994e-53,2.0547577412491907e-55,4.6641899466769611e-75,3.1495943232734331e-63,4.1355858520173596e-48,7.9937662894439011e-27,1.7488715363954453e-37,9.5106538468770377e-103,4.6600941981444651e-106,1.6095497482392905e-66,2.0726838085253629e-64,4.2723391376038501e-45,3.8243065740499132e-52,2.8701881295301897e-41,3.1284879867620742e-70,1.3868207923324907e-60,1.8288085666235623e-35,9.2351295497067076e-43,2.6860713239011925e-29,2.4540137382307444e-51,1.2654575964679425e-69,5.5953943773203143e-66,8.2364018270162442e-51,3.5328200384929422e-90,5.6177334069592435e-67,6.3514881568932836e-32,1.2494777744457211e-47,1.8624111047476142e-47,5.4059749116288175e-54,6.0401758613466888e-34,1.4362570298916323e-77,9.0133032430081896e-72,5.6784362860556646e-64,5.4170204166447661e-54,8.2843254261191163e-48,3.2962234570761381e-65,1.2360314160715631e-67,9.7115981696157363e-67,2.4264361585960584e-112,2.2672841938584683e-107,5.8522050956236391e-149,8.228425854353024e-125,6.5784710340728642e-65,8.7599664596651085e-73,1.9512771649898972e-68,5.9943769447202104e-80,4.7840821078115736e-85,2.1639795963144818e-74,7.4138729719765698e-85,3.9754735326487249e-49,7.0052272658987286e-49,1.2890799185867621e-59,9.8405981821876901e-81,1.2533825913062807e-100,6.6284560902057474e-105,7.1177750030792707e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3155498935600248e-29,2.686133553408646e-29,2.3155498938714984e-29
5.11e-13,0.0020651547761390042,3.1123934238898729e-38,1.1506908187883027e-40,7.0102884323437081e-37,8.5772975442990927e-45,1.4481198150578484e-44,0.0,0.0,1.601002630173528e-26,2.4995569863939884e-41,1.0756389251219175e-47,4.0602338826018312e-52,1.6478518747359983e-54,3.734723101228001e-74,1.26246888947938e-62,1.6554284916367244e-47,1.6009771630673616e-26,7.0102885755994982e-37,1.5234122443531481e-101,1.551218300830855e-104,1.3384416561914963e-65,1.6619894206064479e-63,8.5429599091077692e-45,3.0670473072492838e-51,1.1505045109549544e-40,5.0185525086470756e-69,1.112120197473909e-59,7.3306175519119854e-35,3.7018200563422695e-42,5.3795334274788758e-29,1.9680441036950338e-50,4.0160537489329631e-68,8.9758145975539359e-65,1.3066209388029232e-49,1.1349392816390307e-88,4.6141267264265487e-66,2.5459711552176644e-31,1.0020660140795274e-46,1.4850732441445751e-46,4.3354650692136774e-53,2.4211511084283131e-33,5.7571094014837011e-77,2.8920771259510398e-70,9.1093256435918638e-63,8.6902730185611795e-53,6.6438424528796893e-47,5.2876146392417658e-64,1.9827258845683711e-66,1.5578819489317615e-65,1.632512423900239e-110,1.5085683450420614e-105,1.5619441006659797e-146,4.3561410037209352e-123,1.0553529530158594e-63,1.4068008468779048e-71,6.2610508934123577e-67,1.9234149668279124e-78,3.0775695418123432e-83,1.3737039311660155e-72,2.3517871738420892e-83,3.1882426557323209e-48,5.5534308004334165e-48,2.0680107464319573e-58,3.1649287318290078e-79,4.0155676384555644e-99,1.6855290608944605e-102,2.2750047818236235e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.6375786615736826e-29,5.3797828689593646e-29,4.6375786628222216e-29
