Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971),C3H5O(975),S(3034),S(276),S(1952),S(3263),S(199)
0.0,0.0027046380994840205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0027046380994840205,5.465509053763392e-24,1.2524177367472125e-31,1.22351872224184e-32,1.8505833384538663e-31,1.3642059970966968e-40,0.0,0.0,1.0373387771814064e-21,3.5310270767924503e-33,3.9379416790235869e-37,5.7593191520424375e-44,7.3093934325131843e-48,5.8433479285406343e-57,2.0847068415842962e-46,6.6304018557492525e-37,8.0616830824872566e-22,5.6722782493598306e-33,-1.1702983132347147e-77,3.7564752131214266e-75,1.0388382190831097e-49,7.2616660213301184e-48,1.3978221352822486e-31,1.6441213315398376e-45,7.2847827423784027e-35,2.3800604400959283e-58,9.7586761912178674e-48,2.7534401189563334e-28,8.3668341164512892e-32,1.6050597347006727e-20,1.9379925525465891e-43,6.3665934716164349e-59,3.5843371384460357e-55,2.4410281409372771e-43,7.6752382335938816e-71,1.9793333838991463e-53,1.7628718208619001e-29,3.1346701779904986e-40,2.73419870749277e-41,8.688077699933778e-42,1.0171080218290524e-27,6.8146525902945295e-53,2.3265794948600657e-58,5.6491205213067913e-51,8.055251880917221e-47,4.615806096509249e-40,7.2590347479600332e-55,1.754571619265244e-56,6.5061266622472023e-56,1.9615157734840148e-83,1.9306237684512324e-75,-5.1771812204048221e-107,-6.9548387726828797e-101,1.721334056013139e-52,2.9506616017016758e-49,3.6551958428425552e-58,7.2633264055013032e-67,1.7489560698941936e-55,2.9989125805584255e-66,6.0894944781406226e-71,1.2996116825808498e-37,2.6856653642131479e-39,1.1894516709680582e-48,4.961796772148026e-51,6.8416574791115041e-74,4.3466596207240612e-77,-1.5241689740350139e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.9789369757267092e-20,1.6050597650134324e-20,1.9789370006320908e-20,7.7504615106643794e-28,5.5590491405957895e-28,6.2861799507997386e-28,4.7751287955206091e-36,1.0074465086117652e-22,1.233292940696675e-36,3.0571201843189488e-29,1.4490240932791471e-42,3.7424564581801292e-43,8.2906572295939322e-23,9.0312874510584578e-39,4.1453286153458414e-23,2.5158195771243658e-29,1.2579097612723348e-29,3.6997196686250405e-37,1.1226886296465162e-43,5.5035678579735618e-51,2.2517240966240992e-56,1.153143787532836e-23,1.0067165846506409e-51,1.8708151128721473e-51,4.5162613431713659e-31,1.3360335816270632e-40,7.8576756778861061e-38,7.4321872927060772e-39,4.3465823853403537e-44,1.3063592397057933e-49,3.964178010481126e-56,1.5469283262514821e-36,5.8296511726890809e-64,9.3215731937149729e-38,2.8286533676785607e-44,1.6159906004170854e-64,7.4482911777472038e-71,1.6804551010972805e-53,6.3658966921949681e-32,9.3139036369641069e-38,2.8263261391453095e-44,6.5717613762971547e-45,6.0532138056524806e-43,6.9187120402793139e-61,6.5015700048494852e-63,1.4616030751273343e-70,1.9889126539733321e-77,5.3161471231559979e-87,8.52868849075747e-66,2.6800682561064008e-68,9.0506241612754649e-72,1.1394736321529027e-61,2.7729227565944237e-80,1.3332509192561933e-83,6.4992488120743723e-38
3.0000000000000002e-15,0.0027046380994840205,1.795810313279126e-23,4.3331059247376811e-31,8.040266224321479e-32,7.5680974273231821e-31,1.2862514093043538e-39,0.0,0.0,3.4083989843386842e-21,2.3203892648222984e-32,2.5877818677912275e-36,5.4302023804009487e-43,6.8917160464553657e-47,5.50942615738977e-56,1.369950053483387e-45,4.3571064602921863e-36,2.6488389985949282e-21,3.7274973015601423e-32,6.9215159956302898e-76,4.6158055561486879e-74,9.7967183448879047e-49,6.8467116981150839e-47,4.5928093800890472e-31,1.5501715897549159e-44,4.787143159677171e-34,2.9388450660415151e-57,9.2010365321437618e-47,1.8094034745838068e-27,5.4982051280649743e-31,5.273767372210573e-20,1.8272499565438618e-42,9.6406744286104975e-58,4.4041467471040474e-54,2.9989136389756076e-42,9.4397264959284834e-70,1.8662295377588416e-52,1.158458673137748e-28,2.9555467255242759e-39,2.5779289653027995e-40,8.1940450721220893e-41,6.683852518178457e-27,4.4794765989940143e-52,3.5237486169413106e-57,6.9419273015306781e-50,9.8964516763712688e-46,4.352045384568155e-39,8.9182416008538012e-54,2.1554685145205943e-55,7.9932408275157137e-55,3.531143814476528e-82,2.9239244239616654e-74,2.765997079202057e-105,3.7260996480005202e-94,2.1162046101956313e-51,3.6259233154860801e-48,5.5360326625229352e-57,1.0998706208115982e-65,2.6483824965800505e-54,5.3979639207598258e-65,9.2183343107357813e-70,1.2253481525572657e-36,2.5321290802809139e-38,1.4613023441011012e-47,6.0958176448214454e-50,8.4453025308480528e-73,9.065776113449084e-76,1.3829269445843924e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.5022212156198394e-20,5.2737675714087031e-20,6.5022213792837651e-20,5.0931602947490904e-27,3.6530893754992254e-27,4.1309181507704503e-27,4.5022636412978463e-35,3.3101803786453246e-22,1.1628189181564511e-35,2.0089642229578432e-28,1.7802293062922945e-41,4.5978743879498258e-42,2.7240722642756162e-22,8.5152124972637388e-38,1.3620361324985241e-22,1.6532525058456119e-28,8.266262271923929e-29,3.4883059507786666e-36,1.3793027372941592e-42,8.3339658629901996e-50,4.0530999688484692e-55,3.7889008931137085e-23,1.3374525182487997e-50,3.0199513678118645e-50,2.9678288250380207e-30,1.2596888022620588e-39,7.4086635392996914e-37,7.0074898177506943e-38,4.0982093348814381e-43,1.6049564483935782e-48,6.002900354209409e-55,1.4585319673637163e-35,1.0493374739991656e-62,8.7889094687417946e-37,3.4752017929465415e-43,2.9087839171340413e-63,1.5535011167783548e-69,2.5446886082886519e-52,4.1833037219512678e-31,8.7816780537541107e-37,3.4723426239206926e-43,8.0738765280355108e-44,5.7063506941093641e-42,1.3126858897993343e-59,1.4192986135538231e-61,3.608292398211571e-69,5.4783341626312131e-76,1.6161890332119481e-85,1.778075866088826e-64,6.3529228727539367e-67,2.4039770366432505e-70,1.7254771870447419e-60,6.5754089404630682e-79,3.542455780148176e-82,6.1278633442559454e-37
7e-15,0.0027046380994840205,3.9820154316561083e-23,1.1011097411132424e-30,4.3697110912103365e-31,2.6353880506031792e-30,2.0774914603327465e-38,0.0,0.0,7.5577552028462265e-21,1.2610812739978176e-31,1.4063735593211737e-35,8.7704098075048802e-42,1.1131198757130032e-45,8.898318540219018e-55,7.4453751836726122e-45,2.3679404466131757e-35,5.8735143090931856e-21,2.0258143388583406e-31,1.3354001639198632e-74,2.3355578083961612e-72,1.5828165444209055e-47,1.1058447472252144e-45,1.0183831795965371e-30,2.5037627112643528e-43,2.6017089981789072e-33,1.5761139338107966e-55,1.4861052988409453e-45,9.83371339847432e-27,2.9881544358717273e-30,1.1694003804772284e-19,2.9512831015163568e-41,1.5917536006947021e-55,2.2309118596578645e-52,1.5165050878127257e-40,4.9359470157876125e-68,3.0142445424181449e-51,6.2959727471891512e-28,4.7736565570957164e-38,4.1633045310032974e-39,1.3232473996156715e-39,3.6325278468610846e-26,2.4350748402455319e-51,5.8192057356314297e-55,3.5110010263865968e-48,5.0057594952455276e-44,7.0292073143113871e-38,4.5109644230868155e-52,1.08936794680941e-53,4.0430897012669654e-53,1.9700869369081403e-79,4.8389606864640245e-72,1.0102854059490088e-102,3.4876608512763721e-92,1.0700638051585621e-49,1.8338735176180034e-46,9.1423649207432199e-55,1.8163351577675616e-63,4.3729235776727541e-52,3.0045087456194267e-62,1.515299691979687e-67,1.9791225283755446e-35,4.0887406577546464e-37,7.3900145968767017e-46,3.0827176146027959e-48,4.7580496213763381e-71,1.7428149090715339e-72,3.7816760239989546e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4417967006116657e-19,1.1694004887370506e-19,1.4417967895594284e-19,2.7680214517923832e-26,1.9853744492923078e-26,2.2450638494849068e-26,7.2718282947135091e-34,7.3399587089499702e-22,1.8781266616534937e-34,1.0918267213138998e-27,9.0046303817835848e-40,2.3256648366086237e-40,6.0403288396521904e-22,1.3753337813173382e-36,3.0201644217866016e-22,8.9850552661529119e-28,4.492527217492661e-28,5.6341253888813168e-35,6.976679214944597e-41,1.3763417941777445e-47,2.2565133654381134e-52,8.4014751015242865e-23,8.4973103948065928e-49,6.34653399344437e-48,1.6129502446246811e-29,2.0345880004845086e-38,1.1966083052858512e-35,1.131814209135834e-36,6.6192747016516453e-42,8.1181429106708232e-47,9.9139014337860308e-53,2.3557433877509921e-34,5.8421709662878823e-60,1.4195384919076026e-35,1.7577999964647761e-41,1.6194622442326768e-60,2.987270455116864e-66,4.2025637948107659e-50,2.2735352728988721e-30,1.4183703332019601e-35,1.7563537734398866e-41,4.0838688758240842e-42,9.202358408877147e-41,9.1459590674109544e-57,3.4392022433273348e-58,3.0929705666558957e-65,1.6835892227513038e-71,1.800036486609087e-80,3.3886478460197317e-61,4.2557179766927807e-63,5.7487350106423209e-66,2.8493592581987756e-58,4.4427730649188467e-75,8.5448854753256063e-78,9.8974264848570812e-36
1.5e-14,0.0027046380994840205,8.3544294786231977e-23,2.8613718959626051e-30,1.9331610601446156e-30,9.2901531323693621e-30,1.9321068406850182e-37,0.0,0.0,1.5856470464759112e-20,5.5790246718449282e-31,6.2215788876750805e-35,8.156368736577551e-41,1.0352272045932395e-44,8.2752537834601938e-54,3.2938299085854741e-44,1.0475384973280214e-34,1.232287021827713e-20,8.9622069565039426e-31,2.3945314003862197e-73,4.4923230039538334e-71,1.4721942261918166e-46,1.028452086963075e-44,2.136519926814134e-30,2.3285473460216989e-42,1.1509966187526332e-32,3.2890935162983003e-54,1.3821036054551476e-44,4.3504339716723981e-26,1.321959136580314e-29,2.4534470290377504e-19,2.7447451033966591e-40,6.2424761220909414e-54,4.2999493220446223e-51,2.9155244263865035e-39,1.0558585167477415e-66,2.8033064452444224e-50,2.7853395908775591e-27,4.4395919753735728e-37,3.8713075550214492e-38,1.2306725785492348e-38,1.6070298082315778e-25,1.0773526991640853e-50,2.2830441424947857e-53,6.7527132752769071e-47,9.6273877640116397e-43,6.5372868281718924e-37,8.6757580582764252e-51,2.0925585460821141e-52,7.7759215799759637e-52,1.5674188021182972e-77,1.9041783867592703e-70,7.6721407085055167e-101,1.5511820365423418e-90,2.0580362907163896e-48,3.5270899521563235e-45,3.5868333032836e-53,7.1252789274059656e-62,1.7150862029227231e-50,2.3824037448503491e-60,5.9047699908865047e-66,1.8406205326306279e-34,3.8011013503604782e-36,1.4208755148917375e-44,5.9270596810886565e-47,1.2358891904848831e-69,2.7798956789116333e-70,4.7404737955370691e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0249453210069236e-19,2.4534475079789734e-19,3.0249457145116577e-19,1.2245723613826348e-25,8.7832950107783027e-26,9.9321598032225229e-26,6.7629226691752649e-33,1.5399495759118569e-21,1.7466900031807995e-33,4.8302292103597953e-27,1.7318233288137665e-38,4.4728562460772307e-39,1.2672825912218855e-21,1.2790832215244069e-35,6.3364129647829087e-22,3.9749791161895748e-27,1.9874891715958458e-27,5.2398171425652493e-34,1.3417922167855438e-39,5.3995990615509723e-46,1.7899142569804602e-50,1.7626621121229202e-22,1.7393599842610657e-47,2.6493140176282488e-46,7.1356903847333953e-29,1.8922046289655423e-37,1.1128636380599949e-34,1.0526061579491167e-35,6.1561163232746015e-41,1.5613476966357392e-45,3.8894905059547244e-51,2.1908757292544889e-33,4.6342628161297256e-58,1.3201922465892473e-34,3.3806980652755529e-40,1.2846287421226534e-58,4.7666769404352404e-64,1.6487580261139738e-48,1.0058124760995837e-29,1.3191055808179432e-34,3.3779165515627029e-40,7.8543291321705324e-41,8.5376334793520334e-40,7.4437518624268663e-55,5.6302980435536428e-56,1.0156598039719413e-62,1.1073507986400468e-68,2.3696625972700257e-77,5.3402609314221914e-59,1.3435765030691003e-60,3.6353462377702528e-63,1.1177103403440325e-56,1.4193340415677933e-72,5.4679927872291827e-75,9.2047908071599237e-35
3.1e-14,0.0027046380994840205,1.7099272813373403e-22,8.0805545697245665e-30,8.0577580283009672e-30,3.4190137360362298e-29,1.6306963943046714e-36,0.0,0.0,3.2453912288165506e-20,2.3254352432828478e-30,2.5930847013187476e-34,6.8835029517353246e-40,8.7373810797237537e-44,6.9837215944816254e-53,1.3729221681236543e-43,4.366009831993219e-34,2.5221603189375568e-20,3.7356069630501223e-30,4.0969111876275202e-72,7.6384642156835927e-70,1.2426193618552219e-45,8.6800481306315165e-44,4.3725225102943109e-30,1.9652919422982713e-41,4.7975582642601909e-32,6.4556868031794943e-53,1.1664895577418196e-43,1.8133357213212913e-25,5.5101520277638453e-29,5.0215377743543227e-19,2.3165545482473755e-39,2.1294535478662722e-52,7.3421883390406825e-50,4.9533144346531949e-38,2.5178636786861054e-65,2.3659903855162441e-49,1.1609789109844212e-26,3.7470115129471283e-36,3.2663107006933478e-37,1.0387525139002703e-37,6.6983750536104349e-25,4.4907364398295018e-50,7.7942097971355843e-52,1.1481862595992921e-45,1.6368731299961278e-41,5.5174465106930424e-36,1.4750715610674029e-49,3.5491752013783181e-51,1.3220821675728524e-50,1.0787127309384549e-75,6.5393537325061237e-69,5.3464131604704273e-99,5.5242477753036406e-89,3.4993524143959167e-47,5.9972227906261745e-44,1.2245404700532678e-51,2.4319854111954933e-60,5.8514394776402599e-49,1.6287122444791395e-58,1.9890948505927183e-64,1.5534798480252862e-33,3.2056323779669916e-35,2.4144053860110746e-43,1.0071244455170268e-45,4.273156525108611e-68,3.8048788848713582e-68,6.0807361581752971e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1912404109827523e-19,5.0215397706626025e-19,6.1912420511774161e-19,5.104227506608484e-25,3.6610285720103059e-25,4.1398944539919122e-25,5.7078724794143723e-32,3.1518491418372219e-21,1.474198521727029e-32,2.0133134432472133e-26,2.9444798024667152e-37,7.6048415588714859e-38,2.593775574511675e-21,1.0795392029629543e-34,1.2968877908711733e-21,1.656832696243907e-26,8.2841602192037289e-27,4.4223554732644748e-33,2.2813290317242746e-38,1.8432272266514554e-44,1.224516884335314e-48,3.6076903572116204e-22,3.0497594541850734e-46,9.3328834058323197e-45,2.9742784068317706e-28,1.5970170178768078e-36,9.3924759358099028e-34,8.8839409963840199e-35,5.1958627596073218e-40,2.6546971260737e-44,1.3278093227875868e-49,1.8490793001263666e-32,3.1705695337795973e-56,1.1142315309247984e-33,5.7479086690293656e-39,8.7889111369782593e-57,6.5291271341420301e-62,5.6284520750734339e-47,4.1924048484180311e-29,1.113313961908376e-33,5.7431793077924866e-39,1.3354060003796242e-39,7.1716153936441225e-39,4.9104653782884703e-53,7.4392675700277798e-54,2.6858868572177851e-60,5.8588905651519826e-66,2.5079979845325206e-74,7.1385150834660457e-57,3.5844075404215975e-58,1.9401154598306126e-60,3.8145301704347352e-55,3.8754136356331382e-70,2.9868125137873678e-72,7.7688260930234834e-34
6.300000000000001e-14,0.0027046380994840205,3.4589020445846212e-22,2.5313576843638579e-29,3.2835859188006675e-29,1.3035208367631869e-28,1.3346381525077169e-35,0.0,0.0,6.5648841133215921e-20,9.4762821048065377e-30,1.0565520855523762e-33,5.6330219128800721e-39,7.1512002107037379e-43,5.7148492980365611e-52,5.5947053481318214e-43,1.7789190302657403e-33,5.1019153742341095e-20,1.5222829545071778e-29,6.7684932503147379e-71,1.2532636264560026e-68,1.0171060381247895e-44,7.1040296983629888e-43,8.8434442963760036e-30,1.6084869815666568e-40,1.9550347007131954e-31,1.3400026616347632e-51,9.5470204049438241e-43,7.3894358725541479e-25,2.2454142804372358e-28,1.0157709057792072e-18,1.8959637879948305e-38,6.9850655617170444e-51,1.21480411117712e-48,8.1142423565188715e-37,8.8688694324553707e-64,1.9364409361811719e-48,4.7310602744302197e-26,3.0667293025012161e-35,2.6715578908897492e-36,8.5027302734600239e-37,2.7296207778694525e-24,1.8300268031009435e-49,2.5607525652922024e-50,1.8839680451648008e-44,2.6854681687374315e-40,4.5157074307111456e-35,2.4200051374720612e-48,5.7946820468048119e-50,2.1690195779613399e-49,7.1752086652201299e-74,2.1737602742776096e-67,3.551396772038634e-97,1.8623789313336793e-87,5.7418227764175736e-46,9.8403510856190425e-43,4.0232497503350821e-50,7.9865236510700514e-59,1.9199745020985496e-47,1.0691626703360529e-56,6.3660610068698842e-63,1.2714369410802472e-32,2.6195773518213864e-34,3.9565061011536929e-42,1.6503035208726209e-44,2.1232785198147248e-66,4.9969515782747802e-66,7.8352685295085071e-67,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.2523821987689513e-18,1.0157717192841279e-18,1.2523828671560524e-18,2.0799982135242056e-24,1.4918879695918165e-24,1.6870276764667944e-24,4.6715438449879588e-31,6.3756168977979012e-21,1.2065427929500907e-31,8.204280730194091e-26,4.8307042703196711e-36,1.247649257997094e-36,5.2467358166054649e-21,8.835357729372329e-34,2.6233679230358926e-21,6.7516213466337294e-26,3.3758080035822399e-26,3.6193883323599514e-32,3.7427010220741605e-37,6.0546925700033483e-43,8.0495258170502735e-47,7.2977430119336126e-22,5.0817231577204374e-45,3.1152603732656324e-43,1.2120335896759205e-27,1.307070187479607e-35,7.6871058954741918e-33,7.270958580202271e-34,4.2527103670785662e-39,4.3554951566463713e-43,4.3621455817806304e-48,1.5133438613237866e-31,2.0844473096037702e-54,9.1192363451552015e-33,9.4299349003456684e-38,5.7781703938587006e-55,8.5876170930141268e-60,1.8489771261064841e-45,1.7084308291690678e-28,9.1117196077639873e-33,9.4221753441500627e-38,2.1908551430112642e-38,5.8146146135269554e-38,2.8987831817406311e-51,8.7911217693668425e-52,6.3504841001586259e-58,2.77116172175424e-63,2.3727524043195693e-71,8.9573761618046391e-55,8.9494319504091245e-56,9.6879284086821271e-58,1.252400963298875e-53,1.0118651085748984e-67,1.5598366257586293e-69,6.358355874163975e-33
1.2700000000000001e-13,0.0027046380994840205,6.9568759560347744e-22,8.6958436856277104e-29,1.3250800625158227e-28,5.0812518055276374e-28,1.0790288714036976e-34,0.0,0.0,1.3203887961558872e-19,3.8241140450703992e-29,4.2625043339187275e-33,4.5529623448207849e-38,5.7817979760454786e-42,4.6188011838971035e-51,2.2576947241957679e-42,7.1766973693375876e-33,1.0261459329011896e-19,6.1431227496597787e-29,1.0998435018548855e-69,2.028494811265507e-67,8.2243056952588278e-44,5.7432630944100062e-42,1.7780956447535411e-29,1.3004305659537314e-39,7.8894783270095418e-31,3.064688559354268e-50,7.7184573754360776e-42,2.9819668680963386e-24,9.0612408122775188e-28,2.0430010796065907e-18,1.5328290438794392e-37,2.2552241458882433e-49,1.9990355141142281e-47,1.3092629220688247e-35,4.4951130407191209e-62,1.5655807783106961e-47,1.9092032879681325e-25,2.4793905345505306e-34,2.1570919925163789e-35,6.8760595006547721e-36,1.1015226169636e-23,7.3850314579314081e-49,8.2941182900519516e-49,3.0497712252185315e-43,4.3461159873583303e-39,3.6508147328708691e-34,3.9164628676339976e-47,9.2882896066376559e-49,3.5103047927863416e-48,4.7560928171479378e-72,7.2040099665680638e-66,2.3129560792808411e-95,6.1700921166614621e-86,9.2949009500328894e-45,1.592952302608803e-41,1.3031553212142233e-48,2.5844195254662592e-57,6.2026003650392514e-46,6.9056204618433722e-55,1.9604413014501501e-61,1.0279261043892755e-31,2.1113414522119543e-33,6.388360639932184e-41,2.6643920849799786e-43,1.2612195974984143e-64,6.4557861885040043e-64,1.0034693663305935e-64,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,2.5188950728234278e-18,2.0430043624542587e-18,2.5188977700584145e-18,8.3937152640962572e-24,6.0204339052295979e-24,6.8079048692890056e-24,3.7767777904815434e-30,1.2823026910505898e-20,9.7544978106256212e-31,3.3107329448405443e-25,7.8178173783560301e-35,2.0191497225155154e-35,1.0552553406116868e-20,7.1430591727601677e-33,5.2762767625168853e-21,2.7245345496926898e-25,1.362265116501423e-25,2.9260848996659756e-31,6.0569066743666226e-36,1.9603334574914731e-41,5.2136075550305705e-45,1.4677832979185776e-21,8.2884567754820272e-44,1.0169264389035122e-41,4.8910953023480223e-27,1.0567355197067883e-34,6.2146558294074731e-32,5.8783081752088093e-33,3.438513350825602e-38,7.0494292091856576e-42,1.412669037073271e-46,1.2234619249024821e-30,1.3503774554873653e-52,7.3724731408586572e-32,1.5260813831378416e-36,3.7433278495921841e-53,1.1128077087065553e-57,5.9872593520008599e-44,6.894315636594999e-28,7.3663848165985594e-32,1.5248254197743178e-36,3.5455667916407489e-37,4.6145540878382308e-37,1.53523702217884e-49,9.3209115998734199e-50,1.3471676383898477e-55,1.1760118459137843e-60,2.0141178466576938e-68,1.0629127140453094e-52,2.1019241813560768e-53,4.55004814785528e-55,4.0509786094895824e-52,2.5833358444649794e-65,7.9650095929543255e-67,5.1405828284641122e-32
2.55e-13,0.0027046380994840205,1.3952921316890539e-21,3.1896492078524366e-28,5.3231867227760643e-28,2.0054785335229703e-27,8.6761836724977137e-34,0.0,0.0,2.6481967974399358e-19,1.5362383071587116e-28,1.7114130903961362e-32,3.6589456062445037e-37,4.6492982940153263e-41,3.7113756079350336e-50,9.0694983070601349e-42,2.8814010527485246e-32,2.0580682614323899e-19,2.4678505573124275e-28,1.7740898412632316e-68,3.2640283792644722e-66,6.6147874902104226e-43,4.617672793088017e-41,3.5638671869609486e-29,1.0456418567322934e-38,3.1694066665298416e-30,7.7332306192488014e-49,6.2060087579624183e-41,1.1979202827705334e-23,3.6400898413568727e-27,4.097445095964617e-18,1.232473644270803e-36,7.2148171177625351e-48,3.321436612973881e-46,2.0937282419247629e-34,2.681683242744198e-60,1.2588514559370895e-46,7.6697569918544744e-25,1.9936112905677387e-33,1.7299647477871728e-34,5.5316969050561725e-35,4.4250447965592006e-23,2.9667375655590487e-48,2.6703039367172921e-47,4.908829083051047e-42,6.9917731455932177e-38,2.935447687113482e-33,6.3004691463524681e-46,1.4661779007716729e-47,5.6471701495151676e-47,3.1998772318495306e-70,2.4239609647253754e-64,1.4930882973107105e-93,2.0477729902341856e-84,1.4960894825713094e-43,2.5639545193506977e-40,4.1958459711218699e-47,8.3053759887942346e-56,1.9866479751429961e-44,4.4190789199289697e-53,5.7451694057457468e-60,8.265185188470181e-31,1.6872574038658761e-32,1.0230074546323572e-39,4.2657513897414358e-42,7.8956658173608616e-63,8.2630417274250227e-62,1.2717126280745574e-62,0.88168480800000004,0.0,0.009459999999999991,0.10885,0.001,5.0519070558735462e-18,4.0974582838107309e-18,5.0519178912069628e-18,3.3719320981971544e-23,2.4185384764843973e-23,2.7348786861040675e-23,3.0366867741902684e-29,2.5717344973840693e-20,7.8430655136081344e-30,1.3299443709408849e-24,1.2576479050291588e-33,3.2482089307144311e-34,2.1163777032569182e-20,5.7432936679585528e-32,1.0581888755170077e-20,1.0944674556410538e-24,5.4723199248711852e-25,2.35259388089544e-30,9.7432935392930581e-35,6.3065360130737041e-40,3.354855481362197e-43,2.9437951541961516e-21,1.3385464802260277e-42,3.2856485974960103e-40,1.9648577292239135e-26,8.4968441475636691e-34,4.9966862059028994e-31,4.726397744065013e-32,2.765266850853154e-37,1.13425359979147e-40,4.5468028099569707e-45,9.8367740229293881e-30,8.6932672757436327e-51,5.9276043963225544e-31,2.4549299572432171e-35,2.4098623960425081e-51,1.4328675125420486e-55,1.9266654984517853e-42,2.7696234832197477e-27,5.9226909483447042e-31,2.4529088911843334e-35,5.703653021467292e-36,3.5786696853533891e-36,7.1967466161229947e-48,8.7495221981026751e-48,2.5302452349594408e-53,4.418904794767679e-58,1.513854338459276e-65,1.1710455544776336e-50,4.5369592700152489e-51,1.9635075075325284e-52,1.3007082961267146e-50,6.4596236699550859e-63,3.9834608811188449e-64,4.1333670648304392e-31
