Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86)
0.0,0.0048058846700881844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0048058846700881844,2.7398604392314522e-30,3.1472484723675343e-39,2.9088364962225266e-37,8.1786051292538469e-62,5.6013588625232498e-47,0.0,0.0,1.8823120561496806e-26,2.4014151964877923e-39,2.9431605094261564e-60,9.232333511375461e-61,3.1113210875377848e-83,3.5716917744519679e-47,2.7849884736259964e-60,5.0462606445718671e-36,2.6082727533567856e-47,2.1330371370300309e-53,5.215032431410057e-63,2.2314670732254779e-34,-2.2488685259762969e-84,4.1205031621578019e-55,3.7175270475603599e-62,4.0461440850866227e-51,5.0043937415132022e-74,9.0252736318751094e-44,2.9794128693049624e-62,9.0914023346554544e-26,7.9012983649892749e-58,4.9066882392473241e-78,2.2580549407878341e-67,3.9818622261928464e-103,3.1951242716191389e-56,2.8863357975189956e-58,2.4289366005199997e-38,2.9067848466896475e-37,8.8016815775583086e-41,3.917324675085204e-33,1.4446794623612729e-55,2.2306206218207035e-61,1.4787916452397183e-58,1.7595320113070783e-51,1.9367582199479571e-45,6.8220969331987526e-38,1.9309744068014018e-59,5.9915323162944588e-67,3.0958682601721353e-66,1.3080471206895714e-93,1.320604726005815e-92,8.8593760687516549e-84,-1.7451548976527858e-142,0.0,-2.5555201913656529e-68,1.0606073647049521e-50,2.237878432990552e-59,1.0591400128756238e-55,1.4079559643867926e-69,2.4050348248161844e-62,4.6857000101878117e-63,4.7286084722833043e-84,1.1439512166178443e-44,3.1585028787791105e-38,3.8257203995354064e-43,1.2136991026797189e-65,4.7458380301371521e-87,-8.2534884882369095e-96,4.5819246241068112e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.458581529267233e-26,9.0914027461422684e-26,9.4585815298111999e-26,8.2956886407230907e-27,7.0201143824185245e-27,3.510057191209207e-27
3.0000000000000002e-15,0.0048058846700881844,9.002398499043503e-30,1.130426453320229e-38,1.911525361524766e-36,1.0732891794653921e-59,5.2812893691416876e-46,0.0,0.0,6.1847396812872815e-26,1.5780728509748571e-38,2.7762353403094728e-59,8.7047722077512575e-60,4.7114289996983374e-82,3.3675950553693418e-46,2.6261389134612299e-59,3.3161141120652546e-35,2.4592285826887385e-46,1.4017100539487887e-52,4.9170294378546585e-62,1.4663926213325409e-33,6.1623114201954846e-76,2.707754246336113e-54,4.5672699288982279e-61,3.8149358296037885e-50,6.1482974339281522e-73,8.5095436637887411e-43,2.8127363922136147e-61,2.987174917439732e-25,7.4497952760544724e-57,4.6263052703368121e-77,2.7741816070543604e-66,6.0296776300615501e-102,3.9254383744675308e-55,2.040956534070929e-57,1.5961583060340418e-37,1.910177129242369e-36,5.7839618309217857e-40,2.5742418785932216e-32,1.3621263380860233e-54,2.1031564055975966e-60,1.4014960104135694e-57,1.658987248330091e-50,1.8260860307413081e-44,4.4830912456283966e-37,1.8206339617723994e-58,7.3610249494354495e-66,3.8034951787577553e-65,1.6086013412520952e-92,2.0062086674751014e-91,1.092755133872555e-82,8.8255942353562712e-141,1.501764654279983e-135,1.5114098994292814e-66,1.0000011484121038e-49,2.7493934048325965e-58,9.98619242178965e-55,1.7297732068962141e-68,2.9547570582730706e-61,5.7567238610375895e-62,7.1597753294951414e-83,1.0785825608479441e-43,2.0755448894250029e-37,2.5140448006001252e-42,1.4911109614627066e-64,7.1865278204488109e-86,4.4097198485955841e-94,6.9382376611921288e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.1078196451589514e-25,2.9871751878453491e-25,3.1078196455164137e-25,2.725726267669698e-26,2.306609011369574e-26,1.1533045056847683e-26
7e-15,0.0048058846700881844,1.996183959020948e-29,3.1264637307871465e-38,1.0388874553074663e-35,7.2869685752465784e-59,8.5302032542677273e-45,0.0,0.0,1.3713988427948149e-25,8.5764831533978564e-38,4.5026274761593204e-58,1.4059535070742506e-58,7.7809675725738212e-80,5.4391755712718028e-45,4.245944692935434e-58,1.8022358392412242e-34,3.9720265740350676e-45,7.6179871365173553e-52,7.9417306641956458e-61,7.9695241686077162e-33,5.7623184781916028e-74,1.4715879764613696e-53,2.310181834036334e-59,6.1616990589536294e-49,3.1099124105601642e-71,1.3744201657015427e-41,4.5959338164098851e-60,6.6237348153842193e-25,1.2032543312839953e-55,7.4721723627432537e-76,1.403218689505755e-64,9.9580533898365908e-100,1.9855414039257235e-53,2.5091304665832253e-56,8.6747722901043166e-37,1.0381547011097427e-35,3.1434562839158072e-39,1.3990443197623578e-31,2.2000402390491151e-53,3.3969135800083726e-59,2.3703230762546217e-56,2.6795146334608874e-49,2.9494013122714225e-43,2.4364590094160939e-36,2.9406137612415991e-57,3.7233062912809321e-64,1.9238602514690845e-63,8.231860406987587e-91,3.4720466125610632e-89,5.7894744157919145e-81,1.3708533839729038e-137,1.3749971484479513e-132,2.916181177145473e-65,1.6151521683488591e-48,1.3906809493443101e-56,1.6129438189249948e-53,8.7493575143689863e-67,1.4945572750840765e-59,2.911871966892095e-60,1.1807467992132246e-80,1.7420740379564075e-42,1.1278624834954517e-36,1.3663285779281118e-41,7.5422096483168747e-63,1.1867954630011158e-83,1.6098151619966093e-91,1.1455966823469265e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.8912522555518738e-25,6.6237362849797657e-25,6.8912522574946114e-25,6.0440017239860229e-26,5.1146547643636625e-26,2.5573273821817899e-26
1.5e-14,0.0048058846700881844,4.1880720077879631e-29,8.9948889018254638e-38,4.5961481270488783e-35,6.2282689962942178e-58,7.9334251755027688e-44,0.0,0.0,2.8772487250154751e-25,3.7942363437714858e-37,4.2146505059449475e-57,1.3075644603020827e-57,3.0526575042671459e-78,5.0585343303158523e-44,3.9551300375080549e-57,7.9730906823564858e-34,3.6940589478851317e-44,3.370195828358712e-51,7.385933883767518e-60,3.5257167959945736e-32,2.5581700085432171e-72,6.5101759257358181e-53,4.4430865644468987e-58,5.7304952526035322e-48,5.9812821916680054e-70,1.2782364406751152e-40,4.3515544177161869e-59,1.3896851974392954e-24,1.1190484006448585e-54,6.9492435554837146e-75,2.6987574012811659e-63,3.9067721175275639e-98,3.8187207463296963e-52,3.4323170829076568e-55,3.8377184437407785e-36,4.5929062809240482e-35,1.3906641539482065e-38,6.1893707516721317e-31,2.0460784365875144e-52,3.1591894579063024e-58,2.3601324847873937e-55,2.4919972262849844e-48,2.7429922714468711e-42,1.0778868024213437e-35,2.7348464841891415e-56,7.1608941325935162e-63,3.7000899042219913e-62,1.6106895457222801e-89,1.4526667421023318e-87,1.1890498966861545e-79,2.1077202373045105e-135,3.4009084558327434e-130,5.2294816384948392e-64,1.5021200661553306e-47,2.674645391581704e-55,1.5001007420440709e-52,1.682710634503749e-65,2.8744285390428095e-58,5.6004169280472401e-59,4.622711898133271e-79,1.6201612194499836e-41,4.9885539637867176e-36,6.0446367611951577e-41,1.4505705118155813e-61,4.6557024105981192e-82,1.2224088686465014e-89,4.4929680557928541e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.445811747299307e-24,1.3896858475882256e-24,1.4458117481587741e-24,1.2680552636687624e-25,1.0730746270419751e-25,5.3653731352097905e-26
3.1e-14,0.0048058846700881844,8.5718474274570049e-29,2.823713926411642e-37,1.9158439148980693e-34,5.2136965847939674e-57,6.6960898494743834e-43,0.0,0.0,5.8889490210103611e-25,1.5815037357455504e-36,3.6021287420137517e-56,1.1035844837284443e-56,1.042110666385053e-76,4.2693931541455147e-43,3.3486044969153072e-56,3.3233220618620819e-33,3.1177793126882632e-43,1.4047547578798104e-50,6.2336754353108984e-59,1.4695793992789443e-31,9.0797616703287432e-71,2.713449015101398e-52,7.5542555661468399e-57,4.8365279551293302e-47,1.0169873524235732e-68,1.0788293273449451e-39,3.8007895512403486e-58,2.8443075744897133e-24,9.4447387929346106e-54,5.8651222718946877e-74,4.5884964977897037e-62,1.3336816719914993e-96,6.4927006820071201e-51,5.3000783739859625e-54,1.5996270036124837e-35,1.9144925418253753e-34,5.7965222288783922e-38,2.5798361012613469e-30,1.726886463481585e-51,2.6663443321664655e-57,2.2500704586830557e-54,2.1032388930322155e-47,2.3150706303342905e-41,4.4927976126756854e-35,2.3082400322778215e-55,1.2175135891289959e-61,6.2909953800702218e-61,2.8309370025763666e-88,5.5728589177187224e-86,2.2757131584385551e-78,2.9475519151719121e-133,5.1565943892370199e-128,8.9486384566445374e-63,1.2677840044533389e-46,4.5475051837242393e-54,1.2661368353124016e-51,2.8609198995013074e-64,4.8871874643679029e-57,9.5223882024535598e-58,1.5715974047935658e-77,1.3674129236508055e-40,2.0784123506335748e-35,2.5195088292415367e-40,2.466324320272378e-60,1.5890997890979777e-80,8.5182920743192805e-88,1.5327995344775813e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9591847894496865e-24,2.8443102844221871e-24,2.959184793032093e-24,2.5953654462366649e-25,2.1962929282803582e-25,1.0981464641401614e-25
6.300000000000001e-14,0.0048058846700881844,1.7339395555332979e-28,9.6743220515940504e-37,7.8078943271778319e-34,4.2672314059713625e-56,5.4808597396986558e-42,0.0,0.0,1.1912351739211316e-24,6.4447147892351198e-36,3.0215727767415475e-55,9.0322721340170305e-56,3.4234486766594063e-75,3.4942624625720156e-42,2.7577608359216519e-55,1.3542713190610458e-32,2.5517313421314014e-42,5.724440698524597e-50,5.101856277182671e-58,5.9886111419028946e-31,3.0406995540729576e-69,1.1056596824972372e-51,1.2393596270097855e-55,3.9584327444240544e-46,1.6685911150995148e-67,8.8296262473426794e-39,3.3198745613212789e-57,5.7535481095913621e-24,7.7299839570777018e-53,4.8002364829825003e-73,7.5279270119237003e-61,4.3812582661255856e-95,1.0652026073495668e-49,8.4761769076216419e-53,6.5185613802704436e-35,7.802386472262949e-34,2.3621082492141788e-37,1.051296329207238e-29,1.4133615640578712e-50,2.1822466750511512e-56,2.2629665157151665e-53,1.7213817069535265e-46,1.8947418857277859e-40,1.8308217738255947e-34,1.88922395529072e-54,1.9974633716669275e-60,1.0321086614193752e-59,4.9472263889742978e-87,2.2336708901823621e-84,4.5659030103498864e-77,3.9195943139316029e-131,7.3010562798405327e-126,1.478763033136632e-61,1.0376072344208107e-45,7.460691190651285e-53,1.0363522915311895e-50,4.6934276511343937e-63,8.0179960525759248e-56,1.5623873148138108e-56,5.1207469660369097e-76,1.1191519441186108e-39,8.4623159782913131e-35,1.026712937297549e-39,4.0463676237235865e-59,5.2186923287146166e-79,5.6584207630014961e-86,5.0288527775912053e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.9859308683990034e-24,5.7535591527039645e-24,5.9859308829975067e-24,5.249985811482797e-25,4.4427295308657863e-25,2.2213647654328574e-25
1.2700000000000001e-13,0.0048058846700881844,3.487448096521929e-28,3.5384154869985816e-36,3.1514226882876615e-33,3.452126634995524e-55,4.4319205014908208e-41,0.0,0.0,2.395916568043339e-24,2.6007347243401412e-35,2.5615722818277824e-54,7.3024490346743219e-55,1.1086007815088942e-73,2.8250291657547976e-41,2.257240747620699e-54,5.4650932345972251e-32,2.063016815050368e-41,2.3100615591935067e-49,4.1246296465460131e-57,2.4166715263112213e-30,9.9420462876355792e-68,4.461147063614959e-51,2.005764799022355e-54,3.2003028096422887e-45,2.7007849230552569e-66,7.1385522018088916e-38,3.0221258948318043e-56,1.1572012303846939e-23,6.249489487339524e-52,3.8808104326344732e-72,1.2183069301461183e-59,1.4187425676486756e-93,1.7239204519441433e-48,1.361454569017897e-51,2.6305297510489198e-34,3.1491992647827891e-33,9.5321259619612226e-37,4.2424487666513127e-29,1.1426702632237183e-49,1.7642808582343963e-55,2.510614064531084e-52,1.3916916099264857e-45,1.5318292094442661e-39,7.3880511846018829e-34,1.5274853227313501e-53,3.2326609932564142e-59,1.6703553005174209e-58,8.9864937165791799e-86,9.8423392391967734e-83,1.0082749638661696e-75,5.1083430321964385e-129,1.0369704958144677e-123,2.4036994704789657e-60,8.3887471654786188e-45,1.2074304147843285e-51,8.3801036630778868e-50,7.5950445243915181e-62,1.2976298930237499e-54,2.5289804564463009e-55,1.6316036785141659e-74,9.048080718632362e-39,3.4090320725468691e-34,4.1432460782771775e-39,6.5488828483498104e-58,1.6888625755356413e-77,3.6854295663951609e-84,1.6242388545758111e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2039423004891876e-23,1.1572056867722936e-23,1.2039423063803433e-23,1.0559226542416386e-24,8.9356027364712946e-25,4.4678013682355766e-25
2.55e-13,0.0048058846700881844,6.9944608401391851e-28,1.3483816163627163e-35,1.2664653456992066e-32,2.7770887094781165e-54,3.5647928787627507e-40,0.0,0.0,4.8052827581961631e-24,1.0447750909357031e-34,2.2506276435791248e-53,5.8717577327527674e-54,3.5676568930600205e-72,2.2715082377680864e-40,1.8594335580896381e-53,2.195449289036548e-31,1.6588035706428248e-40,9.279970250996909e-49,3.3163090345274372e-56,9.7082889433691748e-30,3.2156580427205465e-66,1.7915905781746579e-50,3.2267753594622757e-53,2.5732574067889005e-44,4.3460386391956521e-65,5.7398736446009627e-37,2.9738811893251933e-55,2.3208873188959457e-23,5.0249644641437486e-51,3.120315985499027e-71,1.9599398994985965e-58,4.5656044040610161e-92,2.7733880083339174e-47,2.1812262628502993e-50,1.0567400843330527e-33,1.2655715393819891e-32,3.829232814929689e-36,1.7042824389545473e-28,9.1878263170497161e-49,1.4185741469040092e-54,3.1137935156749335e-51,1.1190029068327251e-44,1.2316504896146417e-38,2.9678339464532407e-33,1.2283462198101618e-52,5.2005137578613463e-58,2.6871947514471279e-57,1.7611570330664831e-84,4.8466539623013018e-81,2.4885829439763558e-74,6.5994476631068961e-127,1.5433956759288678e-121,3.8774069561216091e-59,6.7449989737631162e-44,1.9424579003475671e-50,6.7404538887844374e-49,1.2216143932052429e-60,2.0875854334663404e-53,4.0698809210692745e-54,5.0873352470839945e-73,7.2752487355322459e-38,1.3647730454674666e-33,1.6644323986176694e-38,1.0536451728481364e-56,5.4280679966434387e-76,2.3793662612998799e-82,5.2000340437833906e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.414640719225457e-23,2.3209052211582545e-23,2.4146407428915687e-23,2.1177708006048958e-24,1.7921349149421025e-24,8.9606745747103694e-25
5.11e-13,0.0048058846700881844,1.4008468973823607e-27,5.2588253855167083e-35,5.0803248062274854e-32,2.2281286398253432e-53,2.8608898789123516e-39,0.0,0.0,9.6240287459781732e-24,4.1879786498081857e-34,2.1115365644864467e-52,4.7092573715794008e-53,1.1448003737667872e-70,1.8217223667372043e-39,1.5625444980728601e-52,8.8004164025779742e-31,1.330345554577746e-39,3.7198102367238351e-48,2.6593786758584983e-55,3.8915352857966555e-29,1.0349403955324823e-64,7.1771412657928411e-50,5.1765378793747822e-52,2.063728979344882e-43,6.9758010076110187e-64,4.6033270454650089e-36,3.2582298465327821e-54,4.648232494872772e-23,4.0299069160143242e-50,2.5022804507503475e-70,3.1441846774884733e-57,1.4649356345127498e-90,4.4492895448044035e-46,3.4800853983091016e-49,4.2359053818805073e-33,5.0767371294291e-32,1.5349135260062776e-35,6.8315560637849039e-28,7.3685424848687937e-48,1.1376424582105916e-53,4.2536147560874284e-50,8.9741379258696647e-44,9.877041400598315e-38,1.1895621793065547e-32,9.8535648555661878e-52,8.3427962333513039e-57,4.3109493633320009e-56,3.8385220973954908e-83,2.6328144837275646e-79,6.7723798584635214e-73,8.494929164277811e-125,2.5007112229654469e-119,6.2339079381523107e-58,5.4092439482510473e-43,3.1161893219944262e-49,5.4094212463965539e-48,1.9590026724148432e-59,3.3490706018554423e-52,6.5334799718943468e-53,1.5367119000822487e-71,5.8346622280677873e-37,5.4332629242722815e-33,6.6718330267690283e-38,1.6906018040914773e-55,1.7373216058623315e-74,1.5300968224150651e-80,1.6515267023016388e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.8360375224487755e-23,4.6483042554588433e-23,4.8360376173141777e-23,4.2414670940376471e-24,3.5892841982275945e-24,1.7946420991137686e-24
