Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817)
0.0,0.0058460187934377085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0058460187934377085,4.3595433293634105e-24,5.3409817184184948e-32,4.4067334758403689e-31,1.6490051395605295e-32,2.202872998860747e-39,0.0,0.0,1.0159353566678964e-22,1.5719485828647177e-34,1.119497151464827e-48,4.1045867339067566e-49,1.6217251833992789e-61,2.1772845942503918e-31,9.1630044482925661e-47,1.1843547561623419e-20,4.1412885700803704e-31,9.7498366767753013e-42,1.0669543683802433e-42,2.7679139968708431e-28,4.1168165375668812e-45,1.2580559133698351e-43,7.262755093370445e-44,4.4760097039885169e-34,9.3188327580829915e-53,1.135133227436134e-28,1.8384677672472209e-51,1.5175635067173474e-20,4.3306325418999868e-48,3.7508845712381793e-62,1.393529732791117e-48,2.1812819968508108e-74,4.8725374617768352e-40,4.2165149097640757e-33,3.5118621815071334e-32,2.2055364871441401e-31,8.5375331748701373e-34,3.8572661694514974e-28,3.3031578734724949e-46,9.2724321074964448e-50,3.1639534202864785e-44,5.4298534535066955e-43,1.4148761009877889e-39,1.2378569942407351e-32,1.1316852904675834e-50,4.3379073062292475e-57,1.575984742991139e-56,3.9925782903491635e-71,9.7472142078013259e-72,1.7074617643969615e-65,2.4105644805177985e-102,1.7245245714783451e-94,-1.2637372931120048e-56,1.0564350628941713e-42,1.8258556615324976e-51,2.5776015447026905e-47,5.6484772999861382e-60,1.160902118787465e-43,5.6398968821599637e-55,6.593190074170232e-72,1.0129786986936163e-38,2.6016079464046856e-32,1.6119723585659027e-36,5.3831498005496937e-47,1.5482234972640357e-64,1.2232526945416152e-65,6.5695713070584347e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.8477259245090403e-20,1.5175634745991662e-20,1.8477259809289089e-20,4.5044629270991957e-23,3.7078518539240338e-23,1.8539259300593528e-23,7.4140576149432739e-28,6.2042833739213966e-28,6.2664973324955542e-30,5.237534926929219e-30,1.7940983355432374e-28,2.590896751042958e-30,1.6512794209157684e-32,6.3744788727993414e-30,3.8384847961100166e-30,4.9554021026771189e-30,7.0269618785754413e-30,6.531059192022283e-30,1.1843546466111527e-20,5.2905978431631576e-24,5.7795530068471928e-28,5.0882897003357007e-28,7.5572166165379351e-35,2.3982716988234587e-39,2.3028675853989976e-31,7.3473106054649043e-37,6.7903848607585996e-30,8.0487008913121683e-31,1.0562512447397894e-37,3.1089109903910429e-40,4.0373314624748808e-41,4.2679024209419726e-41,6.467017470379992e-47,2.5281101531782491e-45,7.6593083735069272e-55,1.3425109624776805e-50,2.3227639823941679e-56,5.5747897936342694e-55,2.1900897948433025e-60,1.9988708155768298e-59,4.2046546344340454e-58,7.0725750595846194e-40,3.113904884804713e-41,8.4621104719704896e-40,1.599974825550061e-68,1.8536127295526248e-70,7.1345087443124448e-38,6.2872659782269099e-73,5.1034424296773066e-33,1.1751428764713847e-32,1.7179140867228037e-39,2.3334308595335071e-49
3.0000000000000002e-15,0.0058460187934377085,1.4324245636926026e-23,1.8762246257219342e-31,2.8958570279977858e-30,1.0836329961328651e-31,2.0769963419003141e-38,0.0,0.0,3.338074953707565e-22,1.0329950035477543e-33,1.0555354403048572e-47,3.8701200685075235e-48,1.9923931666280543e-60,1.4307874641229539e-30,8.639405884853088e-46,3.8914513277063218e-20,2.7214181989480253e-30,6.4072281599550035e-41,7.0114125367462858e-42,1.8189148798183702e-27,3.8815698538631036e-44,8.2672960060217258e-43,6.8477400566053054e-43,2.9413777787071473e-33,8.7866285828902402e-52,7.4594469031206105e-28,1.7334734276391374e-50,4.9862799729571456e-20,4.0831676808417689e-47,3.536622047328959e-61,1.3138995798099865e-47,2.6798633768788313e-73,4.5941067415803071e-39,2.7708102902214629e-32,2.307795123592014e-31,1.449355693190586e-30,5.6103773123251375e-33,2.5347748828890121e-27,3.1144060111380991e-45,8.7425781741101985e-49,2.9831555004970739e-43,5.1195750638319809e-42,1.3340243542660667e-38,8.1344740878743889e-32,1.0670200873270355e-49,5.3294285788820959e-56,1.9362097949593594e-55,6.0458948156338398e-70,1.1997889347603464e-70,2.0977383796201511e-64,3.6509072050901236e-101,3.1041401028202448e-93,7.4741044259373284e-55,9.9606711788333595e-42,2.2431937174743869e-50,2.4303134966838335e-46,6.9395168417007024e-59,1.09455624633674e-42,6.9290237482060713e-54,9.9802101887150175e-71,9.5509419409361169e-38,1.7095964809105615e-31,1.0592961293062089e-35,5.0754980243295089e-46,1.9020875969669271e-63,1.852355724396031e-64,9.9481582105339456e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.0710992148752572e-20,4.9862797618948285e-20,6.0710995856343853e-20,1.4800376124549348e-22,1.2182940046176238e-22,6.0914700434420952e-23,4.8720948656267389e-27,4.0771003717079372e-27,4.1179833084345134e-29,3.4418081678271042e-29,1.1789789157357018e-27,1.7025890298494642e-29,1.0851285399047824e-31,4.1889432431298428e-29,2.5224328607574826e-29,3.2564070842257399e-29,4.6177183907099574e-29,4.2918397156940614e-29,3.8914506077985451e-20,1.7383392303230069e-23,3.7979915835527186e-27,3.3437330514651891e-27,7.1253746988409336e-34,2.2612304194289851e-38,1.513312943200297e-30,6.9274648163998861e-36,4.4622510845616205e-29,5.2891494835483382e-30,9.958943804026758e-37,2.9312588603853004e-39,3.8066483055349173e-40,4.024059553182779e-40,7.9452004894860964e-46,3.1059640850522767e-44,1.1598238239886872e-53,1.6493664079881935e-49,3.517268515055719e-55,8.4416484440397025e-54,3.9417229672759101e-59,3.5979037425876412e-58,5.1656814539760531e-57,6.6684272407649285e-39,2.935967406855772e-40,7.9785604210389046e-39,3.3367689481448115e-67,3.8657409980819397e-69,4.6883882606716185e-37,1.3112194665738519e-71,3.3536947778702136e-32,7.722371680032672e-32,1.6197480871044935e-38,2.8667871904392998e-48
7e-15,0.0058460187934377085,3.1762662602960026e-23,4.9410652728484539e-31,1.5738480745279232e-29,5.8893467988266258e-31,3.354690435154911e-37,0.0,0.0,7.4018289218450487e-22,5.6141110786889986e-33,1.70493279268718e-46,6.2508182358976725e-47,1.0077070466701706e-58,7.7760345639049088e-30,1.3953974532653089e-44,8.6288702454552336e-20,1.4790316148410835e-29,3.4821498691409411e-40,3.8105436287822786e-41,9.8854058093113169e-27,6.2693230661533883e-43,4.4930414147253204e-42,1.1060130917395981e-41,1.5985747850554643e-32,1.4191845533400317e-50,4.0540471591163479e-27,2.800724755889896e-49,1.1056533077412838e-19,6.5949323153581803e-46,5.7121628362572832e-60,2.1221486361233876e-46,1.3555130427826707e-71,7.4201783325424338e-38,1.5057253531314527e-31,1.2542363944280769e-30,7.8770443043813384e-30,3.049112335897909e-32,1.3775949443819054e-26,5.0302378268081736e-44,1.4120578463512106e-47,4.8182395177414373e-42,8.2688738839963621e-41,2.1546265288638961e-37,4.4208577331303467e-31,1.723436533548735e-48,2.6956969211844656e-54,9.7936173402549316e-54,9.9847980147389259e-68,6.206783839924871e-69,1.0610631589393586e-62,6.0304777483462552e-99,1.7282074161025576e-90,1.4420674282966368e-53,1.6087959520049987e-40,1.1346363692993527e-48,3.9253758738456427e-45,3.5098553691932793e-57,1.7677467475569446e-41,3.5048429081483914e-52,1.639015771301197e-68,1.542621722505131e-36,9.2901679123546687e-31,5.7570444626059921e-35,8.1970585929691895e-45,9.6200738542130203e-62,3.0592234999754182e-62,1.6428249406467567e-63,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3462000989394535e-19,1.1056531930335405e-19,1.3462003004389389e-19,3.2818212035124213e-22,2.7014333997321276e-22,1.3507167109280141e-22,2.6478771546290357e-26,2.2158149555751788e-26,2.2380320976961009e-28,1.8705461545531531e-28,6.4074944439896683e-27,9.2531919236318828e-29,5.8975106858175543e-31,2.2765995315841075e-28,1.3708874057309874e-28,1.7697864170194135e-28,2.5096316282855084e-28,2.3325244777690284e-28,8.6288663329142515e-20,3.8545779007901942e-23,2.0641244729836799e-26,1.817245586398054e-26,1.1508545407115191e-32,3.6522714532286668e-37,8.2245253978996822e-30,1.1188913159384144e-34,2.4251300086309371e-28,2.8745490214584862e-29,1.6085254939153977e-35,4.734426103059911e-38,6.148632053821604e-39,6.5000176696490321e-39,4.0188394029198779e-44,1.5710410818869872e-42,1.9151072449316464e-51,8.3424702528020226e-48,5.8073272555233208e-53,1.3939102234171115e-51,2.1931832885951236e-56,2.0027677420406305e-55,2.6126485276822509e-55,1.0770510398391674e-37,4.742031352495983e-39,1.2886570900742098e-37,6.4122365206090141e-64,7.4290301510333499e-66,2.5480257818427119e-36,2.5198267401113129e-68,1.8226744870968505e-31,4.1969560053054231e-31,2.6161462699660592e-37,1.4500652483257417e-46
1.5e-14,0.0058460187934377085,6.6640116731062183e-23,1.3434101698453082e-30,6.9627974319444759e-29,2.6054742426442794e-30,3.1199639159171558e-36,0.0,0.0,1.5529368781848784e-21,2.4836884724132908e-32,1.5857435084303965e-45,5.8134170666732004e-46,1.9378760263806826e-57,3.4401292535747133e-29,1.2977494626295668e-43,1.8103707808842791e-19,6.5432357536597322e-29,1.5405145018510443e-39,1.6857796047742705e-40,4.3733026876742644e-26,5.830587543216096e-42,1.9876988298161353e-41,1.0286119322688597e-40,7.0720941533019249e-32,1.3199152632948633e-49,1.79351041113202e-26,2.6060435183618149e-48,2.3197036938362637e-19,6.1334076480928813e-45,5.3124444989141323e-59,1.9736405843467738e-45,2.6070132682684289e-70,6.900904873245972e-37,6.6602283213916197e-31,5.5487411785144028e-30,3.4848860897068122e-29,1.3489230580271662e-31,6.0944792941425962e-26,4.6782159040345001e-43,1.3132388421276092e-46,4.481040588137754e-41,7.6901851787099259e-40,2.0038067224294024e-36,1.9557491757116911e-30,1.60288291784103e-47,5.1845308641627515e-53,1.8835709580925726e-52,3.9172642222021343e-66,1.2335372510891489e-67,2.0406986686766347e-61,2.3665501410932695e-97,1.3708763613367841e-88,2.5859519287717251e-52,1.4962055124485519e-39,2.1821990301982157e-47,3.6507481119589204e-44,6.7496618097751262e-56,1.6438517401464087e-40,6.7408720897093937e-51,6.378369993941915e-67,1.4346669805202309e-35,4.1091494083478324e-30,2.5469166771788333e-34,7.6224850245918082e-44,1.8499205822686641e-60,1.2002292152115031e-60,6.444493129065332e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.8243799642210949e-19,2.3197031863694957e-19,2.8243808556545253e-19,6.8853843643781038e-22,5.6677087626320225e-22,2.8338544302539861e-22,1.1714204933005168e-25,9.802761954746159e-26,9.9010370308367756e-28,8.2752832332757252e-28,2.8346757894828495e-26,4.0936052536377201e-28,2.6091123523446443e-30,1.0071675908293004e-27,6.0648057463097424e-28,7.8295348017117803e-28,1.1102625522207757e-27,1.0319109551535073e-27,1.8103690499770944e-19,8.0870540535118157e-23,9.1316764706428431e-26,8.0394897912343329e-26,1.0703142233193414e-31,3.39674184432923e-36,3.6385289576907057e-29,1.0405910638054062e-33,1.0728727754410359e-27,1.2717087611272142e-28,1.4959664414953464e-34,4.4031035170798952e-37,5.7188075934859865e-38,6.0459435439696432e-38,7.7294236187123086e-43,3.0215305292816416e-41,7.5114113159773305e-50,1.6044040305931073e-46,2.2775124140474198e-51,5.4675349720072817e-50,1.738948437754056e-54,1.5883475133322222e-53,5.0241646612392552e-54,1.0016762206234157e-36,4.4101768838545063e-38,1.1984733667324339e-36,1.0227115957454684e-61,1.1849450488748525e-63,1.1272382895676777e-35,4.0191206473942549e-66,8.0636168874700832e-31,1.8567442683051342e-30,2.4330763398441186e-36,2.7888711785708631e-45
3.1e-14,0.0058460187934377085,1.3639750576909423e-22,3.9873811742727077e-30,2.9022910215418012e-28,1.0860290714692201e-29,2.6333089234266983e-35,0.0,0.0,3.1784576196754227e-21,1.0352491412596071e-31,1.3385718932322417e-44,4.9066062541730823e-45,3.2941249467196574e-56,1.4339150092671319e-28,1.0953045022617561e-42,3.7053381847176847e-19,2.727334161805576e-28,6.4212600872465393e-39,7.0265821469792064e-40,1.8228677938099598e-25,4.9210055952352008e-41,8.2849039575022772e-41,8.6814516316611289e-40,2.9477710467397585e-31,1.1140904288913879e-48,7.4756623202447098e-26,2.2016799579360158e-47,4.7478035268419294e-19,5.1765809560680052e-44,4.483762414339534e-58,1.6657536751575836e-44,4.4325329970409108e-69,5.8243522585716134e-36,2.7752024694241764e-30,2.3128111349034024e-29,1.4526275388107751e-28,5.6225109370288706e-31,2.5402841663247874e-25,3.9484072534870386e-42,1.108369063258616e-45,3.7819701976791139e-40,6.4904662913084403e-39,1.6911493365553178e-35,8.151590166737035e-30,1.3529211318563326e-46,8.8148688633271223e-52,3.2025009897045108e-51,1.3372650964866315e-64,2.2311073812919418e-66,3.4696349005206913e-60,8.0836751116784257e-96,9.378808009847976e-87,4.424877705715923e-51,1.2627869027715289e-38,3.7102167369028883e-46,3.0813496290204923e-43,1.1473561420150237e-54,1.3871001421128315e-39,1.1461475051176787e-49,2.1430824061825341e-65,1.210856344849294e-34,1.7120963686203153e-29,1.0615992537073636e-33,6.4318184644238006e-43,3.1443691568747222e-59,4.0974801074388088e-59,2.1995364721694473e-60,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.7807377362972785e-19,4.7478014116347081e-19,5.7807414519441619e-19,1.4092494601207175e-21,1.1600245779188555e-21,5.8001230935752984e-22,4.8826810406443471e-25,4.0859585800239723e-25,4.1269102893295596e-27,3.4492711547699566e-27,1.1815422802323437e-25,1.706280150363469e-27,1.0875670125989888e-29,4.1980490196799804e-27,2.52791620788502e-27,3.2634857746694762e-27,4.6277794406764079e-27,4.3012013223395511e-27,3.7053309700037564e-19,1.65520016061075e-22,3.8062329689125903e-25,3.350995093915003e-25,9.0334000942247535e-31,2.8669455529283495e-35,1.5166011553270708e-28,8.7825908120201983e-33,4.4718813555754791e-27,5.3007702954928183e-28,1.2626057855126382e-33,3.7162096372171852e-36,4.8274343752747419e-37,5.104101513718867e-37,1.3142241056396842e-41,5.1373060688200356e-40,2.5628718084721804e-48,2.7276079601032963e-45,7.7692445644170215e-50,1.865771047999882e-48,1.188792324397917e-52,1.0862383726328466e-51,8.5400519100009939e-53,8.4541070335718644e-36,3.7221801123394515e-37,1.0115064298228717e-35,1.3997437921101728e-59,1.6219534164877411e-61,4.6984571226964895e-35,5.50122973046044e-64,3.3611410140847418e-30,7.739321502324325e-30,2.0535311150776692e-35,4.7417625661908364e-44
6.300000000000001e-14,0.0058460187934377085,2.7592220695399778e-22,1.3056951394150467e-29,1.1827611147041119e-27,4.4258074143716794e-29,2.1553246154747101e-34,0.0,0.0,6.4295501806020201e-21,4.2187343041505811e-31,1.0958861847098637e-43,4.0159461222985462e-44,5.4020735597764739e-55,5.8433578062787182e-28,8.9645679397624366e-42,7.4952725570080341e-19,1.1114033882231748e-27,2.6168059954280669e-38,2.8633379396607148e-39,7.4282795415261949e-25,4.0275729303738688e-40,3.3760069518008598e-40,7.1052672130759691e-39,1.2012322270278534e-30,9.119604399683355e-48,3.0463725915828345e-25,1.8055194528288671e-46,9.603999436118873e-19,4.2367403650210488e-43,3.669832045987869e-57,1.3633352936000886e-43,7.2721249408289888e-68,4.7669137683057848e-35,1.130183017711276e-29,9.4248266279903248e-29,5.9200754843770701e-28,2.2911756548320618e-30,1.0351790843409966e-24,3.2315566942351595e-41,9.0713563768223617e-45,3.0953020918773743e-39,5.3120308831797947e-38,1.3840149464804126e-34,3.3215639807805853e-29,1.1074398791791522e-45,1.4461738990678559e-50,5.2540684197346025e-50,4.3930442317835036e-63,4.0987755763672255e-65,5.6922695134972954e-59,2.6587293613306399e-94,6.1657666634886738e-85,7.3115283690877636e-50,1.0335088447137685e-37,6.0869678449956846e-45,2.5221188149314533e-42,1.8815809344380918e-53,1.1347632252375246e-38,1.8805338365869823e-48,6.8250032997042826e-64,9.9101935674797404e-34,6.9714643324659509e-29,4.32607589726135e-33,5.2615695292735542e-42,5.1556899777142047e-58,1.346172044323322e-57,7.2226177694871719e-59,0.88168480800000004,0.0,0.0094599999999999979,0.10885,1.1693445446515254e-18,9.6039908165539118e-19,1.1693460587958294e-18,2.8506650736015064e-21,2.3465264975914231e-21,1.1732633319182671e-21,1.9897166220210671e-24,1.6650480246180175e-24,1.6817270979919921e-26,1.405588131646519e-26,4.8148505037586314e-25,6.9531388096023588e-27,4.4322492736168086e-29,1.710727464056254e-26,1.0301394732037857e-26,1.3298879478394732e-26,1.8858552723534841e-26,1.7527769288654182e-26,7.4952431567200759e-19,3.3481877699936443e-22,1.5510538301954664e-24,1.3655455753999384e-24,7.3932880973353035e-30,2.3466031400643325e-34,6.1802248199106781e-28,7.1881020717264557e-32,1.8222845468905695e-26,2.1601473738764772e-27,1.0333943361952917e-32,3.0415103871600453e-35,3.952248526410024e-36,4.179607763971372e-36,2.156283674446026e-40,8.4283822113375402e-39,8.4104022715148236e-47,4.4741488019149994e-44,2.5485584951171762e-48,6.1245382390177865e-47,7.8038809150440351e-51,7.1355531047898739e-50,1.4003807818735077e-51,6.9191856228297429e-35,3.0463978097799102e-36,8.2785762484310338e-35,1.8382462122901258e-57,2.1305074921338352e-59,1.9145917491158948e-34,7.2257284123964568e-62,1.3697526173353753e-29,3.1538877932170289e-29,1.6807334685080803e-34,7.7795480396165824e-43
1.2700000000000001e-13,0.0058460187934377085,5.5501130161139291e-22,4.6323991343100192e-29,4.7734728445282066e-27,1.7861585169634892e-28,1.7427014810748053e-33,0.0,0.0,1.2931939614127793e-20,1.702480525257638e-30,8.8654627496397342e-43,3.247058443017484e-43,8.7352069953068944e-54,2.3581204452005057e-27,7.2478130950925828e-41,1.5075139560082654e-18,4.4850143616019174e-27,1.056086741812495e-37,1.1554601407723876e-38,2.9976420090437104e-24,3.2562008715004899e-39,1.3622616226797731e-39,5.7444071470401243e-38,4.8475111997705158e-30,7.3752343642376228e-47,1.2293487383779476e-24,1.4654832829391026e-45,1.9316376227757413e-18,3.4252967665791677e-42,2.9671689353112522e-56,1.1022373839386345e-42,1.1769319856509039e-66,3.8539429948582699e-34,4.5549468915611151e-29,3.8033401194482716e-28,2.3894521428664361e-27,9.245703070873662e-30,4.1774114894120008e-24,2.612643387160526e-40,7.333926683413876e-44,2.5024279946801497e-38,4.2945597290441841e-37,1.1187862589977091e-33,1.3401970064180929e-28,8.955794121819649e-45,2.3404597508644731e-49,8.5031522871416795e-49,1.422568775513848e-61,8.0519733569301532e-64,9.212131632653281e-58,8.6300824964419655e-93,3.9941384813853362e-83,1.1882846635309593e-48,8.3554746643244269e-37,9.8508972430762304e-44,2.0394033816878149e-41,3.0425926068861153e-52,9.1662020687235658e-38,3.0439224078002002e-47,2.0826843272705455e-62,8.0121640753415164e-33,2.8089383039435368e-28,1.7457682361996912e-32,4.2497923149065432e-41,8.3342255317013411e-57,4.3599271206042668e-56,2.3368626624100105e-57,0.88168480800000004,0.0,0.0094599999999999945,0.10885,2.3518829531325807e-18,1.9316341444071992e-18,2.3518890633734033e-18,5.7334705656301032e-21,4.7195084028501009e-21,2.3597545368554638e-21,8.0293865865041654e-24,6.7192030832851722e-24,6.7864383404576856e-26,5.672114233312783e-26,1.943011096874305e-24,2.8058691836877042e-26,1.7888989509179551e-28,6.903556212834008e-26,4.1570775988353882e-26,5.3666972500780073e-26,7.6103593842680336e-26,7.0733604712700408e-26,1.5075020917138255e-18,6.7341553842366868e-22,6.2591487733021732e-24,5.5105685479016828e-24,5.9772176082967302e-29,1.8974427379841927e-33,2.4939942663527951e-27,5.811470963793479e-31,7.3534888248088687e-26,8.7176122950852574e-27,8.3550939436400463e-32,2.4589866576909595e-34,3.1973367627185605e-35,3.3826422323480005e-35,3.4901984793388723e-39,1.3640588462607559e-37,2.7177501019826799e-45,7.2383405802629727e-43,8.2288812466588668e-47,1.9802354649204501e-45,5.0407159638831961e-49,4.6152123015226629e-48,2.2640673679669407e-50,5.5939441951875804e-34,2.4629394839674439e-35,6.6929615863284871e-34,2.3748799470006806e-55,2.7535952505124233e-57,7.7257993925574785e-34,9.3379825937884316e-60,5.5281307339371032e-29,1.2727945742604877e-28,1.3588847556488601e-33,1.2590843089068266e-41
2.55e-13,0.0058460187934377085,1.1133482588943835e-21,1.7338076251420974e-28,1.9180102601447739e-26,7.1765711904653468e-28,1.4015216456356705e-32,0.0,0.0,2.5937535726993978e-20,6.8394968224078611e-30,7.1372244008474966e-42,2.6112663746057583e-42,1.4028905259819806e-52,9.473597965112685e-27,5.8279887670657394e-40,3.0234866600205642e-18,1.8017317307730356e-26,4.2432419690513172e-37,4.6415361741546737e-38,1.20421731507553e-23,2.6182028552160047e-38,5.4716334952511311e-39,4.6188234866475003e-37,1.9473524407439267e-29,5.9337868177976574e-46,4.9385710557587811e-24,1.1876111228144043e-44,3.8741069703550892e-18,2.7541495763124507e-41,2.3861132938458233e-55,8.862915469812281e-42,1.893454368799149e-65,3.0988305022148928e-33,1.8251421386494951e-28,1.5278854660436082e-27,9.6024446414804604e-27,3.7140273997721086e-29,1.6781579685018435e-23,2.1007457745581437e-39,5.8968731973087246e-43,2.0120336681688675e-37,3.4529581607539961e-36,8.9932445235322409e-33,5.3822365346003197e-28,7.2049077482289385e-44,3.7651818363771811e-48,1.3679552331799755e-47,4.5779809005859869e-60,1.7517347045699101e-62,1.4819478008116695e-56,2.7904651174508568e-91,2.5709562300356198e-81,1.9162125395028918e-47,6.718023854542547e-36,1.5847062189948468e-42,1.6403412417260664e-40,4.8866327543588103e-51,7.3572615130372628e-37,4.8984784870497342e-46,6.0086942783197897e-61,6.442312425556285e-32,1.1249249826645468e-27,7.0131566213134545e-32,3.4106012005054553e-40,1.3376652701487059e-55,1.4035281350730938e-54,7.5075151454227374e-56,0.88168480800000004,0.0,0.0094599999999999893,0.10885,4.7169472359342476e-18,3.8740929970823398e-18,4.7169717820339557e-18,1.1498978614812108e-20,9.4653844807694541e-21,4.7326935878312371e-21,3.2255716587576207e-23,2.6992419836153591e-23,2.7261938042141527e-25,2.2785616888183208e-25,7.8055277827023741e-24,1.1271520539341959e-25,7.1887114303836262e-28,2.7733136363621095e-25,1.6699919676365903e-25,2.1559229425513454e-25,3.0573194639645968e-25,2.8416207781095785e-25,3.0234389988585231e-18,1.3506060194809615e-21,2.5143986182732358e-23,2.2137005603058544e-23,4.8059416910413083e-28,1.5261008776568321e-32,1.0018895587128073e-26,4.6728979680558093e-30,2.9538604765215032e-25,3.5024175659142616e-26,6.7185941128314211e-31,1.9771812376243982e-33,2.5741427208876092e-34,2.725537704300436e-34,5.6164506895901384e-38,2.1944934233806496e-36,8.7093559020232802e-44,1.163645549240867e-41,2.6328751679967379e-45,6.3532009018760444e-44,3.2260618514668822e-47,2.9615748078399816e-46,3.6349729791524179e-49,4.4978087034315884e-33,1.9803618366122171e-34,5.3814616075998652e-33,3.0396707768662003e-53,3.5273039710182854e-55,3.1032729513419546e-33,1.1959275052247902e-57,2.2212254825083934e-28,5.113573507429361e-28,1.0927145589155735e-32,2.025718544783038e-40
