Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213),S(3726),S(3817),S(230),S(4557),S(3474),O2(4921),S(4626),C3H5(74),S(5703),S(2098),S(1922),S(252),S(1733),C3H6O(70),S(9646),S(3263),S(16791),S(16795),S(16798),S(17459),C4H7(362),S(17491),S(5767),S(18324),S(5722),C4H6(2459),C4H6(2460),C4H6(2458),S(18175),S(24127),S(26146),S(26431),S(26391),S(3596),S(27510),S(16766),S(28395),S(28404),S(31086),S(2056),S(31090),S(3749),S(4222),S(5562)
0.0,0.009258329269623519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.095334523281744e-21,0.009258329269623519,2.2500309039828751e-25,9.178661253243345e-33,9.1797411412442445e-38,1.2952111487935535e-38,3.6169723636006843e-51,0.0,0.0,1.3760214045609495e-25,6.2539906776870855e-42,6.4397566259901609e-58,1.1383495255460197e-57,1.5774673190285906e-74,4.3717222091979163e-38,4.6415397384059944e-57,1.9334865577364519e-22,1.3698802534947849e-37,4.5890171658439155e-45,1.2100776487425962e-46,3.3647444351021817e-34,5.0713212295409608e-56,1.0468286893425269e-47,2.7858066915819717e-54,4.6627755387037086e-40,3.9754766465712334e-61,7.1724094144856601e-36,2.5507758384977823e-60,1.9185956497106609e-22,6.2557226098410414e-57,4.4561462523495384e-68,4.7604052368147887e-57,7.2301589032757668e-85,9.5457828369377889e-52,2.5751534279730082e-39,1.0110459002214969e-38,4.5610735231423818e-38,8.3517300128272804e-40,1.7590780324647653e-35,3.5806735453370245e-56,2.2653174924315562e-57,2.8693618298743514e-54,5.6208604841638038e-53,1.1371384580727562e-51,7.8143907239708304e-40,8.815545928163353e-61,4.383301061643065e-71,1.2532849604564835e-70,6.6806314849189191e-85,1.4950652188691276e-83,2.6140337321504532e-78,1.1624333760101402e-113,8.6998450411017493e-110,4.0487190202022916e-69,2.6390670150121374e-53,3.2647255951430871e-67,1.2264755141256287e-57,6.4878166124161018e-75,3.5291631787124701e-54,8.0890996915331432e-71,1.0964084071253e-89,1.2708809766337014e-50,4.2385102729441458e-39,1.0084280086787673e-42,1.1824146168250236e-57,6.6397060984215079e-78,9.390654692834248e-75,7.7667486551787998e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999936,2.5571918915706924e-22,1.9185956497089242e-22,2.5571918915708951e-22,1.2381937198138811e-25,9.9706842717604419e-26,4.98534213588234e-26,4.1606097258472261e-35,3.2176530623146409e-35,6.4021898637963942e-38,5.4118401998248388e-38,9.3598785700042213e-36,2.6813801166128426e-38,3.5214914106424038e-40,7.5164434945078641e-36,8.2178411953130876e-36,7.3949455031326516e-36,5.7543774017590602e-36,6.7228628352275238e-37,1.9334865577316731e-22,8.9225594764832891e-26,2.6564695645279896e-34,3.4434922327888044e-35,1.2583391948660943e-46,1.9427134773892288e-52,1.6370647839627661e-38,2.6230340508848652e-49,6.7513644112281697e-37,7.1861915603827749e-38,3.4330868737008124e-50,1.3941868835812885e-52,5.6310674188641965e-53,4.7204401238257219e-53,2.7197001392773111e-64,4.8326190784650472e-62,4.2170615744738008e-75,4.1758042656803022e-66,3.3006714924975321e-77,2.2117477634592116e-73,2.6359646771508404e-83,5.7879741272298892e-83,7.1642036902807401e-73,1.5289229410643132e-52,4.6371988370881939e-53,1.8088072293115338e-52,8.19479073097613e-97,1.7327190711098638e-98,1.4513911031751374e-43,1.1780117889497694e-100,1.4237101312128908e-40,4.5500467249498237e-40,2.6435052068303379e-52,7.5175965102049063e-67,7.1045517381259564e-44,2.9642805530898503e-114,1.3114962750296429e-114,6.4031242365803884e-16,1.4983931023507406e-117,3.4451247110225775e-53,3.2807616688283661e-66,2.4484932914029919e-42,4.7440266698754727e-66,6.6332311683623775e-44,8.5622945206655881e-54,2.1653474775958294e-53,1.1134967679044226e-68,5.0168217700829573e-54,2.8413725676102767e-66,1.5903797036205807e-68,1.6735632481029419e-68,3.4682039921239689e-71,1.7651672298945176e-57,4.3057396165065778e-84,1.4243924512003144e-93,7.2345085914080366e-70,1.7878719209795025e-70,2.3743156364843898e-72,1.6655192224988073e-86,8.870283740540576e-81,4.921595930850331e-73,3.316703100897447e-95,1.0244081462621009e-107,1.2714102097535636e-109,1.4094877526339311e-109,2.6632312957811604e-53,7.5962767146554209e-68,4.6705156745581629e-66,2.1559267396794468e-78,9.2109812017041942e-86,3.1354865315107085e-99,2.3967732139198986e-98,5.2237647194806039e-101,2.4448493061732295e-58,8.6085831888587478e-80,1.6101409025203419e-119
2.2666936665188886e-20,0.009258329269623519,6.3000865319892796e-25,2.5700263719793581e-32,5.5445636494207971e-37,7.8230753395805619e-38,4.2940695902917544e-50,0.0,0.0,3.8528599329543506e-25,3.7774103694732824e-41,7.6452791420466421e-57,1.3514485567408752e-56,3.5287312936081083e-73,2.6405202143889488e-37,5.5104359775033386e-56,5.4137623616648113e-22,8.2740767311120023e-37,2.7717663681929743e-44,7.3088689983862091e-46,2.032305638800326e-33,6.0206725637101448e-55,6.3228452840763228e-47,3.3073097042415776e-53,2.8163164253765535e-39,4.719685875062881e-60,4.3321352863500896e-35,3.0282810757264862e-59,5.3720678191914924e-22,7.426793882404639e-56,5.2903368308216457e-67,5.6515530972360313e-56,1.6173576261035624e-83,1.133275338517661e-50,1.5553926702383679e-38,6.1067172373393995e-38,2.7548884080380866e-37,5.0444449276868664e-39,1.0624831316088095e-34,4.250975633605854e-55,2.6893849270102994e-56,3.4065063643914884e-53,6.6730855667246854e-52,1.3500107773318984e-50,4.7198919969268505e-39,1.0465816172394349e-59,9.8052691414242573e-70,2.8035483251451553e-69,2.7082896707667528e-83,3.3444011229062428e-82,5.8474888974107133e-77,4.7968138765258502e-112,6.4353595188941841e-108,9.2100172217504055e-68,3.1331003601866421e-52,7.303060567218354e-66,1.4560717303931989e-56,1.4512986240908566e-73,4.1898225253144386e-53,1.8095193660555449e-69,4.524359839311672e-88,1.5087898955389763e-49,2.5600602042688727e-38,6.0909051725167141e-42,1.4037626329161759e-56,1.4852756951590519e-76,2.9525720857635519e-73,2.4419900445301166e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999821,7.1601372963966376e-22,5.3720678191809995e-22,7.1601372963978611e-22,3.4669424154776764e-25,2.7917915960901512e-25,1.3958957980464116e-25,2.5130082744063859e-34,1.9434624496321117e-34,3.8669226776673555e-37,3.268751480645584e-37,5.6533666562838283e-35,1.6195535904095601e-37,2.1269808121918312e-39,4.5399318706829388e-35,4.9635760819632344e-35,4.4665470838901068e-35,3.4756439507220704e-35,4.0606091525359564e-36,5.4137623616359477e-22,2.4983166534126797e-25,1.6045076169699643e-33,2.0798693085951857e-34,1.4938983568024486e-45,2.306389440478723e-51,9.8878712951015858e-38,3.1140660252151573e-48,4.0778241043349467e-36,4.3404597026215264e-37,4.075760736527556e-49,1.655178668227108e-51,6.6852032407550483e-52,5.6041065162836748e-52,6.0838604238651584e-63,1.081037557377778e-60,1.7401822658785445e-73,9.3411071094084548e-65,1.3620313327483508e-75,4.9754151131736621e-72,1.0883162881257501e-81,2.4015300417603517e-81,1.6026037151761017e-71,1.8151373157393942e-51,5.5052824621671024e-52,2.1474159427699204e-51,6.1720688231599072e-95,1.3050316610469972e-96,8.7664022626009169e-43,8.8724289315769518e-99,8.5992091929802162e-40,2.7482282219534063e-39,3.138369381593284e-51,1.6816562691386225e-65,4.2911492481395166e-43,4.0483346227285964e-112,1.7911178393652374e-112,1.7928747859670261e-15,2.0463638910017851e-115,4.0900520569232236e-52,7.3405656915479766e-65,1.478889948321588e-41,1.06121978972388e-64,4.0064716239467647e-43,1.0165156050881795e-52,2.5707005243769457e-52,2.4908477299301664e-67,5.9559708050774793e-53,6.3560367783831232e-65,3.5576157819010873e-67,3.7436940434333285e-67,7.7582336055415233e-70,2.0956065353300953e-56,1.7767755090797877e-82,1.0722470845813002e-91,1.6183306336507144e-68,4.2542058235036967e-69,5.3112491061933882e-71,6.872811706155168e-85,1.9842469958340877e-79,1.1009413233471531e-71,1.3686468213548442e-93,9.6131463805034886e-106,9.5708587161562428e-108,1.0610271993695441e-107,3.1617881944963496e-52,1.6992567176156244e-66,1.0447756743813133e-64,8.8964920558710258e-77,3.8183545215691225e-84,2.3709881836093679e-97,1.6766328570436243e-96,3.950099705914007e-99,2.9025250963999824e-57,3.5523559573108867e-78,2.1989784866916075e-117
5.181014094900317e-20,0.009258329269623519,1.4400197791351004e-24,5.8743517495742874e-32,2.6694687240377378e-36,3.766474021992901e-37,4.2159429874626936e-49,0.0,0.0,8.806536990475928e-25,1.81866048929683e-40,7.5061804311332053e-56,1.3268602070148073e-55,6.9721783925060771e-72,1.2712968184848656e-36,5.4101787192960349e-55,1.2374313969532506e-21,3.9836117771680863e-36,1.3344861918613656e-43,3.5189058025148601e-45,9.7846768172562655e-33,5.9111320251501994e-54,3.0441778292702864e-46,3.2471362796938738e-52,1.3559351266543085e-38,4.6338155800070643e-59,2.0857366577335571e-34,2.9731843181649659e-58,1.2279012158159715e-21,7.2916702740342798e-55,5.1940840718353967e-66,5.5487283443088175e-55,3.1956261214242556e-82,1.1126564476390244e-49,7.4885461646855753e-38,2.9401214778464497e-37,1.326360180619937e-36,2.4286830876389568e-38,5.1153989184089096e-34,4.173633086190418e-54,2.640454069164444e-55,3.3445281487919881e-52,6.5516749801101206e-51,1.3254485864441637e-49,2.2724248220034206e-38,1.0275400473130662e-58,1.9373559488106304e-68,5.5393390521979922e-68,1.0600055432553476e-81,6.6079731726231254e-81,1.1553652674865775e-75,1.8975718688424754e-110,5.0337614069281294e-106,1.8332891959296478e-66,3.0760965125872684e-51,1.4429617009461328e-64,1.4295798593369157e-55,2.8675215128300711e-72,4.113592599702938e-52,3.5753231280844588e-68,1.7897916263197862e-86,1.4813388664771574e-48,1.2325587864880708e-37,2.9325086493832981e-41,1.3782224768179208e-55,2.9346544822625503e-75,6.5870259011170489e-72,5.4479454518608904e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999999591,1.6366028106043318e-21,1.2279012158109205e-21,1.6366028106049205e-21,7.9244398068005046e-25,6.3812379339072803e-25,3.1906189669601931e-25,1.2099053082683662e-33,9.3569351051220122e-34,1.8617568122934916e-36,1.5737631300361356e-36,2.7218526881591476e-34,7.7974533787412004e-37,1.024049702460541e-38,2.1857817682031689e-34,2.3897482195882385e-34,2.1504501523079549e-34,1.6733729485209326e-34,1.9550085125719632e-35,1.237431396939355e-21,5.7104380649308182e-25,7.725013493573271e-33,1.0013675412811074e-33,1.4667172624820013e-44,2.264426829623805e-50,4.7605843917134348e-37,3.0574084897258073e-47,1.963296770714852e-35,2.0897445059848079e-36,4.0016060602025206e-48,1.6250642316245003e-50,6.5635721867744848e-51,5.5021450122923784e-51,1.2020682980722215e-61,2.1359480429760295e-59,6.8839879838525405e-72,1.845645353378185e-63,5.3880604988889716e-74,9.9508967909134079e-71,4.3103258254991586e-80,9.6148169158009515e-80,3.1664749059534174e-70,1.7821125802158658e-50,5.4051189684200239e-51,2.1083457066154736e-50,4.8857604912861104e-93,1.0330526625800978e-94,4.2206453271679347e-42,7.0233440345526981e-97,4.1401490622486217e-39,1.32315358774098e-38,3.0812696692187972e-50,3.3226694047463497e-64,2.0660036429141868e-42,6.4028121768721214e-110,2.8328169949480738e-110,4.0979995094830729e-15,3.2365120273600545e-113,4.0156373631592925e-51,1.450516472216725e-63,7.1202184961126181e-41,2.0967914727112363e-63,1.9289436211436147e-42,9.9802104807254003e-52,2.5239290167087482e-51,4.9214953705947076e-66,5.8476074540771775e-52,1.2558457588300054e-63,7.0292492758926203e-66,7.396908563236219e-66,1.5328962244728415e-68,2.0574789231629336e-55,7.0287472223950581e-81,8.477935284577768e-90,3.1975486191373574e-67,8.6308868896582998e-68,1.0494133211829846e-69,2.7188159633544056e-83,3.9205377077568105e-78,2.1752745304522684e-70,5.4142307184050465e-92,8.2453977621686259e-104,7.5673902008241101e-106,8.389223023256485e-106,3.1042623988118853e-51,3.3574449264796454e-65,2.0643006730147033e-63,3.5193637837746606e-75,1.5257329700722635e-82,1.8934449580393693e-95,1.145005801213019e-94,3.1545059678242345e-97,2.8497163516200082e-56,1.4052766899469321e-76,3.477885983049123e-115
1.1009654951663172e-19,0.009258329269623517,3.0600420323470115e-24,1.2483022041903699e-31,1.1658271251073957e-35,1.6449181603124364e-36,3.7289538286932544e-48,0.0,0.0,1.8713891108458179e-24,7.9425681629920021e-40,6.6391316006286089e-55,1.173592826936675e-54,1.2406618921742848e-70,5.552087206199175e-36,4.7852418091480688e-54,2.6295417185311824e-21,1.7397479219438035e-35,5.82805180096835e-43,1.5367986138735341e-44,4.2732254325581926e-32,5.228329334801783e-53,1.3294724361451147e-45,2.8720552667237988e-51,5.9217249341461713e-38,4.0985574051346973e-58,9.1089599564084468e-34,2.6297478601627738e-57,2.6092900836122413e-21,6.4493997818486832e-54,4.5941085405222442e-65,4.9077873835293212e-54,5.6864459425418201e-81,9.8413202752418135e-49,3.2704448495371257e-37,1.2840282932837155e-36,5.7925633753221974e-36,1.0606697115348074e-37,2.2340291012316719e-33,3.6915312019195823e-53,2.335451721968302e-54,2.9581972718971944e-51,5.7948823242679724e-50,1.1723442641352641e-48,9.924276213994231e-38,9.088475518649934e-58,3.4474213961677788e-67,9.8569578776712585e-67,3.7627871222727343e-80,1.175853567544294e-79,2.055910762469248e-74,6.7722992272365716e-109,3.5783991111593466e-104,3.2733084459499382e-65,2.7207725295640684e-50,2.5676732495421216e-63,1.264447196194334e-54,5.1026013079830305e-71,3.6384260677763438e-51,6.3621110157316978e-67,6.3876382316171121e-85,1.3102274517841952e-47,5.3829080375035046e-37,1.280703571172326e-40,1.2190221721999411e-54,5.2220608495850874e-74,1.2336770507130678e-70,1.020339888132006e-68,0.88168480800000004,0.0,0.0094599999999999997,0.1088499999999913,3.477780972531584e-21,2.6092900835901822e-21,3.4777809725341547e-21,1.6839434589427118e-24,1.3560130609497194e-24,6.7800653047774646e-25,5.2839743517432375e-33,4.0864193890476661e-33,8.1307811260035993e-36,6.8730370530239661e-36,1.1887045783925208e-33,3.4053527477170694e-36,4.4722940940550678e-38,9.5458832380278985e-34,1.0436658317956612e-33,9.391580788947261e-34,7.3080593011577803e-34,8.5380358016462221e-35,2.6295417184704965e-21,1.2134680887924843e-24,3.3737163468739533e-32,4.3732351354983886e-33,1.2972943764339955e-43,2.0028598874449353e-49,2.0790722755807496e-36,2.704243185130524e-46,8.5742328015333559e-35,9.126463284016265e-36,3.5393752437659886e-47,1.4373509097534836e-49,5.8054052731796328e-50,4.8665849583777192e-50,2.139016310631993e-60,3.800805419232388e-58,2.4568464102740959e-70,3.2842272927276316e-62,1.9229605171189756e-72,1.8137231387234511e-69,1.5419448948696114e-78,3.5135376186626311e-78,5.6345730053015772e-69,1.5762583953473854e-49,4.7807665169576995e-50,1.864807901148039e-49,3.5002920655493471e-91,7.4010710242856092e-93,1.8432667001382156e-41,5.0317152177074305e-95,1.8081118673446251e-38,5.7785593419838475e-38,2.725348128322256e-49,5.9125126766690424e-63,9.0227806812472751e-42,9.1803199124428055e-108,4.0616787728256695e-108,8.7082489521074479e-15,4.6404947158524121e-111,3.5517857720577268e-50,2.5812345497165544e-62,3.1095864849516103e-40,3.7311283911410028e-62,8.4242035567865275e-42,8.8273831326443387e-51,2.2323866288306023e-50,8.7575380574642686e-65,5.1721425697085435e-51,2.2347104275479646e-62,1.2508173516494449e-64,1.3162403572305581e-64,2.7277069342507895e-67,1.8198168073275932e-54,2.5085099596484482e-79,6.0596736505455605e-88,5.6898669200963256e-66,1.5542299998252627e-66,1.8673749351115189e-68,9.7032610538399986e-82,6.9763874425134333e-77,3.870784802462227e-69,1.9323004857803072e-90,6.1131438554906217e-102,5.4088540967790877e-104,5.9962658317110844e-104,2.7456849376422141e-50,5.9743938613682115e-64,3.6733127531689902e-62,1.2560359353106597e-73,5.5543079817991993e-81,1.3802584373090731e-93,7.460492583723675e-93,2.2995299982461456e-95,2.5205418414157908e-55,5.0153326891231297e-75,4.9865754448025858e-113
2.2666936665188885e-19,0.009258329269623517,6.3000865441291005e-24,2.5700440775120829e-31,4.8670987546120873e-35,6.867209523005029e-36,3.1344103798414067e-47,0.0,0.0,3.8528599356179071e-24,3.3158658594061583e-39,5.5805901548272779e-54,9.8647548538973608e-54,2.0925576181963668e-69,2.317887115782776e-35,4.0222840734669705e-53,5.4137623617046141e-21,7.2631051040781877e-35,2.4330969016405257e-42,6.4158316933671772e-44,1.7839874994717555e-31,4.394725836370059e-52,5.5502857169970779e-45,2.4141355059642583e-50,2.4722035906139228e-37,3.4450844571547927e-57,3.8028114715707955e-33,2.2104615323223028e-56,5.3720678192152782e-21,5.4211091221387083e-53,3.8616250443059812e-64,4.1252910127971741e-53,9.5910222342724801e-80,8.2722226754606478e-48,1.3653463439215537e-36,5.3605653629961006e-36,2.4182811828083262e-35,4.4280872519527095e-37,9.3266317281409643e-33,3.1029544101410567e-52,1.9630878938088108e-53,2.4865430515624275e-50,4.8709477609276895e-49,9.854259924629936e-48,4.143189956945484e-37,7.6394115730355221e-57,5.8145800628844535e-66,1.6625200184061442e-65,1.2679454118179315e-78,1.9832490691466124e-78,3.4675939988223965e-73,2.2882068561029183e-107,2.4134839472690664e-102,5.5299211131994235e-64,2.2869732497148322e-49,4.3307562338799433e-62,1.0628440572076837e-53,8.6062828738870259e-70,3.0583163387109244e-50,1.0730641966691019e-65,2.1582379466813442e-83,1.1013251203567503e-46,2.2472581384929822e-36,5.3466853033674496e-40,1.0246615861985228e-53,8.807768883089353e-73,2.1308703094405589e-69,1.7623834112343626e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999998209,7.1601372963777554e-21,5.3720678191231871e-21,7.1601372963884895e-21,3.4669424154604161e-24,2.7917915960499632e-24,1.395895798037083e-24,2.2059552765697352e-32,1.7059996535564875e-32,3.3944410648688122e-35,2.8693576732689108e-35,4.9626076178341062e-33,1.4216677374850138e-35,1.8670947482078976e-37,3.9852183407906875e-33,4.3570994016730869e-33,3.9208001057328469e-33,3.0509708992440501e-33,3.5644618760541746e-34,5.413762361451261e-21,2.4983166533743861e-24,1.4084601630438058e-31,1.8257395816955713e-32,1.0904539127802144e-42,1.6835244175335625e-48,8.6797174841029141e-36,2.2730793400069197e-45,3.5795734101794013e-34,3.8101187674120755e-35,2.9750581561853736e-46,1.2081800467868071e-48,4.8797929408587288e-49,4.0906578993572629e-49,3.6077636546811939e-59,6.4106138770106662e-57,8.301128719868525e-69,5.539329358036672e-61,6.4972489549278035e-71,3.2042720986477559e-68,5.2343533617268898e-77,1.2426234903401378e-76,9.5035312576128478e-68,1.3249401578338979e-48,4.0185223203674749e-49,1.5674834038183945e-48,2.3782808969386589e-89,5.0286734724267693e-91,7.6952756209866949e-41,3.418809622993963e-93,7.5485111220290332e-38,2.412434774736213e-37,2.2908193166791962e-48,9.9723168214887851e-62,3.7668333079989637e-41,1.2479970940378063e-105,5.5215541164410104e-106,1.7928747819725332e-14,6.3084119916894361e-109,2.9854899525439335e-49,4.3537253732288828e-61,1.2981911474846963e-39,6.2930933733414412e-61,3.5169391411354122e-41,7.4199473870337001e-50,1.8764554664207278e-49,1.4770867962517163e-63,4.3474974724944947e-50,3.7691657658110989e-61,2.109686287333879e-63,2.2200317479799485e-63,4.6006764519616225e-66,1.5296656787428105e-53,8.4756882129735358e-78,4.0981602293666832e-86,9.5967921980673171e-65,2.6364189860304237e-65,3.1496007693409775e-67,3.2785126053331023e-80,1.1766697331674793e-75,6.528644335135096e-68,6.5288066197579464e-89,4.2077746174204586e-100,3.65801064830996e-102,4.055277485591267e-102,2.3079136309353095e-49,1.0076688487773654e-62,6.1955788632646874e-61,4.2438615413333949e-72,1.9504020883941722e-79,9.6986377366498413e-92,4.9035026353006444e-91,1.6158067105129574e-93,2.1186672924533495e-54,1.6945675636854649e-73,6.7788832388202091e-111
4.598150009224031e-19,0.009258329269623519,1.2780175589126344e-23,5.2135590835788939e-31,1.9883686514487188e-34,2.8054791669788172e-35,2.5697790033024002e-46,0.0,0.0,7.8158015898646367e-24,1.3546393985247407e-38,4.5753049786891341e-53,8.0877220338705248e-53,3.4370321651700042e-68,9.469325177956868e-35,3.2977115003002926e-52,1.0982203648121752e-20,2.9672154243211924e-34,9.939994744522323e-42,2.6210765900571424e-43,7.2881710360442949e-31,3.6030617587983087e-51,2.2674728194232784e-44,1.979254143666097e-49,1.0099758327796344e-36,2.8244883837194675e-56,1.5535725688241409e-32,1.8122699173811806e-55,1.0897623290463354e-20,4.4445527879572831e-52,3.1659935211945208e-63,3.3821628128066345e-52,1.5753282832192798e-78,6.782067936033476e-47,5.5778853007335616e-36,2.189965861734163e-35,9.8794677011643819e-35,1.8090181269802014e-36,3.8102333814508002e-32,2.5439895037595378e-51,1.6094580600731419e-52,2.0386182239069316e-49,3.9934972639013369e-48,8.0791176459474185e-47,1.6926282842230513e-36,6.2632516169786941e-56,9.5504651888811619e-65,2.7306941225057643e-64,4.1631261584052169e-77,3.2574930806871971e-77,5.6955335545594755e-72,7.523123570879899e-106,1.5855056669503393e-100,9.0901970171388632e-63,1.8749988428482748e-48,7.1132801170019253e-61,8.7138377267379499e-53,1.413584531914532e-68,2.5073925054564725e-49,1.7625121225446391e-64,7.0958099397098609e-82,9.0293287293239239e-46,9.1807827219949738e-36,2.1842954050637808e-39,8.4007947395554507e-53,1.4466786798482535e-71,3.5404728828525525e-68,2.9282263801484474e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10884999999996364,1.4524849944036756e-20,1.0897623290087126e-20,1.4524849944080613e-20,7.0329403284653465e-24,5.6633486661794962e-24,2.8316743331392856e-24,9.0120470899436586e-32,6.969565238395511e-32,1.3867399324821766e-34,1.1722262340686344e-34,2.0273871377923229e-32,5.8079765848830382e-35,7.6276912744567028e-37,1.6280917266865978e-32,1.7800172742002439e-32,1.6017747757367665e-32,1.2464211634345348e-32,1.4561989822529616e-33,1.0982203647086721e-20,5.0680137824705804e-24,5.7540193349665621e-31,7.4587419148172138e-32,8.940199275167818e-42,1.3802550330257479e-47,3.5459478042587465e-35,1.8636077766552013e-44,1.4623725363761383e-33,1.5565578385207185e-34,2.4391324226108436e-45,9.9053899792929524e-48,4.000749088808921e-48,3.3537685063164254e-48,5.925762641518455e-58,1.0529452543108849e-55,2.7292294884276183e-67,9.098365091323656e-60,2.1361532907617286e-69,5.7399196346595671e-67,1.7370318851082527e-75,4.4502899271622741e-75,1.5609579671279898e-66,1.0862659906496636e-47,3.2946273870089652e-48,1.2851175974638855e-47,1.5790268957349457e-87,3.338718606681772e-89,3.1437711783076004e-40,2.2698716402175107e-91,3.0838130979787846e-37,9.8555832179978281e-37,1.8781520817476583e-47,1.6379560328200191e-60,1.5388743047414466e-40,1.657470694599348e-103,7.3332015227354416e-104,3.6369745484437635e-14,8.3782313469183414e-107,2.4476850387720663e-48,7.1510846511875607e-60,5.3035344460184952e-39,1.0336424724882192e-59,1.4367843833922934e-40,6.0833211201031791e-49,1.5384315513824314e-48,2.426119498234904e-62,3.5643410888904315e-49,6.1908660805848686e-60,3.4651660634797173e-62,3.646408811657605e-62,7.556624944215552e-65,1.2541123419338395e-52,2.7866208545045403e-76,2.695906688700552e-84,1.576275996619708e-63,4.3424431634771127e-64,5.1732287213571241e-66,1.0779032149536798e-78,1.932683642205789e-74,1.0723317924691456e-66,2.1465287747614434e-87,2.7920793182018091e-98,2.4063615905789844e-100,2.6676969806821597e-100,1.8921670344160545e-48,1.655099111307626e-61,1.0176256894843755e-59,1.3952888207941698e-70,6.897309036305133e-78,6.8589248649674532e-90,3.3441609320491251e-89,1.1427065490367825e-91,1.7370114519946975e-53,5.5713674012614525e-72,9.0030661241769938e-109
