Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655)
0.0,0.0019148211184518633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019148211184518633,1.7426927483083983e-32,1.9289521154146524e-41,7.9258489054795186e-39,3.1091640087673325e-41,6.1393472779155738e-47,0.0,0.0,1.5455507689546521e-26,2.1379832164780151e-39,2.4278036939352333e-47,3.8772056085102438e-54,4.7166557825107867e-57,5.1164971824720408e-73,2.7942664514064838e-60,3.8537805539033932e-47,1.3683556322988815e-26,7.9244256716365061e-39,-7.9373023487466562e-100,8.9042170517532513e-98,2.9332895295171609e-65,3.1013492594837219e-63,6.1011997460309009e-42,3.3578611823705336e-53,6.3609818097383739e-42,5.70019134166097e-72,1.2496320491412683e-60,3.7065896158280463e-36,3.5192330066718125e-40,9.0844777565474288e-28,6.754525473221321e-53,7.5269707272198716e-73,4.6273497732786018e-68,7.7731824035125436e-54,6.6085025571560335e-89,1.3971020720671781e-66,6.606482795745054e-34,3.8077031266370727e-46,1.4743726118146771e-49,4.871112954157861e-54,1.1283018717564502e-34,3.2567696264481041e-72,4.9678405320385501e-73,3.0414465150605653e-65,3.9327814407244523e-57,1.9380002124841739e-49,2.2187264900372784e-67,1.2641168534612105e-69,7.6409674847231061e-69,7.992980382161435e-104,3.400892738527254e-95,-2.521508239800543e-139,-1.2120803266536013e-131,1.2255571390356977e-65,1.3302509777887378e-63,6.702963774312766e-72,2.5096745292373344e-82,4.4758964170404616e-67,9.3716452551595503e-80,3.307404969950851e-87,1.0623328001592234e-45,7.4735986411927086e-50,7.6458999576141727e-62,2.4424551372123437e-61,8.8640280826511616e-93,7.382610977562131e-92,-6.2348703228162653e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.892149118968227e-28,9.0844784239539189e-28,8.8921492382871851e-28,4.8692457996752086e-35,3.6772529465502723e-35,4.9745632713273451e-35,5.4726592295973668e-45,7.6660105857341529e-28,2.4621242271249359e-45,3.2857989382291863e-34,2.3456865452407111e-51,1.0553135921624264e-51,6.5402172556152959e-28,1.1296629507879047e-44,3.2701086278525913e-28,2.8032623585824286e-34,1.4016311784374764e-34,9.8169979110251279e-44,4.2077532953619259e-50,3.6956975367095934e-61,1.7354992254476401e-67,2.4333731787585059e-29,6.65942986561001e-60,5.8998226752986215e-60,1.3324891398002127e-36,4.5757225372593794e-47,9.1389621505636005e-45,9.6376609992367904e-45,1.2125416713023108e-54,1.0754788947854352e-60,4.6097084920857938e-67,9.6746639356732683e-46,1.6143161835977823e-76,2.6993296162475306e-45,1.1569843646678097e-51,7.0359240759715587e-78,4.5763152308737984e-84,7.9769774559466153e-62,2.8209019626370183e-38,2.705229144784904e-45,1.1595130156753021e-51,1.4446291405901697e-53,4.3247698531322151e-53,3.4860318485304428e-73,1.4895952250323377e-75,3.651290019043376e-83
3.0000000000000002e-15,0.0019148211184518633,5.7259897854220722e-32,8.8956684345214386e-41,5.2084148681122152e-38,1.8426947768568525e-40,5.7885273351532868e-46,0.0,0.0,5.0782382420681432e-26,1.4049603995462455e-38,1.5954067970873887e-46,3.6556393164876783e-53,4.4471322744515605e-56,4.8241070403182024e-72,1.8362319852519206e-59,2.5324727487743348e-46,4.4960254318789644e-26,5.2074796177472019e-38,4.6945456463870383e-98,1.0939526871681024e-96,2.7656938563757075e-64,2.9241280926448528e-62,2.0046592409766162e-41,3.1659833535805302e-52,4.1800736717630934e-41,7.0339438600878181e-71,1.1782242634275566e-59,2.4357587552965259e-35,2.3126387040144146e-39,2.9848994515205394e-27,6.3685519749813473e-52,1.1397760135583189e-71,5.6850289539355149e-67,9.549678709304256e-53,9.9332235179746729e-88,1.3173362328421726e-65,4.3414028888701198e-33,3.5901200384392498e-45,1.3900996728908412e-48,4.5957476161753296e-53,7.4145547437820401e-34,2.1401628819859506e-71,7.5257722143355364e-72,3.738497243709391e-64,4.831702742283997e-56,1.8272572591279362e-48,2.7258635472536627e-66,1.5530266578980533e-68,9.3874729313000305e-68,1.4387612886834015e-102,5.150028892706751e-94,1.3472860562914814e-137,1.7081624365667323e-120,1.506940145056609e-64,1.6351231143683845e-62,1.0154308001353987e-70,3.8003633284662765e-81,6.7777136071465056e-66,1.6868682427273212e-78,5.0081339567777057e-86,1.0016280297938599e-44,7.0463136527164728e-49,9.3935339019571525e-61,3.0006910914301261e-60,1.4974844597230807e-91,1.539779737143032e-90,3.5756347287461718e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.9217059790656645e-27,2.9848998901019135e-27,2.9217060574752625e-27,3.1997900205503414e-34,2.4164804642501686e-34,3.2689986432020295e-34,5.1599350630785114e-44,2.5188309697226423e-27,2.3214310688938944e-44,2.15923889916853e-33,2.8818431342888881e-50,1.2965279792422302e-50,2.148927605849863e-27,1.0651106435863306e-43,1.0744638029545025e-27,1.8421434918948389e-33,9.2107174514248058e-34,9.2560240493930601e-43,5.1695243820455643e-49,5.5963408006172589e-60,3.1238980500140754e-66,7.9953686155067885e-29,9.1904698653413052e-59,9.8278234763983819e-59,8.7563570134981881e-36,4.3142526124377827e-46,8.6167344430855685e-44,9.0869363317670136e-44,1.1432586427600357e-53,1.3213070044980439e-59,6.9804344132135635e-66,9.1218250668569597e-45,2.9057756528155527e-75,2.5450815469453217e-44,1.4214376494930126e-50,1.2664690690840764e-76,9.5449038446507509e-83,1.2079421041806463e-60,1.8537352463410124e-37,2.5506439559006535e-44,1.4245442763313466e-50,1.7748297317755098e-52,4.0775261068413167e-52,6.7987433168772488e-72,3.3307285684834892e-74,9.2074945547405794e-82
7e-15,0.0019148211184518633,1.269675562640674e-31,3.6183306965426676e-40,2.8306598055636088e-37,9.3696519318236386e-40,9.3493472404051254e-45,0.0,0.0,1.1260441327200551e-25,7.6356543505377865e-38,8.6704394830939484e-46,5.9042383800020886e-52,7.1827876863986618e-55,7.7913843701238145e-71,9.9795126676003563e-59,1.3763028092071582e-45,9.9694462997642807e-26,2.8301515795254321e-37,9.0578314474776014e-97,5.5337198168451745e-95,4.4673224714944734e-63,4.7228920180639708e-61,4.4449809322451172e-41,5.1135421155366107e-51,2.2717788549614287e-40,3.7451512657063772e-69,1.903007150357733e-58,1.3237814544256599e-34,1.2568684048737244e-38,6.6186876250906113e-27,1.0286167280715835e-50,1.8817980866584603e-69,2.8755623103025502e-65,4.8289579299488951e-51,3.3866727754356323e-85,2.1277159160023921e-64,2.3594577692786396e-32,5.7985870413663843e-44,2.2448800275411539e-47,7.4216118465869816e-52,4.0296478550114684e-33,1.1631316279117657e-70,1.242987683554974e-69,1.8909589111862839e-62,2.4439416302040765e-54,2.9512960859878867e-47,1.378777229397769e-64,7.8535321107991794e-67,4.7483062524683954e-66,8.0127176918498779e-100,8.5079223832864614e-92,4.9193085706976038e-135,1.6185012966808555e-118,7.6209089731693836e-63,8.2705685034504683e-61,1.6771281001424357e-68,6.2763122294966223e-79,1.1191672236242563e-63,9.3887898697300624e-76,8.265504268814521e-84,1.6177804535835039e-43,1.1377575541780547e-47,4.7513785061352779e-59,1.5175515808288707e-58,7.2654085722787893e-89,2.9599865101113254e-87,3.3666881740238805e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.4785644021225248e-27,6.6186900086837983e-27,6.47856482826152e-27,1.7390160454002574e-33,1.3133044463578738e-33,1.7766294216995804e-33,8.3340653582783181e-43,5.5852269406324393e-27,3.7494577968407512e-43,1.1734979761651089e-32,1.4576744313972861e-48,6.5580104265730985e-49,4.7650074604918709e-27,1.7203130180629166e-42,2.3825037304067645e-27,1.0011637255871992e-32,5.0058186149353742e-33,1.4949843479393375e-41,2.6148109156196412e-47,9.2423804293782857e-58,1.7392122999985712e-63,1.7728858266503024e-28,6.8909154834274255e-57,2.4517893873413048e-56,4.758889006115645e-35,6.9681706731713134e-45,1.3917312461797405e-42,1.4676761488000869e-42,1.8466109444144097e-52,6.6836200849469758e-58,1.1528714539459272e-63,1.4733115814589814e-43,1.6178441111929679e-72,4.1106825061806375e-43,7.1898127116226584e-49,7.0512890874844293e-74,1.8354780753419012e-79,1.994922938142196e-58,1.0074636439046425e-36,4.1196665851639274e-43,7.2055263700027641e-49,8.9773148634796306e-51,6.5841347228370325e-51,5.7284102984978324e-69,9.7944193327161464e-71,9.6041358109502189e-78
1.5e-14,0.0019148211184518633,2.6638274193574298e-31,1.4057775796801643e-39,1.2522835681229618e-36,4.0417380920841499e-39,8.6950662196718798e-44,0.0,0.0,2.3624847521173192e-25,3.3780134884830728e-37,3.8356189849006524e-45,5.4908000436060039e-51,6.6801203863459856e-54,7.2457259392378117e-70,4.4149297963495443e-58,6.088461779832807e-45,2.0916283806747283e-25,1.2520587746373425e-36,1.6242910841039139e-95,1.0643828037581463e-93,4.1551426430650798e-62,4.3923520652694044e-60,9.325221646245962e-41,4.7556890922710729e-50,1.0050347343256977e-39,7.7425296859514448e-68,1.7698271677291415e-57,5.8564056430002331e-34,5.5603824719698833e-38,1.3886256516479257e-26,9.5663152918493603e-50,7.3795928621757875e-68,5.5304530926024689e-64,9.2833213430137609e-50,2.5571457294992745e-83,1.9789138210650396e-63,1.0438238801230711e-31,5.3927936045319927e-43,2.0872823198634808e-46,6.9045295827158983e-51,1.7827151364346225e-32,5.1456912979102567e-70,4.8780259731310761e-68,3.6379541676848317e-61,4.7003428678081606e-53,2.7447589151771183e-46,2.6517456551178579e-63,1.5098963003477252e-65,9.1322235899553182e-65,6.3587863817396976e-98,3.3393436289536024e-90,3.7370186073471601e-133,7.361447138757125e-117,1.466152640841341e-61,1.5911470265345892e-59,6.5817858143784973e-67,2.4623330192123839e-77,4.3897416202142456e-62,7.4444068711490204e-74,3.2396373954697747e-82,1.5045653331770025e-42,1.0576563364698862e-46,9.1381511724975783e-58,2.9179616841875287e-57,5.6973174007890096e-87,4.7211269890648702e-85,1.6737072494768565e-88,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3592278131251351e-26,1.3886267061486438e-26,1.359228001648942e-26,7.6934049997534145e-33,5.8100577405644944e-33,7.859806535518963e-33,7.7508202517483058e-42,1.1717997848472224e-26,3.4870586388745253e-42,5.1915445700944585e-32,2.8034874192546186e-47,1.2612761821227645e-47,9.9971492304951364e-27,1.5999203889849839e-41,4.998574615959261e-27,4.429139388076458e-32,2.2145696819475166e-32,1.3903579780692085e-40,5.0289534919198586e-46,3.6259889343894986e-56,1.3796033807356445e-61,3.7195829769126159e-28,1.4933200947886212e-55,1.0829056459188748e-54,2.1053320001465589e-34,6.4805280447448488e-44,1.2943333642697415e-41,1.3649638014807178e-41,1.7174922848898176e-51,1.2855132006545213e-56,4.5232517152823023e-62,1.3702054043322796e-42,1.2834092215676503e-70,3.8229975388468704e-42,1.3827860841163665e-47,5.5936599929499229e-72,2.9289434847432524e-77,7.8265293709448336e-57,4.4570106071765813e-36,3.831352821670091e-42,1.3858082090425161e-47,1.7265687609341163e-49,6.120907873104721e-50,5.0261970656475037e-67,1.7279651876696725e-68,3.3980677518833858e-75
3.1e-14,0.0019148211184518633,5.4521258868791775e-31,5.486431599155069e-39,5.2197326190421424e-36,1.6648797725230707e-38,7.3386183354559073e-43,0.0,0.0,4.8353660003949581e-25,1.4080146669254599e-36,1.5986031393424797e-44,4.6338079219694652e-50,5.6379993463298732e-53,6.1147051331321865e-69,1.8402139979917256e-57,2.5375306674340355e-44,4.2809941905575853e-25,5.2187960132194221e-36,2.7795295256875553e-94,1.8100385446775836e-92,3.5076779122831428e-61,3.7070947473094318e-59,1.9084092665923013e-40,4.013792237510387e-49,4.1891573622889352e-39,1.4976007981373244e-66,1.4937226754986111e-56,2.4410486774733595e-33,2.3176612113806404e-37,2.8421364476311744e-26,8.0739326739368179e-49,2.517101171101203e-66,9.4029943034093011e-63,1.5770209425401815e-48,1.7274610126369691e-81,1.6703768365967119e-62,4.3508372076699028e-31,4.5515072164107437e-42,1.7608374411383823e-45,5.8314605205804815e-50,7.4306574099787627e-32,2.1448109594551158e-69,1.6663442893891754e-66,6.1894906931337558e-60,7.9916515408087302e-52,2.316569083522083e-45,4.5085510954667914e-62,2.5653383566327644e-64,1.5526793097573479e-63,4.3541722907261383e-96,1.1409868972736033e-88,2.6060243265568695e-131,2.7280495420438949e-115,2.4944678984792959e-60,2.7071208324099866e-58,2.2483547075217754e-65,8.4057820388476845e-76,1.4978734565464397e-60,5.0888128165554896e-72,1.1038347201112847e-80,1.2698493186592682e-41,8.9186622433650968e-46,1.5536934634697423e-56,4.9588826994553631e-56,3.8850565697261323e-85,6.4612355893172965e-83,1.1404961154258077e-86,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.7819693121580376e-26,2.842140842965836e-26,2.7819700979572979e-26,3.2067431429422938e-32,2.421732007264492e-32,3.276102158365448e-32,6.5416517760353403e-41,2.3983455528810725e-26,2.9430594977329561e-41,2.163917365651663e-31,4.7665522522722969e-46,2.1444502412701533e-46,2.0461361013871416e-26,1.3503252625675794e-40,1.0230680509902505e-26,1.8461349073160371e-31,9.2306744345354997e-32,1.173450747720076e-39,8.550310615829295e-45,1.237823077760536e-54,9.4384660049189163e-60,7.6129741576892241e-28,2.7006800728410902e-54,3.9364942046044518e-53,8.7753852167549826e-34,5.4695528629524146e-43,1.0924106184130677e-40,1.1520230127522436e-40,1.4497421961081813e-50,2.1859241473489154e-55,1.544318814881375e-60,1.1564478202588973e-41,8.7814409053721747e-69,3.2265800187995799e-41,2.3510369597370566e-46,3.8273204129985291e-70,4.0122828862418433e-75,2.6717894925903247e-55,1.8577524252576401e-35,3.23363173272889e-41,2.3561751749208873e-46,2.9355422292305916e-48,5.1619616894731003e-49,3.5453102198822493e-65,2.4411588118590943e-66,9.6079852379514228e-73
6.300000000000001e-14,0.0019148211184518633,1.1028701838347193e-30,2.1618783970167255e-38,2.1270671668251015e-35,6.7452876042898329e-38,6.0062526353514698e-42,0.0,0.0,9.781128534882511e-25,5.7377361494360692e-36,6.513181492422086e-44,3.7918357660431509e-49,4.6143758630797217e-52,5.0034491394355769e-68,7.4989281262471962e-57,1.0338579143665693e-43,8.6597190442787826e-25,2.1266857972652133e-35,4.5942049931246584e-93,2.9707036793129471e-91,2.8720578073796518e-60,3.0339839248985131e-58,3.8595395197836654e-40,3.2850670293670573e-48,1.7071028141159752e-38,3.0493667959780676e-65,1.2225164090116699e-55,9.9473825108803858e-33,9.444572954896581e-37,5.7491461104687095e-26,6.6080371120884003e-48,8.2550021601954343e-65,1.5426555812474179e-61,2.5828522339166064e-47,1.1311577361144729e-79,1.3674031009949194e-61,1.7729881888916535e-30,3.7251570492525095e-41,1.4398034672476625e-44,4.7793620913958779e-49,3.0280260823569605e-31,8.7402005870626906e-69,5.4813393970628878e-65,1.01681868963e-58,1.3111199243055065e-50,1.8959803831093575e-44,7.3967193193687364e-61,4.2027463287907781e-63,2.5473235335877917e-62,2.8675363001437284e-94,3.7548973402916114e-87,1.7336040014345719e-129,9.9022447716919828e-114,4.097966133721209e-59,4.4472907686988043e-57,7.3958431224138312e-64,2.7613360549632663e-74,4.9161655757065956e-59,3.3398798702290331e-70,3.6124662100758967e-79,1.0393000510749884e-40,7.2865082893229736e-45,2.549008106540259e-55,8.1280261463140704e-55,2.5495278058840079e-83,8.4838926414207592e-81,1.1146942967937045e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.6274473230611365e-26,5.7491640216358165e-26,5.6274505252300971e-26,1.3067639077526747e-31,9.8686817841969339e-32,1.3350280555610346e-31,5.3539390487733386e-40,4.851403435274873e-26,2.4087133056898913e-40,8.8180113132625478e-31,7.8200176436857795e-45,3.5181909941203488e-45,4.1389497558044902e-26,1.1051593896464471e-39,2.0694748791112864e-26,7.5230407659804645e-31,3.7615202994730408e-31,9.603904362237515e-39,1.4027566088641498e-43,4.0663171057331389e-53,6.2049195118444667e-58,1.5399744040248138e-27,4.5741811799383593e-53,1.3361417960832964e-51,3.5760137825810636e-33,4.4765265212496667e-42,8.9407084536708049e-40,9.4286101958653312e-40,1.1868311003084931e-49,3.5871032692663067e-54,5.0744354298251072e-59,9.4648395737552038e-41,5.7744068020897073e-67,2.6407408111010001e-40,3.857094277364579e-45,2.5167071079334792e-68,5.278266934034659e-73,8.777012939128305e-54,7.5703852983445631e-35,2.6465120395573796e-40,3.8655238185688228e-45,4.8160293433277768e-47,4.2181491382649456e-48,2.2631496008726207e-63,3.1189780066853912e-64,2.4560753652453966e-70
1.2700000000000001e-13,0.0019148211184518633,2.2181769807553958e-30,8.5767540715952122e-38,8.5836597110837236e-35,2.7142009856900741e-37,4.8559124695282897e-41,0.0,0.0,1.967265375558548e-24,2.3154358634210395e-35,2.6273853451368899e-43,3.064511675413948e-48,3.7305900387474778e-51,4.0433955460118336e-67,3.0261211487360065e-56,4.1704750844460262e-43,1.7417141687626786e-24,8.5821231512385404e-35,7.4767855813970091e-92,4.8114209899530439e-90,2.3239584194080102e-59,2.4527943124196093e-57,7.759225922754529e-40,2.6558992429985514e-47,6.8889190204754257e-38,6.8439446609012525e-64,9.8835466021448024e-55,4.0141996648764632e-32,3.8112941400221734e-36,1.1563117720019602e-25,5.3423931045314232e-47,2.6641917135194759e-63,2.4965823958694423e-60,4.1658073449100989e-46,7.3086466491370401e-78,1.1059856623272156e-60,7.1547959688498758e-30,3.0117017116251924e-40,1.1618798954159018e-43,3.8747238144446131e-48,1.2219396375822597e-30,3.5270494801262259e-68,1.7796716199887521e-63,1.6500215168621663e-57,2.1219028562884938e-49,1.5328500544553288e-43,1.1970567820664926e-59,6.7824155528373639e-62,4.1224947999929717e-61,1.8641221496897781e-92,1.2202421196415679e-85,1.1323910761353809e-127,3.7375433011081672e-112,6.6499395314744804e-58,7.2167252134708133e-56,2.4012793211722795e-62,8.9415527453904758e-73,1.5890654301269478e-57,2.156355126948212e-68,1.1610033218757241e-77,8.4024731268110165e-40,5.8701902623791737e-44,4.1252882224529502e-54,1.3129862483395176e-53,1.6476212791025829e-81,1.0956462406462231e-78,1.3128957985424959e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.1318383396286454e-25,1.1563189999189628e-25,1.1318396318439906e-25,5.2733723463665799e-31,3.9824530684629164e-31,5.3874307376174899e-31,4.3284668269466806e-39,9.7573845890669947e-26,1.9473585446974168e-39,3.5584101907164094e-30,1.2655689407027659e-43,5.6937397986471951e-44,8.3244622587610013e-26,8.9348370671618608e-39,4.1622311342595426e-26,3.0358392799406375e-30,1.5179195724496829e-30,7.7643020181795743e-38,2.2701497884085303e-42,1.316733788882445e-51,4.0194128233306011e-56,3.0973233889370861e-27,7.5236949401056496e-52,4.3995376624549567e-50,1.4430805259269566e-32,3.619166001397905e-41,7.228241322936311e-39,7.6227101009478581e-39,9.6000537551094091e-49,5.8080807623709272e-53,1.6439952298596424e-57,7.6520245764537606e-40,3.7423762956844158e-65,2.1349176317273214e-39,6.2421352847695679e-44,1.6310424914016008e-66,6.842317760403125e-71,2.8421509535985069e-52,3.0549469680559771e-34,2.1395831952708892e-39,6.2557766729943858e-44,7.7940293259859104e-46,3.3996137930403631e-47,1.329792939200811e-61,3.667829011333005e-62,5.7784996310210495e-68
2.55e-13,0.0019148211184518633,4.4487570015631492e-30,3.4160025963547383e-37,3.4482370582411313e-34,1.0887846447506091e-36,3.9044683998105277e-40,0.0,0.0,3.9455704803892714e-24,9.3016322757376812e-35,1.0546958073877169e-42,2.46230326139903e-47,2.9995989960607602e-50,3.2483024190350876e-66,1.2156333260174731e-55,1.6740835965573816e-42,3.4931878718614666e-24,3.4476217461677153e-34,1.2128660508492125e-90,7.7521802510146454e-89,1.8717773997433701e-58,1.9720294706504752e-56,1.5548315893632628e-39,2.1355161921543575e-46,2.767425436720042e-37,1.7100640157391177e-62,7.946677811317206e-54,1.6125801916769168e-31,1.5310691172117177e-35,2.3190870077758015e-25,4.2955534933498521e-46,8.5165112603572887e-62,4.0162724923882871e-59,6.6563576132600418e-45,4.6865498133039959e-76,8.9004451967563233e-60,2.8742339969997458e-29,2.4216046818996197e-39,9.3076109549172068e-43,3.1327707067299757e-47,4.9087631923897468e-30,1.4168827176680942e-67,5.7573447139941025e-62,2.6686746229761794e-56,3.4136191576983192e-48,1.2325027480226371e-42,1.9257033553822154e-58,1.084976565496698e-60,6.6318628727545106e-60,1.2084040265082127e-90,3.9548917941582821e-84,7.3530705366284527e-126,1.5313004460974455e-110,1.0755483538004897e-56,1.167194686224157e-54,7.7683475327067682e-61,2.8773022592312473e-71,5.0952042282925993e-56,1.3788368550842166e-66,3.680867237527076e-76,6.7560997591886476e-39,4.6869420868261624e-43,6.6365728597846513e-53,2.1044467473738114e-52,1.055808642932869e-79,1.4012835881633796e-76,1.6337422667619716e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.2700175748973163e-25,2.3191160435724443e-25,2.2700227659835293e-25,2.1184250168670232e-30,1.5998370670947567e-30,2.1642446893044568e-30,3.480262410190788e-38,1.9568808482268663e-25,1.5657560338365947e-38,1.4294493547131715e-29,2.0359418424198308e-42,9.1596195112711299e-43,1.6695028066387487e-25,7.184005093460521e-38,8.3475140527932122e-26,1.2195273530529221e-29,6.0976362223708255e-30,6.2426381948579751e-37,3.6519288275130368e-41,4.2371773097786241e-50,2.5871100672911708e-54,6.2120013923492779e-27,1.2202674974802456e-50,1.4277749727605838e-48,5.7971611908391703e-32,2.9100452421320708e-40,5.8117994547920574e-38,6.1289969254820771e-38,7.7267934576588215e-48,9.3526186240003857e-52,5.2955495698987326e-56,6.1526060666761242e-39,2.4111634105218643e-63,1.7165180495554007e-38,1.0041588791589147e-42,1.0508228590025856e-64,8.8169367366321687e-69,9.1460406750562788e-51,1.2272049760200667e-33,1.7202689224912813e-38,1.0063531551017107e-42,1.2538086705988972e-44,2.7165496540796034e-46,7.0962835099796808e-60,3.9179715856301773e-60,1.2350435656715783e-65
5.11e-13,0.0019148211184518633,8.9097827547090844e-30,1.3633984986307629e-36,1.3822115023962133e-33,4.361184843506948e-36,3.1313322524854339e-39,0.0,0.0,7.9021809328031331e-24,3.7285513621473583e-34,4.2214623630416539e-42,1.9719131845726032e-46,2.4055792028422925e-49,2.6005347743368768e-65,4.872628652496055e-55,6.7002216302157596e-42,6.9960919763113299e-24,1.3819664253699134e-33,1.9997887660545562e-89,1.2474249198885393e-87,1.5062152735723838e-57,1.5812592027523424e-55,3.1085472837668451e-39,1.7126575352684116e-45,1.1093121465646686e-36,4.665306601433028e-61,6.37259478651892e-53,6.4638930830915513e-31,6.1371621510986641e-35,4.6445611372847126e-25,3.4448540569440232e-45,2.6967578387269187e-60,6.4427445633504749e-58,1.0535679931737635e-43,2.9859619500921826e-74,7.1502359467321214e-59,1.1521260627500395e-28,1.9420971237960628e-38,7.4095892189973191e-42,2.5400939628194148e-46,1.9676365508956394e-29,5.6794560968458508e-67,1.8667317962939195e-60,4.326769393565212e-55,5.4763023752813487e-47,9.8843805066165371e-42,3.0890993307681323e-57,1.7211747935471086e-59,1.0638479707275922e-58,7.8659500423299343e-89,1.287276355836139e-82,4.7829429193895888e-124,6.9931970638079849e-109,1.7438550266942919e-55,1.8923682595014157e-53,2.5188105798255827e-59,9.2312702059128517e-70,1.6231106308329856e-54,8.7335099869853243e-65,1.1470776917854818e-74,5.418249637519186e-38,3.7068857874099813e-42,1.0646729478756336e-51,3.3512201238349456e-51,6.7162122447022536e-78,1.7752706370589099e-74,2.0436813187150075e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.5463441283767532e-25,4.6446775239077102e-25,4.5463649365080451e-25,8.4916201106177503e-30,6.4128941838395322e-30,8.6752864622651804e-30,2.7909554291392522e-37,3.9189502847910464e-25,1.2556411973779817e-37,5.7295754736000932e-29,3.2660114470089559e-41,1.4693670018489438e-41,3.34343230902818e-25,5.7611838629402725e-37,1.6717161623697447e-25,4.8881579368762432e-29,2.4440785330697036e-29,5.0059299974454756e-36,5.8580234171741091e-40,1.3594550035482154e-48,1.6601749609235997e-52,1.2441277533409931e-26,1.9654880112732808e-49,4.6004922394040041e-47,2.3237699899791717e-31,2.3338198517799999e-39,4.6607057827896845e-37,4.9151244544150315e-37,6.209179581934381e-47,1.5032327308035085e-50,1.7023998071175797e-54,4.9341202598880601e-38,1.5503083593108104e-61,1.3764739365658231e-37,1.6107723286795413e-41,6.7560219076717945e-63,1.1337477232720326e-66,2.9345126561412042e-49,4.9189466909942628e-33,1.3794812171375253e-37,1.6142915760579252e-41,2.0112356150918532e-43,2.1519973202788032e-45,3.3714797733387858e-58,3.7272117059810209e-58,2.3511581116058205e-63
