Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801)
0.0,0.0021744868191994147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0021744868191994147,2.6759194540098864e-28,1.3709372186228765e-36,6.90497072486728e-35,9.2068499277444043e-37,6.3266604753756993e-43,0.0,0.0,6.4817309344911807e-25,4.4423934583391654e-37,1.5041256763842608e-54,6.5979342810052324e-56,1.5849701029877572e-68,4.5003346684658466e-35,9.223851472232809e-52,2.3958561543484872e-24,5.6669941843770088e-35,6.5838103634405472e-49,2.0476941045897227e-49,2.1557768319201927e-32,1.5586918752627397e-49,5.5742959951324186e-50,5.1321008105369581e-49,1.5079313229472299e-38,3.5464895196421374e-60,8.6972955496104786e-32,8.9798708146004006e-59,3.9750319132647612e-24,2.4800228136219032e-54,7.4472543826331405e-72,1.6039069505559806e-55,1.7724749987114438e-84,1.5978540752466911e-43,1.0654238279976032e-37,5.5081986995417934e-36,2.3958538886326822e-35,2.4568675015404186e-38,3.6385521688646064e-31,3.4511304244666235e-52,1.1996430798248066e-57,5.8063344006683114e-50,1.3528633747236825e-48,3.2726496111536659e-43,4.9600055646077781e-36,3.6742297035804708e-56,3.504330019475219e-63,1.6612068228879109e-62,1.3301734744471192e-78,4.5498205166299899e-81,1.4136706267244945e-73,4.1454281755164031e-117,3.0178002356137973e-105,-1.7210846944706798e-63,1.0492927581107051e-47,4.508465451823811e-56,1.2307709906426056e-52,8.2633055471467804e-66,5.8818882871366408e-49,1.0637538291646187e-59,3.4059876950695435e-79,4.9149310950896651e-42,6.2063454786146001e-36,6.603617929206943e-41,7.1323177655904652e-52,4.3112447488987399e-72,-1.3067387862120026e-90,1.4204496792478025e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.3480587442838339e-24,3.9750318110447745e-24,4.3480591275829618e-24,2.801211233502062e-25,2.3525129646475426e-25,1.1762564822700714e-25,5.2753328485805342e-31,4.8213308386889487e-31,1.1102277252749211e-31,9.3028698142995865e-32,1.4420998540005117e-31,4.6425833745779828e-32,8.9713001394201539e-35,5.5050824899378412e-34,2.4585812792349349e-34,4.3648108483122367e-34,7.8725049173034745e-34,1.4176080110795227e-33,2.3958559169009345e-24,1.5442344546471694e-26,2.8139589388151611e-32,2.9468883323176882e-31,1.0920757390223476e-38,3.5902392560358045e-41,1.8979708164703119e-33,5.1565452608552028e-40,1.491111170186401e-33,2.1195916258321079e-34,8.2232690856420854e-41,1.0170023648456918e-43,2.7471347028232959e-45,3.5789943248645747e-45
3.0000000000000002e-15,0.0021744868191994147,8.7923081850836345e-28,4.9233379624496378e-36,4.5375680649950825e-34,6.050216087943373e-36,5.9651515644861701e-42,0.0,0.0,2.1297116590778557e-24,2.919287169288731e-36,1.4182522595324919e-53,6.2210396709828173e-55,1.9472270963942461e-67,2.9573629509174722e-34,8.6967738819472845e-51,7.8720985099859618e-24,3.7240246915517866e-34,4.3266338256474054e-48,1.3456265669658769e-48,1.4166532876643732e-31,1.4696237501639313e-48,3.6630957660377321e-49,4.8388372560156625e-48,9.9092628057983259e-38,3.3439587770373811e-59,5.7153655571711585e-31,8.4845049846539543e-58,1.3060817890460108e-23,2.3383069931712454e-53,7.0218417846944739e-71,1.5122551066595544e-54,2.1776118123451036e-83,1.5065481116123734e-42,7.0011439539640997e-37,3.6196732801315431e-35,1.5744339836596076e-34,1.6145126804922868e-37,2.3910484682633221e-30,3.2539229272031393e-51,1.1310918279970959e-56,5.4745434392410337e-49,1.275556745355104e-47,3.0856397893207583e-42,3.259430299390327e-35,3.4642829513776937e-55,4.305319067856973e-62,2.0409111095683867e-61,2.0142624159267408e-77,5.7879471034587348e-80,1.7367951424938474e-72,6.2794809470281059e-116,5.432039635996378e-104,1.0178991938481752e-61,9.8933298853257306e-47,5.5389713272503394e-55,1.1604492169311346e-51,1.0152046015876841e-64,5.5456994288373641e-48,1.3069044733874976e-58,5.1570368936470085e-78,4.6340777547674017e-41,4.0782976370783692e-35,4.3395202578812295e-40,6.7246523028654082e-51,5.2965975749401218e-71,6.9817103345138613e-89,2.1509611968475025e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.4286476990575747e-23,1.3060817218728813e-23,1.4286479509398405e-23,9.2039761171776952e-25,7.7296823966353837e-25,3.8648411979649122e-25,3.4666471142437134e-30,3.168302952465319e-30,7.2957808958709198e-31,6.1133133689711493e-31,9.4766560653278541e-31,3.0508399580931688e-31,5.8954297471157212e-34,3.6176254265812343e-33,1.6156390312272643e-33,2.8683041083408063e-33,5.1733602654227769e-33,9.3157088969836595e-33,7.8720969496164551e-24,5.0739125993195316e-26,1.8491725951299705e-31,1.9365265033895203e-30,1.0296712434094136e-37,3.3850842909600622e-40,1.24723789921892e-32,4.8618851903345277e-39,9.7987282329648983e-33,1.3928746124561494e-33,7.7533684084527921e-40,9.5888790415058049e-43,2.59017156688927e-44,3.3745225950789412e-44
7e-15,0.0021744868191994147,1.9495996772486663e-27,1.3612047531802725e-35,2.4661257230603881e-33,3.2881624067297412e-35,9.6348388574913653e-41,0.0,0.0,4.7224045403393017e-24,1.5865692535176424e-35,2.2918155204810425e-52,1.0047910509202688e-53,9.8480176276190395e-66,1.6072630700435945e-33,1.4046602132228085e-49,1.7455520962784111e-23,2.0239262570391516e-33,2.3514070561242165e-47,7.313152941744035e-48,7.6992005628818234e-31,2.3736647611633424e-47,1.9907586020289063e-48,7.81544568676287e-47,5.3854683023635492e-37,5.4010361188180713e-58,3.1061766159636245e-30,1.3966851734708727e-56,2.896093595439886e-23,3.7767166614052262e-52,1.1341293372025681e-69,2.4425208581033766e-53,1.1014638614372277e-81,2.4333032210481273e-41,3.8042177545830877e-36,1.9672132052017407e-34,8.5572619880781047e-34,8.7745166282933578e-37,1.2994825100731249e-29,5.2555778881309944e-50,1.8268814420266828e-55,8.8422108497531973e-48,2.0602151771612025e-46,4.9837569400059529e-41,1.7714226893944069e-34,5.59547851914298e-54,2.1776863881713047e-60,1.0323205277637677e-59,3.3265666362254305e-75,4.13093308612434e-78,8.7849400959571093e-71,1.0373891858161691e-113,3.0242586628535053e-101,1.9639919650105603e-60,1.5979199602065475e-45,2.8016858668552093e-53,1.8744196723384406e-50,5.134954925187344e-63,8.9559465729188511e-47,6.6109247616028988e-57,8.5020822247351398e-76,7.4847357098757499e-40,2.2159076403907718e-34,2.3584345846755944e-39,1.0859786387383881e-49,2.6786403476818776e-69,2.5488869399397401e-86,3.552197950079245e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.1678698648017429e-23,2.8960932303687607e-23,3.1678712337264898e-23,2.0408793120461126e-24,1.7139710850052522e-24,8.5698554231093329e-25,1.8840466860134773e-29,1.7219031769456419e-29,3.9650937197707494e-30,3.3224490969754788e-30,5.1503561395656362e-30,1.6580632665036454e-30,3.2040518441674095e-33,1.9661000338364133e-32,8.7806435446548812e-33,1.5588603505532647e-32,2.8116084551118631e-32,5.0628821222087534e-32,1.7455512482519183e-23,1.1250845759213886e-25,1.0049836143261047e-30,1.0524596495231285e-29,1.6630725865931689e-36,5.4674471737979912e-39,6.7784645133627393e-32,7.8526761783434885e-38,5.3253875953800999e-32,7.5699748038617908e-33,1.2522870853026249e-38,1.5487486613309983e-41,4.1837562593167923e-43,5.4509905150311359e-43
1.5e-14,0.0021744868191994147,4.0903401365245568e-27,3.9147555331480189e-35,1.0910552391416803e-32,1.4546841432805389e-34,8.9608948327007976e-40,0.0,0.0,9.9077915945900386e-24,7.0189834047660485e-35,2.1330709767746252e-51,9.344819184689057e-53,1.8936512569306507e-64,7.1105362045011988e-33,1.3063595666338478e-48,3.6622360358502144e-23,8.9538482489953814e-33,1.0402716324767167e-46,3.2353131972154252e-47,3.4061247949289439e-30,2.2075523743451768e-46,8.8067215291883581e-48,7.2684970550446156e-46,2.3825307258580586e-36,5.0232483234805761e-57,1.374172301730508e-29,1.337337434966645e-55,6.0761147673629359e-23,3.5124123602192844e-51,1.054765169557426e-68,2.2715898318396072e-52,2.1183988076454269e-80,2.2630172924082562e-40,1.6824337124661009e-35,8.702947295420304e-34,3.7861407318912404e-33,3.8818396824697189e-36,5.7489080295162362e-29,4.887785079493506e-49,1.6990292920753771e-54,8.22341282038881e-47,1.9160355099363977e-45,4.6349599658271149e-40,7.8367238493856748e-34,5.2040994180408074e-53,4.1882548994665208e-59,1.9854230117529493e-58,1.3050873357625833e-73,1.1413935290933238e-76,1.6895727439023429e-69,4.0721195672816215e-112,2.3989486480594922e-99,3.5219805091897163e-59,1.4860915807301897e-44,5.3883736072699263e-52,1.7434180682390226e-49,9.8756117529941393e-62,8.327450686724098e-46,1.2715764904576423e-55,3.3271611091583999e-74,6.9609417226526024e-39,9.7990737201593863e-34,1.0433712117951861e-38,1.0097550301187655e-48,5.150429292004677e-68,1.9356321799312841e-84,1.3935348354717633e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.6463108058266691e-23,6.0761131522899829e-23,6.6463168619452821e-23,4.2818356030921909e-24,3.595970818031925e-24,1.7979854081679697e-24,8.3350176982237395e-29,7.6176952338562666e-29,1.7541540860679485e-29,1.4698486724787289e-29,2.2785172491901683e-29,7.3352577212563426e-30,1.417482778984225e-32,8.6980211005289986e-32,3.884554231799063e-32,6.896393943889431e-32,1.2438552977563251e-31,2.2398167374689713e-31,3.6622322841840562e-23,2.3604700220520501e-25,4.4460365470640835e-30,4.6560785008777171e-29,1.546685085495607e-35,5.0848622337947962e-38,2.9987909882235223e-31,7.3031288018818924e-37,2.3559454581918901e-31,3.3489598545588712e-32,1.1646513775035529e-37,1.4403644514548121e-40,3.8913172473471811e-42,5.0704357816085732e-42
3.1e-14,0.0021744868191994147,8.3718320222159938e-27,1.2285097075563899e-34,4.5480430863633498e-32,6.0633849579975313e-34,7.5635006758883246e-39,0.0,0.0,2.027857086999518e-23,2.9256349685542985e-34,1.8030270456016559e-50,7.8871783628491136e-52,3.218355814785069e-63,2.9637984945438689e-32,1.1025640622110978e-47,7.4956017110437809e-23,3.732118155674484e-32,4.3361310234145012e-46,1.348513795753012e-46,1.4197306944650142e-29,1.8631699986254561e-45,3.6704734211772547e-47,6.1345764651023698e-45,9.9307979938759577e-36,4.2399434519128649e-56,5.7277868081748991e-29,1.192378737024503e-54,1.2436147347765221e-22,2.9644620859075136e-50,8.902309967964719e-68,1.9172175019099435e-51,3.6017393318127196e-79,1.9099823521000058e-39,7.0081806726341947e-35,3.6275363172508322e-33,1.5784612392694278e-32,1.6180128932625552e-35,2.3962425526073686e-28,4.1252811264318734e-48,1.4339701475872702e-53,6.9405319536274385e-46,1.6171254765046687e-44,3.911853150624747e-39,3.2664417034043034e-33,4.3925821291821839e-52,7.1209550658723087e-58,3.3756671156988558e-57,4.4552604289904118e-72,3.1067084741495981e-75,2.8726497083014043e-68,1.3917495271140866e-110,1.6412277364635175e-97,6.0268698124523408e-58,1.2542523269745748e-43,9.1614415168282417e-51,1.471727885060161e-48,1.6789918749175777e-60,7.0254599567144719e-45,2.1623777520403472e-54,1.1301611734733914e-72,5.8750187483630338e-38,4.0810860500845137e-33,4.3489503140653162e-38,8.5185810948951655e-48,8.752531413712554e-67,1.3490311895694874e-82,4.7567050856906076e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3603179126049529e-22,1.2436140615874676e-22,1.3603204368966828e-22,8.7637197469283066e-24,7.3599464536132699e-24,3.6799732232721835e-24,3.4741761273772481e-28,3.1751840136034729e-28,7.3115912471953609e-29,6.1265615523044361e-29,9.4972529410221533e-29,3.0574512125145911e-29,5.9083977502465702e-32,3.6254817514054826e-31,1.6191476247715848e-31,2.8745332560229355e-31,5.1846025085473075e-31,9.3359261424474461e-31,7.4955860734727961e-23,4.8312361709287588e-25,1.853176283568973e-29,1.9407319130534578e-28,1.3053937106607198e-34,4.2916715296605603e-37,1.2499467472251083e-30,6.1638166971269969e-36,9.8199406598330294e-31,1.3959070501421658e-31,9.8296536372019973e-37,1.2156638453818004e-39,3.2848381866429133e-41,4.2809522225666554e-41
6.300000000000001e-14,0.0021744868191994147,1.6934859661825637e-26,4.2078776234728174e-34,1.8536239484114477e-31,2.4708694924433e-33,6.1911592045558957e-38,0.0,0.0,4.1020150088358366e-23,1.1922127948805512e-33,1.4801177224954928e-49,6.4555074442289764e-51,5.2758806778903701e-62,1.2077668483767292e-31,9.0238634676974638e-47,1.5162324245640912e-22,1.5208573874033935e-31,1.7670790982057901e-45,5.4950970890106752e-46,5.7854694238462549e-29,1.5249018567925819e-44,1.495477309932185e-46,5.0207777896091661e-44,4.0468510530751227e-35,3.4707051918907795e-55,2.3341026436473727e-28,1.0798813574551946e-53,2.5156173454914417e-22,2.4262368297948338e-49,7.2862455032548201e-67,1.5691367747486719e-50,5.9089902622167e-78,1.5632152970617666e-38,2.8522285961958816e-34,1.4782381254010224e-32,6.4350049707888641e-32,6.5934474603546447e-35,9.7648011837210127e-28,3.3763147408698708e-47,1.1736134764093993e-52,5.6804216103525694e-45,1.3235200811331842e-43,3.2015637861476916e-38,1.3310595495512987e-32,3.5956283794458918e-51,1.1682624250803478e-56,5.5381487383699468e-56,1.4635871894731384e-70,8.9171845182104276e-74,4.712876996483854e-67,4.5826980296642805e-109,1.0789592541929408e-95,9.9597032281153108e-57,1.0265263174010077e-42,1.5030309388723132e-49,1.2049945412897326e-47,2.7542903215412423e-59,5.7452372685803542e-44,3.5489586182964707e-53,3.6760991021789002e-71,4.8083741536941559e-37,1.660360721906587e-32,1.7722191935523329e-37,6.9659062181719087e-47,1.4345216789580539e-65,8.9637632868938196e-81,1.5622886421215987e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.7516861519400438e-22,2.5156146022208217e-22,2.7516964385361753e-22,1.7727374283067481e-23,1.4887802404128144e-23,7.4439011876614129e-24,1.4157424102222175e-27,1.2939017800905013e-27,2.9794907549018158e-28,2.496588482023185e-28,3.8701800464970365e-28,1.245918576460483e-28,2.4077718801102528e-31,1.4773998700556984e-30,6.5980980226520871e-31,1.171385081053901e-30,2.1127517676804217e-30,3.8044252287369356e-30,1.5162260521892875e-22,9.7727494952095269e-25,7.5517213357881186e-29,7.9085680218237132e-28,1.0683836672705838e-33,3.5125902415669134e-36,5.093589451373402e-30,5.0447274339724687e-35,4.0016392904076738e-30,5.6884167825581355e-31,8.0450589295783952e-36,9.9495214677935482e-39,2.6893956883456324e-40,3.5061950987474585e-40
1.2700000000000001e-13,0.0021744868191994147,3.4061090411297201e-26,1.5387840800049103e-33,7.482391776991088e-31,9.9711334591416272e-33,5.0067773154012605e-37,0.0,0.0,8.2503391194802159e-23,4.8111229067744714e-33,1.203816137897535e-48,5.2195938987947085e-50,8.5249106604195152e-61,4.8739082571023971e-31,7.2955584347264628e-46,3.0495734051756379e-22,6.1373388156312167e-31,7.1316283149284762e-45,2.2173831212128614e-45,2.3346901924376442e-28,1.2328475630955544e-43,6.0328268878785326e-46,4.0591257244706803e-43,1.6330848835818037e-34,2.8068669072010884e-54,9.4191465840546313e-28,1.0412458749602688e-52,5.059606945555046e-22,1.9615367109342995e-48,5.8910792551917229e-66,1.2686104913310054e-49,9.5628334740832145e-77,1.263823265576887e-37,1.1480756739824907e-33,5.9653379635198213e-32,2.5989747289607383e-31,2.6607194928747633e-34,3.9405247363588666e-27,2.7296712175556765e-46,9.4881974420004568e-52,4.592454525578531e-44,1.07002231676436e-42,2.58827290838946e-37,5.3711594319287215e-32,2.9078579615405168e-50,1.8906714301501789e-55,8.962846217108708e-55,4.7393742790850462e-69,2.679330904036278e-72,7.6271853124480434e-66,1.4909008853040605e-107,6.9893119646894019e-94,1.6190248870471956e-55,8.2990638041895696e-42,2.4324698112403921e-48,9.7496048564767253e-47,4.4565965209744648e-58,4.6372979527032528e-43,5.7479013558295033e-52,1.1673936042165328e-69,3.887450884033807e-36,6.6785976865191962e-32,7.1516921108118116e-37,5.6219763782204492e-46,2.3170059077522317e-64,5.8416178343514464e-79,5.0568687319611768e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.534400931942833e-22,5.0595958753093213e-22,5.5344424427686817e-22,3.5654228361142157e-23,2.9943133032487887e-23,1.497156645812489e-23,5.7131346206465917e-27,5.2214548536385583e-27,1.202341164844573e-27,1.0074713014476508e-27,1.5617909171215841e-27,5.0277689355563269e-28,9.7169940925843809e-31,5.9619470902209934e-30,2.6626175519921484e-30,4.7270455321531082e-30,8.5258931172843666e-30,1.5352451727016118e-29,3.0495476899261306e-22,1.9655700250406884e-24,3.0474023630827593e-28,3.1914486668120045e-27,8.6374860413263161e-33,2.8399989142222771e-35,2.0554844035393515e-29,4.0785177495266015e-34,1.6148102181823019e-29,2.2955492603464051e-30,6.504290401360078e-35,8.0439293242691972e-38,2.1758277486664e-39,2.838671856931233e-39
2.55e-13,0.0021744868191994147,6.831425377001136e-26,5.8632907843964919e-33,3.0075833230421422e-30,4.005677838571508e-32,4.0279608869541213e-36,0.0,0.0,1.6547020408260623e-22,1.9327418203232979e-32,9.7948655762999142e-48,4.197647516755879e-49,1.3671280886670868e-59,1.9579781849275935e-30,5.8660682321610785e-45,6.1162412612321985e-22,2.4655020105164216e-30,2.8654720594846198e-44,8.9066324512007775e-45,9.3789153849955364e-28,9.9129042392724021e-43,2.4218384600040199e-45,3.2637137660976821e-42,6.5604538103653826e-34,2.2583261245119976e-53,3.7838752672830332e-27,1.1080814653992394e-51,1.0147523660984615e-21,1.5771735851209428e-47,4.7373295417171817e-65,1.020046214740701e-48,1.5383552642649346e-75,1.0161972131777514e-36,4.5887326269017473e-33,2.3963950214027706e-31,1.0457861798910658e-30,1.0688437499853505e-33,1.5829872252633866e-26,2.1948342210865027e-45,7.6288226904133561e-51,3.6925807959464712e-43,8.6034768011292793e-42,2.0809538190777475e-36,2.1575020418570806e-31,2.3395178821980461e-49,3.0415207097629108e-54,1.441889613419029e-53,1.5251445464003599e-67,8.2874565110782232e-71,1.2269986773265539e-64,4.8425179027819248e-106,4.4987572196955009e-92,2.6119469849462499e-54,6.6727321252046776e-41,3.9131810906661963e-47,7.851284057924556e-46,7.1666133580577546e-57,3.7165686058258749e-42,9.2606841003604303e-51,3.6169038618357914e-68,3.1257539680735511e-35,2.665663162013169e-31,2.8729866105101035e-36,4.5047948719763348e-45,3.7127612411642415e-63,3.7757262568029553e-77,1.6259353418604721e-62,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.1099743698643106e-21,1.0147479190022497e-21,1.1099910455150077e-21,7.1506116635900089e-23,6.005226927789317e-23,3.0026134405484256e-23,2.295075279795484e-26,2.0975581413785491e-26,4.8299330749048526e-27,4.0471208640581289e-27,6.2740559210179179e-27,2.019708331057614e-27,3.903976260035374e-30,2.3950262965853674e-29,1.0696233912051605e-29,1.898943425977998e-29,3.4250329220241551e-29,6.1673296510105549e-29,6.1161379585374366e-22,3.9421298191556237e-24,1.2241638125633555e-27,1.2820646566968766e-26,6.9448704869621417e-32,2.2837895532446801e-34,8.2572746283866401e-29,3.2793533337286528e-33,6.4868019500843511e-29,9.2218717137718745e-30,5.229953933020412e-34,6.4678048469597789e-37,1.7519430340447738e-38,2.2889023210188698e-38
5.11e-13,0.0021744868191994147,1.3682338775662664e-25,2.2866545505647157e-32,1.2069542988422041e-29,1.6057100885817832e-31,3.233819611830543e-35,0.0,0.0,3.314051525262554e-22,7.7474141155651654e-32,8.0404954753578583e-47,3.3676697616612934e-48,2.1795431904285161e-58,7.8486839422607439e-30,4.7044540523620637e-44,1.2249520553199028e-21,9.8828914778516293e-30,1.1490506274379687e-43,3.5693347509612343e-44,3.7594773954341189e-27,7.9500357961337114e-42,9.6944352833444197e-45,2.6173168375283707e-41,2.6297367226570513e-33,1.8134337421475031e-52,1.5167551087884991e-26,1.3243938741330972e-50,2.0323107159191449e-21,1.2648258059462354e-46,3.8001093378569064e-64,8.1806547081234417e-48,2.467686339800188e-74,8.1497900435972227e-36,1.8209375791854153e-32,9.605793840352022e-31,4.2055583416450517e-30,4.2842285113449163e-33,6.3453014126750939e-26,1.7602306982138825e-44,6.1177292510779938e-50,2.9613204449498588e-42,6.8995603782158636e-41,1.6686003053283303e-35,8.6466068782496969e-31,1.8785265067055186e-48,4.8790292845032661e-53,2.3131157385353077e-52,4.8935258355496713e-66,2.6054605209172422e-69,1.968325417709823e-63,1.5826198274854499e-104,2.8869760837940394e-90,4.2002666768859774e-53,5.3510373221683757e-40,6.2775204223778124e-46,6.3154894095370473e-45,1.1487582796314561e-55,2.9614671256452922e-41,1.4899749192515347e-49,1.0800605229107052e-66,2.5067998351666746e-34,1.054921748576883e-30,1.1516256469318959e-35,3.5880456243539888e-44,5.9095588108315594e-62,2.4334626871006153e-75,5.2078707594973008e-61,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.2230082069736088e-21,2.0322928903585378e-21,2.2230750496396768e-21,1.43202614423157e-22,1.2026444235830748e-22,6.0132220243438479e-23,9.1996230569869525e-26,8.407891740737701e-26,1.9359585325029329e-26,1.6221884316360549e-26,2.5149393291325065e-26,8.0954965919132916e-27,1.565257261667951e-29,9.6002549432585819e-29,4.2874911543830188e-29,7.6117523583027063e-29,1.3729117618751585e-28,2.4720892732728205e-28,1.2249106475720688e-21,7.895127983056414e-24,4.9066734558534494e-27,5.1390423869631482e-26,5.5693287145931989e-31,1.8319641722637254e-33,3.3098625423036027e-28,2.6299351395346514e-32,2.6000223627424878e-28,3.6966823619244715e-29,4.1944870268174848e-33,5.187037048290763e-36,1.4089431455360864e-37,1.8459764815385071e-37
