Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145),S(1948),S(2148),C3H5O(566),S(107),S(302),S(1465),S(301),S(2417),S(2921),S(663),S(3198),S(235),S(213)
0.0,0.00280535069413824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00280535069413824,4.4911779966295052e-34,1.3597394146177665e-43,1.2717301033669305e-40,3.1104992474692271e-43,5.9924190638491301e-49,0.0,0.0,1.4006856539182038e-28,7.228354106917226e-42,8.3885047609211544e-64,2.7553348693595761e-65,3.9932564114510769e-79,7.1976275295779e-41,5.1265160059630719e-60,1.8678349718243885e-29,6.0557826131329177e-41,4.0301379200530631e-58,2.2328389632926334e-59,1.1562965889156352e-37,4.940347231621496e-57,2.228233280097322e-59,2.0987102145515872e-57,1.9943899499873708e-45,3.6540580868598856e-71,5.7748557138122457e-37,4.522027790713414e-69,4.2913515656171268e-29,3.1136248727066348e-63,3.0774160248372841e-85,2.8866059323088777e-65,2.9847823749513254e-99,7.8571480884125831e-50,1.4572104242558261e-43,6.9605734577524161e-42,5.5182239945863736e-41,4.2620553995745408e-45,3.7448202969977815e-36,4.7200557742881996e-61,3.7354614083245454e-68,1.5502327106731295e-58,1.2879037391233379e-56,3.4216166038295214e-49,3.002415212444228e-41,9.8929323085858661e-65,2.3178616544393253e-72,1.5093992919486811e-71,4.7286937729495289e-90,8.5554656805860621e-95,4.4981871476830826e-86,1.5172257178064824e-138,3.1664337933392799e-121,-5.9103580416547623e-75,9.8582257262814917e-56,6.0293650257977196e-64,8.4920146130477045e-61,1.6534888976516129e-75,1.6398031814870703e-56,7.635573987465428e-68,1.0750201373126803e-90,5.1082218978020091e-48,8.8800679027796679e-42,2.9221308275125154e-47,1.7052520542872879e-59,1.8786793209339001e-83,3.6032569032225765e-79,9.1118586216083148e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.0271867758186593e-29,4.2913515244717842e-29,4.027187074264101e-29,6.0587595835084807e-29,5.1934678876415355e-29,2.5967339409429233e-29,4.0578934271339368e-36,4.2684657416793489e-36,1.7059850844050525e-35,1.4632208971421962e-35,1.0746902209712714e-36,7.3328602421938935e-36,1.3065303322015619e-38,9.7447171377852366e-40,2.9465815790915457e-40,7.9931454998888851e-40,1.8084877559303054e-39,9.197706248120147e-39,1.8678348407221877e-29,1.5793610706928247e-30,3.4119201387086407e-38,1.8540225566069916e-36,9.493102573332819e-45,3.6797186174655503e-45,1.5665918328043054e-37,2.4753530255391353e-45,7.2505668712338105e-39,1.857202721695635e-39,5.1638233932641167e-46,6.4995211653838553e-49,1.0085758344312e-50,1.8488458780768192e-50,4.8758634215046359e-55,3.4852822849634961e-56,4.1374728250512772e-70,2.2525185882281512e-64,5.728956393045045e-69,3.7579814132836227e-69,9.3560929826589883e-73,5.2933772103040696e-74,1.8018972616518676e-73,2.3363598762766503e-46,2.4979516255941723e-48,2.723985366624421e-46,1.1500440289353459e-80,5.0509426558479695e-83,1.9087710601076066e-47,4.9591778606129611e-86,2.2667277929158597e-39,2.2059903740623973e-39
3.0000000000000002e-15,0.00280535069413824,1.4756726912477995e-33,5.1501865250932853e-43,8.3571013511453362e-40,2.0440423150012521e-42,5.650003511683729e-48,0.0,0.0,4.6022528667614338e-28,4.7500612720043197e-41,7.911733653653924e-63,2.5978893069472599e-64,4.9059469694033919e-78,4.7298696768119998e-40,4.8335720940632026e-59,6.1371718605666827e-29,3.9795142351451969e-40,2.6483794288566834e-57,1.4672933393042576e-58,7.5985201445210043e-37,4.65804163105714e-56,1.4642629522273102e-58,1.9787837623444204e-56,1.31059909203873e-44,3.4453751721994282e-70,3.7949051323539369e-36,4.5425101395782335e-68,1.4100153875994998e-28,2.9357032120771354e-62,2.9015653512226657e-84,2.7216569905333617e-64,3.6670177652504697e-98,7.4081681282452241e-49,9.5757332377027243e-43,4.5740909505122363e-41,3.6262791463583617e-40,2.8007791175597746e-44,2.4608818132212273e-35,4.4503381936715261e-60,3.5220059435036233e-67,1.4616480041184131e-57,1.2143091782786349e-55,3.2260954558266019e-48,1.9730155362287749e-40,9.3276311837201228e-64,2.8476583201101564e-71,1.854404734765092e-70,7.1605928026986206e-89,1.2046919383606136e-93,5.5263440393774201e-85,2.2982614032010576e-137,5.6995803141849371e-120,3.4955824273175358e-73,9.2948975404627817e-55,7.407505314998916e-63,8.0067835529085939e-60,2.0314287862030424e-74,1.5460781121223283e-55,9.3808722447503112e-67,1.627829587879825e-89,4.816323372370635e-47,5.8352949051515268e-41,1.9202573321707224e-46,1.6077857175312659e-58,2.3080602125145368e-82,5.456371874944007e-78,1.3797944513989863e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3232183783995486e-28,1.4100153605611343e-28,1.3232185745208289e-28,1.990734731069777e-28,1.7064246822267751e-28,8.5321233922224493e-29,2.6666155635297615e-35,2.8049916516638527e-35,1.1210757752298871e-34,9.615450430927522e-35,7.0622499457272894e-36,4.8187361369577236e-35,8.5857692162993459e-38,6.4036708849767737e-39,1.9363249071203208e-39,5.2526381608954524e-39,1.1884347818018691e-38,6.0442060220868541e-38,6.1371709990379858e-29,5.1893287215720592e-30,2.2421185783625032e-37,1.2183576264868852e-35,8.9506385393372169e-44,3.4694485486252333e-44,1.0294745889171505e-36,2.3339040278402579e-44,4.764657692464836e-38,1.2204473296240167e-38,4.8687472888933307e-45,6.1281186762662872e-48,9.5094401473405554e-50,1.7432032080984007e-49,5.9903459147868152e-54,4.28191787905144e-55,6.2652631647974522e-69,2.7673761457555021e-63,8.6750088755251856e-68,5.6906359877833586e-68,1.6840529018830671e-71,9.5280483592525034e-73,2.2137356373008152e-72,2.2028534094002758e-45,2.3552114624351679e-47,2.5683288406037656e-45,2.3986093680218931e-79,1.0534588570319911e-81,1.2543351921580293e-46,1.0343196332462242e-84,1.4895638230304175e-38,1.4496506526924744e-38
7e-15,0.00280535069413824,3.2721432848168909e-33,1.5811532176709206e-42,4.5419658948431689e-39,1.1108923940866626e-41,9.1257359800733635e-47,0.0,0.0,1.020499551218081e-27,2.5815550453019876e-40,1.2816724584988093e-61,4.1959852248942251e-63,2.4811700194538762e-76,2.5705819025092685e-39,7.8069492162977387e-58,1.3608510296144085e-28,2.1627792864715205e-39,1.4393360714463849e-56,7.9743907368251917e-58,4.1296294632466508e-36,7.5234423396440682e-55,7.9577864698026284e-58,3.1960333085164478e-55,7.122820517473747e-44,5.5648367280158366e-69,2.0624482611044295e-35,1.146581800214194e-66,3.1265550434166728e-28,4.7416019477504121e-61,4.6864573664543006e-83,4.3958879477344209e-63,1.854825211433554e-96,1.1965312949361003e-47,5.2034214948044701e-42,2.4859183622735109e-40,1.9708663382865015e-39,1.5221620510328252e-43,1.3374354277198741e-34,7.1879688804711365e-59,5.6885654308821445e-66,2.360783281152978e-56,1.9612923991613199e-54,5.2106300141899903e-47,1.0722904340933447e-39,1.5065675217064393e-62,1.4403835890940913e-69,9.3798312457182103e-69,1.1825771149585183e-86,1.5419879934454273e-91,2.7953008907770548e-83,3.7967573907517016e-135,3.1732135981349182e-117,6.7446946450942245e-72,1.5012653019209796e-53,3.7468177993239052e-61,1.29325670050019e-58,1.0275224089919698e-72,2.4968243059600993e-54,4.7451230082199134e-65,2.6869446980493074e-87,7.779090048893524e-46,3.1707255613289568e-40,1.0436178721175216e-45,2.5964717246626571e-57,1.1672576710003876e-80,9.0115313358934134e-76,2.2787118931144192e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.9340920659749104e-28,3.1265548964691094e-28,2.9340931318510486e-28,4.4142342742523229e-28,3.7838081576977069e-28,1.8919040685709541e-28,1.4492471745423072e-34,1.5244515551258626e-34,6.0927982678107378e-34,5.2257841086037715e-34,3.8381790431950149e-35,2.6188762359309737e-34,4.6661734821442777e-37,3.4802545824931557e-38,1.0523500312424856e-38,2.854693554712363e-38,6.4588836496965778e-38,3.2848912494866671e-37,1.3608505613924647e-28,1.1506769096346107e-29,1.2185413973615252e-36,6.6215069451191126e-35,1.4456622152290304e-42,5.6036786613211081e-43,5.594969033448193e-36,3.769604875500832e-43,2.5894859765107289e-37,6.6328597964596965e-38,7.8637574261179628e-44,9.8978212197591254e-47,1.5359347313314599e-48,2.8156211855452914e-48,3.0299970615135354e-52,2.1658516445994009e-53,1.0345838129411363e-66,1.3997541890693132e-61,1.4320252037081081e-65,9.3976077650100145e-66,9.3715339943772674e-69,5.304398398677047e-70,1.1195935424878891e-70,3.5579392351059879e-44,3.8040223217485969e-46,4.1482369707732088e-44,4.6101662665933433e-76,2.0247731521208883e-78,6.8170364031485998e-46,1.9879816527514108e-81,8.0954500722817153e-38,7.8785303366485655e-38
1.5e-14,0.00280535069413824,6.8650829317452773e-33,5.0427567060214962e-42,2.0094119784190316e-38,4.9145867137565434e-41,8.4872868895937068e-46,0.0,0.0,2.1410480878738014e-27,1.1420799565753762e-39,1.1975354589902347e-60,3.9023469882683744e-62,4.7710051982969009e-75,1.1372258423726767e-38,7.2606062139253779e-57,2.8551183472012337e-28,9.5681341732708463e-39,6.367624975046099e-56,3.527848719642064e-57,1.8269473028316221e-35,6.9969415679074207e-54,3.520403984218557e-57,2.9723676081243508e-54,3.1511353303313845e-43,5.1755771358395056e-68,9.1242697814141753e-35,1.6688807891412815e-65,6.5596318848685528e-28,4.4097736017522976e-60,4.3584798663352535e-82,4.0882575884125958e-62,3.5673090275782419e-95,1.1127964033553782e-46,2.3014196601494482e-41,1.0997698185910763e-39,8.7195714368156544e-39,6.7340411447493364e-43,5.916811831093834e-34,6.6849435887430038e-58,5.2904611888738652e-65,2.1955731709187562e-55,1.8240374005918287e-53,4.8459793700069643e-46,4.743808337214177e-39,1.4011561361951919e-61,2.7702334627554576e-68,1.8039876019686072e-67,4.6395223887089332e-85,5.6543904498970675e-90,5.3760996134855873e-82,1.4903348067074701e-133,2.5171084674523526e-115,1.2095563275716142e-70,1.3962027336580404e-52,7.2061161223132361e-60,1.202811103685001e-57,1.9761896929132844e-71,2.3216177796872308e-53,9.1265493902244883e-64,1.0533375425691023e-85,7.2346968587650625e-45,1.4022659539047714e-39,4.6169636790134787e-45,2.4142629929460726e-56,2.2443935231984476e-79,3.5355984843072055e-74,8.9397478730635011e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.1558368377592146e-28,6.5596312347731084e-28,6.1558415531924167e-28,9.2612224400853074e-28,7.9385657424472508e-28,3.9692828257543722e-28,6.4114664552259835e-34,6.7441705236520661e-34,2.6954503831948877e-33,2.3118838257781954e-33,1.6980102065113422e-34,1.1585893039395042e-33,2.0643111508054101e-36,1.5396636474801339e-37,4.6555931447404952e-38,1.2629156217179569e-37,2.8574093667279851e-37,1.4532334432088599e-36,2.8551162757886392e-28,2.4141639898274183e-29,5.3908175274022116e-36,2.9293532802559878e-34,1.3444907585908235e-41,5.2115169235865129e-42,2.4752131550538417e-35,3.5057977846843445e-42,1.1455871998166381e-36,2.9343726723677392e-37,7.3134315334851358e-43,9.2051317899821596e-46,1.4284715588625652e-47,2.6187029288134003e-47,5.8274753261415611e-51,4.1654990486804871e-52,4.0581757339253993e-65,2.6920302476347118e-60,5.6144135781913606e-64,3.6866023130150598e-64,7.4289372923891908e-67,4.2073075121470672e-68,2.1528569642898498e-69,3.3089461753484212e-43,3.5378106112478693e-45,3.857933472141772e-43,7.3513758047819785e-74,3.2287234148936145e-76,3.0158549317801259e-45,3.1700431038009249e-79,3.581423079070961e-37,3.4854575443164016e-37
3.1e-14,0.00280535069413824,1.4050956064767729e-32,1.7283296083587955e-41,8.3759545667263595e-38,2.048484050409229e-40,7.1635566155076608e-45,0.0,0.0,4.3821451914725798e-27,4.7603875593732465e-39,1.0199296655429525e-59,3.2935785886289166e-61,8.1086437905887213e-74,4.7401580584526843e-38,6.1279349010086996e-56,5.8436515042609951e-28,3.9881632922807166e-38,2.6541389809300612e-55,1.4704508750668295e-56,7.6150272261378309e-35,5.9054057982523664e-53,1.4672671255025545e-56,2.5086679400864997e-53,1.313447528775184e-42,4.3684929758185562e-67,3.8031529607763574e-34,2.4076434843043581e-64,1.3425775687056662e-27,3.7218332309804244e-59,3.678528525522179e-81,3.4504816835242105e-61,6.0652097070231232e-94,9.3919811993933729e-46,9.5880431529697908e-41,4.5840277347518215e-39,3.6348421732716603e-38,2.806862180314412e-42,2.466227848402022e-33,5.6420777396023808e-57,4.4651218226137482e-64,1.8530609209322282e-54,1.5394824207930125e-52,4.0899916322839837e-45,1.9772979652099397e-38,1.1826068013739769e-60,4.7100159346269699e-67,3.06718647835469e-66,1.583826852092767e-83,1.8651639161995256e-88,9.1405930895033432e-81,5.0933980615418348e-132,1.7220709229157695e-113,2.069949630015589e-69,1.1783892669976784e-51,1.2252034220411439e-58,1.0152668854552704e-56,3.3599506471943252e-70,1.95865354249876e-52,1.5518650379157176e-62,3.5903540871851671e-84,6.1060677711360848e-44,5.8411187917031487e-39,1.9244291550901747e-44,2.036798308699104e-55,3.8141312802391783e-78,1.2070857685987424e-72,3.0517142577642535e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.2599315967878979e-27,1.3425772977350716e-27,1.2599335622600056e-27,1.8955155089819845e-27,1.6248043447346092e-27,8.1240215341503928e-28,2.6724080398055855e-33,2.8110847805586083e-33,1.1235076033101025e-32,9.6363081628208546e-33,7.0775996654498832e-34,4.8291887780660011e-33,8.6043746670094244e-36,6.41757738307612e-37,1.9405292783308477e-37,5.2640449775671822e-37,1.1910172091417361e-36,6.0573093454140341e-36,5.8436428702641835e-28,4.9411341711711427e-29,2.2469784958503316e-35,1.2210041660165851e-33,1.1347443419767918e-40,4.3984963441846147e-41,1.0317108792035569e-34,2.9588785970043611e-41,4.7749949457084413e-36,1.2230938024842459e-36,6.1725071512191921e-42,7.7690705415291308e-45,1.2056665556791721e-46,2.2103839784091819e-46,9.9080116253339871e-50,7.0822833504634475e-51,1.3848702969847624e-63,4.5768436952254138e-59,1.9140934544574582e-62,1.258321274870421e-62,5.0758085833548488e-65,2.8779590851549054e-66,3.6589487116371401e-68,2.7927384898911309e-42,2.9859039295123659e-44,3.2560817676094268e-42,1.0056143040005627e-71,4.4167062805234468e-74,1.2570590828997643e-44,4.3364016518153245e-77,1.4927960265528491e-36,1.452795727157827e-36
6.300000000000001e-14,0.00280535069413824,2.8422677687514175e-32,6.3033664192306807e-41,3.4135521269170325e-37,8.3476754072903865e-40,5.8634691345429873e-44,0.0,0.0,8.86433951981914e-27,1.9398837759862872e-38,8.4979570648231334e-59,2.6956209912901731e-60,1.3292832164433231e-72,1.9316428104762186e-37,5.0153718848174689e-55,1.1820711905930801e-27,1.6251972498486193e-37,1.0815779925486386e-54,5.9920232394766495e-56,3.1031597860418256e-34,4.8332495820464911e-52,5.9783945915152947e-56,2.053198705097202e-52,5.3523668213738222e-42,3.575890030907764e-66,1.5498045790298551e-33,3.6020825427520833e-63,2.7158023768684014e-27,3.0461032753617327e-58,3.0106399247314024e-80,2.824029011556739e-60,9.9505682226704288e-93,7.6868197064815751e-45,3.9033902648899261e-40,1.8680130858915332e-38,1.4815205374486769e-37,1.1438090668678457e-41,1.0049995680582151e-32,4.6177262462775532e-56,3.6544275674633116e-63,1.5166303337655763e-53,1.2599787041295484e-51,3.3474231691388696e-44,8.0575663836821198e-38,9.6795342945833676e-60,7.727273211198866e-66,5.0320543648050061e-65,5.2030142794271574e-82,6.0210066122623002e-87,1.4996171232862601e-79,1.6770059122000294e-130,1.1321126491445744e-111,3.4211447610559221e-68,9.644414134277851e-51,2.0100828976985271e-57,8.3109737424794545e-56,5.5123060351901987e-69,1.6017659883408976e-51,2.546479794353515e-61,1.1758699159268821e-82,4.9974753742028721e-43,2.3772328825879471e-38,7.8421413460971164e-44,1.6656455302273867e-54,6.2514630608992237e-77,3.9661283084410212e-71,1.0024423909764147e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.5486232574457776e-27,2.7158012726523704e-27,2.5486312668324495e-27,3.8342845663139067e-27,3.2866849000094961e-27,1.6433423727740586e-27,1.0890187544393936e-32,1.1455302047304524e-32,4.5783307926551826e-32,3.9268275666510699e-32,2.8841589079032564e-33,1.9679104099360129e-32,3.5063028938221336e-35,2.615191104630635e-36,7.9077395962286866e-37,2.1451215377028263e-36,4.8534546893316409e-36,2.4683702297339281e-35,1.1820676722010618e-27,9.9950586177399683e-29,9.156495624540502e-35,4.97564898166807e-33,9.2872025978328555e-40,3.5999037271911157e-40,4.2042702059228602e-34,2.421665746508871e-40,1.9458270993879887e-35,4.9841437956704991e-36,5.0518318764422371e-41,6.3584851838166155e-44,9.8683569097063312e-46,1.8094098901185016e-45,1.6255132578336824e-48,1.1619239267969638e-49,4.5461576213387857e-62,7.5081048095706652e-58,6.2713678250229544e-61,4.1323837434760927e-61,3.3281696485226044e-63,1.8914106420457187e-64,5.9983418026865991e-67,2.2856929504603996e-41,2.44379521281612e-43,2.6649123025516965e-41,1.3191624984992063e-69,5.7939545871115759e-72,5.1225708818858203e-44,5.6885212818601623e-75,6.0831980849505684e-36,5.9201930835778583e-36
1.2700000000000001e-13,0.00280535069413824,5.7166022360124059e-32,2.3961123582634602e-40,1.3777678152706637e-36,3.3686576823771434e-39,4.7412723523925586e-43,0.0,0.0,1.7828728661105513e-26,7.8283079740919124e-38,7.1134658866461034e-58,2.1793606260416441e-59,2.1479718382760693e-71,7.7950733704454211e-37,4.0548033777183157e-54,2.3774809059518276e-27,6.5583979663572161e-37,4.3646718934280383e-54,2.4179361964533486e-55,1.2522610985320964e-33,3.9075706600887894e-51,2.4119086541587807e-55,1.6599509430571759e-51,2.1599194139170422e-41,2.8918644417514048e-65,6.2541548106127465e-33,5.5504105054133111e-62,5.4622361841853193e-27,2.4626841801332774e-57,2.4339792550630009e-79,2.2831617253004175e-59,1.610361313107224e-91,6.2146163260681747e-44,1.5721466474203597e-39,7.538252216442573e-38,5.9810368329854914e-37,4.6157664019381664e-41,4.0556141056817747e-32,3.7333188811232709e-55,2.9544736434446982e-62,1.2261637842304045e-52,1.0186589690962811e-50,2.7062984058261382e-43,3.2515679460485286e-37,7.8265665310097758e-59,1.2505624265968843e-64,8.1437969414808945e-64,1.6848492517493801e-80,1.9325821554970349e-85,2.4269662917831499e-78,5.4550349696518297e-129,7.3337119684387923e-110,5.5627914041961711e-67,7.7971998295091588e-50,3.2530956092927421e-56,6.7217638235486896e-55,8.9208347323646806e-68,1.2929208908150103e-50,4.1227166858973204e-60,3.7846608105853843e-81,4.0403353600526865e-42,9.5686616205581258e-38,3.1646489102039838e-43,1.3444408601720932e-53,1.0097788824885334e-75,1.284797892989696e-69,3.2456482660859539e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,5.125989917404959e-27,5.4622317282055395e-27,5.1260222387486213e-27,7.7117527917785054e-27,6.610386068821469e-27,3.3051927227564861e-27,4.3946665925853586e-32,4.6227152402194361e-32,1.8475443367333943e-31,1.5846360441803844e-31,1.1638873850896614e-32,7.941325559843042e-32,1.4149303522812842e-34,1.0553425725278582e-35,3.1911121998751013e-36,8.6564918084952625e-36,1.9585842565283841e-35,9.9608589486167927e-35,2.3774667077185501e-27,2.0102843846794694e-28,3.6950085050932325e-34,2.0078918022373825e-32,7.5083995633382218e-39,2.9104011799224042e-39,1.6966069224081836e-33,1.9578389867063391e-39,7.8522172444401958e-35,2.0113032562858364e-35,4.0842482491468547e-40,5.1405730186761915e-43,7.9793726546301944e-45,1.4634031007546365e-44,2.6306911167286485e-47,1.8804327813166194e-48,1.4700341347163725e-60,1.2148711424252019e-56,2.0201387662601553e-59,1.3373048291144724e-59,2.1447264883310264e-61,1.2244621949247523e-62,9.6928910544955484e-66,1.8479141600634653e-40,1.9757474729547847e-42,2.1545016363355528e-40,1.7004085823724352e-67,7.4687772116329474e-70,2.0671783309499128e-43,7.3326413267248882e-73,2.4548238320645738e-35,2.3890426471684462e-35
2.55e-13,0.00280535069413824,1.1465231741629813e-31,9.3307114479905262e-40,5.5367624953633134e-36,1.3532610492951409e-38,3.8135629640126106e-42,0.0,0.0,3.5757508882029144e-26,3.14480942827205e-37,6.1105410140860582e-57,1.7523715461321425e-58,3.444910948889729e-70,3.1314754046653671e-36,3.2603156935755147e-53,4.7682908768058517e-27,2.6346515642585283e-36,1.7534006508406082e-53,9.7124676913585249e-55,5.0305843734926648e-33,3.1419453742657202e-50,9.6840177994916906e-55,1.3346898314363069e-50,8.6768671930811483e-41,2.3266018579451271e-64,2.512430449646052e-32,8.7093147517858938e-61,1.0955040563512867e-26,1.9801289442661624e-56,1.9569941994599744e-78,1.8358122872684886e-58,2.590583727966426e-90,4.9969629483363966e-43,6.2913197701149214e-39,3.0282673213781518e-37,2.4046579734402875e-36,1.854242118078738e-40,1.6292216430888879e-31,3.0018257124180717e-54,2.3755173083884516e-61,9.8592194184997677e-52,8.19061637157192e-50,2.1760174024665525e-42,1.3062092754177758e-36,6.2945029821882712e-58,2.0118101969693471e-63,1.3101275287239769e-62,5.4219848286695778e-79,6.191732184977196e-84,3.9043960162114882e-77,1.7713235132784592e-127,4.720539461742438e-108,8.9790989501575438e-66,6.2693259125690496e-49,5.2334243983386338e-55,5.4087881016661762e-54,1.4350705441753657e-66,1.0362829753879286e-49,6.637293710872581e-59,1.2033574142040427e-79,3.2486840178068193e-41,3.8243700923275653e-37,1.2713037337351078e-42,1.0775082235263611e-52,1.6182402145148676e-74,4.1376504501748042e-68,1.0441640763667433e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.0280656592758705e-26,1.0955022663077863e-26,1.0280786433727106e-26,1.5466409695995869e-26,1.3257548648147706e-26,6.6287730721397463e-27,1.7654244025456361e-31,1.8570362504861648e-31,7.4218525005287431e-31,6.3657118461581021e-31,4.6755914874037749e-32,3.1901448509489467e-31,5.6839254968866672e-34,4.2395089814249152e-35,1.281927755433544e-35,3.4774749245219518e-35,7.8680455380803741e-35,4.0013986283047663e-34,4.7682338398268196e-27,4.0318159651704871e-28,1.4843276947897542e-33,8.0660980552283967e-32,6.0371065831573131e-38,2.3400942841022953e-38,6.815606526268846e-33,1.5741969792630457e-38,3.1543542991064906e-34,8.0796693989205514e-35,3.2839396844156683e-39,4.1331753105576137e-42,6.4176061491639577e-44,1.1775363383491747e-43,4.2320613296500713e-46,3.0251120149801662e-47,4.7171658404917495e-59,1.9536808515453961e-55,6.4333867628851973e-58,4.2980911693846296e-58,1.3662786464944296e-59,7.871623864815873e-61,1.5546205857197667e-64,1.4858198544511139e-39,1.5886244424095317e-41,1.7323322730168881e-39,2.1666522402951766e-65,9.5175305125674025e-68,8.3042406308641021e-43,9.3434763641626932e-71,9.8614124383359538e-35,9.5971440243692716e-35
5.11e-13,0.00280535069413824,2.2962333039235413e-31,3.6811894181913098e-39,2.2209521700558889e-35,5.4244926596263307e-38,3.060440701698541e-41,0.0,0.0,7.1615077077102961e-26,1.2605942879250559e-36,5.5274956534881034e-56,1.4054178660348945e-57,5.4926913227262445e-69,1.2552628329378633e-35,2.6147153277062794e-52,9.5498729793590938e-27,1.0560930190749408e-35,7.0285931492251138e-53,3.8924876502028538e-54,2.0164788716930309e-32,2.5198072670211459e-49,3.8776937347226918e-54,1.0703742746523061e-49,3.4780986595183358e-40,1.8680800068273648e-63,1.0071010124099678e-31,1.3809235722167196e-59,2.1940396386766107e-26,1.5879912717456167e-55,1.5693505634587579e-77,1.4723009082836431e-57,4.1556547399613064e-89,4.0075122468950426e-42,2.5025582870356915e-38,1.2138623588449521e-36,9.6543776931191626e-36,7.4325839667559348e-40,6.5306349015831225e-31,2.4074183188983396e-53,1.9050197064761867e-60,7.9070728429320183e-51,6.5686669508455588e-49,1.74510210939863e-41,5.2357724756469268e-36,5.0504119295408346e-57,3.2273309067670401e-62,2.101745265122535e-61,1.7397373856803841e-77,1.9823806016659484e-82,6.2636474678674156e-76,5.7861067377118111e-126,3.029434627892396e-106,1.4454623234560039e-64,5.0277112485659259e-48,8.3957098713252769e-54,4.3441894318513524e-53,2.3019822999497751e-65,8.2583258514579479e-49,1.0663261401397102e-57,3.7708889612195676e-78,2.6053897535440231e-40,1.5175213988401735e-36,5.0959485913913827e-42,8.5857697855110657e-52,2.5762346917029531e-73,1.3295772869893129e-66,3.3483169785001267e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.058972337210116e-26,2.1940324635019871e-26,2.0590243828756594e-26,3.0974605398258736e-26,2.6550914842832277e-26,1.3275452403464184e-26,7.0765837996619691e-31,7.4438052747815248e-31,2.9749204845468676e-30,2.5515848225313967e-30,1.8741998463876278e-31,1.2787137971857872e-30,2.2782592821005365e-33,1.6993698384700918e-34,5.1384797136774582e-35,1.3939150883436297e-34,3.1538731255389678e-34,1.6038731602775445e-33,9.5496443515403485e-27,8.0747772673787103e-28,5.9495844152824286e-33,3.2332405797463058e-31,4.8414660740550024e-37,1.8766335096662059e-37,2.7319906175997335e-32,1.2624331612156202e-37,1.2643722222031446e-33,3.2385738333235277e-34,2.6335791017248724e-38,3.3144657151357535e-41,5.1495191407700492e-43,9.4575648430363924e-43,6.7890554463449586e-45,4.8529069921398914e-46,1.5049774980243172e-57,3.1318032178352261e-54,2.0222056943907181e-56,1.3756210806955503e-56,8.5910280348989537e-58,5.0389318613222502e-59,2.478980714805741e-63,1.1915712056560197e-38,1.274048510505483e-40,1.3892648473161561e-38,2.7250111403729056e-63,1.1972395239209619e-65,3.3286798770270413e-42,1.1752001024146029e-68,3.9528000843863736e-34,3.8468599482565857e-34
