Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165)
0.0,0.002714845314533397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002714845314533397,4.1594747013893905e-30,9.1903743053355139e-39,4.8623637853823698e-37,-3.1348288465131322e-61,1.7101430540822551e-46,0.0,0.0,4.3242792302561093e-26,1.051475256335381e-38,1.7915963863676199e-58,5.34248638410621e-60,2.0779482633799777e-82,1.1271737706284539e-46,6.9569350007542814e-60,8.5104759135011969e-36,8.2356566669807287e-47,6.9430661287816151e-53,2.2040383450671903e-62,4.8232389673933538e-34,-3.0830115409407491e-83,6.1255433392030206e-53,1.5029222553242547e-61,1.3641797559531966e-50,2.4265941732873156e-73,2.3860138423929144e-43,7.0935492202935944e-62,1.3048569113937351e-25,3.9127922375089992e-57,3.8072394740011118e-77,1.387830379373076e-66,7.3080230327926355e-102,1.6116446190834329e-55,1.073315614354596e-57,6.5508850051935212e-38,4.856475714362148e-37,2.1207545814362164e-40,1.0179355928481441e-32,4.1765151435477195e-55,7.2022352496450936e-61,1.3865205100068629e-52,4.6614105813974377e-51,4.7921958793794864e-45,1.2860520730724798e-37,8.0738984319435631e-59,4.1431135497815673e-66,2.1511894625371761e-65,5.9153617177173731e-93,5.3271206455801108e-86,1.9444258620856747e-77,-9.1251907232850982e-141,0.0,-1.8857448090249067e-67,3.4023908290098908e-50,1.4138146711105172e-58,3.7402097668849449e-55,8.0327030507961042e-69,7.3175223567560806e-62,2.8982187459994841e-62,6.9127334878113432e-83,5.6188761295072841e-44,9.3881434457457817e-38,7.7448264512560309e-43,6.5072342697136672e-65,3.3510110254899567e-86,-2.0587556989131482e-94,4.5113769069928462e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.3640254127863374e-25,1.3048568886315672e-25,1.3640255470831034e-25,1.9064317185909228e-26,1.6121756089792893e-26,8.0608780448963431e-27,1.3421124781624062e-32,1.2896035521044516e-32
3.0000000000000002e-15,0.002714845314533397,1.3666844822467948e-29,3.2828399912919706e-38,3.1952874802333169e-36,5.8983423679572187e-59,1.6124275752404393e-45,0.0,0.0,1.4208346192404287e-25,6.9096945733769042e-38,1.6892840831841514e-57,5.0372079767019581e-59,3.1466072750574189e-81,1.0627638179761565e-45,6.5604204318821394e-59,5.5925983892319909e-35,7.7650476485728598e-46,4.562594030004597e-52,2.0780924459150031e-61,3.1695569248476431e-33,3.2370547807478292e-75,4.0253436624794078e-52,1.8464535854474234e-60,1.2862266153787667e-49,2.9812597584673272e-72,2.2496701750967998e-42,6.7111929782672964e-61,4.2873866453617802e-25,3.6892038166397003e-56,3.5896862918715144e-76,1.7050486160647065e-65,1.1066435235957563e-100,1.9800205190756672e-54,7.8221551115010433e-57,4.3048671366743687e-37,3.1914181630489915e-36,1.3936385980367156e-39,6.6892908017355597e-32,3.9378570751852515e-54,6.7906779032967417e-60,1.3072907205027669e-51,4.3950439412011698e-50,4.518355182257072e-44,8.4511968346086772e-37,7.6125437980049006e-58,5.0901103470221811e-65,2.6428897689438196e-64,7.2866302715128285e-92,8.0667822295097973e-85,2.3888658903669407e-76,4.614794285252685e-139,4.2039722613680576e-133,1.1152849972946369e-65,3.207968079206569e-49,1.7369722117134192e-57,3.5264986221599199e-54,9.8687415086780187e-68,8.9900988111813265e-61,3.5606804671469262e-61,1.0466965013641151e-81,5.2977973627212892e-43,6.1691516956885809e-37,5.0894572555793768e-42,7.9946010422471047e-64,5.0743673371101259e-85,1.099962935404823e-92,6.8314094577660339e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.4817973436097602e-25,4.2873864957818285e-25,4.4817982261313276e-25,6.2639899325231636e-26,5.2971484295132779e-26,2.6485742147566045e-26,8.8195959064206982e-32,8.4745372620828508e-32
7e-15,0.002714845314533397,3.0304738845766904e-29,8.9726250248104797e-38,1.7366394637984677e-35,3.2790136793737547e-58,2.604418173883048e-44,0.0,0.0,3.1505464262281533e-25,3.7552689021434858e-37,2.7294066767859871e-56,8.13595075149984e-58,5.1966494244124844e-79,1.716524251790396e-44,1.0611241518711001e-57,3.0394554050897526e-34,1.2541727497563404e-44,2.4796979583037877e-51,3.3564215658077512e-60,1.722584893156335e-32,3.0270032023164768e-73,2.1876394238718952e-51,9.3395949999015888e-59,2.077450693990954e-48,1.5079691560506751e-70,3.6335579082964481e-41,1.1179964397665524e-59,9.5068116186634423e-25,5.9586187961581494e-55,5.7979369843563915e-75,8.6243655716521057e-64,1.8276274680649962e-98,1.0015219281696797e-52,1.1714601505102425e-55,2.3396011655618403e-36,1.734536526737617e-35,7.5741183273225887e-39,3.6354832932904576e-31,6.3602349307368975e-53,1.0967958213109309e-58,2.1114719058280043e-50,7.0986571245962301e-49,7.2978144118423015e-43,4.593032907017814e-36,1.2295574365655357e-56,2.5746452826538649e-63,1.3368096593612427e-62,3.8020989492182938e-90,1.3322355546892807e-82,1.2083206755760624e-74,7.168026093596126e-136,3.0384843417837417e-130,2.1519478592952177e-64,5.181348334261494e-48,8.7858418334716599e-56,5.6960534990446787e-53,4.9916988622438914e-66,4.5473170629402276e-59,1.8011130252073178e-59,1.7264401923085053e-79,8.5567435006740454e-42,3.3520937337439505e-36,2.7660089300442138e-41,4.0437744770879298e-62,8.3798530133094532e-83,4.0156448854001407e-90,1.1279568548620583e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,9.9378956181608701e-25,9.5068108057293414e-25,9.9379004144723856e-25,1.3889716806964391e-25,1.1745850865506172e-25,5.8729254327530101e-26,4.7932573057025936e-31,4.6057254783910215e-31
1.5e-14,0.002714845314533397,6.3580514719347326e-29,2.5477809487357464e-37,7.6834084857929244e-35,2.708348753099486e-57,2.4223084705017311e-43,0.0,0.0,6.6099703326386281e-25,1.6613310448121616e-36,2.5397958975626778e-55,7.5667278750022609e-57,2.0387678989219314e-77,1.5963992643673041e-43,9.890787021440861e-57,1.3446548939291187e-33,1.1664040451192309e-43,1.0970384309831366e-50,3.1215166474459453e-59,7.6207126858580995e-32,1.3438854670347761e-71,9.6777688577701529e-51,1.7962484876450061e-57,1.932067870019554e-47,2.9002590452807617e-69,3.3792766127161132e-40,1.0894289800685e-58,1.9945654763122002e-24,5.5416209444562098e-54,5.3922627361439323e-74,1.6586911237347474e-62,7.1701903699427998e-97,1.926191211524344e-51,1.7562115392472108e-54,1.0350391594188447e-35,7.6741047447258141e-35,3.3507866496876419e-38,1.6083371930371865e-30,5.9151365147447332e-52,1.0200384311322401e-57,1.9637074919115696e-49,6.601877368753276e-48,6.7870841759821573e-42,2.0319512535042592e-35,1.1435352279657312e-55,4.9517132811363965e-62,2.5710358955535515e-61,7.6481125856969791e-89,5.2266703142751307e-81,2.3239171458404085e-73,1.1021047350305868e-133,8.6636576547231374e-128,3.859181366966717e-63,4.818742159551794e-47,1.6897479295019557e-54,5.2977631757265607e-52,9.6002173241367874e-65,8.7456919262583954e-58,3.4642215514861077e-58,6.7607964766367004e-78,7.957929168906088e-41,1.4824476169396605e-35,1.2236820214219212e-40,7.7772293382049069e-61,3.2873235108393762e-81,3.049384269058239e-88,4.4237796227621651e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,2.0850083572304228e-24,1.9945651166704632e-24,2.0850104791176511e-24,2.9141170556044215e-25,2.4643255737684754e-25,1.2321627868842216e-25,2.1205360479384468e-30,2.037572000320768e-30
3.1e-14,0.002714845314533397,1.3013201777446717e-28,7.8990617896827818e-37,3.2029976337489958e-34,2.2591338806702428e-56,2.0446740692755406e-42,0.0,0.0,1.3528819315198161e-24,6.9247168716410579e-36,2.1458993581202429e-54,6.3865399160005739e-56,6.959905344655358e-76,1.3473575824478228e-42,8.3845030730734534e-56,5.6047535836352352e-33,9.8444289522099977e-43,4.5728099976608544e-50,2.6345245382563378e-58,3.1764429942698718e-31,4.7702273041436362e-70,4.0335785983478437e-50,3.0540265876305749e-56,1.6306617464450512e-46,4.9312223672333653e-68,2.8521033212987984e-39,1.0018436266277544e-57,4.0823313843495559e-24,4.6771086388628831e-53,4.5511813328627313e-73,2.820147584290509e-61,2.4477302809443922e-95,3.2749663492108743e-50,2.7943193106052757e-53,4.3142196695211484e-35,3.199119389832126e-34,1.3966633574677467e-37,6.7038236074436528e-30,4.9923635166835143e-51,8.6090704191513412e-57,1.6573643037109071e-48,5.5719623380943318e-47,5.7282546890034481e-41,8.4694725730526918e-35,9.6518125218544299e-55,8.4190145141307785e-61,4.3713426960329689e-60,1.4132075261870579e-87,1.7842680319405385e-79,3.9511825441706693e-72,1.5412512200013447e-131,1.3080256657546905e-125,6.6043694252493923e-62,4.0669956803380172e-46,2.8729534720872305e-53,4.4718444700830521e-51,1.6322104654248893e-63,1.4869680214304625e-56,5.8906602631103653e-57,2.2995997440229491e-76,6.7164746900391824e-40,6.174877389693487e-35,5.1005164123096614e-40,1.3223014163352469e-59,1.1220232827920731e-79,2.1251066378504694e-86,1.5091914725086087e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,4.2674425100809817e-24,4.08232988530288e-24,4.2674513544672762e-24,5.9644078054993368e-25,5.043806548281308e-25,2.5219032741406219e-25,8.8387543518380326e-30,8.4929460660434018e-30
6.300000000000001e-14,0.002714845314533397,2.6323482911677437e-28,2.6802584787221879e-36,1.3055789257113029e-33,1.8490405683598533e-55,1.6738608656883959e-41,0.0,0.0,2.7366521959259405e-24,2.8218602236515698e-35,1.760083424267945e-53,5.2274158136623809e-55,2.2864035561815987e-74,1.1027372698899908e-41,6.9221614175175049e-55,2.2839663071465771e-32,8.05712368470138e-42,1.8635774870835796e-49,2.1561647261537036e-57,1.2944158399047902e-30,1.5977216583398965e-68,1.6434750488980881e-49,5.0104586991183583e-55,1.3346069155677721e-45,8.0906245304693093e-67,2.3342897099175708e-38,9.5447335953620765e-57,8.2578523170352065e-24,3.8279408948488822e-52,3.7250897259247907e-72,4.6267533459562645e-60,8.0409576693747637e-94,5.3729600043398719e-49,4.5038157438481088e-52,1.7580652902814157e-34,1.3039982904157256e-33,5.6914571043222389e-37,2.7318404005497321e-29,4.0859734112933524e-50,7.0459928569345898e-56,1.3564594883456398e-47,4.5603281326002708e-46,4.6882091417808307e-40,3.4513129766162472e-34,7.9001241859720169e-54,1.3812257818732824e-59,7.1716677695960873e-59,2.6883927149606821e-86,5.8614967880795431e-78,6.4823411357213343e-71,2.0495436799313613e-129,1.7966357205218276e-123,1.0915612571051254e-60,3.3285895199228227e-45,4.7133947120822097e-52,3.6608419288229739e-50,2.677677442954164e-62,2.439542637278378e-55,9.6665638815077245e-56,7.4999604986976546e-75,5.4970601328896069e-39,2.5128749647158485e-34,2.0784859201883679e-39,2.1693691517150124e-58,3.6846763082202124e-78,1.4118489894922176e-84,4.9513719893176338e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,8.6322970639130948e-24,8.2578462083591493e-24,8.6323331052016972e-24,1.2064989305604968e-24,1.020276849761545e-24,5.1013842488076596e-25,3.6018338210338298e-29,3.4609152861289951e-29
1.2700000000000001e-13,0.002714845314533397,5.2943967273151215e-28,9.7413360220439746e-36,5.2713327337979989e-33,1.4962498171741238e-54,1.3539343197635054e-40,0.0,0.0,5.5041945963053239e-24,1.1387485693645105e-34,1.4291049635515729e-52,4.2268660344990141e-54,7.4039485637103761e-73,8.9153640883765565e-41,5.6932141852703132e-54,9.2168267896551445e-32,6.5139991826134536e-41,7.5214464081842564e-49,1.7431308575366844e-56,5.2235375301452245e-30,5.2255092789404054e-67,6.6303095438738662e-49,8.1088292055976045e-54,1.0789989259596018e-44,1.3095084650831453e-65,1.8872195380751572e-37,9.8922579945449399e-56,1.660885064907723e-23,3.0947774428343499e-51,3.0119693532391834e-71,7.4878424026408792e-59,2.6037999159362108e-92,8.6955781610179751e-48,7.2441818321552781e-51,7.0945668347126796e-34,5.2649523023162292e-33,2.2967425610071243e-36,1.1024177764994114e-28,3.3034129945344965e-49,5.6964297371503066e-55,1.0966629931899211e-46,3.6868935768701002e-45,3.7902247617235928e-39,1.3927260628403926e-33,6.3881134687284931e-53,2.2353361309642598e-58,1.1606522092271618e-57,5.5485786487548486e-85,1.8980900117691541e-76,1.0490900848347177e-69,2.6711871444446935e-127,2.3964635792979074e-121,1.7749213045133619e-59,2.6910512646387544e-44,7.6280858146590521e-51,2.9611285243647343e-49,4.3330510312866919e-61,3.9481469180321403e-54,1.5651604963433967e-54,2.3941484002921727e-73,4.4442385767804496e-38,1.0113100573749505e-33,8.3876124581950861e-39,3.510837920732365e-57,1.1923558567861612e-76,9.1983532072781431e-83,1.5991963518458115e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,1.7361951164448937e-23,1.6608825997973499e-23,1.7362096606810996e-23,2.42661523070795e-24,2.052069239751768e-24,1.0260346198758708e-24,1.4534974752472471e-28,1.396630652752359e-28
2.55e-13,0.002714845314533397,1.0618462436963043e-27,3.6984890225037224e-35,2.1197919417239365e-32,1.2039150936497309e-53,1.0897006291168351e-39,0.0,0.0,1.1039286883254778e-23,4.5746153521719235e-34,1.1589465666143744e-51,3.3996778860521567e-53,2.3827012219986851e-71,7.1685232729489195e-40,4.733339472767409e-53,3.7026012027221763e-31,5.2376876083484432e-40,3.0223939759903641e-48,1.4014663022457025e-55,2.0984013971977231e-29,1.6911058424420829e-65,2.6620570449700962e-48,1.304496423937782e-52,8.6758662750511438e-44,2.1070960899711768e-64,1.5174497387235241e-36,1.1457043041870924e-54,3.3310673181659815e-23,2.4883666727652509e-50,2.4223371721622811e-70,1.2045942890986099e-57,8.3790053042284628e-91,1.3989158246525829e-46,1.1596496190241425e-49,2.8500317616131019e-33,2.1172272884503763e-32,9.2263955206075103e-36,4.4286363692129945e-28,2.6561591796569687e-48,4.5801572986994277e-54,8.8178450750807658e-46,2.9644639561393937e-44,3.0474563620935985e-38,5.5946184060624925e-33,5.1381470571680115e-52,3.5960239136006014e-57,1.8671937783598402e-56,1.2785208468755134e-83,6.1082743023086133e-75,1.6877106556799864e-68,3.4510276775711363e-125,3.1862019829175369e-119,2.865076499652694e-58,2.1637246162239538e-43,1.2271636976519914e-49,2.3832134362405059e-48,6.9692864811896852e-60,6.351649120041598e-53,2.5203017630080246e-53,7.4916527173133627e-72,3.5734496981742755e-37,4.0407494639432349e-33,3.3694804465621132e-38,5.6479238325646525e-56,3.8318175196673568e-75,5.9420825736769344e-81,5.1197462855105933e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,3.4821039339788062e-23,3.3310574153897822e-23,3.4821623610589658e-23,4.8668478315082132e-24,4.1156540202258318e-24,2.0578270101128902e-24,5.8389875333482019e-28,5.6105419877708356e-28
5.11e-13,0.002714845314533397,2.1266469206857445e-27,1.4395685383551159e-34,8.5143635644989074e-32,9.6609305560247598e-53,8.7558477341615304e-39,0.0,0.0,2.2109501401293559e-23,1.833733431264395e-33,9.4530795604139547e-51,2.7281041437824777e-52,7.6456225865766235e-70,5.7490494609918207e-39,4.0455546733715687e-52,1.4841783905764635e-30,4.2005725589806787e-39,1.2122106199763256e-47,1.1237588444216892e-54,8.4113248108258824e-29,5.4488316629247297e-64,1.0658914486452022e-47,2.092693303728718e-51,6.9579553460219635e-43,3.3816605075640887e-63,1.2169793558967891e-35,1.4822133687209839e-53,6.6713621735344193e-23,1.995581169248022e-49,1.9435123818477685e-69,1.9324231121095254e-56,2.688395069790848e-89,2.2442489751930889e-45,1.8454896883879757e-48,1.1424191477958008e-32,8.5040712407402018e-32,3.6982793333781446e-35,1.7751938883970775e-27,2.1302062479095035e-47,3.6729989653384827e-53,7.0717374669688241e-45,2.3774009586835627e-43,2.4438113305175999e-37,2.2423745194313107e-32,4.1234364035734516e-51,5.7686640983249248e-56,2.9954162616821947e-55,3.2926483247519926e-82,1.9599855412604521e-73,2.7074573589820156e-67,4.4425728309263345e-123,4.3033607672134644e-117,4.6124939329187034e-57,1.7351903761453781e-42,1.9686548040630116e-48,1.9148998942899143e-47,1.1175593678152035e-58,1.0189810254866477e-51,4.0506097576363754e-52,2.2778563463659266e-70,2.8658496576998638e-36,1.6024266459693548e-32,1.3506420021954303e-37,9.0602075358089389e-55,1.2261288026452935e-73,3.8255808019992102e-79,1.6259527549733662e-64,0.88168480800000004,0.0,0.0094599999999999997,0.10885,6.9738335609783213e-23,6.671322479403552e-23,6.9740677620373051e-23,9.7473130351305495e-24,8.2428235831487554e-24,4.1214117915743255e-24,2.3405192805765562e-27,2.248948208064335e-27
