Time (s),Volume (m^3),H(3),O(4),OH(5),H2(6),H2O(7),Ar(8),He(9),HO2(10),H2O2(11),CO(12),CO2(13),HOCO(14),CH2O(15),HCO(16),CH3(17),CH4(18),CH2(19),CH(20),C2H4(21),CH3OH(22),CH2(S)(23),CH2OH(24),CH3O(25),HCOH(26),CH3OO(27),CH2CO(28),C2H5(29),C2H3(30),C(31),C2H2(32),C2H(33),CH3OOH(34),CH2OOH(35),C2H6(36),CH3CHO(37),C2H5O(38),C2H5O2(39),CH2CHO(40),H2CC(41),C2H4O(42),C2H5O(43),cC2H4O(44),C2H5O2(45),C2H3O2(46),CHCHO(47),OCHCHO(48),HCCO(49),HCCOH(50),CHCHOH(51),C2(52),C2O(53),C2H6O(54),C2H5O(55),C2H5O3(56),CH3CO(57),cC2H3O(58),HOCHO(59),C2H3O3(60),OCHCO(61),C2H6O2(62),C2H5O2(63),C2H4O2(64),HOCH2O(65),OCHO(66),C2H4O3(67),C2H3O2(68),N2,Ne,C7H16(1),O2(2),C4H9(82),C5H11(84),C3H7(83),C7H15(88),C7H15(85),C7H15(86),S(164),S(165),S(206),S(207),S(166),S(208),S(255),C4H8(127),C6H12(193),C5H10(134),C3H6(72),S(267),C6H13(87),C7H15(89),C6H13(188),S(228),S(229),S(334),S(513),S(506),S(290),S(277),S(1639),S(1643),S(1790),S(1801),S(1965),S(1957),S(2177),S(1944),S(2145)
0.0,0.0031506572935735807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0031506572935735807,3.3179785631794644e-22,1.7568839880732803e-29,4.3912957211801819e-29,3.9336052938073418e-30,4.9864234316426186e-37,0.0,0.0,2.9343399091194284e-21,1.9682563601359039e-32,3.7616894829702706e-45,3.2999771665733387e-45,8.5918316219236533e-57,2.704092975376618e-29,1.3294390706951966e-43,5.1355025543820951e-19,6.4679045552418889e-29,3.955694873925404e-38,3.0407247195511103e-39,3.8899317443892602e-26,3.2115102281402063e-42,2.427056483503041e-40,9.0672098229386197e-41,1.2547169153859141e-31,5.8794184109361154e-49,7.9204632885526326e-27,3.8998450814695351e-48,5.8150577181613865e-19,1.6029221701617969e-44,6.047712922982222e-57,3.8990830148846083e-45,4.6287532600331332e-69,1.5088617292950182e-37,2.5813215631273516e-31,5.1310613933166777e-30,1.6209271877680607e-29,1.8919498971702608e-31,2.6418340209631636e-26,3.4916559976521268e-43,6.7921516707718019e-46,3.490058389358108e-41,4.0813424581316513e-40,1.9938357709568088e-37,8.2747442924346361e-31,1.5862892664426832e-47,2.9983754016214139e-53,9.9228916043803915e-53,2.2435469980214687e-66,8.7334431386594912e-67,6.1490672008216745e-61,9.0532826238129261e-95,7.6117336212364783e-88,-1.6248115171460891e-52,9.5737693825779191e-40,2.7002421792458588e-48,2.2850385238543166e-44,2.2321856667630892e-56,4.2410379723453911e-41,7.3279493004767909e-52,4.7687831203407353e-67,2.8825458814012877e-36,3.9200757826782366e-30,2.5092592017583432e-34,3.7561208702629267e-44,1.6899768619282285e-60,-2.1306040886338754e-79,1.082438380328552e-62,0.88168480800000004,0.0,0.0094599999999999979,0.10885,7.4125450348447645e-19,5.8150574112719995e-19,7.4125454098216279e-19,1.3558518020961937e-21,1.1042573349864552e-21,5.5212867134754717e-22,5.3365716598877262e-26,4.239000324183293e-26,3.492338024134211e-28,2.8840652950805868e-28,1.3859103027451768e-26,1.4344880749465997e-28,5.9136712991302864e-31,1.0234454716565012e-27,7.2806279133880417e-28,8.0706247563891564e-28,8.9660614778074628e-28,2.9322351314523449e-28,5.1355015915189179e-19,2.5389287744576398e-22,4.5741529380611045e-26,3.870401096782345e-26,1.1232977310482042e-32,1.572202206466292e-37,1.9265171002448908e-29,6.3254036436432028e-35,3.7574996966447091e-28,3.2679087860727307e-29,8.0349396818372651e-36,1.6154742786932023e-38,1.8352001858839071e-39,1.648095970768527e-39,1.1690795512947424e-44,6.3608532071840366e-43,1.3036736265093725e-51,3.4575283263817203e-48,2.8028219986484152e-53
3.0000000000000002e-15,0.0031506572935735807,8.1934296283142641e-22,4.587771887428369e-29,2.2046197558701584e-28,1.9748390158423703e-29,4.2130331347481445e-36,0.0,0.0,7.2460336770768819e-21,9.881459886990144e-32,3.1782885493434004e-44,2.788187000963424e-44,1.0906230276733792e-55,1.3575655767721507e-28,1.1232405968383304e-42,1.2681547218578549e-18,3.247152098830644e-28,1.9859478251446448e-37,1.5265667393604085e-38,1.9529044022996443e-25,2.7133983608560587e-41,1.2184970232045437e-39,7.6608652047245434e-40,6.2991907991782797e-31,4.967634018317979e-48,3.9763958507149017e-26,3.2952215876100299e-47,1.4359631783484497e-18,1.3543055224238683e-43,5.1097773604699571e-56,3.2943283999957675e-44,5.8757000635972968e-68,1.2748341951276409e-36,1.2958826807941251e-30,2.5760021863830482e-29,8.1378102057245652e-29,9.4983491419112287e-31,1.326308469401313e-25,2.9500931657723893e-42,5.7386736874197804e-45,2.9487406616466728e-40,3.4483147910217981e-39,1.6845790112887928e-36,4.1542300069646301e-30,1.3402861336406709e-46,3.8060999600164354e-52,1.2595996630607929e-51,3.9833970563841757e-65,1.1128601298778197e-65,7.8055446820364036e-60,1.6077799147874175e-93,1.7988373898462245e-86,5.4485791700424133e-51,8.0888503837212424e-39,3.4276515821383362e-47,1.9306401736061186e-43,2.8334515903001542e-55,3.5831884713423359e-40,9.3020693917312098e-51,8.4597364345191051e-66,2.435457077830309e-35,1.9679437777391151e-29,1.2597506154264582e-33,3.173481333622823e-43,2.1452002174872238e-59,1.1125165469840793e-77,1.9218547676783789e-61,0.88168480800000004,0.0,0.0094599999999999962,0.10885,1.8304446527843882e-18,1.4359630242774789e-18,1.830444841038056e-18,3.3481229711682894e-21,2.726838790184024e-21,1.3634194144422923e-21,2.6791765026016526e-25,2.1281509084377941e-25,1.7532949790329257e-27,1.4479175812127735e-27,6.9578353336174781e-26,7.2017108090642598e-28,2.9689370999494561e-30,5.1381139605120375e-27,3.6551722817768451e-27,4.0517829776565004e-27,4.5013308527814215e-27,1.4721040588347211e-27,1.2681542384613145e-18,6.2695992182917495e-22,2.2964107619356395e-25,1.9430989570342458e-25,9.4907137823259576e-32,1.3283606052843948e-36,9.6719011205515687e-29,5.3443250355211694e-34,1.8864168193601524e-27,1.6406299564965205e-28,6.7887207663374152e-35,1.3649182923391218e-37,1.550595217754352e-38,1.3925245454610488e-38,1.4840242820411198e-43,8.0743944493439584e-42,2.3145925498368938e-50,4.3890732472779654e-47,4.9764641576036277e-52
7e-15,0.0031506572935735807,2.1465806922312438e-21,1.3753711494308091e-28,1.3568504523454632e-27,1.2154291370656922e-28,6.5842504877599838e-35,0.0,0.0,1.8983484529527251e-20,6.0815387546443429e-31,4.9672326648436441e-43,4.3573806673087042e-43,4.6465141631585042e-54,8.3551111297377743e-28,1.7554045040382548e-41,3.3223558246471431e-18,1.9984505567020703e-27,1.2222465479109157e-36,9.3951839859739325e-38,1.2019092096356014e-24,4.2405035747182135e-40,7.4991603986527925e-39,1.1972399856819478e-38,3.876818479898009e-30,7.7635083218492579e-47,2.4472615012094046e-25,5.1517991576510442e-46,3.7619858016901749e-18,2.1165100821463092e-42,7.9855480266796572e-55,5.1483918095969032e-43,2.5035060926925345e-66,1.9923133283162366e-35,7.9743969839740415e-30,1.5853930657558015e-28,5.0086118086504938e-28,5.8457049495090904e-30,8.1627268220501772e-25,4.6104124230577297e-41,8.9683990514934485e-44,4.6082770392946476e-39,5.3890078260478413e-38,2.6325926406589285e-35,2.5566404676769823e-29,2.094872598684962e-45,1.6216893056366349e-50,5.3668652485594209e-50,4.8934391933464967e-63,4.8612061428957745e-64,3.325747688429251e-58,1.9754118589239061e-91,6.6588181328721362e-84,1.2306268328228023e-49,1.2641207843987546e-37,1.4604362731809044e-45,3.0173355399594406e-42,1.2071068588854404e-53,5.5993633080772377e-39,3.9635690440624856e-49,1.0320776842343586e-63,3.806136580600051e-34,1.2109453786004949e-28,7.7531011228497339e-33,4.9590587451271493e-42,9.1391925480603783e-58,2.5367345675676577e-75,2.360710661947329e-59,0.88168480800000004,0.0,0.0094599999999999875,0.10885,4.795461452923576e-18,3.7619848534654077e-18,4.7954626115249141e-18,8.7715227470936546e-21,7.1438616868878672e-21,3.5719309625345911e-21,1.6488908780354189e-24,1.3097637795276843e-24,1.0790574794637334e-26,8.9111462179950173e-27,4.2821798083220777e-25,4.4322611430691537e-27,1.8273003074661062e-29,3.1622375228507872e-26,2.2495651482655859e-26,2.4936581563433173e-26,2.7703360020141837e-26,9.0600771642333213e-27,3.3223528495985974e-18,1.6425310813427512e-21,1.413317804187181e-24,1.1958738622678947e-24,1.4832058860190276e-30,2.0760465682026051e-35,5.952541557248315e-28,8.3521570399536165e-33,1.1609866053257217e-26,1.0097358903306386e-27,1.0609560077328699e-33,2.1331564142150059e-36,2.4235824248246841e-37,2.1766565580478386e-37,6.3233424261848063e-42,3.4403299915100779e-40,2.8425097844674195e-48,1.8704473990109645e-45,6.1137500179242477e-50
1.5e-14,0.0031506572935735807,4.8011916077294938e-21,3.8341462428446914e-28,6.440309639311476e-27,5.7690433006605187e-28,6.5089280315541612e-34,0.0,0.0,4.2458653075235396e-20,2.8865406078679854e-30,4.9106109278234021e-42,4.3074451882384617e-42,9.43427406290177e-53,3.9656530978329947e-27,1.7352761443084797e-40,7.4307582672874135e-18,9.4853805678476057e-27,5.801283759835659e-36,4.4592759733168167e-37,5.7047003970003062e-24,4.1918711124142635e-39,3.559369487849295e-38,1.1835071767675513e-37,1.8400799367949544e-29,7.6747952982822888e-46,1.1615601728677089e-24,5.0960419150235177e-45,8.4140296912266106e-18,2.0922352959908031e-41,7.8940081801143254e-54,5.089363274347089e-42,5.083805592705718e-65,1.9694648265182859e-34,3.7840297501970704e-29,7.5248564387888639e-28,2.3774572412724757e-27,2.7745633555687089e-29,3.874329143512461e-24,4.5575406082179325e-40,8.8655280648920821e-43,4.5553940203904671e-38,5.3271635237335896e-37,2.6022849000168594e-34,1.2134173306100111e-28,2.0712936814228324e-44,3.29309296754125e-49,1.0898284106274516e-48,2.0201252336686953e-61,1.0255429577516064e-62,6.7534152755611379e-57,8.1590918291114188e-90,5.5495610713496083e-82,2.8814591024137078e-48,1.2496130529673385e-36,2.9656271109168768e-44,2.9829412669785397e-41,2.4507052232574421e-52,5.5344068041390745e-38,8.0492129117261789e-48,4.2162207596066354e-62,3.76248587129971e-33,5.7457271322447036e-28,3.6799080484684012e-32,4.9014233072190303e-41,1.8555352472305304e-56,2.7344220773103018e-73,9.7440332543810607e-58,0.88168480800000004,0.0,0.0094599999999999736,0.10885,1.0725491502391827e-17,8.414025190609051e-18,1.0725497001534985e-17,1.9618300556447288e-20,1.5977888631573344e-20,7.9889448810331266e-21,7.8262359066725906e-24,6.2166144570468284e-24,5.1215782619582907e-26,4.2295391609271224e-26,2.0324796690707771e-24,2.1037043445140036e-26,8.6736861341109282e-29,1.5009139788102822e-25,1.0677260358103655e-25,1.1835816125891486e-25,1.3149072201701175e-25,4.3002916500930551e-26,7.4307441466289585e-18,3.6736723757030352e-21,6.7081112115089072e-24,5.6760492169911574e-24,1.4661882816863613e-29,2.052372841518793e-34,2.8252927333657774e-27,8.256430372140945e-32,5.5104411667244394e-26,4.792703257368094e-27,1.0488107069692513e-32,2.1087905750801858e-35,2.3962969604518284e-36,2.1523794984199528e-36,1.2841385053682826e-40,6.9861945146009182e-39,1.1728798510587797e-46,3.7994135421571985e-44,2.5240745334523893e-48
3.1e-14,0.0031506572935735807,1.0110955264428984e-20,1.125421794497027e-27,2.7851157334332009e-26,2.4948194170395894e-27,5.7109997912971872e-33,0.0,0.0,8.9410057530247947e-20,1.2482261342395506e-29,4.3089743296117924e-41,3.7792496920424235e-41,1.6678417591692259e-51,1.7148532029879997e-26,1.5224676274363156e-39,1.56475641008136e-17,4.1017079770999953e-26,2.5086628517673796e-35,1.9282786530709502e-36,2.466848468962167e-23,3.6777788481416184e-38,1.5391525510770042e-37,1.0383577142546646e-36,7.9569460177815079e-29,6.7340979748945356e-45,5.0228667244171943e-24,4.4768366107919369e-44,1.7718112041713996e-17,1.8356404178800838e-40,6.9259699697084242e-53,4.4652302605242318e-41,8.9898413852712639e-64,1.7279298987245961e-33,1.6355259736584473e-28,3.2539286236175325e-27,1.0282291169522413e-26,1.1997686318744372e-28,1.6753528560217964e-23,3.9986076912048737e-39,7.7782287483560609e-42,3.996662391406152e-37,4.6737689702899218e-36,2.2829391053496656e-33,5.246612259714805e-28,1.8180443588078467e-43,5.8231723075350073e-48,1.9271519029008107e-47,7.1733033765668884e-60,1.9481832906062986e-61,1.1941937078127529e-55,2.8998443826850395e-88,3.9494092722917953e-80,5.3119894758037725e-47,1.096342639030719e-35,5.2440571757006148e-43,2.6174771187095001e-40,4.3317786182430824e-51,4.8543820228863713e-37,1.4235404565033187e-46,1.4666928194488105e-60,3.301053864688024e-32,2.4829969996438556e-27,1.5912824498557892e-31,4.298989072910446e-40,3.2800176047892237e-55,2.0451638099543855e-71,3.4589244921644864e-56,0.88168480800000004,0.0,0.0094599999999999441,0.10885,2.2585537398116494e-17,1.7718092580002747e-17,2.2585561177703402e-17,4.1311769206729926e-20,3.3645867127226902e-20,1.6822936007861016e-20,3.3842485621460723e-23,2.6882096192542224e-23,2.2146729358482969e-25,1.8289394312333658e-25,8.7889320158261667e-24,9.0968439453569211e-26,3.751265868030394e-28,6.4903139580711118e-25,4.6171036402120134e-25,5.1180917511626119e-25,5.6860108488061064e-25,1.8595896289173265e-25,1.5647503039799215e-17,7.7359508657707795e-21,2.900737264275891e-23,2.4544545517321303e-23,1.2863617374740374e-28,1.800904543008491e-33,1.2217230425195747e-26,7.2439644916227892e-31,2.3828242415852678e-25,2.0725884321765018e-26,9.2022303854065373e-32,1.8503387025871064e-34,2.1032991035785729e-35,1.8896022430077303e-35,2.2710396128986803e-39,1.2353918207485502e-37,4.1607225855432316e-45,6.722633427175116e-43,8.9639717328297376e-47
6.300000000000001e-14,0.003150657293573581,2.0732649871908193e-20,3.6105830021858295e-27,1.1565815215692358e-25,1.0360240822306812e-26,4.7737448957448164e-32,0.0,0.0,1.8331713589759074e-19,5.1830408313902091e-29,3.6024040865660282e-40,3.1587789482347195e-40,2.7956198862528509e-50,7.1205176651583276e-26,1.2724738176698998e-38,3.2081179560839518e-17,1.7031185018736299e-25,1.0416910489242937e-34,8.0064660569407505e-36,1.0242875953631365e-22,3.0738512561646352e-37,6.3908575892955191e-37,8.6784277254316324e-36,3.3038934338440603e-28,5.6291967154703689e-44,2.0856033435569275e-23,3.7513369553720082e-43,3.6326255028367382e-17,1.5342058881964457e-39,5.788801666154175e-52,3.7320420310195121e-40,1.507677238279757e-62,1.4441880847331758e-32,6.7846009648705379e-28,1.3511009672532167e-26,4.270748369434283e-26,4.9815375897180098e-28,6.9564236017868417e-23,3.3420054809379725e-38,6.5009193270142883e-41,3.3402761194039714e-36,3.9061735873012123e-35,1.9077227224850055e-32,2.1780950095497868e-27,1.5207970679818279e-42,9.7656492056631513e-47,3.2319286938051764e-46,2.4099451950499627e-58,3.7186741235959765e-60,2.0026617827841047e-54,9.7598591455507299e-87,2.6558867290208975e-78,9.085831284124264e-46,9.1628311341638583e-35,8.7942610826998203e-42,2.1882692273624356e-39,7.2585053313630201e-50,4.0551045081369974e-36,2.3879898178228366e-45,4.734859472167037e-59,2.7589887842969285e-31,1.0296745726196181e-26,6.6073613549611019e-31,3.5908478735878336e-39,5.4969367645616794e-54,1.4084457852580788e-69,1.1613163715672247e-54,0.88168480800000004,0.0,0.0094599999999998852,0.10885,4.6305572376947834e-17,3.6326174219497873e-17,4.6305671114656235e-17,8.4698358646106223e-20,6.8981522553035687e-20,3.4490771425440396e-20,1.4052094660384189e-22,1.1161991862568329e-22,9.1956271750837567e-25,7.5940255542492258e-25,3.6493546488265323e-23,3.7771393878360595e-25,1.5580668855254485e-27,2.6949188193861193e-24,1.9171203615663028e-24,2.1251420156665012e-24,2.3609837595755829e-24,7.7217488787043866e-25,3.2080926023268725e-17,1.5860491451412102e-20,1.2044391247877398e-22,1.0191376772033772e-22,1.0751070758379096e-27,1.5055710746563167e-32,5.0728447012755769e-26,6.0546094690203812e-30,9.8938079619308897e-25,8.6067311837213251e-26,7.6917807126833535e-31,1.5467799808310345e-33,1.7593941004334108e-34,1.5813002609868801e-34,3.8096094884529076e-38,2.0718723033908245e-36,1.3951006017168221e-43,1.1287937268215788e-41,3.0123239144596656e-45
1.2700000000000001e-13,0.003150657293573581,4.1984708193334366e-20,1.2586598966618043e-26,4.7128966300312902e-25,4.221602621953585e-26,3.9024043202188957e-31,0.0,0.0,3.7114837048500735e-19,2.1116085566535601e-28,2.9458364970161786e-39,2.5818194357517891e-39,4.5720363676276805e-49,2.9008605521878919e-25,1.0399912875337411e-37,6.4948425652713251e-17,6.9382700135264603e-25,4.2440284884472446e-34,3.2615879133776971e-35,4.1727932300183656e-22,2.5122139342576334e-36,2.603515688450379e-36,7.0926489290397034e-35,1.3459574797695494e-27,4.60213871050299e-43,8.4964577960650891e-23,3.0816667830325632e-42,7.3542454144553032e-17,1.2538772133033001e-38,4.7313397810206388e-51,3.0502199351983018e-39,2.4683407947911543e-61,1.180316099327494e-31,2.7587069109586948e-27,5.5041903079477341e-26,1.7409130626002764e-25,2.0292768813747338e-27,2.8339458661374189e-22,2.7313868361517758e-37,5.3130292425635312e-40,2.7298040928568261e-35,3.1922686869086066e-34,1.5586064288083436e-31,8.8698988879509426e-27,1.2450393459833398e-41,1.5987042274561412e-45,5.2909963233158798e-45,7.8966100363944836e-57,7.5657956668168331e-59,3.2783651316899774e-53,3.2094842639146736e-85,1.7411623942604057e-76,1.5022860257121511e-44,7.4881707896744037e-34,1.4396180287588466e-40,1.789430171994355e-38,1.1862980388418489e-48,3.3106904438581186e-35,3.9114778952283024e-44,1.4388614936837427e-57,2.2548823140889763e-30,4.1840391751406949e-26,2.6917560583555844e-30,2.9311544462313998e-38,8.986590003327007e-53,9.3466637434450992e-68,3.8003757429269106e-53,0.88168480800000004,0.0,0.0094599999999997672,0.10885,9.3745415085973409e-17,7.3542124943575807e-17,9.374581732720884e-17,1.7147014618017277e-19,1.3965162721762517e-19,6.9825854953094215e-20,5.7245949818442543e-22,4.5472089888726706e-22,3.7460273457140461e-24,3.0935959520940926e-24,1.4866956572302102e-22,1.5386988226577908e-24,6.3510930955681559e-27,1.0978720315444938e-23,7.8100706774185589e-24,8.6575261079437664e-24,9.6185520482353542e-24,3.1460009511084718e-24,6.4947392784250547e-17,3.2109507045655296e-20,4.9066360837260097e-22,4.1517830849070278e-22,8.7863446290075058e-27,1.2311232749167257e-31,2.0665943747469473e-25,4.948631006915648e-29,4.0304402335871794e-24,3.5069906747221876e-25,6.2874385055205321e-30,1.2646267288307094e-32,1.4403429217567671e-33,1.2956264418704966e-33,6.23987475282308e-37,3.3920602004873443e-35,4.5534555638382933e-42,1.8524538450934861e-40,9.8755383078044368e-44
2.55e-13,0.003150657293573582,8.4523500703242654e-20,4.6570253585196973e-26,1.9032280650085863e-24,1.7047998780408518e-25,3.1565276684683236e-30,0.0,0.0,7.4687915125842491e-19,8.5241701535229244e-28,2.3843678514373527e-38,2.087717574584378e-38,7.3835256184023798e-48,1.1709503019552502e-24,8.4086040694676676e-37,1.3068297852316992e-16,2.8005607233427015e-24,1.7133186449964447e-33,1.3163963621359443e-34,1.6842940149488492e-21,2.0311256017483141e-35,1.0508567016038292e-35,5.7342405304125007e-34,5.4327922215844993e-27,3.7232212876592554e-42,3.4295048478533124e-22,2.5169920485354187e-41,1.4797450494975535e-16,1.0137488067505781e-37,3.8256716753820184e-50,2.4662268802826177e-38,3.9947164693366772e-60,9.5428938655892111e-31,1.1093135802163765e-26,2.2217022274224944e-25,7.0355832718562365e-25,8.1898932875670149e-27,1.1438886400062808e-21,2.2083516455415059e-36,4.295460029221409e-39,2.2067967014876919e-34,2.5806425736721093e-33,1.2592491413286998e-30,3.5775332734857272e-26,1.0100328195162356e-40,2.5869586510733013e-44,8.5620191427388355e-44,2.5565606270222186e-55,1.7025539345491533e-57,5.3044957597467591e-52,1.0465382146874526e-83,1.1276178554590863e-74,2.4439291147691088e-43,6.0534154400465685e-33,2.3293271154528591e-39,1.4483432628576643e-37,1.9132724723254897e-47,2.6710871131096735e-34,6.3363823744583547e-43,4.0671562463727845e-56,1.8230743763022979e-29,1.6802574681993582e-25,1.0865059456631459e-29,2.3640608354769602e-37,1.4502219215603603e-51,6.0952389118607351e-66,1.2272336086810968e-51,0.88168480800000004,0.0,0.0094599999999995313,0.10885,1.8862419152415446e-16,1.479731761901355e-16,1.8862581510836586e-16,3.4500815667001326e-19,2.8098701239834487e-19,1.4049367307275093e-19,2.3106453874073362e-21,1.8354073977512342e-21,1.5119285207169738e-23,1.2486128580553081e-23,6.0008837461162926e-22,6.210348617239496e-24,2.5665741333992135e-26,4.4314405407945904e-23,3.1524431914172885e-23,3.4945129217073865e-23,3.8826141457703456e-23,1.270066090861204e-23,1.3067880952659863e-16,6.4607275933482496e-20,1.9804458560052184e-21,1.6757891998373618e-21,7.1031973252336282e-26,9.9640117483939501e-31,8.3414918746850554e-25,4.0014329878032351e-28,1.6267156468615558e-23,1.416147270173743e-24,5.0851061066523917e-29,1.0232041336918454e-31,1.1684271477280142e-32,1.052778707893465e-32,1.0107729292431448e-35,5.4897431943155782e-34,1.4627850806903336e-40,3.0122746981526849e-39,3.2005641917145629e-42
5.11e-13,0.003150657293573584,1.6973978472092537e-19,1.7873483918522156e-25,7.6545655614563881e-24,6.8563842411256521e-25,2.5407909310530441e-29,0.0,0.0,1.4986139607004983e-18,3.4257796080427871e-27,1.9218122728508809e-37,1.6794752019024822e-37,1.1832341694569611e-46,4.7053425638298968e-24,6.7627294153252902e-36,2.6215232700629225e-16,1.1252849672445667e-23,6.8863285106683338e-33,5.2884911372705533e-34,6.7675257401937142e-21,1.6334551637838684e-34,4.22221325529017e-35,4.6112737948646171e-33,2.1829135497217954e-26,2.9981069015004396e-41,1.3779973564222171e-21,2.0651217892635366e-40,2.9683721686200866e-16,8.1525067231431563e-37,3.0772650379486461e-49,1.9835670309618241e-37,6.428830044940255e-59,7.674564433945273e-30,4.4238650403152835e-26,8.9268985438643866e-25,2.8337349526498134e-24,3.2898952009432646e-26,4.5961910315758808e-21,1.7760317055712138e-35,3.454257843349067e-38,1.7743290037969129e-33,2.0748888309729035e-32,1.0112832144775374e-29,1.4353053266936138e-25,8.177779354050862e-40,4.1621385576574268e-43,1.3776470952480673e-42,8.2279806705015746e-54,4.2778954359756238e-56,8.5330051910232615e-51,3.4162943641414249e-82,7.25871089035338e-73,3.9454094990469741e-42,4.8669859639349055e-32,3.7469787355827027e-38,1.1672931686174723e-36,3.0579948646839665e-46,2.1392036578865363e-33,1.0216738083576828e-41,1.0434943066149821e-54,1.466140254003315e-28,6.68336385207905e-25,4.3657093480057618e-29,1.892013141544819e-36,2.3206672416540424e-50,3.9441315617858424e-64,3.9295050663593929e-50,0.88168480800000004,0.0,0.0094599999999990612,0.10885,3.7837810859845883e-16,2.9683187802128958e-16,3.7838463210659778e-16,6.920619257384365e-19,5.6363849096205644e-19,2.818199159238417e-19,9.2841104566738608e-21,7.3745841290946929e-21,6.0740984890991391e-23,5.0163307425819441e-23,2.4111899460031206e-21,2.4950004813963524e-23,1.0336945760108523e-25,1.7805790804604049e-22,1.2666651153069914e-22,1.4041136539164672e-22,1.5602105905209073e-22,5.1049458402710807e-23,2.621355762465163e-16,1.2960176456650546e-19,7.9570329716697672e-21,6.733157627891871e-21,5.7115672507290512e-25,8.0298574116245205e-30,3.3515880855639111e-24,3.2187450093228586e-27,6.5352153410423555e-23,5.6948947783754238e-24,4.0922527741693754e-28,8.2408315673445304e-31,9.4596210229810488e-32,8.5514008099363297e-32,1.6296397137814057e-34,8.8351364198509232e-33,4.6360179225882072e-39,4.893847092751211e-38,1.032196816980779e-40
