Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49)
1e-12,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,6.6779849631232955e-17,4.515232308668794e-18,6.6779727257350574e-17,6.4725584260034949e-17,6.4725731200952584e-17,2.1305522409369641e-17,2.1306357588974399e-17,2.0111402978786362e-18,1.6728625279307141e-18,8.3642934003093655e-19,3.7498654549795104e-22,6.8089667930289577e-22,3.1191470391597338e-22,1.5595598813929395e-22,5.7517707235460498e-22,3.8580102260251022e-22,3.8430836764367572e-22,1.334408336294512e-21,2.145234259097249e-25,1.8790811056049935e-22,3.7248756965167902e-22,1.2261153908652702e-22,4.8878778556084366e-28,7.6948379388898756e-24,7.3559255493264296e-32,2.8886256884090869e-28,1.7408965695823682e-28,2.6199224900252282e-32,9.5874763556309668e-32,1.3984072710653647e-35,1.0543851672406967e-27,6.0655634709124788e-21,1.5867900993581747e-31,8.0143051879952387e-38,1.7640622235162294e-33,2.1218283402272964e-40,1.7640622235162294e-33,8.3691841842702727e-24,4.4985628980402518e-29
1.023e-12,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,6.8315343542632806e-17,4.6190532927928002e-18,6.8315216900511409e-17,6.6213840832164408e-17,6.6213992898171111e-17,2.1795391906018697e-17,2.1796256215174719e-17,2.0573788355078775e-18,1.7113236692621156e-18,8.5565984359596346e-19,3.8806517134087707e-22,7.0464539607145774e-22,3.2279354762498398e-22,1.6139535418441874e-22,5.9523850277159787e-22,3.9925727116521459e-22,3.9771254969683261e-22,1.3809490034629719e-21,2.2330207148872551e-25,1.9446209861795701e-22,3.8547945637800407e-22,1.268880324279691e-22,5.0878984304413029e-28,7.9632284501825247e-24,7.6793623187912292e-32,3.0068338780704961e-28,1.8121372082245374e-28,2.7351193638660089e-32,1.0009030834291753e-31,1.4620345636384855e-35,1.0975317031786522e-27,6.2049556572634191e-21,1.6565599944856051e-31,8.3789384694193802e-38,1.8416273736514109e-33,2.219996311755935e-40,1.8416273736514109e-33,8.6610888853146745e-24,4.6826545951993976e-29
2.047e-12,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.3667769084933721e-16,9.2413837957495158e-18,1.3667718402158309e-16,1.3247274254806789e-16,1.3247335111264445e-16,4.3602939435496926e-17,4.360639816050082e-17,4.115413836632849e-18,3.4231961001675109e-18,1.7115900843561975e-18,1.5527736274095163e-21,2.8199841509288214e-21,1.2916087842182889e-21,6.4579303167704286e-22,2.3821833264862876e-21,1.5978599826963487e-21,1.5916747075907954e-21,5.5254314165010835e-21,1.7870759896096228e-24,7.7824782383425327e-22,1.5427162278076142e-21,5.0778789022738635e-22,4.0720150244862309e-27,3.1872490446338496e-23,1.2292362457012201e-30,2.4066165876497782e-27,1.4503367735012125e-27,4.378161793475051e-31,1.6018638164349758e-30,4.6797330021045771e-34,8.7818214766258396e-27,1.2401036100919758e-20,2.6510464267223804e-30,2.6748995765082859e-36,2.9480259095443873e-32,1.4174769093158419e-38,2.9480259095443873e-32,3.4661146666815861e-23,3.7483911827176035e-28
4.095e-12,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,2.7340033727646024e-16,1.8486203554188806e-17,2.7339830948778741e-16,2.6498706951192261e-16,2.6498950425762897e-16,8.7208858976763022e-17,8.7222694887801655e-17,8.2291449948474779e-18,6.8450043589688228e-18,3.4224703289658891e-18,6.2103063820741723e-21,1.1282274036299797e-20,5.1658429463233032e-21,2.5828306188186672e-21,9.5310640710463283e-21,6.3930539711126167e-21,6.3682812211531845e-21,2.2097402299630746e-20,1.429400099149885e-23,3.1137352798876262e-21,6.172392662677419e-21,2.0314380167816632e-21,3.2573281366664131e-26,1.2754618181776587e-22,1.9665595890569819e-29,1.9253605697152432e-26,1.1602048459847061e-26,7.0044526188874898e-30,2.5617934284320593e-29,1.4967692969782771e-32,7.0215015308595728e-26,2.4753761095930514e-20,4.2392505547021348e-29,8.5106295433788199e-35,4.7167375574932196e-31,9.0203503149682237e-37,4.7167375574932196e-31,1.386697333468506e-22,2.9995815967504374e-27
8.191e-12,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999878,11.0,5.4683743759169216e-16,3.6976476704650262e-17,5.4682932580392566e-16,5.3000181854705873e-16,5.3001155760126886e-16,1.7438401290276484e-16,1.7443934288467308e-16,1.6447264652803368e-17,1.368088467052086e-17,6.8403150821668553e-18,2.4825170024208377e-20,4.5130056333789701e-20,2.0650522759622002e-20,1.0324535343389677e-20,3.8127917166889781e-20,2.5575076793350754e-20,2.547577148393927e-20,8.8320343244512488e-20,1.1425789756293787e-22,1.2455997443811949e-20,2.4692088120489602e-20,8.1248498163870574e-21,2.6042140054763545e-25,5.1043377449832595e-22,3.1442507382209214e-28,1.5396895018057978e-25,9.276350761060566e-26,1.1199677777745647e-28,4.0930572830428413e-28,4.7824668537797828e-31,5.6083089970591751e-25,4.9302836023844597e-20,6.771726651980801e-28,2.691165335182746e-33,7.5427388239869475e-30,5.705249366650835e-35,7.5427388239869475e-30,5.5466214248862458e-22,2.3999538307892598e-26
1e-11,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999845,11.0,6.6759380364554937e-16,4.5143270363254573e-17,6.675803182847281e-16,6.4703340550608244e-16,6.4704959488456422e-16,2.1285257950684292e-16,2.1294453054942788e-16,2.0068570438470749e-17,1.6693138466022624e-17,8.3463579621319889e-18,4.1238637104905094e-20,7.5021486801373674e-20,3.4304761625734535e-20,1.715053559141541e-20,6.3386585820045355e-20,4.2518558966691071e-20,4.2353104931215831e-20,1.4669303587222791e-19,2.9049711475087863e-22,2.0707497611155531e-20,4.1050158326703764e-20,1.3504363236943738e-20,6.6228838581710337e-25,8.4893428959937494e-22,1.3540650930473495e-27,3.9169692817383676e-25,2.3593124808203677e-25,4.8235043082190951e-28,1.7606330224459883e-27,3.7411332657817687e-30,1.4243938795463876e-24,6.0009194284304257e-20,2.9118432007552553e-27,2.0668366579411037e-32,3.2492114067424512e-29,8.3203054018773273e-34,3.2492114067424512e-29,9.2198668895884864e-22,6.1097936206343524e-26
1.6383e-11,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999745,11.0,1.0936788697161791e-15,7.3959546716417257e-17,1.0936464238706657e-15,1.0599757048755954e-15,1.0600146540218073e-15,3.4858771529116035e-16,3.4880888260256759e-16,3.2846234799949398e-17,2.7321781902555367e-17,1.366038322626546e-17,9.9153043061835461e-20,1.8049246561540817e-19,8.2483317005721366e-20,4.1235864271983796e-20,1.5251100926564625e-19,1.0230310662419865e-19,1.0190424887481243e-19,3.5265925867084988e-19,9.1235168816747587e-22,4.9822658234789619e-20,9.87690981422178e-20,3.2485808324513272e-20,2.0802634919392773e-24,2.0433227848398363e-21,5.0224024300925755e-27,1.2305126736304194e-24,7.4109414881677675e-25,1.789131728435366e-27,6.5287491741908711e-27,1.5254126655896411e-29,4.4714488824881885e-24,9.7786245017590073e-20,1.0796808390617858e-26,8.4100359692683112e-32,1.2052520537691146e-28,3.5665163726614596e-33,1.2052520537691146e-28,2.2180798786323906e-21,1.9199847450695828e-25
3.2767e-11,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999999489,11.0,2.1872306731585258e-15,1.4793569791198414e-16,2.1871009129329196e-15,2.1197010931093681e-15,2.1198568179830518e-15,6.9640977709981259e-16,6.9729314121041551e-16,6.5495905744689726e-17,5.4480770849182365e-17,2.7238364949275238e-17,3.9539737601955126e-19,7.2167710561481588e-19,3.2895477198081707e-19,1.6443126094971494e-19,6.0997892061680585e-19,4.0919466359700208e-19,4.0758630035224391e-19,1.4055452013118468e-18,7.2707229857119088e-21,1.9926045120092629e-19,3.9504359410539404e-19,1.2982192644527443e-19,1.6590730309352993e-23,8.1851268948293645e-21,8.0081162296734754e-26,9.8232121710665932e-24,5.9119288017375498e-24,2.8532890359911705e-26,1.0380697797827171e-25,4.8490716158968057e-28,3.5526230507353037e-23,1.9237725820359626e-19,1.7152281004235208e-25,2.5699093172656443e-30,1.9231147931425598e-27,2.1804845091356752e-31,1.9231147931425598e-27,8.8669213489161133e-21,1.5358466472566677e-24
6.5535e-11,0.30007358886388097,89.099999999999994,0.0,0.0,0.0,0.99999999999998979,11.0,4.3738101428181432e-15,2.9592741922685599e-16,4.3732913122128947e-15,4.2382628308892378e-15,4.2388851284950031e-15,1.3897211215536509e-15,1.3932440066801388e-15,1.3020855926952872e-16,1.0831265692662815e-16,5.4148329185246468e-17,1.5718777153114194e-18,2.8842278654278039e-18,1.3079923000482885e-18,6.5363078472921265e-19,2.4392755608849254e-18,1.636556285426986e-18,1.6300197574548262e-18,5.581548726356135e-18,5.7717175231977717e-20,7.9676173935856054e-19,1.5798346360884553e-18,5.1829467504106035e-19,1.319043027262164e-22,3.2832566360896976e-20,1.2724338427894422e-24,7.8248965740113391e-23,4.7026021379592007e-23,4.5354303303964193e-25,1.6401931251370401e-24,1.5312483144500405e-26,2.8032857725080994e-22,3.726777299752963e-19,2.7055729075713825e-24,7.5369987003286315e-29,3.0600258695140615e-26,1.2798648482347914e-29,3.0600258695140615e-26,3.5423116221442954e-20,1.2283813768794695e-23
9.999999999999999e-11,0.300073588863881,89.099999999999994,0.0,0.0,0.0,0.99999999999998435,11.0,6.6725267970876637e-15,4.5166399447396851e-16,6.6711903245209281e-15,6.464673270513922e-15,6.4662748115096376e-15,2.1140665548184514e-15,2.1231031389511979e-15,1.9706473583907257e-16,1.6393101287582874e-16,8.1945225254476793e-17,4.0115591555936903e-18,7.4240656712323031e-18,3.3391380303838365e-18,1.6678885045069862e-18,6.2848633929796719e-18,4.2175028415178813e-18,4.2002210272991163e-18,1.4219359218406431e-17,2.664764491986968e-19,2.0525835758633463e-18,4.0708027292338666e-18,1.3318190430630487e-18,6.1068350045841728e-22,8.5009104734036214e-20,1.116327333486848e-23,3.6349425090650958e-22,2.1790962984742077e-22,3.9818732877989694e-24,1.4238817351277449e-23,2.5824099167912877e-25,1.280591824457856e-21,5.4592630583295947e-19,2.3414743640514328e-23,1.1195008047075742e-27,2.6917710625957261e-25,3.7459902576985841e-28,2.6917710625957261e-25,9.1123163123192643e-20,5.7477375275266231e-23
1.31071e-10,0.300073588863881,89.099999999999994,0.0,0.0,0.0,0.99999999999997946,11.0,8.7448733853600659e-15,5.9206414330620524e-16,8.7427997895266709e-15,8.4718341226705611e-15,8.4743184743835023e-15,2.7670808289217635e-15,2.7810881410923293e-15,2.5733713572859231e-16,2.1407225580917016e-16,1.0700477429747854e-16,6.2109887807499499e-18,1.1516835160979921e-17,5.1702632004768539e-18,2.5822654553619174e-18,9.7517503661703262e-18,6.5442862578620059e-18,6.517317317893399e-18,2.2006546504014871e-17,4.5467779553323716e-19,3.1847362026453055e-18,6.316468466129879e-18,2.065230203336114e-18,1.0423140953441628e-21,1.320474689815862e-19,2.0080095440145946e-23,6.2064951727543746e-22,3.7196518181909963e-22,7.1627451678403766e-24,2.5596770443701907e-23,4.7724669858989164e-25,2.1823524324360991e-21,7.0211393097363715e-19,4.2084543258772573e-23,2.0608090489231533e-27,4.8425968947949053e-25,7.0077049023236362e-28,4.8425968947949053e-25,1.4133805235238938e-19,9.8220423282449689e-23
