Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17)
0.0,0.230682663967164,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,3.234792180820347e-17,4.6871216451756692e-19,3.2347921072848775e-17,3.1181789902166808e-17,3.1181790186132507e-17,1.2401127392193336e-17,1.2401130064148918e-17,2.1046209130881836e-19,1.7216659001184908e-19,8.6083295005922519e-20,7.5669827812441811e-26,1.043897269427729e-24,6.1901016376931505e-26,3.0950508188465035e-26,5.9634612652819549e-25,3.9824966697071124e-25,3.9631614599520449e-25,3.2712742563293765e-24,1.1761584118726631e-30,1.221204885771991e-24
3.0000000000000002e-15,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,7.9879561915562755e-17,1.1574321299046687e-18,7.9879558223782145e-17,7.6999928847283603e-17,7.6999930272907176e-17,3.0623183416037867e-17,3.0623196830342088e-17,5.1971231815610638e-19,4.2514591130233736e-19,2.125729556511636e-19,3.7989320326379655e-25,5.2407900615261829e-24,3.1076820816582076e-25,1.5538410408290671e-25,2.9939009062042727e-24,1.9993758657885154e-24,1.9896687729038029e-24,1.6423124410803732e-23,9.9373326361112433e-30,6.1309467843619974e-24
7e-15,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,2.0927124828551798e-16,3.0322812182982035e-18,2.0927122556456073e-16,2.0172707714170728e-16,2.0172708591566298e-16,8.0227618238999346e-17,8.0227700796874136e-17,1.3615590279270738e-18,1.113810917111643e-18,5.5690545855580838e-19,2.3380368202389217e-24,3.2254286032913934e-23,1.9126103643155826e-24,9.563051821577689e-25,1.8425876638099103e-23,1.2305101562949074e-23,1.2245358873101871e-23,1.0107547513757683e-22,1.5530035992868044e-28,3.773273301646725e-23
1.5e-14,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999878,11.0,4.6805461850124518e-16,6.781980653941706e-18,4.6805451065925191e-16,4.5118134063217718e-16,4.511813822765597e-16,1.794362692261499e-16,1.7943666107547322e-16,3.0452476046548384e-18,2.4911369671053745e-18,1.2455684835526583e-18,1.1097138223487163e-23,1.5309062489432035e-22,9.0779195549225484e-24,4.5389597774611677e-24,8.7455966232958651e-23,5.8404528302178502e-23,5.8120961936552735e-23,4.7973982570681843e-22,1.5351855862425892e-27,1.790933695974e-22
3.1e-14,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999756,11.0,9.8562134883596886e-16,1.4281384560656656e-17,9.8562088250125731e-16,9.500897352196574e-16,9.5008991529974154e-16,3.7785269656975138e-16,3.7785439101516317e-16,6.4126053871141151e-18,5.2457732207841849e-18,2.622886610392032e-18,4.7986337277613505e-23,6.6200031813122958e-22,3.9254846584700231e-23,1.9627423292349663e-23,3.7818063158383855e-22,2.5255526728442972e-22,2.5132900971678884e-22,2.0744980799392568e-21,1.3468973152475828e-26,7.7444266843330809e-22
6.300000000000001e-14,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999512,11.0,2.020754769118509e-15,2.9280212515816023e-17,2.0207528327964561e-15,1.9479059948211759e-15,1.9479067425504405e-15,7.7468205276927483e-16,7.7468908842732477e-16,1.3147243470131041e-17,1.0754982344434081e-17,5.3774911722169166e-18,1.9924663699590822e-22,2.7487647893881718e-21,1.6299240835796438e-22,8.1496204178980309e-23,1.5702873760257137e-21,1.0486641602574149e-21,1.043572073499881e-21,8.6136604556464831e-21,1.1257023182215159e-25,3.2156515224715938e-21
1.2700000000000001e-13,0.230682663967164,89.099999999999994,0.0,0.0,0.0,0.99999999999999023,11.0,4.0910214481360965e-15,5.9277948993193946e-17,4.0910135598371684e-15,3.9435363957336154e-15,3.9435394418594267e-15,1.5683267714985495e-15,1.5683554334052914e-15,2.6616209725224536e-17,2.177314706911742e-17,1.0886573534558459e-17,8.1167817672510495e-22,1.1198050253010902e-20,6.639901483034371e-22,3.3199507415171088e-22,6.3971262726404653e-21,4.2721105901844842e-21,4.2513628868365414e-21,3.5089989944035067e-20,9.1998555205665666e-25,1.310009548558554e-20
2.55e-13,0.23068266396716405,89.099999999999994,0.0,0.0,0.0,0.99999999999998046,11.0,8.2315541599823542e-15,1.1927374421731753e-16,8.2315223197643598e-15,7.9347887244214848e-15,7.9348010196297601e-15,3.1555602365254774e-15,3.155675924155931e-15,5.3552902724964904e-17,4.3808462525724529e-17,2.190423126286175e-17,3.276051702512042e-21,4.5199456723101855e-20,2.6799783875578056e-21,1.3399891937788718e-21,2.582127171906643e-20,1.7243909897550866e-20,1.7160137759723464e-20,1.4163003847785733e-19,7.4375263674409531e-24,5.2876970271880314e-20
5.11e-13,0.23068266396716408,89.099999999999994,0.0,0.0,0.0,0.99999999999996092,11.0,1.6512616998927698e-14,2.3926662375208324e-16,1.6512489063357869e-14,1.5917259489452192e-14,1.591730889115594e-14,6.3298032948309217e-15,6.3302681102770477e-15,1.0742133174894828e-16,8.7875038249400003e-17,4.3937519124698794e-17,1.3161774250033284e-20,1.8161208754353392e-19,1.0767144404268712e-20,5.383572202134213e-21,1.0375116140461426e-19,6.9287069275203948e-20,6.8950256516873274e-20,5.6902266608704501e-19,5.9804472426689548e-23,2.124617220575992e-19
