Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501)
1e-12,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.5437984097754848e-16,1.7517794647471187e-17,3.5437868228555654e-16,3.429907306880465e-16,3.4299151464579988e-16,1.187324622360684e-16,1.1873891654384897e-16,7.5563858699561842e-18,6.2591075287817029e-18,3.1295403801293191e-18,1.6317136851815994e-21,4.7661674652006931e-21,1.3515944064134111e-21,6.7578805200099879e-22,3.6418875399496808e-21,2.4384628335512023e-21,2.4291088810483933e-21,9.8171408689361619e-21,1.8281611093101923e-24,1.8049963069285809e-21,2.3510511628475145e-21,8.1386827370591059e-22,4.6327529384189172e-27,6.3315524575700141e-23,8.076838009518201e-31,2.9369455856893492e-27,1.5991449815379222e-27,2.7879689699652621e-31,1.5021861363828135e-30,2.5383967278192546e-34,6.6578624238979177e-27,6.539112811033914e-20,1.1607482520424069e-30,1.2419860210487535e-36,2.1005464118562849e-32,4.2746978658488303e-39,2.1005581446121935e-32,6.9832674115741703e-23,4.5594912014444311e-28,5.8285468420939033e-28,6.3430017928496534e-19,1.1732755908268052e-37,7.9808153574851514e-36
1.023e-12,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.6253488186164311e-16,1.7920920850257652e-17,3.625336827394054e-16,3.5088366392175102e-16,3.5088447523395014e-16,1.2146463002981767e-16,1.2147130954367921e-16,7.7302554207020014e-18,6.4031273728850529e-18,3.201549835194143e-18,1.6886468090445096e-21,4.9324728226867738e-21,1.3987538133392281e-21,6.9936738090881162e-22,3.768964034393522e-21,2.523548272354123e-21,2.513867882233205e-21,1.0159675013650252e-20,1.9029874706434678e-24,1.867978055522093e-21,2.4330864801632336e-21,8.4226626840428838e-22,4.8223719743306441e-27,6.5524863092178527e-23,8.4320089705590219e-31,3.0571556479310606e-27,1.6645982374193671e-27,2.9105672082904576e-31,1.5682427906104742e-30,2.6538990898240618e-34,6.9303634559453852e-27,6.689488478501417e-20,1.2117904926073703e-30,1.2984957518140059e-36,2.1929160733963744e-32,4.4724736541600421e-39,2.1929283400201791e-32,7.2269336062775456e-23,4.7461146896002915e-28,6.0671129306207245e-28,6.488968923226088e-19,1.2266623804682208e-37,8.3439561477573679e-36
2.047e-12,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999833,11.0,7.2560852062919195e-16,3.5869196049032237e-17,7.2560371882694275e-16,7.0228532023120653e-16,7.0228856893939405e-16,2.4308865068674105e-16,2.4311539549808306e-16,1.5468665863888481e-17,1.2813039688024905e-17,6.4064643985283504e-18,6.7605022019389221e-21,1.9751368001990489e-20,5.5999815798446613e-21,2.7999145144355635e-21,1.5092620916176369e-20,1.0105473240630453e-20,1.0066674182535817e-20,4.0673083433608396e-20,1.5239073760378893e-23,7.4801912946354392e-21,9.743179929137613e-21,3.3725794587447309e-21,3.8620586555333817e-26,2.6243783431489551e-22,1.3506417520084136e-29,2.4485241778138561e-26,1.3331406391217169e-26,4.6622222223733876e-30,2.5114737442372582e-29,8.5002354869009697e-33,5.5486408948363803e-26,1.3370926377239354e-19,1.9404850053371035e-29,4.1449171466568648e-35,3.5128509998600733e-31,2.8554640331803105e-37,3.5128903018497185e-31,2.8939072338396117e-22,3.8018282757881701e-27,4.8597741993344391e-27,1.2987762793412403e-18,3.9301989645827752e-36,2.6711907155026648e-34
4.095e-12,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999667,11.0,1.4517439420291312e-15,7.1767325828803183e-17,1.4517247246321924e-15,1.4050668015364085e-15,1.4050798021775939e-15,4.8626934810975569e-16,4.863763613668299e-16,3.0935238299796697e-17,2.5624464783239014e-17,1.2812010659020522e-17,2.7043815171031068e-20,7.90443446345729e-20,2.240195663638756e-20,1.1200368202098346e-20,6.0403022020469394e-20,4.0444120645294558e-20,4.0288565117280866e-20,1.6269357358970679e-19,1.2191598450590708e-22,2.9936652515311273e-20,3.8993816090128627e-20,1.3495731376432342e-20,3.0902384132552617e-25,1.0506924193084096e-21,2.1613456253185284e-28,1.9594529462494035e-25,1.0667578218260417e-25,7.4608699300951748e-29,4.0172162492859187e-28,2.7191267944370045e-31,4.4371564220901192e-25,2.667989445850049e-19,3.1034284102303544e-28,1.3170096073103288e-33,5.6221312798464689e-30,1.8147281759372454e-35,5.622257085119793e-30,1.1581221460049683e-21,3.0433909987637433e-26,3.8899215073601011e-26,2.5985683199960764e-18,1.2580527332299131e-34,8.5364321436726996e-33
8.191e-12,0.25899503185193024,89.099999999999994,0.0,0.0,0.0,0.99999999999999323,11.0,2.903967361516308e-15,1.4356988024147053e-16,2.9038904750781192e-15,2.8105424474325284e-15,2.8105944527274619e-15,9.7236153188763154e-16,9.7278949696395725e-16,6.1827460453683299e-17,5.1213772098235492e-17,2.5606000257436274e-17,1.0809879035451851e-19,3.162224145325468e-19,8.9548745513114253e-20,4.4769498013546275e-20,2.4166918248239552e-19,1.6181824087916513e-19,1.611936661092595e-19,6.5023733645218906e-19,9.7442584100449877e-22,1.1977299333766446e-19,1.5601284954677494e-19,5.3980826048406325e-20,2.4707127253000509e-24,4.2067614873131092e-21,3.4555397312668243e-27,1.5670379984418122e-24,8.529617503935881e-25,1.1929054139202858e-27,6.4171491591556649e-27,8.6857041598205207e-30,3.5434426883661291e-24,5.3084460901278078e-19,4.9559694828527159e-27,4.1512678998282262e-32,8.9909794908395948e-29,1.1441656222063582e-33,8.9913818795159939e-29,4.6330667742440892e-21,2.4354092444185341e-25,3.1122468035395751e-25,5.1982848180699451e-18,4.0238867639815262e-33,2.7214431888095332e-31
1e-11,0.2589950318519303,89.099999999999994,0.0,0.0,0.0,0.99999999999999167,11.0,3.5453005151300253e-15,1.7528702746568115e-16,3.5451726920900813e-15,3.4311942036046538e-15,3.4312806466690339e-15,1.1868068305576139e-15,1.1875179980640292e-15,7.5435000509059152e-17,6.2485768532202545e-17,3.1241413989829241e-17,1.7953680322786496e-19,5.2567416185225458e-19,1.4873530132465112e-19,7.4355266639495978e-20,4.0178022273733397e-19,2.6903254500590044e-19,2.6799027963222589e-19,1.0798167965992144e-18,2.4766495073081059e-21,1.9912180563128839e-19,2.5937600720736999e-19,8.9718065467063512e-20,6.2825396851556291e-24,6.9991140080345888e-21,1.4876778673233213e-26,3.9861225634806284e-24,2.1691463067115002e-24,5.1361734219434094e-27,2.7588120171901062e-26,6.7893003810075029e-29,8.9956574039387075e-24,6.4561489855689263e-19,2.1295920337869314e-26,3.1698108132425838e-31,3.8724621456998373e-28,1.6585459331427461e-32,3.872777423669005e-28,7.7016637126695033e-21,6.2003574774061053e-25,7.9214815103119515e-25,6.3465664452033611e-18,3.1527796916858854e-32,2.1197707780335825e-30
1.6383e-11,0.2589950318519303,89.099999999999994,0.0,0.0,0.0,0.99999999999998634,11.0,5.8082245170738375e-15,2.8719999083336303e-16,5.8079169658254882e-15,5.6211445406122117e-15,5.6213524962704992e-15,1.9434703692035486e-15,1.9451808076393515e-15,1.2344878059389269e-16,1.0225865589428751e-16,5.1125795335248971e-17,4.3160360044763834e-19,1.2647181105209639e-18,3.5757321494822185e-19,1.7874772719197629e-19,9.6672702757275221e-19,6.4733486852218079e-19,6.4481879489872343e-19,2.5955745047907342e-18,7.7771987953213318e-21,4.7910161152968591e-19,6.2408968069967382e-19,2.1581579858441491e-19,1.9732452059261842e-23,1.6851842664621205e-20,5.5176263563543535e-26,1.2521786896616473e-23,6.813262405648605e-24,1.9049871429246657e-26,1.0228923016325195e-25,2.7680411142067443e-28,2.8233626740312253e-23,1.0505782806243698e-18,7.8950926588599451e-26,1.2889627353025359e-30,1.4363884847191894e-27,7.1069581910729951e-32,1.4365170592040587e-27,1.852911216925845e-20,1.9484859727908963e-24,2.4890715967651953e-24,1.0398242302579031e-17,1.28574484869217e-31,8.6390630327440432e-30
3.2767e-11,0.25899503185193035,89.099999999999994,0.0,0.0,0.0,0.99999999999997269,11.0,1.1615980173360637e-14,5.7455885562806622e-16,1.1614750182788152e-14,1.1240952477208758e-14,1.1241783602893238e-14,3.8813964044033862e-15,3.8882253773948071e-15,2.4604342657791565e-16,2.0381700243100972e-16,1.0189445741377366e-16,1.7197551660048786e-18,5.0564383204652073e-18,1.4250450819729251e-18,7.1221344221005807e-19,3.8664978630178356e-18,2.5892903733190006e-18,2.5790860266067841e-18,1.0337374697027084e-17,6.1912773911713059e-20,1.9160811408056683e-18,2.4961402697889184e-18,8.6222359542910133e-19,1.5729231669247178e-22,6.7590464969797862e-20,8.7901508624268991e-25,9.9918349944157483e-23,5.4326842046773266e-23,3.0355330278052419e-25,1.6239781577535404e-24,8.7831156441430864e-27,2.2400851571680544e-22,2.0579743363676801e-18,1.2519665222706774e-24,3.8911216253049152e-29,2.2907209352800535e-26,4.2928875139064164e-30,2.2911310538673152e-26,7.4075841987974748e-20,1.5586602924026462e-23,1.9896092352587387e-23,2.0800214096637357e-17,4.1011858726190943e-30,2.7199647182641266e-28
6.5535e-11,0.25899503185193035,89.099999999999994,0.0,0.0,0.0,0.99999999999994538,11.0,2.3228457499969414e-14,1.149661103146284e-15,2.3223539765919825e-14,2.2474987688811127e-14,2.2478306301402571e-14,7.7401652814339572e-15,7.7673766046547986e-15,4.8867626705205033e-16,4.0483566533109851e-16,2.0236234431522002e-16,6.8256122525224027e-18,2.020418871012739e-17,5.6580397162396434e-18,2.8265779713539545e-18,1.5461089578828118e-17,1.0355680260186516e-17,1.0313747549794161e-17,4.0989953780958314e-17,4.9042208770561414e-19,7.6609247859984769e-18,9.981765895383926e-18,3.4402483484360174e-18,1.2492184304172595e-21,2.7178023443023771e-19,1.3942113674496004e-23,7.9518362894837127e-22,4.3172647382765873e-22,4.8168517131900819e-24,2.558225019290994e-23,2.7632958559554686e-25,1.7626413336801704e-21,3.9545049241677795e-18,1.9675946557346668e-23,1.1169226532288277e-27,3.6409422540354981e-25,2.4666228842843847e-28,3.6422461040197909e-25,2.9595085364453921e-19,1.2465701555617659e-22,1.5888617092755921e-22,4.1612060710093358e-17,1.3038499842932111e-28,8.426846403578422e-27
9.999999999999999e-11,0.2589950318519305,89.099999999999994,0.0,0.0,0.0,0.99999999999991662,10.999999999999998,3.543594609946748e-14,1.755319611356257e-15,3.5423279624209584e-14,3.427909355872958e-14,3.428762303174783e-14,1.1763184233760233e-14,1.1832888054443145e-14,7.3864238889753432e-16,6.1196474079890135e-16,3.0584213524012252e-16,1.7373675136712174e-17,5.198732593991592e-17,1.4410362465151665e-17,7.1940026884487783e-18,3.9831498191615704e-17,2.6686281605404641e-17,2.6573512142333688e-17,1.0417647040318879e-16,2.2555574601535861e-18,1.9732352249287645e-17,2.5716977389711123e-17,8.8313950639327067e-18,5.7726837814092584e-21,7.06352285816281e-19,1.2190929440353004e-22,3.6877278366007811e-21,1.9971570246638198e-21,4.2153676052043397e-23,2.2083888297538296e-22,4.627192250171442e-24,8.0124408405414182e-21,5.7365305735255126e-18,1.6912344584959474e-22,1.6048761823696129e-26,3.1961749712656258e-24,6.9819265342839005e-27,3.1984027592111205e-24,7.6138037714209353e-19,5.8321906519533616e-22,7.4137983486870781e-22,6.3517017357031769e-17,2.2277879454951199e-27,1.3705423817358602e-25
