Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167)
1e-12,0.40641324139777435,89.099999999999994,0.0,0.0,0.0,0.99999999999996791,11.0,1.3716636792006758e-14,1.4402669889264962e-16,1.3716479476748945e-14,1.3232834720107818e-14,1.3232802542694837e-14,5.1235119548974717e-15,5.1242560461993235e-15,6.4570478554755663e-17,5.2954236221090483e-17,2.647711811089772e-17,8.8841911294298894e-21,1.5778474859716647e-19,7.2861894039131069e-21,3.6430124800806604e-21,9.5491915215710936e-20,6.3785523973020651e-20,6.3497734872862677e-20,7.8650413235303723e-19,9.3323723174255459e-23,2.5457179320743307e-19,6.1258425102165365e-20,2.3718824633854416e-20,2.9683178718181245e-25,2.3498447804897511e-21,3.2974328944623035e-29,2.1968350881602309e-25,9.5641366196882782e-26,1.0624557278292512e-29,2.9694525804125543e-28,3.1972579350485769e-32,8.2234995485455436e-26
1.023e-12,0.40641324139777435,89.099999999999994,0.0,0.0,0.0,0.99999999999996714,11.0,1.4032287088372976e-14,1.4734112745095744e-16,1.4032124283910226e-14,1.3537350561525829e-14,1.3537317261299152e-14,5.2414053081761025e-15,5.2421753623424353e-15,6.6056278277335586e-17,5.4172743701383901e-17,2.7086371851058823e-17,9.1941703420144606e-21,1.632903211643405e-19,7.5404144231502204e-21,3.7701216244476296e-21,9.88239168394199e-20,6.6011197402229889e-20,6.5713362367370021e-20,8.139463483621663e-19,9.7143406133178858e-23,2.6345455634341222e-19,6.3395915747598286e-20,2.4546427224939168e-20,3.089811703805363e-25,2.4318603332902921e-21,3.4424337052610172e-29,2.286751628256424e-25,9.9556001305560664e-26,1.1091760770953475e-29,3.1000298178095099e-28,3.3427392506608715e-32,8.5600823985799237e-26
2.047e-12,0.4064132413977745,89.099999999999994,0.0,0.0,0.0,0.99999999999993416,11.0,2.8085608494882743e-14,2.9491256324803511e-16,2.8084956553698743e-14,2.7094802662962552e-14,2.7094669282013618e-14,1.0488915600144523e-14,1.049199873370307e-14,1.3219230640686116e-16,1.0841148805078632e-16,5.4205744028221663e-17,3.680574387124579e-20,6.5387688622445122e-19,3.0186767096728461e-20,1.5092698381724945e-20,3.957347476426611e-19,2.643406045806471e-19,2.6314510752626573e-19,3.2585105602552142e-18,7.7780350236045712e-22,1.0549774593940588e-18,2.5386463706291573e-19,9.8281713031978593e-20,2.4745945921863136e-24,9.7536859593502385e-21,5.513510727032757e-28,1.8313367359614866e-24,7.973744435543446e-25,1.7765827065861996e-28,4.963991766096961e-27,1.0703870449699121e-30,6.8538593536927279e-25
4.095e-12,0.40641324139777474,89.099999999999994,0.0,0.0,0.0,0.99999999999986811,11.0,5.619233631911021e-14,5.9008468474944235e-16,5.6189727155571881e-14,5.4209215953156517e-14,5.4208681886475665e-14,2.0978711808274776e-14,2.0991046922142437e-14,2.6440698979980445e-16,2.168437114730865e-16,1.0842185575738649e-16,1.47207687717523e-19,2.6168313487101388e-18,1.2074471689100324e-19,6.0366880361907579e-20,1.5837881659646734e-18,1.057949839075464e-18,1.0531426048666773e-18,1.3033906799613543e-17,6.2207091344494137e-21,4.2220831421530709e-18,1.0159977083105367e-18,3.9323327984767709e-19,1.9801813587276754e-23,3.9159164562850506e-20,8.8210317089886024e-27,1.4652894400176326e-23,6.3812953179829445e-24,2.8426354367779447e-27,7.9382977505930527e-26,3.4223392169710743e-29,5.4815897928977243e-24
8.191e-12,0.40641324139777524,89.099999999999994,0.0,0.0,0.0,0.9999999999997361,11.0,1.1240613193408577e-13,1.1805459375950157e-15,1.1239569286757042e-13,1.0843607962039185e-13,1.084339408083456e-13,4.1937430179449465e-14,4.198674978034147e-14,5.2860738560666372e-16,4.3352746438871324e-16,2.1676373233240077e-16,5.8821400375250105e-19,1.0469111668767125e-17,4.8255429039947366e-19,2.4123341534144035e-19,6.3366178356349065e-18,4.2329395763193713e-18,4.2135247117407274e-18,5.2090749064057661e-17,4.9689447529717094e-20,1.6891514992662081e-17,4.0648859636573681e-18,1.5724616948690685e-18,1.5834007966733273e-22,1.5765955573552762e-19,1.4096960536827824e-25,1.1714339848814613e-22,5.1037089650232675e-23,4.5437700124985906e-26,1.2674889396756766e-24,1.0921103984355905e-27,4.3785817474620311e-23
1e-11,0.4064132413977763,89.099999999999994,0.0,0.0,0.0,0.9999999999996777,11.0,1.3723327688023857e-13,1.4414267534924095e-15,1.3721592180267661e-13,1.3238366259692865e-13,1.3238010317999807e-13,5.1175459614865345e-14,5.125739718547535e-14,6.4509025863726157e-16,5.2906696744968565e-16,2.6453348397552039e-16,9.7658791391804794e-19,1.7403910027539576e-17,8.0130824058531848e-19,4.0054316489084742e-19,1.05347077155627e-17,7.0376009041754139e-18,7.0050028516539096e-18,8.6501291073459871e-17,1.2618706271856142e-19,2.8081082490377938e-17,6.7578452693523151e-18,2.6127645700794917e-18,4.026995604539165e-22,2.6384891389003375e-19,6.0647827563636211e-25,2.9783856112029104e-22,1.2983819056841275e-22,1.9554726347098136e-25,5.4449962432057044e-24,8.5213886495252054e-27,1.1119563143726006e-22
1.6383e-11,0.4064132413977763,89.099999999999994,0.0,0.0,0.0,0.99999999999947198,10.999999999999998,2.2483508240334147e-13,2.3619365643675131e-15,2.2479332439680749e-13,2.1688196118135877e-13,2.1687338920446331e-13,8.3771557948894955e-14,8.396858700690684e-14,1.0560964380481544e-15,8.6617512004127547e-16,4.3308756066873883e-16,2.3469531259615443e-18,4.1873129443816257e-17,1.9260215982615184e-18,9.6266264049829052e-19,2.5347536739100049e-17,1.6933760802298737e-17,1.6854646282867755e-17,2.0791781381863078e-16,3.961065086834e-19,6.7563121925380885e-17,1.6259868071038781e-17,6.2834407737655793e-18,1.2649143563968474e-21,6.3853474755515914e-19,2.2490110795728886e-24,9.3541579886544354e-22,4.078854139850758e-22,7.252041694065747e-25,2.0185200288773508e-23,3.473536492188838e-26,3.4904905461223489e-22
2.4575e-11,0.4064132413977774,89.099999999999994,0.0,0.0,0.0,0.99999999999920786,10.999999999999996,3.3726539148483501e-13,3.5437953939319357e-15,3.3717665810320423e-13,3.2532000282660507e-13,3.2530176386760485e-13,1.2552256349646723e-13,1.2594086132582864e-13,1.5826778770099522e-15,1.2981058392211938e-15,6.4905292071896707e-16,4.9783542757108143e-18,8.8970578936514687e-17,4.0864223801082886e-18,2.0422184745175279e-18,5.3862085215204203e-17,3.5985180435084633e-17,3.5814934355630471e-17,4.4114878657810101e-16,1.1302511629259552e-18,1.4355934681376081e-16,3.4550773277982512e-17,1.3342173917341509e-17,3.613717841621143e-21,1.3683807875570687e-18,8.2660041270553022e-24,2.6717278842920536e-21,1.1655630383469503e-21,2.6659366034481036e-24,7.4124754229009665e-23,1.5819082522531946e-25,9.9598405252962383e-22
4.0959e-11,0.4064132413977795,89.099999999999994,0.0,0.0,0.0,0.99999999999867972,10.999999999999995,5.6213143907565433e-13,5.9093865179162746e-15,5.6188615079501643e-13,5.4216477297824024e-13,5.4211418420284505e-13,2.0869357245038372e-13,2.0984720294746897e-13,2.6322430045240378e-15,2.1591226535641313e-15,1.0795613216822623e-15,1.3699586408582064e-17,2.4589104985678713e-16,1.1251828384386904e-17,5.6213909345919738e-18,1.4889268875271422e-16,9.9488466199370496e-17,9.9002653427927145e-17,1.2147719369904496e-15,5.161193527352943e-18,3.9678548008211387e-16,9.5506021815061818e-17,3.6812681239957978e-17,1.6562571343611251e-20,3.864406800741629e-18,6.3270619890163725e-23,1.2236174615724667e-20,5.3459377469074089e-21,2.0420217666694013e-23,5.6564098063523767e-22,2.037450893429597e-24,4.5481635050055256e-21
5.57046e-11,0.4064132413977814,89.099999999999994,0.0,0.0,0.0,0.99999999999820444,10.999999999999991,7.6451526395350946e-13,8.0399323017688337e-15,7.6407852287492006e-13,7.372998059252071e-13,7.3720953117103907e-13,2.8328117441770135e-13,2.8533208045774111e-13,3.573968807009367e-15,2.931756508171547e-15,1.4658782299984223e-15,2.4319316070734672e-17,4.3775190023729164e-16,1.9981950996977555e-17,9.9808420972675646e-18,2.6510686088374594e-16,1.7715739407717738e-16,1.7627445751409878e-16,2.1573951664330554e-15,1.1576613825421559e-17,7.0641475425413735e-16,1.7004618300001716e-16,6.5463955115986722e-17,3.7226094063804017e-20,6.976778958550232e-18,1.7383555325373987e-22,2.749077695250421e-20,1.2020376277631091e-20,5.6122383039312824e-23,1.5519165780985464e-21,6.6345394748108514e-24,1.020168884665635e-20
7.04502e-11,0.4064132413977833,89.099999999999994,0.0,0.0,0.0,0.99999999999772915,10.999999999999986,9.6690372276312427e-13,1.0172080951090263e-14,9.6622203793637923e-13,9.3240814138419701e-13,9.3226692215472535e-13,3.5758817785908405e-13,3.60784363826694e-13,4.5126711576530313e-15,3.7019954764134003e-15,1.8509976679495789e-15,3.7844159572207127e-17,6.8316433836649907e-16,3.1106931486005433e-17,1.5534408418343445e-17,4.1379093202168937e-16,2.7654036299716813e-16,2.7513399218297693e-16,3.3586884187054541e-15,2.1799197388321702e-17,1.1024930741942779e-15,2.6540877587061463e-16,1.0205052415715857e-16,7.0248580815424326e-20,1.104039208821564e-17,3.9049196509765282e-22,5.1854857491438455e-20,2.2692941595838732e-20,1.2611433956795906e-22,3.4806835503934961e-21,1.7484276292363629e-23,1.921036904141707e-20
8.51958e-11,0.40641324139778523,89.099999999999994,0.0,0.0,0.0,0.99999999999725386,10.999999999999982,1.1692965552246005e-12,1.2305744142612303e-14,1.168319414164762e-12,1.1274912907052439e-12,1.127288435872715e-12,4.3163117097909056e-13,4.3620589028141598e-13,5.4485402313222231e-15,4.4699883169943542e-15,2.2349940028860387e-15,5.4090833728448091e-17,9.7912770757485325e-16,4.4478007852410352e-17,2.2207298296472995e-17,5.9313704858120423e-16,3.9643315669264892e-16,3.9437864726949027e-16,4.8026170658839372e-15,3.6310269864354442e-17,1.5801859450003985e-15,3.8043306606660112e-16,1.4610610489270381e-16,1.1724500301453963e-19,1.6030728922733261e-17,7.4869807554264214e-22,8.6510907026190841e-20,3.7889386378026673e-20,2.4188028023118549e-22,6.6640870032833851e-21,3.8027780629866374e-23,3.1998449194594868e-20
9.999999999999999e-11,0.406413241397789,89.099999999999994,0.0,0.0,0.0,0.99999999999677658,10.999999999999979,1.3724970513746695e-12,1.4449045272817468e-14,1.3711846680286758e-12,1.3233304849348972e-12,1.3230575199355611e-12,5.0576753471392218e-13,5.1190365785496643e-13,6.3859836884636735e-15,5.2393310674353924e-15,2.6196652466195755e-15,7.2461996074253582e-17,1.3148903374136441e-15,5.9604337939499573e-17,2.9754352238848308e-17,7.9663419469947626e-16,5.324848881242302e-16,5.2967908469927629e-16,6.4361888208424541e-15,5.4819403720603677e-17,2.1221435258949536e-15,5.109426668277273e-16,1.9602254325518075e-16,1.7732825751948707e-19,2.1776636305837893e-17,1.2637710695245685e-21,1.3079664746067647e-19,5.7326252443841665e-20,4.0840546932939216e-22,1.1234049077892515e-20,7.1126709539292111e-23,4.8310048248144708e-20
1.1468700000000001e-10,0.406413241397789,89.099999999999994,0.0,0.0,0.0,0.99999999999630318,10.999999999999975,1.5740921838076912e-12,1.6576525757027299e-14,1.5724089819310796e-12,1.5176002459313866e-12,1.5172495775268158e-12,5.7911808948586069e-13,5.8697889410812049e-13,7.3138820897483132e-15,6.0008978625301812e-15,3.0004484683797905e-15,9.2727282356020067e-17,1.6862361738758135e-15,7.6296210169602575e-17,3.8080925997831848e-17,1.0217269510431395e-15,6.8298701172160425e-16,6.7933627653243152e-16,8.2389152348509134e-15,7.7083453130392512e-17,2.7215605000407233e-15,6.552987225150738e-16,2.5117338873573427e-16,2.4970841287643675e-19,2.8205521750742691e-17,1.9286733356396084e-21,1.8412993843273179e-19,8.0747957119532306e-20,6.2341435945565713e-22,1.7128160031282169e-20,1.1631409669338209e-22,6.7930887554976325e-20
1.441782e-10,0.4064132413977928,89.099999999999994,0.0,0.0,0.0,0.9999999999953525,10.999999999999968,1.9789039489010472e-12,2.0852909663672148e-14,1.9763281012225669e-12,1.9076163738310656e-12,1.9070779033330964e-12,7.2563786430028873e-13,7.376384747989215e-13,9.1689397917371935e-15,7.523638925688216e-15,3.761818399625035e-15,1.4123873449045168e-16,2.579913381225166e-15,1.1628273846002236e-16,5.8020078286153389e-17,1.5635787984982235e-15,1.0453418188379332e-15,1.0395884873112965e-15,1.2557890270823492e-14,1.3942582112315091e-16,4.1642318997417718e-15,1.0027805504417919e-15,3.836254027142365e-16,4.5304825255950394e-19,4.4040703814524033e-17,4.0702004285857168e-21,3.3386068414382546e-19,1.4658925663170589e-19,1.3162482869343929e-21,3.6072396104214856e-20,2.8053622974142528e-22,1.2287270405422983e-19
1.736694e-10,0.40641324139779655,89.099999999999994,0.0,0.0,0.0,0.99999999999440181,10.999999999999961,2.3837329200979791e-12,2.5135279079365398e-14,2.3800652925418582e-12,2.2975335982607872e-12,2.296764242954891e-12,8.7113202792952941e-13,8.8817715805735706e-13,1.1013168733873161e-14,9.0377662940084153e-15,4.5188810206224448e-15,2.0014430762350194e-16,3.6725776007770223e-15,1.6488276439278248e-16,8.224218966729628e-17,2.2263114712688451e-15,1.4886293638706466e-15,1.4801954496070438e-15,1.7807896522420309e-14,2.2939741195515494e-16,5.9283227537536356e-15,1.4277534952218008e-15,5.4513701001547968e-16,7.4772395589877126e-19,6.3975184781097827e-17,7.6731675043685045e-21,5.5066328808907685e-19,2.4208177034395796e-19,2.4825775585378699e-21,6.7862669782583465e-20,5.9545043642215486e-22,2.021653186439083e-19
2.326518e-10,0.4064132413978041,89.099999999999994,0.0,0.0,0.0,0.99999999999250055,10.999999999999943,3.1934432900763369e-12,3.3718332422852535e-14,3.1869841633088835e-12,3.0770671479072043e-12,3.075701944151618e-12,1.159030875841004e-12,1.1888864211774927e-12,1.4669486478879325e-14,1.2040377231166997e-14,6.020181661418082e-15,3.4878134370315687e-16,6.4645677032145345e-15,2.8772584029385148e-16,1.4341161700865104e-16,3.9208261749159123e-15,2.6225013763935548e-15,2.6067009196155445e-15,3.1081345961848221e-14,5.2211249413377774e-16,1.0436879845479159e-14,2.5142160147890692e-15,9.5581940027323453e-16,1.7150483536210263e-18,1.1756954378583316e-16,2.3023870414246626e-20,1.2610356470185483e-18,5.5609579131515281e-19,7.4591713948116252e-21,2.0243199253045275e-19,2.3463773699621254e-21,4.6014576845589504e-19
