Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302)
0.0,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.0147098317565001e-18,9.2010590621425077e-20,3.0147098023781213e-18,2.912405525325371e-18,2.9124055327704414e-18,1.0762897058923538e-18,1.0762898401040818e-18,4.1160442882249523e-20,3.3900073401948365e-20,1.6950036700973972e-20,1.5777608085395909e-26,8.5360127472041441e-26,1.2994566008520242e-26,6.4972830042600405e-27,5.7039144898435247e-26,3.8127250271472989e-26,3.7971881721705017e-26,1.8928311732666994e-25,7.2555945215979508e-32,4.874200761416407e-26,3.6683304540222847e-26,1.3556444264950841e-26,2.1019796563231403e-34,1.1287773422579912e-27,8.0573018198742412e-41
3.0000000000000002e-15,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.4444874825533364e-18,2.272098313566836e-19,7.4444873350618819e-18,7.1918584048342167e-18,7.1918584422115033e-18,2.6577760892000771e-18,2.6577767629976028e-18,1.0164105289772074e-19,8.3712393006453402e-20,4.1856196503226159e-20,7.9210000098726784e-26,4.2854265761017238e-25,6.5238000499626219e-26,3.2619000249812696e-26,2.8635978415438113e-25,1.9141435701311864e-25,1.9063434230535119e-25,9.5027811432183672e-25,6.130234489411548e-31,2.4470476682417717e-25,1.841651584960961e-25,6.8058874327462085e-26,1.7759578573152025e-33,5.6669258126391006e-27,1.0227837280860736e-39
7e-15,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9503326284969099e-17,5.9525224132280606e-19,1.9503325377237243e-17,1.8841479328687237e-17,1.8841479558724478e-17,6.9629303548611504e-18,6.9629345017257837e-18,2.6628247495293951e-19,2.1931240232567177e-19,1.0965620116283458e-19,4.87494936905285e-25,2.6374530510934338e-24,4.0150483949660689e-25,2.0075241974830106e-25,1.7623930376213257e-24,1.1780541786406867e-24,1.1732535729517032e-24,5.8484504376760763e-24,9.5803220186479706e-30,1.5060283819634127e-24,1.1334391557470918e-24,4.1886619238248361e-25,2.7754666231857915e-32,3.4876999705616712e-26,4.3578395559866204e-38
1.5e-14,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.362100235512003e-17,1.3313372001530077e-18,4.3620998046691904e-17,4.2140717731918419e-17,4.2140718823758013e-17,1.5573225552626555e-17,1.5573245235142975e-17,5.9556429672764932e-19,4.9051158931811085e-19,2.4525579465905273e-19,2.3138235993406968e-24,1.2518316171220141e-23,1.9056845147735391e-24,9.5284225738675889e-25,8.3649636817501857e-24,5.5914774639768399e-24,5.5686917944163908e-24,2.7758815763958332e-23,9.470418476710715e-29,7.1481625668637694e-24,5.3797178681368046e-24,1.9880909671306199e-24,2.7436305284185682e-31,1.6553960869843501e-25,8.8492714625658241e-37
3.1e-14,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,9.1856348356700275e-17,2.8035076734052818e-18,9.1856329726021272e-17,8.8739180760490177e-17,8.8739185481854619e-17,3.2793762614114381e-17,3.2793847725847527e-17,1.2541238509730951e-18,1.0329066367485846e-18,5.1645331837428882e-19,1.0005477456582581e-23,5.413218406634614e-23,8.2405982658512963e-24,4.1202991329256165e-24,3.6172116119621829e-23,2.4178896819761932e-23,2.4080364094438357e-23,1.2003515955141508e-22,8.3089097409751168e-28,3.0910371472597313e-23,2.3263194493037622e-23,8.5969701697350444e-24,2.407141362878965e-30,7.1583805123511386e-25,1.5648151900352591e-35
6.300000000000001e-14,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.8832701580498013e-16,5.7478508422776567e-18,1.8832693844639461e-16,1.8193605170614196e-16,1.81936071310159e-16,6.7234623402389875e-17,6.723497680295193e-17,2.571226602559586e-18,2.1176834256286023e-18,1.0588417128143119e-18,4.1544462323098508e-23,2.2476826505456101e-22,3.4216406665449085e-23,1.7108203332724642e-23,1.5019442240054366e-22,1.0039601240609698e-22,9.9986866654106033e-23,4.9840654307253139e-22,6.9444147072548773e-27,1.2834649316761168e-22,9.659379517191899e-23,3.569635997642366e-23,2.0118490638517394e-29,2.9723548717763509e-24,2.6242445498433565e-34
1.2700000000000001e-13,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.8126825248206426e-16,1.1636546069496449e-17,3.8126793733427488e-16,3.6832957315204377e-16,3.6832965301515775e-16,1.3611549165191367e-16,1.3611693134165875e-16,5.2053666806068133e-18,4.2871837813583562e-18,2.1435918906793476e-18,1.6924266893892425e-22,9.1567203646050333e-22,1.3939005348455484e-22,6.9695026742281677e-23,6.1187069503769553e-22,4.0899923695239949e-22,4.0733229986222137e-22,2.030394042334298e-21,5.6754220234995762e-26,5.2286508601441434e-22,3.9350935127523595e-22,1.4542096751771102e-22,1.6442289594418368e-28,1.2109284544440237e-23,4.2960650757176891e-33
2.55e-13,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,11.0,7.6715033295870634e-16,2.34139720818521e-17,7.671490609007711e-16,7.4111573426676185e-16,7.4111605661827638e-16,2.7387381493703821e-16,2.7387962597079993e-16,1.0473385156131515e-17,8.6259716198431658e-18,4.3129858099231136e-18,6.8310025740746889e-22,3.6959918462498312e-21,5.6261031972133878e-22,2.8130515986074871e-22,2.4697471162629574e-21,1.6508807465371323e-21,1.6441512486399785e-21,8.1951075761187229e-21,4.5883422444236918e-25,2.1104839409807034e-21,1.5883560027056784e-21,5.8696791304167373e-22,1.3293174501409535e-27,4.8880458199386664e-23,6.951704501978555e-32
5.11e-13,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999645,11.0,1.5389129224048922e-15,4.6968966338410862e-17,1.5389078112143143e-15,1.4866845294240277e-15,1.4866858245934882e-15,5.4937680940503119e-16,5.4940015754587294e-16,2.1008375544343713e-17,1.7302695926068182e-17,8.6513479630467176e-18,2.7445019810685253e-21,1.4850567170342964e-20,2.2604215799830508e-21,1.1302107899928438e-21,9.9235733479226818e-21,6.6333367036721001e-21,6.6062884357588777e-21,3.2925565938224833e-20,3.6896163578519901e-24,8.4800185006072392e-21,6.3820964245178715e-21,2.358408078154071e-21,1.0689850984252658e-26,1.964259020642594e-22,1.1184498789486501e-30
1e-12,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999289,11.0,3.0130940525264673e-15,9.1963229207734178e-17,3.0130742528094042e-15,2.910823949057078e-15,2.9108289658633142e-15,1.0755784266408513e-15,1.0756688659089523e-15,4.112785629885153e-17,3.3873343512263465e-17,1.6936671756229554e-17,1.0629898974331138e-20,5.7527265309369353e-20,8.7550831089683424e-21,4.3775415545045755e-21,3.8441985639301552e-20,2.5696338148214283e-20,2.559149110740657e-20,1.2752573328236291e-19,2.8424448558694476e-23,3.2849809048779578e-20,2.4722986013832966e-20,9.1355548574417107e-21,8.2360194052720397e-26,7.6108141681527178e-22,1.7186331480216904e-29
1.023e-12,0.2163728746945018,89.099999999999994,0.0,0.0,0.0,0.99999999999999278,11.0,3.0824318152929217e-15,9.4079523780319935e-17,3.0824113247044699e-15,2.9778080117392053e-15,2.9778132035917519e-15,1.1003281959586914e-15,1.1004217908421851e-15,4.2074171344564577e-17,3.46527400244976e-17,1.7326370012350628e-17,1.100078676747028e-20,5.9534553769896163e-20,9.0605579866097781e-21,4.5302789933261909e-21,3.9783342454642478e-20,2.6592961938039376e-20,2.6484455650244804e-20,1.3197522990591132e-19,2.9587845574276026e-23,3.3996036416076027e-20,2.5585645442369258e-20,9.4543163623979805e-21,8.5731191783957126e-26,7.8763985615938895e-22,1.7942080512587394e-29
