Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8)
1e-12,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3845515429486195e-20,2.2926990909717538e-20,1.3845515217270343e-20,1.3513441678324829e-20,1.3513504147790548e-20,3.4674836884909297e-21,3.4674330162903752e-21,1.0094085810750457e-20,8.5502944500652893e-21,4.275147225032586e-21,3.4289628237196245e-24,1.3706699274433973e-25,2.9045372865662693e-24,1.4522671738119828e-24,1.8380837630246267e-25,1.2504376867266121e-25,1.2437288470534915e-25,5.472546768173507e-26,1.6028418062601736e-29,2.3592258493978291e-27,1.2139044918085045e-25,3.1148130672381801e-26,2.0836957329271777e-32,9.1496890156469005e-28,5.7130085435099832e-36,8.6500864916786892e-33,8.6897319412280839e-33,2.3825215525315101e-36,3.4876263382902592e-37,9.2677093367755454e-41,1.4694729490433554e-30,3.2374533681304929e-25
1.023e-12,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4163869841719794e-20,2.3454161099759769e-20,1.4163869622102136e-20,1.3824159874007066e-20,1.3824224522321782e-20,3.5472120106631933e-21,3.5471595710960076e-21,1.0326142716893066e-20,8.7468605346102362e-21,4.3734302673050587e-21,3.5485546781643131e-24,1.4184769068893055e-25,3.0058387689890867e-24,1.5029178548905972e-24,1.9021937062767875e-25,1.29405133833572e-25,1.2871085023990334e-25,5.6634119573005699e-26,1.668432425327784e-29,2.441512580431814e-27,1.2562439117226708e-25,3.2234534679106592e-26,2.1689635994898184e-32,9.4688102051305555e-28,5.9642063805717115e-36,9.0040669020761979e-33,9.045328665478769e-33,2.4872797424497933e-36,3.6409739214328029e-37,9.689387608496212e-41,1.5296058224715328e-30,3.3118117783487824e-25
2.047e-12,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8337367935579315e-20,4.6924697280237842e-20,2.8337367056660806e-20,2.7657588566943181e-20,2.7657847290297467e-20,7.0967218451332364e-21,7.0965119882248004e-21,2.0652394543060162e-20,1.7493814320355388e-20,8.7469071601777178e-21,1.4197466115826417e-23,5.6766922305149884e-25,1.2026109198604054e-23,6.0130423588909923e-24,7.6126793023302876e-25,5.1788824499896006e-25,5.1510963294278277e-25,2.2658352577027089e-25,1.3351673315874482e-28,9.7710876576665186e-27,5.027573813114287e-25,1.2900305684219226e-25,1.7357200976813847e-31,3.7889215366038093e-27,9.5462510098053406e-35,7.2072501819125874e-32,7.238615607086768e-32,3.9811490308933647e-35,5.8261502368057061e-36,3.1010108364466922e-39,1.2240441417633069e-29,6.6117288861821474e-25
4.095e-12,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.6683588150073827e-20,9.3865779621785095e-20,5.6683584633585279e-20,5.5323302967007394e-20,5.532433808620571e-20,1.4195206649376942e-20,1.4194367093716602e-20,4.1283619409132875e-20,3.4969699951957728e-20,1.7484849975979836e-20,5.6771124545407351e-23,2.2711163667919001e-24,4.8088589943432179e-23,2.4044197081266786e-23,3.0457973315670094e-24,2.0720633370768236e-24,2.0609458196326473e-24,9.0599679641157104e-25,1.0678251600755681e-27,3.9093870838045613e-26,2.0115243988887307e-24,5.1612520974364026e-25,1.3881770433867128e-30,1.5154931132812093e-26,1.5270196400143076e-33,5.7668887783832017e-31,5.789327844558136e-31,6.3683574931746053e-34,9.3145393482948515e-35,9.9157188202639906e-38,9.7890936451916568e-29,1.3169243884421535e-24
8.191e-12,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1337292485644576e-19,1.8774798400836531e-19,1.1337291078950458e-19,1.106501602032579e-19,1.1065430085882293e-19,2.8390037132337275e-20,2.8386679205582555e-20,8.2461130141807817e-20,6.9849532499904251e-20,3.4924766249957933e-20,2.2684566235160648e-22,9.084410338956664e-24,1.9215226667258079e-22,9.6075351096317021e-23,1.2184205385652084e-23,8.2890783925576851e-24,8.2446012477772639e-24,3.619870187266471e-24,8.5337533861563193e-27,1.5639017925839952e-25,8.0468939522105014e-24,2.0645931923057033e-24,1.1093951452091977e-29,6.0589903293808752e-26,2.4408152348809943e-32,4.6131354091929766e-30,4.6268396606692161e-30,1.0179633613873286e-32,1.4872632293029862e-33,3.1666198352593591e-36,7.8224775650341509e-28,2.6117171269909252e-24
1e-11,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3840705133726027e-19,2.2921113094162601e-19,1.3840702795201027e-19,1.3508125091780992e-19,1.3508813425445276e-19,3.4657300657216061e-20,3.4651719290813031e-20,1.0057247705100778e-19,8.5190942861604636e-20,4.2595471430803943e-20,3.7666557804143813e-22,1.5100937816155385e-23,3.1905935377740041e-22,1.5952768890855708e-22,2.025562565783495e-23,1.3780410267121468e-23,1.3706463315349837e-23,6.0100703228052922e-24,2.1690418886147309e-26,2.5999369148047472e-25,1.3377775869396067e-23,3.4321408604006164e-24,2.8197865997533831e-29,1.006662437776183e-25,1.0506587060348437e-31,1.1740817660380417e-29,1.1760750438951673e-29,4.3821018381424798e-32,6.3908121928212617e-33,2.474814261780425e-35,1.9880135862636105e-27,3.1691770214402331e-24
1.6383e-11,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2673918474081969e-19,3.7551254988855965e-19,2.267391284762081e-19,2.2128559145456256e-19,2.2130215225572692e-19,5.6771144261031044e-20,5.6757717557273023e-20,1.6447779895339764e-19,1.3932263016880942e-19,6.9661315084391565e-20,9.0530047126874294e-22,3.6330067106901331e-23,7.6684704697257088e-22,3.8341728108961196e-22,4.8735379995780334e-23,3.3156403277259994e-23,3.2978473031942277e-23,1.4443816848589855e-23,6.8113302184346568e-26,6.255554485360332e-25,3.2187626216214986e-23,8.2574900950329168e-24,8.8548494269261464e-29,2.4207435948140838e-25,3.8966411030474828e-31,3.6890621866753778e-29,3.6932531808645914e-29,1.6252359382160227e-31,2.3692831559397902e-32,1.0089787170624206e-34,6.2425206572195655e-27,5.1361568480128871e-24
3.2767e-11,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.5342206129048397e-19,7.5104229709281519e-19,4.5342183627934192e-19,4.4248334533863995e-19,4.4254956749472235e-19,1.1349916446964652e-19,1.1344550291780967e-19,3.2716886035295693e-19,2.7713197719320826e-19,1.3856598859550197e-19,3.6043001672309502e-21,1.4524546674245148e-22,3.0530849198661789e-21,1.5264927732061614e-21,1.9491086339755955e-22,1.3261331684455331e-22,1.3190149241024483e-22,5.7486201852242786e-23,5.4235277343317882e-25,2.50193414322239e-24,1.2873827417941608e-22,3.3019662145733038e-23,7.0507907173608041e-28,9.6593546004478952e-25,6.2063242982685601e-30,2.9486008313926624e-28,2.9412014621315795e-28,2.5889141478015012e-30,3.7576241294131661e-31,3.2008139641699712e-33,4.9688692494957819e-26,9.937344597158122e-24
6.5535e-11,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.0658932863038009e-19,1.5021041591264881e-18,9.0658842900822803e-19,8.8458661263051933e-19,8.8485132023057628e-19,2.268185987921817e-19,2.2660432462983066e-19,6.472694997209074e-19,5.4827742026769111e-19,2.7413871010940358e-19,1.4283050497878786e-20,5.8035589733393213e-22,1.2098811631828485e-20,6.0490123315260759e-21,7.7936009947512344e-22,5.3032891510377292e-22,5.2748093001997174e-22,2.2765153530865176e-22,4.2982382275766873e-24,1.00049456922914e-23,5.1483002438948293e-22,1.3198986946034634e-22,5.5880735582815294e-27,3.8448969228996715e-24,9.8401343689981138e-29,2.3545172774847851e-27,2.3316625070941971e-27,4.1057937858332491e-29,5.9075117730086459e-30,1.0066642516845342e-31,3.9351526257877233e-25,1.8642360552918911e-23
9.999999999999999e-11,0.16471289270797138,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3828082081734274e-18,2.2920669128775432e-18,1.3828058910551595e-18,1.3489717346814262e-18,1.3496532945885674e-18,3.4572000913163123e-19,3.4516924958777082e-19,9.7319440952222627e-19,8.2435712626072853e-19,4.1217856289144043e-19,3.6266550982705067e-20,1.493317865580719e-21,3.0720908183281439e-20,1.5358645012738938e-20,2.0077118762677919e-21,1.3664694103927596e-21,1.3591254694049894e-21,5.774036100861096e-22,1.9787736569977506e-23,2.5777327165957815e-23,1.326524333595297e-21,3.3984840939679607e-22,2.572786169246806e-26,9.8334120264343191e-24,8.5985291758333026e-28,1.0985276156278957e-26,1.0740175392285293e-26,3.5894558745442199e-28,5.0810527368436294e-29,1.6847080184596352e-30,1.8093440102223542e-24,2.6235791226373763e-23
