Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56)
0.0,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1784214282250555e-24,8.5134466757039946e-24,3.178421428309553e-24,3.1057768368982663e-24,3.1057768575287512e-24,7.6408112426707474e-25,7.6408109571412576e-25,3.7438128832580219e-24,3.1797529492241917e-24,1.5898764746120711e-24,1.9210539070784751e-30,4.280129057724715e-32,1.6316191590198422e-30,8.1580957950990816e-31,6.1769535763610873e-32,4.2153857631456552e-32,4.1914749772359175e-32,1.4148943342123141e-32,7.2602140480141727e-39,5.0813303389201262e-34,4.0956765101263863e-32
3.0000000000000002e-15,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0443384554279194e-23,2.7972753363444915e-23,1.0443384554834459e-23,1.0204695118527458e-23,1.0204695254099217e-23,2.5105522188483899e-24,2.5105520312147334e-24,1.2301093161530628e-23,1.0447754329276082e-23,5.2238771646379557e-24,1.2624065707121326e-29,2.8126561694856944e-31,1.0722066360920795e-29,5.3610331804603119e-30,4.0591408865108236e-31,2.7701106283627112e-31,2.7543978263198095e-31,9.2978748981235554e-32,6.8453435646078263e-38,3.339159916351294e-33,2.6914445483076217e-31
7e-15,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.315706920765735e-23,6.2026540069455675e-23,2.3157069210675088e-23,2.2627800914950758e-23,2.2627801651753735e-23,5.5668763593210585e-24,5.5668753395731404e-24,2.7276296393891206e-23,2.3166725102700887e-23,1.1583362551350251e-23,6.8608952845691942e-29,1.5286172413494434e-30,5.827201496950934e-29,2.9136007484754199e-29,2.2060547055010126e-30,1.5054948501693627e-30,1.49695528428855e-30,5.0531852572636926e-31,1.1056250608094447e-36,1.8147607510629143e-32,1.4627415475613785e-30
1.5e-14,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.8584435817448755e-23,1.3013411348960937e-22,4.8584435830799232e-23,4.7474008559366005e-23,4.747401181898187e-23,1.1679523732568603e-23,1.167951922120538e-23,5.7226579912066314e-23,4.860456222669178e-23,2.4302281113345493e-23,3.0352527314526983e-28,6.7626008967700437e-30,2.5779477089472045e-28,1.2889738544735809e-28,9.7595851049397475e-30,6.6603088015641038e-30,6.6225297653913205e-30,2.235523556275293e-30,1.0282496537112291e-35,8.0285010259199549e-32,6.4711682038325923e-30
3.1e-14,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.9439158249174235e-23,2.6634926036244542e-22,9.9439158304821303e-23,9.7166408054476104e-23,9.7166421641116781e-23,2.3904814848273682e-23,2.3904796044141385e-23,1.1712665516628248e-22,9.9479818786676958e-23,4.9739909393337662e-23,1.2651400478194569e-27,2.8187680021441972e-29,1.0745282793510021e-27,5.3726413967549226e-28,4.0679637535142412e-29,2.776131991892115e-29,2.7603850364522738e-29,9.3180046281010883e-30,8.6783707536368414e-35,3.3464181638775619e-31,2.6972949179009893e-29
6.300000000000001e-14,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0114855996121422e-22,5.3877955423823228e-22,2.0114856018797893e-22,1.9655114386985492e-22,1.9655119923611884e-22,4.8355382556533118e-23,4.8355305928777928e-23,2.3692483857857808e-22,2.0122866118216621e-22,1.0061433059108147e-22,5.1554657338838773e-27,1.1486620702509189e-28,4.3787197773296174e-27,2.1893598886647725e-27,1.6577166866783172e-28,1.1312885667313998e-28,1.1248715991663552e-28,3.7971003638698863e-29,7.1027077208548635e-34,1.3636831943015033e-30,1.09916204015071e-28
1.2700000000000001e-13,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0456719077979676e-22,1.0836401425102645e-21,4.0456719169489391e-22,3.9532036280156895e-22,3.9532058622919452e-22,9.7256459880523498e-23,9.7256150653736862e-23,4.7651333727781054e-22,4.0471966329525615e-22,2.0235983164762481e-22,2.0804242464742331e-26,4.6353610804373377e-28,1.7669780661936905e-26,8.8348903309683118e-27,6.6896311399862131e-28,4.5652584154959694e-28,4.539363068855558e-28,1.5322717178535711e-28,5.7422765040052281e-33,5.503075117805118e-30,4.4356134311147606e-28
2.55e-13,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.1140376199614541e-22,2.1733613211361586e-21,8.1140376567229155e-22,7.9285778987139784e-22,7.9285868742877177e-22,1.9505838215898574e-22,1.9505713993141934e-22,9.5565886424820893e-22,8.1167493857005036e-22,4.058374692850186e-22,8.3572223992901012e-26,1.8621222741153561e-27,7.0980853816750188e-26,3.5490426908374508e-26,2.6873729607386123e-27,1.8339662830965848e-27,1.8235635478785101e-27,6.1552437088832418e-28,4.6170116624335066e-32,2.2107080475942706e-29,1.7818850020549963e-27
5.11e-13,0.1616361929779684,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6250741427549613e-21,4.3528036867152413e-21,1.6250741574907031e-21,1.5879286008572579e-21,1.5879321986907453e-21,3.9066129724259813e-22,3.9065631783801236e-22,1.9138240530615029e-21,1.6254785873935942e-21,8.1273929369678386e-22,3.349733145524823e-25,7.4642398708841815e-27,2.8450472617109996e-25,1.4225236308554766e-25,1.0772279869171373e-26,7.3514236639747387e-27,7.3097245028871363e-27,2.4671316955350591e-27,3.7025405940636765e-31,8.861585596061297e-29,7.1426567474043258e-27
