Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120)
4.095e-12,0.35912581801968296,89.099999999999994,0.0,0.0,0.0,0.99999999999998623,11.0,5.888343059642366e-15,1.3430594765284725e-16,5.8883435375498476e-15,5.6921692009967933e-15,5.692350199125402e-15,2.0556003919489349e-15,2.0562128695131117e-15,5.9976354618159046e-17,4.9496655942189015e-17,2.474832797108828e-17,3.780591989651457e-20,2.5838081947215084e-19,3.1202134342925516e-20,1.5601067171459676e-20,1.8099812860973502e-19,1.2104767573403063e-19,1.2056976825241243e-19,8.7038807280698307e-19,4.7031084199033726e-22
8.191e-12,0.3591258180196831,89.099999999999994,0.0,0.0,0.0,0.99999999999997247,11.0,1.1778645150312259e-14,2.6866210213558179e-16,1.1778647062280551e-14,1.1386104167000431e-14,1.1386828337207356e-14,4.1102282812036913e-15,4.112677576359489e-15,1.1989962850854704e-16,9.8949493635695167e-17,4.9474746817752514e-17,1.5112732030086856e-19,1.0336832775483115e-18,1.247372355241978e-19,6.2368617762005936e-20,7.241702069233536e-19,4.8431542934776915e-19,4.8240346105846204e-19,3.479219388219471e-18,3.7590451262798846e-21
1e-11,0.3591258180196832,89.099999999999994,0.0,0.0,0.0,0.99999999999996636,11.0,1.4379938919288305e-14,3.2800055024575276e-16,1.4379942097776471e-14,1.3900592871059906e-14,1.3901796831296705e-14,5.0165038419806848e-15,5.0205737414031307e-15,1.4631492193990812e-16,1.2074920508187586e-16,6.0374602540531234e-17,2.5101965036466108e-19,1.7183719525724666e-18,2.0720068871571544e-19,1.0360034435713624e-19,1.2039602367954731e-18,8.0520304212842392e-19,8.0202455396763085e-19,5.7787170646145098e-18,9.5543104046855213e-21
1.6383e-11,0.3591258180196832,89.099999999999994,0.0,0.0,0.0,0.99999999999994493,11.0,2.3558522737626668e-14,5.3737441110104343e-16,2.3558530384990642e-14,2.2772887728998894e-14,2.2775784613370946e-14,8.2142688527266996e-15,8.2240570036881301e-15,2.3952045979086312e-16,1.97668806055326e-16,9.8834403026156743e-17,6.0348661708505201e-19,4.1342745577019171e-18,4.9817040774360771e-19,2.4908520386886445e-19,2.8968843720490594e-18,1.9374449616303138e-18,1.9297975976598484e-18,1.3892422796195229e-17,3.0002722937611535e-20
3.2767e-11,0.3591258180196833,89.099999999999994,0.0,0.0,0.0,0.99999999999988987,11.0,4.7115371999643491e-14,1.0747990290319367e-15,4.7115402578595774e-14,4.5542110435729473e-14,4.5553697165696872e-14,1.6401549002968724e-14,1.6440621357877272e-14,4.778650263818664e-16,3.9436640242174751e-16,1.9718320118698909e-16,2.4053011448494139e-18,1.652995758570154e-17,1.9860652643850144e-18,9.9303263209939425e-19,1.1586729967401044e-17,7.7496166368942927e-18,7.7190376846154102e-18,5.5363457221058767e-17,2.3885527318856224e-19
6.5535e-11,0.35912581801968374,89.099999999999994,0.0,0.0,0.0,0.99999999999977962,10.999999999999998,9.421745057996287e-14,2.149648264893604e-15,9.4217572798922476e-14,9.1063186678118642e-14,9.1109522270343705e-14,3.2693380864276918e-14,3.2849015547845219e-14,9.5101134934781142e-16,7.8483245117996989e-16,3.9241622521414937e-16,9.551739794509147e-18,6.6055842050209771e-17,7.8909995733923184e-18,3.9454997837715938e-18,4.6335592225066052e-17,3.0993903696485758e-17,3.0871684736895945e-17,2.197983675340933e-16,1.8921580844144346e-18
9.8303e-11,0.35912581801968413,89.099999999999994,0.0,0.0,0.0,0.99999999999966938,10.999999999999996,1.4130791292211968e-13,3.2244975007551516e-15,1.4130817249159763e-13,1.3656690224327358e-13,1.3666534737498552e-13,4.890295669494674e-14,4.9232718626555013e-14,1.4206598567459528e-15,1.1724039135415725e-15,5.8620195539847078e-16,2.0195992703267815e-17,1.4027283777105381e-16,1.6690521586092702e-17,8.3452607797943551e-18,9.8445131711922869e-17,6.5854428913470633e-17,6.5594859435537343e-17,4.6465487047106856e-16,5.379898908255613e-18
9.999999999999999e-11,0.35912581801968446,89.099999999999994,0.0,0.0,0.0,0.9999999999996636,10.999999999999996,1.437460479356937e-13,3.2801621477661629e-15,1.4374631698216399e-13,1.3892256504392649e-13,1.3902460748248574e-13,4.9738187960826602e-14,5.0079926782116284e-14,1.4448033232323717e-15,1.1923274551440845e-15,5.9616372609184367e-16,2.0926086107174863e-17,1.4539287942370255e-16,1.7294371470190198e-17,8.6471857204977054e-18,1.020424385592485e-16,6.826119103293031e-17,6.7992144562630275e-17,4.8144573849893017e-16,5.685962214453772e-18
1.31071e-10,0.35912581801968446,89.099999999999994,0.0,0.0,0.0,0.99999999999955913,10.999999999999995,1.8838676273048387e-13,4.2993467366165785e-15,1.883872052947089e-13,1.8205326562087842e-13,1.8222117247962225e-13,6.5030745805348174e-14,6.5591773924982657e-14,1.8868549715526567e-15,1.5571149396058769e-15,7.7855746634746331e-16,3.4293635990967498e-17,2.3913761377222962e-16,2.8350482105896383e-17,1.4175241013717451e-17,1.6790685874384203e-16,1.1232748791786381e-16,1.1188492369280426e-16,7.8887594503616755e-16,1.1289788370542773e-17
1.96607e-10,0.35912581801968524,89.099999999999994,0.0,0.0,0.0,0.99999999999933875,10.999999999999991,2.8251721992785082e-13,6.4490452083391522e-15,2.8251813540031675e-13,2.7298529417336763e-13,2.733328226888839e-13,9.70958193997358e-14,9.8252171807166231e-14,2.8112758963726781e-15,2.3199280839179173e-15,1.1599640300208627e-15,7.0458218538951607e-17,4.9457988044202831e-16,5.8279319772304242e-17,2.9139659716437584e-17,3.4752851551629509e-16,2.3251602527584036e-16,2.3160055280985165e-16,1.6203578161625167e-15,3.0574471709935569e-17
