Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30)
0.0,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.6186393524124231e-21,7.7769599768264882e-22,3.6186393488522528e-21,3.5159143410080834e-21,3.5159143596132934e-21,1.061096618987896e-21,1.0610966350794356e-21,3.4478049345221999e-22,2.8874683489816562e-22,1.443734172715558e-22,1.2573660739797942e-28,5.7815928549248374e-29,1.0530191882000155e-28,5.2650959027398952e-29,5.7721350541885442e-29,3.8870947452209655e-29,3.8706468191327285e-29,6.0983778276200044e-29,2.2239928097077272e-35,5.5581127118003939e-30,3.7607679050299398e-29,1.1349929791009145e-29,4.1942560059746145e-38,5.0409485122100885e-31,1.5295863039610851e-44,2.1940129352236848e-38,1.5774362988669205e-38,5.7526887904216994e-45,6.3806378871398198e-45,2.3269290928840626e-51,3.1786009877161113e-37,2.0503306738968533e-25,1.159191172392352e-43,1.736477995428979e-53,1.868161186663844e-46,5.6063174097987274e-59,1.868161186663844e-46,5.3643617175925986e-31
3.0000000000000002e-15,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1889814892517649e-20,2.5552868547440349e-21,1.1889814869122235e-20,1.1552289789263056e-20,1.1552289911525852e-20,3.4864600801362645e-21,3.48646018588066e-21,1.1328497791082708e-21,9.4873925438778338e-22,4.7436962602729997e-22,8.2626899613391038e-28,3.7993323580188635e-28,6.9198392331919281e-28,3.4599195805221283e-28,3.7931172932143442e-28,2.5543765351135742e-28,2.543567896510596e-28,4.0075046633285436e-28,2.0969072141887702e-34,3.6524740404005669e-29,2.4713617528957661e-28,7.4585250678566499e-29,3.9545837218815042e-37,3.3126232088762207e-30,1.8792058351327888e-43,2.0686406529974067e-37,1.4872968983742844e-37,7.0675883792358193e-44,7.8390678777380184e-44,3.5236349137721399e-50,2.9969658381583143e-36,6.736784779323055e-25,1.4241488537005458e-42,2.6295218429798138e-52,2.2951692406830779e-45,1.0091364949390419e-57,2.2951692406830779e-45,3.5251517911304265e-30
7e-15,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.6364371364380088e-20,5.6660708853831302e-21,2.6364371237231141e-20,2.5615945712123782e-20,2.5615946376595468e-20,7.7308447241931429e-21,7.7308452988907195e-21,2.5119685874980165e-21,2.1037239463939072e-21,1.0518619668568405e-21,4.4905874829796793e-27,2.0648542258716941e-27,3.7607781376600936e-27,1.8803890105655415e-27,2.0614766903803425e-27,1.3882480753698622e-27,1.3823738100987741e-27,2.1779889549953392e-27,3.3868185395337671e-33,1.985040142610208e-28,1.3431313405251526e-27,4.0535454425500609e-28,6.3872443053350426e-36,1.8003383498390863e-29,9.5052734609215604e-42,3.3411663898502545e-36,2.4022071234688482e-36,3.5748805319256784e-42,3.9651006459573878e-42,5.8193022462448124e-48,4.8405419609126879e-35,1.4937984992801607e-24,7.203525346081648e-41,4.3426313162998944e-50,1.160927308567165e-43,5.6182636808663099e-55,1.160927308567165e-43,1.9158426761278232e-29
1.5e-14,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.531348192101037e-20,1.1887639048245788e-20,5.5313481358503541e-20,5.3743253889409023e-20,5.3743256829031321e-20,1.6219609349305544e-20,1.6219611891765958e-20,5.270198146877245e-21,4.4136865911200361e-21,2.2068432675115278e-21,1.9866323107680792e-26,9.1349127690630308e-27,1.6637652685886074e-26,8.3188258010738419e-27,9.1199721476730837e-27,6.1416091801589778e-27,6.1156213926729046e-27,9.6354032220749153e-27,3.1497984739375402e-32,8.7818168799757399e-28,5.9420127056790558e-27,1.7932879232235472e-27,5.9402459719744242e-35,7.964694282843125e-29,1.828111953922055e-40,3.1073449550765369e-35,2.2340937320737729e-35,6.8754279847917768e-41,7.625910065443289e-41,2.2830426117520608e-46,4.5017773982983169e-34,3.1340073655100514e-24,1.3854230937023471e-39,1.7036896869701392e-48,2.2327663236361624e-42,4.4565494381608022e-53,2.2327663236361624e-42,8.4756829385207113e-29
3.1e-14,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1321169348589386e-19,2.43307757803037e-20,1.1321169114126862e-19,1.0999785557023878e-19,1.0999786782309093e-19,3.3197119947546905e-20,3.3197130544949666e-20,1.0786625036233004e-20,9.0335849235921591e-21,4.5167923448860306e-21,8.2805990846042249e-26,3.8075883276498081e-26,6.9348381913272767e-26,3.467418638329273e-26,3.8013621173174265e-26,2.5599290750131428e-26,2.5490968831439657e-26,4.0161871066890366e-26,2.658414366303091e-31,3.6604131474145486e-27,2.4767337672795293e-26,7.4747306460840814e-27,5.0135396638062875e-34,3.3198207435584649e-28,3.1081983632279391e-39,2.6225900262016075e-34,1.8855649350151973e-34,1.168976389818607e-39,1.2965707397126721e-39,7.793760407904392e-45,3.7994639405398082e-33,6.4143003973391602e-24,2.3555194978944852e-38,5.8158402070687488e-47,3.7962023768110901e-41,3.0488485354637039e-51,3.7962023768110901e-41,3.5328076622552705e-28
6.300000000000001e-14,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2900807842216331e-19,4.921705086970773e-20,2.2900806886769515e-19,2.2250700023696774e-19,2.2250705016797314e-19,6.7152066536271864e-20,6.7152109721152091e-20,2.1819349898920561e-20,1.8273273761930641e-20,9.1366364045571814e-21,3.3743652737747804e-25,1.5516113532652188e-25,2.8259644612988064e-25,1.4129818563499203e-25,1.5490751942958899e-25,1.0431847786050334e-25,1.0387705765868253e-25,1.6366048522346705e-25,2.1757499161586031e-30,1.4916377376857725e-26,1.0092822133888766e-25,3.0459894332845848e-26,4.1032784943048717e-33,1.3528432517970304e-27,5.0993225785824226e-38,2.1464400352554632e-33,1.5432212135657417e-33,1.9178278652954862e-38,2.1271453952427141e-38,2.5603042795074094e-43,3.109606555371005e-32,1.2974387700332023e-23,3.8644451801487113e-37,1.910446550693997e-45,6.2280688388766662e-40,2.0042435985600421e-49,6.2280688388766662e-40,1.4396349331655194e-27
1.2700000000000001e-13,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.6060069552079827e-19,9.8989607549331145e-20,4.6060065696425721e-19,4.4752505479096333e-19,4.4752525628488057e-19,1.3506166128409781e-19,1.350618355537137e-19,4.3884283972894159e-20,3.6752220142702347e-20,1.8376108148880976e-20,1.3616897257623396e-24,6.2614406237762187e-25,1.1403884797716917e-24,5.7019393727899697e-25,6.2512145885841038e-25,4.209720401938173e-25,4.1919068995398318e-25,6.6043339737844175e-25,1.7590178443052106e-29,6.0194285980907839e-26,4.0729080187562934e-25,1.2291912972227326e-25,3.3173610477599389e-32,5.4593201677320598e-27,8.2526101245258409e-37,1.7353382409743635e-32,1.2476427185059473e-32,3.1037641993731476e-37,3.4424720424270376e-37,8.2907161184465301e-42,2.5139714870577704e-31,2.6092567598458798e-23,6.2540215453935279e-36,6.1857327788030938e-44,1.0079356920519322e-38,1.2981856739264623e-47,1.0079356920519322e-38,5.8095505756160839e-27
2.55e-13,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.2378531862314219e-19,1.9853474690914073e-19,9.2378516373320217e-19,8.9756022478318515e-19,8.9756103422799551e-19,2.7087965707251201e-19,2.7088035714599775e-19,8.8012089616784932e-20,7.3708387804763125e-20,3.6854186179795803e-20,5.4700631976389732e-24,2.5153530388136746e-24,4.5810720292834556e-24,2.290533581572879e-24,2.5112518461403032e-24,1.6911390551586021e-24,1.6839828038451711e-24,2.6530257197194346e-24,1.4143253974963678e-28,2.4181382299238663e-25,1.6361782419860124e-24,4.9379159299413275e-25,2.6673056823410963e-31,2.1931219474608668e-26,1.3276158333029789e-35,1.395312375194192e-31,1.0031615901451919e-31,4.9931006347343122e-36,5.537838988119167e-36,2.6679528717687781e-40,2.021281094926326e-30,5.2320951240796926e-23,1.0060677517087866e-34,1.9901640814874153e-42,1.6214929860053821e-37,8.354275892360125e-46,1.6214929860053821e-37,2.333806818573872e-26
5.11e-13,0.22742854416281194,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8501521204536464e-18,3.9762512960943639e-19,1.8501514995822579e-18,1.7976268083211831e-18,1.7976300529572525e-18,5.4251087391045183e-19,5.425136800914772e-19,1.7625945170065791e-19,1.4761382340399569e-19,7.3806880749391331e-20,2.1925467112265153e-23,1.00826909259966e-23,1.836216401402241e-23,9.1810624955037882e-24,1.0066306148571985e-23,6.7789057490794585e-24,6.7502186747526361e-24,1.0633946503774206e-23,1.1342078415407671e-27,9.6930617002518444e-25,6.5585944481314611e-24,1.9793393731923347e-24,2.1390355581163229e-30,8.7910217878557447e-26,2.1297460780187576e-34,1.1190028116781123e-30,8.0448384652692991e-31,8.0098933397184632e-35,8.883279873266223e-35,8.5601476163595984e-39,1.6208564888308003e-29,1.0474583531559601e-22,1.6138239447505497e-33,6.3828596249543682e-41,2.6011942705309533e-36,5.359043114397892e-44,2.6011942705309533e-36,9.3548705541154489e-26
