Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92)
0.0,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.626593427741457e-25,2.1423333167055966e-24,7.626593427741457e-25,7.460432378642342e-25,7.460432378642342e-25,1.7625190432939981e-25,1.7625189812573558e-25,9.4078650769898555e-25,8.0103071641303678e-25,4.0051549550232543e-25,3.2249961890560336e-31,6.203664224779548e-33,2.7459163019155938e-31
3.0000000000000002e-15,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5058806976864798e-24,7.0390951834612479e-24,2.5058806976864798e-24,2.4512849244110557e-24,2.4512849244110557e-24,5.7911339993945685e-25,5.7911335917252096e-25,3.0911546085125216e-24,2.6319571659848887e-24,1.3159794852219263e-24,2.1192828932138041e-30,4.0766935709982856e-32,1.8044590145411917e-30
7e-15,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5565180687830619e-24,1.5608428450283633e-23,5.5565180687830619e-24,5.4354578758679925e-24,5.4354578758679925e-24,1.2841210172570559e-24,1.2841207956976448e-24,6.8542925307592236e-24,5.8360731276296317e-24,2.9180414672312284e-24,1.1517830609474417e-29,2.2155941112853658e-31,9.8068329367737029e-30
1.5e-14,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1657792810976227e-23,3.2747094983928402e-23,1.1657792810976227e-23,1.1403803778781866e-23,1.1403803778781866e-23,2.6941362518922544e-24,2.6941352717135817e-24,1.4380547735378375e-23,1.2244287477141049e-23,6.1221654312498326e-24,5.0954800296330279e-29,9.8017867258112279e-31,4.3385358849839094e-29
3.1e-14,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3860342295362555e-23,6.7024428051217941e-23,2.3860342295362555e-23,2.3340495584609612e-23,2.3340495584609612e-23,5.5141667211626514e-24,5.5141626356091085e-24,2.9432975585573725e-23,2.5060645881438071e-23,1.2530413359287041e-23,2.1238778261735288e-28,4.0855535429774001e-30,1.8083713649187227e-28
6.300000000000001e-14,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.8265441264135217e-23,1.3557909418579702e-22,4.8265441264135217e-23,4.7213879196265106e-23,4.7213879196265106e-23,1.1154227659703445e-23,1.1154211010861929e-23,5.953750105342517e-23,5.0693081514220485e-23,2.5346909215361452e-23,8.6548628652837814e-28,1.6648841513975976e-29,7.369165034055488e-28
1.2700000000000001e-13,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.7075639201680542e-23,2.7268842645495518e-22,9.7075639201680542e-23,9.4960646419576101e-23,9.4960646419576101e-23,2.2434349536785032e-23,2.2434282351271936e-23,1.1974523108803052e-22,1.0195682810127134e-22,5.0979900927510256e-23,3.4925843919035424e-27,6.7185513098859151e-29,2.9737537512232352e-27
2.55e-13,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.9469603507677119e-22,5.4690709099327158e-22,1.9469603507677119e-22,1.9045418086619808e-22,1.9045418086619808e-22,4.4994593290948207e-23,4.4994323392167589e-23,2.4015540778531702e-22,2.0447982275916867e-22,1.022458843518077e-22,1.403015252691227e-26,2.6989878061873071e-28,1.1945944451296896e-26
5.11e-13,0.2419501552880234,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.8993682682695249e-22,1.0953444200699044e-21,3.8993682682695249e-22,3.8144124975944201e-22,3.8144124975944201e-22,9.0115080799274553e-23,9.0113998917927238e-23,4.8095462955175756e-22,4.0950781959281922e-22,2.0477785120040126e-22,5.6236916929970881e-26,1.0818813473204368e-27,4.7882807996229717e-26
