Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558)
0.0,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4031267407140306e-22,8.6232937529839566e-23,1.4031267402786279e-22,1.366941486137026e-22,1.3669414934344324e-22,3.7503934816196523e-23,3.7503934676918357e-23,3.7281236549946497e-23,3.1438002613146507e-23,1.5719001299836387e-23,1.403276071868082e-29,1.8197064523863082e-30,1.1833351288582218e-29,5.9166756244987968e-30,2.1658028412734078e-30,1.4666387297482716e-30,1.4594965309053283e-30,1.2722961278619743e-30,4.788957871448114e-37,7.2274813307713114e-32,1.4218575625656789e-30,3.9010633323075144e-31,7.2802120457567273e-40,1.3234187599341403e-32,2.7402919824784291e-46,3.326339976581787e-40,2.9085657209301367e-40,1.0947921934154597e-46,4.3239603731965124e-47,1.6275506632231711e-53,1.7256533539517475e-38,6.5648965594141456e-27,6.4954070303917633e-45,1.5965287516895513e-55,2.0845339632249302e-48,3.1084465209509086e-61,2.0845339816220303e-48,1.4003724713406683e-32,1.6383393163895258e-40,7.3827962738032403e-41,1.8012301446586568e-24,1.8397099963709168e-56
3.0000000000000002e-15,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.6102735291153959e-22,2.8333679487148616e-22,4.6102735262541788e-22,4.4913790976813455e-22,4.4913791456357363e-22,1.2322720891393876e-22,1.2322720799868221e-22,1.2249544535010264e-22,1.0329625541933572e-22,5.1648127665398179e-23,9.2215269364369245e-29,1.1958070721249445e-29,7.7762009852409818e-29,3.8881004739592053e-29,1.4232418571264097e-29,9.6379116091163068e-30,9.590977157694312e-30,8.3608015841708557e-30,4.5153025470284624e-36,4.7494877028604338e-31,9.3436353660126082e-30,2.5635558544306775e-30,6.8641990509578361e-39,8.6967512600990733e-32,3.3666441003282426e-45,3.1362632832504952e-39,2.7423616264499123e-39,1.3450302790675197e-45,5.3122931685449226e-46,2.4645763377290741e-52,1.6270441671620877e-37,2.1570321884140653e-26,7.9800698881948897e-44,2.4175994854613698e-54,2.5609986208924633e-47,5.5952014097412464e-60,2.5609986487509269e-47,9.2024469751427073e-32,1.5447199194960001e-39,6.9609220966339942e-40,5.9183276635251573e-24,2.7858463468726623e-55
7e-15,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0222780128367619e-21,6.2826854599009747e-22,1.0222780112817531e-21,9.9591444985073643e-22,9.9591447591290192e-22,2.7324290622847709e-22,2.7324290125425764e-22,2.7162003824071331e-22,2.2904796834814091e-22,1.1452398393347883e-22,5.0116939904556924e-28,6.4989505892400832e-29,4.2261916251241913e-28,2.113095782421432e-28,7.7350097395635458e-29,5.237995285844712e-29,5.212487425152969e-29,4.5439084519122432e-29,7.292889031513289e-35,2.5812432149580508e-30,5.0780625393050615e-29,1.3932367017945303e-29,1.1086708500319785e-37,4.7264931603374379e-31,1.7028935264462876e-43,5.0655385692938869e-38,4.4293245172392468e-38,6.8033429372003504e-44,2.6870259117544701e-44,4.0702616763462083e-50,2.6279165789103183e-36,4.7829506192262309e-26,4.0364209456120114e-42,3.9926588602671084e-52,1.2953873301216844e-45,3.1150829648858483e-57,1.2953873761301455e-45,5.0013274246282927e-31,2.4949566063509259e-38,1.1242942325892883e-38,1.3123248589269021e-23,4.600846119107984e-53
1.5e-14,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.1447792401334947e-21,1.3181320507708482e-21,2.1447792332541377e-21,2.0894673916139781e-21,2.0894675069129806e-21,5.7327419407515374e-22,5.7327417206921423e-22,5.6986832469285494e-22,4.8055063687531248e-22,2.402753173732889e-22,2.2171694297355431e-27,2.875135086835055e-28,1.8696638219540976e-27,9.3483188294575431e-28,3.4219680489831219e-28,2.3172890013613823e-28,2.3060043188983249e-28,2.0102210920455964e-28,6.7825109043032566e-34,1.1419419234738748e-29,2.2465347500868063e-28,6.1636778781471736e-29,1.0310827945843247e-36,2.0909990383937833e-30,3.2751085721478144e-42,4.7110432453089178e-37,4.1193475794199175e-37,1.3084604298238954e-42,5.1678436116001447e-43,1.5968550691704991e-48,2.444002569322896e-35,1.003468517401594e-25,7.763076459109917e-41,1.5663981819759314e-50,2.4913679494117357e-44,2.4709765949082176e-55,2.4913681299135587e-44,2.2125854498153905e-30,2.3203562902600305e-37,1.0456145045144167e-37,2.7533091324300458e-23,1.8050182358574621e-51
3.1e-14,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3897813245121669e-21,2.6978590705062976e-21,4.3897812958378303e-21,4.2765727215327519e-21,4.2765732021188786e-21,1.1733363426392268e-21,1.1733362509147095e-21,1.1663613003028927e-21,9.8355294462639529e-22,4.9177646787677372e-22,9.2415145588845203e-27,1.1984056834037079e-27,7.7930560624700685e-27,3.8965277946525229e-27,1.4263354760151658e-27,9.6588619142427773e-28,9.6118253588663608e-28,8.3789178356807407e-28,5.7244071643324167e-33,4.7598115668817289e-29,9.3639458778310137e-28,2.5691268886616733e-28,8.7022907024619377e-36,8.7156344740864179e-30,5.5684164638853227e-41,3.9761084818769005e-36,3.476710567100642e-36,2.2246753668936449e-41,8.7864610410115286e-42,5.4512822451249289e-47,2.0627190485016125e-34,2.0537745072654696e-25,1.3198917048359566e-39,5.3472313041939996e-49,4.2358826645767325e-43,1.6904819634521037e-53,4.2358832807689121e-43,9.2224255679317487e-30,1.9583766934109324e-36,8.8249658045519469e-37,5.6352780328491759e-23,6.1619218005824657e-50
6.300000000000001e-14,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.8797840124107487e-21,5.4573131506716673e-21,8.8797838955614313e-21,8.6507811669406094e-21,8.6507831253540541e-21,2.373458931252813e-21,2.3734585574709072e-21,2.3593328625225552e-21,1.9895454430634781e-21,9.9477270345335366e-22,3.7659408950089816e-26,4.8835638241428562e-27,3.1756904273006948e-26,1.5878450200222584e-26,5.8123926962616099e-27,3.9360378618648379e-27,3.9168701781025785e-27,3.4144279503303914e-27,4.6850802484544735e-32,1.9396485309722648e-28,3.8158579498803219e-27,1.0469322857602151e-27,7.1222984195220115e-35,3.5516581542100244e-29,9.1355690300404969e-40,3.2542204714727117e-35,2.8454779317245181e-35,3.6498131514390671e-40,1.4415015794405472e-40,1.790785081131806e-45,1.6881981315401546e-33,4.1542228157341574e-25,2.1654046071693767e-38,1.7565521445156151e-47,6.9494094199597339e-42,1.1113088427047245e-51,6.9494114442082141e-42,3.7581765064291306e-29,1.6028239447422013e-35,7.2227465221444827e-36,1.1399217247301644e-22,2.0242484796938333e-48
1.2700000000000001e-13,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7859783464776202e-20,1.0976221473769735e-20,1.7859782993237651e-20,1.7399189200046645e-20,1.7399197103121282e-20,4.7736972744422436e-21,4.773695766067164e-21,4.7452184323727509e-21,4.0014819728609578e-21,2.0007409134781623e-21,1.5197060519336086e-25,1.9707352188862107e-26,1.2815167198480236e-25,6.4075820338283479e-26,2.3455617477349395e-26,1.5883685561671364e-26,1.5806335034159067e-26,1.3778546104045044e-26,3.7877275972082444e-31,7.8273544205284285e-28,1.5398705079277045e-26,4.224838030413285e-27,5.7581370089250946e-34,1.4332463833907595e-28,1.4784774954532845e-38,2.6309532758562178e-34,2.3004736281627188e-34,5.906768204776538e-39,2.3328602286383942e-39,5.7988845922830452e-44,1.3648306274285597e-32,8.3544648525560702e-25,3.5043856848840391e-37,5.6876989840911028e-46,1.1246753539331664e-40,7.1984703289165756e-50,1.1246760094298508e-40,1.516584446844802e-28,1.2958468203254554e-34,5.8394201653440143e-35,2.2927101330366135e-22,6.5549668443836334e-47
2.55e-13,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5819758675806914e-20,2.2014038770950748e-20,3.5819756781539595e-20,3.4895969835492885e-20,3.4896001583870101e-20,9.5741466248340913e-21,9.5741405653793826e-21,9.5167593650162917e-21,8.0251611736178319e-21,4.0125802937597895e-21,6.1048335551046824e-25,7.9168632596780963e-26,5.1480002401536797e-25,2.573998861424809e-25,9.4226435030417187e-26,6.3808326456768227e-26,6.3497589710699164e-26,5.5349834133119191e-26,3.0455006879440711e-30,3.1444229632267308e-27,6.1860047830995646e-26,1.6972079275128706e-26,4.6297997331897014e-33,5.757610657727157e-28,2.3784627698301573e-37,2.1154463463679118e-33,1.8496854871057231e-33,9.5023698905026486e-38,3.7528337280840456e-38,1.8660859592400709e-42,1.0973521167150049e-31,1.675233144483536e-24,5.6374277742859402e-36,1.8300919441738305e-44,1.8092940171696509e-39,4.6328740399265749e-48,1.8092961266186877e-39,6.0923871537214197e-28,1.0419476818006451e-33,4.6952744440747246e-34,4.5982892110755225e-22,2.1094490368680255e-45
5.11e-13,0.22034906761746573,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.1739614323280748e-20,4.4089675968577277e-20,7.1739606730208378e-20,6.9889389383904781e-20,6.9889516646440033e-20,1.9174935982981385e-20,1.917491169395668e-20,1.9058920492464403e-20,1.6071744215521185e-20,8.0358709332107103e-21,2.4469801202154592e-24,3.1734453090905217e-25,2.0634562534559612e-24,1.0317271173705163e-24,3.7770495513079885e-25,2.5577473470773035e-25,2.5452913234566382e-25,2.2185556550873718e-25,2.4423266284722631e-29,1.2604366473647189e-26,2.4796506228379669e-25,6.8031989205289208e-26,3.7128529023010312e-32,2.307880484772415e-27,3.8155122376074864e-36,1.6965430637884907e-32,1.4833521460188974e-32,1.5243656455507446e-36,6.019961947620207e-37,5.9873808868103204e-41,8.7996543755797694e-31,3.3537601412412634e-24,9.0429971250249074e-35,5.8705180686334987e-43,2.9024603730742237e-38,2.9723875479915647e-46,2.9024671416453258e-38,2.4420661779027422e-27,8.3563287449793246e-33,3.7655516613274344e-33,9.2094564109551247e-22,6.7685711016475183e-44
