Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399)
1e-12,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999289,11.0,3.039344765550825e-15,8.4962205981630532e-17,3.0393246537920345e-15,2.9361621141887532e-15,2.9361659573660223e-15,1.0852294558048117e-15,1.0853249020537701e-15,3.7998156092229644e-17,3.1294941441259958e-17,1.5647470720720649e-17,9.0176103219742814e-21,5.331923608104616e-20,7.4269800429550474e-21,3.7134900214948811e-21,3.5610027721088023e-20,2.3803234195601175e-20,2.3706042829237347e-20,1.2886168409411022e-19,2.637270370304586e-23,3.3169501338705684e-20,2.2901372489205238e-20,8.4646910190908383e-21,7.6456329505340797e-26,7.0590649732001218e-22,1.4649276856379425e-29,5.3077176329282501e-26,2.5345492512474872e-26,4.8562723076351603e-30
1.023e-12,0.23564895224661722,89.099999999999994,0.0,0.0,0.0,0.99999999999999278,11.0,3.1092866399105695e-15,8.6917390277040694e-17,3.1092658263921747e-15,3.0037292986123019e-15,3.0037332758845215e-15,1.1102013082310227e-15,1.1103000848018696e-15,3.8872469084154666e-17,3.2015018997772167e-17,1.6007509498980473e-17,9.3322447253951336e-21,5.517969574667725e-20,7.6861166872774125e-21,3.843058343656828e-21,3.685256886506975e-20,2.4633801890859154e-20,2.4533218308417008e-20,1.3335780783580037e-19,2.7452125304664797e-23,3.4326883838979919e-20,2.3700470416350589e-20,8.7600444916200851e-21,7.9585686501458711e-26,7.3053977198797185e-22,1.5293462221425643e-29,5.5249633265036029e-26,2.6382886644553475e-26,5.0698216955514707e-30
2.047e-12,0.23564895224661725,89.099999999999994,0.0,0.0,0.0,0.99999999999998546,11.0,6.2231986095444574e-15,1.7396770660935081e-16,6.2231152633159753e-15,6.0118859518169935e-15,6.0119018750398203e-15,2.2217721454492955e-15,2.2221676310121377e-15,7.7784195020445019e-17,6.4062577909198352e-17,3.2031288955355946e-17,3.7358511197609635e-20,2.2095726299542323e-19,3.0769543058913689e-20,1.538477152974766e-20,1.4757374863542095e-19,9.8645271205180936e-20,9.8241857726616592e-20,5.338511654385256e-19,2.1981057109698425e-22,1.3745888929963231e-19,9.4907048056446557e-20,3.5075516528483262e-20,6.3734989289911625e-25,2.9268289417294518e-21,2.4494822334627657e-28,4.4248164559056028e-25,2.1129244140095127e-25,8.1204367672882264e-29
4.095e-12,0.23564895224661728,89.099999999999994,0.0,0.0,0.0,0.9999999999999708,11.0,1.2450934890240871e-14,3.4807678410108153e-16,1.2450601329049889e-14,1.2027991653310694e-14,1.2028055352073382e-14,4.4440363577238075e-15,4.4456186718430324e-15,1.5555087645184086e-16,1.2811156048739371e-16,6.405578024973429e-17,1.4941879444950559e-19,8.8424966879527111e-19,1.230716325156402e-19,6.1535816262461196e-20,5.9060953973918255e-19,3.9479767459648598e-19,3.9317809443836281e-19,2.1351701168189787e-18,1.7581285844144232e-21,5.5012121722518662e-19,3.7983075432635838e-19,1.4034866344320158e-19,5.0994186999908149e-24,1.1724984443966329e-20,3.9190169426107271e-27,3.5406561479860414e-24,1.6906904172488031e-24,1.2993275927273832e-27
8.191e-12,0.23564895224661736,89.099999999999994,0.0,0.0,0.0,0.99999999999994149,11.0,2.490605682571379e-14,6.9632871924552687e-16,2.4904722292952053e-14,2.4059372772463062e-14,2.4059627400278397e-14,8.885058020515398e-15,8.8913849290382401e-15,3.1085768108150253e-16,2.5602538068192039e-16,1.2801269038888396e-16,5.9705130575530943e-19,3.537388511404014e-18,4.9182071033452412e-19,2.4591035524094005e-19,2.3629675400843674e-18,1.5795952254984012e-18,1.5730749144618555e-18,8.5316332680443486e-18,1.4045557660002957e-20,2.2009193862308493e-18,1.5196656438366837e-18,5.6129524251095387e-19,4.0765277808579031e-23,4.7001750690824019e-20,6.2633494630078049e-26,2.8310309721176868e-23,1.3517876643925273e-23,2.0769255159486709e-26
1e-11,0.23564895224661753,89.099999999999994,0.0,0.0,0.0,0.9999999999999285,11.0,3.0406556600422907e-14,8.5016416198672897e-16,3.0404337959190146e-14,2.9372303792527443e-14,2.9372726715882228e-14,1.0843344889362487e-14,1.0853856732714438e-14,3.7924979355657617e-16,3.1235661055737089e-16,1.5617830539930331e-16,9.9126391488170584e-19,5.880197087595197e-18,8.1663755526327144e-19,4.0831877794506166e-19,3.9284334837402229e-18,2.6261664650232858e-18,2.6152548355409808e-18,1.4164548994350749e-17,3.5676182829442064e-20,3.6589251214382138e-18,2.5264478960285475e-18,9.3275600380062251e-19,1.0363823023339416e-22,7.8301149743770873e-20,2.6948513995499188e-25,7.1994560021643063e-23,3.4374892540699071e-23,8.9385683517108494e-26
1.6383e-11,0.23564895224661753,89.099999999999994,0.0,0.0,0.0,0.99999999999988287,11.0,4.9814898259885751e-14,1.3929677169989412e-15,4.9809560069526093e-14,4.8118814959509713e-14,4.8119831708419118e-14,1.7753098943453672e-14,1.7778377198643216e-14,6.205692263528143e-16,5.1111959579507159e-16,2.5555979827465233e-16,2.382230793850079e-18,1.4146723976389174e-17,1.9627436476790762e-18,9.8137182499890826e-19,9.4521311721621775e-18,6.3189603964148487e-18,6.2925541369495265e-18,3.4040116203313577e-17,1.1199916815643472e-19,8.8034528206248361e-18,6.0788476283340548e-18,2.2434436982793137e-18,3.2548347917070463e-22,1.8874010173656221e-19,9.9935470994334176e-25,2.2613307282865001e-22,1.0796822171101805e-22,3.3149660789892138e-25
3.2767e-11,0.23564895224661778,89.099999999999994,0.0,0.0,0.0,0.99999999999976574,10.999999999999998,9.9626971916085385e-14,2.7867862769324007e-15,9.9605623168727228e-14,9.622442776096437e-14,9.6228479872330088e-14,3.5433367526310016e-14,3.5534225150521361e-14,1.2364171064014528e-15,1.0183993463386217e-15,5.0919967608649618e-16,9.4794845153370585e-18,5.6552392655789677e-17,7.8132654013719309e-18,3.9066327186166644e-18,3.7802671377211702e-17,2.5275163949092105e-17,2.5166961682594369e-17,1.3544587361033308e-16,8.8997656702861036e-19,3.5204629678908309e-17,2.4311760606960158e-17,8.9580327499992206e-18,2.593092781015467e-21,7.6062558614921838e-19,1.5897203954088895e-23,1.8030579339335723e-21,8.6075864606786974e-22,5.2767801946699095e-24
6.5535e-11,0.23564895224661833,89.099999999999994,0.0,0.0,0.0,0.99999999999953149,10.999999999999995,1.9922868665485449e-13,5.5765860911104449e-15,1.9914333273859298e-13,1.9238263549984663e-13,1.923987243016442e-13,7.0572209636913556e-14,7.0973569315387417e-14,2.4540715797171221e-15,2.0215209158164521e-15,1.0107604796974987e-15,3.7524232012600428e-17,2.2591038677599942e-16,3.0952212419239575e-17,1.5476106477331075e-17,1.511480896709513e-16,1.0108461046382061e-16,1.0063124653946233e-16,5.360960288561788e-16,7.024205043854222e-18,1.407305900698836e-16,9.7207812732896803e-17,3.5703145251379834e-17,2.0572482626729555e-20,3.0868465433399512e-18,2.5140971685948271e-22,1.4327494828528779e-20,6.8381207971919824e-21,8.3560731953192426e-23
9.8303e-11,0.23564895224661886,89.099999999999994,0.0,0.0,0.0,0.99999999999929723,10.999999999999991,2.9880797309033209e-13,8.3685490362555416e-15,2.9862665884664343e-13,2.8848789317997483e-13,2.8852190704571489e-13,1.0549090204076769e-13,1.0634075582910607e-13,3.6579396004520131e-15,3.0133980137588362e-15,1.5066990667023464e-15,7.9166559964905209e-17,4.7961423471451227e-16,6.5335591664681299e-17,3.2667796784597636e-17,3.2109343766424644e-16,2.1477824604265953e-16,2.1378469367545552e-16,1.1309379147983654e-15,1.9929451227009128e-17,2.9891959558308546e-16,2.0650614950962999e-16,7.5679551380023122e-17,5.8544084241632454e-20,6.6238013012726492e-18,9.2019094001903076e-22,4.0809013708764349e-20,1.9474602631094145e-20,3.0603585049531503e-22
9.999999999999999e-11,0.23564895224661936,89.099999999999994,0.0,0.0,0.0,0.99999999999928513,10.999999999999991,3.0396385674174065e-13,8.5132521823812189e-15,3.0377591946431217e-13,2.9346228527176193e-13,2.9349752842439677e-13,1.0728796100604434e-13,1.0816863645843822e-13,3.7195848949166492e-15,3.0641931894845835e-15,1.5320966577609341e-15,8.2014495683550136e-17,4.9711089244385385e-16,6.7688729745324999e-17,3.3844365896819776e-17,3.3282354487491437e-16,2.2262754311972329e-16,2.2159521909038213e-16,1.1716153181133519e-15,2.1059106711338406e-17,3.0983614875958952e-16,2.1405029579448015e-16,7.8430736375866273e-17,6.1879794857583449e-20,6.8711139490222549e-18,9.9279099673118669e-22,4.3137770807860909e-20,2.0585699818672066e-20,3.3020382847961094e-22
1.31071e-10,0.23564895224661936,89.099999999999994,0.0,0.0,0.0,0.99999999999906297,10.999999999999988,3.9836483548830286e-13,1.1162675549070055e-14,3.9805563463908309e-13,3.8454026799652141e-13,3.845980186171054e-13,1.4019097757063565e-13,1.416359782580727e-13,4.8482713676984635e-15,3.9942208294225407e-15,1.997110536241414e-15,1.3415840299882198e-16,8.174636633975196e-16,1.1077320429080564e-16,5.5386604486009148e-17,5.4759441178278944e-16,3.6634322342700042e-16,3.6460101471040922e-16,1.9163929247132087e-15,4.1742386353999086e-17,5.0971135426763821e-16,3.521788575013626e-16,1.2880319896033503e-16,1.2295455298852893e-19,1.1399252592645153e-17,2.3220522590195855e-21,8.5775844954018605e-20,4.0929188749275271e-20,7.7270426687092545e-22
1.96607e-10,0.23564895224662044,89.099999999999994,0.0,0.0,0.0,0.99999999999859446,10.999999999999977,5.9742594565616188e-13,1.6756007690383756e-14,5.9678613210134193e-13,5.7652111088973036e-13,5.7663974032790333e-13,2.090827547004917e-13,2.1205812622944801e-13,7.1979245077310372e-15,5.9305001565846318e-15,2.9652503896063317e-15,2.7472068223579824e-16,1.6900278612524959e-15,2.2701459528649281e-16,1.1350730539928435e-16,1.1331919252919399e-15,7.5831505812392574e-16,7.5454464296159287e-16,3.9238208493813837e-15,1.1268782704750419e-16,1.0545643310991693e-15,7.2880621590061192e-16,2.6564781549257115e-16,3.3343590836925854e-19,2.3940956209082152e-17,8.0517048506914444e-21,2.3291517486917984e-19,1.111225246959534e-19,2.6819065667172004e-21
2.62143e-10,0.23564895224662152,89.099999999999994,0.0,0.0,0.0,0.99999999999812594,10.999999999999968,7.9640463001187195e-13,2.2357299669963675e-14,7.9531703912021205e-13,7.683080342284551e-13,7.6850829000817383e-13,2.771831544984194e-13,2.8221723704181454e-13,9.4998131281959898e-15,7.8276626818042458e-15,3.9138319549182255e-15,4.6237792677337323e-16,2.870369332325679e-15,3.8237255100827978e-16,1.911862940180967e-16,1.9263981055973076e-15,1.2894466450255316e-15,1.282769987197062e-15,6.6034348716929878e-15,2.3335234929162554e-16,1.7923594026265738e-15,1.2389636321146206e-15,4.5014972477605893e-16,6.9327039894589899e-19,4.1260344774628076e-17,1.9978791709387891e-20,4.8481908930445659e-19,2.3127861374722887e-19,6.6598837838550545e-21
