Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297)
0.0,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.8078334791542148e-24,1.4222102867841096e-23,9.8078334780509752e-24,9.5752447538404864e-24,9.575244803911976e-24,2.4328151192727527e-24,2.4328150900253181e-24,6.151686533875256e-24,5.214180270119813e-24,2.6070901346049211e-24,2.3923926037304839e-30,1.0845870771444739e-31,2.0277961577804494e-30,1.0138980770797208e-30,1.479869244354447e-31,1.0074691786229781e-31,1.0019905290990601e-31,5.3890513241676316e-32,2.0958035584923374e-38,2.1291472913266959e-33,9.7822874205924441e-32,2.4854191440884964e-32,2.6613468348845534e-41,7.1827623445438864e-34,1.0349985241580554e-47,1.0888920484947498e-41,1.1169598776719904e-41,4.3438600668590886e-48,7.4256515164704043e-49,2.8878379397171912e-55,1.6335587124570726e-39,2.933186956416446e-28,6.3529143704298258e-46,3.499337487624112e-57,7.4008851466167197e-50,4.5113954435750101e-63,5.3120929485244109e-50,7.5893602527873775e-34,7.960316772855835e-42,2.5125804076281729e-42,2.4943380943920367e-25,6.0989055352976047e-58,2.4047161565336983e-55,2.5935961448062317e-55,2.5482724118732569e-33,5.4284124408635135e-42,2.0887663231199178e-50
3.0000000000000002e-15,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2225738245583734e-23,4.6729766571528801e-23,3.2225738238333861e-23,3.1461517990643224e-23,3.146151831968444e-23,7.9935351326433384e-24,7.9935349404459125e-24,2.0212676458810095e-23,1.7132299939065388e-23,8.5661499665429974e-24,1.5721434433671709e-29,7.1272863689926521e-31,1.3325515343449687e-29,6.6627576546544567e-30,9.7248549682812046e-31,6.6205117156330655e-31,6.584509161300021e-31,3.5413759328179417e-31,1.9760431002787146e-37,1.3991539267458287e-32,6.4283602754810747e-31,1.6332754144962032e-31,2.5092695492358318e-40,4.7201005399884666e-33,1.2715694888185832e-46,1.0266696148673405e-40,1.0531334666530651e-40,5.3367418494072212e-47,9.1229415565287675e-48,4.3730110605290419e-54,1.540212100490629e-38,9.637591143727881e-28,7.8050075230013827e-45,5.2989948486640538e-56,9.092526112043238e-49,8.1205093253231144e-62,6.5262849932986484e-49,4.9872934109679448e-33,7.5054414933762874e-41,2.3690043558258471e-41,8.1956822753263012e-25,9.2354938272750948e-57,3.2849142225082953e-54,4.2839574080033306e-54,1.6745790104065725e-32,5.1182174285056415e-41,2.5661983715254463e-49
7e-15,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.1457069646318082e-23,1.0361817808700932e-22,7.1457069606916593e-23,6.9762493285049936e-23,6.9762495073317184e-23,1.7724793625886681e-23,1.7724792581335672e-23,4.4819362396428433e-23,3.7988970035043257e-23,1.8994485001273931e-23,8.5442483786970837e-29,3.8735247126525162e-30,7.2421198944680312e-29,3.6210599196629577e-29,5.2852470317899954e-30,3.598104088584883e-30,3.578537481841936e-30,1.9246585285348062e-30,3.191605234095297e-36,7.6040971607973968e-32,3.493673958505958e-30,8.8764960028285265e-31,4.0528457227105503e-39,2.5652705144349671e-32,6.4317682168497609e-45,1.6582265271905826e-39,1.7009681557194826e-39,2.6993953454855829e-45,4.6145006001099547e-46,7.2220523253901625e-52,2.4876699884109106e-37,2.1370161887111142e-27,3.9478722355598509e-43,8.7512926576880212e-54,4.5992010012503583e-47,4.5210366782759929e-59,3.3010821935944898e-47,2.7104838892735747e-32,1.2122424673753129e-39,3.8263005526370285e-40,1.817303438645265e-24,1.525275366830577e-54,2.3441408619270533e-52,1.0155891271857927e-51,9.100972772653292e-32,8.2666963981587931e-40,1.2980174012706852e-47
1.5e-14,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4991972604372271e-22,2.1739500123026479e-22,1.4991972586941069e-22,1.463644344023423e-22,1.463644423136355e-22,3.7187305562580965e-23,3.7187300941488899e-23,9.4032581041277088e-23,7.9702180448763426e-23,3.9851090152503202e-23,3.7799685263703905e-28,1.7136469743269428e-29,3.2039079550465142e-28,1.6019539518817525e-28,2.3381931152046042e-29,1.5918011718498301e-29,1.5831449041983947e-29,8.5146723942599158e-30,2.9682472417478166e-35,3.3640523875928658e-31,1.5456012826251414e-29,3.926961232640868e-30,3.7692155685760922e-38,1.1348745598798793e-31,1.2369968475582738e-43,1.5421811148886396e-38,1.5819294399525214e-38,5.1916418068242462e-44,8.8748742047734604e-45,2.8333733128705363e-50,2.3135711247827146e-36,4.4834852629689247e-27,7.5927746788022648e-42,3.4333131940379504e-52,8.8457088412154426e-46,3.5862311582275102e-57,6.3488427440405313e-46,1.1991168525536818e-31,1.127408161673765e-38,3.5585306860667522e-39,3.8127737930482804e-24,5.9841697304530733e-53,4.987849396415341e-51,4.4052575193979849e-50,4.026270273788183e-31,7.6881824031796403e-39,2.4964261698399466e-46
3.1e-14,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.0684501322227924e-22,4.4494864796594657e-22,3.068450124957178e-22,2.9956827875085237e-22,2.9956831172648711e-22,7.6112309236810769e-23,7.611228997530993e-23,1.9245840541326466e-22,1.631280821665084e-22,8.156404078365627e-23,1.5755508338427086e-27,7.142775154349108e-29,1.3354396592432269e-27,6.6771980798033395e-28,9.7459934125248385e-29,6.6349029917827734e-29,6.5988221587470519e-29,3.5490494689264472e-29,2.5051867530011939e-34,1.4021952746407339e-30,6.44233383588568e-29,1.636825125201296e-29,3.1812002645649358e-37,4.7303450880132225e-31,2.1031710771830797e-42,1.3015972668943865e-37,1.3351411559165433e-37,8.8269520196709234e-43,1.5089220785951363e-43,9.6724604410991095e-49,1.95263597513016e-35,9.1762431208313523e-27,1.2909367622664917e-40,1.172040731467713e-50,1.5040517921046756e-44,2.453480725046136e-55,1.0794452669159621e-44,4.998117266022911e-31,9.5153054171149866e-38,3.0033931348846106e-38,7.803714230560663e-24,2.0429709297715233e-51,8.9285974235199634e-50,1.5848365579188845e-48,1.678219279724465e-30,6.4888129691689107e-38,4.2444824583001486e-45
6.300000000000001e-14,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.2069548511441007e-22,9.0005594323393674e-22,6.2069548215364138e-22,6.0597581590364909e-22,6.059759502810779e-22,1.539622357887224e-22,1.5396215729716836e-22,3.8930760251713851e-22,3.2997780918919109e-22,1.6498890337373974e-22,6.4204090741142573e-27,2.9107172388048096e-28,5.4419500950285771e-27,2.7209748703938196e-27,3.9715440325334122e-28,2.7037584412267833e-28,2.6890553006190482e-28,1.4462457020437456e-28,2.0503436589408868e-33,5.7140204863008367e-30,2.6252854680289923e-28,6.6701471876528754e-29,2.6036197825562968e-36,1.9276338956830846e-30,3.4504719157155619e-41,1.0652844852227959e-36,1.0927323952880446e-36,1.4481539594995796e-41,2.4755283965568729e-42,3.1774721517371681e-47,1.5981025434134057e-34,1.856103773011642e-26,2.1179015417852698e-39,3.8501685350522035e-49,2.467829123804859e-43,1.6129161826357594e-53,1.7709431479082293e-43,2.0367518200509901e-30,7.7877558254724444e-37,2.4581116142259886e-37,1.5785594020373798e-23,6.7120837288381817e-50,1.5039718567638468e-48,5.3492110174410615e-47,6.8388340398613344e-30,5.3107381623624042e-37,6.963517260032586e-44
1.2700000000000001e-13,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2483960190389696e-21,1.8102705409559727e-21,1.2483960070910013e-21,1.2187902840329513e-21,1.2187908263060345e-21,3.096617657070506e-22,3.0966144895901526e-22,7.8299619041037575e-22,6.6366895779111672e-22,3.3183447396900755e-22,2.5908881102960347e-26,1.1746040377490223e-27,2.1960414011699925e-26,1.0980205573895205e-26,1.6026965882443131e-27,1.0910883121427492e-27,1.0851549260060112e-27,5.8361646645341612e-28,1.6576331914617083e-32,2.3058644537870727e-29,1.0594209227294672e-27,2.6917026400628184e-28,2.1049381401137883e-35,7.7788144094291736e-30,5.584156930315792e-40,8.6125591315159213e-36,8.8343735239870147e-36,2.3436567283174206e-40,4.0062812812373662e-41,1.0289226660475441e-45,1.2919926035852246e-33,3.7327742972241343e-26,3.4275096775719692e-38,1.2467093444179083e-47,3.9947633380903733e-42,1.0447853804640029e-51,2.8660511084311239e-42,8.2191489811704012e-30,6.296224136284453e-36,1.9873259116449139e-36,3.1749349258857225e-23,2.1739982717332977e-48,2.4667337465942956e-47,1.7562024760321267e-45,2.7597781727973805e-29,4.2936122599162734e-36,1.1269582011814887e-42
2.55e-13,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5037954474510975e-21,3.6306997651406455e-21,2.5037953994539637e-21,2.4444167955912138e-21,2.4444189740208411e-21,6.2105953280729984e-22,6.2105826036534501e-22,1.5703341429058676e-21,1.331018034883441e-21,6.6550899765183656e-22,1.0407888294727682e-25,4.7186360163091604e-27,8.8217451803560558e-26,4.4108714388288407e-26,6.4383890972395618e-27,4.3831464337116023e-27,4.3593106375692528e-27,2.3444474143955812e-27,1.3328109105832006e-31,9.2631731703383859e-29,4.2559313469244175e-27,1.0813155600970463e-27,1.6924640095087078e-34,3.1248787331832974e-29,8.9833694345088668e-39,6.9250354400477088e-35,7.1032351405434164e-35,3.7703002994798915e-39,6.4448364302991596e-40,3.3110815764934353e-44,1.0387890283167999e-32,7.4849621144102035e-26,5.5137611236716138e-37,4.0116344331069148e-46,6.4293397374655604e-41,6.7244541161440346e-50,4.6106904206000046e-41,3.3017666666826571e-29,5.0625863166450993e-35,1.5979406388098099e-35,6.367684236888242e-23,6.9991937232400417e-47,3.9950126794930639e-46,5.690888776683449e-44,1.1086652694090558e-28,3.4523533665144147e-35,1.8129654272825944e-41
5.11e-13,0.21326803933168176,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.0145877465419283e-21,7.2715583284434785e-21,5.0145875541504102e-21,4.8956601199449419e-21,4.8956688521243775e-21,1.2438498961067574e-21,1.2438447955894748e-21,3.1448531704678221e-21,2.6655833219185015e-21,1.3327915816411228e-21,4.1717540410579158e-25,1.8914488370005088e-26,3.5359867077690169e-25,1.7679924305740482e-25,2.5808167888034709e-26,1.7569778035700619e-26,1.7474232168995505e-26,9.397115367346006e-27,1.0688428702039727e-30,3.7131281868030618e-28,1.7059837574226816e-26,4.3344234661872823e-27,1.3572653656257396e-33,1.2525666048065552e-28,1.4411054648367669e-37,5.5537545428793147e-34,5.6964222549049271e-34,6.0482960209316054e-38,1.0338226378035577e-38,1.0623681843309936e-42,8.3300407126563921e-32,1.4984727696749569e-25,8.8446301486786453e-36,1.2869584209331669e-44,1.0323095841568212e-39,4.314706995015397e-48,7.3964485707523952e-40,1.3234683949455148e-28,4.0601499837253848e-34,1.2815302121503904e-34,1.2753175910220545e-22,2.2477928071692094e-45,6.4301160072747985e-45,1.8323133381856418e-42,4.4440723398682398e-28,2.7687592465143918e-34,2.9083466153620328e-40
