Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28)
0.0,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2663101015814673e-19,7.5214490949247102e-21,1.2663100972888016e-19,1.2266955467661286e-19,1.2266955507729176e-19,4.1166454182683317e-20,4.1166456941466607e-20,3.2457018827436933e-21,2.695501383477364e-21,1.3477506857628306e-21,9.2269568569685535e-28,2.06869364202715e-27,7.6628341608301507e-28,3.8314170119656277e-28,1.6822428680794212e-27,1.1275412018561781e-27,1.1232173432283071e-27,4.2515737998195108e-27,1.2086472937353515e-33,6.626791202269071e-28,1.088079229340955e-27,3.6514654224012339e-28,2.8688039269631978e-36,2.4896981790771934e-29,8.155502569795631e-43,1.7414759843094891e-36,1.0095684450414704e-36,2.8700246527188051e-43,1.2524107346124934e-42,3.5603823846303119e-49,5.1461149154870266e-36,1.9425451517643446e-23,1.4629495107434545e-42,1.9274062527989511e-51,2.0752942317846515e-44,1.0855912017772266e-56,2.075293360559825e-44,2.7239898114833851e-29,2.714648792797524e-37,3.5062542890767751e-37,2.5191844517972194e-22,1.8558791125906169e-52,5.4761895902221788e-51,8.897836173176711e-51,2.2345171817741906e-30,1.8213947163827822e-37
3.0000000000000002e-15,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.1607331603672688e-19,2.4713333063012354e-20,4.1607331321583202e-19,4.0305710287273167e-19,4.0305710550576429e-19,1.3526119120174289e-19,1.3526120933088921e-19,1.0664445983737909e-20,8.8566448850617496e-21,4.4283224032610233e-21,6.0634278542371653e-27,1.3594272211095477e-26,5.035575986913412e-27,2.5177879289186693e-27,1.1054738771112355e-26,7.4095564418207933e-27,7.3811425009163012e-27,2.7938908536083145e-26,1.1395815675649534e-32,4.3547484636353285e-27,7.150234892730335e-27,2.3995343007908057e-27,2.7048719665567338e-35,1.6360875217321984e-28,1.0019616407050673e-41,1.6419629378460057e-35,9.5187872047282975e-36,3.5260299434872575e-42,1.5386757603301841e-41,5.3914353016264654e-48,4.8520499730824853e-35,6.3826369934930031e-23,1.7973375867795528e-41,2.9186401845492786e-50,2.5496473410347193e-43,1.9540621526093302e-55,2.5496459248979284e-43,1.7900503962331305e-28,2.5595260026860991e-36,3.3058968088530231e-36,8.2773203705695537e-22,2.8103313546105426e-51,7.323976608102419e-50,1.4442401039691861e-49,1.4683970068637027e-29,1.7173150245317754e-36
7e-15,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.225973332970758e-19,5.4799131910878031e-20,9.2259731796612532e-19,8.9373528063680362e-19,8.9373529494676086e-19,2.9992689010051317e-19,2.9992698862843317e-19,2.3647230102436566e-20,1.9638631152409509e-20,9.8193153627821008e-21,3.2953379096968532e-26,7.3881903805587548e-26,2.7367234368405776e-26,1.3683616141817764e-26,6.0080099319726762e-26,4.0269327514912592e-26,4.0114903471126634e-26,1.5184171719437345e-25,1.8405944300671274e-31,2.3667109775588666e-26,3.8859970724559907e-26,1.3040943055662123e-26,4.3687735035210177e-34,8.8917852049118064e-28,5.0680554974759655e-40,2.6520169567403912e-34,1.5374268898954621e-34,1.783513056162164e-40,7.7828193859062281e-40,8.903984533168548e-46,7.836777612044481e-34,1.4152730654933268e-22,9.0911610146506054e-40,4.8200737348588638e-48,1.289648318718385e-41,1.0878962979177015e-52,1.2896452478197753e-41,9.7285329474399017e-28,4.1340221089103292e-35,5.3395228736141753e-35,1.8354058399287131e-21,4.6412927893127752e-49,4.7741662504288974e-48,3.1173115373218919e-47,7.9804185756059855e-29,2.7737238872843466e-35
1.5e-14,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.935645308324806e-18,1.1497073588916747e-19,1.9356452405006893e-18,1.8750915319480016e-18,1.8750915952552328e-18,6.2925798796251471e-19,6.292584238496722e-19,4.9612738745157011e-20,4.1202554645111528e-20,2.0601276378376713e-20,1.4578550547278446e-25,3.2685346611495485e-25,1.2107245061058728e-25,6.0536215610943058e-26,2.6579433956870125e-25,1.7815149777355397e-25,1.7746832248270866e-25,6.7174645591674952e-25,1.7117837551775059e-30,1.0470328306589314e-25,1.7191649932562821e-25,5.7693100982643298e-26,4.063034682441471e-33,3.9337295928394186e-27,9.7471924192934112e-39,2.4664226513738007e-33,1.4298337107125559e-33,3.430161086063789e-39,1.4968369306008901e-38,3.4932324359820974e-44,7.2883235753609221e-33,2.9692696666528232e-22,1.7484638896472193e-38,1.8909793278486849e-46,2.4803381204170913e-40,8.6293826000555338e-51,2.4803251847713026e-40,4.3039016423204493e-27,3.8447178565809e-34,4.9658544576705009e-34,3.8507535020595579e-21,1.8208919928248768e-47,9.8518481806219637e-47,1.3117734988325761e-45,3.5305372219722406e-28,2.5796151583984804e-34
3.1e-14,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.9617410204084197e-18,2.353139689756609e-19,3.9617407377057885e-18,3.8378036177027397e-18,3.83780388157811e-18,1.2879189839467635e-18,1.2879208007971688e-18,1.0154351765325232e-19,8.4330205463613585e-20,4.216509879632627e-20,6.0765730982134154e-25,1.3623813662329603e-24,5.046494096266432e-25,2.5232462299359544e-25,1.1078767873377996e-24,7.4256631128828085e-25,7.3971869101891668e-25,2.7999452430538113e-24,1.444736762263246e-29,4.3642137394618443e-25,7.1657772272038412e-25,2.4047460698413581e-25,3.4291837033591288e-32,1.6396498941139491e-26,1.6572403091388061e-37,2.0816519709530666e-32,1.2067737934782164e-32,5.8320408004962374e-38,2.5449495252070379e-37,1.1925057613953999e-42,6.1512891752765765e-32,6.0771743476241791e-22,2.9727673060306807e-37,6.4550549170069792e-45,4.2171558320311384e-39,5.9034801631023174e-49,4.2171100443897973e-39,1.7939398330637734e-26,3.2449352257673971e-33,4.1911698429219903e-33,7.8814490518588074e-21,6.2161493751069909e-46,1.7347080300099831e-45,4.6409256279582566e-44,1.4715892396815215e-27,2.1771908712313869e-33
6.300000000000001e-14,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.0139314926884498e-18,4.7600053566576533e-19,8.0139303406603784e-18,7.7632261217426094e-18,7.7632271970477424e-18,2.6052361769754594e-18,2.6052435807155412e-18,2.0540412197095592e-19,1.7058472244158552e-19,8.5292345183670866e-20,2.4762203733130118e-24,5.5517729006135857e-24,2.0564608627984372e-24,1.0282297617565456e-24,4.5146566772749062e-24,3.0259975146884786e-24,3.0143930879708962e-24,1.1409842649349163e-23,1.18242841287624e-28,1.7784400659793381e-24,2.9200923418245996e-24,9.7994500741133968e-25,2.8065816344608742e-31,6.6816874935833759e-26,2.718875153300851e-36,1.7037106886998268e-31,9.8767265741225637e-32,9.5680736531037881e-37,4.1752301968819001e-36,3.9174634603132767e-41,5.034422206202323e-31,1.2292629649507248e-21,4.8770959426663684e-36,2.120336368542281e-43,6.9187725381315195e-38,3.880657363089639e-47,6.9186193209422752e-38,7.3103932831124697e-26,2.6558015746113879e-32,3.4302382627250414e-32,1.5942841053513486e-20,2.0420878469975475e-44,2.896823144412762e-44,1.5525927708999737e-42,5.9968062477248432e-27,1.7819115831368026e-32
1.2700000000000001e-13,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6118308629701192e-17,9.5737407109412019e-19,1.6118303980751208e-17,1.5614064459952065e-17,1.5614068799283719e-17,5.239851367427358e-18,5.2398812446722557e-18,4.1312151669957537e-19,3.4309061783000624e-19,1.7154524419937448e-19,9.9925383086934841e-24,2.2403871963223532e-23,8.2986453433026818e-24,4.1493172578539719e-24,1.8218669437274924e-23,1.2211263702020619e-23,1.2164432824015403e-23,4.6043177547223704e-23,9.5595135389434739e-28,7.1768037557444157e-24,1.1783886329651457e-23,3.9545043847232611e-24,2.2690298189609884e-30,2.6963832394935755e-25,4.4001567386834242e-35,1.3773996491115707e-30,7.9850202276636935e-31,1.5484733929983618e-35,6.7570052263944762e-35,1.2685432859749634e-39,4.0701019458471875e-30,2.4722124215653024e-21,7.8928417016808125e-35,6.8647674317785449e-42,1.1197451417487181e-36,2.5133715045231879e-45,1.1196950624227851e-36,2.9500669554672162e-25,2.1471553834368891e-31,2.773262674126828e-31,3.2065628664295133e-20,6.612897328366565e-43,4.730134202341584e-43,5.0740615665913262e-41,2.4199825713017988e-26,1.440635489933871e-31
2.55e-13,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.2327047673549191e-17,1.9201227499808674e-18,3.2327028997692031e-17,3.1315714456955084e-17,3.1315731888952011e-17,1.050900496713888e-17,1.0509124989277179e-17,8.285410512269154e-19,6.8808985488557616e-19,3.4404466747668608e-19,4.0141253358217851e-23,9.0001118523440066e-23,3.3336712093746473e-23,1.6668312518112125e-23,7.3188450898270163e-23,4.9055390999218618e-23,4.8867246485695944e-23,1.8496033392061987e-22,7.6862449309090851e-27,2.8830806475221709e-23,4.7338501786748553e-23,1.588600962866783e-23,1.8244073253286354e-29,1.0832147921241822e-24,7.0786317331788508e-34,1.1075026212685831e-29,6.4203478012153395e-30,2.4910682849179526e-34,1.0869894413407019e-33,4.0821705772279128e-38,3.2724509853492929e-29,4.9575450817944375e-21,1.2696996236129113e-33,2.2082752168317002e-40,1.8014527017158844e-35,1.6171819420642002e-43,1.8012907894232001e-35,1.1851032297445674e-24,1.7264568509653437e-30,2.2298774704834905e-30,6.4311218309728254e-20,2.1281962886040697e-41,7.6434515054802502e-42,1.6404048897254939e-39,9.7216218888855572e-26,1.1583680765777067e-30
5.11e-13,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,6.4744464840629688e-17,3.8456265385748822e-18,6.4744389978870931e-17,6.2718907733819369e-17,6.2718977609150059e-17,2.1047005051630069e-17,2.1047486146945902e-17,1.6593191061395096e-18,1.3780381185018116e-18,6.8901801726950068e-19,1.6089749623645166e-22,3.6076608108371345e-22,1.3362324907831883e-22,6.6811275471153938e-23,2.9337458975218822e-22,1.9663786368726816e-22,1.958835739364744e-22,7.4136720573254787e-22,6.1639085802900133e-26,1.1556767421572745e-22,1.8975559049195813e-22,6.36778635642537e-23,1.4630869297789572e-28,4.3421882558304397e-24,1.1355463784100331e-32,8.8817688588634928e-29,5.1488322104731449e-29,3.9961576858957153e-33,1.7436554912684996e-32,1.309766097091325e-36,2.6241822502563853e-28,9.9259466858951514e-21,2.0367109712121884e-32,7.0800939494671296e-39,2.8901702456674484e-34,1.0370455704333479e-41,2.8896495304771293e-34,4.7504302069431864e-24,1.3846032639318693e-29,1.7883235675857668e-29,1.2880245524792441e-19,6.8293970095773819e-40,1.2288374286740422e-40,5.2754458732803426e-38,3.8969052169958319e-25,9.2900197205631458e-30
