Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28)
1e-12,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.2666656411611816e-16,7.5236641925817934e-18,1.2666627445841364e-16,1.2270350595273612e-16,1.2270377631340064e-16,4.1175058575665093e-17,4.1176919963992855e-17,3.2460019496118156e-18,2.695755320181573e-18,1.3478736290851242e-18,6.2249030066328274e-22,1.3958778512523751e-21,5.1697211783782878e-22,2.5848337330444766e-22,1.1351374695068122e-21,7.6084121664964428e-22,7.5792180050328172e-22,2.8682010058317975e-21,4.7424872808282166e-25,4.4715864326219509e-22,7.342108566118043e-22,2.4637806452349702e-22,1.1257261405363222e-27,1.6802059976373629e-23,1.7424497018147528e-31,6.8339968074285202e-28,3.9616404661730946e-28,6.1319814883390907e-32,2.6753202293572228e-31,4.0134307248014972e-35,2.018840366545502e-27,1.9407731846766083e-20,3.1248606049715542e-31,2.1663529659857083e-37,4.4357648506501703e-33,6.3418307571114281e-40,4.4341674074482094e-33,1.8380301055976823e-23,1.0654432368291777e-28,1.376074904076911e-28,2.519910144186482e-19,2.0933426440788041e-38,1.8874831280284622e-39,1.6183766284023472e-36,1.5078152534290682e-24,7.1486241336446012e-29
1.023e-12,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.2957905549308387e-16,7.6966598286598285e-18,1.2957875573250257e-16,1.2552486742315551e-16,1.2552514721360057e-16,4.2121776839576763e-17,4.2123703149661733e-17,3.3206312040082637e-18,2.757733838869987e-18,1.3788627478412782e-18,6.4420120966495368e-22,1.4445640899310646e-21,5.3500284172631293e-22,2.674986253497764e-22,1.1747295885954754e-21,7.8737838867036949e-22,7.8435713631317243e-22,2.9682361334438276e-21,4.9365572557247028e-25,4.6275494650977948e-22,7.5981918201212425e-22,2.5497132550931012e-22,1.1717928098488862e-27,1.7388107112513698e-23,1.8190643980752769e-31,7.1136570491370478e-28,4.1237578826105037e-28,6.4016019618651422e-32,2.7929520445827824e-31,4.1960410410532854e-35,2.1014532689073771e-27,1.985370538193997e-20,3.2622580664859873e-31,2.2649167627327303e-37,4.6308061594434606e-33,6.6352395558876374e-40,4.6291360300478236e-33,1.9021378825972271e-23,1.1090436600194185e-28,1.4323869257299205e-28,2.5778515932851862e-19,2.1885903322211553e-38,1.9704806451219272e-39,1.6920152989594015e-36,1.5604059872322955e-24,7.4411625993225777e-29
2.047e-12,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,2.5924726207720731e-16,1.5398829177525509e-17,2.5924606242153905e-16,2.5113507937765069e-16,2.5113619908358992e-16,8.4266407520763995e-17,8.4274116012943943e-17,6.6422797086849762e-18,5.516322332973608e-18,2.7581444771451737e-18,2.5776214882813501e-21,5.7811220961700039e-21,2.1407074378412804e-21,1.0703313486810426e-21,4.7013418111122623e-21,3.1511514149915024e-21,3.1390527468998843e-21,1.1876315040199968e-20,3.9506280507698279e-24,1.8519683403683193e-21,3.040847885436845e-21,1.020352313715445e-21,9.3781724168469307e-27,6.9597348634218538e-23,2.9117333756017039e-30,5.6935850972140769e-27,3.3004106759008994e-27,1.024702749751204e-30,4.4697807168894256e-30,1.3430412131180646e-33,1.6814239548745808e-26,3.9673127362161743e-20,5.2205143037813764e-30,7.2283553535814405e-36,7.4154920699106846e-32,4.2353582286065261e-38,7.4101434673825534e-32,7.6122527590167715e-23,8.8777150328649569e-28,1.1465548018815971e-27,5.1575148522680622e-19,7.0094869791307802e-37,3.1550897059074058e-38,5.4186973979216184e-35,6.2449106825650695e-24,5.9565540079143912e-28
4.095e-12,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999889,11.0,5.1857977641066205e-16,3.0803578289922046e-17,5.1857497666012539e-16,5.0234867385701737e-16,5.0235315350691398e-16,1.685360223382529e-16,1.6856685803751327e-16,1.328167680583037e-17,1.1030289779676603e-17,5.5150781612998237e-18,1.0308899037681217e-20,2.312920338627048e-20,8.5616545314900575e-21,4.280648370388518e-21,1.8809945894191775e-20,1.2607782637554124e-20,1.255931676221183e-20,4.7494811287889663e-20,3.1598053574839218e-23,7.4096281599253477e-21,1.21663822914631e-20,4.0819310236185257e-21,7.5017614413765143e-26,2.7852953619225115e-22,4.6581130825752495e-29,4.5549312827217316e-26,2.6401456889824329e-26,1.6393350614688162e-29,7.1479761462244352e-29,4.2953197272919531e-32,1.3443197012502042e-25,7.9168247752148929e-20,8.3474664474584093e-29,2.2984413990294497e-34,1.1872922093282985e-30,2.693638731050719e-36,1.1855812338839846e-30,3.0454642427279137e-22,7.1042219383549767e-27,9.1743216902326981e-27,1.0316877833538511e-18,2.2445856738038918e-35,5.0463273734753641e-37,1.7334213010517051e-33,2.4986265279989023e-23,4.7666566307310153e-27
8.191e-12,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999767,11.0,1.0372292101253335e-15,6.1614712940267394e-17,1.0372100096466654e-15,1.004748547233018e-15,1.0047664653992861e-15,3.3699670604034439e-16,3.3712001420999317e-16,2.6544894134270031e-17,2.2045404442210469e-17,1.1022435641931578e-17,4.1206719643113288e-20,9.251816717379244e-20,3.4223775463583515e-20,1.7110458288227167e-20,7.524683878483124e-20,5.0436723895735216e-20,5.0242366829311097e-20,1.8982113840895952e-19,2.5255709821920885e-22,2.9640901302085142e-20,4.8670326538468995e-20,1.6325480659299246e-20,5.9974167874509201e-25,1.1148008134338279e-21,7.4472075342725092e-28,3.6423746021184734e-25,2.1108559167808138e-25,2.6210417700530742e-28,1.1419407778695871e-27,1.3722630927033934e-30,1.0736542501389214e-24,1.5758881103217195e-19,1.3332277924372507e-27,7.259391587444194e-33,1.9013306042407e-29,1.7016988687890487e-34,1.8958643685216955e-29,1.2181575201639827e-21,5.6840491143350125e-26,7.339102059464377e-26,2.0635747683017987e-18,7.1889208654160911e-34,8.0609507105652929e-36,5.5381249276581264e-32,9.9958749354233099e-23,3.8138367335226104e-26
1e-11,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999711,11.0,1.2662771607734243e-15,7.5223898971311222e-17,1.266245241167631e-15,1.2266095234537353e-15,1.2266393080991835e-15,4.1132812413058472e-16,4.1153303847552576e-16,3.238888032168006e-17,2.6898941611682562e-17,1.3449028260147118e-17,6.8447134463047698e-20,1.5379554184005987e-19,5.6849999754210302e-20,2.842136746469148e-20,1.2509544542263983e-19,8.3850955259578967e-20,8.3527003151411557e-20,3.1526151414724773e-19,6.4205057283333685e-22,4.927635439408756e-20,8.0913263123648881e-20,2.7133923077719272e-20,1.5251589503044637e-24,1.8543392659470554e-21,3.2068030986355596e-27,9.2656582696130003e-25,5.3684709146780854e-25,1.1287299190968991e-27,4.9112717844869491e-27,1.07322145184436e-29,2.7265109768773293e-24,1.9172913686754174e-19,5.7315726535378127e-27,5.5638566856724639e-32,8.2092721642528571e-29,2.4763787642631625e-33,8.1665297320384258e-29,2.0248967103348703e-21,1.4470389458000547e-25,1.8679487499069773e-25,2.5193204215771412e-18,5.6476017031255724e-33,3.4656184897988307e-35,4.3307192384744532e-31,1.6618579464076797e-22,9.7094383115258263e-26
1.6383e-11,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999523,11.0,2.0744657008434966e-15,1.23243486829881e-16,2.0743889021948954e-15,2.0094390487256172e-15,2.0095107038722307e-15,6.7360421128923772e-16,6.7409707047491456e-16,5.3009203060341323e-17,4.4024495924971844e-17,2.2011184524420075e-17,1.645640873627941e-19,3.700108444905766e-19,1.3668592548503988e-19,6.8331557223327007e-20,3.009846970363114e-19,2.0175202700939354e-19,2.0097080284404133e-19,7.578739620950051e-19,2.0163661330666025e-21,1.1855943736050622e-19,1.9468145782967601e-19,6.5271174574001742e-20,4.790464889698309e-24,4.4637775978386703e-21,1.1894183756161608e-26,2.9107239059893575e-24,1.6862863690564361e-24,4.1865917829833691e-27,1.8211238514856552e-26,4.3758510787376547e-29,8.5585643139537546e-24,3.1219221028222679e-19,2.1250995123634483e-26,2.2634297578089108e-31,3.0466646944550027e-28,1.0613764758925242e-32,3.0292376617238688e-28,4.8714507461893601e-21,4.5472716939270364e-25,5.869368333157459e-25,4.1274047249804079e-18,2.3038399648208713e-32,1.2849663808666768e-34,1.7657416727616661e-30,3.9986585548319577e-22,3.0511884343805831e-25
3.2767e-11,0.29175219937560254,89.099999999999994,0.0,0.0,0.0,0.99999999999999034,11.0,4.148689200254459e-15,2.4652673565836865e-16,4.1483820618801926e-15,4.0183832070136288e-15,4.0186696597178216e-15,1.345566339445428e-15,1.3475346017140748e-15,1.0569076339941262e-16,8.7779265806675199e-17,4.3885402422471698e-17,6.5609938280522056e-19,1.479403943262103e-18,5.4502423303025657e-19,2.7242135993542418e-19,1.2037994389086867e-18,8.0696996284105183e-19,8.0381501394386617e-19,3.0199703865165423e-18,1.606396223628684e-20,4.7415795059678476e-19,7.7865064479671014e-19,2.6081352268320681e-19,3.8200474543948145e-23,1.7889761251636427e-20,1.896040699802802e-25,2.3232480305192898e-23,1.3450565876162888e-23,6.6751997076979495e-26,2.8944383775646278e-25,1.3903179707197392e-27,6.7974029046758251e-23,6.1276436146231167e-19,3.3741519773602968e-25,6.886969700373098e-30,4.8883278704479854e-27,6.4615123791100543e-31,4.8329865795052671e-27,1.9474504925367348e-20,3.637452783702917e-24,4.6918991462743947e-24,8.2552761215585325e-18,7.3926471143735594e-31,2.04029247259206e-33,5.6080555654156536e-29,1.5995511157255614e-21,2.4408616964025873e-24
6.5535e-11,0.29175219937560265,89.099999999999994,0.0,0.0,0.0,0.99999999999998057,11.0,8.296138470117008e-15,4.9319367197488119e-16,8.2949104257008434e-15,8.0345252318561433e-15,8.0356696498415383e-15,2.6844994960195189e-15,2.6923468771430841e-15,2.1007708365977225e-16,1.7448415881911523e-16,8.7225341700929622e-17,2.6071733133019733e-18,5.9122172420083719e-18,2.1663565978976452e-18,1.0824599823153695e-18,4.8138479725131496e-18,3.2274164020846977e-18,3.2145569751394542e-18,1.1987997211884395e-17,1.2744352877871699e-19,1.8959018070051189e-18,3.1138487349165292e-18,1.0410406917490559e-18,3.0363498511243373e-22,7.1829669308699031e-20,3.0112207336641359e-24,1.8500171393405694e-22,1.0696900065721604e-22,1.0605693288938749e-24,4.5697492098384462e-24,4.3859641523118658e-26,5.3597871359184579e-22,1.1817272601216131e-18,5.3164742944837313e-24,2.0045343520403687e-28,7.8629859512153581e-26,3.764229765258921e-29,7.6885909336517532e-26,7.7804601499688551e-20,2.9092130067263199e-23,3.7475637790541705e-23,1.6511766401917473e-17,2.3780589175519131e-29,3.2148384404397942e-32,1.7677307648115722e-27,6.3985571790342445e-21,1.9524351371560608e-23
9.999999999999999e-11,0.2917521993756027,89.099999999999994,0.0,0.0,0.0,0.99999999999997025,11.0,1.2656279255037337e-14,7.528376740591786e-16,1.2653115943568408e-14,1.2254987630202802e-14,1.2257931711133484e-14,4.0823597191949402e-15,4.1024803379401038e-15,3.1786160995036828e-16,2.6402377642012477e-16,1.3196949678600394e-16,6.6491914950717736e-18,1.5216863898960212e-17,5.5272735087754078e-18,2.7603375591038233e-18,1.2402655225862416e-17,8.3171391361527512e-18,8.2829855866036538e-18,3.052159708511541e-17,5.8776918813168151e-19,4.8838761195460239e-18,8.0231850945112235e-18,2.6741671590188077e-18,1.4051310794004546e-21,1.862635783950956e-19,2.639419594333872e-23,8.5888972083367521e-22,4.9549224426579187e-22,9.3033562143686324e-24,3.9613135615602825e-23,7.3825985019199251e-25,2.4453551738338485e-21,1.7211080145245341e-18,4.5916035603386855e-23,2.9424185615288204e-27,7.05373874281218e-25,1.0886811759569211e-27,6.7607870495451781e-25,2.001650444611793e-19,1.3612137127949797e-22,1.7492961988033044e-22,2.5197015150718633e-17,4.1533142602678831e-28,2.7765367865282491e-31,2.971050075272684e-26,1.6494315092925697e-20,9.1374814625409319e-23
1.31071e-10,0.2917521993756027,89.099999999999994,0.0,0.0,0.0,0.99999999999996103,11.0,1.6587047696304117e-14,9.8691278761673582e-16,1.6582139696525415e-14,1.6059832753633212e-14,1.6064399272613308e-14,5.3425632588520859e-15,5.3737484870892173e-15,4.1503187010922836e-16,3.4474582657190105e-16,1.723073944400978e-16,1.02931650022753e-17,2.3605219514168414e-17,8.5572183611729996e-18,4.2729832631048112e-18,1.924414166627487e-17,1.2905642692520909e-17,1.2852291995621622e-17,4.7230068916282134e-17,1.0027634884872878e-18,7.5776045357641714e-18,1.2449066134086642e-17,4.1464686957818562e-18,2.3981554561775651e-21,2.8942841197186711e-19,4.7474492555548194e-23,1.466415450193259e-21,8.457549949450915e-22,1.673442052072541e-23,7.1205564427832775e-23,1.364277807062748e-24,4.166702511601998e-21,2.2073723238253656e-18,8.2517485463503771e-23,5.4143639681743269e-27,1.2703981970112225e-24,2.0362171976541183e-27,1.2162649621037096e-24,3.1047583289165893e-19,2.3261072435378634e-22,2.9884758528035448e-22,3.302696912936366e-17,7.683236225103453e-28,4.9898241788372222e-31,5.4901558530023099e-26,2.5595875926888313e-20,1.5614968025025582e-22
2.62143e-10,0.29175219937560276,89.099999999999994,0.0,0.0,0.0,0.99999999999992195,10.999999999999998,3.3152921852405892e-14,1.9757897436526628e-15,3.3133323280127841e-14,3.2082609918006458e-14,3.2100788123893723e-14,1.0580750617289459e-14,1.0703884050334714e-14,8.1035286992324592e-16,6.7321630318309674e-16,3.3635688083997069e-16,4.0126680340950156e-17,9.4072426476096669e-17,3.3392462817478587e-17,1.6653054184310975e-17,7.688594250248021e-17,5.1589776587262123e-17,5.1361117256889167e-17,1.8336245679438831e-16,7.763724056795035e-18,3.0262392906249849e-17,4.9745141368807544e-17,1.6445936150637995e-17,1.8709918263121607e-20,1.1738389790579182e-18,7.3791511761083006e-22,1.1519006410369564e-20,6.6119934853057209e-21,2.6051967162294624e-22,1.0814710917968792e-21,4.1286612374147283e-23,3.1515248941049073e-20,3.9112539249333416e-18,1.2439269509564097e-21,1.3079731821065429e-25,2.0663149002583626e-23,9.8597231085854534e-26,1.903127502817982e-23,1.2361384299689748e-18,1.8588450641187526e-21,2.3755519344917819e-21,6.6060423276415397e-17,2.4988451882835505e-26,7.5220470721635531e-30,1.6568624262866421e-24,1.0238706597425783e-19,1.2484579612830435e-21
5.24287e-10,0.29175219937560304,89.099999999999994,0.0,0.0,0.0,0.99999999999984379,10.999999999999996,6.6220998665576225e-14,3.9587815170565396e-15,6.6142868711961341e-14,6.4017345647842546e-14,6.4089378640543537e-14,2.0755148536068457e-14,2.1235252922807e-14,1.547636039242403e-15,1.2859082698645298e-15,6.4202616004567771e-16,1.527101693538809e-16,3.7352989180889247e-16,1.2731742666835393e-16,6.3339713762247817e-17,3.0682185329595788e-16,2.0609585211685126e-16,2.0505986825541046e-16,6.9221843381579851e-16,5.8278120864825635e-17,1.2067033789635159e-16,1.9857217228795978e-16,6.4691956255489698e-17,1.4264944391455945e-19,4.8134997915198082e-18,1.1165264195183907e-20,8.8918323989503592e-20,5.0607012655779698e-20,3.9534619897938908e-21,1.5644178631321604e-20,1.1856074298071496e-21,2.2640436173670845e-19,6.4421767650411459e-18,1.774828060339815e-20,2.7385178018120262e-24,3.382893669575775e-22,4.1420143150351375e-24,2.9173706092478238e-22,4.9012299980536172e-18,1.4838217276662079e-20,1.8764569298018915e-20,1.3209722602041916e-16,8.180342607098399e-25,1.0732438577949216e-28,4.7370340293504946e-23,4.094519301433558e-19,9.9757764656769907e-21
