Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41)
1e-12,0.4125981619125429,89.099999999999994,0.0,0.0,0.0,0.99999999999993072,11.0,2.9378005963253858e-14,2.4455378404614209e-16,2.9378006618304213e-14,2.8321486618004955e-14,2.8321690501839139e-14,1.1230084897379385e-14,1.1229730325898107e-14,1.0977805522673526e-16,8.9828394003363242e-17,4.491419700168053e-17,1.4876888300238641e-20,3.5457148128016704e-19,1.2173950708548024e-20,6.0869753542738892e-21,2.0388383418639881e-19,1.3615985836332106e-19,1.3550480801556867e-19
1.023e-12,0.4125981619125429,89.099999999999994,0.0,0.0,0.0,0.99999999999992917,11.0,3.0054057204640651e-14,2.5018150721802914e-16,3.0054057882547519e-14,2.8973224209144944e-14,2.8973435207102583e-14,1.1488513975652475e-14,1.1488147032164714e-14,1.1230411423271638e-16,9.1895399308022765e-17,4.5947699654010249e-17,1.53959542274792e-20,3.6694348776230414e-19,1.2598712701499055e-20,6.2993563507493996e-21,2.1099795764175584e-19,1.4091089095116992e-19,1.4023298408630581e-19
2.047e-12,0.41259816191254317,89.099999999999994,0.0,0.0,0.0,0.99999999999985834,11.0,6.0152822375553464e-14,5.0073753017506853e-16,6.0152825090075537e-14,5.7989398025123562e-14,5.7990242954481717e-14,2.2994225982244841e-14,2.2992756622474478e-14,2.2474553102536044e-16,1.8390314582611372e-16,9.1951572913042253e-17,6.1628971733208765e-20,1.4693597703685677e-18,5.0434292545963288e-20,2.5217146272978512e-20,8.4492935815940831e-19,5.6427203880609617e-19,5.6155751673995765e-19
4.095e-12,0.4125981619125437,89.099999999999994,0.0,0.0,0.0,0.99999999999971656,11.0,1.2034950539352499e-13,1.0018495760890757e-15,1.2034951625649859e-13,1.1602047691833495e-13,1.1602385844923174e-13,4.6005649995426309e-14,4.5999769759791719e-14,4.4953599738617727e-16,3.6784303114850764e-16,1.8392151557402754e-16,2.4646223081167048e-19,5.8802356345940264e-18,2.0171316636777547e-19,1.0085658318379151e-19,3.3815308967985281e-18,2.2583181800725873e-18,2.2474552064570348e-18
8.191e-12,0.41259816191254495,89.099999999999994,0.0,0.0,0.0,0.99999999999943312,10.999999999999998,2.4073948232453664e-13,2.0040736679168029e-15,2.4073952577896187e-13,2.3207756018389723e-13,2.320910894386989e-13,9.2028498021776202e-14,9.2004974491240536e-14,8.9874846626191115e-16,7.354210895086165e-16,3.6771054475071193e-16,9.8459258880278329e-19,2.3523530535673678e-17,8.0598320450889885e-19,4.0299160225139678e-19,1.3529254801772269e-17,9.035515359878656e-18,8.9920609346377178e-18
1e-11,0.4125981619125472,89.099999999999994,0.0,0.0,0.0,0.99999999999930789,10.999999999999998,2.939067694008922e-13,2.4467063295660509e-15,2.9390684163114127e-13,2.8332973478148088e-13,2.8335222734393014e-13,1.1235450683027714e-13,1.1231540369911501e-13,1.0968196300965627e-15,8.9749684328929662e-16,4.4874842162922135e-16,1.6342866467089125e-18,3.9103131162126824e-17,1.3380986028568091e-18,6.6904930140462877e-19,2.2492562449253494e-17,1.5021929671988763e-17,1.4949699422954435e-17
1.6383e-11,0.4125981619125472,89.099999999999994,0.0,0.0,0.0,0.99999999999886613,10.999999999999996,4.8150588129054263e-13,4.0085218515711092e-15,4.8150605505538719e-13,4.6417143210396669e-13,4.642255514175016e-13,1.8407419407442382e-13,1.8398011880904462e-13,1.7957075453848886e-15,1.4693760784369362e-15,7.3468803916129696e-16,3.9267118383146733e-18,9.4075265379180669e-17,3.2156511665133652e-18,1.6078255831597858e-18,5.411931353486576e-17,3.6144805600235744e-17,3.5971040755693846e-17
3.2767e-11,0.41259816191255183,89.099999999999994,0.0,0.0,0.0,0.99999999999773215,10.999999999999993,9.6298447182541224e-13,8.0174182188751297e-15,9.6298516631590206e-13,9.2827802526948501e-13,9.2849447537458031e-13,3.6816558617951012e-13,3.6778951488509938e-13,3.5838255521322568e-15,2.9325268845304571e-15,1.4662634413615836e-15,1.5611100340184705e-17,3.7607129441076077e-16,1.279416034246858e-17,6.397080168180281e-18,2.164501050952498e-16,1.4457078267701988e-16,1.4387629218727945e-16
4.9151e-11,0.41259816191255644,89.099999999999994,0.0,0.0,0.0,0.99999999999659817,10.999999999999986,1.4444088671473269e-12,1.2026314586174556e-14,1.4444103420631779e-12,1.3923034955204814e-12,1.3927633993311323e-12,5.5225697828438755e-13,5.5145818622228769e-13,5.3662060068362615e-15,4.3909634309581213e-15,2.1954817121724902e-15,3.3033037734748451e-17,7.9879206209992577e-16,2.7086932324529343e-17,1.3543466148406872e-17,4.5990381065089371e-16,3.0719197216221726e-16,3.0571705631149551e-16
6.5535e-11,0.41259816191256105,89.099999999999994,0.0,0.0,0.0,0.99999999999546418,10.99999999999998,1.9257790794377357e-12,1.6035210953469394e-14,1.9257815940737396e-12,1.8562478706075581e-12,1.8570323232871573e-12,7.3634837038905592e-13,7.3498630044140069e-13,7.1429108327766561e-15,5.8447302065345867e-15,2.9223650949254233e-15,5.6130598559396873e-17,1.3620699476551544e-15,4.6049480476268669e-17,2.3024740197058674e-17,7.8445267959906102e-16,5.2399619260680923e-16,5.2148155660340067e-16
9.8303e-11,0.4125981619125702,89.099999999999994,0.0,0.0,0.0,0.99999999999319622,10.999999999999968,2.8883923775375608e-12,2.4053003688048282e-14,2.8883975789074327e-12,2.7839463814433109e-12,2.78557017119797e-12,1.104531154597902e-12,1.1017131691134429e-12,1.0683189604996126e-14,8.7414404577916015e-15,4.3707201999831445e-15,1.1545657856427893e-16,2.8179854844592085e-15,9.4797897927472154e-17,4.7398948785658709e-17,1.6237897546595004e-15,1.0847311132052817e-15,1.0795297433334947e-15
9.999999999999999e-11,0.41259816191257936,89.099999999999994,0.0,0.0,0.0,0.99999999999307876,10.999999999999968,2.9382390888932937e-12,2.4468231784684185e-14,2.9382444552823535e-12,2.8319822224478658e-12,2.833657595755555e-12,1.1235987261555722e-12,1.1206913017978893e-12,1.0865980044022343e-14,8.8909984513518621e-15,4.4454991950924919e-15,1.1908365736721631e-16,2.9074243576824823e-15,9.7780291360591377e-17,4.8890145489678612e-17,1.6753733076886305e-15,1.1191945021579463e-15,1.1138281130982496e-15
1.31071e-10,0.41259816191257936,89.099999999999994,0.0,0.0,0.0,0.99999999999092826,10.999999999999956,3.8508065264585434e-12,3.2070796422610285e-14,3.8508153647203855e-12,3.7113469068274694e-12,3.7141080191068453e-12,1.4727139388059792e-12,1.467924548681085e-12,1.4203101829767124e-14,1.1621341822074086e-14,5.8106708393228829e-15,1.9514906086180056e-16,4.7893901248939229e-15,1.6035524739958589e-16,8.0177623184803151e-17,2.7611122793755247e-15,1.8446152106351171e-15,1.8357769487933045e-15
1.6383900000000002e-10,0.41259816191258863,89.099999999999994,0.0,0.0,0.0,0.99999999998866029,10.999999999999941,4.8130073826207358e-12,4.0088589157154185e-14,4.8130208730982428e-12,4.6384283473617045e-12,4.6426458670136409e-12,1.8408967230132318e-12,1.8335847344299913e-12,1.7701591868198117e-14,1.4483521747139382e-14,7.241760722552605e-15,2.9626365523815621e-16,7.3119885832398969e-15,2.4363411017793594e-16,1.2181705384798741e-16,4.2175196519370385e-15,2.817792064699401e-15,2.804301587192965e-15
2.2937500000000002e-10,0.412598161912607,89.099999999999994,0.0,0.0,0.0,0.99999999998412448,10.999999999999909,6.7367563698436178e-12,5.6124174626186557e-14,6.736782256207482e-12,6.4916151850578581e-12,6.4997215628208643e-12,2.5772622914252075e-12,2.5632244352601853e-12,2.4635571577422345e-14,2.0155497755670497e-14,1.007774833773169e-14,5.6149274056277887e-16,1.4037856165021655e-14,4.6257614735629372e-16,2.3128806744296374e-16,8.1063777630070338e-15,5.4168708677221261e-15,5.3909845038591918e-15
2.9491100000000003e-10,0.41259816191262544,89.099999999999994,0.0,0.0,0.0,0.99999999997958866,10.999999999999872,8.6596402890243261e-12,7.2159760095145433e-14,8.6596826543211415e-12,8.343508842380261e-12,8.3567972586196357e-12,3.3136278598338267e-12,3.2906421952878948e-12,3.1488263619454828e-14,2.575965315464545e-14,1.2879825202355e-14,9.0800857883668772e-16,2.2985664545931672e-14,7.4933970633508517e-16,3.7466983351836575e-16,1.3288416239373968e-14,8.8810177041521352e-15,8.8386524073354153e-15
4.2598300000000004e-10,0.4125981619126619,89.099999999999994,0.0,0.0,0.0,0.99999999997051703,10.99999999999978,1.2502817296198627e-11,1.0423093103284261e-13,1.2502904733925233e-11,1.2043426275785045e-11,1.2070948650191782e-11,4.7863589966409775e-12,4.7388671692002118e-12,4.4967142393690034e-14,3.6777241232832669e-14,1.8388614824283645e-14,1.827539880175474e-15,4.7491827440766281e-14,1.5135952168557366e-15,7.5679748500502933e-16,2.7522374406737485e-14,1.8400142537777083e-14,1.8312704811171474e-14
5.57055e-10,0.4125981619126985,89.099999999999994,0.0,0.0,0.0,0.9999999999614454,10.999999999999666,1.6342543998849961e-11,1.363021019702457e-13,1.634269252481543e-11,1.5738193267381095e-11,1.5785100041730031e-11,6.2590901334346559e-12,6.1783337868703521e-12,5.816061762923298e-14,4.755283198450304e-14,2.3776400295327856e-14,3.0324632868723241e-15,8.0756346564303573e-14,2.5198594627266508e-15,1.2599293115828497e-15,4.6906774348938219e-14,3.1369571859203416e-14,3.1221045893733102e-14
6.881270000000001e-10,0.412598161912735,89.099999999999994,0.0,0.0,0.0,0.99999999995237376,10.999999999999531,2.0178826391752275e-11,1.6837327290735466e-13,2.0179051824657563e-11,1.9427823398827428e-11,1.9499251433234325e-11,7.7318212702148272e-12,7.609121955584914e-12,7.1091431614958757e-14,5.8103379910682994e-14,2.9051655947887942e-14,4.5000302916034898e-15,1.2269931462991369e-13,3.7511841481573743e-15,1.8755909940640792e-15,7.1428034406898979e-14,4.7783310894407885e-14,4.7557877989125885e-14
