Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41)
0.0,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,2.939373859881556e-17,2.4468361616901878e-19,2.9393738599787541e-17,2.8336726013287192e-17,2.8336726315803947e-17,1.1236046881439449e-17,1.1236046355321012e-17,1.098511984356169e-19,8.9888245698278825e-20,4.494412284913916e-20,2.2082149178968124e-26,5.2611843581047101e-25,1.8069223157476602e-26,9.0346115787382481e-27,3.0251674976330995e-25,2.0202909491989456e-25,2.0105710900742843e-25
3.0000000000000002e-15,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,7.2584537657205012e-17,6.0421872564186278e-19,7.2584537662084794e-17,6.9974363465166544e-17,6.9974364983924047e-17,2.7746156584779049e-17,2.7746153943449882e-17,2.7126514796823408e-19,2.2196888716001249e-19,1.1098444358000557e-19,1.1086135158204705e-25,2.6413291586911739e-24,9.0714839421800184e-26,4.5357419710899817e-26,1.5187575383731327e-24,1.014268507848143e-24,1.0093887421548051e-24
7e-15,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999944,11.0,1.9015948763256565e-16,1.5829531903179375e-18,1.9015948766259805e-16,1.8332126089999026e-16,1.8332127024713982e-16,7.2690344110536825e-17,7.2690327854554748e-17,7.1066945860879298e-19,5.8152147464380286e-19,2.907607373218997e-19,6.8229185667696136e-25,1.6255982082216249e-23,5.5830105695732488e-25,2.7915052847866083e-25,9.3471495475035811e-24,6.2422864483579038e-24,6.2122540766348939e-24
1.5e-14,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.999999999999999,11.0,4.2530937465342704e-16,3.5404221196700862e-18,4.2530937479597174e-16,4.1001503640857106e-16,4.1001508077357121e-16,1.6257871916205233e-16,1.6257864200521751e-16,1.5894766666450397e-18,1.3006254931901578e-18,6.5031274659507513e-19,3.238397737745026e-24,7.7156834809569248e-23,2.6498947172277722e-24,1.3249473586138784e-24,4.4365000103900791e-23,2.9628182014473514e-23,2.9485637411791407e-23
3.1e-14,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999789,11.0,8.9560909697572219e-16,7.4553599783743774e-18,8.9560909759211897e-16,8.6340250998149187e-16,8.6340270182643338e-16,3.4235546926508311e-16,3.4235513562051216e-16,3.3470854297982795e-18,2.7388289046409982e-18,1.3694144523204914e-18,1.4003528751240894e-23,3.3364457093074885e-22,1.1458723905159788e-23,5.7293619525798619e-24,1.9184494148909962e-22,1.2811940053202977e-22,1.2750300376956651e-22
6.300000000000001e-14,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999567,11.0,1.8362083347426911e-15,1.5285235695782944e-17,1.8362083373021003e-15,1.7701771473505775e-15,1.7701779439321558e-15,7.0190896947114389e-16,7.0190758410823302e-16,6.8622803449095928e-18,5.6152172253194647e-18,2.8076086126597173e-18,5.8144985936714117e-23,1.3853629110040228e-21,4.7578605489742058e-23,2.37893027448709e-23,7.9658157830812734e-22,5.3197945626800757e-22,5.2942004741641655e-22
1.2700000000000001e-13,0.4125981619125426,89.099999999999994,0.0,0.0,0.0,0.99999999999999123,11.0,3.7174059827668726e-15,3.094498713060001e-17,3.717405993193513e-15,3.5837251829833817e-15,3.5837284281435924e-15,1.4210159698832623e-15,1.4210103261222386e-15,1.3892579734206165e-17,1.1367919860537524e-17,5.6839599302687306e-18,2.3686882633021134e-22,5.643761023841154e-21,1.9382450750949323e-22,9.6912253754746074e-23,3.2451602118150154e-21,2.167209315820585e-21,2.1567826758875275e-21
2.55e-13,0.4125981619125427,89.099999999999994,0.0,0.0,0.0,0.99999999999998235,11.0,7.4797979687820242e-15,6.2264490000233853e-17,7.4797980108677613e-15,7.2108162978407676e-15,7.2108293965664346e-15,2.8592299707074865e-15,2.8592071903848153e-15,2.7952816779929351e-17,2.2873029128448373e-17,1.1436514564224119e-17,9.5604937694473149e-22,2.2780322671961373e-20,7.8231883671667038e-22,3.9115941835833289e-22,1.309872566773404e-20,8.7477022134757173e-21,8.7056164771666771e-21
5.11e-13,0.4125981619125427,89.099999999999994,0.0,0.0,0.0,0.99999999999996458,11.0,1.5004568700725992e-14,1.2490349573950045e-16,1.5004568869826907e-14,1.4464978702028656e-14,1.4465031333411988e-14,5.7356579723558836e-15,5.7355664404906802e-15,5.6071844186527872e-17,4.588206383038472e-17,2.2941031915192181e-17,3.8410953254285013e-21,9.1531865203425832e-20,3.1431413801543455e-21,1.5715706900771611e-21,5.2631383331199232e-20,3.5148774212969224e-20,3.4979673294244366e-20
