Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144),S(42)
1e-12,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1587403914194117e-17,1.1759297754687294e-18,1.1587392363133303e-17,1.1247512607998984e-17,1.1247536325859069e-17,3.5135191550612218e-18,3.513617097801169e-18,5.0768211941018022e-19,4.2405195631700452e-19,2.1202570090896964e-19,8.1594375532105079e-23,8.9069099548110502e-23,6.8153543589955138e-23,3.4076590173433058e-23,8.3282410709342548e-23,5.5988557794798287e-23,5.5761691348897867e-23,1.6481163624537004e-22,2.2838577569732958e-26,1.757654625935593e-23,5.4126178578670187e-23,1.6908127739242326e-23,4.6472314403390283e-29,8.6809995017543384e-25,6.0284679794494663e-33,2.5521685779962763e-29,1.710298565204275e-29,2.2186230001429545e-33,5.4177954492906419e-33,6.8115731905180458e-37,1.5534950004537048e-28,1.1607064764868365e-21,2.0152268694808675e-32,4.5791893949467441e-39,2.2326540926140967e-34,9.2152856165390186e-42,1.3206795602637485e-34,9.3431119907417346e-25,4.4805141741643704e-30,5.3162834761254742e-30,3.3144186898764167e-20,7.9139130003941632e-40,7.0609222631091584e-41,5.4483290274413743e-38,1.5949875013165417e-25,3.0159320626510009e-30,9.1143761336060449e-35,2.4332146636218174e-29,3.0004938079437404e-30
1.023e-12,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1853837478156556e-17,1.202968473133364e-18,1.1853825524209938e-17,1.1506130536574482e-17,1.1506155081681305e-17,3.5943048325071167e-18,3.5944061913251348e-18,5.1935449742876505e-19,4.3380155551614263e-19,2.1690049083890383e-19,8.4440208617814583e-23,9.2175707262747273e-23,7.0530591257306803e-23,3.5265106574865783e-23,8.618719406450788e-23,5.7941367644127424e-23,5.7706587999876243e-23,1.70559873383087e-22,2.3773172636340986e-26,1.8189593389577971e-23,5.6014030503807138e-23,1.7497857573222677e-23,4.8374047306123377e-29,8.9837838385687235e-25,6.2935374023205491e-33,2.6566084838992167e-29,1.7802872174343643e-29,2.3161750437666198e-33,5.6560126536045918e-33,7.1214990598477308e-37,1.6170659699420524e-28,1.1873808915184202e-21,2.1038350361192008e-32,4.7875349094134283e-39,2.3308239414747683e-34,9.641640137486974e-42,1.378749394399554e-34,9.6689857618045648e-25,4.66386729740797e-30,5.5338377186072469e-30,3.3906286473132755e-20,8.2739977454838254e-40,7.3714132256643613e-41,5.6962380799141435e-38,1.6506187001806431e-25,3.139351083876802e-30,9.515131972649682e-35,2.5327855924635779e-29,3.123281049803933e-30
2.047e-12,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3715844398333732e-17,2.4067833023921079e-18,2.3715796558010256e-17,2.3020123627826922e-17,2.3020221857936177e-17,7.1907385787911193e-18,7.1911441974128424e-18,1.0389015672548212e-18,8.6776480139086847e-19,4.3388125274962338e-19,3.3788496019675812e-22,3.6888838529759314e-22,2.8222697935598936e-22,1.4111197670108475e-22,3.4492737188410121e-22,2.3188620740960326e-22,2.3094633445707008e-22,6.8246835617534015e-22,1.9026526290076739e-25,7.2795932193361598e-23,2.2417249773631833e-22,7.0024992382419849e-23,3.8716436566758798e-28,3.5955295967398741e-24,1.0074477265965154e-31,2.1263562695592208e-28,1.4248839423356535e-28,3.707698904425673e-32,9.0526574353579322e-32,2.2796714774253179e-35,1.2939771789069565e-27,2.3731183597135683e-21,3.3671066276187441e-31,1.5294417924327606e-37,3.7320924299357933e-33,6.1604834231613244e-40,2.2071209417292697e-33,3.8694630314784888e-24,3.7333582817039758e-29,4.4296154915034011e-29,6.783641774583694e-20,2.6497038962210751e-38,1.1805045866190097e-39,1.8245519389688304e-36,6.6059548182552721e-25,2.5130118944806217e-29,1.5231734333065169e-33,2.0269350379803385e-28,2.500145360361277e-29
4.095e-12,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.7439543401648678e-17,4.8144328757498018e-18,4.743935199475388e-17,4.6047602386778015e-17,4.6047995395246549e-17,1.4382465826293522e-17,1.4384088489781263e-17,2.0774859915585144e-18,1.7352680559042887e-18,8.676294376318427e-19,1.3514683968745181e-21,1.4758759837268476e-21,1.1288557222767237e-21,5.6441575971636067e-22,1.3800517518394197e-21,9.2778030038756351e-22,9.2401773251569029e-22,2.7295542951196352e-21,1.5219993389128821e-24,2.9125489441049815e-22,8.9691486842113251e-22,2.8014787810354506e-22,3.0972162477708371e-27,1.438692145280336e-23,1.6118672295143623e-30,1.7012306740436403e-27,1.1399047616162616e-27,5.9322842604161943e-31,1.4479676888642165e-30,7.2925739494312946e-34,1.0347481680172839e-26,4.737204459814482e-21,5.3851601846395986e-30,4.8729051735355311e-36,5.9743320391380363e-32,3.9257105111305278e-38,3.5314987496791682e-32,1.5480613039867814e-23,2.9875614497278936e-28,3.5445038868815923e-28,1.3569720961710367e-19,8.4833599772885238e-37,1.8886233254350982e-38,5.8381907279972422e-35,2.6430851054747427e-24,2.0110092324298786e-28,2.4370799323306438e-32,1.6211861446758791e-27,2.0007086619483456e-28
8.191e-12,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,9.4885682088627786e-17,9.6298114690492588e-18,9.4884916397177954e-17,9.2100530317672498e-17,9.2102102437896752e-17,2.8761360913846948e-17,2.8767850528641234e-17,4.1526182326656526e-18,3.4685834375961806e-18,1.7342733764153397e-18,5.4031789151748306e-21,5.9037629486527153e-21,4.5132318366228539e-21,2.2565191895707518e-21,5.5207753387065511e-21,3.7115462779938158e-21,3.6964773083012116e-21,1.0911377271601713e-20,1.2168447104229652e-23,1.1651309786182172e-21,3.5880483261101636e-21,1.1205343054563215e-21,2.476478955576768e-26,5.7563483358181288e-23,2.5775627109457944e-29,1.360593094972317e-26,9.1150175347405766e-27,9.4868800604572561e-30,2.314147306090271e-29,2.3309201230786837e-32,8.2672631816874373e-26,9.4360332304533954e-21,8.6049591055123117e-29,1.545082261650745e-34,9.5637654683321798e-31,2.489689003907591e-36,5.6479568509358984e-31,6.1920205143131952e-23,2.3903520081852307e-27,2.8356000657602167e-27,2.7142089468908706e-19,2.7160482704313683e-35,3.0183076341194766e-37,1.8661272114107653e-33,1.0573809823209457e-23,1.6090286049481e-27,3.8974189501092156e-31,1.2957756552855938e-26,1.6007801786039061e-27
1e-11,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.1583917546573051e-16,1.1756595110459796e-17,1.1583790254233529e-16,1.1243803138130779e-16,1.124406448727659e-16,3.5107780994034824e-17,3.5118566860839112e-17,5.0673062334937061e-18,4.2326122900421427e-18,2.116275687725425e-18,8.9769649243403407e-21,9.8142954367856627e-21,7.4984917527675475e-21,3.7489999569286836e-21,9.1782006872311853e-21,6.1704622629960921e-21,6.1453800488840108e-21,1.8125947138410328e-20,3.0946605629201263e-23,1.9369965341855711e-21,5.9651073631073671e-21,1.8625656455621014e-21,6.298997598629094e-26,9.5715774107156003e-23,1.1103142515212729e-28,3.4618339294274472e-26,2.3186226806069914e-26,4.0869113758162401e-29,9.9591422657208618e-29,1.8245143517814223e-31,2.1005500208678245e-25,1.1485722754215367e-20,3.7020808164873411e-28,1.1923110406860337e-33,4.1268231812240691e-30,3.6490107366548256e-35,2.4334011886895455e-30,1.0292614676935484e-22,6.0854039113947023e-27,7.2176451375458546e-27,3.3136514117205359e-19,2.1323399766988381e-34,1.2986389324290276e-36,1.460482097997009e-32,1.757946062012781e-23,4.0963571694615617e-27,1.679030405552222e-30,3.2940951343061591e-26,4.0753336985553251e-27
1.6383e-11,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.8977292241213553e-16,1.9260884763927712e-17,1.8976985973666317e-16,1.8419826868876155e-16,1.8420455662609351e-16,5.750092603098293e-17,5.7526871088820893e-17,8.2947542762164575e-18,6.9284642331944746e-18,3.4641589122098211e-18,2.1586957238604264e-20,2.3612487184575922e-20,1.8031888129081296e-20,9.015171730309379e-21,2.2083311798139267e-20,1.4846670517429215e-20,1.4786256883123919e-20,4.3582331582765992e-20,9.7204751491497439e-23,4.6605000395401427e-21,1.4352485933120157e-20,4.4808000534643622e-21,1.9786635242964625e-25,2.3033494041489804e-22,4.1185384577476839e-28,1.0875996586324677e-25,7.2836049237742149e-26,1.5160034520783173e-28,3.6934268206750174e-28,7.4397983721571501e-31,6.5951971708557894e-25,1.8717988221419717e-20,1.3728524406642222e-27,4.8541658583130525e-33,1.5313645108983486e-29,1.564595216334002e-34,9.0267173464855557e-30,2.4761433107017324e-22,1.9123279145328391e-26,2.2679554310131649e-26,5.4287654266501949e-19,8.6978858364292627e-34,4.8158454237701113e-36,5.9552904078208954e-32,4.2298680651487577e-23,1.2872818323297612e-26,6.2282446470033648e-30,1.0345103003066944e-25,1.2806718506653665e-26
3.2767e-11,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.7952725668414115e-16,3.8524282738006645e-17,3.7951500790483214e-16,3.6836128232155597e-16,3.6838642726289524e-16,1.1490725643800286e-16,1.1501091945330093e-16,1.6546655905213174e-17,1.3821341786727359e-17,6.9103794181334364e-18,8.613403263231802e-20,9.4420176258905646e-20,7.1952754514006471e-20,3.5970223092077697e-20,8.8326263924260862e-20,5.9384737309917576e-20,5.9142004671607012e-20,1.7380873501969721e-19,7.7527240876073333e-22,1.8639981080398939e-20,5.7406651399548954e-20,1.7910757062650317e-20,1.578735065882369e-24,9.2189466973915787e-22,6.5711287078729194e-27,8.6858391048242871e-25,5.8128145335678376e-25,2.4192600097264174e-27,5.879451076345348e-27,2.3682482355534362e-29,5.2459662721030808e-24,3.6832081696658562e-20,2.1837654983779337e-26,1.498320493103099e-31,2.4535420676998811e-28,9.6615387579904316e-33,1.4409055381213428e-28,9.898303180596798e-22,1.5297612590759165e-25,1.8133179444946217e-25,1.0858199349329068e-18,2.7870851731778141e-32,7.6607567605300145e-35,1.8948458879196529e-30,1.692055053169346e-22,1.0298018519073442e-25,9.9396677921665917e-29,8.241528221942168e-25,1.0244964902060877e-25
6.5535e-11,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999822,11.0,7.5895535436730827e-16,7.7055985515078208e-17,7.5890637699569276e-16,7.3655751189385756e-16,7.3665803240992282e-16,2.2942951847262832e-16,2.29843215457978e-16,3.292211364578426e-17,2.7500479495861697e-17,1.3749084521506699e-17,3.4282093414939916e-19,3.7742424769510002e-19,2.8640815257846983e-19,1.4315523376123526e-19,3.5323189726079358e-19,2.3751174134099834e-19,2.3653223850635897e-19,6.9106744942404467e-19,6.1642557796599987e-21,7.4540138712933952e-20,2.2958901715788318e-19,7.1540192541234384e-20,1.2562574107047289e-23,3.6917931003627139e-21,1.0454334862959143e-25,6.9244569165404336e-24,4.627644591448208e-24,3.8504266784645976e-26,9.3114839805176203e-26,7.4988728976087198e-28,4.1488476474285259e-23,7.1359270320787789e-20,3.4533832910236678e-25,4.4748416075839535e-30,3.9358017918297198e-27,5.7741355504581695e-31,2.2946062074979579e-27,3.9541452332919535e-21,1.2235773628820169e-24,1.4488998247211313e-24,2.1718270619467318e-18,8.9413545847126109e-31,1.2114875448790669e-33,5.9942233649491609e-29,6.7687278586324542e-22,8.2375655237610511e-25,1.5821474861407413e-27,6.5380661165213963e-24,8.1948471812020861e-25
9.999999999999999e-11,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999734,11.0,1.1578639744262381e-15,1.1759313029801487e-16,1.1577378031725023e-15,1.1235491995672416e-15,1.1238080563385833e-15,3.4927516650975761e-16,3.5033753174802657e-16,4.988034185962715e-17,4.1667558895691346e-17,2.0830845608928734e-17,8.7655028248190325e-19,9.717836316668744e-19,7.3243271734217902e-19,3.6599093945225145e-19,9.101940221009777e-19,6.1210317222970051e-19,6.0954235408936492e-19,1.76404427425014e-18,2.8541319309702888e-20,1.9205393703497526e-19,5.9163774281197633e-19,1.8397347163094746e-19,5.8249924762352075e-23,9.5334461756241786e-21,9.1934837917155863e-25,3.2212551909500329e-23,2.1475255154655045e-23,3.3885167852540105e-25,8.1186886256400016e-25,1.2712843507333475e-26,1.9028285330743257e-22,1.0446695800446471e-19,3.0027618455345608e-24,6.843814632477205e-29,3.5140421293890126e-26,1.740544253157127e-29,2.0215021060260703e-26,1.0170835848377876e-20,5.7257885053686602e-24,6.767785247915548e-24,3.3142966360269836e-18,1.5541450853754491e-29,1.0534139763298907e-32,1.0143695862712609e-27,1.7449227958896144e-21,3.8554043324527728e-24,1.3926572098211914e-26,3.0149914773605147e-23,3.8351757720861676e-24
1.31071e-10,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,0.99999999999999645,11.0,1.5174893837937416e-15,1.5413831020663594e-16,1.5172936204578541e-15,1.4724312169094646e-15,1.4728328175017172e-15,4.5731880876020443e-16,4.5896596353239043e-16,6.5168579458127442e-17,5.4439510847877826e-17,2.721521812444564e-17,1.3577197176201373e-18,1.5076124556734613e-18,1.134534247931856e-18,5.6688251674880066e-19,1.4123083462242727e-18,9.4980606934685907e-19,9.4581965863831557e-19,2.7313578655506369e-18,4.871476312058242e-20,2.9799536247133524e-19,9.1803309910962135e-19,2.8533469068205665e-19,9.9438135184837961e-23,1.4799832442893844e-20,1.6539140865259608e-24,5.5010358366086937e-23,3.6663768365431189e-23,6.0962186364645159e-25,1.4598423499030232e-24,2.3497727088827704e-26,3.2442444862391951e-22,1.3431430934697234e-19,5.3984910223535003e-24,1.2610255488034298e-28,6.3272112358695562e-26,3.2576302486006857e-29,3.6370692317773874e-26,1.5775327190357702e-20,9.7846366820175093e-24,1.1562884304467812e-23,4.3442595588834328e-18,2.8746346737893341e-29,1.8938727811420856e-32,1.8748080680153781e-27,2.70779474892978e-21,6.588505396568896e-24,2.5055358319644197e-26,5.1436546127855824e-23,6.5538914760692331e-24
