Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715),S(704),CCOO(28),C4H8O(297),S(144),S(42)
0.0,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1584144735645637e-20,1.1755906858579985e-21,1.1584144718527237e-20,1.1244381444905929e-20,1.1244381480055483e-20,3.512698752500209e-21,3.5126988976578332e-21,5.0761904491860697e-22,4.2399886636080136e-22,2.1199943276940634e-22,1.2093843104108578e-28,1.319996178185916e-28,1.0101622149898952e-28,5.0508110286627359e-29,1.2342198710961741e-28,8.2973092822312379e-29,8.2636978796761514e-29,2.4429005156626076e-28,5.820123542048389e-35,2.6047951740489792e-29,8.0213234175345695e-29,2.5058286094767903e-29,1.1842596039780801e-37,1.2864427298010281e-30,2.8214563626745171e-44,6.5033415435127435e-38,4.3583099152798558e-38,1.0383518235793791e-44,2.5360088716442033e-44,6.0419508892353202e-51,3.959552963168934e-37,1.1615689230277619e-24,9.4334939801091677e-44,4.0700327394710691e-53,1.0446552256873458e-45,1.5759011971472891e-58,6.1808867354382545e-46,1.3846685402416346e-30,1.1415902892135697e-38,1.3545790340505361e-38,3.3134634277337929e-23,7.0168209983551852e-54,1.9653576799826879e-52,2.8737924011536481e-52,2.3637015408053146e-31,7.6842732234691772e-39,4.2656627178110101e-46,6.2011807371287297e-38,7.6449463210264156e-39
3.0000000000000002e-15,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.8062189599051687e-20,3.8626551263191208e-21,3.806218948655931e-20,3.6945824350023946e-20,3.6945824581006791e-20,1.1541723578952821e-20,1.1541724532845727e-20,1.6678907478494956e-21,1.3931388004176987e-21,6.9656939750804159e-22,7.9473816811837937e-28,8.6742604592656607e-28,6.6382080808456073e-28,3.3191039967810495e-28,8.1105876822339278e-28,5.4525175117491779e-28,5.430430014076026e-28,1.6053343984988927e-27,5.4875444652246808e-34,1.7117225317252769e-28,5.2711553666150893e-28,1.6466873162700957e-28,1.1165875219240606e-36,8.4537667362344404e-30,3.4663604007271236e-43,6.1317216519197136e-37,4.1092632831075046e-37,1.2756892895849808e-43,3.115667600835877e-43,9.1492388149369748e-50,3.7332920427129458e-36,3.8165777741254236e-24,1.1589719292164459e-42,6.163187145758015e-52,1.2834335889105639e-44,2.8366201072561798e-57,7.5936603481885328e-45,9.0992501243165986e-30,1.0763565557508806e-37,1.2771744905591492e-37,1.0887094161475972e-22,1.0625471971632596e-52,2.6426402480675635e-51,4.6852145058246874e-51,1.5532895863195285e-30,7.2451718938538619e-38,5.2406709619573206e-45,5.8468266935938451e-37,7.2080922387869968e-38
7e-15,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.4398766654293323e-20,8.5650179894525585e-21,8.4398766042921837e-20,8.1923347087724369e-20,8.1923348343065777e-20,2.559251175137213e-20,2.5592516935570852e-20,3.6983638686453105e-21,3.0891317260253437e-21,1.544565848334424e-21,4.3192258852846461e-27,4.7142714927632772e-27,3.6077190934873826e-27,1.803859476255791e-27,4.4079279392393662e-27,2.9633246760312537e-27,2.9513205850628167e-27,8.7246354747638895e-27,8.8632070417646566e-33,9.3028394494930841e-28,2.864758273439227e-27,8.9493856195798775e-28,1.8034564780081481e-35,4.5944392432595207e-29,1.7533317982771356e-41,9.9036539674228056e-36,6.6370776169410827e-36,6.452608742085597e-42,1.5759454662511307e-41,1.5110027003747381e-47,6.0298211789137194e-35,8.462808853518505e-24,5.8622302986650917e-41,1.0178431251360342e-49,6.4917887118957608e-43,1.5792565676465174e-54,3.8409763369622531e-43,4.9452436319970286e-29,1.7384788629924268e-36,2.0628299099604568e-36,2.4140948192110902e-22,1.7548074079991465e-50,1.7601591716512571e-49,1.0341837335452373e-48,8.441791313520671e-30,1.1702050121741294e-36,2.6508022085769127e-43,9.4434982822088749e-36,1.1642160798612945e-36
1.5e-14,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7707191596063633e-19,1.7969744020412046e-20,1.7707191325592926e-19,1.7187838482004878e-19,1.7187839037367823e-19,5.3694070691472079e-20,5.3694093626353789e-20,7.7593023240210077e-21,6.4811111122212589e-21,3.2405554911742685e-21,1.9108231143517121e-26,2.0855933439090937e-26,1.596052950375601e-26,7.9802640963287702e-27,1.9500672108691724e-26,1.3109747935997351e-26,1.3056641718894698e-26,3.8597728582316787e-26,8.242936120057694e-32,4.1155758808161186e-27,1.2673690028601359e-26,3.9592067511889975e-27,1.677246099016718e-34,2.0325805088860926e-28,3.3721157862466724e-40,9.2105759020720512e-35,6.1725991176611022e-35,1.2410056075565183e-40,3.0309520326276161e-40,5.9280073189451338e-46,5.6078305995525648e-34,1.7755157454613709e-23,1.127458567919665e-39,3.9931662078456346e-48,1.248543417080203e-41,1.2527035804354938e-52,7.3872042050341295e-42,2.1877750473156568e-28,1.6168178753007897e-35,1.9184699296145903e-35,5.0648657067147397e-22,6.8845311152426085e-49,3.6576989290882584e-48,4.382117358351195e-47,3.7346485384823466e-29,1.0883125831574046e-35,5.0981868330474241e-42,8.7826120313843206e-35,1.0827427546871804e-35
3.1e-14,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.62418195356763e-19,3.6779197301088622e-20,3.6241818408307636e-19,3.5178842931239826e-19,3.5178845246088303e-19,1.0989711895281113e-19,1.098972145492703e-19,1.5881148090043312e-20,1.3265044024644406e-20,6.6325217416575223e-21,7.9646227619284321e-26,8.6931121437323207e-26,6.6526096655332342e-26,3.3263042794863595e-26,8.1282177720054663e-26,5.4643701720865501e-26,5.4422344822053475e-26,1.6088155451283606e-25,6.9570036966562035e-31,1.7154432353134393e-26,5.2826135504196279e-26,1.6502649262838372e-26,1.4155892512630827e-33,8.472153202061491e-28,5.7333546312334247e-39,7.7736977716880489e-34,5.209651111075419e-34,2.1099888254417437e-39,5.1532880659770692e-39,2.0236832388538908e-44,4.7329730726733681e-33,3.6339400438854197e-23,1.9169272289519055e-38,1.3631303324198099e-46,2.1228131861165439e-40,8.5700524430439959e-51,1.2559913157923358e-40,9.1190201995078997e-28,1.3645915380018143e-34,1.6191845480481464e-34,1.0366407807219155e-21,2.3502334321187013e-47,6.4642692389405369e-47,1.556174309673608e-45,1.5566663938063726e-28,9.1853400879629553e-35,8.6680654360445459e-41,7.4124796297588479e-34,9.1383306754103787e-35
6.300000000000001e-14,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.3311067728279263e-19,7.4398108737369239e-20,7.3311063134192532e-19,7.1160839440795079e-19,7.1160848873922573e-19,2.2230293700079643e-19,2.2230332656066494e-19,3.2124715044248668e-20,2.6832806410486427e-20,1.3416402102280201e-20,3.2456109772686623e-25,3.5424879301597235e-25,2.7109614407549358e-25,1.3554802675513789e-25,3.3122920973485838e-25,2.2267601934172689e-25,2.2177397012563239e-25,6.5559717242203559e-25,5.6938932161391289e-30,6.9905222830782069e-26,2.1526932902723271e-25,6.7249094970347703e-26,1.1585763829658715e-32,3.4524522616484795e-27,9.4061811693830384e-38,6.36232522777519e-33,4.2637944207698469e-33,3.461663566749503e-38,8.4544822298151866e-38,6.6479631734286151e-43,3.873636095919596e-32,7.3506069638040877e-23,3.1449053542064536e-37,4.4777089255213837e-45,3.4827308495679258e-39,5.6337064952115281e-49,2.0605899617137898e-39,3.7160453185185722e-27,1.1168434330597686e-33,1.3252125433578293e-33,2.0969493310140084e-21,7.7208076229509745e-46,1.0815583535086931e-45,5.2163539421879127e-44,6.3435003786820358e-28,7.5176984009975987e-34,1.422089496395476e-39,6.0666596172526803e-33,7.4792235186208506e-34
1.2700000000000001e-13,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4744953336700652e-18,1.4963595110881706e-19,1.4744951482780414e-18,1.4312478290428793e-18,1.4312482097117531e-18,4.4711345920400058e-19,4.4711503124697258e-19,6.4611350649919026e-20,5.3967917433117015e-20,2.6983954265685554e-20,1.3097378132644271e-24,1.4295520317841729e-24,1.0939849138443579e-24,5.469920908281255e-25,1.3366589705512619e-24,8.9859814271905466e-25,8.949579031642049e-25,2.645599530308059e-24,4.6033304781569486e-29,2.8209901096381081e-25,8.6870872404700799e-25,2.7137971833665076e-25,9.3667336217420246e-32,1.393223650070729e-26,1.5222771619346691e-36,5.1437631152875482e-32,3.4471498231645353e-32,5.6022899991875571e-37,1.3682439391946086e-36,2.1527427987480849e-41,3.1316777055771339e-31,1.4783214177918746e-22,5.0895901753487294e-36,1.4497870828961919e-43,5.6364740514056021e-38,3.6489901498476654e-47,3.334823021674747e-38,1.4995883024951396e-26,9.02942724766006e-33,1.0714023108357297e-32,4.2175669523019584e-21,2.5002163803253624e-44,1.7677886399432669e-44,1.7065010026311458e-42,2.5598894134640474e-27,6.0778906175977716e-33,2.3014828798469735e-38,4.9046783274752459e-32,6.0467841341532055e-33
2.55e-13,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9572634165863334e-18,3.0011171384067482e-19,2.957262671825545e-18,2.8705247160913041e-18,2.8705262453210558e-18,8.9673004808738114e-19,8.9673636328383742e-19,1.295826287192293e-19,1.0823648453787156e-19,5.411822438941765e-20,5.2614108815746607e-24,5.7428197980718735e-24,4.3947013346632661e-24,2.1973477237796139e-24,5.3696581882875103e-24,3.6098711254658479e-24,3.5952469473078574e-24,1.0627722803476984e-23,3.7013008120788244e-28,1.1332545923112511e-24,3.489797927475174e-24,1.0901878066339716e-24,7.5313307580877613e-31,5.5969212354499482e-26,2.4489387702867608e-35,4.135877846697864e-31,2.771689136271739e-31,9.0126074053098623e-36,2.2011010353968026e-35,6.9276256035897867e-40,2.5179673826067095e-30,2.9645522759069572e-22,8.1876013875980505e-35,4.6642967292922319e-42,9.0678874340684632e-37,2.3481672824121843e-45,5.3648628364109948e-37,6.0241555175938568e-26,7.2602666850993655e-32,8.6147606302429671e-32,8.4588042772042867e-21,8.0462312374984069e-43,2.8580375208502016e-43,5.5198852239280838e-41,1.0283660211787996e-26,4.887034408797981e-32,3.7024806553663127e-37,3.9435639417360086e-31,4.8620220469397933e-32
5.11e-13,0.34812691037089405,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.9227946629927209e-18,6.0106355120758691e-19,5.9227916776344207e-18,5.7490705613286062e-18,5.7490766912036852e-18,1.7959454041463253e-18,1.7959707180959747e-18,2.5951721284113707e-19,2.1676699943098133e-19,1.0838342805080346e-19,2.1089489492455128e-23,2.3019918136920136e-23,1.7615443184087073e-23,8.8076979864503062e-24,2.1524190679957882e-23,1.447012230253975e-23,1.4411497334618391e-23,4.2599116230430934e-23,2.9682737622840005e-27,4.5426311863742749e-24,1.3988805039888836e-23,4.369958660268742e-24,6.0398192104997413e-30,2.2435412103528448e-25,3.9286155405991693e-34,3.3168536119027743e-30,2.2227895909498754e-30,1.4458172483980858e-34,3.530905401810149e-34,2.2227970781300403e-38,2.0192091002752978e-29,5.9358521777186128e-22,1.3134019617021722e-33,1.4958258737245624e-40,1.4547774075025766e-35,1.5061775812378464e-43,8.6064391028578781e-36,2.414752249449403e-25,5.8226733650696604e-31,6.9089110336082241e-31,1.6941287252405979e-20,2.5819820261831189e-41,4.596144070441859e-42,1.7756699878119402e-39,4.1221983851020974e-26,3.9193635050244657e-31,5.9395851220003359e-36,3.1625013302960331e-30,3.8993027448138641e-31
