Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493)
0.0,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.579037760833915e-23,3.6223662816802101e-23,5.5790377599814606e-23,5.4392080414637393e-23,5.4392080644565169e-23,1.452926391228959e-23,1.4529263914354968e-23,1.597789231462239e-23,1.3498257772208802e-23,6.7491288861041909e-24,4.8738274558309963e-30,5.483555432969107e-31,4.1174504174735707e-30,2.0587252038496683e-30,6.8477984184682712e-31,4.6453980838207551e-31,4.6218604432068312e-31,4.2497885796617011e-31,1.2963372046372774e-37,2.0549262561845788e-32,4.5060208714781994e-31,1.2036525480746893e-31,1.8521666611318467e-40,3.8487819283392625e-33,5.6497694112367733e-47,8.1446096100990976e-41,7.5273157367322103e-41,2.2960999725967682e-47,8.4543020516543128e-48,2.5788638856262965e-54,4.8870518834408707e-39,1.6272122822598899e-27,1.4907252582640321e-45
3.0000000000000002e-15,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8331123920086677e-22,1.1902060642278922e-22,1.8331123914484854e-22,1.7871683340194519e-22,1.7871683491289911e-22,4.7739008200043664e-23,4.7739008213616203e-23,5.2498773013870065e-23,4.4351404865638313e-23,2.2175702432818469e-23,3.2028004684678607e-29,3.6034792255529808e-30,2.7057527682428167e-29,1.3528763795135744e-29,4.4999817928842847e-30,3.0526901583458971e-30,3.0372225655942386e-30,2.7927177901362234e-30,1.2222606633546631e-36,1.3503801045675928e-31,2.9610994185027035e-30,7.9097166148498192e-31,1.7463283837041576e-39,2.5291994037381336e-32,6.9411447127713273e-46,7.6792030794884963e-40,7.0971827078566301e-40,2.8209226067168156e-46,1.038671235535905e-46,3.9051362516532313e-53,4.6077907906738107e-38,5.3465442213273006e-27,1.8314621577611483e-44
7e-15,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0647273806224278e-22,2.6391525787919822e-22,4.0647273775779576e-22,3.9628513787257153e-22,3.962851460842778e-22,1.0585605009458028e-22,1.0585605016834398e-22,1.1641021968552016e-22,9.8344332430150393e-23,4.9172166215073704e-23,1.74065090399929e-28,1.9584124140359902e-29,1.4705165242234983e-28,7.3525825466945187e-29,2.4456421904476227e-29,1.6590706992518287e-29,1.6506643976118096e-29,1.5177799246236406e-29,1.9741342437830795e-35,7.3390220726281825e-31,1.6092931221756956e-29,4.2987585713315618e-30,2.820582232923198e-38,1.3745643657916795e-31,3.5109244248545492e-44,1.2403072533487755e-38,1.1463015024791542e-38,1.4268606999872526e-44,5.2537343622770057e-45,6.4493572858559758e-51,7.4422656922078287e-37,1.1855313612356709e-26,9.2637727850539764e-43
1.5e-14,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.5279570632904693e-22,5.5370456127361347e-22,8.5279570498217303e-22,8.3142170306275281e-22,8.3142173939133717e-22,2.2209009887190277e-22,2.2209009919823246e-22,2.4423280099053552e-22,2.0632992404351021e-22,1.0316496202175198e-22,7.7006283955714558e-28,8.6640149870718862e-29,6.5055556625631888e-28,3.2527777620670639e-28,1.0819520401664405e-28,7.3397284870267509e-29,7.3025389995208885e-29,6.7146474874813039e-29,1.8359790853688921e-34,3.2467831923717795e-30,7.1195124781461337e-29,1.9017704550192472e-29,2.6231904529323348e-37,6.0810688773203456e-31,6.7524259731073694e-43,1.153508438736345e-37,1.0660803893939763e-37,2.7442265475985579e-43,1.0104292196096932e-43,2.5302293123332069e-49,6.9214254415081145e-36,2.4872649428871692e-26,1.7816631173317668e-41
3.1e-14,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7454415250388804e-21,1.1332831699888075e-21,1.7454415194248762e-21,1.7016946584388642e-21,1.701694809862678e-21,4.5455805637963357e-22,4.5455805773982554e-22,4.9987671545360947e-22,4.2230005321277981e-22,2.1115002660638353e-22,3.2097464688970939e-27,3.6113106039572981e-28,2.7116208439818541e-27,1.3558103635742205e-27,4.5097634000525122e-28,3.0593260166220971e-28,3.0438247852517231e-28,2.7987727581463211e-28,1.5495587435442e-33,1.3533154576750853e-29,2.9675361547695101e-28,7.926906655927429e-29,2.2139619719989595e-36,2.5346919158246775e-30,1.1480640620272293e-41,9.7355830372656698e-37,8.997676171465241e-37,4.6658021620289957e-42,1.7179521831667049e-42,8.6376101128561575e-48,5.8416366178830352e-35,5.0906509225530916e-26,3.0292183883911335e-40
6.300000000000001e-14,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5307326911635696e-21,2.2924403951244422e-21,3.5307326682862061e-21,3.4422398691743709e-21,3.4422404862343535e-21,9.1949341120814889e-22,9.1949341675095138e-22,1.0111595518413869e-21,8.5423609536317735e-22,4.271180476815757e-22,1.3079816813118005e-26,1.471627641394244e-27,1.1049939541203682e-26,5.5249692924964645e-27,1.8377526127063642e-27,1.2466917529825102e-27,1.2403749111491395e-27,1.1405078670108464e-27,1.2682216407197457e-32,5.5148327387548082e-29,1.2092868812786695e-27,3.230255221005786e-28,1.8119963093859587e-35,1.0328981367396117e-29,1.8835215059960075e-40,7.9680274837007091e-36,7.3640656364929095e-36,7.6547483298799404e-41,2.8184692743325752e-41,2.8375236417468642e-46,4.7810029860898881e-34,1.0297098167979015e-25,4.9697261444071769e-39
1.2700000000000001e-13,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.1013131382340383e-21,4.6107548762150374e-21,7.1013130459135964e-21,6.9233274905807971e-21,6.9233299806945222e-21,1.8493618801230834e-21,1.8493619024903609e-21,2.0337052548591041e-21,1.7180913152446656e-21,8.5904565762230706e-22,5.2782374343071266e-26,5.9386744327288818e-27,4.4590996241638907e-26,2.2295494255497787e-26,7.4161588703406842e-27,5.0309631152944409e-27,5.0054717554291155e-27,4.6024065321349142e-27,1.0253167624818937e-31,2.2254833226052322e-28,4.880017511376958e-27,1.303552169820375e-27,1.4649414954063096e-34,4.1681900992561749e-29,3.0482517389346026e-39,6.4419478732732896e-35,5.9536171409285392e-35,1.2388292044314441e-39,4.5613048309773234e-40,9.1884587903663525e-45,3.8652415552462158e-33,2.0708693968325177e-25,8.0428048401814536e-38
2.55e-13,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4242466491667346e-20,9.2473839616602384e-21,1.4242466120795596e-20,1.3885491533153586e-20,1.3885501536488892e-20,3.7090898550300616e-21,3.7090899448810055e-21,4.0787167850282137e-21,3.4457342999963994e-21,1.7228671499981497e-21,2.1203399288916908e-25,2.3856939249307123e-26,1.7912812088311014e-25,8.9564029362604745e-26,2.9792367909261867e-26,2.021050998841754e-26,2.0108105014333554e-26,1.8488446009480195e-26,8.2440460406967008e-31,8.9402649167888712e-28,1.9604126852377316e-26,5.236650896214012e-27,1.1778846988918433e-33,1.6744400829592736e-28,4.9038224071591713e-38,5.1797228945072212e-34,4.7870059003759558e-34,1.9929476050789603e-38,7.3377699519496355e-39,2.9568835531114241e-43,3.1077669699640218e-32,4.1526692127602924e-25,1.2938415294915651e-36
5.11e-13,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8524743035767522e-20,1.8520642625500464e-20,2.8524741549134933e-20,2.7809774817485106e-20,2.780981491562783e-20,7.4285099535164369e-21,7.4285103136551516e-21,8.1684203672193507e-21,6.9007504707810743e-21,3.4503752353904431e-21,8.4989793489300145e-25,9.5629807553917658e-26,7.1800108894725469e-25,3.5900029523639648e-25,1.1942222548002172e-25,8.1013555607309502e-26,8.0603063047399412e-26,7.4107031481075041e-26,6.6113511610724716e-30,3.583691510557935e-27,7.8582871352335235e-26,2.0990953948832631e-26,9.4461077182636473e-33,6.7118453709218574e-28,7.8667573491853077e-37,4.1540362362120469e-33,3.8389742316723592e-33,3.1971130064272685e-37,1.1770835660276148e-37,9.487421660953918e-42,2.492167200103863e-31,8.3141925239994557e-25,2.0754936755603215e-35
1e-12,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.5806007610004575e-20,3.6234017502513032e-20,5.5806001857863639e-20,5.4407160407828489e-20,5.4407315556912075e-20,1.4533046540521832e-20,1.453304793377806e-20,1.59791729124467e-20,1.3499340650758117e-20,6.7496703253789412e-21,3.2881820771576039e-24,3.700125987336145e-25,2.7778851550974778e-24,1.388940659886623e-24,4.6207398104750247e-25,3.1346178859426445e-25,3.1187346221200302e-25,2.86710768341515e-25,5.0869306084183296e-29,1.3866190249572249e-26,3.0405681755050922e-25,8.1218581190529129e-26,7.2680695137458642e-32,2.596885887637402e-27,1.2071521743692753e-35,3.1964180820559943e-32,2.9538171225702473e-32,4.9059872790828496e-36,1.8060843773403057e-36,2.9073208535223364e-40,1.9173475326017147e-30,1.6255428152793636e-24,3.1845378733404296e-34
1.023e-12,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.7089175473414497e-20,3.7067161924131208e-20,5.7089169520646381e-20,5.565816218406141e-20,5.5658322744538948e-20,1.4867206748090593e-20,1.4867208189939262e-20,1.6346549821526921e-20,1.3809703788057651e-20,6.9048518940287066e-21,3.4028661983684136e-24,3.8291812878910126e-25,2.8747713177180404e-24,1.4373836627229323e-24,4.7819052578789526e-25,3.2439493656706603e-25,3.2275121104796597e-25,2.9671053510591195e-25,5.2950968585679311e-29,1.4349825159587237e-26,3.1466193158437014e-25,8.4051373473880906e-26,7.5654919085600733e-32,2.6874607977857456e-27,1.2602301821815056e-35,3.3272224430866695e-32,3.0746926912538244e-32,5.1217016911567202e-36,1.8854967464138507e-36,3.0396036196756989e-40,1.9958076730712456e-30,1.6628942303023219e-24,3.3245598276002275e-34
2.047e-12,0.2719026052376094,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1421755775059451e-19,7.4160208398415608e-20,1.1421753392725199e-19,1.1135422011822324e-19,1.1135486268835452e-19,2.9744026750937103e-20,2.9744032519565016e-20,3.269769950943884e-20,2.7623295689667755e-20,1.3811647844834152e-20,1.3616145234976796e-23,1.5324429501420615e-24,1.1503044717311554e-23,5.7515063832975569e-24,1.9137520847581343e-24,1.2982547152607712e-24,1.2916761618120908e-24,1.1872253769525673e-24,4.2378663534188814e-28,5.7429057396035488e-26,1.2593020806968992e-24,3.3637459456492614e-25,6.0549659958979124e-31,1.0754633870648445e-26,2.0173221214513415e-34,2.6632437847786724e-31,2.4608250213544477e-31,8.1986810910134359e-35,3.0177267067319221e-35,9.729983244144961e-39,1.5970102616079329e-29,3.3225321862266118e-24,5.3207979996597564e-33
