Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70)
0.0,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1427239555780531e-23,1.2002836895771102e-23,1.1427239555780531e-23,1.1154904897623744e-23,1.1154904897623744e-23,2.8466164359735058e-24,2.8466163371606925e-24,5.2851632660840728e-24,4.4784480266176692e-24,2.2392240133088148e-24,1.5897605475014405e-30,9.881281272910739e-32
3.0000000000000002e-15,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.7546644254707454e-23,3.9437892657533619e-23,3.7546644254707454e-23,3.6651830377906611e-23,3.6651830377906611e-23,9.3531682896272314e-24,9.3531676402859006e-24,1.7365531222207255e-23,1.4714900658886623e-23,7.3574503294432468e-24,1.0446996505928211e-29,6.4934133097191992e-31
7e-15,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.3255602477829584e-23,8.7449240240618026e-23,8.3255602477829584e-23,8.1271449968401583e-23,8.1271449968401583e-23,2.073963403352125e-23,2.0739630504492629e-23,3.8506144315476085e-23,3.262869276535725e-23,1.6314346382678502e-23,5.6777106202587883e-29,3.5290286254098181e-30
1.5e-14,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7467351892407384e-22,1.8347193540678686e-22,1.7467351892407384e-22,1.7051068914939155e-22,1.7051068914939155e-22,4.3512565521309296e-23,4.3512549908889205e-23,8.0787268757779863e-23,6.8456276978298221e-23,3.4228138489149011e-23,2.5118155978834391e-28,1.5612420086755174e-29
3.1e-14,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5750935181656232e-22,3.7551732573912451e-22,3.5750935181656232e-22,3.4898916751137151e-22,3.4898916751137151e-22,8.9058428496885377e-23,8.9058363421628953e-23,1.6534911066742802e-22,1.4011144540417772e-22,7.0055722702090035e-23,1.0469654287442711e-27,6.507525642230799e-29
6.300000000000001e-14,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2318101760153926e-22,7.5960810640379985e-22,7.2318101760153926e-22,7.0594612423533137e-22,7.0594612423533137e-22,1.8015015444803755e-22,1.8014988926300741e-22,3.3447116660269644e-22,2.8342178225591718e-22,1.4171089112797208e-22,4.2664172140645739e-27,2.6518503012885842e-28
1.2700000000000001e-13,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4545243491714931e-21,1.5277896677331504e-21,1.4545243491714931e-21,1.4198600376832511e-21,1.4198600376832511e-21,3.623336063503419e-22,3.6233253621026109e-22,6.7270876706359616e-22,5.7004245595923915e-22,2.8502122797973609e-22,1.721673057896032e-26,1.0701400807577153e-27
2.55e-13,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9172110123114009e-21,3.0641527903918514e-21,2.9172110123114009e-21,2.8476878645790906e-21,2.8476878645790906e-21,7.2670051015495059e-22,7.2669621116996306e-22,1.3491579233586036e-21,1.1432838033646223e-21,5.7164190168326349e-22,6.9161985362022055e-26,4.2989849875023519e-27
5.11e-13,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.8425843385912172e-21,6.1368790357092534e-21,5.8425843385912172e-21,5.7033435183707691e-21,5.7033435183707691e-21,1.4554343177641681e-21,1.4554170854078032e-21,2.7019520655348704e-21,2.289766498165291e-21,1.1448832490903135e-21,2.7722291877963827e-25,1.7232356364443889e-26
1e-12,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1430504481367898e-20,1.2006266277741324e-20,1.1430504481367898e-20,1.1158092013308781e-20,1.1158092013308781e-20,2.8474297549552123e-21,2.8473630791519946e-21,5.2856023494716577e-21,4.4797275830784287e-21,2.2398637915982749e-21,1.0725535929619892e-24,6.6675803217459514e-26
1.023e-12,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.169333099115085e-20,1.2282331526344059e-20,1.169333099115085e-20,1.1414654825954127e-20,1.1414654825954127e-20,2.9129019329826028e-21,2.9128329316184901e-21,5.4071237329697068e-21,4.5827318876857954e-21,2.2913659439043755e-21,1.1099617841812e-24,6.9001364112386628e-26
2.047e-12,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3394824296270112e-20,2.4573236507613667e-20,2.3394824296270112e-20,2.2837277441120841e-20,2.2837277441120841e-20,5.827837163419472e-21,5.8275610186698339e-21,1.0815801117906079e-20,9.1686626660800589e-21,4.5843313335321978e-21,4.4413900953315798e-24,2.761447496379343e-25
4.095e-12,0.275734254998049,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.6797810906508637e-20,4.9155046470152889e-20,4.6797810906508637e-20,4.5682522671454273e-20,4.5682522671454273e-20,1.1657707624293211e-20,1.1656602800809873e-20,2.1626496227372743e-20,1.834052421769586e-20,9.170262112785417e-21,1.7763912298863847e-23,1.1048234833376204e-24
