Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24)
0.0,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.3393657784730963e-19,3.6382495098850874e-20,8.3393657273168937e-19,8.065449351427573e-19,8.0654493823333463e-19,2.8657472737191347e-19,2.865747533202786e-19,1.6295672254572911e-20,1.346789484781614e-20,6.7339474239079864e-21,6.137759473945934e-27,2.0931814130452412e-26,5.0726781822374766e-27,2.5363390389665801e-27,1.5171310250484908e-26,1.0150395859856483e-26,1.0110958035870239e-26,4.0567764996910353e-26,1.5279834998517146e-32,8.5624923641136236e-27,9.7788516156229392e-27,3.4745388814223453e-27,4.0859313520574402e-35,3.0010417887712192e-28,1.5389646670996388e-41,2.685251340553176e-35,1.3878619867218999e-35,5.2273774450766919e-42,3.1577153639283256e-41,1.1893524283142166e-47,5.2152112644497275e-35,1.1503375911405707e-22,1.9643075663167304e-41,5.3742580418522892e-50,0.0
3.0000000000000002e-15,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.059312754186061e-18,8.9842489997897382e-20,2.0593127285035594e-18,1.9916721495252398e-18,1.9916721650411962e-18,7.0766400795511367e-19,7.0766413822647651e-19,4.0240317742129582e-20,3.3257441683701934e-20,1.6628720841850771e-20,3.081404696833504e-26,1.0508624532818913e-25,2.5466906486696485e-26,1.2733452802716028e-26,7.6166168646774653e-26,5.0959129839182517e-26,5.0761135621468995e-26,2.0366666136526991e-25,1.290989692325584e-31,4.2987205667185939e-26,4.9093825802151646e-26,1.7443601473898487e-26,3.4521942049356289e-34,1.5066458221704158e-27,1.9535424144547029e-40,2.2687629927937901e-34,1.1726015087025493e-34,6.6355674070944341e-41,4.0083634344306854e-40,2.111706498837612e-46,4.4063188735105578e-34,2.8406222058382438e-22,2.4934667240760338e-40,9.5420466230333445e-49,0.0
7e-15,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.3950588967843066e-18,2.3537248840914289e-19,5.3950587387220897e-18,5.2178515705900783e-18,5.217851666082566e-18,1.8539619334433944e-18,1.853962735194281e-18,1.0542287139303296e-19,8.7128910097432102e-20,4.3564455048715533e-20,1.8964392314039242e-25,6.467501851165469e-25,1.5673515359074841e-25,7.8367569909182129e-26,4.687624900077174e-25,3.1362650529352091e-25,3.1240794981287087e-25,1.2534588699267336e-24,2.0175575684415822e-30,2.6456351315945157e-25,3.021465381324032e-25,1.0735610478598091e-25,5.3950888699699837e-33,9.2726170745960547e-27,8.3235844636664724e-39,3.545624085196657e-33,1.8325418745472497e-33,2.8272595260601877e-39,1.7078671322331914e-38,2.59418633447222e-44,6.8861836373347899e-33,7.4419094863194695e-22,1.0624057337450519e-38,1.1722206247838418e-46,0.0
1.5e-14,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.2066550688204206e-17,5.2643253793417609e-19,1.2066549937982971e-17,1.1670209478045186e-17,1.1670209931287324e-17,4.1465549058591241e-18,4.1465587112589744e-18,2.3578758269654447e-19,1.9487152227561804e-19,9.743576113780789e-20,9.0011756669656366e-25,3.0697128605368258e-24,7.4392092211574744e-25,3.7196039298593897e-25,2.2249186915243231e-24,1.4885864916634433e-24,1.4828027315150287e-24,5.9493608390073202e-24,1.9944136286819463e-29,1.2557154142914263e-24,1.4340982961562308e-24,5.09551124627676e-25,5.3332049265975902e-32,4.4011315707433545e-26,1.6902341066781131e-37,3.5049566417005266e-32,1.8115223669940119e-32,5.7411943454051792e-38,3.4680844932331965e-37,1.0709431351604726e-42,6.8071777755591932e-32,1.6644299507981037e-21,2.1573754984263319e-37,4.8392151127922791e-45,0.0
3.1e-14,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5409532295937936e-17,1.1085528477907276e-18,2.54095290518009e-17,2.4574921554258899e-17,2.4574923514185035e-17,8.7317293364792414e-18,8.7317457919107716e-18,4.9651542132336549e-19,4.103554480450094e-19,2.0517772402250273e-19,3.892307517850945e-24,1.3274171177377917e-23,3.2168794389089383e-24,1.6084391222228268e-24,9.6210839174150322e-24,6.437006933142046e-24,6.4119961433155285e-24,2.5726342769306992e-23,1.7498086901311104e-28,5.4300152913160201e-24,6.2013863377264084e-24,2.2034189592997701e-24,4.6791217077740072e-31,1.9031615884396791e-25,2.988840717410612e-36,3.0751003901622288e-31,1.5893517245764297e-31,1.0152157847276086e-36,6.1325886069563221e-36,3.8028265091331955e-41,5.9722892840542466e-31,3.5048341430886829e-21,3.8148670098522385e-36,1.7183660217972335e-43,0.0
6.300000000000001e-14,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,5.2095487610983636e-17,2.2727943107003083e-18,5.2095474140628408e-17,5.0384330751914588e-17,5.0384338889934199e-17,1.790203214112997e-17,1.7902100467352606e-17,1.0179647627600256e-18,8.4131810531680599e-19,4.2065905265840232e-19,1.6161554871570525e-23,5.5117169936195795e-23,1.3357063452534171e-23,6.6785267347320118e-24,3.9948814362074502e-23,2.6727845906205709e-23,2.662399224145519e-23,1.0682028088562887e-22,1.4624569941436698e-27,2.2546590785803356e-23,2.5749494059516406e-23,9.1490477456476955e-24,3.9107345957028805e-30,7.9023899941007782e-25,5.0123890261603265e-35,2.5701262395739001e-30,1.3283560927134699e-30,1.7025534965051516e-35,1.0284480000365252e-34,1.2775896223906803e-39,4.9914898079052185e-30,7.1853473089289418e-21,6.3975973952448773e-35,5.7730036703204579e-42,0.0
1.2700000000000001e-13,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,1.0546736663940787e-16,4.6012806090697267e-18,1.0546731176310642e-16,1.0200308932825338e-16,1.0200312248125527e-16,3.6242453526120302e-17,3.6242731875178153e-17,2.0608381031960081e-18,1.7032226434399203e-18,8.5161132171998663e-19,6.5838693773667856e-23,2.2453909804541654e-22,5.4413851908646947e-23,2.7206885160344051e-23,1.6274578483479641e-22,1.0888548593398998e-22,1.0846237258358136e-22,4.3516215264179505e-22,1.1952189555199076e-26,9.185157626815325e-23,1.0489978435026306e-22,3.7271733284353922e-23,3.1961388996669294e-29,3.2193642632039273e-24,8.2056467217457913e-34,2.1005066837378429e-29,1.0856324081722861e-29,2.7872095626178457e-34,1.6836173667316102e-33,4.1861804723860791e-38,4.0793239428047141e-29,1.4545193001007171e-20,1.0473117121159461e-33,1.8916073551478705e-40,0.0
2.55e-13,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,2.1221099828974706e-16,9.2582666941250976e-18,2.1221077678780462e-16,2.0524036720595485e-16,2.0524050102325033e-16,7.2922559415231332e-17,7.2923682921707746e-17,4.1464834209628925e-18,3.4269486191836397e-18,1.7134743095920968e-18,2.6574094390176379e-22,9.0632349339011311e-22,2.1962793092880935e-22,1.0981363566293522e-22,6.5690504101387601e-22,4.395043720863492e-22,4.3779629423373038e-22,1.7564146695055879e-21,9.6629298366233294e-26,3.7074833746666331e-22,4.2341625066243516e-22,1.5044166023543577e-22,2.5840021165192629e-28,1.2994948829557135e-23,1.3278109988790759e-32,1.6982276546197762e-28,8.7771190865581163e-29,4.5101884965080415e-33,2.7242870886711032e-32,1.3552489382081086e-36,3.2978949979677034e-28,2.9260163708893592e-20,1.6946555026019907e-32,6.124029849795104e-39,0.0
5.11e-13,0.22020460106897355,89.099999999999994,0.0,0.0,0.0,0.999999999999999,11.0,4.2569775596566234e-16,1.8572292802438038e-17,4.2569686595977203e-16,4.1171396586876824e-16,4.1171450354514773e-16,1.4627982380096632e-16,1.4628433796316826e-16,8.3173686572235476e-18,6.8740682100911308e-18,3.4370341050478781e-18,1.0676845047451908e-21,3.6416289751690684e-21,8.824166657054559e-22,4.4120568083918339e-22,2.6394790295851345e-21,1.765954630944559e-21,1.7590896484732381e-21,7.0568171787278963e-21,7.7703691801627981e-25,1.4896846389986429e-21,1.7013094169690718e-21,6.0447049011990924e-22,2.0779611553360086e-27,5.2217179529565029e-23,2.1363257444644332e-31,1.3656823885805634e-27,7.0583061678506973e-28,7.2565326099256321e-32,4.382845316256407e-31,4.361415935831335e-35,2.6518209961465907e-27,5.8671237464688082e-20,2.7263190579784749e-31,1.9708613927838083e-37,0.0
