Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182)
0.0,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.1864965648667705e-21,6.365197472943109e-22,3.1864965622745463e-21,3.0963662729649325e-21,3.0963662874294413e-21,9.3097110922662274e-22,9.3097112674504966e-22,2.8207318528462552e-22,2.3629756918042856e-22,1.1814878459021362e-22,9.1981283076814432e-29,4.5091563616668009e-29,7.7054306473890144e-29,3.8527153236944842e-29,4.5337509946491699e-29,3.053737534052054e-29,3.0407491623016047e-29,5.2405025115751389e-29,1.7088761714127409e-35,4.6439968700600158e-30,2.9547413595102358e-29,8.8838935338088377e-30,3.1960143495488205e-38,3.758827431679307e-31,1.0421887506176832e-44,1.6629857125025695e-38
3.0000000000000002e-15,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0469917188203647e-20,2.091422028632081e-21,1.0469917171169029e-20,1.0173774749173367e-20,1.0173774844225849e-20,3.0589048703447184e-21,3.0589049854657996e-21,9.2681159186828902e-22,7.7640604555733332e-22,3.8820302277866459e-22,6.0444834092696832e-28,2.9631598327901984e-28,5.0635679588115544e-28,2.5317839794057624e-28,2.9793220624695231e-28,2.0067417998379027e-28,1.9982065834851294e-28,3.4437581964361827e-28,1.6112259006676063e-34,3.0517693507033136e-29,1.9416871697029133e-28,5.8379870105244354e-29,3.0133846047877687e-37,2.4700865394436003e-30,1.2804032013530678e-43,1.5679578727383495e-37
7e-15,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3215902710318e-20,4.6375010316438113e-21,2.3215902617738572e-20,2.2559238710719766e-20,2.2559239227309286e-20,6.782787755172877e-21,6.7827883808306985e-21,2.0551020171685162e-21,1.7215943849166217e-21,8.6079719245830631e-22,3.2850421227725081e-27,1.6104127332704026e-27,2.7519364474222474e-27,1.3759682237111158e-27,1.6191967033109904e-27,1.0906205142016729e-27,1.0859818074303987e-27,1.8716056045616584e-27,2.6023709373826403e-33,1.6585702248500528e-28,1.0552647328861013e-27,3.1728184303681092e-28,4.8670674787485231e-36,1.3424381297073544e-29,6.4764507160771606e-42,2.5324882789285248e-36
1.5e-14,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.8707871877649031e-20,9.7296590728823268e-21,4.8707871468077675e-20,4.7330163756651793e-20,4.7330166042043472e-20,1.4230549574087091e-20,1.4230552341995636e-20,4.311676972927771e-21,3.6119661321836593e-21,1.8059830660918195e-21,1.453300277285568e-26,7.1244643200995717e-27,1.2174547290353843e-26,6.0872736451768876e-27,7.1633257027025738e-27,4.8249049403204906e-27,4.8043832851633249e-27,8.2799676815596964e-27,2.4202493938856431e-32,7.3375141276349713e-28,4.6684909338823019e-27,1.4036544347899539e-27,4.5264564362222637e-35,5.938944764965372e-29,1.2455905739248111e-40,2.3552597820919123e-35
3.1e-14,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.9691802704721519e-20,1.9913975296219557e-20,9.9691800997557331e-20,9.6872002339875651e-20,9.6872011865782147e-20,2.9126057408965142e-20,2.9126068946074888e-20,8.8248033052117096e-21,7.3926899010194277e-21,3.6963449505096935e-21,6.0575886362753855e-26,2.9695990950053154e-26,5.0745467282694305e-26,2.5372733641347009e-26,2.9857980894263305e-26,2.0111039640076595e-26,2.0025501685224709e-26,3.4512216295725371e-26,2.0426792827433188e-31,3.0584028208322905e-27,1.9459078664402955e-26,5.8506717814333506e-27,3.8203092708951862e-34,2.4754540381459197e-28,2.1177827220499301e-39,1.9878324189966494e-34
6.300000000000001e-14,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0165963432851724e-19,4.0282608306334696e-20,2.0165962737173308e-19,1.9595563347178531e-19,1.9595567229034856e-19,5.8917009867063872e-20,5.8917056881301639e-20,1.7850961653883085e-20,1.4954058536760543e-20,7.4770292683802353e-21,2.4684846226627769e-25,1.2101266690652947e-25,2.0678923767935617e-25,1.0339461883967755e-25,1.2167285742229731e-25,8.19535629639556e-26,8.1604990074284268e-26,1.4063812682478539e-25,1.6718095355235148e-30,1.2463153732792769e-26,7.9296784654521258e-26,2.3841775763929323e-26,3.1266938689732291e-33,1.0087599388727358e-27,3.4744451222080074e-38,1.6269273332929178e-33
1.2700000000000001e-13,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.0559517745478368e-19,8.1019876580326514e-20,4.0559514938103583e-19,3.9412271159763546e-19,3.9412286824790102e-19,1.1849866193778498e-19,1.1849885166059376e-19,3.5902901095973949e-20,3.0076480207423448e-20,1.5038240103711676e-20,9.9613252567051088e-25,4.8833994057864138e-25,8.3447759776013704e-25,4.1723879888006705e-25,4.9100469404865907e-25,3.3071954958356956e-25,3.29312891692641e-25,5.6753012489223616e-25,1.3516015915602957e-29,5.0294428626253648e-26,3.1999823247085037e-25,9.6212105979750163e-26,2.5278291060474949e-32,4.0707941310982542e-27,5.6229586943407691e-37,1.3153265782423308e-32
2.55e-13,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.1346578322259517e-19,1.6249442214334746e-19,8.1346567044413027e-19,7.9045613129892201e-19,7.9045676059719088e-19,2.3766095470654701e-19,2.3766171685905795e-19,7.200527102581802e-20,6.0320061200688283e-20,3.0160030600344208e-20,4.0015897154277805e-24,1.9617656227709966e-24,3.3522023786030184e-24,1.6761011893015103e-24,1.9724752535113076e-24,1.3285746769060608e-24,1.3229237421670813e-24,2.279831021531931e-24,1.0867484838551751e-28,2.0204391618201234e-25,1.2855045812073135e-24,3.8650401617794623e-25,2.0324925465420839e-31,1.6353240054882073e-26,9.0458040647646749e-36,1.05759899827623e-31
5.11e-13,0.25434684936139973,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6292050728239558e-18,3.2544354932946638e-19,1.6292046207537459e-18,1.5831200245115416e-18,1.5831225470365647e-18,4.759814948271512e-19,4.7598454985170896e-19,1.4420397560146776e-19,1.2080217423666581e-19,6.0401087118334468e-20,1.6039527726283606e-23,7.8636651094951372e-24,1.3436602489906136e-23,6.7183012449532001e-24,7.9066323327639322e-24,5.3255727014624731e-24,5.3029204150947279e-24,9.1381499888255837e-24,8.7151497710030551e-28,8.0988940630534138e-25,5.1529255691894952e-24,1.5492829219272859e-24,1.629958622951829e-30,6.5551298488171145e-26,1.4511254442476932e-34,8.4816630416560843e-31
