Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394),C5H10(30),CCCOO(49),S(262),C7H15(13),H2O(558),S(501),S(715)
0.0,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5057705353843281e-23,3.6186444886302904e-23,3.5057705347378073e-23,3.4191766999953964e-23,3.4191767194879421e-23,9.0115078048541967e-24,9.0115077024363479e-24,1.5649150705615501e-23,1.3232442031562484e-23,6.6162210140081637e-24,6.4414248481670724e-30,4.4962053462009054e-31,5.4466713597891967e-30,2.7233356733365513e-30,5.7507640233404911e-31,3.904783655112802e-31,3.8846092924094569e-31,2.4466763916133738e-31,1.0070886528993405e-37,1.1591219331280054e-32,3.7886580202389176e-31,9.9853046900185322e-32,1.3944328154112552e-40,3.0937890232783312e-33,5.7396943482925301e-47,6.0147196893825122e-41,5.716040350155426e-41,2.3528078294686659e-47,5.5775534316760437e-48,2.2958045418686872e-54,5.8282203909115356e-39,1.2976468265642942e-27,2.3989828145430054e-45,2.5176229261862747e-56,3.3078227382505119e-49,3.9532366420122813e-62,3.307808750761301e-49,3.2703188103069849e-33,3.9074417928697206e-41,1.3622149734486708e-41,6.8991416229885962e-25,3.0257487969429309e-57,1.2313455671094676e-54,1.4017746698761342e-54
3.0000000000000002e-15,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1518960203359e-22,1.1889831893972588e-22,1.1518960199110437e-22,1.1234437539655339e-22,1.123443766774921e-22,2.9609238795258392e-23,2.9609238122226874e-23,5.1418616848115092e-23,4.3478005921790329e-23,2.1739002949243406e-23,4.2329355636548186e-29,2.9546491635238943e-30,3.5792405338136393e-29,1.789620260723515e-29,3.7790734730403864e-30,2.5660006752756497e-30,2.552743236628298e-30,1.607815598249293e-30,9.4954059860834839e-37,7.6170869433939097e-32,2.4896895436486084e-30,6.5617715439745453e-31,1.314750759927176e-39,2.033061181377044e-32,7.0516237366508889e-46,5.6710212258814557e-40,5.3894087534230261e-40,2.8905921767696468e-46,6.8524213975081672e-47,3.4765034459446818e-53,5.4951777035721454e-38,4.2636856089576831e-27,2.9473211137183296e-44,3.8123988135433231e-55,4.0639019599226185e-48,7.1158234157209191e-61,4.0638789059505871e-48,2.1490664502609862e-32,3.6841593858752225e-40,1.2843741003841325e-40,2.2668608342538955e-24,4.5818531661595279e-56,1.6773165778577194e-53,2.3099790562386872e-53
7e-15,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.5542041371620132e-22,2.6364409869604311e-22,2.5542041348530103e-22,2.4911142894133954e-22,2.4911143590296259e-22,6.5655261329636425e-23,6.5655257671857177e-23,1.1401505756241513e-22,9.64076371034079e-23,4.8203818488378982e-23,2.3005057525753054e-28,1.6057873626066213e-29,1.945237137812867e-28,9.7261855891946419e-29,2.053844179761481e-29,1.3945655406424986e-29,1.3873604098838788e-29,8.7381170674927754e-30,1.5336499931374712e-35,4.1397210031523005e-31,1.3530920990510752e-29,3.5661797998131365e-30,2.1235190123703839e-38,1.1049239299203693e-31,3.5668051363654571e-44,9.1595556305539061e-39,8.7047010605947632e-39,1.4621000386336866e-44,3.4660419178450472e-45,5.7414640625615989e-51,8.8755220588852179e-37,9.4541879241352471e-27,1.4907923200924099e-42,6.2961727013602375e-53,2.0556180865258245e-46,3.9616811188881156e-58,2.0555641273814164e-46,1.167970201912373e-31,5.9504753321984518e-39,2.0744585160765489e-39,5.0265176003124266e-24,7.5671211460444333e-54,1.1815574546211385e-51,5.4034815619582886e-51
1.5e-14,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.358820123071233e-22,5.5313565874603178e-22,5.3588201128562125e-22,5.2264549923629712e-22,5.2264553003451317e-22,1.3774728429102973e-22,1.3774726810902064e-22,2.3920752635373345e-22,2.0226655088171778e-22,1.0113327516070979e-22,1.0177417563411439e-27,7.1040016293387106e-29,8.6057123217731143e-28,4.3028560680060645e-28,9.0862059232324537e-29,6.1695576303075841e-29,6.1376821240490124e-29,3.8657347716049707e-29,1.4263204317526131e-34,1.831412452934197e-30,5.9860791211077895e-29,1.5776776589339135e-29,1.9749086269837034e-37,4.8881788715309072e-31,6.8598961245587547e-43,8.5185543613035937e-38,8.0955197564710164e-38,2.8119996646751897e-43,6.6660905854462158e-44,2.2525047733555745e-49,8.2543691520797731e-36,1.9834976219162176e-26,2.8671767228876873e-41,2.47011549487864e-51,3.95361897545174e-45,3.1425282067880957e-56,3.9533859523511975e-45,5.1670950659146841e-31,5.534053288987469e-38,1.9292849636395995e-38,1.0545831429896704e-23,2.9688511198544061e-52,2.502577473902219e-50,2.3331998565454916e-49
3.1e-14,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0968051103917803e-21,1.1321187809953886e-21,1.096805106133987e-21,1.0697134926477932e-21,1.069713621020067e-21,2.8193124178442197e-22,2.8193117433505049e-22,4.8959081339823122e-22,4.1398298410789001e-22,2.0699149088624308e-22,4.2421081169517112e-27,2.9610698487601288e-28,3.5869966215709625e-27,1.7934982323948513e-27,3.7872877708609645e-28,2.571578461002934e-28,2.558292190299467e-28,1.6112986649809068e-28,1.2038074409023199e-33,7.6336440659698664e-30,2.495101430275532e-28,6.5760320470113267e-29,1.666813235534499e-36,2.0374740684436865e-30,1.1663353684931998e-41,7.1896391295111291e-37,6.8325798362988464e-37,4.781027149793778e-42,1.1333802038575393e-42,7.6895103548227578e-48,6.9666197249958344e-35,4.0595687504622898e-26,4.8748213683992436e-40,8.4322869345537794e-50,6.7224751294622425e-44,2.1499204920641076e-54,6.7216388977639499e-44,2.1537307623187157e-30,4.6707313629672887e-37,1.6283127710699864e-37,2.1584460278917825e-23,1.0135632902301262e-50,4.4684806961335216e-49,8.3724526158219978e-48
6.300000000000001e-14,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2186509101724646e-21,2.2900850340913252e-21,2.2186508928217658e-21,2.1638488907574266e-21,2.1638494138811038e-21,5.7029880305408153e-22,5.7029852819465483e-22,9.9035078542256755e-22,8.374102733124716e-22,4.1870513189785954e-22,1.7286689081728442e-26,1.2066509212666849e-27,1.4617094784248865e-26,7.3085467505458651e-27,1.5433398234680992e-27,1.0479319558424901e-27,1.0425177233313873e-27,6.5660750720790388e-28,9.8524298103345732e-33,3.1107505678212309e-29,1.0167671487056735e-27,2.6797668389425941e-28,1.3641850735251774e-35,8.302786929160803e-30,1.9134941486348142e-40,5.8843156050037369e-36,5.5920514281434102e-36,7.8437723612211138e-41,1.8594150069174244e-41,2.5260566335423545e-46,5.7017088302128389e-34,8.2113649150904078e-26,7.9975889671664681e-39,2.7700019963090188e-48,1.1030367375612466e-42,1.4133484165061282e-52,1.1027548675381437e-42,8.7765358684515636e-30,3.8227374635039436e-36,1.3326840697349642e-36,4.3661722736240115e-23,3.3300779100832977e-49,7.5168123474954293e-48,2.8220303089395421e-46
1.2700000000000001e-13,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.4623409241802704e-21,4.6060175746697238e-21,4.4623408541626742e-21,4.3521173321258157e-21,4.3521194431638407e-21,1.147032510728524e-21,1.1470314015499042e-21,1.9918443219157642e-21,1.6842425433227825e-21,8.4212125245979136e-22,6.9758542002453841e-26,4.8693729208363466e-27,5.8985688448761118e-26,2.949283903745683e-26,6.2280697888292231e-27,4.2288773209754023e-27,4.2070284044085235e-27,2.6496641876401359e-27,7.9653464707879908e-32,1.255327804872643e-28,4.1031132205938157e-27,1.0814055090411895e-27,1.1028962712596231e-34,3.3505252457374181e-29,3.0967478864406597e-39,4.757319902367689e-35,4.5209812891261394e-35,1.2694156534008604e-39,3.0091863057868367e-40,8.1798111501774343e-45,4.6095610218900718e-33,1.651357310943651e-25,1.2942886864903915e-37,8.9693484728865177e-47,1.7855947529264208e-41,9.1550327502133434e-51,1.7846699897015534e-41,3.5417016167875141e-29,3.0905964762125132e-35,1.077443801975239e-35,8.7816266686962927e-23,1.0786310237757394e-47,1.2320122927668308e-46,9.258418558916723e-45
2.55e-13,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.9497146099892479e-21,9.2378827933537084e-21,8.9497143287151932e-21,8.728644795479516e-21,8.7286532759795429e-21,2.3004942666468776e-21,2.3004898108514635e-21,3.9947257703052307e-21,3.3778178544853426e-21,1.6889088501103177e-21,2.8022739624324083e-25,1.956130646652217e-26,2.3695172781467785e-25,1.1847582220250222e-25,2.5019540649180384e-26,1.6988347554305998e-26,1.690057515714658e-26,1.0643951048495738e-26,6.4044799439423251e-31,5.0429320076336233e-28,1.6483124425319987e-26,4.3442395177567069e-27,8.8677608909696432e-34,1.3459624532103275e-28,4.9818045224139804e-38,3.8251785070299427e-34,3.6350665889802538e-34,2.0421375714417407e-38,4.8408093383331054e-39,2.6322603912563364e-43,3.7061687719010184e-32,3.3112454837418012e-25,2.0820862496032799e-36,2.8860756918392265e-45,2.8740353250128043e-40,5.8922424304176235e-49,2.8710397504110223e-40,1.4227601485770131e-28,2.4850465243466177e-34,8.6633532449771006e-35,1.7612543072438657e-22,3.472922329367539e-46,1.994603711529168e-45,2.9990475241117892e-43
5.11e-13,0.2014989827965496,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.7924436612841695e-20,1.8501613780679241e-20,1.7924435485377434e-20,1.7481662044818063e-20,1.7481696038672459e-20,4.6073951409932812e-21,4.6073772801940035e-21,8.0000662136914962e-21,6.7646115992729652e-21,3.3823054904909381e-21,1.1232207785836661e-24,7.8410756064028106e-26,9.4976132016001204e-25,4.7488032563504354e-25,1.0029036160306044e-25,6.8097533397166662e-26,6.7745695830669403e-26,4.2663362201728196e-26,5.1360280023254998e-30,2.0214508385159621e-27,6.6072349629349858e-26,1.7413748691349435e-26,7.1114424796264576e-33,5.395120999777918e-28,7.9917439737315185e-37,3.067718618770012e-33,2.9151224952179095e-33,3.2759744219881341e-37,7.7651347230434263e-38,8.4456071240406707e-42,2.9719504014781337e-31,6.6288094671776976e-25,3.3398507060648657e-35,9.2583214618799225e-44,4.6153361662490129e-39,3.7805623204466902e-47,4.605693032821189e-39,5.7029462773659141e-28,1.9929852072399744e-33,6.947905905625527e-34,3.5274406327647366e-22,1.1155008767755293e-44,3.2097924938938884e-44,9.6542884365922026e-42
