Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450)
1e-12,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.8396071178823435e-18,7.8720726697914742e-19,2.8396057134336718e-18,2.7595402924743286e-18,2.7595522881840504e-18,8.2684466560271228e-19,8.2684734968587695e-19,3.4869752925851137e-19,2.9218483548023233e-19,1.4609241774013022e-19,1.0277352790596429e-22,3.6004209031818061e-23,8.6117374924310551e-23,4.3058687462158473e-23,3.6434465611187149e-23,2.4545200693911258e-23,2.4440293137010664e-23,3.0803450653379034e-23,7.8277961598942571e-27,2.7431263631833101e-24,2.3751269155923215e-23,7.116633907931039e-24,1.4529476626897348e-29,2.9821592366973771e-25,3.4563668906410928e-33,7.525095911962439e-30,5.4893150904270222e-30,1.3058335082557644e-33,1.1207915150026334e-33,2.5840844946339662e-37
1.023e-12,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9048991424845732e-18,8.053078676775213e-19,2.9048976890506075e-18,2.8229911592426764e-18,2.8230035733461663e-18,8.4585620711612301e-19,8.4585898481506067e-19,3.5671405911188528e-19,2.9890214377671988e-19,1.4945107188837462e-19,1.0635797622222509e-22,3.7259982907348495e-23,8.9120905011449188e-23,4.4560452505727938e-23,3.7705251850992318e-23,2.5401305652705981e-23,2.5292738963123419e-23,3.1877781306196211e-23,8.1481211685845772e-27,2.8388030136038856e-24,2.4579682675597465e-23,7.3648515254705234e-24,1.5124045033942085e-29,3.0861720413591049e-25,3.6083415160424252e-33,7.8330383305549498e-30,5.7139465469574702e-30,1.3632503507148661e-33,1.1700717087202567e-33,2.7016597009542477e-37
2.047e-12,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.8117764766914684e-18,1.6111787642622844e-18,5.8117706599912513e-18,5.6478777452118742e-18,5.6479274265530433e-18,1.6922237722541539e-18,1.692234887706336e-18,7.1346415496305396e-19,5.978346581826288e-19,2.9891732909144955e-19,4.2554193966941569e-22,1.4911257640383891e-22,3.5657651685093435e-22,1.7828825842553098e-22,1.5089841348150022e-22,1.0165781209897522e-22,1.0122325691388683e-22,1.2753991099565637e-22,6.5206094588236174e-26,1.1361047346377075e-23,9.836952915247853e-23,2.9473689412625137e-23,1.2103352201696062e-28,1.2350343506141027e-24,5.7755618910142405e-32,6.2696544687739419e-29,4.5727909668255196e-29,2.1820739407619755e-32,1.8723775001477021e-32,8.6467060252649814e-36
4.095e-12,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.1625382539236991e-17,3.2229232541163746e-18,1.1625359267043824e-17,1.1297425518959094e-17,1.1297624287244317e-17,3.3847216316719585e-18,3.3847660957163292e-18,1.4263259218223958e-18,1.195165248706432e-18,5.9758262435432766e-19,1.7017075859192852e-21,5.9656174383269626e-22,1.4259260270693336e-21,7.1296301353572522e-22,6.0373757719927859e-22,4.0673174787463449e-22,4.049925881683703e-22,5.0998818635563113e-22,5.2150670409195002e-25,4.545508483513516e-23,3.9357464516337104e-22,1.1791617869271274e-22,9.6803573032545591e-28,4.9407713487712661e-24,9.2388697671537983e-31,5.0162657030750463e-28,3.6574802349492997e-28,3.4906678912933581e-31,2.9936893643205011e-31,2.765016794456361e-34
8.191e-12,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3252000271715619e-17,6.4464230200362637e-18,2.3251907176395233e-17,2.2595619548667266e-17,2.2596414652657953e-17,6.7687685509549207e-18,6.7689463551472065e-18,2.8495005089497894e-18,2.3876926263154194e-18,1.1938463131665919e-18,6.800481465696282e-21,2.3862004952127568e-21,5.6984284744464331e-21,2.8492142372401689e-21,2.4151524557208013e-21,1.6270915019937946e-21,1.620130084624554e-21,2.0377820547787349e-21,4.1678711160387317e-24,1.8183603565172449e-22,1.574452008386137e-21,4.7165068231102588e-22,7.7370222521936801e-27,1.9760393761592228e-23,1.4768444102431218e-29,4.0120384025840326e-27,2.923440430533726e-27,5.580245667452901e-30,4.7807971089691032e-30,8.8312403222108104e-33
1e-11,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,2.8386375561966208e-17,7.870092477373541e-18,2.8386220797848946e-17,2.7584675176305419e-17,2.7585996933918916e-17,8.2624966204552591e-18,8.2627920931152058e-18,3.4758029998410519e-18,2.9124949700573174e-18,1.4562474850510089e-18,1.1293274497074809e-20,3.9665042349284803e-21,9.4632192391974042e-21,4.7316096196708711e-21,4.0150702118469222e-21,2.7050083087720802e-21,2.6934278879467376e-21,3.3835870543860475e-21,1.0594049435213896e-23,3.0229416161753266e-22,2.6174859872531888e-21,7.8400118890969361e-22,1.9668020125042234e-26,3.2843012042387154e-23,6.3577481006995846e-29,1.0208690879609543e-26,7.4322834826358729e-27,2.4025314420953789e-29,2.0548401644719336e-29,6.9033830287909881e-32
1.6383e-11,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.6502858413082574e-17,1.2893465692511095e-17,4.6502486052541607e-17,4.5188402136622901e-17,4.5191582175095642e-17,1.3533069460488784e-17,1.3533780122661774e-17,5.6856917778172426e-18,4.7642436489431835e-18,2.3821218245414641e-18,2.7145954386123525e-20,9.5425566233228738e-21,2.274716586794557e-20,1.1373582934239783e-20,9.6603300445462177e-21,6.5084040952097765e-21,6.4805256649536444e-21,8.1322179623426356e-21,3.3268618927361523e-23,7.2732689685233275e-22,6.2977988048918799e-21,1.8861201958855334e-21,6.1766173481809632e-26,7.9004622040349528e-23,2.3579864328551205e-28,3.2073385606449679e-26,2.3341595368521984e-26,8.9108163427916816e-29,7.6183901783853499e-29,2.8145678869092646e-31
3.2767e-11,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,9.2995067375918129e-17,2.5787723566316267e-17,9.2993578245790769e-17,9.0359550221881438e-17,9.0372266112172208e-17,2.7046517687128584e-17,2.7049355636398158e-17,1.1317743498275945e-17,9.4835807621646102e-18,4.7417903816205941e-18,1.0812808077378284e-19,3.8148535054445971e-20,9.0609571988475446e-20,4.5304785998356854e-20,3.8635291381299993e-20,2.6031366481889503e-20,2.5919601689573321e-20,3.2375329693553896e-20,2.6493601797809046e-22,2.9088842964516276e-21,2.5188649575144816e-20,7.5398842962040904e-21,4.9200610327084911e-25,3.1569354470241935e-22,3.7565292742871181e-27,2.561917499439373e-25,1.859809800247583e-25,1.4199647038477003e-27,1.2089971251542454e-27,8.9329769369828602e-30
6.5535e-11,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.8594147181110621e-16,5.157692916002337e-17,1.8593551807780037e-16,1.8064421635494593e-16,1.8069504339062513e-16,5.4012944287986567e-17,5.4024258196363431e-17,2.2422894735088347e-17,1.8789166063433411e-17,9.3945830356977647e-18,4.2888823041116522e-19,1.5241342545024933e-19,3.5942330428593057e-19,1.7971165220404825e-19,1.5448538630158311e-19,1.0410236569910273e-19,1.0365332132162314e-19,1.2828152184842638e-19,2.1001888013098953e-21,1.1631583536638427e-20,1.0072929953854228e-19,3.0121357757808852e-20,3.9022785653266795e-24,1.2601398103976378e-21,5.9587262985870399e-26,2.043117712747607e-24,1.4758766782634529e-24,2.2535687270804875e-26,1.9030078539582268e-26,2.812064599544401e-28
9.999999999999999e-11,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.836215173992017e-16,7.8703164657804563e-17,2.8360618258663575e-16,2.7548350631405427e-16,2.7561436664305962e-16,8.2249318207376041e-17,8.2278324062957597e-17,3.3778481511571146e-17,2.8304762304416931e-17,1.4152381168264666e-17,1.0906220535184703e-18,3.9210785311835191e-19,9.1406821669483195e-19,4.5703410881375574e-19,3.9797192435191118e-19,2.6824035547325136e-19,2.6707454529703715e-19,3.2565290036009322e-19,9.6726497738020133e-21,2.9965326013186633e-20,2.5953660405001475e-19,7.7481730136778084e-20,1.7989969978112568e-23,3.2373153259722365e-21,5.2112870484029872e-25,9.5105734318801084e-24,6.8103975500830623e-24,1.972793224229895e-25,1.6404128552333958e-25,4.7143814419246375e-27
1.31071e-10,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.716823529270624e-16,1.0315809757965455e-16,3.716585608531097e-16,3.6098333449683266e-16,3.6118634670330603e-16,1.0770506676531455e-16,1.0775002232324913e-16,4.4015807399634313e-17,3.6883293881483483e-17,1.8441646967683967e-17,1.6871905031852942e-18,6.0819796082401322e-19,1.4140935198562123e-18,7.0704676075979454e-19,6.1748070786451079e-19,4.1621457512427623e-19,4.144025838909757e-19,5.0358779378054887e-19,1.6499399661406908e-20,4.6493621747665947e-20,4.0270508681444143e-19,1.2017820859860761e-19,3.0690351811470197e-23,5.0197850907892502e-21,9.3721906142985174e-25,1.6242658638587378e-23,1.1619592327634411e-23,3.5481477832937367e-25,2.9477226513141518e-25,8.710991912396016e-27
2.62143e-10,0.18983857302323265,89.099999999999994,0.0,0.0,0.0,0.99999999999999811,11.0,7.4255741211877257e-16,2.0633144616922156e-16,7.4246242749849485e-16,7.2074315346159845e-16,7.2155284424843411e-16,2.1413546222644418e-16,2.1431294514200314e-16,8.4871128425646212e-17,7.1119031346116969e-17,3.5559515818976126e-17,6.5319992489630419e-18,2.4211947791384285e-18,5.4759519625368049e-18,2.7379759904380268e-18,2.4662147648538762e-18,1.6632808699377341e-18,1.6559068658432925e-18,1.9415533002425301e-18,1.2737719204366664e-19,1.8571143559693643e-19,1.6091063152471673e-18,4.7826772446036062e-19,2.3747708889838051e-22,1.9919158687254257e-20,1.450199557994795e-23,1.2832949897618811e-22,9.0091979284452815e-23,5.5009406516638087e-24,4.4261613913862979e-24,2.6155756541075843e-25
