Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527),S(394)
0.0,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.4117199243105881e-18,1.600611394542775e-19,9.4117197862649371e-18,9.0829913768753299e-18,9.0829913697554981e-18,3.4764852617972151e-18,3.4764858927461014e-18,7.2603108245478465e-20,5.9605960021457297e-20,2.9802980010728173e-20,2.1539716998074709e-26,2.2627969447625363e-25,1.7683755049282639e-26,8.8418772095992007e-27,1.4040897360640601e-25,9.3800879857337746e-26,9.3390736402951988e-26,7.4207297748827031e-25,2.2015643964474143e-31,2.2813290068523516e-25,9.0128825293252984e-26,3.4496513585679838e-26,6.8411526333289784e-34,4.9060850003356125e-27,2.0296168390517081e-40,4.9825919357748448e-34,2.2199163990046014e-34,6.5859948894533219e-41,1.1175381306343105e-39,3.3154854618356437e-46,3.1504196330380334e-34,1.9509663039385832e-21,9.3465897995128514e-41,1.1733038470539937e-48,8.9327543187319133e-42,1.3043663511376371e-53,8.9327543187319133e-42
3.0000000000000002e-15,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.3241185867104856e-17,3.9525304744317577e-19,2.3241185174059369e-17,2.2429427360387665e-17,2.242942732464316e-17,8.584788087800589e-18,8.5847912554208557e-18,1.7928517022009339e-19,1.4719018269650201e-19,7.3595091348249815e-20,1.0813812555690738e-25,1.1360163742605584e-24,8.8779634676020583e-26,4.4389814676227875e-26,7.0491034539837942e-25,4.7091870032523826e-25,4.6885960768237977e-25,3.7255077954927044e-24,1.8600964390489377e-30,1.1453202456733127e-24,4.5248348200456144e-25,1.7318655059147424e-25,5.7800745825427197e-33,2.4630566695490545e-26,2.5763699726496019e-39,4.2097808148272661e-33,1.8756024564811265e-33,8.3601788175265354e-40,1.4185885020708383e-38,5.8866751842654205e-45,2.6617815296569707e-33,4.8176853974065693e-21,1.1864439530188451e-39,2.0832043711819493e-47,1.1339127135125148e-40,3.0825528786994208e-52,1.1339127135125148e-40
7e-15,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,6.0888064977426183e-17,1.0354978591703175e-18,6.0888060712097707e-17,5.8761390077553237e-17,5.876138985756388e-17,2.2490711567289166e-17,2.2490731062302409e-17,4.6969712068595491e-19,3.8561363590603325e-19,1.9280681795301369e-19,6.6553195454447866e-25,6.9915792574801723e-24,5.4639095257617673e-25,2.7319543468983226e-25,4.3383503847300612e-24,2.8982556795804282e-24,2.8855829335250462e-24,2.2928498136185594e-23,2.9069556410070486e-29,7.0488401323569468e-24,2.7847965220090402e-24,1.0658710481111396e-24,9.0331011108463702e-32,1.515885306400853e-25,1.0977302030357782e-37,6.5790459829300776e-32,2.931192088845561e-32,3.5620744374207759e-38,6.0442615719758829e-37,7.231648292615694e-43,4.1598244991854982e-32,1.2621491403602593e-20,5.0551468005989801e-38,2.5590953116767927e-45,4.831338091764596e-39,1.1410649509715893e-49,4.831338091764596e-39
1.5e-14,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.3618182148110562e-16,2.3159882254021462e-18,1.3618180123629277e-16,1.3142530734911559e-16,1.3142530630495765e-16,5.030250713430792e-17,5.0302599664668288e-17,1.0505196100859184e-18,8.6245941057320164e-19,4.3122970528659495e-19,3.158850061801274e-24,3.3184592630150985e-23,2.5933654810242032e-24,1.2966823293022217e-24,2.0591401784488057e-23,1.3756185287198273e-23,1.3696034771869474e-23,1.0882678771680014e-22,2.8736067825647168e-28,3.3456377695909229e-23,1.3217665348211215e-23,5.0590099183427791e-24,8.9294891876123639e-31,7.1949830107699851e-25,2.2291116855060111e-36,6.5035828859378645e-31,2.897571226738239e-31,7.23334646985071e-37,1.2273786507842927e-35,2.98539602109497e-41,4.1120972232070156e-31,2.8228930210025738e-20,1.026522938558069e-36,1.056408387102614e-43,9.8107974639285957e-38,9.5094122833194447e-48,9.8107974639285957e-38
3.1e-14,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999933,11.0,2.8676932762061027e-16,4.8769719289472491e-18,2.8676924007716994e-16,2.7675310924119701e-16,2.7675310472594064e-16,1.0592589270136519e-16,1.0592629282386908e-16,2.2121589428138052e-18,1.8161464329400114e-18,9.0807321647000067e-19,1.3659553723437701e-23,1.4349810878987665e-22,1.1214282051267733e-23,5.6071374178777765e-24,8.9042175662734341e-23,5.9485063954490973e-23,5.9224949962388405e-23,4.7059088406231656e-22,2.5211690039773399e-27,1.4467340666705271e-22,5.7156364137523688e-23,2.1876333926263886e-23,7.8343475752613212e-30,3.1113141305802058e-24,3.9417332658981671e-35,5.705962666944308e-30,2.542204777443728e-30,1.2790714203195436e-35,2.1703620237442939e-34,1.0600854546875001e-39,3.6077535805429908e-30,5.9443115028015217e-20,1.815187227263227e-35,3.7508735068783934e-42,1.7348464186631359e-36,6.7668706820325699e-46,1.7348464186631359e-36
6.300000000000001e-14,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999867,11.0,5.8794431242819074e-16,9.9989512201333903e-18,5.8794394892897984e-16,5.6740858242143985e-16,5.6740856367257404e-16,2.1717184157438555e-16,2.1717350296060996e-16,4.5354150244213997e-18,3.7235023701239179e-18,1.8617511850620106e-18,5.6716796043693363e-23,5.9583461068374557e-22,4.6563664792868197e-23,2.3281802243727113e-23,3.6972229408934609e-22,2.469948739423222e-22,2.4591475253635569e-22,1.9539753984556838e-21,2.1071384020057742e-26,6.0071498145359181e-22,2.3732552748094999e-22,9.0834901147649707e-23,6.5478260853323334e-29,1.2919098288594815e-23,6.6104073186782005e-34,4.7689556037790065e-29,2.1247371506381226e-29,2.1450431329754834e-34,3.6397336012743977e-33,3.5614216026261265e-38,3.0152666066850123e-29,1.2186871371669737e-19,3.0440876114871613e-34,1.2599063900320063e-40,2.9094082061292918e-35,4.5497254354124103e-44,2.9094082061292918e-35
1.2700000000000001e-13,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999722,11.0,1.190294172157542e-15,2.0242957337050979e-17,1.1902926913136831e-15,1.1487190063682751e-15,1.1487189299835977e-15,4.3966045033066332e-16,4.3966721851115383e-16,9.1818368557635739e-18,7.5381418168559717e-18,3.7690709084285837e-18,2.3105114247640745e-22,2.4273415881237199e-21,1.8969006515303692e-22,9.4844786152012721e-23,1.5061959044707807e-21,1.0062225032911188e-21,1.001821655557828e-21,7.9600597420323372e-21,1.7220849341051545e-25,2.4472258101757469e-21,9.668302869657459e-22,3.7004558553355182e-22,5.351370679308035e-28,5.2632615308308454e-23,1.0821668916567191e-32,3.8975463162998425e-28,1.7364963373715999e-28,3.5115798178986343e-33,5.9583838473648663e-32,1.1669312266773409e-36,2.4642384039406232e-28,2.4670882916160662e-19,4.9832495527342794e-33,4.1267380286334664e-39,4.7629492732768001e-34,2.9816318901826784e-42,4.7629492732768001e-34
2.55e-13,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999999434,11.0,2.3949934520722497e-15,4.0731159694364833e-17,2.39498747481431e-15,2.3113377646235731e-15,2.3113374562693698e-15,8.8462451232105947e-16,8.8465183075012986e-16,1.8474319219111274e-17,1.5167131020280238e-17,7.5835655101452806e-18,9.3257145912608646e-22,9.7976602007614059e-21,7.6563289861286924e-22,3.8281445711215003e-22,6.0795893462267343e-21,4.0615081895625902e-21,4.043739925924663e-21,3.2128609980330323e-20,1.3922274592680838e-24,9.877939078829611e-21,3.902500495059214e-21,1.4936241396096267e-21,4.3264675419696886e-27,2.1246215305136683e-22,1.7511108712995127e-31,3.1510835053807135e-27,1.4039246803844549e-27,5.6822839362232676e-32,9.6412555550393336e-31,3.7777828610582138e-35,1.9921835376264555e-27,4.9634474717046708e-19,8.0632657234372629e-32,1.3350339657845656e-37,7.7073646422062917e-33,1.9295441134697009e-40,7.7073646422062917e-33
5.11e-13,0.27956262926269704,89.099999999999994,0.0,0.0,0.0,0.99999999999998868,11.0,4.8043902537196416e-15,8.1708324785366756e-17,4.8043662367955495e-15,4.636566922710512e-15,4.6365656834374144e-15,1.7745000177080949e-15,1.7746097800167508e-15,3.7057838973667969e-17,3.0423950830971885e-17,1.5211975415527589e-17,3.7467960353807793e-21,3.9367266167254077e-20,3.0761146655644029e-21,1.5380413137082735e-21,2.4428102930326665e-20,1.6319388393053931e-20,1.6247956506834686e-20,1.2908420008745515e-19,1.1195192646741311e-23,3.9689979224868349e-20,1.5680443331553651e-20,6.0012738822577664e-21,3.479208052067023e-26,8.5381690210795332e-22,2.8173238206300276e-30,2.5340039408979292e-26,1.1289996376488034e-26,9.1421433024264832e-31,1.5510584015884401e-29,1.2157005924195153e-33,1.6018901118069601e-26,9.9543945037542237e-19,1.2971552762530813e-30,4.2901261163942457e-36,1.2400812068669111e-31,1.2402489201311786e-38,1.2400812068669111e-31
