Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43),S(302),S(182),S(210),S(399),S(237),S(450),S(167),H(8),S(493),S(414),OH(D)(24),S(527)
0.0,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.4249930335556809e-18,4.6915259706420249e-20,1.4249930229027817e-18,1.3775450353844333e-18,1.377545038868163e-18,4.9752484929707643e-19,4.9752490474563491e-19,2.1059677530184733e-20,1.7380340136950726e-20,8.6901700684753149e-21,7.0018351563886724e-27,3.2950456572630565e-26,5.7785443225191522e-27,2.8892720941881367e-27,2.3093393808551052e-26,1.5444283584102653e-26,1.5383322655264949e-26,7.708271165257126e-26,2.56281435348639e-32,1.7634603081293653e-26,1.4871104206223457e-26,5.3709633483559293e-27,7.0866874175239756e-35,5.1770157363488664e-28,2.3561527442442212e-41,4.7639954493263619e-35,2.3829627826390621e-35,7.9227767590262933e-42,6.453044394702609e-41,2.145481713752922e-47,6.7071409953293812e-35,2.1494470425778244e-22,2.2299627086268371e-41,9.1958708712793784e-50,0.0,7.5829363350398411e-55
3.0000000000000002e-15,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.5188603218129822e-18,1.1585197135316356e-19,3.5188602683310809e-18,3.4016927865584697e-18,3.4016928040482131e-18,1.228581555379962e-18,1.2285818337543108e-18,5.2004491760012985e-20,4.2918784372519374e-20,2.1459392186259579e-20,3.5152058439684177e-26,1.6542473372602862e-25,2.9010641867353705e-26,1.4505320366991936e-26,1.1593826109433962e-25,7.7536606859449779e-26,7.7230557667950422e-26,3.8698653572928762e-25,2.1653158654438199e-31,8.8532903379096291e-26,7.4659011921230796e-26,2.6964425076074174e-26,5.9875263653245698e-34,2.5990740805485784e-27,2.9908707047259634e-40,4.0250893105499811e-34,2.0133600030152756e-34,1.0057073564241938e-40,8.1914120187009876e-40,3.8093231116169046e-46,5.6668466904344469e-34,5.307806812463093e-22,2.8306859646528791e-40,1.6327312195989585e-48,0.0,1.7920443053829654e-53
7e-15,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,9.2188322300141264e-18,3.0351304025219442e-19,9.2188319008613036e-18,8.9118724485138142e-18,8.9118725561538878e-18,3.2186791058716022e-18,3.2186808191175033e-18,1.3624304700338145e-19,1.1244001850018679e-19,5.6220009250093116e-20,2.1634206472341453e-25,1.0181016429461049e-24,1.7854495459285077e-25,8.9272468440283328e-26,7.1353868917060301e-25,4.771968284047579e-25,4.7531324693542413e-25,2.3816943750257493e-24,3.3839537549615581e-30,5.4487319058398201e-25,4.5948674032240612e-25,1.6595171301754159e-25,9.357306711745837e-33,1.5995947878488309e-26,1.2743396496612566e-38,6.2904115262328307e-33,3.1464797660625478e-33,4.2850831413883966e-39,3.4901637489008944e-38,4.679672212703765e-44,8.8561343633013333e-33,1.3905497262516174e-21,1.2060867478108162e-38,2.0057320605667078e-46,0.0,6.6336455802684259e-51
1.5e-14,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.0618775385219002e-17,6.7883526602530892e-19,2.0618773822939008e-17,1.9932230369467489e-17,1.9932230880366284e-17,7.1988688045872415e-18,7.1988769362720828e-18,3.0471970441804085e-19,2.5148211693100337e-19,1.2574105846550111e-19,1.0268365259373645e-24,4.8322828127837967e-24,8.4743809821820641e-25,4.2371896156366487e-25,3.3867163217399507e-24,2.2649512896414062e-24,2.2560110318520646e-24,1.1304368626351144e-23,3.3451355267589618e-29,2.5861678879590208e-24,2.1808926067325532e-24,7.8766714802585201e-25,9.2499759622587206e-32,7.5922815968937013e-26,2.5877462226851124e-37,6.2182615147482057e-32,3.1103897808751571e-32,8.7015345531653281e-38,7.0873105177680752e-37,1.9318824437359166e-42,8.7545289443148402e-32,3.1100592301581443e-21,2.4491417472742833e-37,8.2798761501697502e-45,0.0,5.5284204356763074e-49
3.1e-14,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.3418659050839409e-17,1.4294800694666504e-18,4.3418652295164828e-17,4.1972940599549685e-17,4.1972942808795048e-17,1.5159226593013128e-17,1.5159261756302651e-17,6.4167120697341772e-19,5.2956483450557847e-19,2.6478241725278876e-19,4.440268982071427e-24,2.0895945676288309e-23,3.6645114420367061e-24,1.8322549529353005e-24,1.464497666208131e-23,9.7941956611265275e-24,9.7555350699560318e-24,4.8882585246737667e-23,2.9348712575835606e-28,1.1183211521228671e-23,9.430704744536519e-24,3.4060576762984898e-24,8.1155286229177888e-31,3.2831007841437015e-25,4.575911620715625e-36,5.455638162587751e-31,2.7289230581282763e-31,1.5386931123029721e-36,1.2532443614732846e-35,6.8599481376861975e-41,7.6808044912567488e-31,6.5489638986566742e-21,4.3307953320023293e-36,2.9399195769657463e-43,0.0,3.9341073491044603e-47
6.300000000000001e-14,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,8.9018415802925264e-17,2.9307710838889968e-18,8.9018387751909316e-17,8.6054338612436866e-17,8.6054347785666706e-17,3.1079855734364809e-17,3.1080001739318387e-17,1.3155669631033489e-18,1.0857243525946198e-18,5.4286217629731492e-19,1.8436793943936911e-23,8.6764402444689069e-23,1.5215718228220104e-23,7.6078526946370366e-24,6.0809101399889913e-23,4.0667621211566912e-23,4.0507087761203826e-23,2.0296916159501199e-22,2.452909881690467e-27,4.6435097715183197e-23,3.9158320772508277e-23,1.4142647140086105e-23,6.7828325293000497e-30,1.3632270625109298e-24,7.6739629169288271e-35,4.5597451570062555e-30,2.2807942034684858e-30,2.5804444240185911e-35,2.1017184542335152e-34,2.3046541700687949e-39,6.419429480957122e-30,1.3426315919206679e-20,7.2628206548174347e-35,9.875597008808322e-42,0.0,2.6452418978599666e-45
1.2700000000000001e-13,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.8021788699049662e-16,5.9333587425661231e-18,1.8021777271465911e-16,1.7421704484928954e-16,1.7421708221945267e-16,6.2920768279239284e-17,6.2921363077720074e-17,2.6633294803594405e-18,2.1980197212372217e-18,1.09900986061867e-18,7.5107571413214932e-23,3.5346527171827433e-22,6.1985667193973804e-23,3.0992781133026552e-23,2.4772763715504786e-22,1.6567417963373113e-22,1.6502013753960815e-22,8.2685225216780252e-22,2.0046841984562339e-26,1.8916992160055179e-22,1.5952544089748779e-22,5.7614817893291203e-23,5.5434349232837854e-29,5.553697698427018e-24,1.2562841450341844e-33,3.726575229340435e-29,1.8640391001831702e-29,4.2243856255894377e-34,3.4406154938000198e-33,7.5514869895970221e-38,5.2463248180356044e-29,2.7179191020948443e-20,1.188952999595867e-33,3.235013193894968e-40,0.0,1.7337159983442166e-43
2.55e-13,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999922,11.0,3.6261666009939423e-16,1.1938556576641272e-17,3.6261619883791742e-16,3.5054209816880563e-16,3.505422490070847e-16,1.2660121045104397e-16,1.2660361124841855e-16,5.3587385422122601e-18,4.4225157940198211e-18,2.2112578970104202e-18,3.0315273577480672e-22,1.4267182858241574e-21,2.5019006702860974e-22,1.2509460936664237e-22,9.9992481420006779e-22,6.6872580649473964e-22,6.6608542216752588e-22,3.3373731140481937e-21,1.6207175427300958e-25,7.6356262168116545e-22,6.4390660190259901e-22,2.3255319232213314e-22,4.4817465097510712e-28,2.2417720251871692e-23,2.0328793330096247e-32,3.0128752773308221e-28,1.5070423937709581e-28,6.8357946097108091e-33,5.5673266629646889e-32,2.4447468115501428e-36,4.241361408493239e-28,5.4677628077505381e-20,1.9238480978405294e-32,1.0467658348227165e-38,0.0,1.1221890284640078e-41
5.11e-13,0.2494616531158156,89.099999999999994,0.0,0.0,0.0,0.99999999999999833,11.0,7.274135292534588e-16,2.3949042290819374e-17,7.2741167588119305e-16,7.0319076820305902e-16,7.0319137426170325e-16,2.5395656338983132e-16,2.5396620960070948e-16,1.0749092834118674e-17,8.8711293266837747e-18,4.4355646633459988e-18,1.2179991035333567e-21,5.7325930378328578e-21,1.0052117623219281e-21,5.0260247049479487e-22,4.0177512738931445e-21,2.686980546141021e-21,2.6763679916312613e-21,1.3408753085134119e-20,1.30328736174758e-24,3.0680310019245681e-21,2.5872515548032877e-21,9.3439059857485283e-22,3.6040771491796945e-27,9.0082366787358883e-23,3.2707199788919499e-31,2.4228905362581248e-27,1.2119270841579777e-27,1.0998266088138998e-31,8.9567850523485811e-31,7.8676110568298891e-35,3.4104808195194439e-27,1.0964527047204141e-19,3.0950472425953034e-31,3.3651396604684874e-37,0.0,7.2159678367163201e-40
