Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67)
0.0,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.473942984851728e-19,2.4557831757664024e-20,7.4739429398621229e-19,7.229138061015678e-19,7.2291380736508733e-19,2.5600398515829707e-19,2.5600401187292525e-19,1.0962997369341039e-20,9.0632183159709543e-21,4.5316091579853733e-21,3.0115403426181819e-27,1.3563337798045678e-26,2.4896702316294804e-27,1.2448351158147117e-27,9.897939592612718e-27,6.6228344904647545e-27,6.5971673888579256e-27,3.5578627875580739e-26,9.7734651840939278e-33,7.3008787252155028e-27,6.3810808207222925e-27,2.259719074529963e-27
3.0000000000000002e-15,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.845606317573893e-18,6.0642809463621783e-20,1.8456062949872765e-18,1.7851544773456591e-18,1.785154483689043e-18,6.3217300762915382e-19,6.3217314174747178e-19,2.7071883780569934e-20,2.2380593980078902e-20,1.1190296990039183e-20,1.5119157557808893e-26,6.8093489363699363e-26,1.2499157503669424e-26,6.2495787518345664e-27,4.9691696211945972e-26,3.3249332158503265e-26,3.3120472705655594e-26,1.7861917971786989e-25,8.257578412157902e-32,3.6653390482938708e-26,3.2035629966966864e-26,1.1344710906326945e-26
7e-15,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.8351834142758458e-18,1.5887414017672843e-19,4.8351832752671605e-18,4.6768095007668348e-18,4.6768095398069956e-18,1.6561881028572586e-18,1.6561889282841664e-18,7.092380737292521e-20,5.8633412776167856e-20,2.9316706388083242e-20,9.3050327799251892e-26,4.190793857357483e-25,7.6925633292062571e-26,3.846281664603039e-26,3.0582611824475729e-25,2.0463206441586526e-25,2.0383899962885928e-25,1.0993053957717333e-24,1.2904940329444758e-30,2.2558223314643994e-25,1.9716236660903009e-25,6.9820672858588093e-26
1.5e-14,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0814337323220177e-17,3.5533681237548414e-19,1.0814336663433968e-17,1.0460118959652871e-17,1.0460119144951702e-17,3.7042158201918815e-18,3.7042197379671879e-18,1.5862746182010035e-19,1.3113889103026834e-19,6.5569445515132652e-20,4.4165020369865832e-25,1.9891041843876545e-24,3.6511666229099871e-25,1.8255833114549513e-25,1.4515629659187165e-24,9.7125889071596926e-25,9.6749468897387502e-25,5.2176964080532238e-24,1.2756910855608525e-29,1.0706959888970975e-24,9.3580494306456798e-25,3.3139432031229577e-25
3.1e-14,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.2772644003270647e-17,7.4826219986317011e-19,2.2772641150196212e-17,2.2026735525600272e-17,2.2026736326876254e-17,7.8002613624012937e-18,7.8002783037745897e-18,3.3403399976928147e-19,2.7614921019004351e-19,1.3807460509501853e-19,1.9097951246898747e-24,8.6013628918531399e-24,1.5788471461079078e-24,7.8942357305393554e-25,6.2769080564880489e-24,4.1999577737678966e-24,4.1836802419467622e-24,2.2562488114894008e-23,1.1192350355886611e-28,4.6299469838870411e-24,4.0466461791208346e-24,1.4330270971722866e-24
6.300000000000001e-14,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.6689252812019669e-17,1.5341131471992767e-18,4.6689240965439094e-17,4.5159959250201106e-17,4.5159962577265423e-17,1.5992312877192913e-17,1.5992383221177454e-17,6.8484399192674627e-19,5.6616729914696127e-19,2.8308364957347399e-19,7.9298258641656349e-24,3.571469343971707e-23,6.5556707464400437e-24,3.2778353732199447e-24,2.6063078864819402e-23,1.7439134728160571e-23,1.7371545103332577e-23,9.3683593157457626e-23,9.3543735813255164e-28,1.922453652219549e-23,1.6802550347490481e-23,5.9502232808097482e-24
1.2700000000000001e-13,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,9.452245222411686e-17,3.1058157313147164e-18,9.4522403962829302e-17,9.1426369070264636e-17,9.1426382624200035e-17,3.2376257629964357e-17,3.2376544199316438e-17,1.3864516415963115e-18,1.1461932798588243e-18,5.7309663992939877e-19,3.2304532707090197e-23,1.4549642060615041e-22,2.6706519919333612e-23,1.3353259959666494e-23,1.061773033607486e-22,7.1044591521962508e-23,7.0769226314353232e-23,3.8164775307001871e-22,7.6450589041696792e-27,7.8318014707470924e-23,6.845122437866901e-23,2.4240247785580148e-23
2.55e-13,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.9018877822676255e-16,6.2492236573208123e-18,1.9018858342547475e-16,1.8395903819414074e-16,1.8395909290266237e-16,6.514351404183588e-17,6.5144670730375504e-17,2.7896176048996622e-18,2.3062044544630326e-18,1.1531022272314893e-18,1.3038998217218305e-22,5.8727864754456527e-22,1.0779503778245993e-22,5.3897518891228709e-23,4.2857296683427174e-22,2.8676380570461393e-22,2.8565220642162045e-22,1.5404307805198413e-21,6.1808144262192815e-26,3.1612175884103964e-22,2.7629586649406879e-22,9.7842102303197165e-23
5.11e-13,0.3019288409263061,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.8152113894629682e-16,1.2536050540452371e-17,3.8152035622420274e-16,3.6902377437930318e-16,3.6902399419770435e-16,1.3067549459949488e-16,1.3068014210320263e-16,5.5957522077265562e-18,4.6260636722988016e-18,2.3130318361493469e-18,5.238846609075979e-22,2.3597062586003924e-21,4.3310344615623502e-22,2.1655172307811248e-22,1.7220306154348949e-21,1.1522345488914137e-21,1.1477671312399976e-21,6.1891509615503886e-21,4.970333844170805e-25,1.2701931288773885e-21,1.1101729771393185e-21,3.9312724928331571e-22
