Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48)
1e-12,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6424637415554183e-19,8.9418811691359332e-20,1.6424637415554183e-19,1.5998857849507024e-19,1.5999020814518979e-19,4.4096735880025106e-20,4.4095355305827371e-20,3.947772778505949e-20,3.3279681576877912e-20,1.6639840788438803e-20,9.5215497359277725e-24,1.3805741977380533e-24,8.0266608314654727e-24,4.0133304157326996e-24,1.6296501195425736e-24
1.023e-12,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6802296173609628e-19,9.1474856918767051e-20,1.6802296173609628e-19,1.6366724537840744e-19,1.6366893186860818e-19,4.5110671109485838e-20,4.5109242382804229e-20,4.0385343018615788e-20,3.4044800231329404e-20,1.7022400115664546e-20,9.8536373595905051e-24,1.4287266816140159e-24,8.3066105318152833e-24,4.1533052659076034e-24,1.6864902007267835e-24
2.047e-12,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.3616320880078119e-19,1.8301356617378902e-19,3.3616320880078119e-19,3.274453603729457e-19,3.2745210981558338e-19,9.0252830890694071e-20,9.0247113139367421e-20,8.0779163586797951e-20,6.8096746997978674e-20,3.4048373498989012e-20,3.9426846928564327e-23,5.7177513266608234e-24,3.3236828729868964e-23,1.6618414364934323e-23,6.7494426376517897e-24
4.095e-12,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,6.7244370293015102e-19,3.6609098468383295e-19,6.7244370293015102e-19,6.5499146134473018e-19,6.5501846570953379e-19,1.8053715045311051e-19,1.8051427470222418e-19,1.6150769642493002e-19,1.3615081209213034e-19,6.8075406046064401e-20,1.5768156429856143e-22,2.2875750886353491e-23,1.3292570427307385e-22,6.6462852136536217e-23,2.70043648035597e-23
8.191e-12,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.3450046911888907e-18,7.3224582170392071e-19,1.3450046911888907e-18,1.3100431497420866e-18,1.3101511774974346e-18,3.611057895779434e-19,3.6101428457767396e-19,3.2272868091019802e-19,2.7205992443212471e-19,1.3602996221605901e-19,6.302721900312065e-22,9.1505000269517644e-23,5.3132130367182558e-22,2.6566065183590715e-22,1.0802775534794154e-22
1e-11,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6420415143724991e-18,8.9395824850307556e-19,1.6420415143724991e-18,1.5993112026118269e-18,1.5994907955697769e-18,4.4085399958205059e-19,4.4070188709447965e-19,3.9372408098291796e-19,3.3190896556782702e-19,1.6595448278390289e-19,1.0469027266252026e-21,1.5211248757081902e-22,8.8254429453513915e-22,4.4127214726754042e-22,1.7959295795002822e-22
1.6383e-11,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.6901266677063698e-18,1.4645554957440962e-18,2.6901266677063698e-18,2.6199844925330816e-18,2.6204166010732364e-18,7.2224306782760926e-19,7.2187710371403271e-19,6.4422913275968484e-19,5.4308443796649327e-19,2.7154221898321043e-19,2.5169705624900304e-21,3.6596411357646104e-22,2.1218236481451603e-21,1.0609118240724683e-21,4.3210854015517981e-22
3.2767e-11,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,5.3803706207413284e-18,2.9291748438244477e-18,5.3803706207413284e-18,5.2392192035090442e-18,5.2409474482248396e-18,1.444517624326941e-18,1.4430543583009093e-18,1.2834862959517152e-18,1.0819773907997688e-18,5.4098869539934465e-19,1.0034107813467716e-20,1.4632660260316164e-21,8.4589025734360757e-21,4.2294512867147645e-21,1.7282447157957761e-21
6.5535e-11,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.0760858526811246e-17,5.8584135399851498e-18,1.0760858526811246e-17,1.0475098017664662e-17,1.0482009142528045e-17,2.8890667373256044e-18,2.8832186778009523e-18,2.5472021785817462e-18,2.1472873971540491e-18,1.0736436985686102e-18,3.9866826055510815e-20,5.848059524651612e-21,3.3608959750223571e-20,1.6804479875009952e-20,6.9111248633835089e-21
9.999999999999999e-11,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.6419992916542068e-17,8.9393526166202378e-18,1.6419992916542068e-17,1.5976690134465046e-17,1.5994496669815642e-17,4.4084266366023057e-18,4.3933735009309189e-18,3.8459594711342366e-18,3.2421338433613075e-18,1.6210669216084418e-18,1.0164885617494554e-19,1.5053135671385434e-20,8.5695682895338456e-20,4.284784144596948e-20,1.7806535350595344e-20
1.31071e-10,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.152183433895108e-17,1.1716890932306554e-17,2.152183433895108e-17,2.0936503529535547e-17,2.0964132531134458e-17,5.7781649633229314e-18,5.7548132371697471e-18,5.0168194112734627e-18,4.2291634075599363e-18,2.114581703650241e-18,1.5734679489077194e-19,2.3351726153183395e-20,1.3265307662352257e-19,6.6326538308620982e-20,2.7629001598909844e-20
2.62143e-10,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,4.3043785963230746e-17,2.3433845716949366e-17,4.3043785963230746e-17,4.1817988441361831e-17,4.1928379308347287e-17,1.1556361415317585e-17,1.14632781739088e-17,9.7353272010943713e-18,8.2067948476753421e-18,4.1033974219044488e-18,6.1303340482770483e-19,9.3083241408782142e-20,5.1686189436077606e-19,2.5843094708672192e-19,1.1039086698545406e-19
5.24287e-10,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999978,11.0,8.6087689211790072e-17,4.6867755286234976e-17,8.6087689211790072e-17,8.3416310032734048e-17,8.3856872862772927e-17,2.3112754319306893e-17,2.2742987926196327e-17,1.8366348325140808e-17,1.5482263282715473e-17,7.7411316143954612e-18,2.3304010326894216e-18,3.6976639311056085e-19,1.9650740226071238e-18,9.8253700868668632e-19,4.4056283003888148e-19
9.999999999999999e-10,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.641995069382377e-16,8.9393296297791814e-17,1.641995069382377e-16,1.5831198018437103e-16,1.5994455541227422e-16,4.4084153006804826e-17,4.2726142250725351e-17,3.1572610473700533e-17,2.661229710726764e-17,1.3306148248730813e-17,7.9033705619519682e-18,1.3580107560794752e-18,6.6659133101818843e-18,3.3329565959589783e-18,1.6325752279031908e-18
1.0485750000000002e-09,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999956,11.0,1.7217549570890871e-16,9.3735574424806191e-17,1.7217549570890871e-16,1.6595956849416242e-16,1.6771385997162419e-16,4.6225540127285496e-17,4.4766619852375938e-17,3.2921100390659481e-17,2.7748783587619501e-17,1.3874391460526247e-17,8.4724258429384664e-18,1.4589202749095584e-18,7.1459154719768018e-18,3.5729576710856881e-18,1.7542914774617677e-18
2.0971510000000003e-09,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999911,11.0,3.4435110870314586e-16,1.8747121270194858e-16,3.4435110870314586e-16,3.28473558373599e-16,3.354278341893266e-16,9.2451111743242677e-17,8.6770596006817448e-17,5.4193045536045091e-17,4.5663360292835341e-17,2.2831676782353383e-17,2.8594027342985078e-17,5.680515736425238e-18,2.4126069377474822e-17,1.2063033370254874e-17,6.9542758157276648e-18
4.194303e-09,0.2319855995828594,89.099999999999994,0.0,0.0,0.0,0.99999999999999811,11.0,6.8870233469161998e-16,3.7494248925623313e-16,6.8870233469161998e-16,6.4352938680524915e-16,6.7085578262473122e-16,1.8490225497515694e-16,1.6333316168947969e-16,7.8958651611881129e-17,6.6461362267247441e-17,3.3230655949101462e-17,8.6615450641409819e-17,2.1569093285677271e-17,7.3117592505669957e-17,3.6558776280923349e-17,2.7326395819482249e-17
