Time (s),Volume (m^3),N2,Ar,He,Ne,C7H16(1),O2(2),C2H5(6),HO2(16),C5H11(5),C3H7(4),C4H9(3),C6H13(10),CH3(11),C7H15(12),C7H15(7),C7H15(9),S(82),CH3O2(70),S(92),S(97),C3H7O2(48),C2H5O2(22),S(41),C6H13(59),S(120),C2H4(17),C4H9O2(56),S(67),S(261),C3H6(43)
0.0,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,2.9261542549071453e-19,1.4245593209314446e-20,2.9261542423738163e-19,2.8325924088422332e-19,2.8325924180665719e-19,9.7494340591413397e-20,9.7494348248369453e-20,6.3508753767142371e-21,5.2631422068961429e-21,2.6315711034480278e-21,1.9609805303065878e-27,5.5431290428301907e-27,1.6251176329157398e-27,8.1255881645785627e-28,4.2854085476873768e-27,2.8698524970140111e-27,2.8588668892509458e-27,1.1578561434018244e-26,3.5751502244870345e-33,2.0571086950038306e-27,2.7674565240826042e-27,9.525244369254298e-28,8.9496946482702915e-36,6.1701907344647315e-29
3.0000000000000002e-15,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,7.2258094287339296e-19,3.5177893716151015e-20,7.2258093658114987e-19,6.9947689045270443e-19,6.9947689508369793e-19,2.4075129831723357e-19,2.407513367582729e-19,1.5682768852539963e-20,1.2996734773363969e-20,6.4983673866818787e-21,9.8449199513978721e-27,2.782876922732993e-26,8.1587516838424155e-27,4.0793758419211425e-27,2.1514499813928542e-26,1.440783081302376e-26,1.4352678539198225e-26,5.8129086223786453e-26,3.0206362948664736e-32,1.0327525111162041e-26,1.3893761176252685e-26,4.782061027934658e-27,7.5615783606940612e-35,3.0976882838259675e-28
7e-15,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8930425952039279e-18,9.2160268962451112e-20,1.8930425564784964e-18,1.8325137638876088e-18,1.8325137923889176e-18,6.3072838169758013e-19,6.3072861828174115e-19,4.1086227163020484e-20,3.4049268047415776e-20,1.702463402370762e-20,6.059021641223095e-26,1.7127134337003883e-25,5.0212754962499423e-26,2.5106377481249318e-26,1.3241037125847198e-25,8.8672582650497717e-26,8.8333148641691016e-26,3.5775338410098161e-25,4.7206495133284438e-31,6.3560455362812035e-26,8.5508754336058548e-26,2.943104846157251e-26,1.1817246184238952e-33,1.9064650519714738e-27
1.5e-14,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,4.2339657546719418e-18,2.0612502650239902e-19,4.2339655708668393e-18,4.0985872471755316e-18,4.0985873824531514e-18,1.4106817323232121e-18,1.410682855237482e-18,9.1893017418920407e-20,7.6154230588530624e-20,3.8077115294264716e-20,2.8758288166366357e-25,8.1291648153717785e-25,2.383277502829311e-25,1.1916387514146367e-25,6.2846820040210175e-25,4.208726234170937e-25,4.192615372525177e-25,1.6980253561589631e-24,4.6665005479699356e-30,3.0168122860806859e-25,4.0585592080112438e-25,1.3969047894775086e-25,1.1681717194190094e-32,9.0487969329167549e-27
3.1e-14,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,8.9158114928358269e-18,4.3405456977168525e-19,8.9158106980183162e-18,8.6307331594242229e-18,8.6307337443968349e-18,2.9705851690417646e-18,2.9705900247854319e-18,1.9350609247373173e-19,1.6036373964536966e-19,8.0181869822683686e-20,1.2435732628316791e-24,3.5152454399102744e-24,1.0305831313963171e-24,5.1529156569815093e-25,2.7176479148276571e-24,1.8199547453755447e-24,1.8129879536437815e-24,7.3426411602704247e-24,4.0941823708693189e-29,1.3045422182436246e-24,1.7550187966262919e-24,6.0405464759747524e-25,1.0249064235624962e-31,3.9129300933044207e-26
6.300000000000001e-14,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,1.8279500646075629e-17,8.8991376906781772e-19,1.8279497345821921e-17,1.7695020766616066e-17,1.7695023195545355e-17,6.0903789844082996e-18,6.0903991464372159e-18,3.9673022078144717e-19,3.2878109367800096e-19,1.6439054683899882e-19,5.1635483189308831e-24,1.459604786492673e-23,4.2791749391265347e-24,2.1395874695632435e-24,1.1284261257194576e-23,7.5568462874630494e-24,7.5279181074752303e-24,3.0487987049105801e-23,3.421848451534427e-28,5.4167403075173002e-24,7.2872172983636105e-24,2.5081600972394501e-24,8.5660602985977084e-31,1.6247432990161985e-25
1.2700000000000001e-13,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,1.0,11.0,3.7006869660208284e-17,1.8016326186903124e-18,3.7006856215443728e-17,3.5823579111802135e-17,3.5823589006889321e-17,1.232991438334128e-17,1.2329996520044362e-17,8.0317039039761963e-19,6.6560914558319767e-19,3.3280457279160163e-19,2.1035268340344878e-23,5.9462148989272808e-23,1.7432518609554514e-23,8.7162593047772891e-24,4.59704851077187e-23,3.0785531656080703e-23,3.0667677814305881e-23,1.2420175071237138e-22,2.7965799827083489e-27,2.2067027625528546e-23,2.9687093930258329e-23,1.0217846499261863e-23,7.0009060355577939e-30,6.61905751675664e-25
2.55e-13,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999989,11.0,7.4461570519125025e-17,3.625072122056129e-18,7.4461516250841534e-17,7.2080628325580522e-17,7.2080668265783379e-17,2.4808776257864337e-17,2.4809107789113368e-17,1.6160183832998059e-18,1.3392386260662366e-18,6.6961931303317299e-19,8.4904129978810871e-23,2.4001168227007053e-22,7.036253321865838e-23,3.5181266609331382e-23,1.855547735661617e-22,1.2426245626522796e-22,1.2378671574454623e-22,5.0131048429603263e-22,2.2609596318521337e-26,8.9071060416227864e-23,1.1982867473258402e-22,4.124285774607025e-23,5.660217346625903e-29,2.6717762877303439e-24
5.11e-13,0.26861131305288577,89.099999999999994,0.0,0.0,0.0,0.99999999999999967,11.0,1.4937082355987836e-16,7.2719583452703281e-18,1.4937060550702054e-16,1.445944568483356e-16,1.4459461732854392e-16,4.9765664344397155e-17,4.9766996419793439e-17,3.241584997117175e-18,2.6863911042251244e-18,1.3431955521130672e-18,3.4113027667592002e-22,9.6437484051884295e-22,2.8270536893273857e-22,1.4135268446641137e-22,7.4556953027317025e-22,4.9929407884525119e-22,4.9738223303271162e-22,2.0141641359622663e-21,1.8181681851925561e-25,3.5789210740997686e-22,4.8147841869468766e-22,1.6571332554301988e-22,4.5519862751740611e-28,1.0735885986345039e-23
